gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,attGoalLowLeft,attIboxBlocked,goals,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,attMissHighRight,totalFastbreak,attMissRight,goalAssist,totalKeeperSweeper,accurateThroughBall,attRfGoal,totalPullBack,totalThroughBall,goalsOpenplay,attCorner,attFastbreak,punches,attIboxGoal,goalAssistIntentional,attBxLeft,blockedScoringAtt,accurateCornersIntobox,forwardGoals,ptsDroppedWinningPos,attGoalLowCentre,accuratePullBack,attOboxBlocked,postScoringAtt,attIboxPost,attGoalHighRight,attOboxTarget,penaltyWon,attSvHighLeft,midfielderGoals,goodHighClaim,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,attPenGoal,totalHighClaim,handBall,attLfGoal,attBxRight,attMissLeft,attSvHighRight,cleanSheet,attSvLowRight,attCmissLeft,attSvHighCentre,secondYellow,contentiousDecision,sixYardBlock,attOboxGoal,defenderGoals,attFreekickGoal,shieldBallOop,attCmissRight,ptsGainedLosingPos,clearanceOffLine,attFreekickTarget,goalFastbreak,attGoalLowRight,errorLeadToGoal,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attObpGoal,penaltySave,attHdGoal,attCmissHighLeft,attCmissHighRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,attGoalHighLeft,attPostHigh,expectedGoals,attPostRight,attObxRight
1,1059709,2019-08-10 12:30:00,"London Stadium, London",59870.0,Home,West Ham United,Manchester City,0,5,L,0,1,0,0,1.0,57.0,2.0,25.0,9.0,1.0,1.0,4.0,4.0,1.0,143.0,1.0,8.0,3.0,2.0,3.0,79.0,129.0,57.0,1.0,5.0,17.0,3.0,1.0,12.0,10.0,9.0,1.0,6.0,38.0,167.0,0.0,115.0,6.0,3.0,2.0,2.0,62.0,69.0,1.0,89.0,2.0,11.0,13.0,1.0,1.0,2.0,1.0,129.0,1.0,10.0,92.0,571.0,1.0,11.0,8.0,1.0,9.0,307.0,20.0,7.0,2.0,2.0,2.0,1.0,22.0,376.0,58.0,1.0,1.0,86934,3.0,159.0,2.0,7.0,1.0,1.0,177.0,5.0,13.0,6.0,54.0,1.0,2.0,6.0,15.0,4.0,3.0,2.0,47.0,325.0,13.0,13.0,1.0,13.0,64.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,1.0,2.0,42.9,18.0,1.0,6.0,6.0,37.0,1.0,1.0,403.0,1.0,9.0,1.0,14.0,15.0,2.0,14.0,1.0,238.0,2.0,6.0,18.0,78.0,21.0,1.0,2.0,18.0,5.0,2.0,3.0,12.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059714,2019-08-17 15:00:00,"American Express Stadium, Falmer",30459.0,Away,West Ham United,Brighton and Hove Albion,1,1,D,0,0,0,0,1.0,66.0,1.0,19.0,14.0,4.0,1.0,4.0,3.0,,152.0,1.0,19.0,2.0,7.0,3.0,83.0,167.0,66.0,,8.0,31.0,2.0,1.0,14.0,15.0,14.0,6.0,5.0,19.0,138.0,0.0,91.0,10.0,2.0,1.0,,67.0,50.0,4.0,61.0,1.0,8.0,19.0,4.0,,3.0,4.0,167.0,2.0,12.0,81.0,587.0,6.0,5.0,16.0,1.0,15.0,262.0,24.0,6.0,6.0,2.0,3.0,3.0,21.0,345.0,47.0,,,86934,,139.0,1.0,5.0,,,169.0,5.0,19.0,14.0,67.0,,4.0,2.0,15.0,4.0,2.0,2.0,68.0,276.0,11.0,6.0,,30.0,61.0,0.0,7.0,8.0,2.0,1.0,1.0,0.0,,1.0,42.7,14.0,,4.0,2.0,25.0,6.0,,377.0,,15.0,,16.0,4.0,4.0,18.0,,222.0,6.0,5.0,14.0,53.0,31.0,,6.0,22.0,,7.0,3.0,23.0,,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059730,2019-08-24 15:00:00,"Vicarage Road, Watford",20035.0,Away,West Ham United,Watford,3,1,W,1,1,0,0,3.0,62.0,,28.0,24.0,3.0,4.0,13.0,2.0,1.0,143.0,6.0,10.0,2.0,14.0,10.0,97.0,122.0,56.0,,16.0,16.0,6.0,2.0,14.0,11.0,24.0,7.0,4.0,34.0,182.0,0.0,117.0,11.0,1.0,2.0,1.0,73.0,54.0,10.0,55.0,1.0,7.0,16.0,3.0,,1.0,1.0,122.0,3.0,19.0,91.0,593.0,9.0,7.0,35.0,3.0,11.0,291.0,35.0,3.0,12.0,1.0,10.0,4.0,17.0,360.0,38.0,,,86934,6.0,130.0,2.0,5.0,,,156.0,7.0,16.0,11.0,53.0,,2.0,9.0,11.0,4.0,4.0,,55.0,306.0,12.0,8.0,4.0,13.0,59.0,0.0,1.0,8.0,2.0,1.0,1.0,0.0,2.0,5.0,45.1,16.0,1.0,2.0,10.0,37.0,7.0,,386.0,,11.0,,13.0,21.0,4.0,22.0,2.0,244.0,7.0,3.0,17.0,85.0,11.0,,12.0,17.0,1.0,10.0,3.0,15.0,,6.0,7.0,,3.0,1.0,1.0,3.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059741,2019-08-31 15:00:00,"London Stadium, London",59950.0,Home,West Ham United,Norwich City,2,0,W,1,0,0,0,1.0,60.0,2.0,33.0,9.0,4.0,4.0,14.0,3.0,2.0,173.0,6.0,22.0,,14.0,8.0,109.0,121.0,77.0,,18.0,8.0,5.0,1.0,14.0,19.0,9.0,7.0,7.0,23.0,249.0,0.0,148.0,16.0,,,,103.0,85.0,9.0,92.0,,7.0,17.0,4.0,,,3.0,121.0,2.0,5.0,100.0,662.0,11.0,11.0,38.0,3.0,11.0,372.0,25.0,10.0,4.0,2.0,2.0,5.0,14.0,447.0,55.0,,1.0,86934,7.0,152.0,2.0,7.0,,,170.0,9.0,17.0,7.0,56.0,,2.0,4.0,12.0,3.0,6.0,2.0,52.0,395.0,10.0,19.0,2.0,16.0,58.0,0.0,3.0,2.0,1.0,,3.0,0.0,2.0,4.0,48.6,11.0,1.0,3.0,4.0,44.0,8.0,,474.0,,11.0,,8.0,13.0,7.0,27.0,3.0,318.0,10.0,6.0,17.0,110.0,24.0,,4.0,29.0,,13.0,3.0,28.0,,5.0,8.0,,1.0,,3.0,2.0,2.0,,1.0,,1.0,2.0,1.0,1.0,,,1.0,2.0,2.0,2.0,5.0,2.0,,2.0,1.0,1.0,3.0,4.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059743,2019-09-16 20:00:00,"Villa Park, Birmingham",42010.0,Away,West Ham United,Aston Villa,0,0,D,0,0,1,0,,59.0,3.0,36.0,15.0,7.0,4.0,6.0,5.0,1.0,144.0,5.0,9.0,5.0,11.0,1.0,115.0,132.0,60.0,,13.0,16.0,,1.0,18.0,14.0,15.0,3.0,8.0,39.0,255.0,0.0,169.0,12.0,2.0,,2.0,100.0,60.0,7.0,75.0,,15.0,28.0,7.0,,3.0,3.0,132.0,,5.0,136.0,678.0,11.0,5.0,25.0,,8.0,369.0,30.0,7.0,9.0,1.0,1.0,4.0,27.0,443.0,51.0,,,86934,3.0,141.0,,10.0,2.0,,163.0,7.0,28.0,8.0,58.0,,3.0,4.0,11.0,5.0,6.0,,61.0,391.0,13.0,11.0,,22.0,57.0,0.0,2.0,2.0,2.0,,,1.0,4.0,1.0,53.4,22.0,1.0,2.0,4.0,33.0,4.0,,470.0,,8.0,,13.0,23.0,5.0,27.0,2.0,325.0,7.0,7.0,17.0,137.0,20.0,1.0,9.0,21.0,,10.0,3.0,15.0,1.0,12.0,4.0,,,,4.0,,1.0,,,,,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,1.0,7.0,1.0,,,,,3.0,,,,1.0,,,,,,,,1.0,,,,,2.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059761,2019-09-22 14:00:00,"London Stadium, London",59936.0,Home,West Ham United,Manchester United,2,0,W,1,0,0,0,2.0,57.0,1.0,32.0,18.0,5.0,5.0,3.0,3.0,2.0,164.0,,4.0,3.0,5.0,6.0,103.0,139.0,50.0,2.0,8.0,13.0,2.0,,13.0,10.0,18.0,2.0,7.0,45.0,209.0,0.0,163.0,8.0,2.0,1.0,,89.0,90.0,5.0,75.0,4.0,11.0,17.0,5.0,2.0,3.0,1.0,139.0,,5.0,82.0,604.0,3.0,9.0,13.0,,10.0,320.0,31.0,9.0,9.0,2.0,4.0,,33.0,406.0,60.0,,,81012,2.0,123.0,,8.0,1.0,,140.0,5.0,17.0,6.0,45.0,,2.0,,12.0,4.0,2.0,1.0,67.0,332.0,9.0,11.0,1.0,23.0,75.0,0.0,3.0,7.0,2.0,,4.0,0.0,,,46.5,30.0,,3.0,1.0,42.0,3.0,,424.0,,10.0,1.0,11.0,28.0,1.0,22.0,,297.0,3.0,4.0,21.0,118.0,18.0,1.0,9.0,16.0,,5.0,3.0,6.0,1.0,9.0,3.0,,,1.0,,2.0,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,2.0,,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,1059762,2019-09-28 15:00:00,"Vitality Stadium, Bournemouth",10729.0,Away,West Ham United,Bournemouth,2,2,D,1,1,0,0,,69.0,1.0,31.0,16.0,6.0,6.0,11.0,3.0,3.0,171.0,3.0,6.0,2.0,14.0,6.0,130.0,149.0,61.0,1.0,17.0,24.0,3.0,1.0,20.0,16.0,16.0,5.0,3.0,32.0,233.0,0.0,151.0,8.0,,,,80.0,69.0,11.0,60.0,,15.0,14.0,6.0,1.0,6.0,1.0,149.0,2.0,11.0,117.0,653.0,10.0,12.0,31.0,1.0,12.0,358.0,27.0,7.0,4.0,1.0,4.0,3.0,13.0,453.0,50.0,,,86934,7.0,139.0,1.0,9.0,,,168.0,7.0,14.0,4.0,51.0,1.0,2.0,1.0,10.0,2.0,1.0,1.0,78.0,369.0,7.0,11.0,2.0,35.0,86.0,0.0,1.0,6.0,2.0,2.0,5.0,0.0,1.0,2.0,50.9,11.0,1.0,2.0,1.0,42.0,6.0,,478.0,,12.0,1.0,2.0,12.0,4.0,31.0,3.0,330.0,9.0,,25.0,115.0,30.0,3.0,4.0,23.0,2.0,14.0,3.0,12.0,3.0,6.0,6.0,,1.0,1.0,3.0,2.0,,,2.0,,,,1.0,2.0,,,,3.0,1.0,2.0,2.0,,,2.0,2.0,,7.0,2.0,,2.0,1.0,2.0,4.0,,,,1.0,,,1.0,,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,1059781,2019-10-05 17:30:00,"London Stadium, London",59912.0,Home,West Ham United,Crystal Palace,1,2,L,0,0,0,0,,53.0,1.0,28.0,14.0,1.0,2.0,8.0,1.0,1.0,157.0,5.0,6.0,2.0,7.0,4.0,153.0,131.0,59.0,,9.0,20.0,3.0,3.0,15.0,11.0,14.0,2.0,4.0,34.0,260.0,0.0,133.0,11.0,1.0,,2.0,86.0,98.0,5.0,87.0,2.0,13.0,16.0,1.0,,3.0,1.0,131.0,1.0,5.0,122.0,678.0,6.0,10.0,17.0,2.0,9.0,416.0,26.0,10.0,7.0,3.0,2.0,2.0,23.0,501.0,69.0,1.0,,86934,7.0,171.0,1.0,8.0,2.0,1.0,198.0,7.0,16.0,6.0,52.0,,2.0,1.0,16.0,2.0,2.0,2.0,55.0,426.0,7.0,13.0,,26.0,76.0,0.0,,2.0,1.0,2.0,3.0,0.0,5.0,2.0,51.7,23.0,,2.0,1.0,51.0,2.0,1.0,519.0,1.0,9.0,,8.0,15.0,4.0,25.0,3.0,336.0,5.0,2.0,27.0,90.0,23.0,,7.0,19.0,2.0,7.0,3.0,8.0,,7.0,2.0,,,,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
9,1059786,2019-10-19 12:30:00,"Goodison Park, Liverpool",39263.0,Away,West Ham United,Everton,0,2,L,0,1,0,0,1.0,72.0,3.0,20.0,26.0,3.0,1.0,5.0,9.0,1.0,174.0,3.0,12.0,3.0,6.0,4.0,89.0,178.0,62.0,2.0,8.0,25.0,3.0,1.0,5.0,10.0,26.0,2.0,6.0,28.0,136.0,0.0,93.0,15.0,7.0,,,42.0,60.0,4.0,40.0,1.0,3.0,18.0,3.0,2.0,,2.0,178.0,,12.0,81.0,592.0,6.0,5.0,13.0,2.0,8.0,241.0,42.0,8.0,15.0,2.0,4.0,2.0,28.0,350.0,45.0,,,86934,3.0,131.0,,3.0,,,176.0,9.0,18.0,7.0,71.0,,4.0,7.0,19.0,7.0,3.0,,65.0,264.0,15.0,9.0,,32.0,82.0,0.0,2.0,11.0,5.0,2.0,2.0,0.0,2.0,2.0,48.7,21.0,,2.0,7.0,38.0,2.0,,384.0,,8.0,1.0,19.0,10.0,3.0,16.0,1.0,213.0,5.0,6.0,22.0,57.0,16.0,,15.0,13.0,1.0,5.0,3.0,17.0,,7.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,3.0,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
10,1059801,2019-10-26 15:00:00,"London Stadium, London",59878.0,Home,West Ham United,Sheffield United,1,1,D,1,0,0,0,,69.0,,33.0,8.0,3.0,5.0,9.0,2.0,3.0,195.0,5.0,10.0,1.0,11.0,4.0,135.0,162.0,51.0,,12.0,25.0,2.0,2.0,34.0,8.0,8.0,10.0,12.0,43.0,227.0,0.0,133.0,7.0,1.0,1.0,,86.0,87.0,4.0,85.0,,24.0,16.0,3.0,,7.0,2.0,162.0,5.0,9.0,130.0,724.0,8.0,4.0,31.0,,9.0,423.0,27.0,5.0,3.0,2.0,4.0,7.0,25.0,525.0,60.0,,,86934,6.0,214.0,4.0,17.0,1.0,,240.0,3.0,16.0,3.0,55.0,1.0,4.0,1.0,7.0,1.0,,1.0,76.0,436.0,10.0,13.0,2.0,29.0,96.0,0.0,,4.0,3.0,1.0,,0.0,3.0,2.0,60.8,23.0,2.0,5.0,1.0,54.0,10.0,,545.0,,9.0,,7.0,22.0,7.0,40.0,4.0,339.0,5.0,12.0,22.0,93.0,30.0,3.0,3.0,12.0,1.0,10.0,3.0,14.0,3.0,4.0,10.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,,4.0,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,,1.0,2.0,,2.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,3.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
