matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
755305,1,2014-08-16 15:00:00,"King Power Stadium, Leicester",31603,Home,Leicester,Everton,2,2,D,1,2,0,0,2.0,11.0,3.0,5.0,3.0,1.0,2.0,1.0,,,6.0,2.0,23.0,68.0,344.0,265.0,36.5,13.0,7.0,18.0,37.0,37.0,22.0,4.0,1.0,,9.0,16.0,121.0,1.0,2.0,,,55.0,54.0,27.0,14.0,3.0,3.0,,16.0,10.0,0.0,0.0,,,
755314,2,2014-08-23 15:00:00,"Stamford Bridge, London",41604,Away,Leicester,Chelsea,0,2,L,0,0,0,0,,6.0,4.0,,2.0,1.0,,1.0,,,6.0,6.0,11.0,74.0,295.0,210.0,36.7,28.0,18.0,15.0,26.0,26.0,8.0,8.0,,,22.0,9.0,150.0,8.0,2.0,,,60.0,82.0,15.0,27.0,7.0,7.0,,11.0,11.0,0.0,0.0,,,2.0
755326,3,2014-08-31 16:00:00,"King Power Stadium, Leicester",31535,Home,Leicester,Arsenal,1,1,D,1,1,0,0,1.0,9.0,3.0,4.0,2.0,1.0,,1.0,,1.0,9.0,5.0,16.0,53.0,307.0,230.0,31.7,27.0,22.0,14.0,32.0,32.0,21.0,13.0,1.0,,12.0,13.0,129.0,5.0,1.0,,,54.0,68.0,10.0,26.0,5.0,5.0,,14.0,4.0,0.0,0.0,,,3.0
755340,4,2014-09-13 15:00:00,"bet365 Stadium, Stoke",27500,Away,Leicester,Stoke,1,0,W,0,0,0,0,1.0,8.0,1.0,5.0,2.0,1.0,1.0,,,1.0,8.0,3.0,13.0,64.0,327.0,230.0,41.0,22.0,16.0,12.0,47.0,47.0,13.0,7.0,,,11.0,9.0,148.0,6.0,,1.0,,72.0,87.0,33.0,51.0,3.0,3.0,2.0,15.0,9.0,0.0,0.0,,,
755346,5,2014-09-21 13:30:00,"King Power Stadium, Leicester",31784,Home,Leicester,Man Utd,5,3,W,1,2,0,1,5.0,15.0,5.0,6.0,4.0,1.0,3.0,,,3.0,12.0,6.0,17.0,70.0,389.0,295.0,42.6,16.0,11.0,21.0,33.0,33.0,17.0,3.0,,,9.0,7.0,150.0,2.0,3.0,,,53.0,55.0,23.0,18.0,2.0,2.0,,11.0,8.0,0.0,0.0,2.0,2.0,4.0
755355,6,2014-09-27 15:00:00,"Selhurst Park, London",24311,Away,Leicester,Crystal Palace,0,2,L,0,0,0,0,,7.0,1.0,2.0,4.0,,,,,,3.0,1.0,23.0,77.0,457.0,353.0,60.4,20.0,15.0,17.0,33.0,33.0,16.0,4.0,,,9.0,8.0,150.0,4.0,2.0,,,64.0,61.0,23.0,28.0,6.0,6.0,1.0,9.0,13.0,0.0,0.0,,,
755366,7,2014-10-04 15:00:00,"King Power Stadium, Leicester",31448,Home,Leicester,Burnley,2,2,D,2,1,0,0,2.0,15.0,6.0,3.0,6.0,,1.0,1.0,,1.0,10.0,9.0,14.0,65.0,426.0,322.0,53.5,14.0,12.0,26.0,41.0,41.0,20.0,2.0,,,8.0,6.0,169.0,2.0,2.0,,,65.0,76.0,26.0,35.0,9.0,9.0,2.0,16.0,9.0,0.0,0.0,,,1.0
755378,8,2014-10-18 15:00:00,"St. James' Park, Newcastle",51886,Away,Leicester,Newcastle,0,1,L,0,0,0,0,,7.0,2.0,1.0,4.0,2.0,,2.0,1.0,,5.0,3.0,12.0,64.0,374.0,274.0,49.5,19.0,16.0,15.0,37.0,37.0,18.0,7.0,2.0,,11.0,11.0,164.0,5.0,1.0,,,54.0,71.0,18.0,28.0,7.0,7.0,,15.0,12.0,0.0,0.0,,,1.0
755389,9,2014-10-25 17:30:00,"Swansea.com Stadium, Swansea",20259,Away,Leicester,Swansea,0,2,L,0,1,0,0,,9.0,4.0,4.0,1.0,,,1.0,2.0,,6.0,5.0,17.0,83.0,554.0,460.0,50.5,17.0,15.0,23.0,19.0,19.0,15.0,,1.0,,5.0,8.0,143.0,1.0,2.0,,,50.0,43.0,17.0,15.0,2.0,2.0,1.0,10.0,7.0,0.0,0.0,,,1.0
755399,10,2014-11-01 15:00:00,"King Power Stadium, Leicester",31819,Home,Leicester,West Brom,0,1,L,0,0,0,0,,14.0,5.0,7.0,2.0,1.0,,2.0,,,11.0,5.0,37.0,97.0,449.0,331.0,55.8,22.0,16.0,20.0,19.0,19.0,31.0,3.0,,,5.0,15.0,197.0,3.0,1.0,,1.0,75.0,51.0,30.0,19.0,8.0,8.0,2.0,5.0,10.0,0.0,0.0,,,4.0
