gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,shotFastbreak,totalFastbreak,freekickCross,goodHighClaim,accurateFreekickCross,ownGoals,attFastbreak,punches,attCmissHighRight,attBxLeft,totalHighClaim,effectiveBlockedCross,attIboxOwnGoal,blockedCross,bigChanceScored,attGoalLowRight,goals,fouledFinalThird,attCmissRight,attFreekickTotal,attOboxBlocked,attOboxTarget,penaltyWon,attSvLowLeft,attMissRight,freekickTotal,contentiousDecision,attHdTarget,attRfGoal,attCmissHigh,attPenGoal,attCmissLeft,attIboxGoal,shieldBallOop,forwardGoals,savedObox,accuratePullBack,totalPullBack,attHdMiss,attSvHighCentre,attGoalLowCentre,goalAssistOpenplay,goalAssist,goalsOpenplay,attFreekickTarget,goalAssistIntentional,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,cleanSheet,hitWoodwork,errorLeadToShot,goalsConcededObox,secondYellow,goalAssistSetplay,goalAssistDeadball,attObxLeft,attGoalHighRight,defenderGoals,attHdGoal,errorLeadToGoal,attGoalLowLeft,attLfGoal,attOboxGoal,midfielderGoals,ptsGainedLosingPos,attGoalHighLeft,postScoringAtt,attIboxPost,attPostRight,goalFastbreak,attOboxPost,ptsDroppedWinningPos,penaltySave,attSvHighRight,attHdPost,attPostHigh
1,2210278,2021-08-14 17:30:00,"Carrow Road, Norwich",27023,Home,Norwich City,Liverpool,0,3,L,0,1,0,0,1.0,1.0,24.0,60.0,3.0,34.0,36.0,4.0,3.0,9.0,3.0,2.0,161.0,17.0,4.0,10.0,11.0,3.0,140.0,132.0,51.0,14.0,14.0,3.0,3.0,1.0,1.0,3.0,19.0,13.0,36.0,3.0,4.0,56.0,1.0,125.0,3.0,0.0,83.0,4.0,1.0,1.0,52.0,52.0,5.0,82.0,2.0,16.0,19.0,5.0,5.0,5.0,132.0,1.0,13.0,137.0,733.0,10.0,5.0,14.0,9.0,418.0,28.0,1.0,2.0,18.0,1.0,1.0,6.0,6.0,17.0,491.0,45.0,2.0,83428,3.0,320.0,1.0,11.0,1.0,3.0,347.0,1.0,19.0,8.0,40.0,3.0,2.0,5.0,15.0,6.0,7.0,1.0,69.0,441.0,14.0,7.0,1.0,11.0,3.0,69.0,1.0,0.0,4.0,11.0,5.0,3.0,1.0,0.0,3.0,2.0,50.1,16.0,1.0,4.0,5.0,3.0,2.0,39.0,3.0,520.0,9.0,8.0,33.0,8.0,24.0,1.0,3.0,192.0,8.0,4.0,8.0,52.0,19.0,18.0,19.0,3.0,8.0,3.0,18.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210287,2021-08-21 15:00:00,"Etihad Stadium, Manchester",51437,Away,Norwich City,Manchester City,0,5,L,0,2,0,0,1.0,,19.0,37.0,,14.0,25.0,,,1.0,,,111.0,8.0,1.0,6.0,,,96.0,84.0,40.0,1.0,9.0,,,,,,6.0,11.0,25.0,1.0,4.0,39.0,,50.0,1.0,0.0,22.0,7.0,,,13.0,21.0,,74.0,,5.0,8.0,,2.0,,84.0,,8.0,81.0,513.0,,2.0,4.0,8.0,280.0,22.0,,,9.0,,0.0,6.0,,10.0,333.0,10.0,,83428,,258.0,,2.0,,,294.0,6.0,8.0,9.0,38.0,3.0,3.0,8.0,6.0,9.0,8.0,,38.0,307.0,13.0,9.0,,11.0,,27.0,,0.0,1.0,6.0,,5.0,,0.0,1.0,,33.1,10.0,,1.0,8.0,,,16.0,1.0,362.0,8.0,7.0,20.0,1.0,8.0,,1.0,74.0,1.0,4.0,3.0,11.0,5.0,9.0,18.0,5.0,1.0,3.0,13.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210297,2021-08-28 15:00:00,"Carrow Road, Norwich",26765,Home,Norwich City,Leicester City,1,2,L,1,1,0,0,1.0,2.0,23.0,46.0,1.0,23.0,17.0,9.0,3.0,5.0,1.0,,138.0,14.0,5.0,6.0,8.0,4.0,82.0,150.0,46.0,14.0,14.0,1.0,1.0,1.0,2.0,1.0,23.0,15.0,17.0,9.0,5.0,41.0,,133.0,1.0,0.0,94.0,8.0,,,57.0,40.0,4.0,64.0,2.0,14.0,11.0,9.0,2.0,4.0,150.0,1.0,7.0,85.0,562.0,8.0,4.0,12.0,15.0,267.0,24.0,,2.0,12.0,1.0,2.0,1.0,4.0,24.0,347.0,39.0,,83428,4.0,157.0,1.0,11.0,,,179.0,5.0,11.0,10.0,52.0,1.0,2.0,3.0,20.0,2.0,8.0,2.0,57.0,285.0,9.0,14.0,,15.0,1.0,62.0,,0.0,3.0,9.0,1.0,2.0,1.0,0.0,4.0,1.0,44.3,18.0,,3.0,3.0,4.0,,30.0,9.0,369.0,15.0,9.0,20.0,6.0,33.0,1.0,2.0,213.0,10.0,3.0,13.0,57.0,15.0,12.0,18.0,2.0,11.0,3.0,14.0,5.0,9.0,,,1.0,,,,,,,,,3.0,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210301,2021-09-11 15:00:00,"Emirates Stadium, London",59337,Away,Norwich City,Arsenal,0,1,L,0,0,0,0,,1.0,21.0,52.0,3.0,25.0,22.0,5.0,4.0,5.0,5.0,,143.0,13.0,4.0,7.0,7.0,1.0,96.0,137.0,52.0,10.0,19.0,,,,,1.0,18.0,13.0,22.0,3.0,3.0,33.0,,134.0,,0.0,91.0,11.0,2.0,,48.0,35.0,5.0,64.0,2.0,15.0,16.0,5.0,7.0,1.0,137.0,,21.0,105.0,593.0,7.0,7.0,22.0,8.0,301.0,28.0,1.0,3.0,8.0,,2.0,11.0,2.0,25.0,377.0,45.0,1.0,83428,5.0,190.0,,8.0,,1.0,228.0,6.0,16.0,15.0,53.0,1.0,,3.0,14.0,9.0,9.0,,54.0,320.0,9.0,7.0,,15.0,,48.0,,0.0,1.0,8.0,5.0,1.0,1.0,0.0,4.0,1.0,48.1,21.0,,3.0,3.0,6.0,1.0,22.0,4.0,408.0,8.0,,19.0,3.0,25.0,,2.0,198.0,5.0,3.0,16.0,60.0,14.0,8.0,20.0,1.0,8.0,3.0,23.0,3.0,4.0,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,3.0,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210317,2021-09-18 15:00:00,"Carrow Road, Norwich",26649,Home,Norwich City,Watford,1,3,L,1,1,0,0,1.0,1.0,29.0,61.0,1.0,26.0,18.0,5.0,5.0,7.0,5.0,2.0,140.0,8.0,5.0,9.0,9.0,5.0,87.0,129.0,57.0,12.0,15.0,2.0,2.0,,1.0,2.0,19.0,11.0,18.0,4.0,4.0,46.0,,145.0,,0.0,104.0,10.0,1.0,1.0,36.0,60.0,6.0,57.0,2.0,15.0,13.0,5.0,5.0,,129.0,1.0,11.0,91.0,572.0,6.0,1.0,31.0,15.0,285.0,28.0,,2.0,9.0,,1.0,1.0,3.0,24.0,356.0,53.0,1.0,83428,5.0,164.0,,8.0,,1.0,183.0,3.0,13.0,4.0,48.0,2.0,1.0,5.0,23.0,1.0,4.0,1.0,58.0,304.0,14.0,13.0,2.0,19.0,2.0,60.0,1.0,0.0,3.0,8.0,5.0,3.0,1.0,0.0,3.0,2.0,48.7,18.0,,3.0,5.0,4.0,,39.0,4.0,375.0,15.0,6.0,29.0,3.0,36.0,2.0,3.0,211.0,5.0,3.0,18.0,71.0,24.0,9.0,17.0,3.0,8.0,3.0,14.0,7.0,4.0,,,2.0,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,3.0,,1.0,3.0,2.0,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210325,2021-09-25 15:00:00,"Goodison Park, Liverpool",38821,Away,Norwich City,Everton,0,2,L,0,1,0,0,,,28.0,52.0,2.0,26.0,17.0,5.0,2.0,4.0,2.0,2.0,148.0,15.0,4.0,12.0,8.0,2.0,129.0,127.0,49.0,10.0,8.0,,1.0,,,1.0,14.0,5.0,17.0,4.0,6.0,30.0,,167.0,,0.0,110.0,9.0,,1.0,66.0,53.0,4.0,71.0,1.0,10.0,22.0,6.0,2.0,3.0,127.0,1.0,7.0,139.0,686.0,5.0,1.0,14.0,17.0,390.0,29.0,1.0,2.0,9.0,,3.0,4.0,4.0,25.0,469.0,48.0,,83428,2.0,243.0,1.0,6.0,1.0,1.0,266.0,6.0,22.0,5.0,39.0,,,8.0,15.0,4.0,5.0,1.0,57.0,406.0,11.0,4.0,3.0,15.0,2.0,56.0,,0.0,1.0,6.0,2.0,2.0,1.0,0.0,2.0,3.0,53.2,23.0,,1.0,8.0,3.0,,30.0,4.0,487.0,17.0,6.0,13.0,5.0,23.0,2.0,2.0,235.0,5.0,5.0,14.0,75.0,14.0,9.0,12.0,2.0,6.0,3.0,24.0,10.0,4.0,,,2.0,,1.0,,,1.0,,,,5.0,,5.0,,,,3.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210332,2021-10-02 15:00:00,"Turf Moor, Burnley",17427,Away,Norwich City,Burnley,0,0,D,0,0,0,0,,,28.0,65.0,5.0,30.0,44.0,5.0,3.0,5.0,5.0,2.0,140.0,16.0,3.0,12.0,6.0,2.0,88.0,148.0,56.0,10.0,27.0,,2.0,1.0,1.0,1.0,19.0,12.0,44.0,5.0,2.0,40.0,,96.0,1.0,0.0,80.0,3.0,2.0,,45.0,23.0,5.0,48.0,1.0,15.0,16.0,5.0,4.0,2.0,148.0,,10.0,80.0,577.0,5.0,10.0,26.0,7.0,241.0,29.0,,7.0,31.0,1.0,2.0,7.0,1.0,17.0,328.0,42.0,1.0,83428,,167.0,,10.0,1.0,1.0,194.0,1.0,16.0,12.0,57.0,2.0,1.0,7.0,16.0,4.0,8.0,,70.0,260.0,13.0,14.0,1.0,22.0,1.0,68.0,,0.0,2.0,9.0,2.0,,2.0,0.0,1.0,1.0,43.9,13.0,,4.0,7.0,6.0,,29.0,5.0,356.0,7.0,3.0,19.0,2.0,31.0,3.0,,181.0,6.0,1.0,15.0,45.0,22.0,31.0,16.0,,6.0,3.0,22.0,11.0,5.0,,,1.0,,,,,1.0,,3.0,,4.0,,4.0,,,,3.0,,2.0,1.0,2.0,,1.0,,2.0,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210348,2021-10-16 15:00:00,"Carrow Road, Norwich",26777,Home,Norwich City,Brighton and Hove Albion,0,0,D,0,0,0,0,,1.0,21.0,56.0,2.0,21.0,17.0,10.0,2.0,5.0,3.0,1.0,127.0,12.0,4.0,11.0,10.0,3.0,66.0,145.0,48.0,15.0,21.0,1.0,1.0,,1.0,1.0,22.0,8.0,17.0,8.0,6.0,37.0,,97.0,2.0,0.0,86.0,5.0,1.0,1.0,42.0,31.0,7.0,47.0,1.0,14.0,21.0,10.0,2.0,3.0,145.0,1.0,8.0,52.0,498.0,9.0,3.0,18.0,8.0,192.0,22.0,,4.0,10.0,,3.0,4.0,3.0,23.0,272.0,38.0,2.0,83428,3.0,111.0,2.0,7.0,,2.0,148.0,3.0,21.0,9.0,51.0,2.0,,7.0,15.0,3.0,5.0,1.0,51.0,204.0,14.0,6.0,1.0,21.0,2.0,47.0,,0.0,2.0,4.0,2.0,,1.0,0.0,1.0,2.0,35.1,20.0,,4.0,7.0,7.0,,24.0,8.0,292.0,8.0,14.0,21.0,5.0,32.0,3.0,2.0,166.0,11.0,5.0,14.0,57.0,21.0,10.0,9.0,,10.0,3.0,16.0,10.0,8.0,1.0,1.0,5.0,1.0,,,1.0,,,,1.0,3.0,,3.0,,,,4.0,1.0,1.0,5.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210354,2021-10-23 12:30:00,"Stamford Bridge, London",40113,Away,Norwich City,Chelsea,0,7,L,0,3,1,0,2.0,,21.0,61.0,,29.0,13.0,2.0,,1.0,7.0,1.0,128.0,7.0,,11.0,2.0,1.0,87.0,123.0,42.0,3.0,10.0,1.0,1.0,,1.0,,2.0,5.0,13.0,,8.0,29.0,,77.0,,0.0,59.0,16.0,5.0,,37.0,23.0,2.0,74.0,,2.0,19.0,2.0,1.0,1.0,123.0,1.0,12.0,91.0,543.0,2.0,3.0,2.0,7.0,271.0,26.0,,2.0,4.0,,2.0,2.0,,15.0,345.0,33.0,,83428,,222.0,1.0,1.0,,,252.0,8.0,19.0,10.0,51.0,2.0,,12.0,18.0,12.0,9.0,1.0,55.0,299.0,13.0,8.0,,17.0,,50.0,,0.0,3.0,5.0,3.0,7.0,1.0,1.0,,,38.2,15.0,,1.0,12.0,1.0,,24.0,,380.0,7.0,14.0,12.0,1.0,7.0,,,130.0,3.0,7.0,6.0,34.0,20.0,4.0,12.0,6.0,3.0,3.0,16.0,7.0,,,,,1.0,,1.0,,2.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,2210367,2021-10-31 14:00:00,"Carrow Road, Norwich",26913,Home,Norwich City,Leeds United,1,2,L,0,0,0,0,,,27.0,62.0,2.0,19.0,7.0,8.0,5.0,5.0,3.0,1.0,140.0,13.0,4.0,14.0,6.0,3.0,66.0,153.0,74.0,14.0,23.0,1.0,,1.0,2.0,5.0,18.0,8.0,7.0,5.0,3.0,48.0,,88.0,,0.0,111.0,14.0,2.0,,60.0,27.0,5.0,48.0,2.0,13.0,16.0,9.0,2.0,5.0,153.0,,6.0,56.0,516.0,4.0,4.0,10.0,7.0,194.0,32.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,24.0,285.0,70.0,,83428,4.0,126.0,,8.0,,2.0,142.0,9.0,16.0,3.0,68.0,2.0,,6.0,13.0,7.0,2.0,,63.0,210.0,23.0,13.0,1.0,14.0,3.0,67.0,,0.0,1.0,,2.0,2.0,,0.0,2.0,3.0,47.9,20.0,,4.0,6.0,5.0,1.0,23.0,5.0,310.0,7.0,12.0,16.0,6.0,24.0,2.0,1.0,186.0,6.0,2.0,20.0,46.0,16.0,1.0,17.0,1.0,6.0,3.0,23.0,8.0,5.0,,,3.0,,,,,,,,,1.0,,1.0,,,1.0,5.0,,3.0,3.0,1.0,,,,3.0,,1.0,,,,1.0,1.0,1.0,,2.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
