gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,penaltySave,bigChanceScored,attGoalLowCentre,goals,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,attIboxPost,freekickCross,bigChanceCreated,contentiousDecision,attHdPost,hitWoodwork,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateFreekickCross,bigChanceMissed,attSetpiece,totalPullBack,attCmissHigh,goalsOpenplay,attMissHigh,attAssistSetplay,attCmissLeft,attIboxGoal,attPostHigh,goalAssistIntentional,shieldBallOop,possWonAtt3rd,attBxLeft,attSvHighCentre,forwardGoals,attHdGoal,attGoalLowRight,attLfGoal,shotFastbreak,totalFastbreak,interceptionsInBox,attHdTarget,attCmissHighLeft,attFastbreak,attemptsIbox,saves,accuratePullBack,attSvHighRight,cleanSheet,attSvLowLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,sixYardBlock,punches,overrun,clearanceOffLine,attOneOnOne,accurateThroughBall,attGoalLowLeft,attRfGoal,ownGoals,attIboxOwnGoal,errorLeadToGoal,attLgCentre,attCorner,goalAssistSetplay,defenderGoals,goalAssistDeadball,midfielderGoals,attGoalHighLeft,attFreekickTarget,attGoalHighRight,attSvHighLeft,attOboxGoal,attFreekickGoal,foulThrowIn,attPostLeft,attOboxPost,attObxRight,attGoalHighCentre,attCmissHighRight,attFreekickPost,attPostRight,attObxdRight,attObxLeft,attPenTarget,penaltyWon,ptsDroppedWinningPos,attPenGoal
1,442001,2012-08-18 15:00:00,"Craven Cottage, London",25062,Away,Norwich City,Fulham,0,5,L,0,2,0,0,1.0,1.0,22.0,2.0,1.0,23.0,24.0,5.0,2.0,1.0,124.0,5.0,1.0,1.0,7.0,1.0,2.0,88.0,112.0,32.0,1.0,9.0,2.0,14.0,1.0,2.0,1.0,22.0,11.0,1.0,13.0,3.0,16.0,47.0,160.0,1.0,0.0,102.0,11.0,2.0,1.0,60.0,41.0,4.0,72.0,3.0,19.0,1.0,11.0,2.0,101.0,8.0,92.0,527.0,7.0,7.0,10.0,6.0,1.0,13.0,0.0,4.0,3.0,20.0,67.0,1.0,5741,1.0,158.0,8.0,1.0,165.0,3.0,40.0,1.0,1.0,5.0,4.0,7.0,1.0,53.0,313.0,12.0,4.0,8.0,88.0,1.0,0.0,6.0,2.0,5.0,4.0,0.0,4.0,1.0,40.2,17.0,1.0,5.0,3.0,48.0,3.0,1.0,1.0,376.0,1.0,8.0,1.0,10.0,19.0,4.0,18.0,1.0,2.0,233.0,6.0,15.0,3.0,70.0,5.0,4.0,9.0,16.0,4.0,8.0,3.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442013,2012-08-25 15:00:00,"Carrow Road, Norwich",26317,Home,Norwich City,Queens Park Rangers,1,1,D,1,1,0,0,,1.0,39.0,1.0,1.0,23.0,23.0,5.0,2.0,1.0,154.0,7.0,8.0,7.0,10.0,1.0,3.0,89.0,171.0,66.0,1.0,15.0,1.0,26.0,1.0,2.0,1.0,29.0,17.0,1.0,12.0,5.0,9.0,44.0,157.0,1.0,0.0,156.0,17.0,1.0,,55.0,78.0,3.0,46.0,3.0,24.0,1.0,10.0,3.0,160.0,4.0,71.0,542.0,7.0,8.0,9.0,17.0,4.0,10.0,0.0,2.0,7.0,32.0,96.0,,5741,3.0,100.0,9.0,1.0,122.0,5.0,65.0,,2.0,3.0,7.0,4.0,2.0,59.0,250.0,13.0,12.0,19.0,85.0,,0.0,2.0,1.0,1.0,3.0,0.0,7.0,5.0,55.1,27.0,3.0,3.0,2.0,30.0,6.0,1.0,,360.0,,7.0,1.0,5.0,12.0,10.0,27.0,,6.0,267.0,7.0,9.0,23.0,92.0,15.0,1.0,5.0,22.0,1.0,11.0,2.0,14.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442025,2012-09-01 15:00:00,"White Hart Lane, London",36142,Away,Norwich City,Tottenham Hotspur,1,1,D,0,0,0,1,,1.0,35.0,3.0,1.0,18.0,32.0,5.0,6.0,1.0,145.0,6.0,3.0,4.0,9.0,,4.0,55.0,162.0,58.0,1.0,12.0,,27.0,2.0,2.0,2.0,20.0,12.0,1.0,11.0,2.0,14.0,19.0,135.0,,0.0,130.0,12.0,,1.0,43.0,71.0,5.0,55.0,1.0,18.0,1.0,7.0,4.0,141.0,3.0,53.0,506.0,7.0,9.0,14.0,14.0,6.0,13.0,0.0,3.0,4.0,26.0,78.0,,5741,5.0,101.0,8.0,,109.0,11.0,64.0,1.0,,1.0,18.0,12.0,5.0,42.0,230.0,7.0,5.0,22.0,90.0,,0.0,4.0,1.0,1.0,4.0,0.0,6.0,4.0,38.4,21.0,2.0,1.0,1.0,49.0,2.0,,1.0,308.0,,11.0,1.0,10.0,8.0,7.0,15.0,,2.0,219.0,2.0,13.0,31.0,72.0,13.0,3.0,4.0,17.0,1.0,9.0,1.0,13.0,3.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442034,2012-09-15 12:45:00,"Carrow Road, Norwich",26806,Home,Norwich City,West Ham United,0,0,D,0,0,0,0,,4.0,38.0,1.0,2.0,23.0,33.0,10.0,12.0,3.0,174.0,5.0,7.0,3.0,18.0,4.0,9.0,66.0,183.0,57.0,2.0,25.0,5.0,27.0,8.0,4.0,3.0,19.0,11.0,1.0,15.0,8.0,9.0,17.0,137.0,,0.0,131.0,12.0,1.0,1.0,23.0,57.0,12.0,60.0,4.0,11.0,2.0,4.0,4.0,165.0,8.0,65.0,561.0,17.0,9.0,5.0,19.0,8.0,12.0,0.0,6.0,6.0,21.0,90.0,1.0,78830,7.0,120.0,6.0,,142.0,16.0,62.0,,3.0,2.0,9.0,6.0,6.0,68.0,252.0,13.0,7.0,42.0,86.0,2.0,0.0,5.0,2.0,,2.0,0.0,2.0,3.0,48.9,13.0,1.0,2.0,7.0,34.0,8.0,,1.0,365.0,,5.0,,14.0,8.0,9.0,26.0,3.0,5.0,242.0,10.0,9.0,22.0,68.0,8.0,2.0,3.0,15.0,,12.0,2.0,9.0,2.0,8.0,,,,,,,1.0,,2.0,,1.0,,1.0,,,1.0,,1.0,1.0,,3.0,1.0,,,2.0,1.0,,,,,,2.0,3.0,1.0,,,,,1.0,1.0,,2.0,,1.0,15.0,2.0,1.0,1.0,1.0,2.0,10.0,30.0,240.0,335.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442042,2012-09-23 15:00:00,"St. James' Park, Newcastle",49402,Away,Norwich City,Newcastle United,0,1,L,0,1,0,0,,2.0,43.0,1.0,2.0,20.0,33.0,3.0,4.0,,167.0,8.0,4.0,3.0,8.0,1.0,3.0,77.0,182.0,62.0,,10.0,1.0,25.0,2.0,,1.0,29.0,11.0,1.0,14.0,5.0,11.0,27.0,182.0,,0.0,159.0,20.0,4.0,,34.0,96.0,6.0,55.0,1.0,24.0,,11.0,1.0,163.0,14.0,69.0,553.0,7.0,12.0,7.0,25.0,11.0,11.0,1.0,2.0,2.0,18.0,91.0,2.0,5741,6.0,95.0,11.0,1.0,118.0,13.0,71.0,1.0,1.0,4.0,13.0,4.0,4.0,50.0,269.0,11.0,10.0,36.0,91.0,1.0,0.0,4.0,4.0,1.0,4.0,0.0,4.0,3.0,47.2,15.0,2.0,4.0,3.0,42.0,5.0,1.0,1.0,368.0,,5.0,,15.0,11.0,4.0,31.0,4.0,3.0,279.0,2.0,10.0,32.0,96.0,10.0,2.0,3.0,15.0,1.0,8.0,3.0,6.0,2.0,5.0,1.0,,,,,,,,3.0,,2.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,1.0,2.0,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442054,2012-09-29 15:00:00,"Carrow Road, Norwich",26831,Home,Norwich City,Liverpool,2,5,L,0,2,0,0,3.0,1.0,44.0,,2.0,9.0,17.0,8.0,9.0,1.0,160.0,5.0,5.0,1.0,11.0,2.0,4.0,51.0,135.0,39.0,,16.0,2.0,12.0,1.0,,1.0,25.0,19.0,1.0,9.0,5.0,11.0,17.0,141.0,1.0,0.0,120.0,11.0,,1.0,38.0,43.0,6.0,44.0,5.0,20.0,,5.0,5.0,127.0,11.0,65.0,475.0,10.0,8.0,8.0,18.0,4.0,3.0,1.0,7.0,5.0,11.0,65.0,,5741,4.0,99.0,15.0,,116.0,10.0,53.0,,2.0,2.0,4.0,6.0,7.0,40.0,235.0,6.0,21.0,21.0,85.0,,0.0,5.0,1.0,5.0,2.0,0.0,4.0,,32.9,10.0,,3.0,4.0,42.0,5.0,,1.0,320.0,,5.0,,4.0,7.0,8.0,15.0,1.0,3.0,229.0,7.0,10.0,7.0,72.0,19.0,,1.0,21.0,2.0,13.0,3.0,12.0,,5.0,2.0,,2.0,,2.0,,,1.0,,,,2.0,,,1.0,2.0,1.0,,,1.0,,,,2.0,,,,2.0,,,,1.0,4.0,,2.0,,1.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442059,2012-10-06 15:00:00,"Stamford Bridge, London",41784,Away,Norwich City,Chelsea,1,4,L,1,3,0,0,,1.0,41.0,2.0,,7.0,37.0,1.0,2.0,,126.0,7.0,7.0,,7.0,1.0,2.0,68.0,133.0,42.0,,8.0,1.0,9.0,1.0,,,15.0,11.0,,18.0,1.0,16.0,22.0,123.0,,0.0,99.0,3.0,4.0,2.0,43.0,56.0,2.0,57.0,2.0,14.0,,5.0,1.0,114.0,15.0,66.0,495.0,6.0,7.0,13.0,22.0,3.0,13.0,0.0,9.0,5.0,18.0,57.0,,5741,5.0,130.0,9.0,,140.0,14.0,28.0,,1.0,4.0,6.0,8.0,5.0,31.0,246.0,7.0,6.0,10.0,69.0,,0.0,10.0,3.0,4.0,3.0,0.0,7.0,4.0,31.1,12.0,4.0,4.0,1.0,28.0,2.0,,2.0,317.0,,10.0,,8.0,3.0,5.0,15.0,,4.0,192.0,2.0,14.0,11.0,57.0,12.0,4.0,9.0,17.0,4.0,8.0,3.0,10.0,4.0,2.0,1.0,,,,1.0,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,442072,2012-10-20 17:30:00,"Carrow Road, Norwich",26825,Home,Norwich City,Arsenal,1,0,W,1,0,0,0,,,48.0,2.0,,23.0,31.0,4.0,1.0,2.0,108.0,5.0,5.0,4.0,4.0,,3.0,57.0,129.0,55.0,,7.0,,13.0,1.0,1.0,2.0,20.0,17.0,1.0,19.0,2.0,4.0,17.0,102.0,,0.0,101.0,13.0,1.0,3.0,27.0,59.0,1.0,41.0,2.0,18.0,,6.0,3.0,129.0,7.0,46.0,437.0,3.0,9.0,15.0,20.0,3.0,11.0,4.0,3.0,3.0,17.0,64.0,1.0,5741,,78.0,10.0,,86.0,8.0,45.0,1.0,4.0,1.0,12.0,7.0,2.0,61.0,175.0,10.0,7.0,24.0,77.0,,0.0,10.0,3.0,,1.0,0.0,4.0,1.0,28.0,10.0,1.0,1.0,,29.0,2.0,,3.0,252.0,,10.0,,8.0,7.0,4.0,19.0,1.0,1.0,186.0,5.0,4.0,14.0,56.0,15.0,2.0,7.0,26.0,,6.0,3.0,11.0,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,2.0,1.0,,,,1.0,,1.0,,2.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,2.0,3.0,2.0,,,2.0,3.0,5.0,,,1.0,,4.0,13.0,164.0,225.0,,3.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,442080,2012-10-27 12:45:00,"Villa Park, Birmingham",33184,Away,Norwich City,Aston Villa,1,1,D,0,1,0,1,,2.0,50.0,1.0,2.0,31.0,28.0,8.0,8.0,1.0,172.0,5.0,11.0,4.0,10.0,,4.0,97.0,186.0,57.0,,17.0,5.0,27.0,3.0,2.0,,36.0,11.0,,17.0,6.0,19.0,36.0,240.0,1.0,0.0,174.0,6.0,2.0,2.0,65.0,82.0,6.0,63.0,2.0,30.0,,11.0,3.0,175.0,5.0,120.0,655.0,9.0,8.0,10.0,13.0,7.0,14.0,0.0,1.0,4.0,22.0,83.0,,5741,4.0,118.0,16.0,,137.0,7.0,52.0,4.0,8.0,6.0,10.0,2.0,2.0,63.0,353.0,12.0,3.0,25.0,86.0,2.0,0.0,3.0,2.0,1.0,4.0,0.0,5.0,2.0,58.5,16.0,1.0,6.0,7.0,47.0,8.0,,2.0,452.0,,10.0,,8.0,20.0,6.0,39.0,,3.0,351.0,7.0,18.0,21.0,118.0,25.0,,7.0,13.0,1.0,14.0,3.0,19.0,,8.0,,,,,1.0,,1.0,,1.0,,3.0,4.0,1.0,,,,1.0,1.0,,4.0,,,,,2.0,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,442092,2012-11-03 15:00:00,"Carrow Road, Norwich",26072,Home,Norwich City,Stoke City,1,0,W,1,0,0,0,,,46.0,1.0,,20.0,43.0,9.0,8.0,3.0,155.0,7.0,4.0,5.0,10.0,,4.0,70.0,188.0,55.0,1.0,14.0,5.0,33.0,1.0,,3.0,32.0,15.0,2.0,20.0,6.0,12.0,24.0,157.0,,0.0,138.0,12.0,2.0,1.0,48.0,80.0,6.0,61.0,1.0,26.0,1.0,9.0,3.0,165.0,7.0,62.0,558.0,9.0,10.0,10.0,19.0,7.0,18.0,1.0,,4.0,25.0,79.0,1.0,5741,3.0,100.0,15.0,,117.0,10.0,64.0,,2.0,1.0,10.0,2.0,1.0,58.0,250.0,14.0,6.0,29.0,98.0,,0.0,1.0,3.0,,1.0,0.0,6.0,2.0,43.6,17.0,1.0,1.0,5.0,36.0,9.0,,1.0,348.0,,8.0,,10.0,10.0,5.0,16.0,1.0,2.0,263.0,4.0,12.0,16.0,84.0,12.0,,5.0,21.0,,10.0,3.0,7.0,,9.0,,,,,1.0,,,,3.0,,2.0,2.0,,,,,1.0,,1.0,2.0,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
