gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attGoalLowRight,savedObox,saves,attLfGoal,attOneOnOne,attOboxGoal,divingSave,attSvLowLeft,accurateThroughBall,totalPullBack,totalOffside,savedIbox,goalsConceded,shieldBallOop,forwardGoals,goalsConcededIbox,handBall,shotFastbreak,attGoalHighRight,attMissHighRight,totalFastbreak,attObxdLeft,defenderGoals,attFastbreak,foulThrowIn,goalAssistDeadball,ptsGainedLosingPos,errorLeadToShot,ownGoals,attIboxOwnGoal,attHdGoal,accuratePullBack,attSvHighRight,attHdTarget,sixYardBlock,attFreekickMiss,attCmissRight,contentiousDecision,ptsDroppedWinningPos,attLgCentre,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHigh,punches,attCmissHighLeft,attSvHighCentre,postScoringAtt,attIboxPost,hitWoodwork,attPostHigh,errorLeadToGoal,goalsConcededObox,attSvHighLeft,penaltySave,attPostLeft,attCmissHighRight,penaltyWon,attPenGoal,goalFastbreak,attGoalHighCentre,attFreekickPost,attOboxPost,clearanceOffLine
1,987600,2018-08-11 15:00:00,"Vicarage Road, Watford",20051,Home,Watford,Brighton and Hove Albion,2,0,W,1,0,0,0,72.0,3.0,1.0,34.0,11.0,7.0,4.0,12.0,3.0,168.0,1.0,7.0,8.0,2.0,5.0,13.0,5.0,96.0,159.0,55.0,2.0,19.0,2.0,24.0,2.0,2.0,1.0,1.0,2.0,3.0,20.0,11.0,1.0,11.0,5.0,6.0,45.0,166.0,1.0,0.0,145.0,10.0,2.0,5.0,1.0,81.0,38.0,7.0,76.0,1.0,3.0,15.0,14.0,7.0,2.0,2.0,4.0,159.0,2.0,5.0,97.0,614.0,8.0,8.0,28.0,11.0,310.0,20.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,6.0,16.0,410.0,65.0,1.0,9089,8.0,169.0,2.0,8.0,2.0,186.0,5.0,2.0,14.0,8.0,60.0,1.0,3.0,1.0,10.0,1.0,5.0,2.0,79.0,328.0,15.0,9.0,3.0,30.0,89.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,3.0,0.0,4.0,1.0,2.0,53.2,10.0,2.0,5.0,1.0,3.0,5.0,43.0,8.0,2.0,437.0,11.0,11.0,20.0,9.0,36.0,3.0,5.0,271.0,12.0,6.0,16.0,89.0,36.0,3.0,2.0,17.0,10.0,3.0,14.0,3.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987603,2018-08-19 13:30:00,"Turf Moor, Burnley",18822,Away,Watford,Burnley,3,1,W,1,1,0,0,70.0,1.0,,22.0,29.0,4.0,3.0,5.0,2.0,157.0,1.0,3.0,4.0,3.0,2.0,8.0,6.0,68.0,158.0,56.0,,9.0,2.0,32.0,2.0,,,2.0,1.0,,7.0,10.0,1.0,29.0,1.0,8.0,39.0,130.0,,0.0,123.0,19.0,1.0,1.0,3.0,52.0,33.0,7.0,53.0,1.0,,7.0,10.0,4.0,,3.0,,158.0,3.0,5.0,67.0,531.0,4.0,9.0,18.0,13.0,220.0,26.0,,7.0,18.0,2.0,,2.0,1.0,,25.0,318.0,52.0,,9089,3.0,106.0,3.0,3.0,,130.0,9.0,2.0,10.0,11.0,68.0,1.0,2.0,3.0,14.0,3.0,5.0,,74.0,233.0,8.0,4.0,1.0,36.0,70.0,,,,0.0,,1.0,5.0,2.0,2.0,0.0,3.0,2.0,,41.6,17.0,,3.0,1.0,2.0,3.0,23.0,2.0,5.0,345.0,13.0,8.0,17.0,,23.0,1.0,,222.0,6.0,8.0,26.0,70.0,30.0,3.0,18.0,18.0,8.0,3.0,11.0,3.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987620,2018-08-26 13:30:00,"Vicarage Road, Watford",20014,Home,Watford,Crystal Palace,2,1,W,0,0,0,0,64.0,2.0,,30.0,16.0,4.0,2.0,8.0,2.0,139.0,,5.0,8.0,2.0,1.0,12.0,5.0,74.0,168.0,69.0,,13.0,2.0,24.0,2.0,,1.0,2.0,2.0,2.0,18.0,16.0,1.0,16.0,5.0,3.0,36.0,148.0,,0.0,117.0,14.0,1.0,1.0,1.0,62.0,41.0,8.0,47.0,,,13.0,17.0,5.0,,6.0,1.0,168.0,,8.0,71.0,528.0,9.0,8.0,22.0,19.0,213.0,32.0,,8.0,7.0,2.0,1.0,4.0,1.0,4.0,19.0,299.0,54.0,,9089,3.0,84.0,1.0,6.0,,116.0,4.0,2.0,17.0,13.0,57.0,1.0,,2.0,21.0,1.0,4.0,1.0,72.0,227.0,11.0,3.0,1.0,25.0,73.0,,,1.0,0.0,,3.0,3.0,1.0,3.0,0.0,3.0,,1.0,43.7,13.0,1.0,4.0,4.0,,4.0,31.0,6.0,1.0,331.0,19.0,10.0,16.0,4.0,29.0,2.0,3.0,233.0,10.0,3.0,24.0,78.0,23.0,,7.0,26.0,12.0,2.0,17.0,,5.0,6.0,1.0,,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987630,2018-09-02 16:00:00,"Vicarage Road, Watford",20141,Home,Watford,Tottenham Hotspur,2,1,W,0,0,0,0,76.0,,2.0,29.0,49.0,3.0,1.0,4.0,1.0,123.0,,5.0,8.0,2.0,3.0,6.0,3.0,65.0,163.0,57.0,1.0,7.0,1.0,15.0,,,3.0,,1.0,,11.0,13.0,1.0,49.0,1.0,4.0,40.0,105.0,,0.0,102.0,9.0,,2.0,2.0,45.0,24.0,3.0,39.0,4.0,1.0,10.0,19.0,3.0,1.0,,1.0,163.0,,6.0,62.0,516.0,4.0,10.0,23.0,21.0,175.0,39.0,,5.0,26.0,2.0,4.0,2.0,2.0,3.0,10.0,262.0,50.0,1.0,9089,4.0,87.0,,8.0,1.0,119.0,3.0,,19.0,9.0,57.0,,,,25.0,6.0,5.0,2.0,74.0,187.0,8.0,10.0,,27.0,66.0,1.0,,,0.0,,2.0,10.0,2.0,2.0,0.0,4.0,2.0,4.0,34.4,7.0,2.0,6.0,,,1.0,27.0,3.0,3.0,289.0,21.0,15.0,20.0,3.0,25.0,1.0,2.0,181.0,2.0,4.0,26.0,60.0,20.0,7.0,26.0,15.0,4.0,3.0,16.0,7.0,14.0,3.0,,,1.0,,2.0,2.0,,,,1.0,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987640,2018-09-15 17:30:00,"Vicarage Road, Watford",20537,Home,Watford,Manchester United,1,2,L,0,2,0,1,67.0,3.0,,24.0,28.0,8.0,4.0,6.0,1.0,150.0,,3.0,7.0,1.0,4.0,12.0,5.0,101.0,143.0,60.0,1.0,14.0,3.0,22.0,2.0,1.0,1.0,1.0,,,21.0,18.0,2.0,28.0,6.0,4.0,30.0,178.0,,0.0,154.0,9.0,,2.0,,50.0,40.0,11.0,48.0,2.0,2.0,15.0,15.0,8.0,1.0,6.0,3.0,143.0,1.0,6.0,88.0,579.0,9.0,5.0,22.0,9.0,283.0,31.0,,8.0,10.0,1.0,1.0,2.0,2.0,1.0,16.0,372.0,64.0,1.0,9089,3.0,116.0,1.0,7.0,1.0,130.0,4.0,1.0,15.0,2.0,44.0,1.0,,1.0,10.0,3.0,,1.0,60.0,291.0,10.0,4.0,2.0,31.0,64.0,,2.0,,0.0,,3.0,8.0,1.0,1.0,0.0,2.0,1.0,1.0,42.9,13.0,,3.0,1.0,,6.0,28.0,6.0,,387.0,9.0,6.0,15.0,3.0,38.0,1.0,,278.0,8.0,3.0,18.0,98.0,30.0,2.0,10.0,25.0,10.0,3.0,12.0,2.0,6.0,6.0,2.0,,,,2.0,4.0,,,,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987647,2018-09-22 12:30:00,"Craven Cottage, London",23418,Away,Watford,Fulham,1,1,D,1,0,0,0,71.0,1.0,,32.0,25.0,3.0,2.0,8.0,3.0,158.0,,2.0,4.0,1.0,2.0,6.0,6.0,75.0,183.0,42.0,,11.0,,28.0,4.0,1.0,,1.0,5.0,3.0,26.0,5.0,1.0,25.0,5.0,7.0,30.0,122.0,,0.0,134.0,9.0,,6.0,2.0,23.0,45.0,4.0,54.0,2.0,1.0,21.0,16.0,3.0,,5.0,2.0,183.0,2.0,9.0,48.0,535.0,4.0,7.0,23.0,18.0,202.0,26.0,,10.0,12.0,1.0,,1.0,6.0,2.0,16.0,304.0,79.0,1.0,9089,3.0,98.0,2.0,10.0,,114.0,5.0,1.0,16.0,12.0,55.0,,,1.0,17.0,6.0,3.0,,83.0,218.0,11.0,4.0,1.0,44.0,93.0,,,,0.0,,,8.0,1.0,,0.0,1.0,1.0,,39.3,11.0,,8.0,1.0,,1.0,32.0,8.0,2.0,335.0,18.0,9.0,19.0,4.0,45.0,1.0,2.0,247.0,8.0,6.0,17.0,72.0,29.0,1.0,12.0,11.0,10.0,3.0,9.0,1.0,9.0,8.0,2.0,1.0,1.0,,1.0,2.0,,1.0,,2.0,,,,6.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,987653,2018-09-29 15:00:00,"Emirates Stadium, London",60019,Away,Watford,Arsenal,0,2,L,0,0,0,0,57.0,1.0,,30.0,22.0,3.0,4.0,10.0,3.0,125.0,,7.0,8.0,,4.0,10.0,5.0,63.0,147.0,59.0,1.0,14.0,1.0,26.0,5.0,1.0,1.0,,4.0,1.0,27.0,10.0,,22.0,5.0,2.0,28.0,119.0,,0.0,103.0,17.0,,3.0,1.0,50.0,37.0,5.0,51.0,,2.0,22.0,20.0,4.0,1.0,6.0,3.0,147.0,5.0,7.0,59.0,502.0,8.0,9.0,29.0,15.0,197.0,23.0,,8.0,7.0,,1.0,2.0,1.0,5.0,16.0,275.0,62.0,2.0,9089,3.0,95.0,6.0,13.0,5.0,117.0,5.0,,20.0,9.0,60.0,3.0,2.0,,15.0,3.0,3.0,4.0,67.0,207.0,10.0,7.0,2.0,25.0,64.0,,1.0,1.0,0.0,,2.0,6.0,,3.0,0.0,7.0,,2.0,36.5,12.0,1.0,2.0,3.0,2.0,2.0,30.0,6.0,1.0,298.0,15.0,6.0,12.0,7.0,36.0,,4.0,208.0,8.0,2.0,22.0,58.0,27.0,7.0,7.0,20.0,8.0,2.0,12.0,7.0,6.0,6.0,1.0,,,,1.0,1.0,,2.0,,1.0,,1.0,,3.0,,2.0,1.0,,2.0,,1.0,,,1.0,,,1.0,2.0,,,,1.0,1.0,,,,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,987671,2018-10-06 15:00:00,"Vicarage Road, Watford",20139,Home,Watford,Bournemouth,0,4,L,0,3,1,0,50.0,5.0,,40.0,12.0,6.0,4.0,8.0,,144.0,,2.0,3.0,,1.0,9.0,2.0,79.0,133.0,45.0,1.0,14.0,5.0,18.0,1.0,2.0,1.0,,2.0,1.0,24.0,11.0,1.0,12.0,10.0,9.0,46.0,166.0,,0.0,124.0,11.0,,2.0,,48.0,56.0,7.0,76.0,1.0,1.0,14.0,17.0,6.0,1.0,4.0,,133.0,1.0,9.0,75.0,537.0,7.0,11.0,23.0,8.0,276.0,22.0,,10.0,8.0,,1.0,3.0,,2.0,23.0,353.0,61.0,,94924,2.0,127.0,1.0,8.0,,142.0,5.0,,17.0,6.0,39.0,,1.0,,8.0,1.0,3.0,,74.0,291.0,9.0,3.0,2.0,24.0,76.0,,,1.0,0.0,,3.0,7.0,,2.0,1.0,,,2.0,47.2,17.0,1.0,8.0,,1.0,10.0,48.0,10.0,,374.0,8.0,3.0,23.0,2.0,35.0,2.0,2.0,256.0,7.0,9.0,15.0,78.0,14.0,,8.0,18.0,9.0,3.0,9.0,,7.0,10.0,1.0,,,,,3.0,,,,1.0,,,,1.0,3.0,4.0,,,4.0,,,,,,,,,1.0,,,,,,,,,1.0,3.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,987681,2018-10-20 15:00:00,"Molineux Stadium, Wolverhampton",31144,Away,Watford,Wolverhampton Wanderers,2,0,W,2,0,0,0,45.0,2.0,,22.0,29.0,4.0,2.0,5.0,1.0,186.0,1.0,,9.0,2.0,5.0,7.0,3.0,133.0,136.0,69.0,1.0,9.0,2.0,21.0,1.0,1.0,,2.0,,,4.0,12.0,,29.0,,12.0,26.0,251.0,1.0,0.0,137.0,13.0,2.0,1.0,1.0,110.0,55.0,5.0,97.0,,,4.0,18.0,4.0,1.0,,1.0,136.0,2.0,4.0,134.0,749.0,5.0,9.0,17.0,9.0,442.0,19.0,,9.0,15.0,2.0,,1.0,3.0,2.0,20.0,515.0,51.0,,94924,2.0,212.0,1.0,3.0,,229.0,5.0,1.0,18.0,9.0,61.0,,1.0,2.0,19.0,6.0,2.0,1.0,60.0,463.0,22.0,5.0,,30.0,94.0,,,,0.0,,1.0,8.0,1.0,2.0,0.0,,,,55.2,18.0,,2.0,2.0,1.0,4.0,56.0,2.0,1.0,550.0,9.0,14.0,13.0,2.0,18.0,,1.0,325.0,7.0,12.0,22.0,98.0,20.0,4.0,15.0,17.0,8.0,3.0,17.0,4.0,10.0,3.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,987691,2018-10-27 15:00:00,"Vicarage Road, Watford",20457,Home,Watford,Huddersfield Town,3,0,W,2,0,0,0,61.0,,1.0,31.0,23.0,4.0,3.0,8.0,2.0,183.0,2.0,2.0,10.0,3.0,1.0,12.0,6.0,103.0,162.0,52.0,,12.0,,16.0,2.0,2.0,4.0,2.0,1.0,3.0,7.0,11.0,1.0,23.0,2.0,5.0,30.0,190.0,1.0,0.0,143.0,9.0,1.0,1.0,,64.0,64.0,6.0,81.0,,1.0,5.0,19.0,4.0,,1.0,3.0,162.0,3.0,9.0,100.0,680.0,9.0,7.0,22.0,9.0,352.0,23.0,1.0,12.0,10.0,3.0,4.0,1.0,2.0,6.0,31.0,444.0,42.0,,94924,3.0,178.0,1.0,3.0,1.0,208.0,7.0,3.0,19.0,7.0,61.0,1.0,2.0,2.0,18.0,4.0,3.0,,61.0,366.0,12.0,10.0,,34.0,73.0,1.0,1.0,1.0,0.0,,,3.0,3.0,2.0,0.0,1.0,1.0,,48.1,22.0,,3.0,1.0,2.0,,43.0,3.0,,467.0,9.0,13.0,21.0,6.0,15.0,1.0,3.0,266.0,9.0,5.0,12.0,105.0,27.0,1.0,10.0,19.0,11.0,3.0,23.0,1.0,9.0,3.0,1.0,2.0,,,3.0,7.0,,1.0,,6.0,,1.0,2.0,3.0,4.0,,,2.0,,,2.0,,1.0,2.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
