matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2444476,1,2024-08-17 17:30:00,"London Stadium, London",62463,Away,Aston Villa,West Ham,2,1,W,1,1,0,0,2.0,15.0,3.0,6.0,6.0,,,4.0,2.0,2.0,1.0,,2.0,12.0,7.0,32.0,51.0,394.0,329.0,47.9,23.0,24.0,15.0,7.0,20.0,20.0,9.0,4.0,,,4.0,7.0,116.0,3.0,1.0,,,62.0,43.0,13.0,14.0,3.0,3.0,,11.0,18.0,0.0,0.0,,,1.0,
2444481,2,2024-08-24 17:30:00,"Villa Park, Birmingham",41587,Home,Aston Villa,Arsenal,0,2,L,0,0,0,0,,11.0,3.0,3.0,5.0,,,1.0,,2.0,1.0,,,9.0,6.0,17.0,28.0,329.0,271.0,39.3,17.0,22.0,10.0,4.0,16.0,16.0,3.0,1.0,1.0,,6.0,10.0,100.0,2.0,2.0,,,58.0,38.0,10.0,7.0,4.0,4.0,,8.0,16.0,0.0,0.0,,,3.0,
2444495,3,2024-08-31 15:00:00,"King Power Stadium, Leicester",31725,Away,Aston Villa,Leicester,2,1,W,1,0,0,0,2.0,10.0,5.0,3.0,2.0,,,4.0,2.0,2.0,,,2.0,7.0,5.0,21.0,33.0,383.0,318.0,42.4,22.0,17.0,10.0,7.0,25.0,25.0,6.0,1.0,1.0,,6.0,15.0,119.0,2.0,1.0,,,53.0,58.0,10.0,9.0,4.0,4.0,2.0,21.0,13.0,0.0,0.0,,,1.0,102785.05
2444501,4,2024-09-14 17:30:00,"Villa Park, Birmingham",41573,Home,Aston Villa,Everton,3,2,W,1,2,0,0,3.0,17.0,8.0,6.0,3.0,2.125,2.3582,5.0,2.0,4.0,,2.00259,2.0,13.0,7.0,39.0,97.0,665.0,602.0,72.9,31.0,20.0,15.0,4.0,9.0,9.0,8.0,1.0,1.0,1.0,7.0,16.0,118.0,,2.0,1.1424,,46.0,51.0,9.0,11.0,6.0,6.0,1.0,10.0,12.0,0.0,0.0,,,1.0,107118.47
2444510,5,2024-09-21 15:00:00,"Villa Park, Birmingham",39978,Home,Aston Villa,Wolves,3,1,W,0,1,0,0,3.0,9.0,4.0,2.0,3.0,,,5.0,3.0,2.0,,,3.0,7.0,6.0,29.0,58.0,447.0,393.0,53.0,31.0,15.0,10.0,5.0,15.0,15.0,6.0,5.0,,1.0,7.0,12.0,106.0,3.0,1.0,,,46.0,51.0,7.0,10.0,6.0,6.0,1.0,11.0,15.0,0.0,0.0,,,1.0,101842.7
2444525,6,2024-09-29 14:00:00,"Portman Road, Ipswich",29943,Away,Aston Villa,Ipswich,2,2,D,2,1,0,0,2.0,7.0,3.0,4.0,,,,2.0,1.0,1.0,,,2.0,6.0,3.0,19.0,83.0,542.0,480.0,56.2,18.0,15.0,9.0,5.0,16.0,16.0,7.0,3.0,,,10.0,13.0,101.0,3.0,2.0,,,37.0,50.0,7.0,10.0,,,,14.0,10.0,0.0,0.0,,,1.0,105392.23
2444531,7,2024-10-06 14:00:00,"Villa Park, Birmingham",42682,Home,Aston Villa,Man Utd,0,0,D,0,0,0,0,,11.0,1.0,7.0,3.0,,,,,,,,,8.0,3.0,32.0,41.0,416.0,345.0,53.5,25.0,12.0,10.0,6.0,14.0,14.0,2.0,2.0,,,4.0,12.0,130.0,4.0,,,1.0,38.0,51.0,8.0,15.0,6.0,6.0,1.0,12.0,11.0,0.0,0.0,,,,101094.51
2444541,8,2024-10-19 15:00:00,"Craven Cottage, London",26743,Away,Aston Villa,Fulham,3,1,W,1,1,1,1,3.0,14.0,5.0,5.0,4.0,,,2.0,,2.0,,,2.0,11.0,6.0,33.0,48.0,408.0,361.0,47.9,27.0,11.0,5.0,14.0,19.0,19.0,8.0,1.0,,,3.0,12.0,104.0,3.0,1.0,,,32.0,45.0,5.0,14.0,11.0,11.0,2.0,11.0,8.0,0.0,0.0,,,2.0,
2444551,9,2024-10-26 15:00:00,"Villa Park, Birmingham",42165,Home,Aston Villa,Bournemouth,1,1,D,0,0,0,0,1.0,18.0,8.0,5.0,5.0,,,3.0,1.0,2.0,,,1.0,13.0,9.0,34.0,54.0,438.0,362.0,56.6,34.0,11.0,5.0,11.0,15.0,15.0,4.0,3.0,,,5.0,12.0,115.0,2.0,1.0,,,43.0,49.0,13.0,16.0,9.0,9.0,2.0,12.0,13.0,0.0,0.0,,,,
2444568,10,2024-11-03 14:00:00,"Tottenham Hotspur Stadium, London",61253,Away,Aston Villa,Spurs,1,4,L,1,0,0,0,1.0,12.0,1.0,8.0,3.0,,,3.0,1.0,3.0,1.0,,,11.0,3.0,19.0,31.0,386.0,324.0,48.9,15.0,19.0,11.0,11.0,21.0,21.0,7.0,2.0,2.0,1.0,5.0,7.0,109.0,2.0,4.0,,,58.0,47.0,11.0,12.0,4.0,4.0,3.0,14.0,14.0,0.0,0.0,,,,
2444574,11,2024-11-09 20:00:00,"Anfield, Liverpool",60292,Away,Aston Villa,Liverpool,0,2,L,0,1,0,0,,12.0,2.0,8.0,2.0,,,3.0,,5.0,,,,9.0,3.0,26.0,23.0,351.0,288.0,37.6,28.0,16.0,8.0,6.0,18.0,18.0,7.0,3.0,,1.0,9.0,9.0,108.0,3.0,2.0,,,44.0,42.0,6.0,6.0,9.0,9.0,,15.0,11.0,0.0,0.0,,,1.0,
2444582,12,2024-11-23 15:00:00,"Villa Park, Birmingham",42175,Home,Aston Villa,Crystal Palace,2,2,D,1,2,0,0,2.0,17.0,5.0,6.0,6.0,,,2.0,1.0,3.0,1.0,,2.0,12.0,9.0,30.0,78.0,617.0,531.0,69.9,48.0,9.0,5.0,4.0,12.0,12.0,10.0,1.0,,,3.0,14.0,147.0,4.0,2.0,,,43.0,46.0,12.0,11.0,10.0,10.0,,10.0,10.0,0.0,0.0,1.0,,1.0,
2444592,13,2024-12-01 13:30:00,"Stamford Bridge, London",39689,Away,Aston Villa,Chelsea,0,3,L,0,2,0,0,,10.0,4.0,3.0,3.0,,,2.0,,2.0,,,,8.0,6.0,21.0,30.0,352.0,296.0,35.9,19.0,16.0,7.0,10.0,12.0,12.0,7.0,3.0,2.0,1.0,8.0,8.0,93.0,5.0,3.0,,,47.0,34.0,7.0,5.0,4.0,4.0,2.0,6.0,20.0,0.0,0.0,,,1.0,
2444602,14,2024-12-04 20:15:00,"Villa Park, Birmingham",37890,Home,Aston Villa,Brentford,3,1,W,3,0,0,0,3.0,20.0,10.0,6.0,4.0,,,2.0,1.0,3.0,,,1.0,15.0,11.0,32.0,38.0,387.0,333.0,49.2,41.0,16.0,12.0,8.0,22.0,22.0,3.0,4.0,1.0,,5.0,6.0,106.0,,1.0,,,51.0,46.0,12.0,17.0,10.0,10.0,2.0,11.0,15.0,0.0,0.0,1.0,1.0,,
2444610,15,2024-12-07 15:00:00,"Villa Park, Birmingham",42453,Home,Aston Villa,Southampton,1,0,W,1,0,0,0,1.0,18.0,5.0,5.0,8.0,,,4.0,1.0,4.0,,,,15.0,10.0,29.0,48.0,421.0,363.0,47.2,40.0,27.0,15.0,8.0,9.0,9.0,2.0,4.0,1.0,,4.0,6.0,107.0,,,,1.0,56.0,45.0,9.0,8.0,14.0,14.0,,18.0,15.0,0.0,0.0,,,,
2444627,16,2024-12-14 17:30:00,"The City Ground, Nottingham",30117,Away,Aston Villa,Nott'm Forest,1,2,L,0,0,0,0,1.0,8.0,2.0,4.0,2.0,,,,,,,,1.0,7.0,4.0,31.0,53.0,468.0,414.0,49.7,33.0,11.0,5.0,6.0,21.0,21.0,4.0,5.0,,2.0,10.0,9.0,106.0,4.0,2.0,,,36.0,45.0,8.0,10.0,3.0,3.0,1.0,6.0,12.0,0.0,0.0,,,2.0,
2444630,17,2024-12-21 12:30:00,"Villa Park, Birmingham",42345,Home,Aston Villa,Man City,2,1,W,1,0,0,0,2.0,11.0,6.0,3.0,2.0,,,2.0,1.0,3.0,2.0,,2.0,9.0,7.0,21.0,33.0,428.0,369.0,43.9,17.0,22.0,12.0,4.0,17.0,17.0,6.0,1.0,,1.0,8.0,3.0,82.0,5.0,1.0,,,37.0,30.0,2.0,2.0,5.0,5.0,,14.0,7.0,0.0,0.0,,,3.0,
2444646,18,2024-12-26 15:00:00,"St. James' Park, Newcastle",52168,Away,Aston Villa,Newcastle,0,3,L,0,1,1,0,,4.0,1.0,2.0,1.0,,,,,,,,,1.0,,23.0,34.0,316.0,254.0,37.2,9.0,15.0,7.0,5.0,18.0,18.0,2.0,8.0,3.0,1.0,6.0,7.0,107.0,4.0,3.0,,,47.0,41.0,8.0,14.0,6.0,6.0,2.0,10.0,14.0,0.0,0.0,,,3.0,
2444650,19,2024-12-30 19:45:00,"Villa Park, Birmingham",41414,Home,Aston Villa,Brighton,2,2,D,1,1,0,0,2.0,20.0,4.0,7.0,9.0,,,2.0,1.0,2.0,,,1.0,16.0,9.0,34.0,47.0,486.0,412.0,59.7,48.0,22.0,12.0,4.0,20.0,20.0,8.0,5.0,1.0,,9.0,10.0,130.0,3.0,2.0,,,67.0,48.0,11.0,11.0,12.0,12.0,,9.0,14.0,0.0,0.0,1.0,1.0,2.0,113450.94
2444661,20,2025-01-04 15:00:00,"Villa Park, Birmingham",42386,Home,Aston Villa,Leicester,2,1,W,0,0,0,0,2.0,13.0,5.0,3.0,5.0,,,2.0,1.0,2.0,1.0,,1.0,7.0,6.0,25.0,48.0,616.0,551.0,60.8,25.0,19.0,11.0,10.0,15.0,15.0,7.0,,,1.0,5.0,13.0,113.0,1.0,1.0,,,48.0,43.0,12.0,6.0,6.0,7.0,,10.0,11.0,0.0,0.0,,,1.0,109781.37
2444672,21,2025-01-15 19:30:00,"Goodison Park, Liverpool",39085,Away,Aston Villa,Everton,1,0,W,0,0,0,0,1.0,11.0,3.0,4.0,4.0,,,2.0,1.0,3.0,,,1.0,7.0,5.0,29.0,48.0,436.0,360.0,50.3,20.0,22.0,16.0,9.0,34.0,34.0,9.0,2.0,1.0,,1.0,11.0,131.0,2.0,,,1.0,64.0,46.0,19.0,16.0,5.0,5.0,,10.0,17.0,0.0,0.0,,,1.0,104699.83
2444680,22,2025-01-18 17:30:00,"Emirates Stadium, London",60067,Away,Aston Villa,Arsenal,2,2,D,0,1,0,0,2.0,8.0,4.0,3.0,1.0,,,2.0,2.0,,1.0,,2.0,5.0,4.0,9.0,26.0,262.0,193.0,34.0,14.0,17.0,8.0,3.0,40.0,40.0,2.0,4.0,1.0,,7.0,8.0,108.0,4.0,2.0,,,45.0,51.0,13.0,16.0,1.0,1.0,1.0,18.0,9.0,0.0,0.0,,,2.0,
2444691,23,2025-01-26 16:30:00,"Villa Park, Birmingham",41628,Home,Aston Villa,West Ham,1,1,D,1,0,0,0,1.0,14.0,4.0,6.0,4.0,,,,,,,,1.0,11.0,7.0,27.0,35.0,378.0,309.0,45.8,26.0,27.0,15.0,9.0,22.0,22.0,9.0,5.0,1.0,,15.0,14.0,134.0,2.0,1.0,,,69.0,75.0,20.0,18.0,4.0,4.0,1.0,13.0,14.0,0.0,0.0,,,2.0,114295.45
2444709,24,2025-02-01 17:30:00,"Molineux Stadium, Wolverhampton",31385,Away,Aston Villa,Wolves,0,2,L,0,1,0,0,,10.0,3.0,2.0,5.0,0.4466,0.7148,1.0,,1.0,,0.5742,,8.0,8.0,27.0,61.0,554.0,493.0,68.7,18.0,13.0,8.0,3.0,13.0,13.0,4.0,,2.0,1.0,7.0,12.0,127.0,3.0,2.0,1.7007,,52.0,52.0,11.0,9.0,8.0,8.0,1.0,13.0,20.0,0.0,0.0,,,3.0,102399.85
2444710,25,2025-02-15 15:00:00,"Villa Park, Birmingham",42510,Home,Aston Villa,Ipswich,1,1,D,0,0,0,1,1.0,25.0,6.0,10.0,9.0,2.42,2.7909,4.0,1.0,5.0,1.0,1.93362,,17.0,10.0,59.0,71.0,666.0,603.0,75.6,47.0,12.0,8.0,5.0,9.0,9.0,4.0,1.0,,,5.0,10.0,123.0,3.0,1.0,1.1568,,51.0,41.0,11.0,7.0,16.0,16.0,2.0,7.0,11.0,0.0,0.0,,,2.0,104753.72
2444722,26,2025-02-22 17:30:00,"Villa Park, Birmingham",42423,Home,Aston Villa,Chelsea,2,1,W,0,1,0,0,2.0,12.0,6.0,3.0,3.0,2.3302,2.1245,3.0,1.0,2.0,,1.71526,2.0,9.0,8.0,25.0,55.0,484.0,421.0,52.2,35.0,17.0,9.0,5.0,16.0,16.0,4.0,4.0,3.0,,7.0,10.0,104.0,5.0,1.0,1.9703,,50.0,45.0,7.0,8.0,2.0,2.0,1.0,15.0,16.0,0.0,0.0,,,1.0,115677.46
