gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,attLfTarget,bigChanceScored,attGoalLowRight,attLfTotal,attLfGoal,attRfTarget,accuratePullBack,attIboxTarget,attOboxTarget,totalCornersIntobox,penaltyWon,attSvLowLeft,freekickCross,attGoalHighCentre,attHdTarget,attMissHighLeft,offtargetAttAssist,accurateFreekickCross,attSetpiece,totalPullBack,attCmissHighLeft,attMissHigh,attPenGoal,attAssistSetplay,attCorner,attSvLowRight,attHdTotal,attHdMiss,attBxLeft,attSvHighCentre,cornerTaken,accurateCornersIntobox,attIboxMiss,wonCorners,shotFastbreak,attSvLowCentre,cleanSheet,totalFastbreak,attSvHighLeft,interceptionsInBox,attMissRight,bigChanceCreated,errorLeadToShot,bigChanceMissed,attCmissHigh,attFastbreak,attHdGoal,attSvHighRight,ptsGainedLosingPos,goodHighClaim,hitWoodwork,clearanceOffLine,totalHighClaim,goalsConcededObox,attCmissRight,sixYardBlock,shieldBallOop,foulThrowIn,attGoalHighRight,attMissHighRight,attOboxGoal,contentiousDecision,attGoalHighLeft,goalAssistSetplay,attObxLeft,postScoringAtt,defenderGoals,attOboxPost,attPostRight,errorLeadToGoal,attOboxOwnGoal,ownGoals,attIboxPost,attPostLeft,attHdPost,attPostHigh,attOneOnOne,ptsDroppedWinningPos,winningGoal,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,goalFastbreak,goalAssistDeadball,attIboxOwnGoal,attCmissHighRight,penaltySave,attLgCentre
1,2128289,2020-09-12 17:30:00,"Anfield, Liverpool",,Away,Leeds United,Liverpool,3,4,L,2,3,0,0,1.0,23.0,69.0,2.0,1.0,1.0,29.0,34.0,2.0,4.0,3.0,156.0,1.0,12.0,3.0,9.0,3.0,1.0,3.0,3.0,120.0,163.0,64.0,1.0,6.0,1.0,14.0,1.0,1.0,2.0,1.0,9.0,20.0,34.0,6.0,56.0,92.0,0.0,80.0,6.0,2.0,2.0,53.0,47.0,3.0,68.0,9.0,13.0,2.0,1.0,8.0,1.0,163.0,17.0,115.0,695.0,1.0,4.0,14.0,12.0,326.0,35.0,2.0,14.0,2.0,1.0,0.0,12.0,25.0,432.0,44.0,1.0,87873,3.0,258.0,1.0,2.0,302.0,4.0,3.0,13.0,12.0,51.0,1.0,5.0,10.0,3.0,21.0,5.0,6.0,70.0,347.0,9.0,19.0,17.0,61.0,1.0,1.0,0.0,2.0,9.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,51.2,22.0,3.0,11.0,2.0,32.0,2.0,459.0,2.0,12.0,1.0,9.0,32.0,1.0,15.0,166.0,5.0,6.0,12.0,40.0,18.0,1.0,2.0,14.0,34.0,4.0,5.0,3.0,13.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128300,2020-09-19 15:00:00,"Elland Road, Leeds",,Home,Leeds United,Fulham,4,3,W,2,1,0,0,1.0,17.0,74.0,,2.0,,37.0,11.0,2.0,8.0,3.0,176.0,1.0,8.0,3.0,12.0,4.0,7.0,7.0,7.0,113.0,174.0,69.0,1.0,10.0,1.0,20.0,,,2.0,,20.0,17.0,11.0,12.0,52.0,120.0,0.0,108.0,13.0,,3.0,47.0,58.0,5.0,75.0,16.0,20.0,2.0,1.0,7.0,,174.0,7.0,80.0,658.0,2.0,7.0,19.0,10.0,314.0,28.0,3.0,5.0,2.0,,1.0,3.0,31.0,418.0,52.0,,87873,4.0,220.0,6.0,1.0,264.0,6.0,2.0,20.0,9.0,70.0,2.0,3.0,5.0,2.0,25.0,7.0,8.0,66.0,337.0,17.0,20.0,17.0,60.0,,1.0,0.0,1.0,3.0,1.0,4.0,3.0,4.0,0.0,2.0,2.0,50.3,28.0,9.0,5.0,1.0,35.0,1.0,444.0,1.0,10.0,,13.0,34.0,2.0,27.0,200.0,3.0,10.0,18.0,68.0,30.0,1.0,3.0,5.0,22.0,3.0,5.0,2.0,17.0,3.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128312,2020-09-27 12:00:00,"Bramall Lane, Sheffield",,Away,Leeds United,Sheffield United,1,0,W,0,0,0,0,,21.0,56.0,1.0,1.0,1.0,35.0,10.0,8.0,9.0,4.0,172.0,,4.0,7.0,7.0,1.0,4.0,16.0,9.0,180.0,170.0,60.0,,17.0,2.0,23.0,3.0,1.0,1.0,2.0,25.0,7.0,10.0,8.0,49.0,215.0,0.0,163.0,4.0,2.0,,91.0,67.0,11.0,68.0,20.0,22.0,8.0,,7.0,1.0,170.0,9.0,158.0,801.0,13.0,8.0,22.0,7.0,447.0,28.0,,4.0,1.0,1.0,1.0,5.0,28.0,553.0,50.0,,87873,6.0,262.0,9.0,,286.0,3.0,,22.0,6.0,62.0,1.0,1.0,10.0,1.0,18.0,5.0,6.0,71.0,470.0,15.0,12.0,13.0,83.0,,,0.0,2.0,5.0,3.0,1.0,,2.0,0.0,6.0,1.0,63.7,28.0,2.0,10.0,3.0,49.0,,578.0,,7.0,,16.0,23.0,5.0,41.0,317.0,7.0,8.0,25.0,116.0,16.0,1.0,1.0,4.0,13.0,,14.0,3.0,14.0,1.0,13.0,3.0,1.0,,5.0,,5.0,,3.0,5.0,5.0,,,4.0,,,,5.0,2.0,1.0,1.0,,2.0,,2.0,2.0,3.0,5.0,4.0,,1.0,7.0,1.0,4.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128320,2020-10-03 17:30:00,"Elland Road, Leeds",,Home,Leeds United,Manchester City,1,1,D,0,1,0,0,,32.0,53.0,,,3.0,29.0,19.0,1.0,11.0,1.0,138.0,1.0,12.0,3.0,10.0,1.0,1.0,9.0,7.0,113.0,117.0,55.0,,12.0,,13.0,,,,1.0,13.0,14.0,19.0,9.0,58.0,110.0,0.0,90.0,11.0,1.0,,44.0,45.0,7.0,64.0,8.0,15.0,1.0,,4.0,,117.0,16.0,114.0,633.0,9.0,4.0,23.0,9.0,327.0,25.0,2.0,6.0,,,2.0,8.0,17.0,397.0,37.0,,87873,4.0,249.0,4.0,,265.0,8.0,1.0,15.0,14.0,57.0,,2.0,6.0,,18.0,7.0,13.0,57.0,356.0,12.0,22.0,6.0,54.0,,1.0,0.0,1.0,10.0,1.0,1.0,1.0,1.0,0.0,2.0,,52.1,16.0,2.0,7.0,3.0,24.0,,429.0,,9.0,,5.0,31.0,2.0,20.0,177.0,4.0,7.0,6.0,59.0,19.0,,,6.0,27.0,1.0,11.0,3.0,16.0,,11.0,3.0,1.0,,6.0,,2.0,1.0,5.0,1.0,6.0,,,,,1.0,,2.0,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,3.0,,7.0,2.0,2.0,7.0,,3.0,,,,,,3.0,4.0,4.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128329,2020-10-19 20:00:00,"Elland Road, Leeds",,Home,Leeds United,Wolverhampton Wanderers,0,1,L,0,0,0,0,,28.0,57.0,,1.0,4.0,40.0,5.0,,13.0,2.0,178.0,,12.0,8.0,7.0,,2.0,10.0,2.0,163.0,147.0,41.0,,13.0,,20.0,4.0,,,3.0,37.0,8.0,5.0,2.0,57.0,231.0,0.0,189.0,13.0,1.0,,94.0,88.0,3.0,76.0,31.0,8.0,,,6.0,,147.0,4.0,136.0,728.0,9.0,3.0,35.0,12.0,438.0,24.0,1.0,1.0,,,2.0,3.0,19.0,530.0,67.0,,87873,9.0,238.0,23.0,,262.0,8.0,,8.0,7.0,61.0,2.0,1.0,5.0,,6.0,3.0,7.0,61.0,461.0,11.0,14.0,7.0,60.0,,,0.0,2.0,3.0,1.0,,1.0,1.0,0.0,6.0,,67.8,17.0,2.0,5.0,4.0,43.0,,553.0,,12.0,,6.0,34.0,7.0,50.0,328.0,4.0,2.0,10.0,136.0,26.0,,2.0,1.0,14.0,,9.0,3.0,15.0,2.0,5.0,1.0,,,4.0,,,1.0,2.0,,8.0,,,2.0,,1.0,2.0,7.0,,1.0,2.0,,1.0,,1.0,3.0,,5.0,4.0,,1.0,8.0,4.0,7.0,8.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128337,2020-10-23 20:00:00,"Villa Park, Birmingham",,Away,Leeds United,Aston Villa,3,0,W,0,0,0,0,,33.0,63.0,,1.0,5.0,39.0,12.0,7.0,20.0,3.0,169.0,,16.0,5.0,6.0,3.0,5.0,22.0,9.0,107.0,131.0,46.0,1.0,27.0,,17.0,3.0,1.0,2.0,5.0,20.0,4.0,12.0,6.0,48.0,213.0,0.0,159.0,17.0,1.0,,80.0,67.0,11.0,63.0,17.0,13.0,7.0,1.0,5.0,4.0,131.0,7.0,106.0,648.0,19.0,3.0,46.0,12.0,351.0,30.0,5.0,6.0,2.0,1.0,2.0,4.0,28.0,424.0,62.0,,87873,11.0,159.0,11.0,,187.0,5.0,,13.0,6.0,60.0,,,6.0,3.0,16.0,5.0,5.0,64.0,367.0,14.0,12.0,14.0,60.0,3.0,1.0,0.0,3.0,6.0,3.0,2.0,,1.0,0.0,4.0,1.0,59.2,24.0,4.0,7.0,5.0,42.0,,445.0,,12.0,1.0,8.0,31.0,13.0,38.0,278.0,8.0,5.0,13.0,124.0,22.0,3.0,3.0,6.0,14.0,,22.0,3.0,12.0,3.0,5.0,3.0,1.0,1.0,16.0,3.0,2.0,2.0,4.0,2.0,3.0,,2.0,1.0,,1.0,1.0,11.0,,,2.0,,3.0,,1.0,4.0,,3.0,2.0,4.0,2.0,5.0,1.0,9.0,5.0,1.0,2.0,1.0,1.0,,2.0,3.0,2.0,2.0,2.0,,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128349,2020-11-02 20:00:00,"Elland Road, Leeds",,Home,Leeds United,Leicester City,1,4,L,0,2,0,0,,29.0,70.0,,1.0,,24.0,11.0,4.0,6.0,4.0,170.0,,11.0,2.0,10.0,1.0,3.0,8.0,4.0,204.0,164.0,51.0,,11.0,2.0,7.0,1.0,,,1.0,25.0,9.0,11.0,7.0,48.0,289.0,0.0,179.0,9.0,2.0,,115.0,110.0,5.0,70.0,17.0,14.0,5.0,,9.0,,164.0,9.0,195.0,834.0,6.0,4.0,25.0,7.0,529.0,30.0,1.0,4.0,1.0,,1.0,1.0,26.0,627.0,68.0,1.0,87873,3.0,254.0,6.0,1.0,280.0,5.0,1.0,14.0,2.0,45.0,2.0,2.0,5.0,,18.0,1.0,2.0,45.0,541.0,5.0,9.0,5.0,69.0,,,0.0,1.0,3.0,3.0,,4.0,,0.0,1.0,,67.5,26.0,3.0,6.0,2.0,52.0,1.0,639.0,1.0,7.0,,14.0,22.0,5.0,42.0,384.0,7.0,5.0,17.0,129.0,31.0,,1.0,4.0,19.0,4.0,8.0,3.0,16.0,1.0,4.0,,,1.0,2.0,,2.0,1.0,2.0,1.0,8.0,,1.0,2.0,,1.0,,3.0,1.0,,2.0,,1.0,,1.0,3.0,,1.0,,,,10.0,1.0,4.0,10.0,,2.0,,,,1.0,2.0,3.0,,3.0,,,,,,,1.0,,1.0,,2.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2128359,2020-11-07 15:00:00,"Selhurst Park, London",,Away,Leeds United,Crystal Palace,1,4,L,1,3,0,0,1.0,27.0,73.0,1.0,1.0,1.0,42.0,11.0,4.0,5.0,3.0,166.0,,12.0,4.0,8.0,1.0,2.0,7.0,3.0,180.0,167.0,55.0,1.0,9.0,1.0,15.0,,,1.0,1.0,23.0,15.0,11.0,5.0,57.0,238.0,0.0,173.0,16.0,1.0,,92.0,98.0,4.0,85.0,17.0,18.0,4.0,1.0,10.0,1.0,167.0,7.0,168.0,806.0,4.0,6.0,21.0,14.0,477.0,22.0,5.0,6.0,1.0,,2.0,2.0,22.0,582.0,68.0,,87873,5.0,259.0,5.0,,282.0,10.0,,18.0,5.0,53.0,,1.0,8.0,1.0,22.0,4.0,5.0,69.0,493.0,8.0,8.0,11.0,79.0,1.0,,0.0,3.0,3.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,64.8,22.0,9.0,9.0,2.0,52.0,,599.0,,14.0,1.0,8.0,28.0,4.0,36.0,340.0,1.0,4.0,14.0,111.0,33.0,1.0,3.0,6.0,25.0,2.0,4.0,2.0,15.0,3.0,8.0,2.0,1.0,,5.0,1.0,,,,2.0,6.0,,,2.0,,,,3.0,,,,,1.0,,2.0,4.0,1.0,2.0,2.0,,,6.0,3.0,3.0,6.0,1.0,1.0,,1.0,,,2.0,1.0,,,,1.0,,,,,,,,2.0,2.0,,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
9,2128369,2020-11-22 16:30:00,"Elland Road, Leeds",,Home,Leeds United,Arsenal,0,0,D,0,0,0,1,,,69.0,,,3.0,16.0,14.0,10.0,15.0,2.0,169.0,,,7.0,4.0,,1.0,16.0,4.0,176.0,129.0,41.0,,25.0,2.0,11.0,3.0,2.0,,6.0,27.0,8.0,14.0,7.0,36.0,300.0,0.0,202.0,9.0,1.0,,68.0,87.0,6.0,81.0,24.0,6.0,10.0,,15.0,6.0,129.0,5.0,184.0,774.0,14.0,4.0,36.0,9.0,503.0,24.0,2.0,7.0,,2.0,3.0,1.0,16.0,592.0,64.0,,87873,12.0,226.0,9.0,,246.0,8.0,,6.0,5.0,44.0,,,2.0,,7.0,4.0,4.0,33.0,519.0,8.0,14.0,6.0,45.0,2.0,,0.0,,3.0,2.0,,,2.0,0.0,5.0,,66.3,16.0,2.0,2.0,5.0,29.0,,610.0,,9.0,,8.0,16.0,16.0,50.0,391.0,7.0,6.0,11.0,149.0,41.0,,1.0,7.0,18.0,,22.0,2.0,6.0,1.0,3.0,3.0,,,13.0,,1.0,2.0,3.0,1.0,3.0,,,,,,3.0,10.0,,1.0,3.0,,3.0,,2.0,2.0,,4.0,3.0,,,5.0,2.0,7.0,5.0,,3.0,1.0,,1.0,,,2.0,,2.0,1.0,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,3.0,,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
10,2128380,2020-11-28 17:30:00,"Goodison Park, Liverpool",,Away,Leeds United,Everton,1,0,W,0,0,0,0,,26.0,65.0,,3.0,4.0,35.0,11.0,6.0,17.0,8.0,158.0,,12.0,5.0,6.0,1.0,2.0,18.0,6.0,166.0,148.0,46.0,,23.0,2.0,16.0,3.0,,1.0,5.0,16.0,8.0,11.0,9.0,49.0,243.0,0.0,174.0,14.0,5.0,1.0,85.0,79.0,11.0,69.0,14.0,13.0,6.0,,5.0,1.0,148.0,10.0,149.0,751.0,17.0,2.0,37.0,4.0,436.0,18.0,2.0,5.0,1.0,,2.0,1.0,24.0,524.0,54.0,,87873,10.0,215.0,8.0,,232.0,4.0,,13.0,8.0,62.0,,6.0,15.0,1.0,21.0,5.0,8.0,54.0,453.0,8.0,13.0,9.0,66.0,1.0,,0.0,,4.0,5.0,,,1.0,0.0,4.0,,58.2,23.0,6.0,15.0,6.0,48.0,,542.0,,4.0,,10.0,27.0,11.0,24.0,326.0,7.0,9.0,13.0,122.0,26.0,,1.0,5.0,19.0,,23.0,3.0,15.0,1.0,3.0,3.0,,1.0,14.0,1.0,1.0,3.0,3.0,2.0,2.0,,2.0,1.0,,1.0,,7.0,,,4.0,,1.0,,,,1.0,2.0,,2.0,,2.0,1.0,9.0,2.0,2.0,2.0,1.0,2.0,,,3.0,5.0,1.0,5.0,,2.0,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,
