gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,freekickCross,goodHighClaim,interceptionsInBox,bigChanceMissed,attSetpiece,penaltyConceded,punches,goalsConceded,penaltyFaced,totalHighClaim,penGoalsConceded,goalsConcededIbox,attGoalLowLeft,penaltyWon,ptsGainedLosingPos,contentiousDecision,accurateFreekickCross,attPenGoal,attBxLeft,attLfGoal,attRfTarget,attIboxTarget,attSvLowCentre,attOboxTarget,attGoalHighCentre,attHdTarget,attSvLowRight,shieldBallOop,penaltySave,attLfTarget,attSvLowLeft,foulThrowIn,clearanceOffLine,ptsDroppedWinningPos,goalsConcededObox,attOboxGoal,sixYardBlock,defenderGoals,attFreekickGoal,attGoalLowCentre,attMissHighLeft,accurateThroughBall,totalThroughBall,attSvHighRight,errorLeadToGoal,postScoringAtt,attSvHighLeft,attLgCentre,hitWoodwork,errorLeadToShot,ownGoals,attOboxPost,attPostHigh,attIboxOwnGoal,goalFastbreak,attOneOnOne,attFreekickTarget,attSvHighCentre,attGoalHighRight,winningGoal,keeperGoals,subsGoals,attObpGoal,attHdGoal,goalAssistSetplay,goalAssistDeadball,attFreekickMiss,attCmissHigh,secondYellow,attLgLeft,attIboxPost,attCmissHighLeft,accurateKeeperSweeper,attPostLeft,totalKeeperSweeper,attPostRight,attObxdRight,attPenTarget,attFreekickPost,attObxRight
1,2128293,2020-09-12 20:00:00,"London Stadium, London",,Away,Newcastle United,West Ham United,2,0,W,0,0,0,0,1.0,23.0,68.0,1.0,3.0,34.0,28.0,4.0,2.0,10.0,3.0,136.0,14.0,7.0,9.0,2.0,1.0,13.0,1.0,2.0,72.0,123.0,57.0,1.0,15.0,3.0,17.0,2.0,1.0,2.0,3.0,20.0,10.0,28.0,6.0,2.0,39.0,156.0,2.0,1.0,0.0,114.0,7.0,1.0,2.0,1.0,46.0,50.0,6.0,63.0,1.0,14.0,10.0,5.0,1.0,7.0,2.0,123.0,1.0,10.0,71.0,526.0,10.0,5.0,25.0,5.0,255.0,27.0,7.0,15.0,2.0,2.0,7.0,7.0,10.0,320.0,58.0,90105,8.0,117.0,7.0,136.0,3.0,1.0,2.0,2.0,10.0,3.0,41.0,4.0,2.0,2.0,13.0,5.0,2.0,1.0,72.0,266.0,11.0,5.0,1.0,25.0,1.0,66.0,2.0,1.0,1.0,0.0,1.0,8.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,3.0,41.7,8.0,3.0,3.0,2.0,6.0,31.0,7.0,342.0,5.0,8.0,21.0,7.0,29.0,2.0,5.0,226.0,10.0,2.0,25.0,78.0,32.0,1.0,4.0,15.0,13.0,13.0,3.0,15.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128303,2020-09-20 14:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Brighton and Hove Albion,0,3,L,0,2,0,1,,20.0,37.0,,,26.0,14.0,3.0,,3.0,4.0,140.0,8.0,2.0,2.0,,3.0,5.0,,,106.0,138.0,47.0,,6.0,2.0,15.0,,,,1.0,20.0,5.0,14.0,5.0,1.0,36.0,142.0,,,0.0,93.0,16.0,1.0,,,54.0,60.0,2.0,47.0,2.0,15.0,13.0,3.0,,4.0,1.0,138.0,1.0,6.0,93.0,534.0,5.0,6.0,10.0,9.0,279.0,11.0,6.0,7.0,,3.0,1.0,3.0,18.0,359.0,47.0,90105,3.0,156.0,7.0,174.0,11.0,,,,13.0,8.0,40.0,1.0,5.0,,16.0,7.0,2.0,1.0,60.0,296.0,15.0,2.0,,20.0,1.0,67.0,,,,0.0,,1.0,1.0,,1.0,,0.0,2.0,,2.0,47.2,13.0,2.0,5.0,5.0,2.0,30.0,7.0,386.0,9.0,6.0,14.0,4.0,27.0,,3.0,232.0,4.0,1.0,21.0,59.0,14.0,,1.0,7.0,10.0,4.0,3.0,4.0,1.0,1.0,7.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128313,2020-09-27 14:00:00,"Tottenham Hotspur Stadium, London",,Away,Newcastle United,Tottenham Hotspur,1,1,D,0,1,0,0,1.0,15.0,52.0,,2.0,32.0,25.0,2.0,2.0,4.0,11.0,115.0,5.0,4.0,6.0,1.0,2.0,4.0,,1.0,76.0,114.0,60.0,,6.0,1.0,17.0,,,,2.0,17.0,11.0,25.0,4.0,7.0,30.0,112.0,,,0.0,79.0,9.0,8.0,,,51.0,40.0,2.0,55.0,,13.0,8.0,2.0,,7.0,1.0,114.0,,15.0,73.0,498.0,3.0,5.0,14.0,10.0,233.0,25.0,11.0,9.0,,4.0,4.0,2.0,11.0,293.0,29.0,83314,3.0,139.0,4.0,161.0,3.0,,1.0,,8.0,6.0,43.0,1.0,6.0,,12.0,8.0,3.0,,64.0,247.0,14.0,8.0,1.0,25.0,2.0,63.0,,,,0.0,,10.0,7.0,1.0,2.0,,0.0,2.0,,,34.2,7.0,,1.0,8.0,3.0,34.0,4.0,319.0,10.0,7.0,18.0,2.0,23.0,2.0,1.0,175.0,3.0,7.0,24.0,54.0,12.0,1.0,1.0,9.0,16.0,2.0,3.0,9.0,1.0,5.0,4.0,1.0,4.0,2.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128323,2020-10-03 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Burnley,3,1,W,1,0,0,0,2.0,30.0,57.0,1.0,,28.0,34.0,4.0,3.0,6.0,2.0,146.0,13.0,4.0,9.0,3.0,3.0,8.0,2.0,5.0,83.0,156.0,51.0,,10.0,1.0,33.0,,1.0,2.0,2.0,15.0,2.0,34.0,1.0,3.0,41.0,146.0,,,0.0,101.0,13.0,1.0,,1.0,71.0,55.0,5.0,81.0,2.0,14.0,14.0,4.0,,4.0,2.0,156.0,2.0,6.0,106.0,606.0,6.0,1.0,21.0,5.0,291.0,20.0,7.0,15.0,2.0,2.0,2.0,3.0,18.0,386.0,41.0,90105,4.0,168.0,10.0,202.0,6.0,,2.0,,14.0,4.0,60.0,4.0,8.0,2.0,19.0,1.0,2.0,,76.0,310.0,17.0,3.0,,36.0,,80.0,,,1.0,0.0,,4.0,2.0,3.0,,,0.0,4.0,1.0,2.0,47.7,15.0,1.0,1.0,8.0,1.0,40.0,3.0,416.0,5.0,9.0,21.0,4.0,18.0,,2.0,229.0,5.0,2.0,23.0,66.0,23.0,2.0,1.0,15.0,5.0,9.0,3.0,13.0,1.0,6.0,3.0,,,,1.0,,1.0,,,4.0,1.0,,4.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128332,2020-10-17 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Manchester United,1,4,L,1,1,0,0,,34.0,62.0,,1.0,26.0,24.0,4.0,1.0,3.0,8.0,153.0,17.0,4.0,15.0,1.0,1.0,7.0,,4.0,78.0,146.0,62.0,,7.0,,21.0,1.0,,,,10.0,11.0,24.0,,3.0,35.0,96.0,,,0.0,68.0,9.0,5.0,1.0,,32.0,36.0,5.0,51.0,1.0,10.0,20.0,4.0,,3.0,2.0,146.0,1.0,15.0,76.0,562.0,7.0,5.0,14.0,17.0,238.0,27.0,5.0,9.0,,1.0,10.0,2.0,22.0,326.0,48.0,90105,1.0,164.0,5.0,201.0,6.0,,,,20.0,10.0,55.0,,5.0,,15.0,13.0,6.0,1.0,63.0,256.0,12.0,11.0,,21.0,,63.0,1.0,,,0.0,3.0,7.0,7.0,1.0,,,0.0,4.0,,,36.4,17.0,,2.0,5.0,1.0,33.0,,358.0,17.0,11.0,16.0,2.0,14.0,,,167.0,6.0,3.0,19.0,32.0,23.0,,2.0,9.0,18.0,6.0,3.0,18.0,2.0,5.0,,,3.0,2.0,,2.0,1.0,1.0,1.0,2.0,4.0,1.0,,,4.0,,,,,,,1.0,,3.0,2.0,1.0,2.0,,,,,1.0,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128345,2020-10-25 16:30:00,"Molineux Stadium, Wolverhampton",,Away,Newcastle United,Wolverhampton Wanderers,1,1,D,0,0,0,0,,26.0,45.0,1.0,2.0,24.0,18.0,3.0,1.0,2.0,3.0,127.0,14.0,2.0,12.0,1.0,2.0,4.0,,2.0,105.0,112.0,58.0,1.0,5.0,1.0,8.0,,,,,16.0,10.0,18.0,2.0,5.0,29.0,103.0,,,0.0,69.0,10.0,3.0,,,44.0,45.0,4.0,59.0,,14.0,17.0,3.0,1.0,5.0,,112.0,,4.0,109.0,567.0,4.0,3.0,7.0,7.0,314.0,25.0,4.0,10.0,,1.0,5.0,,17.0,376.0,35.0,90105,1.0,228.0,8.0,252.0,5.0,,1.0,,17.0,12.0,44.0,,4.0,,12.0,12.0,6.0,,57.0,329.0,10.0,16.0,,18.0,,59.0,,,,0.0,2.0,2.0,,,,,0.0,2.0,,,36.6,15.0,,,4.0,3.0,29.0,3.0,400.0,7.0,7.0,12.0,,17.0,,,164.0,4.0,4.0,13.0,47.0,15.0,,3.0,10.0,23.0,4.0,3.0,16.0,3.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128352,2020-11-01 14:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Everton,2,1,W,0,0,0,0,2.0,27.0,43.0,1.0,2.0,28.0,23.0,4.0,1.0,7.0,3.0,125.0,13.0,5.0,11.0,2.0,3.0,6.0,,4.0,84.0,127.0,40.0,,11.0,2.0,10.0,1.0,1.0,,,11.0,10.0,23.0,5.0,1.0,30.0,111.0,1.0,,0.0,65.0,9.0,,1.0,,41.0,39.0,4.0,77.0,,7.0,18.0,4.0,,4.0,2.0,127.0,1.0,9.0,83.0,557.0,4.0,6.0,15.0,5.0,269.0,22.0,4.0,10.0,,2.0,5.0,2.0,29.0,341.0,23.0,90105,5.0,179.0,3.0,205.0,4.0,,2.0,,18.0,11.0,45.0,1.0,4.0,1.0,9.0,6.0,4.0,1.0,68.0,285.0,10.0,5.0,2.0,24.0,3.0,67.0,1.0,,,0.0,,4.0,2.0,2.0,1.0,1.0,0.0,2.0,,,37.7,25.0,,,5.0,4.0,34.0,5.0,369.0,5.0,12.0,15.0,3.0,15.0,4.0,1.0,175.0,9.0,1.0,6.0,41.0,10.0,2.0,5.0,10.0,13.0,6.0,3.0,21.0,5.0,5.0,5.0,1.0,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,,2.0,,1.0,,1.0,,,,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128363,2020-11-06 20:00:00,"St. Mary's Stadium, Southampton",,Away,Newcastle United,Southampton,0,2,L,0,1,0,0,,29.0,68.0,,,21.0,13.0,1.0,,3.0,5.0,136.0,12.0,4.0,9.0,,1.0,3.0,,2.0,85.0,146.0,41.0,1.0,4.0,1.0,10.0,,,,,10.0,7.0,13.0,3.0,1.0,31.0,99.0,,,0.0,85.0,11.0,3.0,,,48.0,37.0,2.0,54.0,1.0,7.0,18.0,1.0,1.0,5.0,,146.0,,9.0,85.0,540.0,2.0,1.0,3.0,10.0,253.0,29.0,5.0,4.0,,2.0,6.0,1.0,20.0,333.0,39.0,83314,3.0,175.0,2.0,201.0,7.0,,,,18.0,8.0,61.0,1.0,3.0,,13.0,6.0,3.0,,59.0,270.0,11.0,9.0,1.0,25.0,1.0,62.0,,,,0.0,1.0,8.0,3.0,,,,0.0,3.0,,2.0,39.3,17.0,,5.0,3.0,1.0,23.0,3.0,360.0,10.0,13.0,14.0,1.0,10.0,1.0,1.0,169.0,1.0,1.0,8.0,46.0,30.0,,,4.0,13.0,2.0,3.0,28.0,,11.0,3.0,1.0,3.0,,,1.0,,,,,2.0,,,,2.0,,,,,,,,,,2.0,1.0,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128372,2020-11-21 12:30:00,"St. James' Park, Newcastle",,Home,Newcastle United,Chelsea,0,2,L,0,1,0,0,,28.0,47.0,,2.0,24.0,23.0,3.0,3.0,4.0,2.0,106.0,11.0,1.0,7.0,,2.0,7.0,,1.0,58.0,129.0,39.0,,8.0,1.0,19.0,2.0,1.0,,1.0,20.0,1.0,23.0,4.0,2.0,25.0,114.0,,,0.0,89.0,11.0,2.0,2.0,,40.0,39.0,3.0,45.0,1.0,16.0,9.0,4.0,,6.0,2.0,129.0,,10.0,78.0,447.0,7.0,7.0,9.0,5.0,190.0,21.0,5.0,10.0,,2.0,5.0,4.0,17.0,258.0,39.0,83314,2.0,98.0,9.0,119.0,3.0,,,1.0,9.0,7.0,46.0,2.0,4.0,,13.0,5.0,3.0,1.0,56.0,211.0,12.0,5.0,,20.0,2.0,49.0,2.0,,,0.0,1.0,4.0,2.0,,2.0,,0.0,1.0,,,29.0,12.0,,4.0,4.0,3.0,22.0,7.0,287.0,5.0,9.0,11.0,4.0,25.0,,1.0,188.0,5.0,1.0,15.0,55.0,14.0,,,10.0,6.0,6.0,3.0,11.0,,4.0,7.0,1.0,,1.0,3.0,1.0,,,,,2.0,,3.0,,2.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2128379,2020-11-27 20:00:00,"Selhurst Park, London",,Away,Newcastle United,Crystal Palace,2,0,W,0,0,0,0,1.0,34.0,52.0,1.0,,38.0,18.0,7.0,5.0,7.0,3.0,146.0,17.0,4.0,4.0,2.0,3.0,8.0,1.0,7.0,76.0,141.0,59.0,2.0,14.0,2.0,28.0,1.0,,2.0,2.0,17.0,11.0,18.0,2.0,6.0,37.0,150.0,,1.0,0.0,91.0,10.0,3.0,2.0,,59.0,60.0,5.0,67.0,2.0,15.0,10.0,7.0,2.0,8.0,1.0,141.0,2.0,8.0,86.0,555.0,6.0,2.0,16.0,12.0,263.0,18.0,8.0,11.0,2.0,2.0,1.0,3.0,24.0,353.0,53.0,83314,7.0,130.0,7.0,156.0,7.0,,,,10.0,10.0,63.0,,4.0,2.0,11.0,4.0,5.0,1.0,75.0,276.0,9.0,10.0,,27.0,,82.0,1.0,,,0.0,1.0,7.0,2.0,2.0,1.0,,0.0,3.0,1.0,4.0,42.6,22.0,4.0,2.0,4.0,2.0,46.0,3.0,375.0,12.0,11.0,22.0,5.0,18.0,1.0,4.0,236.0,5.0,4.0,23.0,56.0,24.0,2.0,2.0,11.0,24.0,10.0,2.0,8.0,2.0,3.0,3.0,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,2.0,3.0,1.0,1.0,4.0,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
