gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,penaltySave,attLfTarget,saves,attFreekickTotal,goalAssistOpenplay,attMissLeft,attMissHighRight,cleanSheet,divingSave,attSvLowLeft,attMissRight,freekickTotal,bigChanceMissed,penaltyConceded,attRfGoal,attCmissHighLeft,goalsOpenplay,accurateGoalKicks,attSvLowRight,attCmissLeft,lostCorners,savedIbox,attCmissHighRight,accurateCrossNocorner,penaltyFaced,attFreekickMiss,attCmissRight,accurateKeeperSweeper,ptsGainedLosingPos,hitWoodwork,totalKeeperSweeper,accurateThroughBall,foulThrowIn,attSvHighCentre,effectiveBlockedCross,blockedCross,goalsConcededObox,attGoalLowRight,savedObox,attOneOnOne,attSvHighLeft,contentiousDecision,attHdTarget,handBall,attGoalHighLeft,attFreekickTarget,ptsDroppedWinningPos,attLgRight,postScoringAtt,attIboxPost,midfielderGoals,accurateFreekickCross,attObxdLeft,punches,penGoalsConceded,attPostRight,errorLeadToShot,attCmissHigh,attPostLeft,attHdPost,shieldBallOop,goalFastbreak,attOboxGoal,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,clearanceOffLine,attSvHighRight,attPostHigh,accuratePullBack,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals
1,2128289,2020-09-12 17:30:00,"Anfield, Liverpool",,Home,Liverpool,Leeds United,4,3,W,3,2,0,0,3.0,23.0,79.0,1.0,10.0,1.0,1.0,14.0,11.0,5.0,9.0,17.0,3.0,2.0,167.0,1.0,11.0,4.0,19.0,4.0,2.0,14.0,6.0,104.0,185.0,51.0,22.0,3.0,12.0,1.0,1.0,4.0,2.0,20.0,10.0,1.0,1.0,11.0,8.0,9.0,39.0,208.0,2.0,0.0,178.0,9.0,1.0,2.0,1.0,52.0,63.0,12.0,64.0,2.0,12.0,15.0,5.0,1.0,7.0,1.0,185.0,1.0,4.0,97.0,661.0,11.0,3.0,49.0,14.0,320.0,26.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,34.0,415.0,72.0,97032,11.0,124.0,3.0,2.0,1.0,139.0,3.0,2.0,15.0,3.0,64.0,1.0,1.0,2.0,4.0,18.0,2.0,2.0,2.0,59.0,328.0,5.0,9.0,2.0,19.0,3.0,70.0,1.0,0.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,48.8,26.0,1.0,11.0,1.0,4.0,13.0,37.0,9.0,1.0,432.0,14.0,21.0,14.0,3.0,49.0,4.0,2.0,313.0,11.0,7.0,14.0,112.0,34.0,3.0,1.0,13.0,1.0,3.0,16.0,3.0,32.0,1.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128298,2020-09-20 16:30:00,"Stamford Bridge, London",,Away,Liverpool,Chelsea,2,0,W,0,0,0,1,2.0,12.0,58.0,1.0,1.0,,,32.0,3.0,8.0,7.0,10.0,,2.0,201.0,1.0,6.0,4.0,12.0,2.0,4.0,12.0,6.0,224.0,132.0,37.0,18.0,2.0,11.0,3.0,,1.0,2.0,24.0,7.0,,1.0,3.0,6.0,4.0,54.0,398.0,,0.0,277.0,6.0,,1.0,,144.0,65.0,6.0,113.0,1.0,18.0,19.0,8.0,,7.0,5.0,132.0,1.0,3.0,226.0,934.0,9.0,,40.0,8.0,665.0,11.0,2.0,2.0,,1.0,0.0,,6.0,22.0,747.0,74.0,97032,3.0,287.0,10.0,,1.0,298.0,5.0,1.0,19.0,2.0,50.0,1.0,,1.0,5.0,10.0,2.0,,,50.0,681.0,8.0,16.0,2.0,6.0,3.0,76.0,,0.0,,2.0,,,0.0,1.0,1.0,61.3,21.0,,15.0,3.0,5.0,3.0,60.0,11.0,,764.0,8.0,11.0,27.0,9.0,51.0,1.0,4.0,490.0,10.0,3.0,3.0,212.0,27.0,2.0,,14.0,1.0,,13.0,3.0,18.0,,9.0,11.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128310,2020-09-28 20:00:00,"Anfield, Liverpool",,Home,Liverpool,Arsenal,3,1,W,2,1,0,0,2.0,33.0,52.0,1.0,3.0,,,41.0,13.0,9.0,10.0,12.0,2.0,4.0,190.0,2.0,15.0,3.0,8.0,3.0,2.0,15.0,8.0,220.0,143.0,31.0,21.0,3.0,12.0,3.0,1.0,3.0,3.0,22.0,6.0,,2.0,13.0,6.0,4.0,62.0,338.0,,0.0,175.0,11.0,1.0,2.0,,119.0,71.0,10.0,118.0,,16.0,18.0,9.0,,6.0,4.0,143.0,3.0,3.0,244.0,950.0,13.0,5.0,33.0,6.0,669.0,14.0,1.0,4.0,4.0,1.0,2.0,,5.0,28.0,756.0,67.0,97032,6.0,348.0,8.0,1.0,,364.0,6.0,1.0,18.0,3.0,38.0,1.0,1.0,,1.0,17.0,1.0,2.0,,67.0,683.0,7.0,5.0,1.0,15.0,4.0,110.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,,,66.0,25.0,,4.0,2.0,1.0,6.0,83.0,7.0,,772.0,6.0,7.0,41.0,7.0,37.0,1.0,3.0,430.0,10.0,4.0,6.0,130.0,33.0,1.0,4.0,10.0,,1.0,17.0,3.0,12.0,1.0,10.0,7.0,,1.0,2.0,,1.0,2.0,1.0,,,,1.0,,2.0,,1.0,,3.0,2.0,1.0,2.0,3.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128317,2020-10-04 19:15:00,"Villa Park, Birmingham",,Away,Liverpool,Aston Villa,2,7,L,1,4,0,0,2.0,29.0,57.0,,3.0,,,31.0,14.0,4.0,6.0,10.0,2.0,2.0,194.0,,13.0,2.0,13.0,2.0,1.0,11.0,8.0,192.0,156.0,49.0,14.0,2.0,13.0,4.0,,1.0,1.0,20.0,7.0,,2.0,14.0,5.0,4.0,60.0,258.0,,0.0,191.0,10.0,,,,125.0,51.0,10.0,86.0,,15.0,24.0,4.0,1.0,3.0,,156.0,3.0,13.0,178.0,854.0,10.0,,47.0,12.0,531.0,22.0,,1.0,4.0,1.0,1.0,3.0,1.0,28.0,627.0,56.0,97032,7.0,298.0,12.0,,,324.0,6.0,2.0,24.0,5.0,49.0,2.0,,1.0,8.0,23.0,5.0,,,56.0,554.0,7.0,11.0,,9.0,,74.0,,0.0,1.0,2.0,7.0,,0.0,1.0,2.0,69.8,27.0,1.0,4.0,,9.0,5.0,50.0,7.0,,650.0,12.0,9.0,31.0,1.0,32.0,,1.0,346.0,6.0,3.0,15.0,145.0,21.0,2.0,4.0,14.0,,5.0,13.0,3.0,19.0,1.0,10.0,7.0,,3.0,4.0,1.0,1.0,1.0,,,,3.0,,1.0,2.0,,,,2.0,5.0,,,2.0,2.0,,2.0,,,,2.0,,,2.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128328,2020-10-17 12:30:00,"Goodison Park, Liverpool",,Away,Liverpool,Everton,2,2,D,1,1,0,1,1.0,33.0,68.0,1.0,4.0,,,29.0,13.0,7.0,5.0,15.0,1.0,3.0,169.0,,16.0,4.0,11.0,2.0,4.0,14.0,8.0,134.0,147.0,52.0,22.0,2.0,19.0,4.0,,1.0,3.0,20.0,8.0,,2.0,13.0,5.0,10.0,41.0,243.0,,0.0,161.0,9.0,,2.0,,64.0,68.0,10.0,86.0,,15.0,16.0,7.0,,5.0,3.0,147.0,4.0,6.0,135.0,714.0,11.0,2.0,38.0,3.0,414.0,19.0,1.0,6.0,5.0,1.0,2.0,1.0,4.0,14.0,497.0,54.0,97032,12.0,198.0,8.0,3.0,2.0,218.0,6.0,1.0,16.0,9.0,51.0,1.0,,3.0,4.0,23.0,5.0,1.0,,65.0,437.0,13.0,8.0,2.0,23.0,1.0,81.0,,0.0,2.0,2.0,2.0,,0.0,1.0,3.0,58.1,14.0,2.0,5.0,,4.0,6.0,53.0,5.0,,524.0,3.0,5.0,20.0,8.0,43.0,1.0,5.0,326.0,13.0,10.0,11.0,123.0,36.0,2.0,5.0,18.0,,2.0,17.0,3.0,22.0,,9.0,5.0,,2.0,3.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,2.0,7.0,,1.0,2.0,1.0,,3.0,,1.0,,,,,,1.0,,1.0,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128341,2020-10-24 20:00:00,"Anfield, Liverpool",,Home,Liverpool,Sheffield United,2,1,W,1,1,0,0,2.0,33.0,63.0,,3.0,,,46.0,30.0,5.0,9.0,10.0,,1.0,184.0,1.0,23.0,6.0,12.0,2.0,3.0,11.0,5.0,200.0,156.0,56.0,17.0,2.0,34.0,2.0,,1.0,1.0,22.0,5.0,,1.0,30.0,4.0,7.0,54.0,319.0,,0.0,186.0,7.0,,2.0,,86.0,112.0,7.0,109.0,2.0,18.0,25.0,7.0,,11.0,4.0,156.0,4.0,9.0,190.0,891.0,9.0,2.0,37.0,6.0,567.0,31.0,2.0,7.0,12.0,1.0,0.0,4.0,4.0,16.0,656.0,62.0,92217,7.0,276.0,5.0,,2.0,306.0,3.0,1.0,25.0,8.0,71.0,,,2.0,1.0,18.0,4.0,1.0,,78.0,589.0,15.0,9.0,1.0,21.0,3.0,92.0,,0.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,62.2,15.0,1.0,4.0,1.0,1.0,5.0,70.0,7.0,,683.0,6.0,15.0,25.0,7.0,29.0,,2.0,399.0,4.0,7.0,22.0,144.0,25.0,,12.0,7.0,1.0,1.0,11.0,2.0,19.0,,8.0,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,2.0,6.0,1.0,,3.0,1.0,,6.0,1.0,,,,3.0,1.0,,,,1.0,2.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2128350,2020-10-31 17:30:00,"Anfield, Liverpool",,Home,Liverpool,West Ham United,2,1,W,1,1,0,0,2.0,26.0,60.0,,,,,16.0,14.0,3.0,4.0,6.0,1.0,1.0,201.0,2.0,11.0,2.0,11.0,2.0,6.0,6.0,5.0,259.0,147.0,50.0,9.0,1.0,20.0,2.0,,1.0,1.0,16.0,6.0,,1.0,14.0,1.0,10.0,49.0,460.0,1.0,0.0,224.0,13.0,,,,86.0,138.0,3.0,114.0,,15.0,21.0,3.0,,12.0,1.0,147.0,1.0,4.0,253.0,990.0,4.0,3.0,33.0,4.0,717.0,21.0,1.0,,8.0,1.0,0.0,1.0,3.0,22.0,810.0,83.0,92217,4.0,273.0,3.0,,1.0,293.0,8.0,1.0,21.0,3.0,56.0,1.0,,1.0,6.0,13.0,,1.0,1.0,42.0,731.0,14.0,6.0,1.0,9.0,,85.0,,0.0,4.0,2.0,1.0,,0.0,1.0,,72.4,21.0,,4.0,1.0,6.0,1.0,60.0,1.0,,827.0,4.0,11.0,22.0,3.0,37.0,,2.0,550.0,4.0,10.0,16.0,169.0,29.0,1.0,8.0,10.0,,1.0,6.0,3.0,18.0,,7.0,1.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,2.0,,,1.0,,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128362,2020-11-08 16:30:00,"Etihad Stadium, Manchester",,Away,Liverpool,Manchester City,1,1,D,1,1,0,0,1.0,28.0,49.0,1.0,1.0,,,17.0,7.0,5.0,3.0,5.0,1.0,2.0,156.0,,8.0,1.0,8.0,1.0,4.0,6.0,3.0,117.0,129.0,42.0,10.0,2.0,8.0,2.0,,2.0,1.0,11.0,9.0,,,7.0,1.0,4.0,52.0,148.0,1.0,0.0,98.0,11.0,,2.0,1.0,47.0,45.0,4.0,64.0,,10.0,13.0,5.0,,5.0,3.0,129.0,,4.0,122.0,618.0,6.0,2.0,23.0,4.0,354.0,26.0,,2.0,2.0,,1.0,1.0,2.0,23.0,427.0,43.0,92217,2.0,228.0,3.0,,1.0,255.0,6.0,,13.0,7.0,32.0,3.0,,5.0,3.0,13.0,3.0,1.0,1.0,48.0,375.0,18.0,3.0,,8.0,,69.0,,0.0,1.0,1.0,1.0,1.0,0.0,,,45.4,20.0,,3.0,1.0,3.0,3.0,36.0,2.0,1.0,459.0,4.0,8.0,19.0,4.0,29.0,,1.0,215.0,7.0,3.0,3.0,59.0,14.0,1.0,2.0,13.0,,1.0,7.0,2.0,12.0,,6.0,2.0,,,1.0,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,,,,7.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
9,2128370,2020-11-22 19:15:00,"Anfield, Liverpool",,Home,Liverpool,Leicester City,3,0,W,2,0,0,0,1.0,41.0,64.0,1.0,2.0,1.0,1.0,25.0,15.0,5.0,6.0,19.0,,8.0,154.0,1.0,24.0,8.0,13.0,3.0,2.0,18.0,13.0,181.0,136.0,41.0,24.0,1.0,21.0,8.0,1.0,4.0,4.0,25.0,4.0,,3.0,15.0,9.0,2.0,46.0,245.0,,0.0,118.0,15.0,1.0,2.0,,78.0,78.0,12.0,74.0,,16.0,15.0,5.0,,4.0,1.0,136.0,6.0,7.0,163.0,766.0,13.0,2.0,34.0,10.0,477.0,23.0,,4.0,7.0,2.0,0.0,2.0,6.0,16.0,556.0,46.0,92217,8.0,251.0,10.0,,1.0,268.0,8.0,,15.0,8.0,65.0,,,2.0,6.0,16.0,4.0,1.0,,54.0,488.0,6.0,15.0,3.0,11.0,5.0,88.0,1.0,0.0,2.0,3.0,,1.0,0.0,2.0,5.0,56.4,15.0,2.0,3.0,1.0,6.0,3.0,52.0,10.0,,572.0,10.0,11.0,21.0,8.0,40.0,4.0,5.0,329.0,12.0,2.0,13.0,83.0,31.0,2.0,7.0,9.0,2.0,,18.0,3.0,16.0,,10.0,10.0,,3.0,4.0,,1.0,3.0,,1.0,3.0,1.0,2.0,,6.0,,,,1.0,5.0,5.0,3.0,3.0,3.0,,4.0,,,1.0,1.0,,2.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,2.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10,2128377,2020-11-28 12:30:00,"American Express Stadium, Falmer",,Away,Liverpool,Brighton and Hove Albion,1,1,D,0,0,0,0,,32.0,54.0,1.0,1.0,,,24.0,15.0,3.0,1.0,3.0,,1.0,157.0,,17.0,2.0,7.0,1.0,1.0,3.0,2.0,145.0,150.0,46.0,6.0,2.0,13.0,,,,1.0,12.0,9.0,,1.0,15.0,2.0,10.0,51.0,222.0,,0.0,132.0,13.0,,,,85.0,55.0,2.0,71.0,1.0,10.0,11.0,3.0,,4.0,,150.0,,7.0,153.0,692.0,2.0,1.0,12.0,8.0,408.0,24.0,,1.0,7.0,1.0,1.0,2.0,1.0,29.0,501.0,57.0,92217,2.0,208.0,6.0,,,237.0,7.0,,11.0,11.0,60.0,,,2.0,7.0,14.0,4.0,,,62.0,428.0,8.0,13.0,,17.0,1.0,75.0,,0.0,1.0,1.0,1.0,1.0,0.0,,,59.6,26.0,,,1.0,7.0,3.0,46.0,3.0,,526.0,8.0,12.0,25.0,1.0,16.0,,1.0,301.0,5.0,8.0,18.0,92.0,22.0,1.0,7.0,13.0,,1.0,5.0,3.0,17.0,,2.0,3.0,,,2.0,,1.0,1.0,,,1.0,,,,,2.0,1.0,,1.0,9.0,,,4.0,1.0,,2.0,2.0,,,3.0,,,3.0,,,,1.0,1.0,,,1.0,,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
