gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goals,attFreekickTotal,attOboxBlocked,attIboxTarget,postScoringAtt,goalAssistOpenplay,attIboxPost,attMissHighRight,penaltyWon,divingSave,attSvLowLeft,freekickTotal,attGoalHighCentre,bigChanceCreated,attPostLeft,hitWoodwork,attMissHighLeft,goalAssist,offtargetAttAssist,attBxCentre,penaltyConceded,attRfGoal,goalsOpenplay,attPenGoal,attAssistSetplay,attCorner,punches,overrun,attIboxGoal,attCmissHighRight,goalAssistIntentional,attHdTotal,attHdMiss,attBxLeft,penaltyFaced,penGoalsConceded,attFreekickMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,attHdGoal,attSvHighRight,goodHighClaim,contentiousDecision,attHdTarget,attCmissHigh,attMissHigh,attSvHighCentre,totalHighClaim,handBall,shotFastbreak,totalFastbreak,bigChanceMissed,totalPullBack,attCmissHighLeft,attFastbreak,attLfGoal,attPenPost,attGoalHighRight,accurateFreekickCross,attFreekickTarget,attPostHigh,shieldBallOop,ptsDroppedWinningPos,attOboxGoal,midfielderGoals,attGoalHighLeft,attPostRight,attObxLeft,cleanSheet,attSvHighLeft,defenderGoals,foulThrowIn,attCmissRight,attPenTarget,accuratePullBack,attPenMiss,totalThroughBall,attGoalLowRight,goalFastbreak,attOneOnOne,accurateThroughBall,goalsConcededObox,attGoalLowCentre,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,goalAssistSetplay,ptsGainedLosingPos,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attObxRight,goalAssistDeadball,attIboxOwnGoal
1,2128288,2020-09-12 12:30:00,"Craven Cottage, London",,Home,Fulham,Arsenal,0,3,L,0,1,0,0,1.0,31.0,50.0,1.0,32.0,7.0,3.0,1.0,1.0,2.0,1.0,159.0,14.0,2.0,6.0,4.0,3.0,2.0,131.0,107.0,36.0,5.0,7.0,1.0,1.0,1.0,1.0,15.0,7.0,2.0,7.0,2.0,1.0,24.0,217.0,0.0,115.0,12.0,3.0,70.0,86.0,3.0,99.0,1.0,1.0,13.0,9.0,4.0,5.0,2.0,107.0,9.0,134.0,667.0,1.0,3.0,3.0,3.0,10.0,444.0,28.0,6.0,4.0,1.0,2.0,4.0,20.0,505.0,47.0,1.0,96994,246.0,5.0,1.0,1.0,272.0,5.0,5.0,4.0,35.0,2.0,2.0,18.0,4.0,3.0,55.0,461.0,11.0,6.0,19.0,66.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,45.6,20.0,3.0,2.0,1.0,1.0,50.0,2.0,523.0,10.0,6.0,13.0,2.0,17.0,266.0,4.0,1.0,8.0,95.0,15.0,4.0,4.0,11.0,3.0,4.0,3.0,12.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128300,2020-09-19 15:00:00,"Elland Road, Leeds",,Away,Fulham,Leeds United,3,4,L,1,2,0,0,,17.0,79.0,1.0,20.0,16.0,7.0,2.0,7.0,3.0,3.0,157.0,9.0,4.0,20.0,2.0,9.0,6.0,102.0,153.0,70.0,14.0,18.0,1.0,,2.0,,18.0,11.0,2.0,16.0,3.0,11.0,35.0,169.0,0.0,122.0,18.0,,40.0,62.0,6.0,81.0,2.0,1.0,15.0,22.0,7.0,4.0,3.0,153.0,8.0,98.0,668.0,,6.0,7.0,14.0,16.0,339.0,28.0,6.0,6.0,,2.0,1.0,16.0,416.0,50.0,,96994,189.0,11.0,,,211.0,8.0,22.0,3.0,69.0,,8.0,29.0,2.0,2.0,47.0,354.0,12.0,12.0,17.0,58.0,,,0.0,5.0,2.0,4.0,1.0,0.0,3.0,49.7,14.0,10.0,8.0,3.0,,33.0,3.0,438.0,16.0,13.0,15.0,5.0,24.0,245.0,9.0,10.0,20.0,86.0,32.0,1.0,6.0,18.0,4.0,10.0,3.0,29.0,1.0,15.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128309,2020-09-28 17:45:00,"Craven Cottage, London",,Home,Fulham,Aston Villa,0,3,L,0,2,0,0,2.0,21.0,59.0,2.0,36.0,7.0,5.0,4.0,11.0,2.0,,173.0,12.0,11.0,22.0,3.0,13.0,3.0,147.0,154.0,64.0,16.0,20.0,1.0,,,2.0,43.0,4.0,,7.0,5.0,8.0,48.0,242.0,0.0,146.0,18.0,2.0,74.0,97.0,6.0,72.0,,3.0,38.0,14.0,5.0,15.0,3.0,154.0,10.0,146.0,759.0,,13.0,3.0,31.0,7.0,438.0,29.0,3.0,4.0,,6.0,3.0,21.0,512.0,66.0,,96994,230.0,21.0,,2.0,255.0,10.0,14.0,7.0,71.0,,3.0,18.0,2.0,6.0,68.0,461.0,14.0,10.0,18.0,62.0,,1.0,0.0,3.0,2.0,3.0,1.0,0.0,11.0,65.0,18.0,1.0,3.0,4.0,,38.0,5.0,538.0,7.0,9.0,31.0,9.0,47.0,326.0,5.0,7.0,19.0,111.0,25.0,,4.0,9.0,3.0,14.0,3.0,36.0,,5.0,5.0,,,,,,2.0,3.0,,,,1.0,,,1.0,,,,,1.0,1.0,,7.0,6.0,,,,,,,,1.0,,,,7.0,6.0,3.0,,,,,6.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128325,2020-10-04 14:00:00,"Molineux Stadium, Wolverhampton",,Away,Fulham,Wolverhampton Wanderers,0,1,L,0,0,0,0,1.0,27.0,53.0,1.0,34.0,14.0,4.0,4.0,6.0,4.0,1.0,147.0,9.0,4.0,10.0,3.0,8.0,2.0,146.0,116.0,48.0,10.0,12.0,,,,,28.0,11.0,,14.0,1.0,4.0,29.0,207.0,0.0,117.0,8.0,3.0,66.0,82.0,3.0,88.0,,1.0,27.0,12.0,4.0,13.0,2.0,116.0,7.0,143.0,713.0,,7.0,3.0,17.0,5.0,441.0,17.0,2.0,9.0,,1.0,6.0,19.0,504.0,49.0,1.0,96994,257.0,11.0,,2.0,271.0,2.0,12.0,6.0,33.0,,9.0,17.0,7.0,5.0,55.0,460.0,15.0,6.0,12.0,68.0,,,0.0,6.0,2.0,1.0,,0.0,3.0,52.9,17.0,,9.0,3.0,,39.0,2.0,524.0,5.0,7.0,14.0,5.0,31.0,281.0,5.0,4.0,9.0,97.0,27.0,1.0,9.0,14.0,1.0,4.0,3.0,12.0,1.0,7.0,2.0,,,2.0,,1.0,2.0,2.0,,,,1.0,,1.0,2.0,1.0,,1.0,,,2.0,,5.0,3.0,,,,,1.0,3.0,1.0,,,,,1.0,1.0,3.0,,,,1.0,3.0,,,,3.0,,,,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128333,2020-10-18 12:00:00,"Bramall Lane, Sheffield",,Away,Fulham,Sheffield United,1,1,D,0,0,0,0,3.0,33.0,58.0,1.0,19.0,22.0,6.0,5.0,9.0,5.0,2.0,163.0,17.0,7.0,15.0,2.0,12.0,6.0,160.0,129.0,53.0,15.0,25.0,,,4.0,1.0,16.0,8.0,3.0,22.0,5.0,6.0,24.0,231.0,0.0,107.0,9.0,1.0,55.0,63.0,8.0,90.0,3.0,2.0,11.0,8.0,6.0,7.0,,129.0,6.0,150.0,743.0,,10.0,7.0,20.0,12.0,467.0,26.0,4.0,7.0,,2.0,1.0,20.0,548.0,40.0,,96994,251.0,3.0,,,284.0,2.0,8.0,4.0,52.0,,7.0,11.0,4.0,1.0,47.0,475.0,4.0,4.0,20.0,68.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,5.0,58.5,16.0,2.0,7.0,4.0,,42.0,5.0,563.0,12.0,7.0,13.0,5.0,25.0,295.0,5.0,4.0,20.0,80.0,22.0,2.0,7.0,14.0,1.0,9.0,1.0,23.0,2.0,,5.0,,,2.0,1.0,1.0,3.0,2.0,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,1.0,1.0,,4.0,8.0,1.0,,1.0,,2.0,4.0,,2.0,1.0,,,4.0,4.0,1.0,1.0,1.0,,2.0,4.0,1.0,,,2.0,,,,,,3.0,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128340,2020-10-24 15:00:00,"Craven Cottage, London",,Home,Fulham,Crystal Palace,1,2,L,0,1,1,0,2.0,29.0,52.0,3.0,24.0,13.0,6.0,8.0,10.0,8.0,,140.0,17.0,9.0,13.0,6.0,15.0,3.0,181.0,131.0,52.0,16.0,5.0,1.0,1.0,,1.0,29.0,7.0,1.0,13.0,3.0,3.0,28.0,359.0,0.0,198.0,11.0,2.0,105.0,120.0,7.0,104.0,,2.0,26.0,16.0,6.0,16.0,3.0,131.0,11.0,218.0,851.0,,9.0,3.0,30.0,10.0,554.0,20.0,,3.0,1.0,0.0,1.0,20.0,623.0,59.0,,96994,224.0,8.0,,3.0,238.0,5.0,16.0,5.0,51.0,1.0,5.0,17.0,3.0,5.0,37.0,574.0,11.0,13.0,3.0,68.0,,,0.0,4.0,6.0,2.0,2.0,1.0,9.0,64.2,19.0,4.0,5.0,4.0,,56.0,4.0,643.0,10.0,14.0,14.0,9.0,36.0,434.0,6.0,3.0,9.0,161.0,23.0,1.0,3.0,19.0,2.0,11.0,3.0,21.0,1.0,6.0,4.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,,,2.0,2.0,1.0,8.0,4.0,,,1.0,,5.0,1.0,1.0,1.0,,,,2.0,2.0,4.0,,,,,5.0,,,,,1.0,,,3.0,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128348,2020-11-02 17:30:00,"Craven Cottage, London",,Home,Fulham,West Bromwich Albion,2,0,W,2,0,0,0,2.0,27.0,56.0,3.0,20.0,13.0,6.0,7.0,6.0,1.0,2.0,149.0,18.0,1.0,24.0,2.0,8.0,6.0,91.0,179.0,64.0,13.0,16.0,,,1.0,,16.0,6.0,2.0,13.0,3.0,8.0,36.0,168.0,0.0,127.0,13.0,1.0,83.0,41.0,6.0,61.0,1.0,2.0,13.0,21.0,7.0,1.0,3.0,179.0,6.0,94.0,627.0,,6.0,8.0,17.0,10.0,287.0,29.0,6.0,5.0,,3.0,5.0,39.0,368.0,46.0,1.0,96994,136.0,11.0,,,158.0,7.0,21.0,8.0,65.0,1.0,3.0,24.0,4.0,4.0,56.0,303.0,10.0,9.0,21.0,66.0,1.0,,0.0,2.0,1.0,,2.0,0.0,1.0,45.7,24.0,4.0,4.0,4.0,,26.0,5.0,395.0,10.0,19.0,15.0,3.0,31.0,253.0,5.0,7.0,15.0,87.0,17.0,1.0,5.0,15.0,,12.0,3.0,33.0,1.0,13.0,5.0,1.0,,,2.0,,1.0,2.0,,2.0,,1.0,,,,,1.0,1.0,,,,2.0,2.0,1.0,,,2.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128365,2020-11-07 20:00:00,"London Stadium, London",,Away,Fulham,West Ham United,0,1,L,0,0,0,0,,19.0,37.0,2.0,14.0,24.0,6.0,2.0,7.0,6.0,3.0,137.0,13.0,7.0,9.0,4.0,8.0,3.0,127.0,128.0,53.0,13.0,23.0,1.0,,1.0,1.0,19.0,7.0,1.0,24.0,3.0,6.0,24.0,225.0,0.0,140.0,9.0,1.0,88.0,47.0,4.0,71.0,1.0,2.0,17.0,12.0,6.0,6.0,1.0,128.0,10.0,125.0,629.0,,7.0,3.0,27.0,5.0,364.0,22.0,1.0,14.0,,2.0,1.0,17.0,434.0,45.0,,96994,164.0,10.0,,3.0,190.0,2.0,12.0,11.0,49.0,2.0,2.0,15.0,6.0,6.0,42.0,382.0,9.0,5.0,16.0,63.0,,,0.0,9.0,4.0,1.0,1.0,0.0,7.0,47.0,11.0,1.0,2.0,6.0,,39.0,5.0,460.0,5.0,10.0,12.0,4.0,27.0,289.0,9.0,6.0,23.0,111.0,12.0,2.0,14.0,12.0,1.0,6.0,2.0,13.0,2.0,5.0,5.0,,,2.0,,2.0,4.0,2.0,,,,1.0,1.0,3.0,2.0,2.0,,1.0,,,,,4.0,5.0,,,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,3.0,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128368,2020-11-22 12:00:00,"Craven Cottage, London",,Home,Fulham,Everton,2,3,L,1,3,0,0,1.0,31.0,66.0,1.0,25.0,18.0,7.0,5.0,7.0,4.0,2.0,176.0,16.0,3.0,19.0,2.0,13.0,6.0,186.0,154.0,51.0,14.0,18.0,,,2.0,1.0,10.0,6.0,2.0,18.0,,2.0,38.0,307.0,0.0,218.0,14.0,1.0,82.0,85.0,10.0,77.0,2.0,1.0,10.0,20.0,7.0,2.0,2.0,154.0,7.0,181.0,838.0,,11.0,1.0,24.0,10.0,506.0,22.0,,13.0,,2.0,2.0,26.0,603.0,72.0,,96994,218.0,7.0,,,242.0,8.0,20.0,,64.0,2.0,11.0,22.0,2.0,,41.0,522.0,8.0,11.0,5.0,56.0,2.0,,0.0,5.0,3.0,3.0,1.0,0.0,3.0,54.1,25.0,8.0,11.0,4.0,,36.0,2.0,620.0,10.0,18.0,18.0,4.0,28.0,388.0,8.0,1.0,13.0,167.0,25.0,2.0,13.0,12.0,3.0,13.0,3.0,23.0,2.0,13.0,2.0,2.0,1.0,1.0,2.0,,3.0,2.0,,2.0,,1.0,1.0,2.0,,,1.0,2.0,,,,2.0,3.0,6.0,,2.0,2.0,,,,,2.0,2.0,1.0,2.0,1.0,,1.0,,,,,2.0,,,,2.0,,1.0,,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,2128381,2020-11-30 17:30:00,"King Power Stadium, Leicester",,Away,Fulham,Leicester City,2,1,W,2,0,0,0,3.0,38.0,58.0,1.0,20.0,31.0,3.0,4.0,7.0,2.0,,133.0,21.0,2.0,11.0,3.0,8.0,5.0,68.0,133.0,54.0,10.0,10.0,,,1.0,2.0,8.0,12.0,,31.0,4.0,3.0,41.0,130.0,0.0,100.0,21.0,,53.0,61.0,6.0,57.0,,,4.0,10.0,3.0,1.0,2.0,133.0,8.0,59.0,512.0,,6.0,4.0,16.0,18.0,217.0,30.0,6.0,17.0,,2.0,6.0,16.0,295.0,47.0,,96994,97.0,3.0,,1.0,120.0,16.0,10.0,6.0,57.0,,1.0,9.0,8.0,2.0,56.0,225.0,9.0,8.0,21.0,56.0,,1.0,0.0,6.0,2.0,1.0,,0.0,1.0,32.0,10.0,2.0,1.0,2.0,,21.0,5.0,317.0,18.0,14.0,14.0,3.0,13.0,205.0,5.0,1.0,11.0,63.0,18.0,4.0,17.0,24.0,1.0,7.0,3.0,16.0,4.0,3.0,5.0,2.0,,,2.0,1.0,1.0,3.0,,1.0,,,1.0,1.0,,1.0,,3.0,,,,1.0,2.0,4.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
