gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attMissHighRight,attOboxGoal,ptsGainedLosingPos,divingSave,midfielderGoals,accurateLaunches,accurateFreekickCross,sixYardBlock,attCmissHighLeft,goalsConceded,totalHighClaim,accurateCornersIntobox,goalsConcededIbox,attGoalLowRight,savedObox,attSvLowLeft,attGoalHighLeft,punches,attOneOnOne,attAssistSetplay,goalsConcededObox,handBall,goodHighClaim,attMissHigh,attCmissHighRight,attHdMiss,attGoalLowCentre,attObxLeft,attOboxMiss,attLgCentre,attCmissLeft,attFreekickMiss,attLfGoal,accuratePullBack,attSvHighRight,attHdTarget,hitWoodwork,foulThrowIn,attPenTarget,attObxdRight,ownGoals,clearanceOffLine,attIboxOwnGoal,postScoringAtt,attIboxPost,attPostLeft,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,attCmissHigh,attObxRight,attPostRight,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,accurateKeeperSweeper,totalKeeperSweeper,goalAssistSetplay,goalFastbreak,ptsDroppedWinningPos,attObxdLeft,goalAssistDeadball,attSvHighLeft,errorLeadToGoal,attLgLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals
1,2128292,2020-09-13 14:00:00,"The Hawthorns, West Bromwich",,Away,Leicester City,West Bromwich Albion,3,0,W,0,0,0,0,2.0,3.0,46.0,53.0,2.0,2.0,23.0,14.0,2.0,3.0,11.0,1.0,2.0,186.0,20.0,1.0,9.0,3.0,3.0,5.0,1.0,7.0,152.0,132.0,46.0,1.0,13.0,1.0,16.0,3.0,1.0,2.0,1.0,2.0,1.0,17.0,10.0,1.0,1.0,14.0,4.0,4.0,20.0,244.0,1.0,2.0,0.0,98.0,9.0,1.0,1.0,83.0,88.0,4.0,112.0,1.0,1.0,13.0,12.0,2.0,1.0,7.0,132.0,1.0,1.0,3.0,154.0,779.0,4.0,2.0,26.0,14.0,496.0,24.0,1.0,6.0,1.0,1.0,3.0,1.0,31.0,584.0,43.0,1.0,1.0,95463,4.0,268.0,1.0,5.0,1.0,296.0,7.0,2.0,1.0,12.0,6.0,35.0,1.0,1.0,3.0,3.0,1.0,12.0,4.0,3.0,2.0,51.0,511.0,11.0,3.0,17.0,1.0,85.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,64.2,31.0,2.0,4.0,1.0,3.0,3.0,57.0,5.0,604.0,14.0,4.0,9.0,3.0,24.0,3.0,325.0,9.0,3.0,9.0,72.0,24.0,2.0,1.0,6.0,17.0,1.0,8.0,2.0,12.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128301,2020-09-20 19:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Burnley,4,2,W,1,1,0,0,,1.0,21.0,45.0,2.0,5.0,25.0,13.0,3.0,1.0,11.0,3.0,3.0,186.0,13.0,5.0,4.0,4.0,2.0,12.0,,6.0,155.0,147.0,47.0,,14.0,1.0,30.0,2.0,,,2.0,1.0,,28.0,6.0,1.0,1.0,13.0,7.0,6.0,43.0,273.0,,,0.0,185.0,11.0,,2.0,96.0,92.0,10.0,111.0,,,21.0,12.0,3.0,,7.0,147.0,,,11.0,169.0,796.0,10.0,4.0,36.0,11.0,500.0,21.0,1.0,4.0,2.0,1.0,3.0,2.0,14.0,587.0,47.0,,,95463,7.0,258.0,,12.0,,299.0,5.0,3.0,1.0,12.0,9.0,59.0,,1.0,,2.0,3.0,13.0,5.0,6.0,,51.0,526.0,12.0,7.0,13.0,3.0,64.0,,2.0,0.0,,2.0,4.0,3.0,3.0,1.0,0.0,4.0,1.0,,,67.8,13.0,1.0,2.0,,3.0,6.0,42.0,15.0,621.0,11.0,4.0,25.0,2.0,41.0,2.0,350.0,12.0,6.0,18.0,149.0,17.0,,1.0,4.0,13.0,,11.0,3.0,12.0,1.0,3.0,15.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128311,2020-09-27 16:30:00,"Etihad Stadium, Manchester",,Away,Leicester City,Manchester City,5,2,W,1,1,0,0,,4.0,16.0,46.0,,,21.0,22.0,3.0,,4.0,3.0,2.0,112.0,7.0,1.0,6.0,5.0,3.0,4.0,,7.0,51.0,109.0,56.0,,7.0,,10.0,,,,2.0,1.0,,7.0,9.0,1.0,2.0,22.0,1.0,2.0,22.0,83.0,,3.0,0.0,56.0,8.0,,,38.0,31.0,4.0,45.0,,,6.0,10.0,3.0,,2.0,109.0,1.0,,6.0,59.0,430.0,2.0,5.0,13.0,8.0,184.0,27.0,,10.0,2.0,3.0,4.0,,7.0,235.0,30.0,,,95463,3.0,118.0,,4.0,,142.0,4.0,5.0,,10.0,14.0,37.0,,,3.0,7.0,2.0,16.0,10.0,6.0,3.0,56.0,200.0,12.0,7.0,17.0,,52.0,,,0.0,,2.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,,28.3,4.0,,,,7.0,,21.0,3.0,267.0,8.0,11.0,7.0,,11.0,,132.0,7.0,1.0,15.0,36.0,10.0,3.0,4.0,10.0,23.0,,4.0,3.0,7.0,4.0,6.0,4.0,,1.0,3.0,2.0,1.0,4.0,,,,2.0,,,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128321,2020-10-04 12:00:00,"King Power Stadium, Leicester",,Home,Leicester City,West Ham United,0,3,L,0,2,0,0,,,25.0,62.0,,1.0,19.0,8.0,1.0,1.0,3.0,3.0,,196.0,16.0,2.0,11.0,,2.0,2.0,1.0,,200.0,163.0,43.0,,4.0,1.0,24.0,,,,,,,21.0,4.0,,,8.0,6.0,2.0,37.0,303.0,,,0.0,190.0,10.0,,2.0,64.0,100.0,1.0,87.0,2.0,2.0,15.0,23.0,1.0,,4.0,163.0,1.0,1.0,12.0,201.0,857.0,1.0,3.0,21.0,18.0,566.0,22.0,,6.0,,2.0,3.0,1.0,25.0,667.0,85.0,1.0,,95463,2.0,277.0,1.0,9.0,,300.0,5.0,,,23.0,4.0,52.0,3.0,,4.0,6.0,,13.0,2.0,4.0,,41.0,578.0,8.0,6.0,8.0,,63.0,,,0.0,,3.0,4.0,2.0,,1.0,0.0,2.0,,,,69.5,20.0,2.0,,,7.0,2.0,38.0,6.0,684.0,18.0,8.0,16.0,2.0,37.0,2.0,405.0,3.0,1.0,17.0,135.0,30.0,,,6.0,7.0,,4.0,3.0,15.0,,8.0,6.0,,,,,,,,1.0,,3.0,,,3.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128330,2020-10-18 19:15:00,"King Power Stadium, Leicester",,Home,Leicester City,Aston Villa,0,1,L,0,0,0,0,1.0,,26.0,58.0,,3.0,20.0,24.0,5.0,3.0,6.0,3.0,4.0,167.0,6.0,2.0,9.0,,3.0,7.0,,5.0,83.0,146.0,67.0,2.0,11.0,1.0,19.0,1.0,,1.0,,2.0,,11.0,11.0,,4.0,24.0,1.0,5.0,35.0,148.0,,,0.0,119.0,18.0,,2.0,43.0,69.0,5.0,71.0,,,10.0,13.0,5.0,2.0,5.0,146.0,,,5.0,96.0,611.0,6.0,3.0,24.0,18.0,295.0,19.0,,15.0,,4.0,1.0,2.0,16.0,389.0,56.0,,,95463,3.0,167.0,,3.0,2.0,202.0,11.0,,2.0,13.0,4.0,63.0,,,2.0,6.0,,13.0,5.0,3.0,,61.0,313.0,18.0,14.0,22.0,,64.0,,1.0,0.0,1.0,,7.0,2.0,,,0.0,2.0,,,1.0,50.5,12.0,4.0,1.0,,6.0,4.0,28.0,2.0,417.0,18.0,5.0,15.0,2.0,29.0,2.0,226.0,7.0,5.0,21.0,77.0,25.0,,3.0,15.0,21.0,,7.0,3.0,18.0,3.0,4.0,2.0,1.0,,,1.0,,2.0,,,,1.0,2.0,,,,1.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128336,2020-10-25 19:15:00,"Emirates Stadium, London",,Away,Leicester City,Arsenal,1,0,W,0,0,0,0,,1.0,35.0,53.0,,,26.0,20.0,2.0,1.0,2.0,4.0,1.0,144.0,17.0,1.0,7.0,1.0,2.0,3.0,1.0,2.0,128.0,118.0,46.0,1.0,6.0,1.0,11.0,1.0,,,1.0,1.0,1.0,5.0,6.0,,,20.0,2.0,4.0,37.0,174.0,1.0,,0.0,101.0,9.0,,,95.0,35.0,3.0,64.0,1.0,1.0,4.0,16.0,4.0,1.0,,118.0,2.0,,9.0,117.0,615.0,2.0,9.0,7.0,10.0,352.0,23.0,,8.0,1.0,5.0,3.0,,15.0,429.0,39.0,1.0,,95463,1.0,196.0,1.0,4.0,,222.0,5.0,,,16.0,7.0,36.0,1.0,,,8.0,1.0,11.0,3.0,5.0,,51.0,369.0,13.0,2.0,13.0,,50.0,,,0.0,,1.0,9.0,4.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,43.7,12.0,3.0,,,8.0,1.0,28.0,3.0,453.0,10.0,9.0,19.0,3.0,11.0,,236.0,4.0,4.0,15.0,69.0,17.0,,4.0,8.0,11.0,1.0,5.0,3.0,13.0,4.0,9.0,3.0,,,,,,3.0,,,,,2.0,,,,,,,,1.0,,,,2.0,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128349,2020-11-02 20:00:00,"Elland Road, Leeds",,Away,Leicester City,Leeds United,4,1,W,2,0,0,0,,4.0,29.0,67.0,1.0,1.0,20.0,26.0,1.0,1.0,9.0,3.0,3.0,127.0,18.0,4.0,9.0,4.0,2.0,6.0,1.0,8.0,73.0,138.0,45.0,,10.0,,17.0,3.0,,,2.0,1.0,,12.0,11.0,,1.0,26.0,3.0,5.0,22.0,101.0,,1.0,0.0,77.0,5.0,,1.0,39.0,29.0,5.0,43.0,,1.0,9.0,13.0,1.0,,2.0,138.0,3.0,1.0,6.0,59.0,500.0,4.0,12.0,24.0,12.0,198.0,30.0,,16.0,2.0,1.0,2.0,1.0,14.0,278.0,31.0,1.0,,95463,7.0,114.0,1.0,6.0,,144.0,3.0,3.0,1.0,13.0,12.0,51.0,1.0,,,9.0,3.0,13.0,5.0,8.0,1.0,56.0,211.0,9.0,10.0,25.0,,53.0,,2.0,0.0,,2.0,10.0,2.0,4.0,3.0,0.0,1.0,2.0,,1.0,32.5,10.0,7.0,1.0,,9.0,1.0,20.0,3.0,302.0,12.0,9.0,7.0,1.0,15.0,1.0,170.0,8.0,5.0,7.0,47.0,20.0,2.0,2.0,16.0,20.0,,9.0,3.0,19.0,2.0,8.0,3.0,,,,1.0,2.0,9.0,,,,1.0,,3.0,,,1.0,,1.0,,1.0,,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128361,2020-11-08 14:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Wolverhampton Wanderers,1,0,W,1,0,0,0,,1.0,29.0,62.0,,2.0,20.0,19.0,3.0,2.0,6.0,2.0,2.0,143.0,13.0,2.0,5.0,1.0,5.0,6.0,1.0,3.0,127.0,138.0,42.0,,10.0,1.0,17.0,1.0,,,,1.0,,24.0,10.0,1.0,1.0,19.0,5.0,6.0,25.0,257.0,1.0,2.0,0.0,130.0,12.0,,1.0,76.0,109.0,2.0,72.0,1.0,2.0,19.0,18.0,4.0,,8.0,138.0,,2.0,4.0,150.0,661.0,4.0,3.0,13.0,5.0,395.0,28.0,,13.0,,2.0,1.0,4.0,18.0,478.0,48.0,,1.0,95463,6.0,151.0,1.0,10.0,1.0,175.0,7.0,1.0,1.0,18.0,7.0,51.0,2.0,,,2.0,,6.0,4.0,5.0,1.0,42.0,406.0,7.0,6.0,13.0,2.0,68.0,,,0.0,,1.0,3.0,1.0,1.0,2.0,0.0,1.0,,,2.0,49.6,12.0,3.0,,1.0,2.0,3.0,39.0,6.0,492.0,5.0,11.0,12.0,4.0,26.0,2.0,341.0,6.0,6.0,10.0,97.0,28.0,1.0,2.0,13.0,20.0,,5.0,3.0,11.0,2.0,11.0,6.0,,,,2.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,2.0,,1.0,1.0,2.0,,2.0,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128370,2020-11-22 19:15:00,"Anfield, Liverpool",,Away,Leicester City,Liverpool,0,3,L,0,2,0,0,3.0,,41.0,56.0,,1.0,26.0,19.0,3.0,6.0,7.0,9.0,1.0,165.0,17.0,3.0,15.0,,2.0,9.0,2.0,4.0,110.0,137.0,65.0,,11.0,1.0,13.0,3.0,,1.0,,3.0,,17.0,4.0,,1.0,19.0,3.0,2.0,44.0,137.0,,,0.0,105.0,6.0,,1.0,75.0,39.0,4.0,56.0,1.0,3.0,14.0,14.0,4.0,,4.0,137.0,1.0,,20.0,110.0,648.0,8.0,7.0,19.0,17.0,325.0,27.0,2.0,9.0,,2.0,5.0,5.0,22.0,413.0,47.0,,,95463,3.0,212.0,3.0,9.0,2.0,240.0,4.0,,3.0,14.0,8.0,41.0,1.0,,1.0,7.0,,16.0,5.0,6.0,,59.0,346.0,15.0,13.0,15.0,1.0,62.0,,1.0,0.0,,1.0,10.0,8.0,,2.0,0.0,2.0,,,1.0,43.6,22.0,3.0,1.0,,8.0,2.0,27.0,3.0,441.0,17.0,3.0,18.0,5.0,23.0,3.0,218.0,4.0,1.0,21.0,76.0,17.0,,1.0,9.0,14.0,,8.0,2.0,21.0,1.0,4.0,3.0,,,,4.0,,4.0,1.0,,,3.0,,1.0,3.0,,3.0,,,,,1.0,,,,,,1.0,,,2.0,,,,,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2128381,2020-11-30 17:30:00,"King Power Stadium, Leicester",,Home,Leicester City,Fulham,1,2,L,0,2,0,0,1.0,,38.0,57.0,,3.0,10.0,11.0,8.0,9.0,8.0,3.0,1.0,155.0,17.0,3.0,8.0,1.0,5.0,10.0,1.0,3.0,219.0,152.0,57.0,1.0,16.0,4.0,11.0,2.0,,,1.0,,,27.0,7.0,,,11.0,6.0,5.0,28.0,314.0,,,0.0,150.0,9.0,,3.0,101.0,99.0,6.0,73.0,,1.0,21.0,13.0,8.0,1.0,6.0,152.0,1.0,,7.0,219.0,869.0,7.0,,23.0,8.0,555.0,29.0,1.0,8.0,1.0,0.0,2.0,3.0,21.0,643.0,73.0,1.0,1.0,95463,5.0,265.0,2.0,12.0,4.0,291.0,5.0,,,13.0,3.0,54.0,1.0,,,1.0,1.0,11.0,3.0,3.0,,27.0,576.0,20.0,11.0,8.0,5.0,62.0,,1.0,0.0,,1.0,5.0,3.0,1.0,,0.0,3.0,1.0,,,68.0,19.0,3.0,,1.0,1.0,7.0,45.0,6.0,666.0,8.0,13.0,11.0,6.0,34.0,1.0,402.0,7.0,5.0,10.0,102.0,24.0,,1.0,8.0,19.0,,6.0,3.0,19.0,1.0,6.0,6.0,1.0,,,2.0,,1.0,1.0,1.0,,2.0,,,2.0,,,,1.0,,,1.0,,,,1.0,,,,,3.0,,,,1.0,,,,2.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
