gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attPenTarget,penaltyWon,attSvLowLeft,goodHighClaim,attOboxMiss,contentiousDecision,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,totalHighClaim,handBall,attLfTarget,savedObox,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attSvHighRight,totalFastbreak,totalKeeperSweeper,attFastbreak,punches,overrun,shieldBallOop,clearanceOffLine,attGoalLowLeft,attLfGoal,goals,goalAssistOpenplay,attMissHighRight,attOboxGoal,goalAssist,errorLeadToShot,goalsOpenplay,forwardGoals,bigChanceScored,attGoalHighRight,ptsGainedLosingPos,penaltyConceded,attRfGoal,attPenGoal,attIboxGoal,penaltyFaced,attGoalLowRight,midfielderGoals,attMissHighLeft,sixYardBlock,attCmissHighLeft,attCmissHighRight,ptsDroppedWinningPos,goalsConcededObox,attOneOnOne,goalAssistSetplay,goalAssistIntentional,errorLeadToGoal,attPostHigh,attCmissRight,goalAssistDeadball,attHdGoal,attGoalLowCentre,attFreekickTotal,freekickTotal,attGoalHighCentre,attLgCentre,attFreekickTarget,cleanSheet,attFreekickMiss,penGoalsConceded,attSvHighLeft,ownGoals,attIboxOwnGoal,attObxdLeft,attOboxPost
1,2128295,2020-09-14 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Wolverhampton Wanderers,0,2,L,0,2,0,0,26.0,50.0,1.0,29.0,10.0,1.0,2.0,8.0,2.0,163.0,15.0,7.0,6.0,2.0,8.0,1.0,2.0,106.0,156.0,59.0,9.0,1.0,28.0,2.0,1.0,1.0,1.0,43.0,1.0,9.0,10.0,12.0,7.0,38.0,261.0,0.0,224.0,13.0,2.0,2.0,80.0,110.0,3.0,73.0,1.0,1.0,31.0,18.0,1.0,14.0,156.0,1.0,7.0,118.0,644.0,5.0,13.0,30.0,2.0,1.0,9.0,364.0,19.0,3.0,8.0,2.0,2.0,5.0,23.0,446.0,87.0,82691,4.0,119.0,1.0,15.0,126.0,9.0,1.0,18.0,6.0,69.0,2.0,4.0,3.0,11.0,4.0,3.0,2.0,59.0,373.0,7.0,14.0,3.0,14.0,3.0,56.0,1.0,1.0,0.0,5.0,2.0,2.0,4.0,0.0,2.0,4.0,3.0,55.1,22.0,2.0,5.0,1.0,1.0,3.0,2.0,33.0,12.0,460.0,9.0,7.0,17.0,5.0,1.0,57.0,5.0,4.0,377.0,3.0,5.0,31.0,163.0,22.0,1.0,8.0,16.0,2.0,6.0,2.0,13.0,1.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128297,2020-09-21 18:00:00,"Villa Park, Birmingham",,Away,Sheffield United,Aston Villa,0,1,L,0,0,1,0,15.0,39.0,1.0,16.0,36.0,1.0,1.0,3.0,1.0,119.0,8.0,1.0,6.0,3.0,2.0,,1.0,40.0,128.0,49.0,4.0,,32.0,1.0,1.0,,1.0,14.0,,6.0,36.0,4.0,4.0,15.0,73.0,0.0,73.0,13.0,,3.0,35.0,44.0,1.0,28.0,2.0,,10.0,7.0,1.0,4.0,128.0,,11.0,34.0,374.0,2.0,10.0,11.0,,,7.0,120.0,24.0,6.0,24.0,1.0,5.0,1.0,17.0,186.0,41.0,83427,1.0,59.0,1.0,3.0,73.0,6.0,1.0,7.0,18.0,54.0,,,,13.0,7.0,4.0,1.0,58.0,131.0,12.0,4.0,,19.0,1.0,69.0,,,0.0,10.0,1.0,1.0,1.0,1.0,1.0,,,28.1,10.0,,,,,,1.0,25.0,4.0,221.0,7.0,3.0,4.0,2.0,,21.0,,1.0,162.0,3.0,2.0,22.0,37.0,7.0,4.0,24.0,9.0,1.0,1.0,3.0,8.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128312,2020-09-27 12:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Leeds United,0,1,L,0,0,0,0,21.0,57.0,2.0,18.0,30.0,5.0,6.0,9.0,7.0,145.0,17.0,5.0,12.0,,13.0,,4.0,67.0,142.0,62.0,14.0,3.0,25.0,3.0,1.0,,2.0,15.0,,11.0,30.0,5.0,5.0,22.0,138.0,0.0,102.0,18.0,4.0,1.0,45.0,54.0,8.0,51.0,,2.0,10.0,22.0,5.0,3.0,142.0,2.0,9.0,64.0,545.0,10.0,6.0,31.0,,,7.0,223.0,20.0,6.0,13.0,2.0,4.0,5.0,18.0,305.0,43.0,83427,3.0,99.0,2.0,6.0,124.0,10.0,2.0,22.0,13.0,60.0,,2.0,7.0,19.0,8.0,4.0,1.0,50.0,232.0,4.0,7.0,3.0,18.0,2.0,64.0,1.0,1.0,0.0,7.0,3.0,1.0,3.0,0.0,2.0,2.0,,36.3,17.0,2.0,1.0,3.0,,7.0,5.0,27.0,5.0,327.0,7.0,10.0,9.0,5.0,,28.0,3.0,4.0,218.0,6.0,3.0,23.0,67.0,24.0,,13.0,23.0,1.0,11.0,3.0,15.0,,9.0,5.0,2.0,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128316,2020-10-04 14:00:00,"Emirates Stadium, London",,Away,Sheffield United,Arsenal,1,2,L,0,0,0,0,31.0,48.0,1.0,15.0,22.0,5.0,2.0,1.0,3.0,127.0,11.0,2.0,7.0,,4.0,,2.0,84.0,120.0,35.0,6.0,1.0,17.0,,1.0,,,18.0,,4.0,22.0,4.0,4.0,18.0,189.0,0.0,122.0,9.0,2.0,1.0,114.0,40.0,3.0,66.0,,1.0,14.0,23.0,5.0,4.0,120.0,,5.0,96.0,525.0,3.0,9.0,15.0,,,5.0,288.0,15.0,4.0,14.0,1.0,1.0,1.0,16.0,361.0,34.0,83427,,108.0,,9.0,130.0,5.0,1.0,23.0,5.0,45.0,,3.0,4.0,11.0,1.0,1.0,,42.0,295.0,3.0,12.0,,20.0,,47.0,,,0.0,2.0,2.0,2.0,2.0,0.0,1.0,,,35.5,12.0,,1.0,,,4.0,2.0,24.0,4.0,373.0,5.0,5.0,6.0,2.0,,29.0,1.0,,261.0,4.0,3.0,14.0,92.0,25.0,1.0,14.0,11.0,2.0,5.0,3.0,10.0,1.0,11.0,4.0,1.0,,,,1.0,2.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128333,2020-10-18 12:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Fulham,1,1,D,0,0,0,0,33.0,65.0,,20.0,17.0,4.0,3.0,6.0,5.0,136.0,16.0,3.0,4.0,3.0,8.0,,6.0,104.0,125.0,52.0,10.0,1.0,20.0,3.0,1.0,,3.0,15.0,,9.0,17.0,1.0,1.0,24.0,180.0,0.0,119.0,5.0,2.0,2.0,67.0,66.0,6.0,57.0,1.0,,14.0,10.0,4.0,4.0,125.0,2.0,9.0,102.0,562.0,8.0,8.0,16.0,2.0,,18.0,307.0,27.0,10.0,10.0,0.0,3.0,2.0,16.0,382.0,52.0,83427,4.0,143.0,2.0,8.0,157.0,3.0,1.0,10.0,5.0,53.0,,4.0,1.0,11.0,6.0,3.0,,49.0,320.0,9.0,15.0,,23.0,,69.0,1.0,,0.0,5.0,2.0,1.0,4.0,0.0,3.0,3.0,,41.5,12.0,1.0,5.0,1.0,2.0,1.0,1.0,42.0,2.0,399.0,18.0,6.0,6.0,3.0,,25.0,,2.0,257.0,4.0,1.0,25.0,77.0,27.0,,10.0,15.0,1.0,9.0,3.0,12.0,,8.0,2.0,1.0,,1.0,,,1.0,2.0,,,,,1.0,1.0,2.0,3.0,2.0,,2.0,2.0,,2.0,,2.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128341,2020-10-24 20:00:00,"Anfield, Liverpool",,Away,Sheffield United,Liverpool,1,2,L,1,1,0,0,33.0,61.0,3.0,23.0,25.0,4.0,5.0,9.0,3.0,143.0,10.0,4.0,9.0,2.0,10.0,,2.0,99.0,143.0,71.0,13.0,1.0,22.0,1.0,,,1.0,20.0,,10.0,25.0,3.0,7.0,31.0,205.0,0.0,171.0,15.0,1.0,1.0,87.0,67.0,5.0,58.0,1.0,3.0,17.0,25.0,4.0,7.0,143.0,1.0,10.0,106.0,602.0,9.0,9.0,32.0,,,4.0,299.0,29.0,8.0,11.0,3.0,5.0,5.0,17.0,386.0,55.0,83427,5.0,108.0,1.0,9.0,131.0,6.0,,25.0,7.0,56.0,,,3.0,18.0,7.0,2.0,1.0,59.0,309.0,6.0,12.0,1.0,29.0,1.0,68.0,,,0.0,7.0,2.0,2.0,5.0,0.0,3.0,1.0,,37.8,13.0,1.0,4.0,2.0,,3.0,4.0,35.0,3.0,406.0,4.0,6.0,15.0,7.0,,33.0,1.0,4.0,295.0,7.0,7.0,34.0,122.0,21.0,3.0,11.0,22.0,2.0,11.0,2.0,10.0,3.0,15.0,3.0,,,1.0,,1.0,3.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
7,2128353,2020-10-31 12:30:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Manchester City,0,1,L,0,1,0,0,33.0,47.0,1.0,17.0,24.0,1.0,,2.0,7.0,133.0,22.0,2.0,4.0,,3.0,1.0,1.0,94.0,126.0,42.0,3.0,,17.0,,1.0,,,16.0,,11.0,24.0,2.0,3.0,20.0,154.0,0.0,128.0,14.0,2.0,1.0,47.0,82.0,2.0,56.0,,,14.0,17.0,1.0,4.0,126.0,1.0,10.0,92.0,537.0,3.0,7.0,13.0,,,9.0,283.0,20.0,10.0,10.0,0.0,4.0,1.0,15.0,357.0,49.0,83427,1.0,140.0,1.0,9.0,153.0,6.0,1.0,17.0,7.0,59.0,,,4.0,14.0,6.0,2.0,1.0,55.0,292.0,6.0,17.0,,29.0,,61.0,,,0.0,5.0,3.0,1.0,2.0,0.0,2.0,,,35.2,15.0,,3.0,,,5.0,1.0,29.0,2.0,375.0,9.0,6.0,6.0,1.0,,22.0,,1.0,238.0,3.0,3.0,13.0,87.0,14.0,,10.0,19.0,,3.0,3.0,10.0,,8.0,2.0,1.0,,,,,,,,,,,,1.0,,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,2128358,2020-11-07 17:30:00,"Stamford Bridge, London",,Away,Sheffield United,Chelsea,1,4,L,1,2,0,0,30.0,49.0,1.0,19.0,23.0,2.0,3.0,4.0,6.0,127.0,14.0,,3.0,1.0,5.0,1.0,3.0,68.0,145.0,33.0,6.0,1.0,13.0,1.0,1.0,,1.0,14.0,,4.0,23.0,5.0,2.0,33.0,126.0,0.0,105.0,14.0,3.0,2.0,40.0,66.0,4.0,56.0,,,9.0,16.0,2.0,2.0,145.0,1.0,10.0,69.0,487.0,4.0,7.0,8.0,,,5.0,211.0,18.0,5.0,6.0,2.0,6.0,1.0,24.0,301.0,43.0,83427,2.0,97.0,,5.0,123.0,7.0,2.0,16.0,5.0,43.0,,1.0,1.0,16.0,10.0,3.0,,55.0,223.0,5.0,3.0,,24.0,2.0,63.0,1.0,,0.0,6.0,3.0,4.0,,0.0,,,,29.9,21.0,,3.0,,1.0,1.0,2.0,32.0,7.0,320.0,5.0,11.0,13.0,1.0,,25.0,,1.0,211.0,3.0,1.0,14.0,58.0,23.0,1.0,6.0,11.0,4.0,4.0,2.0,5.0,1.0,5.0,7.0,,,,,,,1.0,,,,,,,2.0,2.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,2128373,2020-11-22 14:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,West Ham United,0,1,L,0,0,0,0,30.0,62.0,1.0,24.0,15.0,3.0,3.0,6.0,2.0,172.0,17.0,3.0,6.0,,7.0,,5.0,125.0,157.0,58.0,9.0,,31.0,3.0,1.0,1.0,,21.0,1.0,14.0,15.0,2.0,7.0,32.0,256.0,0.0,155.0,7.0,1.0,,82.0,91.0,4.0,77.0,,1.0,19.0,20.0,3.0,11.0,157.0,2.0,13.0,143.0,701.0,6.0,3.0,15.0,1.0,1.0,8.0,403.0,25.0,5.0,7.0,0.0,7.0,3.0,18.0,497.0,58.0,83427,4.0,162.0,2.0,8.0,195.0,3.0,,20.0,9.0,58.0,1.0,4.0,5.0,16.0,2.0,5.0,1.0,55.0,415.0,6.0,8.0,1.0,22.0,1.0,69.0,1.0,,0.0,6.0,2.0,1.0,1.0,0.0,2.0,2.0,,50.9,15.0,1.0,1.0,1.0,1.0,5.0,1.0,38.0,2.0,517.0,8.0,5.0,16.0,3.0,,24.0,1.0,1.0,343.0,4.0,7.0,21.0,114.0,28.0,4.0,7.0,25.0,,8.0,3.0,13.0,4.0,6.0,2.0,3.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
10,2128384,2020-11-28 20:00:00,"The Hawthorns, West Bromwich",,Away,Sheffield United,West Bromwich Albion,0,1,L,0,1,0,0,29.0,57.0,5.0,36.0,20.0,3.0,7.0,18.0,5.0,136.0,17.0,7.0,13.0,4.0,17.0,1.0,5.0,99.0,125.0,55.0,21.0,1.0,27.0,4.0,1.0,,1.0,23.0,,8.0,20.0,8.0,11.0,26.0,212.0,0.0,148.0,9.0,3.0,2.0,80.0,66.0,10.0,69.0,,4.0,16.0,7.0,3.0,7.0,125.0,5.0,9.0,98.0,599.0,15.0,5.0,35.0,2.0,,7.0,310.0,23.0,8.0,11.0,3.0,4.0,7.0,18.0,379.0,58.0,82691,12.0,120.0,6.0,7.0,136.0,4.0,2.0,7.0,8.0,49.0,1.0,2.0,4.0,12.0,8.0,3.0,3.0,71.0,325.0,9.0,5.0,2.0,28.0,2.0,73.0,1.0,,0.0,14.0,3.0,1.0,2.0,0.0,5.0,4.0,,51.3,13.0,2.0,,2.0,1.0,4.0,6.0,35.0,9.0,402.0,7.0,7.0,12.0,10.0,,29.0,3.0,9.0,289.0,9.0,8.0,20.0,114.0,27.0,3.0,11.0,14.0,,18.0,3.0,18.0,3.0,3.0,9.0,2.0,,,1.0,1.0,1.0,,,,1.0,,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
