gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,attFreekickTotal,attBxRight,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighLeft,freekickCross,goodHighClaim,freekickTotal,attLgCentre,attHdTarget,hitWoodwork,expectedGoalsFreekick,accurateThroughBall,totalThroughBall,totalOffside,attSvLowRight,attOboxPost,totalHighClaim,attPostRight,errorLeadToGoal,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attSvHighRight,penaltyWon,attSvLowLeft,bigChanceCreated,contentiousDecision,goalAssist,attPenMiss,bigChanceMissed,attCmissHigh,attCmissLeft,goalAssistIntentional,clearanceOffLine,ptsDroppedWinningPos,goalAssistOpenplay,attMissHighLeft,accurateFreekickCross,sixYardBlock,attCmissHighLeft,attCmissHighRight,accuratePullBack,attHdPost,attPostHigh,forwardGoals,handBall,accurateKeeperSweeper,totalKeeperSweeper,errorLeadToShot,secondYellow,punches,attPenTarget,penaltyConceded,attOneOnOne,ptsGainedLosingPos,attPostLeft,attObxdLeft,foulThrowIn,penaltyFaced,penGoalsConceded,attObxdRight,goalFastbreak,attObxLeft,attFreekickMiss,attLgRight,attIboxOwnGoal,attFreekickTarget
1,2561903,2025-08-17 16:30:00,"Old Trafford, Manchester",73475.0,Home,Manchester United,Arsenal,0,1,L,0.0,1.0,0,0,0.0,47.0,0.0,0.0,6.0,0.7494,41.0,23.0,7.0,9.0,15.0,2.0,0.0,3.0,170.0,0.0,3.0,9.0,0.0,3.0,17.0,,7.0,108.0,128.0,70.0,22.0,2.0,16.0,5.0,3.0,3.0,15.0,11.0,0.0,23.0,3.0,9.0,40.0,1.2134,200.0,,0.0,0.0,128.0,10.0,0.0,,3.0,0.0,61.0,73.0,10.0,76.0,1.0,1.0,12.0,10.0,7.0,0.0,0.0,5.0,2.0,128.0,5.0,0.0,121.0,672.0,16.0,4.0,36.0,4.0,372.0,17.0,4.0,10.0,1.0,3.0,7.0,0.94507,20.0,450.0,54.0,34.43,430871,11.0,196.0,5.0,1.0,226.0,5.0,106365.32,0.0,1.0,6.0,5.0,53.0,0.0,0.0,3.0,0.0,14.0,4.0,5.0,,0.0,67.0,393.0,19.0,9.0,1.0,18.0,1.0,65.0,3.0,0.0,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,1.0,0.0,3.0,,4.0,61.1,19.0,2.0,4.0,1.0,1.0,3.0,8.0,40.0,3.0,475.0,4.0,14.0,23.0,7.0,32.0,,4.0,264.0,9.0,7.0,23.0,95.0,18.0,,10.0,22.0,0.0,1.0,19.0,4.0,13.0,1.524,,6.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0956,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561911,2025-08-24 16:30:00,"Craven Cottage, London",27512.0,Away,Manchester United,Fulham,1,1,D,0.0,0.0,0,0,0.0,31.0,0.0,0.0,1.0,0.5612,22.0,27.0,2.0,3.0,8.0,2.0,0.0,1.0,123.0,0.0,4.0,2.0,1.0,2.0,9.0,,3.0,101.0,112.0,53.0,10.0,,20.0,2.0,2.0,2.0,14.0,11.0,0.0,27.0,6.0,13.0,30.0,1.374,154.0,,0.0,0.0,110.0,10.0,0.0,1.0,2.0,0.0,54.0,41.0,4.0,70.0,1.0,,8.0,15.0,2.0,0.0,0.0,2.0,1.0,112.0,10.0,0.0,103.0,575.0,7.0,4.0,25.0,5.0,311.0,8.0,3.0,16.0,1.0,5.0,5.0,0.740445,17.0,374.0,50.0,36.34,446008,4.0,178.0,5.0,1.0,200.0,6.0,103693.56,0.0,1.0,10.0,9.0,41.0,0.0,0.0,4.0,0.0,15.0,3.0,7.0,3.0,0.0,56.0,328.0,11.0,2.0,2.0,21.0,3.0,59.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,47.6,12.0,2.0,4.0,,,4.0,1.0,32.0,6.0,397.0,5.0,5.0,15.0,6.0,25.0,3.0,4.0,211.0,5.0,13.0,23.0,81.0,13.0,3.0,16.0,17.0,0.0,1.0,5.0,5.0,7.0,1.7648,3.0,10.0,6.0,2.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561920,2025-08-30 15:00:00,"Old Trafford, Manchester",74257.0,Home,Manchester United,Burnley,3,2,W,1.0,0.0,0,0,0.0,54.0,1.0,0.0,3.0,2.1783,32.0,17.0,7.0,8.0,19.0,1.0,1.0,,168.0,1.0,13.0,5.0,3.0,2.0,19.0,1.0,6.0,138.0,145.0,50.0,26.0,4.0,22.0,3.0,3.0,1.0,26.0,9.0,0.0,17.0,6.0,14.0,38.0,1.6582,219.0,,0.0,0.0,175.0,9.0,0.0,1.0,3.0,1.0,82.0,56.0,6.0,74.0,1.0,4.0,20.0,19.0,7.0,0.0,0.0,11.0,2.0,145.0,5.0,0.0,128.0,706.0,13.0,7.0,38.0,3.0,404.0,19.0,7.0,9.0,1.0,2.0,13.0,1.85288,21.0,491.0,59.0,34.12,446008,13.0,212.0,8.0,2.0,240.0,6.0,111789.77,1.0,1.0,10.0,4.0,53.0,0.0,0.0,2.0,1.0,15.0,1.0,3.0,2.0,1.0,55.0,418.0,8.0,3.0,5.0,19.0,4.0,65.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,9.0,,7.0,61.8,16.0,4.0,4.0,,1.0,2.0,7.0,40.0,7.0,508.0,3.0,14.0,24.0,13.0,39.0,4.0,9.0,294.0,11.0,12.0,21.0,134.0,25.0,3.0,9.0,16.0,0.0,2.0,18.0,4.0,11.0,3.6274,3.0,10.0,7.0,4.0,,,3.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,,,,2.0,,1.0,5.0,1.0,,,2.0,,,2.0,,,,1.0,1.0,2.0,2.0,1.0,,2.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,2561932,2025-09-14 16:30:00,"Etihad Stadium, Manchester",52534.0,Away,Manchester United,Manchester City,0,3,L,0.0,1.0,0,0,0.0,47.0,0.0,0.0,1.0,0.1434,36.0,10.0,5.0,6.0,7.0,3.0,0.0,,167.0,0.0,6.0,6.0,0.0,3.0,9.0,2.0,2.0,120.0,139.0,48.0,12.0,1.0,18.0,1.0,,1.0,23.0,15.0,0.0,10.0,4.0,14.0,42.0,2.2965,237.0,,0.0,0.0,169.0,8.0,0.0,,,0.0,71.0,83.0,3.0,86.0,1.0,4.0,19.0,15.0,5.0,0.0,0.0,6.0,3.0,139.0,12.0,0.0,128.0,679.0,9.0,4.0,29.0,13.0,406.0,14.0,5.0,3.0,0.0,,6.0,1.30473,21.0,485.0,66.0,34.46,596777,2.0,189.0,10.0,,211.0,5.0,107139.63,0.0,,7.0,5.0,45.0,0.0,0.0,2.0,0.0,16.0,1.0,3.0,1.0,0.0,58.0,420.0,8.0,7.0,,19.0,2.0,69.0,,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,0.0,6.0,1.0,1.0,54.7,14.0,1.0,3.0,,,2.0,2.0,46.0,4.0,501.0,13.0,5.0,32.0,8.0,38.0,,5.0,313.0,5.0,12.0,11.0,130.0,27.0,,3.0,23.0,0.0,3.0,10.0,4.0,14.0,1.5166,,7.0,4.0,2.0,,,2.0,,,,1.0,2.0,1.0,3.0,,,,,,,1.0,5.0,3.0,,,,,1.0,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
5,2561941,2025-09-20 17:30:00,"Old Trafford, Manchester",74124.0,Home,Manchester United,Chelsea,2,1,W,2.0,0.0,1,1,0.0,47.0,0.0,0.0,1.0,1.8708,13.0,19.0,5.0,3.0,6.0,,0.0,1.0,126.0,2.0,8.0,5.0,2.0,6.0,6.0,,4.0,101.0,132.0,51.0,11.0,3.0,16.0,1.0,,1.0,26.0,16.0,0.0,19.0,3.0,6.0,30.0,0.5938,163.0,,0.0,0.0,115.0,13.0,0.0,,,2.0,52.0,59.0,3.0,53.0,,1.0,23.0,18.0,5.0,0.0,0.0,9.0,1.0,132.0,4.0,0.0,91.0,569.0,4.0,9.0,21.0,10.0,280.0,16.0,3.0,7.0,0.0,2.0,3.0,1.14415,23.0,355.0,49.0,33.54,485711,3.0,137.0,10.0,2.0,153.0,6.0,110824.32,1.0,,8.0,2.0,53.0,0.0,0.0,,1.0,10.0,1.0,1.0,,0.0,55.0,292.0,14.0,8.0,1.0,25.0,4.0,62.0,,0.0,0.0,0.0,0.0,3.0,5.0,,2.0,1.0,5.0,1.0,7.0,1.0,4.0,41.2,20.0,1.0,6.0,,,,4.0,30.0,5.0,371.0,10.0,8.0,10.0,3.0,36.0,1.0,2.0,244.0,4.0,6.0,12.0,78.0,23.0,3.0,7.0,21.0,1.0,1.0,4.0,5.0,13.0,1.8377,3.0,8.0,5.0,,,1.0,1.0,,,,1.0,,,4.0,,1.0,,1.0,,0.1352,1.0,3.0,3.0,1.0,,,,,2.0,,,,,1.0,3.0,,2.0,,1.0,,,1.0,,,2.0,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
6,2561946,2025-09-27 12:30:00,"Gtech Community Stadium, Brentford",17193.0,Away,Manchester United,Brentford,1,3,L,1.0,2.0,0,0,1.0,43.0,0.0,0.0,2.0,2.4251,18.0,29.0,5.0,2.0,9.0,5.0,1.0,4.0,147.0,0.0,4.0,2.0,1.0,2.0,9.0,,6.0,132.0,139.0,51.0,14.0,2.0,22.0,3.0,1.0,1.0,14.0,9.0,0.0,29.0,2.0,5.0,33.0,3.0263,157.0,,0.0,0.0,85.0,10.0,0.0,2.0,1.0,0.0,48.0,63.0,6.0,74.0,1.0,1.0,12.0,17.0,5.0,1.0,0.0,5.0,1.0,139.0,7.0,0.0,105.0,631.0,7.0,10.0,17.0,4.0,353.0,20.0,6.0,18.0,2.0,1.0,3.0,0.528403,17.0,437.0,44.0,34.3,446008,5.0,217.0,6.0,1.0,249.0,7.0,104916.7,0.0,,2.0,3.0,52.0,0.0,0.0,4.0,1.0,15.0,3.0,2.0,,0.0,41.0,370.0,14.0,6.0,2.0,23.0,2.0,67.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,1.0,3.0,4.0,0.0,2.0,,4.0,55.8,8.0,2.0,,,1.0,4.0,4.0,41.0,2.0,458.0,4.0,6.0,19.0,4.0,21.0,2.0,3.0,223.0,8.0,4.0,19.0,56.0,18.0,1.0,18.0,16.0,0.0,2.0,8.0,4.0,10.0,2.0824,1.0,2.0,2.0,,,,1.0,,2.0,,2.0,2.0,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,2.0,,1.0,,,1.0,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
7,2561962,2025-10-04 15:00:00,"Old Trafford, Manchester",74004.0,Home,Manchester United,Sunderland,2,0,W,2.0,0.0,0,0,0.0,53.0,1.0,1.0,1.0,2.0742,19.0,24.0,4.0,5.0,11.0,3.0,0.0,2.0,168.0,0.0,5.0,7.0,2.0,1.0,11.0,,6.0,103.0,151.0,48.0,15.0,1.0,20.0,2.0,,3.0,7.0,10.0,0.0,24.0,2.0,5.0,27.0,0.9379,159.0,1.0,0.0,0.0,119.0,10.0,0.0,1.0,,0.0,49.0,57.0,7.0,80.0,1.0,2.0,5.0,17.0,4.0,0.0,0.0,3.0,1.0,151.0,5.0,0.0,97.0,636.0,8.0,9.0,32.0,10.0,336.0,13.0,7.0,9.0,1.0,1.0,4.0,0.690013,23.0,422.0,55.0,33.0,493250,3.0,197.0,2.0,1.0,213.0,7.0,117463.59,2.0,,8.0,8.0,61.0,0.0,0.0,2.0,1.0,19.0,3.0,4.0,1.0,0.0,59.0,351.0,10.0,11.0,2.0,29.0,1.0,84.0,,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,50.2,12.0,2.0,1.0,2.0,1.0,2.0,2.0,37.0,2.0,448.0,10.0,5.0,13.0,7.0,19.0,2.0,6.0,242.0,8.0,4.0,14.0,78.0,29.0,,9.0,17.0,0.0,0.0,11.0,5.0,23.0,1.8411,,8.0,2.0,2.0,1.0,,3.0,,1.0,,2.0,,,,2.0,,,,1.0,,,,1.0,,,2.0,,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
8,2561969,2025-10-19 16:30:00,"Anfield, Liverpool",60337.0,Away,Manchester United,Liverpool,2,1,W,1.0,0.0,0,0,0.0,41.0,1.0,1.0,3.0,1.0572,18.0,46.0,2.0,6.0,10.0,5.0,0.0,,138.0,0.0,4.0,4.0,2.0,1.0,9.0,,4.0,54.0,143.0,45.0,12.0,,21.0,1.0,1.0,2.0,12.0,9.0,0.0,46.0,3.0,5.0,19.0,2.3296,125.0,,0.0,0.0,104.0,14.0,0.0,2.0,1.0,0.0,62.0,35.0,5.0,52.0,1.0,,9.0,11.0,2.0,0.0,0.0,3.0,1.0,143.0,16.0,0.0,50.0,494.0,5.0,6.0,16.0,6.0,189.0,17.0,3.0,19.0,2.0,2.0,4.0,0.752187,17.0,257.0,63.0,34.59,216051,4.0,79.0,4.0,1.0,92.0,8.0,112795.44,1.0,,6.0,18.0,51.0,0.0,1.0,1.0,1.0,21.0,3.0,6.0,2.0,0.0,75.0,200.0,8.0,4.0,2.0,26.0,3.0,78.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,36.5,13.0,2.0,,4.0,,1.0,3.0,23.0,4.0,294.0,6.0,9.0,9.0,5.0,24.0,1.0,3.0,214.0,3.0,5.0,18.0,58.0,13.0,4.0,19.0,15.0,1.0,1.0,8.0,5.0,8.0,1.3355,4.0,6.0,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,,,1.0,3.0,,2.0,,3.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
9,2561982,2025-10-25 17:30:00,"Old Trafford, Manchester",73987.0,Home,Manchester United,Brighton and Hove Albion,4,2,W,2.0,0.0,0,0,1.0,63.0,1.0,2.0,,3.0443,27.0,15.0,6.0,4.0,7.0,3.0,2.0,4.0,155.0,0.0,1.0,13.0,4.0,2.0,12.0,1.0,9.0,100.0,139.0,61.0,13.0,1.0,18.0,3.0,,1.0,9.0,13.0,0.0,15.0,1.0,14.0,31.0,1.7011,198.0,,2.0,0.0,142.0,4.0,0.0,3.0,,1.0,61.0,67.0,9.0,74.0,1.0,1.0,8.0,18.0,6.0,1.0,0.0,3.0,1.0,139.0,10.0,0.0,113.0,650.0,8.0,6.0,21.0,14.0,340.0,16.0,9.0,9.0,2.0,4.0,3.0,0.97899,16.0,411.0,46.0,33.51,430871,6.0,164.0,4.0,1.0,185.0,2.0,115165.41,2.0,,14.0,12.0,57.0,0.0,0.0,3.0,4.0,26.0,7.0,6.0,,0.0,56.0,361.0,12.0,17.0,,20.0,,66.0,,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,2.0,6.0,0.0,1.0,2.0,1.0,43.6,14.0,1.0,8.0,,,3.0,1.0,41.0,1.0,442.0,14.0,9.0,18.0,3.0,24.0,,2.0,266.0,8.0,13.0,15.0,108.0,29.0,1.0,9.0,21.0,0.0,1.0,12.0,5.0,22.0,1.2921,1.0,14.0,1.0,1.0,2.0,,,,1.0,,2.0,,,1.0,1.0,,,,1.0,,3.0,6.0,2.0,3.0,,1.0,,,1.0,,,,,1.0,4.0,,4.0,,3.0,,1.0,1.0,,,4.0,1.0,,,,,,,,3.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,
10,2561991,2025-11-01 15:00:00,"The City Ground, Nottingham",30778.0,Away,Manchester United,Nottingham Forest,2,2,D,1.0,0.0,0,0,0.0,53.0,2.0,0.0,1.0,1.4196,31.0,22.0,10.0,9.0,8.0,1.0,1.0,1.0,177.0,0.0,5.0,8.0,2.0,,15.0,1.0,7.0,134.0,137.0,59.0,18.0,4.0,17.0,3.0,,1.0,13.0,10.0,0.0,22.0,4.0,17.0,33.0,1.5565,183.0,,1.0,0.0,117.0,7.0,0.0,,,2.0,46.0,48.0,10.0,87.0,1.0,2.0,9.0,8.0,10.0,0.0,0.0,1.0,2.0,137.0,11.0,0.0,127.0,711.0,14.0,5.0,17.0,10.0,422.0,21.0,6.0,14.0,1.0,6.0,5.0,1.13458,12.0,500.0,63.0,32.89,550864,5.0,264.0,8.0,,285.0,3.0,108023.32,0.0,,3.0,9.0,45.0,0.0,0.0,3.0,0.0,21.0,6.0,7.0,1.0,0.0,62.0,442.0,10.0,5.0,,26.0,4.0,90.0,,0.0,0.0,0.0,0.0,2.0,8.0,,1.0,2.0,1.0,0.0,3.0,1.0,1.0,58.8,7.0,,3.0,1.0,,3.0,5.0,53.0,5.0,525.0,10.0,6.0,19.0,6.0,21.0,2.0,3.0,253.0,8.0,16.0,29.0,85.0,26.0,,14.0,12.0,1.0,2.0,14.0,2.0,19.0,1.1168,,3.0,5.0,4.0,1.0,,,1.0,4.0,,2.0,,,,,,,,1.0,,2.0,3.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,2.0,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
