gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attOboxBlocked,accurateKeeperSweeper,attOboxTarget,attSvHighRight,attSvLowLeft,goodHighClaim,bigChanceCreated,totalKeeperSweeper,bigChanceMissed,overrun,accurateFlickOn,attBxLeft,totalHighClaim,attOpenplay,errorLeadToGoal,attCmissRight,attFreekickTotal,attObxLeft,attBxRight,postScoringAtt,attIboxPost,cleanSheet,freekickTotal,attPostLeft,hitWoodwork,attMissHighLeft,offtargetAttAssist,attCmissHighLeft,attSvLowRight,attHdMiss,accurateCornersIntobox,attIboxMiss,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,goalAssistOpenplay,attOboxGoal,goalAssist,attRfGoal,goalsOpenplay,attMissHigh,attIboxGoal,goalAssistIntentional,shieldBallOop,forwardGoals,attHdGoal,bigChanceScored,attSvHighLeft,midfielderGoals,attHdPost,sixYardBlock,totalPullBack,attCmissHigh,punches,attPostHigh,ptsDroppedWinningPos,goalAssistSetplay,attGoalHighCentre,attObxdRight,totalThroughBall,attMissHighRight,attOboxPost,clearanceOffLine,attPostRight,accuratePullBack,penaltyConceded,penaltyFaced,penGoalsConceded,goalAssistDeadball,attGoalLowCentre,attGoalHighRight,attOneOnOne,penaltyWon,accurateThroughBall,attPenGoal,handBall,ptsGainedLosingPos,attGoalHighLeft,contentiousDecision,shotFastbreak,totalFastbreak,attFastbreak,goalsConcededObox,attPenMiss,attFreekickTarget,attObxRight,penaltySave,defenderGoals,attLgCentre,attPenTarget
1,918894,2017-08-12 17:30:00,"Amex Stadium, Falmer",30415,Home,Brighton and Hove Albion,Manchester City,0,2,L,0,0,0,0,51.0,2.0,2.0,18.0,39.0,2.0,1.0,4.0,3.0,1.0,110.0,2.0,7.0,2.0,2.0,2.0,35.0,114.0,38.0,6.0,13.0,2.0,1.0,1.0,8.0,8.0,39.0,3.0,3.0,27.0,60.0,0.0,47.0,6.0,2.0,2.0,25.0,40.0,2.0,27.0,5.0,1.0,5.0,12.0,2.0,1.0,2.0,114.0,7.0,41.0,375.0,1.0,7.0,9.0,1.0,12.0,116.0,30.0,7.0,17.0,0.0,5.0,18.0,188.0,30.0,2.0,1.0,83543,4.0,72.0,2.0,1.0,102.0,5.0,12.0,11.0,35.0,1.0,6.0,3.0,2.0,8.0,6.0,49.0,130.0,8.0,6.0,1.0,18.0,53.0,1.0,0.0,10.0,1.0,2.0,0.0,2.0,1.0,21.8,11.0,1.0,1.0,3.0,2.0,22.0,3.0,213.0,12.0,8.0,7.0,2.0,11.0,119.0,4.0,3.0,13.0,23.0,11.0,4.0,1.0,17.0,10.0,2.0,3.0,9.0,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918906,2017-08-19 15:00:00,"King Power Stadium, Leicester",31902,Away,Brighton and Hove Albion,Leicester City,0,2,L,0,1,0,0,57.0,1.0,1.0,53.0,20.0,4.0,2.0,1.0,2.0,1.0,187.0,2.0,5.0,1.0,3.0,2.0,126.0,142.0,39.0,5.0,17.0,,,,17.0,6.0,20.0,2.0,13.0,39.0,166.0,0.0,109.0,10.0,2.0,,73.0,62.0,2.0,95.0,2.0,,15.0,10.0,4.0,4.0,,142.0,7.0,118.0,688.0,2.0,9.0,9.0,,9.0,422.0,26.0,5.0,12.0,0.0,6.0,22.0,503.0,67.0,,1.0,88170,,271.0,11.0,,298.0,5.0,10.0,9.0,46.0,,2.0,6.0,20.0,7.0,4.0,94.0,435.0,7.0,8.0,,22.0,83.0,,0.0,6.0,1.0,2.0,0.0,2.0,,54.8,20.0,,,6.0,3.0,46.0,2.0,526.0,9.0,7.0,19.0,,23.0,245.0,3.0,11.0,16.0,71.0,21.0,2.0,,12.0,11.0,2.0,2.0,9.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918921,2017-08-26 15:00:00,"Vicarage Road, Watford",20181,Away,Brighton and Hove Albion,Watford,0,0,D,0,0,0,1,57.0,,4.0,45.0,22.0,5.0,7.0,10.0,,,152.0,8.0,5.0,4.0,13.0,2.0,111.0,125.0,43.0,16.0,20.0,1.0,1.0,1.0,31.0,9.0,22.0,10.0,8.0,28.0,189.0,0.0,134.0,18.0,,2.0,68.0,68.0,6.0,47.0,,5.0,22.0,17.0,6.0,4.0,3.0,125.0,4.0,123.0,611.0,11.0,6.0,25.0,,7.0,349.0,23.0,5.0,15.0,1.0,3.0,15.0,419.0,59.0,1.0,,88170,6.0,178.0,16.0,1.0,193.0,6.0,17.0,6.0,55.0,,5.0,10.0,11.0,4.0,4.0,78.0,359.0,6.0,8.0,2.0,20.0,56.0,,0.0,3.0,,,0.0,4.0,3.0,57.8,14.0,4.0,,10.0,6.0,32.0,11.0,433.0,7.0,4.0,17.0,8.0,41.0,271.0,6.0,5.0,20.0,99.0,19.0,1.0,,15.0,12.0,,3.0,11.0,1.0,7.0,11.0,2.0,2.0,,1.0,,,4.0,,,,1.0,2.0,,4.0,10.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918924,2017-09-09 15:00:00,"Amex Stadium, Falmer",30381,Home,Brighton and Hove Albion,West Bromwich Albion,3,1,W,1,0,0,0,61.0,1.0,,30.0,35.0,9.0,6.0,3.0,2.0,,158.0,3.0,3.0,,9.0,6.0,106.0,121.0,38.0,12.0,24.0,1.0,3.0,,13.0,11.0,35.0,2.0,20.0,32.0,158.0,0.0,115.0,9.0,1.0,,46.0,83.0,7.0,70.0,1.0,1.0,11.0,15.0,9.0,2.0,3.0,121.0,5.0,114.0,628.0,5.0,6.0,4.0,1.0,17.0,351.0,38.0,5.0,24.0,2.0,2.0,16.0,427.0,73.0,,,88170,3.0,208.0,9.0,1.0,224.0,3.0,15.0,13.0,49.0,,1.0,9.0,11.0,7.0,6.0,71.0,363.0,4.0,10.0,1.0,25.0,70.0,,0.0,6.0,1.0,1.0,0.0,2.0,2.0,48.6,11.0,,,9.0,3.0,32.0,2.0,448.0,17.0,6.0,20.0,3.0,24.0,237.0,4.0,17.0,15.0,68.0,12.0,10.0,,24.0,17.0,1.0,2.0,5.0,10.0,6.0,2.0,2.0,3.0,,2.0,,,3.0,,,,1.0,1.0,,3.0,10.0,,,,,,,,,,,,,2.0,,,,1.0,,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918933,2017-09-15 20:00:00,"Vitality Stadium, Bournemouth",10369,Away,Brighton and Hove Albion,Bournemouth,1,2,L,0,0,0,0,55.0,1.0,2.0,41.0,25.0,4.0,1.0,5.0,1.0,,157.0,5.0,13.0,,6.0,2.0,79.0,147.0,53.0,9.0,23.0,1.0,,,13.0,16.0,25.0,4.0,18.0,33.0,141.0,0.0,87.0,12.0,,,51.0,68.0,3.0,79.0,5.0,1.0,9.0,12.0,4.0,,4.0,147.0,5.0,75.0,560.0,2.0,13.0,12.0,1.0,13.0,279.0,32.0,8.0,11.0,0.0,7.0,23.0,365.0,58.0,,2.0,85128,2.0,154.0,9.0,,180.0,6.0,12.0,13.0,63.0,,1.0,,14.0,10.0,5.0,86.0,290.0,4.0,18.0,3.0,30.0,90.0,,0.0,6.0,,2.0,0.0,2.0,3.0,37.5,13.0,2.0,,,2.0,43.0,4.0,390.0,13.0,5.0,23.0,5.0,16.0,223.0,3.0,16.0,17.0,50.0,18.0,2.0,,11.0,19.0,2.0,2.0,20.0,2.0,2.0,4.0,,,,,,,1.0,1.0,,,2.0,3.0,,1.0,4.0,,,,,,1.0,1.0,,,,1.0,,3.0,,,,3.0,,,1.0,,1.0,1.0,,1.0,,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918944,2017-09-24 16:00:00,"Amex Stadium, Falmer",30468,Home,Brighton and Hove Albion,Newcastle United,1,0,W,0,0,0,0,52.0,2.0,2.0,38.0,40.0,1.0,2.0,5.0,5.0,1.0,166.0,3.0,6.0,2.0,5.0,3.0,109.0,145.0,62.0,7.0,21.0,1.0,1.0,1.0,21.0,8.0,40.0,2.0,13.0,39.0,163.0,0.0,128.0,6.0,2.0,1.0,86.0,81.0,3.0,58.0,3.0,,19.0,15.0,2.0,5.0,1.0,145.0,9.0,105.0,629.0,4.0,14.0,20.0,,11.0,325.0,21.0,4.0,25.0,2.0,5.0,25.0,412.0,58.0,,1.0,83543,2.0,179.0,13.0,1.0,195.0,3.0,15.0,11.0,51.0,,1.0,2.0,7.0,8.0,6.0,75.0,339.0,8.0,11.0,,19.0,74.0,,0.0,8.0,3.0,,0.0,2.0,1.0,48.8,21.0,3.0,,2.0,2.0,32.0,2.0,438.0,11.0,8.0,22.0,2.0,28.0,264.0,4.0,12.0,33.0,82.0,19.0,4.0,,25.0,16.0,,1.0,12.0,4.0,9.0,2.0,1.0,,,1.0,,1.0,1.0,,,,2.0,7.0,,1.0,5.0,,,,,,,,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918954,2017-10-01 12:00:00,"Emirates Stadium, London",59378,Away,Brighton and Hove Albion,Arsenal,0,2,L,0,1,0,0,56.0,2.0,2.0,19.0,22.0,5.0,1.0,4.0,6.0,1.0,132.0,4.0,10.0,2.0,7.0,1.0,73.0,135.0,40.0,9.0,30.0,,,1.0,18.0,6.0,22.0,5.0,10.0,32.0,127.0,0.0,95.0,8.0,3.0,1.0,59.0,38.0,2.0,64.0,5.0,2.0,13.0,15.0,5.0,5.0,2.0,135.0,14.0,88.0,548.0,6.0,10.0,15.0,,19.0,255.0,30.0,,11.0,2.0,9.0,26.0,329.0,37.0,1.0,1.0,85128,1.0,146.0,7.0,2.0,178.0,6.0,15.0,14.0,63.0,,3.0,6.0,8.0,11.0,5.0,61.0,269.0,7.0,10.0,1.0,18.0,54.0,1.0,0.0,6.0,7.0,2.0,0.0,3.0,1.0,34.8,20.0,3.0,,6.0,3.0,24.0,5.0,357.0,19.0,7.0,12.0,5.0,29.0,197.0,5.0,8.0,13.0,69.0,13.0,2.0,,11.0,10.0,2.0,3.0,18.0,2.0,7.0,5.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,4.0,1.0,1.0,7.0,,1.0,,,1.0,1.0,,,,,1.0,,5.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918963,2017-10-15 13:30:00,"Amex Stadium, Falmer",30565,Home,Brighton and Hove Albion,Everton,1,1,D,0,0,0,0,72.0,1.0,5.0,34.0,26.0,4.0,5.0,8.0,5.0,2.0,156.0,5.0,9.0,1.0,6.0,3.0,81.0,160.0,61.0,12.0,24.0,1.0,,1.0,27.0,9.0,26.0,6.0,8.0,35.0,136.0,0.0,121.0,12.0,3.0,2.0,57.0,67.0,4.0,61.0,,1.0,21.0,18.0,4.0,3.0,2.0,160.0,7.0,87.0,595.0,4.0,13.0,23.0,,16.0,272.0,39.0,10.0,11.0,4.0,2.0,18.0,363.0,64.0,,,83543,4.0,154.0,16.0,1.0,176.0,5.0,18.0,9.0,68.0,,5.0,3.0,8.0,6.0,7.0,79.0,285.0,9.0,12.0,1.0,33.0,83.0,,0.0,1.0,4.0,1.0,0.0,4.0,1.0,46.9,14.0,5.0,1.0,4.0,6.0,38.0,7.0,385.0,16.0,13.0,17.0,3.0,34.0,236.0,5.0,8.0,25.0,71.0,21.0,5.0,,11.0,18.0,1.0,3.0,16.0,5.0,9.0,7.0,,1.0,,1.0,,1.0,,1.0,,,,3.0,,,6.0,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,4.0,1.0,,1.0,,2.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,918982,2017-10-20 20:00:00,"London Stadium, London",56977,Away,Brighton and Hove Albion,West Ham United,3,0,W,2,0,0,0,68.0,2.0,,35.0,45.0,2.0,2.0,5.0,2.0,1.0,144.0,3.0,5.0,2.0,5.0,5.0,71.0,137.0,41.0,7.0,15.0,2.0,1.0,,10.0,7.0,45.0,3.0,7.0,22.0,103.0,0.0,64.0,13.0,1.0,1.0,44.0,40.0,4.0,50.0,1.0,,8.0,16.0,2.0,2.0,,137.0,8.0,72.0,527.0,2.0,14.0,9.0,,14.0,240.0,38.0,10.0,23.0,0.0,9.0,17.0,317.0,36.0,,,85128,4.0,151.0,5.0,1.0,183.0,5.0,16.0,9.0,50.0,,1.0,1.0,19.0,8.0,3.0,71.0,251.0,5.0,8.0,1.0,33.0,67.0,,0.0,10.0,,,0.0,2.0,1.0,35.0,8.0,1.0,,1.0,1.0,31.0,3.0,337.0,14.0,6.0,10.0,1.0,17.0,164.0,4.0,7.0,22.0,34.0,23.0,2.0,,23.0,10.0,,3.0,14.0,2.0,10.0,3.0,1.0,1.0,,,,,1.0,3.0,,2.0,,4.0,,1.0,4.0,,,,,,,,1.0,,,,,1.0,,1.0,,2.0,1.0,1.0,,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
10,918985,2017-10-29 13:30:00,"Amex Stadium, Falmer",30564,Home,Brighton and Hove Albion,Southampton,1,1,D,0,1,0,0,66.0,,1.0,33.0,20.0,1.0,1.0,6.0,,,162.0,5.0,9.0,,7.0,2.0,138.0,143.0,52.0,7.0,9.0,1.0,1.0,1.0,21.0,11.0,20.0,2.0,9.0,40.0,202.0,0.0,138.0,9.0,,3.0,83.0,62.0,3.0,60.0,2.0,,19.0,20.0,1.0,5.0,1.0,143.0,3.0,130.0,657.0,5.0,11.0,13.0,1.0,7.0,383.0,34.0,4.0,17.0,3.0,3.0,23.0,473.0,66.0,1.0,,85128,2.0,198.0,11.0,3.0,225.0,6.0,20.0,4.0,41.0,,,3.0,9.0,3.0,2.0,69.0,395.0,9.0,8.0,1.0,26.0,76.0,,0.0,7.0,,1.0,0.0,5.0,3.0,51.9,18.0,3.0,,3.0,1.0,40.0,2.0,490.0,7.0,13.0,22.0,4.0,24.0,286.0,3.0,8.0,16.0,93.0,23.0,2.0,,17.0,18.0,1.0,2.0,12.0,2.0,7.0,2.0,,,1.0,,,,,3.0,1.0,3.0,2.0,5.0,1.0,,4.0,,,,,,,,,,,,1.0,4.0,,,1.0,,3.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
