gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attFreekickTotal,attOboxBlocked,attMissHighRight,cleanSheet,attSvLowLeft,freekickTotal,attOboxMiss,attMissHighLeft,bigChanceMissed,attSetpiece,totalPullBack,attCmissHigh,attSvLowRight,savedIbox,attCmissHighRight,attSvHighCentre,attFreekickMiss,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,contentiousDecision,accurateThroughBall,accurateFreekickCross,attFastbreak,attGoalHighLeft,attHdGoal,goalsConcededObox,attObxdRight,errorLeadToShot,sixYardBlock,attCmissLeft,clearanceOffLine,penaltySave,accuratePullBack,attOboxGoal,midfielderGoals,attPostLeft,penaltyConceded,attFreekickGoal,attOboxPost,penaltyFaced,foulThrowIn,errorLeadToGoal,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attPenTarget,defenderGoals,attGoalHighCentre,attFreekickTarget,attObxdLeft,penGoalsConceded,attFreekickPost,attPostRight,attSvHighRight,attLgCentre,attHdPost,attCmissHighLeft
1,918901,2017-08-12 12:30:00,"Vicarage Road, Watford",20407,Away,Liverpool,Watford,3,3,D,1,2,0,0,1.0,3.0,55.0,1.0,1.0,1.0,1.0,31.0,22.0,1.0,5.0,13.0,1.0,1.0,190.0,4.0,6.0,3.0,2.0,12.0,3.0,5.0,107.0,178.0,64.0,14.0,22.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,14.0,1.0,15.0,1.0,1.0,22.0,3.0,11.0,51.0,144.0,1.0,0.0,122.0,8.0,1.0,1.0,1.0,2.0,2.0,42.0,50.0,5.0,73.0,2.0,4.0,11.0,25.0,1.0,4.0,178.0,2.0,6.0,107.0,682.0,7.0,7.0,24.0,1.0,1.0,11.0,333.0,23.0,4.0,12.0,2.0,1.0,3.0,1.0,7.0,27.0,451.0,60.0,92217,5.0,212.0,5.0,251.0,4.0,2.0,25.0,7.0,60.0,2.0,1.0,7.0,2.0,16.0,3.0,4.0,2.0,1.0,71.0,352.0,13.0,11.0,3.0,24.0,83.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,2.0,54.4,23.0,1.0,3.0,2.0,8.0,1.0,38.0,3.0,3.0,477.0,11.0,14.0,25.0,8.0,31.0,3.0,7.0,240.0,6.0,10.0,25.0,71.0,18.0,3.0,4.0,12.0,20.0,3.0,11.0,3.0,11.0,2.0,4.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918907,2017-08-19 15:00:00,"Anfield, Liverpool",53138,Home,Liverpool,Crystal Palace,1,0,W,0,0,0,0,4.0,1.0,70.0,1.0,,,3.0,34.0,11.0,10.0,8.0,13.0,1.0,,222.0,7.0,13.0,1.0,4.0,14.0,,13.0,194.0,165.0,67.0,23.0,13.0,6.0,1.0,,,,4.0,1.0,22.0,,16.0,,6.0,11.0,2.0,11.0,43.0,356.0,,0.0,216.0,12.0,,,1.0,1.0,1.0,157.0,63.0,11.0,85.0,1.0,,20.0,17.0,10.0,6.0,165.0,2.0,3.0,211.0,908.0,14.0,7.0,39.0,1.0,,6.0,583.0,27.0,7.0,7.0,,,1.0,1.0,3.0,23.0,690.0,95.0,92217,5.0,254.0,13.0,268.0,6.0,1.0,17.0,5.0,56.0,2.0,2.0,4.0,1.0,16.0,1.0,5.0,2.0,,58.0,603.0,13.0,10.0,,15.0,92.0,,0.0,1.0,2.0,1.0,,,1.0,0.0,5.0,,,2.0,72.4,22.0,1.0,3.0,5.0,4.0,5.0,64.0,4.0,1.0,712.0,6.0,17.0,21.0,5.0,43.0,2.0,3.0,466.0,13.0,9.0,20.0,146.0,35.0,1.0,,7.0,24.0,,18.0,3.0,17.0,,,4.0,4.0,7.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918917,2017-08-27 16:00:00,"Anfield, Liverpool",53206,Home,Liverpool,Arsenal,4,0,W,2,0,0,0,4.0,3.0,57.0,1.0,2.0,,,22.0,19.0,5.0,7.0,13.0,,1.0,173.0,7.0,15.0,4.0,2.0,13.0,,10.0,113.0,136.0,53.0,18.0,14.0,5.0,4.0,,,3.0,4.0,2.0,16.0,,16.0,,1.0,19.0,3.0,11.0,40.0,192.0,,0.0,148.0,6.0,,,1.0,1.0,,81.0,45.0,10.0,100.0,1.0,2.0,14.0,17.0,5.0,4.0,136.0,4.0,5.0,121.0,685.0,9.0,2.0,26.0,,,12.0,395.0,20.0,2.0,7.0,3.0,,2.0,2.0,3.0,17.0,480.0,63.0,95463,4.0,226.0,9.0,240.0,3.0,1.0,17.0,11.0,42.0,2.0,3.0,1.0,4.0,9.0,3.0,4.0,,,63.0,411.0,8.0,9.0,1.0,20.0,86.0,2.0,0.0,3.0,3.0,4.0,,,,0.0,6.0,2.0,3.0,3.0,48.6,14.0,1.0,6.0,2.0,1.0,3.0,43.0,4.0,,507.0,12.0,12.0,15.0,5.0,29.0,2.0,4.0,283.0,8.0,11.0,11.0,94.0,29.0,3.0,1.0,7.0,19.0,,16.0,3.0,16.0,,1.0,12.0,4.0,2.0,,3.0,,1.0,1.0,,1.0,1.0,3.0,,,,,,,,,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918928,2017-09-09 12:30:00,"Etihad Stadium, Manchester",54172,Away,Liverpool,Manchester City,0,5,L,0,2,1,0,1.0,,57.0,,,2.0,,24.0,22.0,4.0,4.0,2.0,6.0,,128.0,2.0,10.0,,3.0,4.0,1.0,3.0,100.0,120.0,39.0,7.0,9.0,2.0,1.0,,1.0,,1.0,1.0,9.0,,12.0,,1.0,22.0,3.0,10.0,35.0,101.0,,0.0,99.0,9.0,,4.0,,1.0,1.0,29.0,52.0,4.0,50.0,6.0,1.0,6.0,11.0,5.0,4.0,120.0,1.0,10.0,94.0,540.0,4.0,1.0,13.0,,,18.0,270.0,28.0,5.0,5.0,,2.0,2.0,,,17.0,349.0,50.0,92217,,189.0,1.0,214.0,6.0,,11.0,4.0,36.0,3.0,2.0,7.0,,9.0,3.0,2.0,,,57.0,288.0,10.0,4.0,,18.0,51.0,,0.0,2.0,8.0,,,5.0,,1.0,2.0,,,,33.9,15.0,,2.0,,7.0,2.0,18.0,3.0,1.0,372.0,18.0,9.0,13.0,2.0,15.0,,,167.0,3.0,9.0,4.0,63.0,19.0,,,5.0,15.0,4.0,4.0,3.0,15.0,,,2.0,3.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,1.0,,1.0,,,3.0,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918937,2017-09-16 15:00:00,"Anfield, Liverpool",53231,Home,Liverpool,Burnley,1,1,D,1,1,0,0,6.0,,62.0,1.0,,1.0,6.0,27.0,9.0,17.0,16.0,18.0,2.0,1.0,232.0,6.0,14.0,1.0,1.0,34.0,1.0,9.0,170.0,149.0,36.0,35.0,15.0,5.0,4.0,1.0,,1.0,3.0,3.0,34.0,1.0,5.0,,3.0,9.0,7.0,15.0,42.0,324.0,,0.0,242.0,7.0,1.0,,,,2.0,102.0,66.0,21.0,94.0,1.0,3.0,27.0,22.0,17.0,8.0,149.0,1.0,4.0,180.0,875.0,31.0,3.0,49.0,,1.0,6.0,558.0,23.0,2.0,3.0,1.0,,1.0,1.0,13.0,29.0,650.0,89.0,92217,8.0,263.0,19.0,280.0,4.0,,22.0,4.0,35.0,1.0,1.0,8.0,1.0,13.0,1.0,2.0,4.0,,55.0,581.0,8.0,3.0,2.0,11.0,86.0,,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,,3.0,71.3,29.0,3.0,3.0,4.0,8.0,12.0,59.0,12.0,2.0,676.0,6.0,5.0,18.0,14.0,59.0,1.0,5.0,430.0,16.0,15.0,8.0,189.0,27.0,1.0,1.0,3.0,6.0,1.0,32.0,2.0,20.0,,1.0,7.0,12.0,2.0,,6.0,1.0,,2.0,,8.0,2.0,1.0,,2.0,,3.0,2.0,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918947,2017-09-23 17:30:00,"King Power Stadium, Leicester",32004,Away,Liverpool,Leicester City,3,2,W,2,1,0,0,1.0,1.0,69.0,2.0,,1.0,3.0,26.0,34.0,10.0,8.0,13.0,5.0,,218.0,6.0,12.0,3.0,1.0,18.0,1.0,6.0,99.0,183.0,68.0,23.0,24.0,2.0,,1.0,,2.0,1.0,,17.0,,9.0,1.0,1.0,34.0,6.0,12.0,41.0,186.0,,0.0,160.0,14.0,,5.0,,,2.0,46.0,85.0,10.0,65.0,,4.0,11.0,13.0,10.0,3.0,183.0,1.0,9.0,104.0,688.0,14.0,8.0,37.0,1.0,1.0,8.0,336.0,26.0,9.0,18.0,2.0,,3.0,3.0,8.0,25.0,460.0,75.0,92217,6.0,172.0,8.0,219.0,9.0,2.0,13.0,4.0,61.0,,1.0,5.0,2.0,12.0,3.0,2.0,3.0,,71.0,352.0,13.0,10.0,2.0,38.0,91.0,1.0,0.0,1.0,3.0,2.0,,2.0,1.0,0.0,4.0,2.0,,4.0,56.7,16.0,2.0,5.0,5.0,5.0,8.0,38.0,6.0,2.0,486.0,8.0,9.0,21.0,9.0,29.0,2.0,6.0,284.0,11.0,10.0,30.0,110.0,27.0,2.0,2.0,18.0,14.0,2.0,20.0,3.0,18.0,,2.0,2.0,6.0,1.0,1.0,5.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,4.0,,,,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
7,918959,2017-10-01 16:30:00,"St. James' Park, Newcastle",52303,Away,Liverpool,Newcastle United,1,1,D,1,1,0,0,1.0,,57.0,,,3.0,3.0,32.0,14.0,7.0,7.0,10.0,4.0,,199.0,8.0,10.0,1.0,2.0,12.0,,2.0,159.0,155.0,57.0,17.0,17.0,1.0,,,,,1.0,3.0,27.0,,10.0,,,14.0,5.0,13.0,39.0,297.0,,0.0,201.0,6.0,,2.0,,1.0,,101.0,72.0,5.0,78.0,1.0,2.0,22.0,16.0,7.0,6.0,155.0,1.0,2.0,177.0,812.0,11.0,5.0,25.0,,1.0,13.0,498.0,10.0,2.0,6.0,,,1.0,2.0,7.0,24.0,594.0,96.0,92217,8.0,226.0,15.0,243.0,4.0,1.0,16.0,7.0,39.0,,2.0,10.0,1.0,15.0,6.0,7.0,3.0,,55.0,515.0,11.0,3.0,1.0,10.0,97.0,,0.0,3.0,1.0,,,1.0,,0.0,6.0,,2.0,3.0,67.8,20.0,3.0,3.0,,10.0,6.0,63.0,5.0,,613.0,13.0,14.0,17.0,9.0,40.0,2.0,6.0,397.0,7.0,12.0,20.0,147.0,34.0,,1.0,6.0,16.0,1.0,11.0,3.0,10.0,2.0,1.0,6.0,5.0,,1.0,3.0,1.0,,,1.0,3.0,,3.0,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,918967,2017-10-14 12:30:00,"Anfield, Liverpool",52912,Home,Liverpool,Manchester United,0,0,D,0,0,0,0,3.0,,58.0,,,,3.0,12.0,24.0,8.0,9.0,11.0,1.0,,176.0,5.0,22.0,,2.0,17.0,,5.0,159.0,148.0,63.0,19.0,11.0,3.0,1.0,,,,2.0,2.0,26.0,,15.0,,2.0,24.0,7.0,9.0,24.0,237.0,,0.0,181.0,7.0,,1.0,,1.0,,42.0,60.0,11.0,75.0,2.0,,19.0,13.0,8.0,2.0,148.0,2.0,2.0,170.0,807.0,15.0,4.0,32.0,,,7.0,481.0,28.0,3.0,9.0,,,0.0,3.0,6.0,32.0,561.0,62.0,92217,8.0,268.0,16.0,287.0,4.0,,13.0,5.0,49.0,,3.0,4.0,,14.0,4.0,5.0,2.0,,34.0,500.0,13.0,10.0,2.0,12.0,69.0,,0.0,,3.0,,,,2.0,0.0,3.0,,,2.0,62.2,24.0,2.0,4.0,1.0,4.0,6.0,43.0,7.0,,580.0,7.0,16.0,11.0,8.0,32.0,2.0,5.0,319.0,8.0,9.0,11.0,136.0,21.0,,5.0,9.0,17.0,,14.0,3.0,27.0,,5.0,5.0,7.0,2.0,,3.0,3.0,1.0,3.0,,3.0,1.0,2.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
9,918981,2017-10-22 16:00:00,"Wembley Stadium, London",80827,Away,Liverpool,Tottenham Hotspur,1,4,L,1,3,0,0,3.0,1.0,66.0,1.0,,,,48.0,12.0,8.0,3.0,4.0,1.0,,199.0,4.0,10.0,1.0,1.0,8.0,,7.0,157.0,157.0,46.0,12.0,10.0,3.0,1.0,,,1.0,3.0,,28.0,,17.0,,3.0,12.0,4.0,6.0,38.0,268.0,,0.0,168.0,8.0,,,1.0,1.0,,81.0,121.0,8.0,106.0,,,24.0,22.0,8.0,9.0,157.0,1.0,11.0,167.0,830.0,7.0,1.0,19.0,1.0,1.0,2.0,534.0,28.0,2.0,7.0,1.0,1.0,1.0,4.0,,32.0,617.0,78.0,92217,1.0,281.0,14.0,298.0,6.0,1.0,22.0,4.0,46.0,,2.0,5.0,1.0,17.0,3.0,3.0,,,73.0,545.0,2.0,6.0,,13.0,98.0,1.0,0.0,3.0,3.0,1.0,,4.0,1.0,0.0,4.0,1.0,,1.0,63.8,27.0,,8.0,,5.0,4.0,69.0,5.0,,629.0,2.0,14.0,24.0,1.0,33.0,,,359.0,8.0,5.0,8.0,119.0,25.0,1.0,3.0,7.0,26.0,4.0,11.0,3.0,18.0,,3.0,9.0,5.0,2.0,,4.0,1.0,,1.0,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
10,918989,2017-10-28 15:00:00,"Anfield, Liverpool",53268,Home,Liverpool,Huddersfield Town,3,0,W,0,0,0,0,3.0,2.0,68.0,1.0,,,,26.0,14.0,4.0,6.0,12.0,,1.0,212.0,5.0,8.0,3.0,4.0,11.0,,8.0,222.0,156.0,44.0,16.0,10.0,4.0,,1.0,,1.0,3.0,2.0,22.0,1.0,13.0,1.0,1.0,14.0,9.0,21.0,41.0,369.0,1.0,0.0,188.0,10.0,,,,1.0,,74.0,99.0,7.0,98.0,,,13.0,16.0,4.0,2.0,156.0,1.0,,234.0,933.0,7.0,8.0,30.0,,2.0,7.0,652.0,28.0,1.0,9.0,2.0,,0.0,,4.0,24.0,757.0,93.0,92217,9.0,296.0,10.0,313.0,1.0,1.0,16.0,2.0,37.0,,,6.0,2.0,18.0,1.0,1.0,2.0,,52.0,660.0,8.0,7.0,2.0,8.0,107.0,,0.0,,2.0,3.0,,,4.0,0.0,2.0,2.0,,3.0,73.4,22.0,2.0,4.0,1.0,6.0,2.0,81.0,9.0,,766.0,7.0,11.0,14.0,6.0,49.0,3.0,4.0,475.0,7.0,21.0,14.0,125.0,30.0,2.0,1.0,9.0,14.0,,9.0,3.0,10.0,,1.0,7.0,9.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
