gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,attLfGoal,attRfTarget,goals,fouledFinalThird,attCmissRight,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissHighRight,attSvHighRight,cleanSheet,totalFastbreak,goodHighClaim,attHdTarget,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateThroughBall,accurateFreekickCross,totalPullBack,totalThroughBall,goalsOpenplay,attAssistSetplay,attFastbreak,attIboxGoal,attCmissHighRight,goalAssistIntentional,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,accurateCornersIntobox,forwardGoals,bigChanceScored,ptsGainedLosingPos,contentiousDecision,sixYardBlock,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,bigChanceCreated,bigChanceMissed,attRfGoal,attGoalHighLeft,punches,ptsDroppedWinningPos,attGoalLowLeft,attFreekickTotal,attOboxGoal,attSvHighLeft,freekickTotal,attLgCentre,attObxRight,attFreekickMiss,goalsConcededObox,errorLeadToGoal,attGoalLowCentre,attPenTarget,penaltyWon,midfielderGoals,attSvLowLeft,penaltyConceded,penaltyFaced,penGoalsConceded,accuratePullBack,postScoringAtt,attOneOnOne,hitWoodwork,attOboxPost,attPostRight,defenderGoals,attObxLeft,attGoalHighRight,ownGoals,attIboxOwnGoal,attIboxPost,attHdPost,attCmissHigh,goalFastbreak,attCmissHighLeft,attFreekickTarget,attPostHigh,clearanceOffLine,attFreekickPost,attFreekickGoal
1,918897,2017-08-12 15:00:00,"Goodison Park, Liverpool",39045,Away,Stoke City,Everton,0,1,L,0,1,0,0,1.0,43.0,1.0,1.0,19.0,24.0,5.0,3.0,4.0,3.0,120.0,1.0,10.0,6.0,1.0,71.0,161.0,64.0,9.0,1.0,19.0,3.0,27.0,12.0,1.0,24.0,7.0,7.0,33.0,128.0,0.0,116.0,10.0,1.0,3.0,44.0,48.0,2.0,44.0,2.0,2.0,20.0,16.0,5.0,7.0,3.0,161.0,5.0,57.0,521.0,6.0,7.0,18.0,24.0,198.0,20.0,6.0,17.0,1.0,2.0,4.0,27.0,270.0,65.0,1.0,91972,2.0,84.0,10.0,2.0,100.0,6.0,16.0,8.0,47.0,6.0,4.0,17.0,4.0,7.0,1.0,58.0,211.0,13.0,1.0,25.0,61.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,38.4,17.0,2.0,2.0,4.0,2.0,27.0,7.0,292.0,24.0,14.0,12.0,6.0,43.0,3.0,219.0,6.0,5.0,25.0,72.0,16.0,2.0,17.0,18.0,1.0,7.0,2.0,13.0,2.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918909,2017-08-19 17:30:00,"bet365 Stadium, Stoke",29459,Home,Stoke City,Arsenal,1,0,W,0,0,0,0,1.0,54.0,1.0,1.0,23.0,35.0,2.0,2.0,9.0,6.0,116.0,5.0,7.0,8.0,4.0,34.0,121.0,54.0,11.0,1.0,9.0,,10.0,11.0,,35.0,1.0,2.0,19.0,71.0,0.0,68.0,6.0,5.0,4.0,31.0,49.0,5.0,28.0,3.0,3.0,9.0,11.0,2.0,2.0,1.0,121.0,9.0,35.0,395.0,5.0,7.0,11.0,8.0,120.0,22.0,7.0,12.0,0.0,6.0,3.0,13.0,179.0,47.0,1.0,93127,5.0,71.0,3.0,2.0,82.0,4.0,11.0,12.0,45.0,4.0,3.0,10.0,9.0,6.0,,62.0,137.0,11.0,16.0,20.0,63.0,,,0.0,4.0,9.0,5.0,,,0.0,4.0,,,22.9,6.0,3.0,2.0,3.0,2.0,24.0,2.0,213.0,8.0,10.0,7.0,5.0,19.0,4.0,141.0,5.0,2.0,18.0,30.0,13.0,2.0,12.0,19.0,,6.0,3.0,12.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918922,2017-08-27 13:30:00,"The Hawthorns, West Bromwich",22704,Away,Stoke City,West Bromwich Albion,1,1,D,0,0,0,0,1.0,33.0,,1.0,31.0,40.0,8.0,7.0,8.0,1.0,128.0,7.0,10.0,14.0,2.0,130.0,115.0,68.0,16.0,4.0,13.0,4.0,22.0,11.0,1.0,40.0,4.0,7.0,32.0,249.0,0.0,151.0,9.0,,1.0,84.0,61.0,5.0,61.0,2.0,4.0,18.0,11.0,8.0,9.0,3.0,115.0,8.0,119.0,649.0,12.0,2.0,23.0,7.0,370.0,15.0,7.0,32.0,2.0,,9.0,19.0,418.0,68.0,,93127,5.0,138.0,8.0,,149.0,7.0,11.0,7.0,41.0,,6.0,18.0,2.0,3.0,1.0,57.0,380.0,10.0,4.0,22.0,59.0,,3.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,4.0,,,57.2,13.0,2.0,,6.0,5.0,37.0,4.0,438.0,7.0,8.0,21.0,9.0,35.0,6.0,311.0,6.0,6.0,29.0,123.0,9.0,5.0,32.0,20.0,1.0,13.0,2.0,19.0,5.0,5.0,4.0,1.0,1.0,,,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,1.0,2.0,,1.0,,,3.0,2.0,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918930,2017-09-09 17:30:00,"bet365 Stadium, Stoke",29320,Home,Stoke City,Manchester United,2,2,D,1,1,0,0,2.0,48.0,2.0,1.0,24.0,24.0,4.0,2.0,6.0,7.0,130.0,4.0,9.0,9.0,5.0,80.0,117.0,51.0,10.0,,16.0,3.0,14.0,13.0,2.0,24.0,5.0,3.0,21.0,147.0,0.0,83.0,10.0,4.0,2.0,44.0,44.0,6.0,47.0,,,9.0,12.0,4.0,,2.0,117.0,11.0,75.0,503.0,6.0,7.0,14.0,7.0,240.0,24.0,8.0,6.0,0.0,4.0,3.0,13.0,304.0,50.0,,97485,3.0,109.0,7.0,,125.0,4.0,12.0,7.0,44.0,1.0,3.0,14.0,7.0,2.0,1.0,58.0,252.0,10.0,10.0,24.0,82.0,1.0,,0.0,2.0,11.0,4.0,2.0,4.0,0.0,2.0,,,36.8,12.0,1.0,,3.0,1.0,43.0,5.0,332.0,7.0,7.0,11.0,4.0,19.0,2.0,221.0,6.0,3.0,13.0,51.0,13.0,8.0,6.0,19.0,2.0,8.0,2.0,11.0,8.0,8.0,5.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,2.0,1.0,,,1.0,,,,,,2.0,2.0,,,,3.0,1.0,1.0,,2.0,,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918939,2017-09-16 15:00:00,"St. James' Park, Newcastle",51795,Away,Stoke City,Newcastle United,1,2,L,0,1,0,0,2.0,54.0,,1.0,29.0,25.0,4.0,6.0,7.0,1.0,168.0,5.0,11.0,12.0,4.0,92.0,162.0,59.0,13.0,1.0,23.0,,14.0,11.0,1.0,25.0,4.0,13.0,39.0,166.0,0.0,148.0,11.0,1.0,2.0,58.0,77.0,6.0,65.0,2.0,2.0,10.0,18.0,6.0,4.0,3.0,162.0,8.0,80.0,625.0,8.0,17.0,21.0,9.0,288.0,20.0,9.0,17.0,1.0,4.0,6.0,43.0,379.0,80.0,1.0,97485,5.0,143.0,4.0,,157.0,5.0,18.0,8.0,64.0,1.0,8.0,16.0,6.0,4.0,1.0,65.0,304.0,12.0,6.0,25.0,68.0,,,0.0,2.0,7.0,1.0,2.0,5.0,0.0,3.0,,,57.9,35.0,1.0,,8.0,2.0,36.0,5.0,405.0,9.0,18.0,22.0,7.0,29.0,4.0,262.0,3.0,11.0,22.0,85.0,23.0,2.0,17.0,15.0,2.0,9.0,2.0,18.0,2.0,4.0,5.0,,,1.0,,1.0,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,,,,3.0,1.0,3.0,,,,,4.0,3.0,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918950,2017-09-23 15:00:00,"bet365 Stadium, Stoke",29661,Home,Stoke City,Chelsea,0,4,L,0,2,0,0,1.0,63.0,,,27.0,8.0,6.0,5.0,7.0,,157.0,4.0,3.0,8.0,2.0,91.0,156.0,41.0,13.0,4.0,11.0,1.0,27.0,12.0,1.0,8.0,5.0,4.0,31.0,192.0,0.0,161.0,5.0,,3.0,78.0,72.0,3.0,65.0,,3.0,22.0,20.0,6.0,3.0,1.0,156.0,6.0,94.0,593.0,6.0,5.0,21.0,13.0,306.0,26.0,5.0,,2.0,,4.0,27.0,387.0,72.0,,93127,3.0,131.0,16.0,3.0,144.0,4.0,20.0,3.0,56.0,,7.0,10.0,1.0,2.0,1.0,63.0,319.0,13.0,14.0,26.0,71.0,,,0.0,6.0,,,4.0,3.0,0.0,3.0,,,44.1,24.0,5.0,2.0,7.0,4.0,38.0,5.0,407.0,13.0,16.0,13.0,7.0,38.0,6.0,290.0,7.0,2.0,7.0,109.0,23.0,1.0,,18.0,3.0,8.0,2.0,13.0,1.0,5.0,5.0,,,,,,4.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,1.0,,,,,2.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918960,2017-09-30 15:00:00,"bet365 Stadium, Stoke",29285,Home,Stoke City,Southampton,2,1,W,1,0,0,0,2.0,53.0,,6.0,23.0,42.0,6.0,5.0,11.0,2.0,126.0,3.0,4.0,9.0,6.0,44.0,141.0,57.0,17.0,4.0,21.0,,10.0,7.0,1.0,42.0,5.0,12.0,22.0,103.0,0.0,98.0,11.0,2.0,1.0,36.0,43.0,8.0,38.0,3.0,,5.0,16.0,6.0,3.0,1.0,141.0,16.0,54.0,460.0,6.0,17.0,30.0,12.0,155.0,28.0,4.0,22.0,1.0,6.0,1.0,21.0,231.0,44.0,1.0,97485,4.0,71.0,1.0,,96.0,6.0,16.0,15.0,61.0,1.0,1.0,21.0,5.0,6.0,1.0,57.0,171.0,10.0,15.0,20.0,64.0,2.0,,0.0,,6.0,2.0,1.0,5.0,0.0,1.0,1.0,,29.5,14.0,4.0,1.0,1.0,10.0,31.0,5.0,262.0,12.0,10.0,12.0,1.0,21.0,,176.0,10.0,9.0,29.0,50.0,16.0,2.0,22.0,14.0,1.0,12.0,3.0,8.0,2.0,9.0,5.0,,,1.0,2.0,2.0,2.0,,3.0,,3.0,2.0,1.0,1.0,,,,,1.0,,,2.0,2.0,,,2.0,,1.0,1.0,,2.0,,1.0,1.0,,,1.0,2.0,,2.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,918968,2017-10-14 15:00:00,"Etihad Stadium, Manchester",54128,Away,Stoke City,Manchester City,2,7,L,1,3,0,0,,43.0,4.0,,16.0,16.0,2.0,,3.0,4.0,102.0,1.0,6.0,4.0,1.0,44.0,111.0,30.0,5.0,1.0,18.0,2.0,2.0,9.0,,16.0,,4.0,13.0,59.0,0.0,58.0,8.0,1.0,,19.0,35.0,2.0,36.0,3.0,1.0,2.0,10.0,2.0,1.0,1.0,111.0,12.0,49.0,361.0,3.0,5.0,4.0,11.0,139.0,25.0,7.0,6.0,1.0,,2.0,13.0,195.0,41.0,,97485,1.0,94.0,1.0,,112.0,5.0,10.0,16.0,43.0,1.0,5.0,10.0,8.0,1.0,,58.0,152.0,5.0,5.0,24.0,67.0,,,0.0,4.0,5.0,,7.0,2.0,0.0,1.0,,,20.7,9.0,,,5.0,1.0,26.0,,231.0,11.0,6.0,4.0,3.0,6.0,2.0,121.0,4.0,3.0,7.0,27.0,8.0,3.0,6.0,12.0,6.0,5.0,3.0,12.0,3.0,8.0,,,,,,2.0,,1.0,,,2.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,918979,2017-10-21 15:00:00,"bet365 Stadium, Stoke",29500,Home,Stoke City,Bournemouth,1,2,L,0,2,0,0,,72.0,,,27.0,9.0,2.0,1.0,9.0,1.0,172.0,9.0,10.0,11.0,3.0,105.0,184.0,53.0,11.0,2.0,20.0,4.0,33.0,10.0,,9.0,8.0,4.0,37.0,179.0,0.0,158.0,17.0,1.0,3.0,64.0,63.0,5.0,51.0,,1.0,25.0,20.0,2.0,12.0,,184.0,5.0,79.0,594.0,7.0,19.0,26.0,9.0,275.0,23.0,9.0,3.0,0.0,1.0,6.0,30.0,387.0,78.0,,97485,5.0,117.0,10.0,1.0,138.0,9.0,20.0,7.0,59.0,4.0,2.0,10.0,2.0,3.0,,78.0,287.0,9.0,6.0,42.0,82.0,1.0,1.0,0.0,,3.0,1.0,2.0,2.0,0.0,5.0,,,52.3,21.0,3.0,,2.0,2.0,30.0,8.0,407.0,9.0,13.0,18.0,6.0,50.0,6.0,302.0,8.0,3.0,23.0,94.0,41.0,1.0,3.0,11.0,1.0,7.0,2.0,14.0,1.0,10.0,8.0,,,1.0,2.0,1.0,2.0,,2.0,,3.0,2.0,,,1.0,,,,,,,1.0,2.0,,1.0,,,,3.0,,1.0,,,2.0,2.0,1.0,,4.0,1.0,1.0,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10,918991,2017-10-28 15:00:00,"Vicarage Road, Watford",20087,Away,Stoke City,Watford,1,0,W,1,0,0,0,,63.0,,1.0,19.0,57.0,4.0,2.0,2.0,,143.0,2.0,3.0,5.0,2.0,39.0,141.0,61.0,6.0,,22.0,,3.0,14.0,1.0,57.0,1.0,5.0,17.0,73.0,0.0,64.0,9.0,,1.0,42.0,57.0,2.0,27.0,1.0,2.0,3.0,22.0,4.0,,1.0,141.0,11.0,40.0,463.0,4.0,18.0,8.0,8.0,139.0,36.0,5.0,37.0,4.0,8.0,3.0,26.0,220.0,39.0,,97485,2.0,79.0,2.0,,101.0,3.0,22.0,8.0,52.0,2.0,,19.0,4.0,5.0,,65.0,150.0,10.0,11.0,33.0,77.0,,,0.0,1.0,8.0,,,3.0,0.0,2.0,1.0,,29.8,18.0,,,,1.0,32.0,1.0,249.0,8.0,9.0,7.0,3.0,10.0,1.0,151.0,4.0,5.0,32.0,29.0,17.0,4.0,37.0,18.0,,5.0,2.0,5.0,4.0,14.0,1.0,,1.0,,1.0,1.0,,2.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,2.0,1.0,,,,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
