gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attBxRight,attSvLowCentre,totalCornersIntobox,attSvHighRight,goodHighClaim,bigChanceMissed,sixYardBlock,totalOffside,attMissHigh,attHdMiss,totalHighClaim,accurateCornersIntobox,attIboxMiss,attLfGoal,goals,accuratePullBack,postScoringAtt,attMissLeft,attIboxPost,attGoalHighRight,attOboxGoal,attSvLowLeft,attPostLeft,hitWoodwork,accurateThroughBall,errorLeadToShot,attObxdLeft,defenderGoals,goalsOpenplay,punches,shieldBallOop,ptsDroppedWinningPos,attCmissRight,attFreekickTotal,attMissHighRight,attMissRight,freekickTotal,attHdPost,foulThrowIn,attFreekickMiss,attPostRight,attLfTarget,bigChanceScored,attGoalLowLeft,goalAssistSetplay,accurateKeeperSweeper,goalAssistOpenplay,ptsGainedLosingPos,midfielderGoals,bigChanceCreated,goalAssist,totalKeeperSweeper,attRfGoal,attIboxGoal,goalAssistIntentional,clearanceOffLine,forwardGoals,attCmissHigh,shotFastbreak,cleanSheet,totalFastbreak,attSvHighLeft,contentiousDecision,attFastbreak,attCmissLeft,attPostHigh,attGoalLowCentre,penaltyWon,attPenGoal,errorLeadToGoal,goalAssistDeadball,attOneOnOne,attCmissHighRight,attHdGoal,attGoalLowRight,secondYellow,attGoalHighLeft,penaltySave,penaltyConceded,attCorner,penaltyFaced,penGoalsConceded,attObpGoal,attOboxPost,attFreekickTarget,ownGoals,attIboxOwnGoal,attGoalHighCentre,attCmissHighLeft,attObxLeft,attLgCentre,attFreekickGoal
1,918902,2017-08-12 15:00:00,"The Hawthorns, West Bromwich",25011,Away,Bournemouth,West Bromwich Albion,0,1,L,0,1,0,0,1.0,51.0,2.0,4.0,25.0,17.0,4.0,3.0,5.0,5.0,1.0,207.0,5.0,5.0,4.0,8.0,2.0,173.0,136.0,52.0,9.0,1.0,12.0,1.0,24.0,13.0,1.0,17.0,8.0,23.0,320.0,0.0,194.0,3.0,3.0,4.0,80.0,79.0,6.0,83.0,1.0,24.0,11.0,4.0,10.0,2.0,136.0,11.0,149.0,775.0,7.0,5.0,19.0,1.0,5.0,504.0,25.0,2.0,2.0,11.0,1.0,1.0,2.0,14.0,584.0,98.0,1.0,90105,4.0,212.0,10.0,1.0,236.0,1.0,1.0,11.0,10.0,34.0,1.0,7.0,8.0,5.0,6.0,68.0,527.0,15.0,1.0,1.0,25.0,87.0,1.0,0.0,2.0,8.0,3.0,1.0,3.0,0.0,5.0,1.0,71.3,11.0,3.0,1.0,1.0,7.0,5.0,52.0,2.0,612.0,5.0,15.0,13.0,2.0,38.0,400.0,5.0,8.0,18.0,145.0,15.0,3.0,11.0,16.0,1.0,7.0,3.0,9.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918903,2017-08-19 15:00:00,"Vitality Stadium, Bournemouth",10501,Home,Bournemouth,Watford,0,2,L,0,0,0,0,,51.0,2.0,1.0,32.0,31.0,2.0,2.0,4.0,5.0,1.0,174.0,4.0,6.0,1.0,3.0,2.0,94.0,148.0,45.0,6.0,2.0,17.0,2.0,15.0,7.0,,31.0,6.0,37.0,164.0,0.0,144.0,6.0,2.0,,65.0,35.0,2.0,67.0,1.0,9.0,15.0,2.0,,,148.0,13.0,103.0,617.0,2.0,1.0,22.0,1.0,8.0,315.0,17.0,,5.0,15.0,1.0,5.0,1.0,21.0,405.0,86.0,,90105,2.0,178.0,9.0,,201.0,1.0,,15.0,6.0,51.0,,7.0,9.0,6.0,4.0,64.0,338.0,13.0,9.0,1.0,17.0,70.0,,0.0,2.0,5.0,3.0,2.0,1.0,0.0,1.0,2.0,55.8,17.0,3.0,,,8.0,3.0,36.0,8.0,438.0,8.0,17.0,13.0,1.0,35.0,252.0,2.0,6.0,16.0,86.0,22.0,3.0,15.0,11.0,1.0,4.0,3.0,9.0,3.0,8.0,8.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918913,2017-08-26 12:30:00,"Vitality Stadium, Bournemouth",10419,Home,Bournemouth,Manchester City,1,2,L,1,1,0,1,,59.0,2.0,2.0,10.0,31.0,3.0,3.0,5.0,6.0,2.0,130.0,1.0,10.0,2.0,3.0,3.0,53.0,144.0,57.0,9.0,1.0,23.0,1.0,9.0,13.0,1.0,31.0,3.0,27.0,50.0,0.0,70.0,13.0,3.0,2.0,24.0,32.0,2.0,31.0,2.0,7.0,20.0,4.0,2.0,1.0,144.0,13.0,44.0,450.0,3.0,7.0,14.0,,12.0,140.0,28.0,,3.0,9.0,5.0,4.0,1.0,19.0,224.0,48.0,1.0,90105,3.0,103.0,3.0,1.0,127.0,9.0,2.0,20.0,12.0,62.0,1.0,3.0,8.0,6.0,2.0,71.0,152.0,14.0,13.0,,39.0,75.0,1.0,0.0,2.0,5.0,4.0,2.0,2.0,0.0,1.0,,29.8,12.0,3.0,1.0,,3.0,3.0,19.0,2.0,258.0,12.0,9.0,10.0,3.0,22.0,140.0,6.0,2.0,13.0,26.0,18.0,5.0,9.0,20.0,2.0,8.0,2.0,14.0,5.0,13.0,2.0,,1.0,,2.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918923,2017-09-09 15:00:00,"Emirates Stadium, London",59262,Away,Bournemouth,Arsenal,0,3,L,0,2,0,0,1.0,64.0,3.0,,13.0,19.0,1.0,,6.0,6.0,1.0,158.0,7.0,7.0,3.0,4.0,2.0,88.0,163.0,48.0,7.0,,18.0,2.0,20.0,8.0,,19.0,13.0,19.0,98.0,0.0,73.0,10.0,6.0,2.0,41.0,48.0,1.0,60.0,3.0,18.0,14.0,1.0,4.0,1.0,163.0,11.0,95.0,587.0,3.0,5.0,17.0,1.0,19.0,271.0,31.0,,2.0,9.0,1.0,4.0,3.0,27.0,374.0,40.0,2.0,90105,4.0,200.0,12.0,1.0,237.0,4.0,2.0,14.0,5.0,51.0,,5.0,11.0,6.0,1.0,56.0,291.0,12.0,8.0,1.0,29.0,64.0,,0.0,3.0,10.0,3.0,3.0,,0.0,6.0,4.0,41.6,18.0,5.0,1.0,,5.0,,20.0,3.0,401.0,19.0,10.0,8.0,5.0,29.0,184.0,3.0,13.0,18.0,40.0,18.0,1.0,9.0,11.0,2.0,5.0,3.0,13.0,1.0,7.0,3.0,1.0,,,2.0,1.0,,,,,,2.0,,1.0,3.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918933,2017-09-15 20:00:00,"Vitality Stadium, Bournemouth",10369,Home,Bournemouth,Brighton and Hove Albion,2,1,W,0,0,0,0,1.0,59.0,,2.0,24.0,14.0,10.0,6.0,5.0,,,203.0,1.0,18.0,2.0,9.0,3.0,170.0,138.0,63.0,15.0,5.0,17.0,,18.0,8.0,1.0,14.0,12.0,23.0,351.0,0.0,238.0,5.0,,1.0,147.0,99.0,6.0,108.0,,15.0,12.0,10.0,5.0,4.0,138.0,5.0,166.0,839.0,6.0,5.0,17.0,,9.0,554.0,16.0,,5.0,8.0,0.0,2.0,3.0,16.0,623.0,67.0,,90105,4.0,223.0,9.0,,241.0,3.0,,12.0,7.0,53.0,4.0,6.0,23.0,4.0,5.0,42.0,573.0,12.0,13.0,1.0,14.0,86.0,,0.0,2.0,4.0,1.0,1.0,1.0,0.0,,,62.5,14.0,5.0,1.0,,6.0,7.0,64.0,6.0,647.0,9.0,10.0,14.0,5.0,34.0,424.0,8.0,11.0,23.0,198.0,31.0,2.0,8.0,12.0,1.0,11.0,3.0,27.0,2.0,8.0,6.0,,,,3.0,1.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,1.0,,,,2.0,1.0,,2.0,1.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918946,2017-09-23 15:00:00,"Goodison Park, Liverpool",38133,Away,Bournemouth,Everton,1,2,L,0,0,0,0,,61.0,,,32.0,22.0,5.0,3.0,3.0,,2.0,151.0,5.0,10.0,2.0,7.0,4.0,104.0,156.0,49.0,8.0,2.0,15.0,1.0,21.0,11.0,2.0,22.0,12.0,30.0,187.0,0.0,128.0,11.0,,1.0,67.0,47.0,5.0,64.0,1.0,17.0,17.0,5.0,5.0,,156.0,9.0,96.0,598.0,5.0,3.0,17.0,,5.0,305.0,21.0,,3.0,6.0,1.0,5.0,2.0,20.0,387.0,55.0,,90105,1.0,139.0,11.0,,169.0,3.0,,17.0,8.0,46.0,,4.0,12.0,3.0,4.0,59.0,321.0,12.0,3.0,1.0,15.0,72.0,1.0,0.0,5.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,49.4,12.0,5.0,1.0,,5.0,2.0,46.0,6.0,415.0,5.0,11.0,16.0,2.0,32.0,267.0,4.0,12.0,14.0,87.0,24.0,2.0,6.0,13.0,2.0,6.0,3.0,18.0,2.0,8.0,6.0,,,1.0,4.0,,3.0,,,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,3.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918953,2017-09-30 15:00:00,"Vitality Stadium, Bournemouth",10444,Home,Bournemouth,Leicester City,0,0,D,0,0,0,0,,75.0,1.0,4.0,33.0,31.0,9.0,8.0,10.0,1.0,3.0,218.0,1.0,14.0,3.0,15.0,4.0,135.0,177.0,60.0,19.0,1.0,27.0,1.0,27.0,9.0,3.0,31.0,13.0,29.0,251.0,0.0,193.0,6.0,,2.0,97.0,69.0,7.0,66.0,1.0,20.0,20.0,9.0,5.0,5.0,177.0,2.0,121.0,753.0,15.0,7.0,49.0,,4.0,424.0,35.0,2.0,5.0,16.0,1.0,3.0,8.0,23.0,520.0,80.0,,90105,4.0,186.0,13.0,,215.0,2.0,,20.0,6.0,61.0,2.0,4.0,19.0,6.0,2.0,60.0,436.0,10.0,10.0,,15.0,79.0,,0.0,4.0,5.0,,,2.0,0.0,1.0,,60.9,19.0,2.0,3.0,,4.0,5.0,49.0,7.0,540.0,4.0,10.0,16.0,10.0,43.0,352.0,11.0,13.0,24.0,142.0,32.0,3.0,16.0,12.0,,19.0,3.0,23.0,3.0,9.0,7.0,,1.0,1.0,7.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,4.0,,,,1.0,2.0,1.0,,,2.0,,1.0,,,,,,3.0,,,1.0,,1.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918971,2017-10-14 15:00:00,"Wembley Stadium, London",73502,Away,Bournemouth,Tottenham Hotspur,0,1,L,0,0,0,0,,42.0,2.0,1.0,19.0,31.0,1.0,,4.0,5.0,1.0,129.0,4.0,2.0,,4.0,1.0,55.0,129.0,37.0,5.0,,19.0,1.0,11.0,10.0,,31.0,5.0,16.0,76.0,0.0,69.0,7.0,3.0,,51.0,36.0,2.0,34.0,1.0,6.0,17.0,1.0,2.0,1.0,129.0,9.0,36.0,419.0,4.0,8.0,8.0,,7.0,161.0,21.0,,5.0,16.0,3.0,8.0,2.0,19.0,225.0,50.0,,88498,3.0,97.0,4.0,,118.0,5.0,,17.0,12.0,52.0,,4.0,11.0,9.0,2.0,59.0,169.0,8.0,8.0,,27.0,58.0,1.0,0.0,,9.0,3.0,1.0,4.0,0.0,3.0,1.0,27.1,13.0,1.0,1.0,,4.0,1.0,24.0,5.0,254.0,7.0,14.0,10.0,3.0,19.0,147.0,4.0,5.0,16.0,30.0,11.0,3.0,16.0,11.0,1.0,3.0,3.0,7.0,3.0,4.0,5.0,,,,5.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918979,2017-10-21 15:00:00,"bet365 Stadium, Stoke",29500,Away,Bournemouth,Stoke City,2,1,W,2,0,0,0,1.0,60.0,,1.0,21.0,42.0,2.0,4.0,5.0,2.0,,181.0,2.0,6.0,1.0,5.0,3.0,87.0,158.0,59.0,7.0,,23.0,1.0,9.0,13.0,,42.0,5.0,18.0,101.0,0.0,73.0,10.0,,,44.0,51.0,3.0,54.0,2.0,6.0,19.0,2.0,1.0,1.0,158.0,9.0,69.0,586.0,4.0,8.0,13.0,,8.0,258.0,19.0,,6.0,20.0,1.0,2.0,2.0,23.0,350.0,53.0,,90105,2.0,183.0,5.0,,210.0,6.0,1.0,19.0,15.0,53.0,3.0,3.0,17.0,2.0,8.0,66.0,282.0,17.0,10.0,,28.0,97.0,,0.0,2.0,8.0,2.0,1.0,2.0,0.0,1.0,,47.7,12.0,2.0,2.0,,3.0,1.0,40.0,3.0,391.0,8.0,7.0,8.0,3.0,17.0,190.0,3.0,4.0,20.0,37.0,31.0,2.0,20.0,17.0,1.0,6.0,3.0,10.0,2.0,8.0,3.0,,1.0,1.0,3.0,,1.0,,,1.0,,,1.0,1.0,2.0,1.0,2.0,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,918983,2017-10-28 17:30:00,"Vitality Stadium, Bournemouth",10998,Home,Bournemouth,Chelsea,0,1,L,0,0,0,0,,56.0,1.0,3.0,29.0,19.0,2.0,2.0,5.0,4.0,1.0,160.0,3.0,7.0,,7.0,1.0,131.0,134.0,30.0,7.0,,15.0,1.0,15.0,6.0,,19.0,12.0,13.0,191.0,0.0,130.0,5.0,,,77.0,61.0,4.0,61.0,2.0,11.0,14.0,2.0,5.0,2.0,134.0,13.0,107.0,634.0,7.0,9.0,17.0,,16.0,362.0,23.0,1.0,5.0,14.0,2.0,5.0,3.0,25.0,436.0,48.0,,88498,4.0,188.0,6.0,,210.0,4.0,1.0,14.0,10.0,41.0,,9.0,16.0,5.0,4.0,60.0,376.0,5.0,5.0,,24.0,75.0,,0.0,1.0,5.0,3.0,1.0,2.0,0.0,3.0,1.0,41.7,19.0,6.0,,1.0,9.0,3.0,43.0,5.0,459.0,16.0,7.0,6.0,3.0,19.0,264.0,4.0,11.0,12.0,92.0,17.0,3.0,14.0,7.0,1.0,7.0,3.0,16.0,3.0,8.0,5.0,,,,4.0,,1.0,,1.0,,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
