gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attCmissRight,attBxRight,attMissHighRight,attSvHighRight,attSvLowLeft,attHdTarget,outfielderBlock,totalPullBack,attemptsConcededObox,goalsConceded,attSvHighCentre,attPostRight,goalsConcededIbox,errorLeadToGoal,attGoalLowRight,attFreekickTotal,freekickTotal,contentiousDecision,errorLeadToShot,attMissHigh,ptsDroppedWinningPos,goalAssistSetplay,accuratePullBack,attOboxGoal,attGoalHighCentre,attCmissHighRight,attObxRight,forwardGoals,attSvHighLeft,attCmissHigh,punches,attFreekickTarget,attPostHigh,attFreekickMiss,attGoalLowLeft,attObxLeft,attFreekickPost,secondYellow,attOboxPost,attHdGoal,savedObox,goalAssistDeadball,shotFastbreak,totalFastbreak,attFastbreak,attGoalHighLeft,goalFastbreak,attLgCentre,shieldBallOop,ptsGainedLosingPos,attMissHighLeft,attGoalHighRight,foulThrowIn,clearanceOffLine,attObxdRight,attCmissHighLeft,penaltyConceded,penaltyFaced,penaltyWon,attPenGoal,ownGoals,attIboxOwnGoal,attPenTarget,attObxdLeft,attObpGoal,penGoalsConceded,attHdPost
1,918899,2017-08-13 13:30:00,"St. James' Park, Newcastle",52077,Away,Tottenham Hotspur,Newcastle United,2,0,W,0,0,0,1,1.0,1.0,1.0,56.0,2.0,20.0,22.0,8.0,6.0,10.0,2.0,1.0,3.0,194.0,2.0,3.0,10.0,2.0,2.0,14.0,6.0,202.0,123.0,47.0,18.0,5.0,16.0,2.0,1.0,2.0,2.0,3.0,1.0,19.0,1.0,11.0,2.0,22.0,3.0,15.0,28.0,1.0,378.0,1.0,0.0,201.0,10.0,2.0,1.0,1.0,3.0,99.0,101.0,9.0,112.0,1.0,3.0,16.0,19.0,8.0,5.0,1.0,123.0,2.0,6.0,1.0,194.0,892.0,10.0,4.0,25.0,1.0,5.0,614.0,15.0,1.0,9.0,2.0,2.0,2.0,5.0,26.0,685.0,69.0,3.0,1.0,97485,5.0,253.0,2.0,10.0,1.0,1.0,266.0,6.0,1.0,19.0,5.0,39.0,5.0,1.0,1.0,8.0,2.0,13.0,4.0,43.0,628.0,6.0,4.0,2.0,12.0,74.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,73.1,24.0,1.0,4.0,3.0,8.0,7.0,52.0,7.0,3.0,702.0,5.0,5.0,14.0,5.0,32.0,1.0,3.0,455.0,10.0,15.0,15.0,159.0,27.0,4.0,9.0,16.0,16.0,3.0,17.0,4.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918911,2017-08-20 16:00:00,"Wembley Stadium, London",73587,Home,Tottenham Hotspur,Chelsea,1,2,L,0,1,0,0,,2.0,,47.0,3.0,43.0,14.0,8.0,6.0,10.0,,,3.0,190.0,,7.0,16.0,1.0,8.0,14.0,6.0,162.0,166.0,59.0,18.0,3.0,16.0,2.0,1.0,,,2.0,2.0,37.0,1.0,9.0,4.0,14.0,11.0,3.0,18.0,,301.0,,0.0,199.0,14.0,,,4.0,1.0,91.0,86.0,9.0,87.0,,2.0,26.0,25.0,8.0,8.0,1.0,166.0,,6.0,,153.0,820.0,10.0,4.0,30.0,1.0,4.0,477.0,17.0,5.0,5.0,,,4.0,5.0,25.0,563.0,98.0,,,97485,4.0,207.0,,14.0,,,227.0,7.0,,25.0,5.0,68.0,,,,5.0,,10.0,3.0,66.0,501.0,20.0,9.0,4.0,14.0,73.0,,1.0,0.0,2.0,4.0,,1.0,1.0,0.0,2.0,,3.0,67.7,23.0,2.0,2.0,2.0,5.0,6.0,54.0,14.0,1.0,592.0,4.0,20.0,9.0,6.0,50.0,5.0,4.0,402.0,8.0,3.0,12.0,143.0,22.0,1.0,5.0,14.0,12.0,3.0,27.0,1.0,7.0,14.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918920,2017-08-27 16:00:00,"Wembley Stadium, London",67862,Home,Tottenham Hotspur,Burnley,1,1,D,0,0,0,0,,1.0,1.0,58.0,5.0,33.0,19.0,13.0,6.0,15.0,2.0,,3.0,174.0,,8.0,10.0,1.0,2.0,19.0,5.0,164.0,133.0,42.0,28.0,12.0,27.0,4.0,,2.0,,1.0,,26.0,,7.0,,19.0,8.0,16.0,42.0,1.0,303.0,,0.0,193.0,9.0,1.0,1.0,1.0,,84.0,74.0,15.0,93.0,,3.0,18.0,19.0,13.0,8.0,1.0,133.0,,11.0,,157.0,765.0,16.0,6.0,33.0,,6.0,484.0,25.0,3.0,9.0,,2.0,0.0,4.0,14.0,557.0,72.0,1.0,1.0,93264,9.0,208.0,1.0,9.0,3.0,1.0,229.0,5.0,1.0,19.0,13.0,58.0,1.0,,1.0,9.0,,10.0,4.0,63.0,503.0,9.0,6.0,3.0,10.0,71.0,1.0,,0.0,3.0,7.0,2.0,1.0,2.0,0.0,5.0,,3.0,67.3,14.0,3.0,4.0,2.0,9.0,17.0,47.0,10.0,,588.0,6.0,8.0,22.0,6.0,45.0,3.0,5.0,385.0,18.0,16.0,15.0,144.0,19.0,2.0,9.0,9.0,16.0,3.0,18.0,2.0,5.0,10.0,,1.0,2.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918926,2017-09-09 15:00:00,"Goodison Park, Liverpool",38835,Away,Tottenham Hotspur,Everton,3,0,W,2,0,0,0,2.0,1.0,2.0,59.0,2.0,41.0,31.0,4.0,5.0,10.0,1.0,1.0,2.0,173.0,,5.0,10.0,3.0,5.0,11.0,6.0,110.0,140.0,52.0,15.0,1.0,12.0,3.0,,,1.0,2.0,2.0,17.0,,9.0,,31.0,3.0,8.0,46.0,,200.0,1.0,0.0,159.0,14.0,,1.0,1.0,,83.0,66.0,5.0,78.0,,1.0,14.0,17.0,5.0,3.0,3.0,140.0,3.0,10.0,,97.0,664.0,8.0,6.0,23.0,,11.0,350.0,27.0,5.0,19.0,2.0,,1.0,5.0,22.0,434.0,74.0,,,93264,7.0,172.0,2.0,10.0,1.0,,191.0,7.0,2.0,17.0,6.0,47.0,,,3.0,7.0,2.0,8.0,3.0,81.0,367.0,14.0,6.0,,18.0,79.0,1.0,,0.0,3.0,7.0,1.0,2.0,3.0,0.0,5.0,1.0,1.0,49.3,16.0,1.0,2.0,1.0,7.0,3.0,40.0,3.0,,458.0,11.0,10.0,26.0,6.0,32.0,,3.0,284.0,9.0,7.0,15.0,114.0,21.0,3.0,19.0,13.0,13.0,3.0,17.0,3.0,11.0,3.0,,1.0,1.0,2.0,,,,6.0,1.0,2.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918940,2017-09-16 17:30:00,"Wembley Stadium, London",65366,Home,Tottenham Hotspur,Swansea City,0,0,D,0,0,0,0,1.0,2.0,,58.0,1.0,47.0,11.0,16.0,4.0,10.0,,,5.0,208.0,,7.0,7.0,,5.0,19.0,8.0,235.0,154.0,46.0,26.0,3.0,13.0,4.0,1.0,,,1.0,4.0,42.0,1.0,8.0,4.0,11.0,9.0,7.0,49.0,,508.0,1.0,0.0,320.0,11.0,,,1.0,,165.0,126.0,11.0,113.0,1.0,1.0,33.0,20.0,16.0,14.0,9.0,154.0,,2.0,,201.0,955.0,17.0,7.0,30.0,1.0,4.0,663.0,21.0,1.0,4.0,,,1.0,8.0,27.0,744.0,110.0,1.0,,93264,3.0,173.0,,18.0,,,190.0,5.0,,20.0,4.0,50.0,1.0,,,7.0,,15.0,4.0,69.0,674.0,9.0,10.0,2.0,10.0,71.0,3.0,3.0,0.0,2.0,1.0,,,1.0,0.0,4.0,,1.0,74.9,25.0,,6.0,2.0,7.0,4.0,56.0,11.0,,757.0,4.0,8.0,28.0,14.0,58.0,3.0,4.0,609.0,21.0,7.0,17.0,267.0,24.0,1.0,4.0,14.0,16.0,2.0,16.0,1.0,7.0,11.0,,1.0,1.0,,,2.0,1.0,,,2.0,,1.0,,,,,2.0,2.0,2.0,,8.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918952,2017-09-23 12:30:00,"London Stadium, London",56988,Away,Tottenham Hotspur,West Ham United,3,2,W,2,0,1,0,,,2.0,66.0,,29.0,39.0,7.0,4.0,7.0,2.0,1.0,2.0,163.0,1.0,3.0,9.0,3.0,2.0,9.0,5.0,99.0,160.0,60.0,15.0,3.0,16.0,1.0,2.0,3.0,1.0,1.0,1.0,16.0,1.0,13.0,1.0,39.0,3.0,12.0,32.0,,151.0,,0.0,100.0,20.0,,1.0,,,72.0,46.0,5.0,33.0,,3.0,13.0,24.0,8.0,8.0,3.0,160.0,1.0,6.0,1.0,99.0,618.0,8.0,9.0,15.0,2.0,9.0,276.0,31.0,4.0,25.0,1.0,3.0,2.0,4.0,29.0,368.0,53.0,2.0,,93264,3.0,145.0,,5.0,,1.0,167.0,10.0,1.0,24.0,8.0,60.0,5.0,,5.0,3.0,2.0,14.0,3.0,69.0,293.0,10.0,6.0,,20.0,81.0,,,0.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,51.1,24.0,,3.0,3.0,3.0,3.0,42.0,3.0,,394.0,9.0,14.0,13.0,7.0,28.0,,2.0,243.0,10.0,11.0,22.0,58.0,28.0,3.0,25.0,19.0,10.0,3.0,14.0,3.0,11.0,3.0,,,,1.0,,,,1.0,,4.0,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,,,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918957,2017-09-30 12:30:00,"John Smith's Stadium, Huddersfield",24169,Away,Tottenham Hotspur,Huddersfield Town,4,0,W,3,0,0,0,,1.0,2.0,64.0,1.0,34.0,31.0,4.0,6.0,10.0,1.0,3.0,2.0,181.0,,5.0,12.0,4.0,1.0,9.0,7.0,150.0,164.0,48.0,14.0,1.0,11.0,3.0,1.0,2.0,2.0,3.0,,16.0,1.0,11.0,,31.0,6.0,11.0,49.0,2.0,181.0,1.0,0.0,119.0,4.0,1.0,1.0,1.0,,60.0,72.0,7.0,77.0,,1.0,10.0,24.0,4.0,2.0,2.0,164.0,1.0,2.0,1.0,150.0,769.0,6.0,7.0,34.0,1.0,7.0,431.0,29.0,1.0,19.0,3.0,2.0,1.0,2.0,30.0,536.0,67.0,,,93264,3.0,276.0,,7.0,1.0,,304.0,2.0,1.0,24.0,10.0,44.0,,,2.0,5.0,4.0,13.0,9.0,66.0,452.0,6.0,5.0,,14.0,80.0,,,0.0,3.0,4.0,,3.0,2.0,0.0,1.0,1.0,1.0,59.5,26.0,1.0,2.0,2.0,5.0,2.0,46.0,7.0,,558.0,7.0,16.0,22.0,5.0,28.0,4.0,2.0,270.0,7.0,10.0,14.0,72.0,28.0,5.0,19.0,16.0,13.0,3.0,21.0,5.0,10.0,7.0,,,4.0,1.0,,,,3.0,,4.0,,,,,,3.0,,,,,2.0,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,918971,2017-10-14 15:00:00,"Wembley Stadium, London",73502,Home,Tottenham Hotspur,Bournemouth,1,0,W,0,0,0,0,1.0,3.0,,47.0,2.0,65.0,18.0,9.0,9.0,9.0,2.0,1.0,2.0,204.0,,7.0,8.0,1.0,2.0,13.0,6.0,183.0,133.0,52.0,18.0,6.0,16.0,3.0,,,,4.0,1.0,32.0,,9.0,2.0,18.0,9.0,19.0,37.0,,369.0,1.0,0.0,212.0,9.0,2.0,1.0,1.0,,106.0,125.0,10.0,116.0,1.0,1.0,23.0,18.0,9.0,10.0,1.0,133.0,2.0,4.0,,185.0,890.0,12.0,5.0,33.0,,7.0,603.0,18.0,2.0,13.0,,,1.0,3.0,32.0,675.0,95.0,,1.0,93264,8.0,251.0,2.0,12.0,,,263.0,3.0,,18.0,6.0,37.0,,,3.0,2.0,1.0,16.0,4.0,93.0,613.0,7.0,2.0,1.0,10.0,79.0,,,0.0,2.0,5.0,1.0,1.0,2.0,0.0,4.0,,2.0,72.9,31.0,2.0,4.0,,2.0,8.0,53.0,9.0,,688.0,7.0,7.0,18.0,4.0,50.0,3.0,3.0,457.0,6.0,19.0,19.0,161.0,21.0,2.0,13.0,19.0,15.0,3.0,12.0,2.0,11.0,9.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,918981,2017-10-22 16:00:00,"Wembley Stadium, London",80827,Home,Tottenham Hotspur,Liverpool,4,1,W,3,1,0,0,,1.0,3.0,67.0,2.0,30.0,29.0,2.0,6.0,11.0,6.0,2.0,1.0,142.0,1.0,1.0,6.0,4.0,1.0,7.0,6.0,92.0,134.0,46.0,14.0,1.0,8.0,2.0,1.0,1.0,2.0,,2.0,11.0,1.0,19.0,,29.0,3.0,3.0,29.0,,105.0,,0.0,75.0,2.0,4.0,1.0,1.0,1.0,46.0,53.0,5.0,58.0,,1.0,8.0,24.0,3.0,1.0,2.0,134.0,3.0,4.0,,67.0,560.0,4.0,5.0,14.0,1.0,9.0,264.0,30.0,5.0,17.0,2.0,1.0,0.0,2.0,24.0,339.0,40.0,2.0,,93264,10.0,170.0,1.0,6.0,,3.0,195.0,2.0,2.0,24.0,7.0,46.0,3.0,,1.0,6.0,2.0,4.0,2.0,69.0,274.0,8.0,10.0,1.0,27.0,65.0,2.0,,0.0,3.0,5.0,3.0,4.0,1.0,0.0,,2.0,1.0,36.2,19.0,1.0,1.0,,6.0,3.0,31.0,3.0,1.0,359.0,9.0,13.0,17.0,5.0,14.0,1.0,2.0,175.0,7.0,3.0,10.0,42.0,26.0,1.0,17.0,22.0,8.0,3.0,19.0,1.0,12.0,3.0,,,1.0,,,,,4.0,,8.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,3.0,,,1.0,,1.0,,2.0,,,,,,3.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,918990,2017-10-28 12:30:00,"Old Trafford, Manchester",75034,Away,Tottenham Hotspur,Manchester United,0,1,L,0,0,0,0,,1.0,,66.0,2.0,31.0,33.0,6.0,3.0,6.0,2.0,,3.0,192.0,,2.0,8.0,,,12.0,4.0,116.0,171.0,42.0,13.0,2.0,16.0,2.0,,2.0,,1.0,2.0,17.0,,6.0,2.0,33.0,3.0,16.0,24.0,,239.0,,0.0,160.0,14.0,3.0,,,,67.0,77.0,7.0,79.0,2.0,1.0,14.0,23.0,7.0,6.0,3.0,171.0,1.0,8.0,,122.0,719.0,10.0,4.0,18.0,,14.0,374.0,29.0,8.0,14.0,,2.0,0.0,5.0,29.0,486.0,65.0,1.0,,93264,3.0,157.0,1.0,8.0,,,195.0,8.0,,23.0,7.0,46.0,2.0,,1.0,2.0,,19.0,6.0,74.0,394.0,11.0,7.0,2.0,32.0,82.0,2.0,1.0,0.0,,6.0,1.0,,,0.0,,,1.0,55.2,17.0,1.0,5.0,1.0,2.0,4.0,46.0,3.0,,509.0,14.0,5.0,6.0,5.0,32.0,2.0,2.0,331.0,8.0,16.0,13.0,116.0,26.0,5.0,14.0,11.0,10.0,2.0,12.0,5.0,10.0,3.0,,1.0,1.0,1.0,,,,3.0,,3.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
