gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,lostCorners,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attCmissRight,attBxRight,attMissHighRight,goodHighClaim,attOboxMiss,bigChanceCreated,errorLeadToShot,bigChanceMissed,attCmissHigh,attMissHigh,overrun,possWonAtt3rd,totalHighClaim,attGoalLowRight,attRfTarget,attSvHighRight,ptsGainedLosingPos,attMissHighLeft,accurateThroughBall,totalThroughBall,savedIbox,attLfTarget,bigChanceScored,attGoalLowCentre,cleanSheet,attOboxGoal,attSvLowLeft,shieldBallOop,clearanceOffLine,handBall,attOboxTarget,attSvLowRight,ptsDroppedWinningPos,accurateKeeperSweeper,totalKeeperSweeper,foulThrowIn,accuratePullBack,totalPullBack,attPostRight,errorLeadToGoal,attLgCentre,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attGoalHighCentre,attOneOnOne,midfielderGoals,attIboxPost,attFreekickTarget,shotFastbreak,totalFastbreak,attHdPost,attFastbreak,attPostHigh,attSvHighLeft,contentiousDecision,attCmissHighLeft,attFreekickGoal,attCmissHighRight,penaltySave,goalsConcededObox,goalAssistDeadball,ownGoals,attIboxOwnGoal
1,918895,2017-08-12 15:00:00,"Stamford Bridge, London",41616,Away,Burnley,Chelsea,3,2,W,3,0,0,2,39.0,1.0,4.0,1.0,35.0,42.0,2.0,4.0,8.0,4.0,1.0,133.0,8.0,2.0,3.0,2.0,8.0,5.0,67.0,111.0,46.0,1.0,10.0,1.0,17.0,2.0,1.0,2.0,1.0,2.0,16.0,4.0,1.0,42.0,4.0,10.0,15.0,134.0,0.0,87.0,11.0,3.0,2.0,52.0,38.0,5.0,50.0,1.0,1.0,1.0,12.0,12.0,2.0,1.0,5.0,111.0,7.0,1.0,70.0,485.0,2.0,14.0,12.0,2.0,1.0,13.0,227.0,17.0,10.0,27.0,3.0,3.0,7.0,3.0,7.0,291.0,55.0,1.0,98747,4.0,115.0,5.0,2.0,124.0,7.0,1.0,12.0,10.0,41.0,1.0,1.0,4.0,2.0,10.0,12.0,4.0,72.0,241.0,15.0,5.0,3.0,32.0,84.0,1.0,1.0,1.0,0.0,8.0,3.0,1.0,2.0,1.0,0.0,5.0,3.0,5.0,38.1,4.0,2.0,3.0,1.0,4.0,1.0,47.0,5.0,320.0,13.0,9.0,9.0,4.0,28.0,3.0,3.0,212.0,1.0,7.0,22.0,43.0,13.0,2.0,3.0,27.0,8.0,1.0,2.0,4.0,2.0,3.0,3.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918904,2017-08-19 15:00:00,"Turf Moor, Burnley",19619,Home,Burnley,West Bromwich Albion,0,1,L,0,0,0,1,40.0,,,,40.0,33.0,9.0,4.0,11.0,,,175.0,8.0,9.0,,2.0,12.0,,120.0,151.0,52.0,1.0,20.0,2.0,20.0,,,,,5.0,33.0,8.0,,33.0,4.0,22.0,35.0,193.0,0.0,147.0,11.0,,1.0,71.0,78.0,1.0,78.0,,,3.0,29.0,9.0,9.0,1.0,18.0,151.0,5.0,,98.0,665.0,11.0,14.0,20.0,,,7.0,358.0,14.0,12.0,24.0,,1.0,2.0,11.0,22.0,447.0,87.0,,98747,7.0,189.0,10.0,2.0,213.0,4.0,,9.0,9.0,44.0,,1.0,6.0,,14.0,3.0,4.0,87.0,374.0,11.0,6.0,1.0,36.0,88.0,,4.0,,0.0,5.0,,,1.0,4.0,0.0,7.0,,5.0,67.8,18.0,5.0,2.0,,6.0,5.0,51.0,5.0,471.0,7.0,9.0,20.0,15.0,43.0,1.0,8.0,291.0,10.0,21.0,24.0,98.0,18.0,,2.0,24.0,9.0,,1.0,11.0,2.0,9.0,2.0,3.0,6.0,3.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918920,2017-08-27 16:00:00,"Wembley Stadium, London",67862,Away,Burnley,Tottenham Hotspur,1,1,D,0,0,0,0,59.0,,,,30.0,36.0,2.0,3.0,11.0,4.0,,126.0,7.0,6.0,1.0,,11.0,3.0,54.0,117.0,58.0,,13.0,1.0,15.0,2.0,,1.0,1.0,2.0,20.0,9.0,,36.0,7.0,11.0,26.0,109.0,0.0,93.0,9.0,1.0,,36.0,50.0,4.0,50.0,2.0,,1.0,13.0,15.0,2.0,,6.0,117.0,15.0,,42.0,474.0,6.0,10.0,19.0,1.0,,15.0,183.0,30.0,6.0,21.0,1.0,0.0,17.0,7.0,13.0,252.0,64.0,,98747,7.0,91.0,7.0,,107.0,6.0,1.0,15.0,8.0,42.0,,6.0,11.0,1.0,8.0,13.0,5.0,71.0,193.0,9.0,10.0,4.0,24.0,69.0,,,,0.0,10.0,1.0,,1.0,6.0,0.0,2.0,1.0,5.0,32.7,11.0,4.0,2.0,,11.0,2.0,30.0,7.0,272.0,15.0,5.0,10.0,8.0,30.0,5.0,7.0,185.0,5.0,9.0,27.0,47.0,16.0,,6.0,21.0,16.0,,1.0,7.0,3.0,10.0,6.0,8.0,7.0,1.0,,1.0,,,1.0,,1.0,,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918925,2017-09-10 13:30:00,"Turf Moor, Burnley",18862,Home,Burnley,Crystal Palace,1,0,W,1,0,0,0,54.0,,2.0,,26.0,52.0,1.0,1.0,3.0,3.0,,127.0,1.0,7.0,1.0,1.0,3.0,2.0,47.0,151.0,62.0,,4.0,,17.0,1.0,,,,,12.0,13.0,,52.0,2.0,7.0,32.0,94.0,0.0,95.0,7.0,2.0,,45.0,43.0,1.0,29.0,1.0,,2.0,10.0,22.0,1.0,,5.0,151.0,12.0,,51.0,472.0,3.0,18.0,7.0,,,6.0,144.0,14.0,12.0,37.0,,1.0,14.0,2.0,24.0,225.0,65.0,,98747,1.0,67.0,5.0,,82.0,3.0,1.0,22.0,10.0,60.0,,8.0,1.0,1.0,13.0,11.0,6.0,66.0,160.0,14.0,24.0,,25.0,75.0,,,,0.0,13.0,,,,8.0,0.0,1.0,,1.0,35.3,13.0,1.0,,,1.0,,29.0,3.0,254.0,6.0,9.0,13.0,2.0,16.0,,2.0,184.0,2.0,7.0,23.0,48.0,25.0,1.0,3.0,37.0,18.0,,,4.0,3.0,10.0,3.0,13.0,3.0,,1.0,1.0,,,,,,,,,2.0,6.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918937,2017-09-16 15:00:00,"Anfield, Liverpool",53231,Away,Burnley,Liverpool,1,1,D,1,1,0,0,64.0,1.0,3.0,,28.0,37.0,1.0,1.0,4.0,8.0,,146.0,3.0,3.0,1.0,2.0,4.0,4.0,48.0,125.0,35.0,,5.0,,8.0,2.0,,,,,7.0,6.0,,37.0,2.0,11.0,20.0,97.0,0.0,87.0,9.0,3.0,2.0,52.0,28.0,3.0,37.0,1.0,,1.0,5.0,17.0,1.0,,1.0,125.0,18.0,,46.0,448.0,1.0,17.0,5.0,2.0,,7.0,171.0,26.0,10.0,14.0,,2.0,11.0,1.0,10.0,249.0,63.0,1.0,98747,2.0,89.0,2.0,1.0,109.0,3.0,1.0,17.0,17.0,36.0,,5.0,5.0,1.0,10.0,17.0,8.0,73.0,183.0,7.0,14.0,3.0,36.0,83.0,,,,0.0,12.0,1.0,,1.0,7.0,0.0,1.0,,3.0,28.7,5.0,1.0,1.0,,5.0,,41.0,2.0,277.0,7.0,4.0,10.0,1.0,18.0,2.0,1.0,175.0,1.0,8.0,15.0,36.0,19.0,1.0,6.0,14.0,11.0,,1.0,2.0,3.0,5.0,6.0,9.0,2.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,5.0,1.0,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918945,2017-09-23 15:00:00,"Turf Moor, Burnley",20759,Home,Burnley,Huddersfield Town,0,0,D,0,0,0,0,70.0,,1.0,,43.0,22.0,3.0,1.0,1.0,2.0,,187.0,2.0,7.0,,2.0,2.0,2.0,89.0,182.0,60.0,,4.0,1.0,22.0,,,,2.0,,12.0,9.0,,22.0,3.0,9.0,31.0,179.0,0.0,148.0,9.0,1.0,2.0,85.0,59.0,1.0,90.0,,,1.0,9.0,14.0,3.0,,4.0,182.0,2.0,,90.0,645.0,2.0,14.0,7.0,,,13.0,322.0,20.0,14.0,10.0,,3.0,2.0,1.0,31.0,434.0,86.0,,98747,1.0,156.0,3.0,,175.0,7.0,,14.0,7.0,61.0,,5.0,6.0,,12.0,7.0,2.0,89.0,333.0,13.0,6.0,,46.0,100.0,,,1.0,0.0,4.0,,,,2.0,0.0,1.0,,1.0,52.0,26.0,1.0,,,6.0,1.0,56.0,3.0,456.0,13.0,19.0,18.0,1.0,26.0,1.0,1.0,293.0,2.0,8.0,26.0,75.0,37.0,,4.0,10.0,15.0,,,4.0,2.0,13.0,4.0,7.0,3.0,,,,,1.0,,1.0,,1.0,,,1.0,3.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918956,2017-10-01 14:15:00,"Goodison Park, Liverpool",38448,Away,Burnley,Everton,1,0,W,1,0,0,0,57.0,,2.0,,38.0,60.0,,2.0,5.0,4.0,,158.0,3.0,7.0,1.0,3.0,4.0,2.0,47.0,161.0,71.0,,5.0,,32.0,1.0,,1.0,,,17.0,10.0,,60.0,3.0,9.0,29.0,105.0,0.0,116.0,7.0,2.0,3.0,65.0,28.0,3.0,46.0,,,1.0,14.0,20.0,,,1.0,161.0,10.0,,44.0,515.0,2.0,12.0,16.0,1.0,,13.0,162.0,28.0,13.0,38.0,1.0,2.0,8.0,1.0,18.0,258.0,75.0,,98747,4.0,77.0,10.0,1.0,98.0,3.0,1.0,20.0,18.0,53.0,,1.0,1.0,1.0,15.0,15.0,8.0,95.0,179.0,12.0,7.0,1.0,39.0,91.0,,,1.0,0.0,9.0,1.0,,,1.0,0.0,2.0,1.0,2.0,36.8,12.0,1.0,,1.0,1.0,2.0,39.0,3.0,295.0,13.0,6.0,7.0,1.0,37.0,1.0,1.0,214.0,1.0,5.0,35.0,52.0,16.0,1.0,4.0,38.0,18.0,,,4.0,1.0,9.0,4.0,10.0,3.0,2.0,,1.0,,2.0,,,,,,,1.0,3.0,3.0,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918964,2017-10-14 15:00:00,"Turf Moor, Burnley",20945,Home,Burnley,West Ham United,1,1,D,0,1,0,1,64.0,1.0,4.0,,29.0,15.0,12.0,7.0,8.0,5.0,,153.0,10.0,9.0,1.0,3.0,11.0,5.0,122.0,141.0,63.0,2.0,20.0,3.0,25.0,2.0,1.0,1.0,1.0,,22.0,6.0,,15.0,6.0,13.0,45.0,236.0,0.0,173.0,11.0,2.0,1.0,77.0,48.0,5.0,48.0,,,3.0,16.0,10.0,12.0,2.0,2.0,141.0,3.0,,131.0,634.0,10.0,6.0,30.0,1.0,1.0,6.0,344.0,24.0,4.0,10.0,1.0,2.0,1.0,6.0,21.0,436.0,72.0,1.0,98747,6.0,130.0,13.0,1.0,153.0,4.0,,10.0,3.0,48.0,,2.0,10.0,1.0,16.0,5.0,3.0,62.0,356.0,14.0,6.0,,22.0,67.0,,,1.0,0.0,4.0,1.0,1.0,1.0,,0.0,6.0,1.0,3.0,62.1,18.0,1.0,1.0,,10.0,7.0,38.0,7.0,454.0,6.0,6.0,20.0,8.0,53.0,4.0,1.0,323.0,9.0,12.0,30.0,113.0,25.0,1.0,1.0,10.0,12.0,1.0,1.0,14.0,3.0,12.0,1.0,4.0,7.0,4.0,1.0,,1.0,1.0,6.0,1.0,,,,3.0,1.0,4.0,1.0,,3.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,2.0,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918976,2017-10-21 15:00:00,"Etihad Stadium, Manchester",54118,Away,Burnley,Manchester City,0,3,L,0,1,0,0,47.0,,1.0,,23.0,20.0,4.0,5.0,1.0,7.0,,108.0,3.0,6.0,,1.0,3.0,,37.0,111.0,35.0,1.0,6.0,2.0,13.0,,,,,,12.0,10.0,,20.0,5.0,15.0,22.0,73.0,0.0,75.0,6.0,4.0,,41.0,25.0,2.0,44.0,5.0,,,7.0,9.0,5.0,1.0,1.0,111.0,12.0,,38.0,389.0,2.0,5.0,9.0,,,25.0,140.0,15.0,8.0,7.0,,3.0,1.0,1.0,16.0,204.0,51.0,,98747,1.0,80.0,6.0,,97.0,4.0,,9.0,5.0,44.0,,2.0,1.0,,10.0,3.0,2.0,63.0,150.0,9.0,17.0,1.0,28.0,58.0,,,,0.0,4.0,,,3.0,2.0,0.0,1.0,,,22.6,13.0,,,,1.0,3.0,19.0,5.0,227.0,25.0,8.0,10.0,3.0,19.0,2.0,,142.0,,13.0,6.0,32.0,20.0,,3.0,7.0,14.0,,3.0,4.0,3.0,7.0,3.0,6.0,5.0,1.0,,,,3.0,3.0,,,,,1.0,1.0,4.0,3.0,,,,,2.0,,,6.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,918986,2017-10-30 20:00:00,"Turf Moor, Burnley",21031,Home,Burnley,Newcastle United,1,0,W,0,0,0,0,65.0,,4.0,,33.0,29.0,3.0,4.0,9.0,5.0,,190.0,5.0,9.0,1.0,,9.0,5.0,96.0,164.0,54.0,,12.0,2.0,29.0,3.0,,1.0,2.0,2.0,26.0,11.0,,29.0,5.0,17.0,24.0,182.0,0.0,134.0,9.0,2.0,1.0,82.0,61.0,7.0,79.0,1.0,,1.0,21.0,11.0,3.0,,7.0,164.0,4.0,,86.0,649.0,6.0,12.0,17.0,1.0,,11.0,330.0,20.0,11.0,15.0,1.0,3.0,4.0,2.0,22.0,430.0,71.0,1.0,98747,4.0,166.0,13.0,3.0,182.0,3.0,1.0,11.0,4.0,52.0,,4.0,3.0,1.0,15.0,8.0,2.0,76.0,343.0,7.0,7.0,2.0,44.0,101.0,,2.0,,0.0,3.0,1.0,,,6.0,0.0,4.0,1.0,2.0,47.1,16.0,1.0,2.0,1.0,3.0,4.0,55.0,5.0,451.0,11.0,8.0,13.0,3.0,33.0,1.0,3.0,295.0,5.0,16.0,24.0,76.0,30.0,1.0,1.0,15.0,14.0,,,7.0,1.0,11.0,1.0,3.0,5.0,2.0,,1.0,,2.0,,1.0,,,,,,5.0,2.0,,1.0,,,,,1.0,1.0,2.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
