gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attFreekickTotal,attOboxBlocked,attSvLowCentre,attOboxTarget,freekickCross,goodHighClaim,freekickTotal,secondYellow,attLgCentre,accurateThroughBall,attSetpiece,penaltyConceded,attCmissHigh,totalThroughBall,attSvLowRight,attPostHigh,goalsConceded,shieldBallOop,penaltyFaced,totalHighClaim,penGoalsConceded,attFreekickMiss,goalsConcededIbox,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attCmissRight,shotFastbreak,attBxRight,attOneOnOne,attOboxGoal,ptsGainedLosingPos,totalFastbreak,midfielderGoals,interceptionsInBox,attMissRight,goalAssist,attRfGoal,attFastbreak,goalAssistIntentional,attSvHighCentre,clearanceOffLine,ptsDroppedWinningPos,handBall,accuratePullBack,attSvHighRight,sixYardBlock,totalPullBack,defenderGoals,attGoalHighCentre,accurateFreekickCross,attFreekickTarget,attHdTotal,attHdMiss,accurateKeeperSweeper,totalKeeperSweeper,attHdTarget,attGoalLowRight,goalAssistOpenplay,goalFastbreak,attSvHighLeft,attMissHighLeft,ownGoals,attCmissHighLeft,attOboxPost,forwardGoals,attIboxOwnGoal,errorLeadToShot,goalsConcededObox,attGoalHighRight,attGoalLowCentre,penaltyWon,contentiousDecision,attPenGoal,attHdGoal,attFreekickPost,attGoalHighLeft,attHdPost,attPostRight,attCmissHighRight,foulThrowIn,attObxRight
1,2367542,2023-08-12 15:00:00,"Goodison Park, Liverpool",39940,Away,Fulham,Everton,1,0,W,0,0,0,0,1.0,56.0,1.0,1.0,1.0,26.0,29.0,3.0,4.0,6.0,9.0,1.0,1.0,190.0,3.0,6.0,1.0,2.0,7.0,2.0,135.0,126.0,42.0,9.0,9.0,1.0,1.0,1.0,11.0,1.0,4.0,29.0,3.0,3.0,37.0,188.0,1.0,1.0,0.0,114.0,6.0,3.0,1.0,89.0,59.0,1.0,96.0,9.0,18.0,3.0,3.0,3.0,126.0,1.0,14.0,1.0,1.0,135.0,726.0,6.0,5.0,18.0,1.0,4.0,443.0,22.0,2.0,16.0,2.0,4.0,6.0,22.0,527.0,53.0,96994,3.0,285.0,1.0,6.0,316.0,3.0,6.0,7.0,35.0,3.0,8.0,1.0,8.0,5.0,7.0,3.0,45.0,470.0,12.0,7.0,1.0,8.0,2.0,70.0,1.0,2.0,0.0,3.0,10.0,8.0,1.0,2.0,0.0,3.0,59.4,17.0,2.0,1.0,8.0,1.0,49.0,4.0,556.0,4.0,9.0,20.0,6.0,20.0,1.0,2.0,251.0,5.0,2.0,15.0,81.0,19.0,4.0,16.0,10.0,7.0,3.0,10.0,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367550,2023-08-19 15:00:00,"Craven Cottage, London",24236,Home,Fulham,Brentford,0,3,L,0,1,1,0,,51.0,,1.0,1.0,25.0,22.0,5.0,2.0,4.0,5.0,,1.0,135.0,1.0,8.0,,1.0,6.0,2.0,133.0,118.0,42.0,10.0,12.0,1.0,1.0,,16.0,1.0,9.0,22.0,5.0,5.0,54.0,212.0,,,0.0,126.0,13.0,2.0,,40.0,75.0,5.0,67.0,11.0,14.0,6.0,3.0,2.0,118.0,,15.0,,,139.0,632.0,6.0,1.0,20.0,1.0,3.0,375.0,18.0,,10.0,2.0,2.0,1.0,18.0,450.0,58.0,96994,2.0,185.0,,6.0,203.0,10.0,5.0,7.0,46.0,1.0,4.0,,11.0,2.0,6.0,3.0,52.0,396.0,12.0,8.0,,3.0,2.0,56.0,,,0.0,,5.0,4.0,,,1.0,1.0,54.6,18.0,5.0,1.0,4.0,4.0,29.0,5.0,474.0,3.0,8.0,22.0,4.0,30.0,,1.0,287.0,8.0,4.0,12.0,90.0,20.0,1.0,10.0,10.0,6.0,5.0,13.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367559,2023-08-26 15:00:00,"Emirates Stadium, London",59961,Away,Fulham,Arsenal,2,2,D,1,0,1,0,,64.0,2.0,2.0,2.0,22.0,38.0,2.0,3.0,6.0,8.0,,1.0,122.0,2.0,1.0,2.0,,4.0,3.0,51.0,113.0,38.0,8.0,9.0,1.0,,1.0,11.0,,10.0,38.0,3.0,3.0,46.0,76.0,,,0.0,44.0,5.0,2.0,,29.0,21.0,3.0,46.0,8.0,20.0,2.0,4.0,1.0,113.0,1.0,16.0,,,55.0,440.0,2.0,7.0,11.0,,6.0,179.0,30.0,1.0,21.0,4.0,4.0,1.0,6.0,250.0,29.0,96994,3.0,122.0,1.0,4.0,158.0,4.0,8.0,9.0,43.0,1.0,7.0,1.0,11.0,3.0,7.0,,54.0,196.0,5.0,15.0,1.0,14.0,3.0,47.0,,1.0,0.0,,8.0,7.0,1.0,3.0,1.0,1.0,28.9,6.0,2.0,1.0,7.0,2.0,21.0,3.0,274.0,6.0,9.0,22.0,3.0,13.0,1.0,2.0,127.0,5.0,2.0,14.0,27.0,18.0,,21.0,18.0,4.0,4.0,6.0,,8.0,3.0,,,,,,,,,1.0,,1.0,1.0,1.0,,3.0,,,2.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367576,2023-09-02 15:00:00,"Etihad Stadium, Manchester",52899,Away,Fulham,Manchester City,1,5,L,1,2,0,0,1.0,53.0,1.0,,1.0,22.0,10.0,1.0,1.0,5.0,,1.0,3.0,109.0,2.0,4.0,1.0,1.0,4.0,4.0,87.0,105.0,32.0,6.0,8.0,3.0,,,11.0,,9.0,10.0,5.0,3.0,32.0,79.0,1.0,,0.0,64.0,12.0,,,25.0,37.0,3.0,62.0,6.0,12.0,1.0,2.0,1.0,105.0,2.0,7.0,,,78.0,479.0,3.0,7.0,15.0,,7.0,255.0,28.0,,5.0,4.0,1.0,1.0,15.0,317.0,30.0,96994,3.0,195.0,2.0,3.0,226.0,6.0,9.0,1.0,48.0,1.0,4.0,,10.0,,1.0,,40.0,272.0,11.0,12.0,1.0,4.0,3.0,47.0,,,0.0,1.0,4.0,,1.0,2.0,0.0,,32.1,12.0,2.0,,4.0,1.0,31.0,5.0,336.0,7.0,11.0,18.0,1.0,16.0,2.0,,121.0,5.0,2.0,6.0,41.0,17.0,2.0,5.0,11.0,3.0,5.0,10.0,2.0,9.0,5.0,,,,1.0,,1.0,,,,,,,1.0,,,,,5.0,,1.0,,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367581,2023-09-16 15:00:00,"Craven Cottage, London",24467,Home,Fulham,Luton Town,1,0,W,0,0,0,0,1.0,53.0,,,1.0,26.0,10.0,7.0,3.0,6.0,2.0,1.0,,211.0,7.0,4.0,1.0,7.0,10.0,2.0,240.0,134.0,45.0,13.0,19.0,,,,24.0,,9.0,10.0,4.0,6.0,49.0,465.0,,1.0,0.0,209.0,6.0,,,94.0,147.0,6.0,128.0,20.0,11.0,7.0,8.0,1.0,134.0,1.0,7.0,1.0,,230.0,983.0,9.0,4.0,22.0,,7.0,715.0,21.0,1.0,3.0,2.0,1.0,4.0,23.0,788.0,80.0,96994,3.0,275.0,1.0,11.0,294.0,4.0,5.0,6.0,48.0,,2.0,1.0,19.0,,4.0,4.0,45.0,733.0,13.0,4.0,1.0,3.0,2.0,78.0,,,0.0,2.0,2.0,2.0,1.0,3.0,0.0,5.0,77.6,23.0,5.0,1.0,2.0,6.0,59.0,6.0,809.0,7.0,12.0,23.0,5.0,38.0,2.0,4.0,539.0,8.0,5.0,12.0,170.0,25.0,,3.0,17.0,8.0,5.0,12.0,,5.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,,2.0,,,,1.0,,3.0,3.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367593,2023-09-23 15:00:00,"Selhurst Park, London",25072,Away,Fulham,Crystal Palace,0,0,D,0,0,0,0,,74.0,,2.0,,30.0,18.0,5.0,3.0,5.0,3.0,,3.0,150.0,2.0,7.0,,1.0,8.0,5.0,110.0,131.0,60.0,10.0,14.0,4.0,,2.0,18.0,,11.0,18.0,,6.0,44.0,197.0,,1.0,0.0,137.0,15.0,1.0,1.0,66.0,86.0,6.0,79.0,18.0,15.0,5.0,4.0,2.0,131.0,,4.0,,,123.0,651.0,8.0,2.0,15.0,,9.0,370.0,32.0,3.0,9.0,2.0,2.0,2.0,15.0,446.0,50.0,96994,1.0,188.0,,13.0,216.0,6.0,7.0,2.0,57.0,1.0,6.0,,16.0,3.0,2.0,,54.0,383.0,10.0,15.0,,14.0,,50.0,,,0.0,3.0,3.0,1.0,,,0.0,2.0,49.5,13.0,3.0,2.0,6.0,2.0,32.0,2.0,462.0,9.0,9.0,24.0,3.0,32.0,,1.0,264.0,6.0,6.0,17.0,103.0,31.0,2.0,9.0,27.0,8.0,3.0,12.0,2.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367601,2023-10-02 20:00:00,"Craven Cottage, London",24445,Home,Fulham,Chelsea,0,2,L,0,2,0,0,,57.0,,1.0,3.0,38.0,5.0,1.0,,9.0,2.0,,2.0,169.0,6.0,3.0,,,9.0,3.0,148.0,128.0,39.0,10.0,9.0,2.0,,3.0,22.0,,7.0,5.0,6.0,10.0,58.0,195.0,,,0.0,152.0,15.0,1.0,,54.0,98.0,5.0,93.0,16.0,21.0,1.0,4.0,,128.0,1.0,8.0,,,151.0,748.0,6.0,1.0,27.0,,13.0,467.0,28.0,2.0,,1.0,1.0,4.0,21.0,535.0,62.0,96994,7.0,304.0,1.0,12.0,324.0,9.0,9.0,6.0,54.0,2.0,11.0,,15.0,3.0,6.0,1.0,62.0,493.0,11.0,8.0,3.0,9.0,4.0,62.0,,,0.0,2.0,1.0,1.0,,,0.0,3.0,55.7,20.0,4.0,,11.0,3.0,48.0,8.0,561.0,13.0,18.0,35.0,4.0,37.0,3.0,4.0,259.0,5.0,10.0,10.0,113.0,14.0,,,16.0,6.0,4.0,9.0,,9.0,8.0,,,,2.0,1.0,,1.0,,,,1.0,,,,1.0,,,2.0,,,1.0,,,2.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,1.0,,2.0,,,,,5.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2367613,2023-10-07 15:00:00,"Craven Cottage, London",24361,Home,Fulham,Sheffield United,3,1,W,0,0,0,0,1.0,66.0,1.0,,4.0,30.0,13.0,11.0,4.0,9.0,2.0,,2.0,162.0,5.0,14.0,3.0,2.0,13.0,6.0,141.0,169.0,68.0,20.0,18.0,2.0,2.0,1.0,29.0,,15.0,13.0,7.0,5.0,53.0,223.0,1.0,,0.0,186.0,8.0,,,83.0,70.0,9.0,86.0,22.0,31.0,11.0,4.0,5.0,169.0,2.0,4.0,,1.0,128.0,749.0,11.0,6.0,36.0,2.0,12.0,394.0,23.0,3.0,9.0,1.0,1.0,4.0,29.0,497.0,63.0,96994,8.0,196.0,2.0,18.0,223.0,6.0,12.0,5.0,54.0,2.0,4.0,2.0,13.0,2.0,5.0,1.0,57.0,414.0,10.0,8.0,1.0,10.0,2.0,67.0,,,0.0,,4.0,2.0,3.0,3.0,0.0,3.0,60.3,22.0,10.0,1.0,4.0,6.0,37.0,9.0,517.0,12.0,15.0,20.0,8.0,43.0,2.0,1.0,323.0,15.0,5.0,21.0,129.0,26.0,,9.0,24.0,18.0,5.0,19.0,,12.0,9.0,1.0,,2.0,3.0,2.0,,,,,,1.0,,,,2.0,,1.0,1.0,,,,,,1.0,,,,,2.0,,,,,3.0,,,1.0,1.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
9,2367627,2023-10-23 20:00:00,"Tottenham Hotspur Stadium, London",61286,Away,Fulham,Tottenham Hotspur,0,2,L,0,1,0,0,,61.0,,2.0,2.0,41.0,12.0,3.0,3.0,7.0,3.0,,1.0,151.0,4.0,12.0,,2.0,9.0,3.0,118.0,127.0,45.0,10.0,5.0,3.0,,3.0,19.0,,11.0,12.0,5.0,5.0,61.0,151.0,,,0.0,100.0,14.0,,,59.0,49.0,6.0,73.0,14.0,31.0,3.0,6.0,2.0,127.0,1.0,10.0,,,121.0,663.0,7.0,2.0,14.0,,12.0,367.0,25.0,1.0,6.0,0.0,6.0,3.0,22.0,436.0,46.0,96994,5.0,244.0,1.0,8.0,274.0,11.0,18.0,10.0,47.0,6.0,3.0,,14.0,5.0,9.0,,62.0,391.0,10.0,9.0,2.0,4.0,2.0,56.0,,,0.0,,3.0,1.0,,,0.0,2.0,44.4,21.0,9.0,1.0,3.0,3.0,32.0,5.0,463.0,12.0,9.0,38.0,4.0,22.0,2.0,2.0,208.0,4.0,4.0,4.0,76.0,23.0,1.0,6.0,19.0,8.0,5.0,22.0,1.0,18.0,5.0,1.0,,1.0,1.0,,,,,,,2.0,,,,3.0,,,2.0,1.0,,,,,2.0,1.0,,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,1.0,,,,,,,3.0,2.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
10,2367631,2023-10-29 14:00:00,"American Express Stadium, Falmer",31550,Away,Fulham,Brighton and Hove Albion,1,1,D,0,1,0,0,,55.0,,2.0,1.0,21.0,14.0,5.0,3.0,5.0,5.0,,3.0,112.0,1.0,9.0,1.0,3.0,7.0,5.0,92.0,116.0,57.0,10.0,13.0,2.0,,3.0,11.0,,17.0,14.0,3.0,2.0,43.0,104.0,,,0.0,82.0,8.0,3.0,,48.0,32.0,5.0,51.0,8.0,12.0,5.0,3.0,2.0,116.0,,10.0,,,76.0,512.0,6.0,4.0,20.0,,19.0,244.0,22.0,,8.0,3.0,4.0,2.0,14.0,310.0,43.0,96994,3.0,158.0,,4.0,178.0,5.0,3.0,8.0,48.0,1.0,1.0,1.0,12.0,8.0,6.0,1.0,44.0,261.0,11.0,6.0,,6.0,2.0,50.0,1.0,,0.0,1.0,7.0,4.0,,1.0,0.0,1.0,28.9,13.0,5.0,,1.0,1.0,24.0,3.0,331.0,19.0,13.0,20.0,4.0,16.0,,2.0,164.0,6.0,2.0,10.0,51.0,24.0,2.0,8.0,27.0,8.0,5.0,17.0,2.0,3.0,3.0,1.0,,,2.0,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
