gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,attLfGoal,goals,attCmissRight,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,attOneOnOne,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,freekickTotal,attGoalHighCentre,attOboxMiss,bigChanceCreated,attHdTarget,goalAssist,totalKeeperSweeper,bigChanceMissed,goalsOpenplay,attFastbreak,attSvLowRight,attIboxGoal,goalAssistIntentional,totalHighClaim,attFreekickMiss,effectiveBlockedCross,blockedCross,goalsConcededObox,attGoalLowCentre,ptsGainedLosingPos,fastestPlayer_topSpeed,sixYardBlock,totalDistance,attRfGoal,shieldBallOop,attBxLeft,forwardGoals,attGoalLowLeft,accuratePullBack,attMissHighLeft,attCmissHigh,attCmissHighLeft,attCmissLeft,attSvHighCentre,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attMissHighRight,subsGoals,hitWoodwork,accurateThroughBall,attPostHigh,cleanSheet,penaltyWon,contentiousDecision,attPenGoal,attGoalHighLeft,attPenTarget,ownGoals,attIboxOwnGoal,attCmissHighRight,attHdGoal,handBall,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attOboxGoal,expectedAssists,attOboxPost,expectedGoals,attGoalHighRight,goalFastbreak,attObxdLeft,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,errorLeadToGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attObxLeft,attHdPost,attPostRight,defenderGoals,expectedGoalsFreekick,attPostLeft,attObxdRight,penaltySave
1,2444470,2024-08-16 20:00:00,"Old Trafford, Manchester",73297,Away,Fulham,Manchester United,0,1,L,0,0,0,0,61.0,1.0,1.0,17.0,19.0,4.0,1.0,6.0,4.0,2.0,133.0,6.0,8.0,4.0,9.0,2.0,96.0,134.0,59.0,10.0,3.0,19.0,1.0,1.0,21.0,17.0,1.0,19.0,8.0,7.0,20.0,139.0,1.0,0.0,87.0,10.0,1.0,1.0,3.0,34.0,41.0,5.0,53.0,2.0,2.0,13.0,17.0,4.0,5.0,134.0,7.0,102.0,580.0,5.0,5.0,22.0,9.0,283.0,28.0,6.0,11.0,3.0,2.0,4.0,15.0,357.0,40.0,1.0,2.0,80201,3.0,173.0,5.0,1.0,204.0,5.0,1.0,7.0,10.0,58.0,2.0,1.0,3.0,17.0,7.0,8.0,2.0,39.0,306.0,11.0,8.0,4.0,21.0,4.0,53.0,1.0,0.0,1.0,7.0,3.0,1.0,1.0,0.0,2.0,4.0,44.6,14.0,3.0,2.0,3.0,4.0,34.0,8.0,384.0,9.0,9.0,11.0,4.0,21.0,4.0,4.0,201.0,5.0,7.0,16.0,57.0,23.0,11.0,24.0,1.0,5.0,5.0,20.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444484,2024-08-24 15:00:00,"Craven Cottage, London",25401,Home,Fulham,Leicester City,2,1,W,1,1,0,0,50.0,2.0,1.0,25.0,7.0,5.0,5.0,13.0,3.0,1.0,162.0,7.0,4.0,3.0,17.0,6.0,148.0,137.0,46.0,18.0,4.0,13.0,4.0,2.0,21.0,10.0,,7.0,6.0,4.0,30.0,276.0,,0.0,178.0,14.0,1.0,,,84.0,87.0,11.0,73.0,,1.0,15.0,20.0,5.0,4.0,137.0,6.0,155.0,723.0,10.0,2.0,31.0,8.0,434.0,11.0,6.0,2.0,2.0,2.0,6.0,21.0,513.0,66.0,,,80201,9.0,190.0,11.0,,204.0,12.0,,5.0,5.0,55.0,,,2.0,21.0,4.0,5.0,4.0,47.0,459.0,12.0,7.0,5.0,21.0,6.0,65.0,1.0,0.0,2.0,5.0,1.0,1.0,,0.0,2.0,6.0,54.2,21.0,4.0,6.0,2.0,5.0,46.0,7.0,538.0,8.0,12.0,20.0,7.0,38.0,5.0,6.0,355.0,7.0,4.0,17.0,135.0,27.0,2.0,14.0,1.0,11.0,4.0,13.0,5.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444494,2024-08-31 15:00:00,"Portman Road, Ipswich",29517,Away,Fulham,Ipswich Town,1,1,D,1,1,0,0,35.0,,3.0,21.0,11.0,,2.0,9.0,3.0,1.0,120.0,5.0,14.0,1.0,8.0,4.0,105.0,110.0,52.0,9.0,,11.0,3.0,1.0,26.0,7.0,,11.0,5.0,4.0,20.0,170.0,,0.0,96.0,15.0,3.0,,3.0,53.0,59.0,6.0,61.0,,,21.0,15.0,,9.0,110.0,6.0,132.0,582.0,6.0,1.0,19.0,6.0,338.0,13.0,5.0,7.0,3.0,3.0,2.0,23.0,392.0,40.0,,,169528,4.0,194.0,9.0,,215.0,6.0,,6.0,7.0,49.0,,,2.0,10.0,5.0,4.0,1.0,52.0,359.0,15.0,10.0,1.0,22.0,2.0,53.0,,0.0,1.0,8.0,3.0,1.0,1.0,0.0,3.0,2.0,51.3,17.0,1.0,1.0,2.0,3.0,30.0,6.0,418.0,6.0,7.0,11.0,2.0,29.0,2.0,2.0,229.0,5.0,3.0,12.0,74.0,16.0,7.0,11.0,,7.0,5.0,20.0,6.0,6.0,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,34.92,2.0,101691.57,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444504,2024-09-14 15:00:00,"Craven Cottage, London",26528,Home,Fulham,West Ham United,1,1,D,1,0,0,0,47.0,,7.0,26.0,21.0,4.0,5.0,17.0,2.0,3.0,134.0,9.0,12.0,3.0,16.0,5.0,103.0,130.0,80.0,21.0,1.0,10.0,3.0,1.0,22.0,19.0,1.0,21.0,3.0,5.0,30.0,138.0,,0.0,124.0,15.0,,,1.0,60.0,54.0,10.0,63.0,1.0,2.0,19.0,20.0,4.0,7.0,130.0,7.0,95.0,640.0,13.0,1.0,29.0,13.0,295.0,19.0,6.0,9.0,2.0,3.0,6.0,28.0,370.0,47.0,1.0,,169528,10.0,187.0,11.0,1.0,212.0,9.0,1.0,11.0,6.0,52.0,1.0,3.0,3.0,12.0,4.0,4.0,2.0,55.0,316.0,18.0,9.0,2.0,23.0,1.0,49.0,,0.0,,2.0,2.0,1.0,,0.0,8.0,4.0,54.5,23.0,4.0,9.0,3.0,8.0,24.0,3.0,395.0,13.0,9.0,16.0,8.0,28.0,1.0,6.0,205.0,12.0,5.0,21.0,86.0,16.0,9.0,30.0,1.0,17.0,5.0,21.0,11.0,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,3.0,1.0,1.0,,1.0,,2.0,,2.0,3.0,,1.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,,,,33.49,,101989.44,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444513,2024-09-21 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Newcastle United,3,1,W,2,0,0,0,44.0,1.0,2.0,12.0,21.0,4.0,1.0,18.0,4.0,8.0,113.0,7.0,4.0,1.0,17.0,11.0,102.0,100.0,37.0,22.0,,16.0,6.0,4.0,17.0,9.0,2.0,21.0,5.0,4.0,26.0,179.0,,0.0,139.0,16.0,,,,54.0,67.0,11.0,49.0,,,12.0,7.0,4.0,8.0,100.0,12.0,80.0,504.0,11.0,3.0,38.0,6.0,263.0,18.0,3.0,8.0,6.0,3.0,6.0,14.0,315.0,54.0,,1.0,169528,11.0,111.0,4.0,1.0,117.0,11.0,2.0,3.0,12.0,47.0,3.0,1.0,3.0,16.0,4.0,9.0,6.0,41.0,283.0,8.0,7.0,3.0,20.0,5.0,51.0,,0.0,1.0,,3.0,1.0,1.0,0.0,4.0,2.0,38.6,12.0,1.0,4.0,3.0,2.0,23.0,6.0,344.0,6.0,2.0,14.0,9.0,29.0,3.0,6.0,244.0,19.0,4.0,6.0,99.0,16.0,8.0,19.0,1.0,16.0,5.0,11.0,3.0,6.0,,2.0,2.0,,3.0,,,2.0,,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,,,2.0,5.0,,3.0,,3.0,3.0,2.0,2.0,3.0,2.0,1.0,,,,,1.0,,34.19,2.0,109770.61,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444528,2024-09-28 15:00:00,"The City Ground, Nottingham",30139,Away,Fulham,Nottingham Forest,1,0,W,0,0,0,0,34.0,1.0,5.0,18.0,40.0,4.0,6.0,10.0,1.0,,152.0,4.0,9.0,2.0,7.0,2.0,155.0,114.0,34.0,14.0,2.0,18.0,1.0,3.0,23.0,2.0,,40.0,4.0,4.0,25.0,258.0,,0.0,157.0,15.0,,,1.0,68.0,86.0,6.0,90.0,1.0,3.0,19.0,8.0,4.0,5.0,114.0,6.0,130.0,707.0,6.0,1.0,24.0,9.0,439.0,18.0,4.0,22.0,4.0,5.0,1.0,10.0,503.0,60.0,1.0,1.0,169528,4.0,205.0,13.0,2.0,222.0,9.0,,3.0,6.0,45.0,1.0,1.0,2.0,14.0,5.0,4.0,,36.0,459.0,11.0,4.0,1.0,15.0,1.0,61.0,1.0,0.0,2.0,6.0,,,,0.0,2.0,1.0,59.4,8.0,1.0,1.0,2.0,7.0,37.0,5.0,527.0,9.0,3.0,12.0,5.0,24.0,2.0,3.0,328.0,7.0,4.0,7.0,126.0,10.0,22.0,7.0,,10.0,5.0,14.0,3.0,5.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,,,,,1.0,,1.0,,5.0,5.0,,,,34.52,,106402.95,1.0,1.0,3.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444538,2024-10-05 15:00:00,"Etihad Stadium, Manchester",52719,Away,Fulham,Manchester City,2,3,L,1,1,0,0,38.0,1.0,3.0,26.0,22.0,2.0,1.0,9.0,4.0,1.0,121.0,4.0,5.0,,11.0,4.0,128.0,99.0,37.0,11.0,1.0,7.0,1.0,1.0,15.0,9.0,1.0,22.0,3.0,4.0,33.0,235.0,,0.0,143.0,10.0,3.0,,,63.0,67.0,8.0,75.0,1.0,,12.0,21.0,2.0,1.0,99.0,10.0,128.0,621.0,8.0,3.0,26.0,7.0,378.0,23.0,2.0,10.0,1.0,6.0,3.0,12.0,436.0,53.0,,1.0,159533,7.0,161.0,11.0,,187.0,5.0,,13.0,8.0,38.0,1.0,3.0,4.0,11.0,10.0,6.0,1.0,46.0,392.0,4.0,11.0,1.0,9.0,1.0,45.0,,0.0,2.0,8.0,3.0,3.0,,0.0,2.0,1.0,41.9,10.0,1.0,1.0,4.0,4.0,29.0,3.0,452.0,7.0,4.0,19.0,3.0,18.0,2.0,3.0,280.0,9.0,4.0,6.0,119.0,8.0,10.0,23.0,1.0,10.0,5.0,11.0,13.0,3.0,1.0,2.0,,,2.0,,,4.0,,2.0,2.0,2.0,1.0,4.0,1.0,,1.0,,,,5.0,,2.0,,3.0,2.0,4.0,,2.0,2.0,1.0,,,,2.0,,,34.73,,103254.8,2.0,2.0,,,1.0,,,1.0,,,,3.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444541,2024-10-19 15:00:00,"Craven Cottage, London",26743,Home,Fulham,Aston Villa,1,3,L,1,1,1,1,43.0,,1.0,23.0,22.0,1.0,3.0,9.0,4.0,1.0,121.0,7.0,3.0,5.0,8.0,4.0,115.0,109.0,45.0,10.0,,5.0,3.0,1.0,30.0,11.0,,22.0,5.0,2.0,33.0,190.0,,0.0,106.0,8.0,3.0,,4.0,69.0,37.0,4.0,74.0,3.0,2.0,25.0,16.0,1.0,5.0,109.0,11.0,124.0,617.0,5.0,,24.0,14.0,360.0,21.0,7.0,11.0,3.0,4.0,4.0,14.0,413.0,47.0,,1.0,80201,5.0,194.0,16.0,,212.0,5.0,1.0,4.0,8.0,32.0,,2.0,3.0,9.0,4.0,5.0,1.0,46.0,377.0,10.0,8.0,2.0,18.0,3.0,59.0,2.0,0.0,4.0,11.0,3.0,3.0,,1.0,5.0,6.0,52.1,11.0,4.0,2.0,3.0,1.0,40.0,6.0,434.0,14.0,8.0,18.0,5.0,32.0,2.0,4.0,252.0,1.0,2.0,14.0,83.0,17.0,11.0,18.0,2.0,5.0,4.0,6.0,4.0,6.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,3.0,2.0,1.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,3.0,,,2.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2444556,2024-10-26 17:30:00,"Goodison Park, Liverpool",38742,Away,Fulham,Everton,1,1,D,0,0,0,0,58.0,1.0,1.0,26.0,21.0,7.0,3.0,7.0,4.0,2.0,165.0,8.0,7.0,,12.0,3.0,175.0,134.0,38.0,14.0,1.0,18.0,2.0,1.0,17.0,11.0,,21.0,1.0,11.0,35.0,229.0,1.0,0.0,162.0,8.0,2.0,,1.0,76.0,92.0,5.0,108.0,,2.0,16.0,19.0,7.0,5.0,134.0,8.0,140.0,775.0,11.0,5.0,23.0,4.0,490.0,18.0,4.0,11.0,0.0,2.0,7.0,24.0,571.0,75.0,,,80201,5.0,284.0,10.0,1.0,304.0,3.0,,9.0,2.0,52.0,1.0,2.0,7.0,12.0,2.0,1.0,4.0,50.0,505.0,7.0,7.0,,14.0,1.0,74.0,,0.0,4.0,4.0,3.0,1.0,1.0,0.0,8.0,1.0,60.1,19.0,1.0,8.0,7.0,2.0,49.0,2.0,588.0,4.0,10.0,16.0,9.0,27.0,,3.0,301.0,10.0,9.0,8.0,116.0,18.0,11.0,16.0,1.0,12.0,5.0,16.0,9.0,2.0,,,,,1.0,2.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,,,6.0,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,2.0,,,,,1.0,,1.0,1.0,,,1.0,,1.0,3.0,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2444561,2024-11-04 20:00:00,"Craven Cottage, London",24931,Home,Fulham,Brentford,2,1,W,0,1,0,0,52.0,,8.0,28.0,11.0,10.0,6.0,16.0,1.0,4.0,199.0,9.0,12.0,2.0,19.0,12.0,181.0,144.0,53.0,26.0,2.0,23.0,5.0,2.0,43.0,8.0,5.0,11.0,11.0,20.0,41.0,336.0,,0.0,239.0,3.0,1.0,,1.0,96.0,72.0,16.0,117.0,1.0,1.0,32.0,15.0,10.0,9.0,144.0,3.0,146.0,848.0,14.0,3.0,49.0,13.0,550.0,18.0,3.0,5.0,2.0,2.0,3.0,21.0,625.0,74.0,,,80201,8.0,238.0,22.0,,272.0,2.0,2.0,6.0,6.0,49.0,4.0,2.0,3.0,9.0,2.0,5.0,,59.0,565.0,10.0,7.0,3.0,24.0,5.0,44.0,1.0,0.0,2.0,3.0,1.0,1.0,,0.0,5.0,4.0,67.6,18.0,,5.0,3.0,10.0,27.0,11.0,643.0,13.0,11.0,29.0,4.0,55.0,4.0,1.0,414.0,16.0,18.0,17.0,215.0,23.0,5.0,15.0,,21.0,5.0,17.0,6.0,11.0,3.0,,,1.0,2.0,,,1.0,,2.0,7.0,3.0,,1.0,,2.0,,,,3.0,,3.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,,,,,1.0,,3.0,,1.0,,,3.0,5.0,,2.0,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
