playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,overruns,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goals,offsides,awayGoals,substituteOn,successfulCrossesAndCorners,totalTouchesInOppositionBox,shotsBlockedInBox,groundDuelsLost,homeGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,headedGoals,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,throwInsToOppositionPlayer,cornersWon,clearancesOffTheLine,goalAssists,successfulLayoffs,oboxBlocked,iboxTarget,shotsOnTargetInBox,shotsBlockedOutsideBox,shotsOnTargetOutsideBox,unsuccessfulLayoffs,ownGoalScored,oboxTarget,leftFootGoals,handballsConceded,hitWoodwork,foulWonPenalty,cornersTakenInclShortCorners,rightFootGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,attemptsFromSetPieces,freekickTotal,expectedGoalsFreekick,penaltiesTaken,penaltyGoals
154561,David Raya,Goalkeeper,Arsenal,Spain,2025-26,1.0,0.1161,0.0,33.0,1.0,1.0,15.0,1.0,7.0,37.0,37.0,384.0,1.0,1091.0,130.0,2.0,11.0,19.0,3330.0,1.0,25.0,6.0,1.0,15.0,511.0,10.0,24.8665,3.0,96.0,37.0,26.0,190.0,60.0,14.0,0.0,26.0,1.0,5.0,733.0,305.0,37.0,6.0,1.0,160.0,20.0,1.0,15.0,10.0,0.0,244.0,832.0,395.0,1.0,1.0,70.0,11.0,168.0,1.0,196.0,1438.0,260.0,547.0,44.0,1.0,377.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109745,Kepa Arrizabalaga,Goalkeeper,Arsenal,Spain,2025-26,,0.0005,0.0,1.0,,,,,,1.0,1.0,5.0,,20.0,5.0,,1.0,,90.0,,1.0,,,,12.0,1.0,0.945,,2.0,3.0,1.0,3.0,2.0,,0.0,1.0,,,7.0,8.0,1.0,,,2.0,1.0,,,1.0,0.0,9.0,12.0,5.0,,,3.0,1.0,10.0,,3.0,33.0,2.0,13.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551221,Tommy Setford,Goalkeeper,Arsenal,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553747,Alexei Rojas,Goalkeeper,Arsenal,Colombia,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616059,Jack Porter,Goalkeeper,Arsenal,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608028,Khari Ranson,Goalkeeper,Arsenal,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462424,William Saliba,Defender,Arsenal,France,2025-26,100.0,1.4243,0.0,,1.0,35.0,,7.0,93.0,31.0,30.0,150.0,5.0,2104.0,26.0,,132.0,15.0,2615.0,59.0,131.0,5.0,13.0,58.0,1895.0,,17.4177,10.0,17.0,133.0,20.0,494.0,,16.0,0.0,231.0,3.0,,586.0,113.0,31.0,,,705.0,15.0,5.0,99.0,73.0,0.0,26.0,2051.0,184.0,22.0,7.0,,,941.0,17.0,59.0,2412.0,36.0,1253.0,,2.0,57.0,52.0,4.0,1.0,1.0,0.8631,4.0,1.0,1.0,0.0,1.0,4.0,22.0,1.0,41.0,1.0,13.0,1.0,3.0,1.0,12.0,1.0,3.0,7.0,22.0,83.0,6.0,2.0,5.0,0.8575,,,,,,,,,,,,,,,,,,,,,,,,,,,
500040,Cristhian Mosquera,Defender,Arsenal,Spain,2025-26,60.0,0.6286,0.0,,,32.0,,1.0,39.0,20.0,9.0,55.0,2.0,633.0,2.0,,48.0,2.0,989.0,28.0,60.0,1.0,11.0,40.0,567.0,,9.9253,5.0,2.0,47.0,8.0,107.0,,7.0,0.0,120.0,5.0,,196.0,34.0,20.0,,,252.0,7.0,2.0,72.0,20.0,0.0,2.0,619.0,83.0,19.0,1.0,,,263.0,8.0,11.0,819.0,11.0,327.0,,4.0,16.0,25.0,1.0,,,,1.0,,1.0,,11.0,1.0,9.0,,32.0,,13.0,3.0,2.0,,10.0,,1.0,7.0,17.0,67.0,37.0,4.0,7.0,0.096,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
198869,Ben White,Defender,Arsenal,England,2025-26,31.0,0.682,0.0,,,15.0,,3.0,44.0,12.0,9.0,65.0,13.0,354.0,,,27.0,3.0,704.0,15.0,36.0,1.0,18.0,24.0,279.0,,6.5128,7.0,1.0,25.0,6.0,27.0,,6.0,0.0,67.0,14.0,,142.0,28.0,12.0,,,175.0,5.0,13.0,40.0,12.0,0.0,,350.0,100.0,9.0,3.0,,,132.0,9.0,10.0,546.0,11.0,117.0,,0.0,21.0,13.0,3.0,1.0,1.0,0.3261,4.0,,3.0,,3.0,3.0,16.0,,16.0,,6.0,,1.0,,3.0,,3.0,4.0,5.0,53.0,58.0,5.0,4.0,0.4567,7.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
448104,Piero Hincapié,Defender,Arsenal,Ecuador,2025-26,72.0,1.6336,0.0,,3.0,48.0,,2.0,50.0,25.0,20.0,93.0,29.0,837.0,4.0,,63.0,4.0,1792.0,31.0,100.0,4.0,30.0,68.0,722.0,,17.7659,11.0,7.0,88.0,19.0,305.0,,14.0,0.0,172.0,14.0,,273.0,63.0,25.0,,,377.0,15.0,29.0,109.0,32.0,0.0,4.0,827.0,171.0,27.0,7.0,,,151.0,26.0,22.0,1253.0,30.0,371.0,,2.0,43.0,31.0,4.0,1.0,2.0,0.3123,2.0,1.0,1.0,1.0,5.0,4.0,26.0,,41.0,0.0,21.0,1.0,7.0,,12.0,,,9.0,18.0,108.0,85.0,5.0,9.0,0.3566,9.0,5.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
