playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,throughBalls,foulWonPenalty,offsides,hitWoodwork,substituteOn,handballsConceded,penaltiesConceded,rightFootGoals,clearancesOffTheLine,successfulCornersIntoBox,unsuccessfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,unsuccessfulLayoffs,secondGoalAssists,setPiecesGoals,penaltiesTaken,penaltyGoals,headedGoals
457569,Djordje Petrovic,Goalkeeper,Bournemouth,Serbia,2025-26,3.0,0.0229,0.0,31.0,37.0,5.0,38.0,38.0,321.0,901.0,212.0,2.0,20.0,11.0,6.0,3420.0,1.0,23.0,8.0,1.0,3.0,434.0,35.0,6.0,51.019,1.0,42.0,62.0,54.0,3.0,149.0,109.0,2.0,0.0,26.0,4.0,505.0,285.0,38.0,10.0,2.0,95.0,46.0,6.0,20.0,0.0,308.0,596.0,1.0,331.0,88.0,31.0,247.0,146.0,1318.0,173.0,485.0,69.0,3.0,316.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40383,Fraser Forster,Goalkeeper,Bournemouth,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436416,Christos Mandas,Goalkeeper,Bournemouth,Greece,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494521,Adrien Truffert,Defender,Bournemouth,France,2025-26,187.0,2.9782,0.0,,,176.0,38.0,38.0,258.0,1560.0,,,98.0,11.0,,3380.0,54.0,212.0,8.0,90.0,168.0,1264.0,,6.0,48.6553,,15.0,143.0,51.0,133.0,547.0,,32.0,1.0,399.0,,604.0,188.0,38.0,,,735.0,43.0,301.0,44.0,0.0,,1531.0,19.0,506.0,,,77.0,38.0,2597.0,61.0,601.0,,5.0,82.0,84.0,32.0,5.0,6.0,3.0,1.5772,103.0,11.0,5.0,2.0,109.0,1.0,1.0,3.0,1.0,3.0,34.0,2.0,2.0,53.0,29.0,27.0,2.0,33.0,0.0,3.0,51.0,1.0,1.0,40.0,109.0,64.0,2.0,5.0,52.0,33.0,10.0,39.0,48.0,332.0,226.0,2.0,3.0,11.0,1.3615,,,,,,,,,,,,,,,,,,,,
221466,Marcos Senesi,Defender,Bournemouth,Argentina,2025-26,178.0,4.6673,0.0,,,223.0,37.0,37.0,518.0,2319.0,79.0,,192.0,10.0,,3290.0,100.0,196.0,7.0,54.0,104.0,1619.0,,6.0,50.3324,,34.0,253.0,53.0,78.0,719.0,,37.0,0.0,374.0,,1189.0,154.0,37.0,,,783.0,46.0,182.0,92.0,0.0,75.0,2157.0,11.0,600.0,4.0,,341.0,182.0,2990.0,143.0,1026.0,,8.0,295.0,127.0,8.0,4.0,5.0,1.0,0.5216,62.0,13.0,5.0,2.0,18.0,,,3.0,,2.0,8.0,3.0,3.0,53.0,,19.0,1.0,27.0,,2.0,27.0,,5.0,3.0,18.0,17.0,1.0,8.0,35.0,6.0,47.0,34.0,56.0,70.0,11.0,2.0,3.0,18.0,1.5218,14.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
575901,Julio Soler,Defender,Bournemouth,Argentina,2025-26,3.0,0.005,0.0,,,1.0,3.0,,3.0,23.0,,,,,,34.0,,3.0,1.0,,3.0,20.0,,,1.7147,,,,2.0,3.0,6.0,,2.0,0.0,6.0,,5.0,4.0,3.0,,,15.0,1.0,6.0,,0.0,,23.0,,6.0,,,1.0,1.0,31.0,1.0,5.0,,0.0,2.0,2.0,,,,1.0,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,2.0,,11.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
54469,Adam Smith,Defender,Bournemouth,England,2025-26,50.0,0.2472,0.0,,,35.0,22.0,14.0,80.0,363.0,,,30.0,3.0,,1076.0,16.0,40.0,3.0,13.0,26.0,271.0,,1.0,14.4884,,1.0,38.0,16.0,34.0,12.0,,11.0,0.0,90.0,,161.0,29.0,22.0,,,147.0,13.0,60.0,14.0,0.0,,354.0,4.0,119.0,,,110.0,12.0,572.0,28.0,137.0,,3.0,45.0,21.0,1.0,,,1.0,,15.0,,2.0,1.0,12.0,,,,,,1.0,,,9.0,12.0,3.0,,5.0,,,3.0,,,,12.0,2.0,,,12.0,1.0,9.0,19.0,8.0,80.0,58.0,9.0,,6.0,,,,,,8.0,2.0,,,,,,,,,,,,,,
242882,Bafodé Diakité,Defender,Bournemouth,France,2025-26,51.0,0.1831,0.0,,,52.0,18.0,15.0,90.0,749.0,2.0,,71.0,4.0,,1275.0,36.0,60.0,3.0,14.0,25.0,625.0,,2.0,22.8936,,13.0,83.0,27.0,15.0,197.0,,5.0,0.0,111.0,,250.0,48.0,18.0,,,244.0,24.0,40.0,35.0,0.0,2.0,727.0,1.0,100.0,,,253.0,34.0,922.0,25.0,415.0,,1.0,38.0,26.0,,,,,,20.0,1.0,,2.0,1.0,,,,,,,,,10.0,1.0,3.0,,10.0,,,5.0,,3.0,3.0,1.0,4.0,,1.0,15.0,,5.0,8.0,12.0,49.0,,2.0,,2.0,0.0185,1.0,,2.0,,3.0,,1.0,,,,,,,,,,,,,
551483,Álex Jiménez,Defender,Bournemouth,Spain,2025-26,136.0,1.6117,0.0,,,125.0,31.0,26.0,172.0,868.0,,,35.0,3.0,,2323.0,22.0,141.0,6.0,57.0,128.0,655.0,,4.0,38.7271,,3.0,41.0,39.0,114.0,83.0,,20.0,0.0,277.0,,338.0,135.0,31.0,,,398.0,33.0,242.0,13.0,0.0,,847.0,14.0,334.0,,,295.0,41.0,1468.0,24.0,309.0,,10.0,47.0,51.0,11.0,9.0,4.0,3.0,1.1408,69.0,12.0,,1.0,40.0,1.0,0.0,6.0,,1.0,11.0,2.0,2.0,41.0,21.0,14.0,3.0,24.0,1.0,1.0,21.0,,1.0,36.0,40.0,56.0,3.0,8.0,48.0,39.0,11.0,35.0,27.0,152.0,121.0,15.0,6.0,14.0,1.1306,6.0,,,,5.0,,1.0,1.0,1.0,,,,,,,,,,,
463981,James Hill,Defender,Bournemouth,England,2025-26,94.0,1.1576,0.0,,,109.0,29.0,22.0,231.0,1037.0,5.0,,174.0,6.0,,2104.0,60.0,166.0,3.0,23.0,52.0,753.0,,5.0,26.2578,2.0,16.0,168.0,24.0,34.0,153.0,,13.0,0.0,260.0,,452.0,75.0,29.0,,,257.0,21.0,86.0,114.0,0.0,5.0,1021.0,8.0,329.0,,,367.0,53.0,1495.0,67.0,551.0,,5.0,122.0,51.0,2.0,2.0,2.0,,0.2835,39.0,10.0,3.0,,9.0,,,1.0,,,2.0,2.0,2.0,22.0,69.0,10.0,1.0,8.0,,,19.0,,2.0,,9.0,5.0,1.0,8.0,20.0,2.0,15.0,17.0,39.0,65.0,26.0,2.0,1.0,6.0,0.8933,2.0,,2.0,1.0,7.0,,,,1.0,,,,,,,,,,,
