playerId,playerName,position,team,nationality,season,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,forwardPasses,recoveries,appearances,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,penaltiesFaced,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,substituteOff,goalsConcededOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,duelsLost,penaltiesSaved,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,savesMadeCaught,aerialDuels,aerialDuelsLost,duelsWon,groundDuelsWon,savesFromPenalty,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,duels,goalkeeperSmother,drops,groundDuels,aerialDuelsWon,tacklesWon,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,handballsConceded,secondGoalAssists,successfulCrossesOpenPlay,expectedGoalsFreekick,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,lastPlayerTackle,iboxBlocked,cornersWon,successfulDribbles,blocks,interceptions,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,throughBalls,headedGoals,clearancesOffTheLine,ownGoalScored,leftFootGoals,unsuccessfulLayoffs,overruns,hitWoodwork,penaltiesTaken,penaltyGoals,setPiecesGoals,foulWonPenalty
221389,John Victor,Goalkeeper,Nottingham Forest,Brazil,2025-26,3.0,1.0,5.0368,20.0,0.0089,4.0,8.0,0.0,1.0,18.0,6.0,0.0,80.0,26.0,5.0,5.0,24.0,5.0,6.0,47.0,130.0,31.0,0.0,25.0,89.0,50.0,13.0,1.0,1.0,2.0,32.0,30.0,438.0,151.0,1.0,2.0,31.0,59.0,53.0,6.0,1.0,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107265,Angus Gunn,Goalkeeper,Nottingham Forest U21,Scotland,2025-26,1.0,,,2.0,0.0014,1.0,,0.0,1.0,,,0.0,19.0,4.0,1.0,1.0,6.0,,,13.0,19.0,8.0,0.0,4.0,6.0,13.0,4.0,,,,,6.0,45.0,21.0,,,7.0,,,,0.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85633,Matz Sels,Goalkeeper,Nottingham Forest,Belgium,2025-26,12.0,4.0,39.0399,78.0,0.0938,26.0,39.0,0.0,14.0,120.0,95.0,0.0,518.0,198.0,31.0,31.0,115.0,30.0,32.0,336.0,784.0,197.0,0.0,218.0,498.0,342.0,83.0,7.0,5.0,32.0,146.0,150.0,2667.0,1038.0,1.0,7.0,197.0,333.0,298.0,63.0,2.0,332.0,53.0,1.0,3.0,1.0,1.0,32.0,4.0,1.0,6.0,1.0,11.0,6.0,1.0,1.0,2.0,5.0,14.0,3.0,1.0,8.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88248,Stefan Ortega,Goalkeeper,Nottingham Forest,Germany,2025-26,1.0,,,8.0,,1.0,4.0,0.0,,6.0,8.0,0.0,44.0,8.0,3.0,3.0,10.0,3.0,4.0,21.0,68.0,14.0,0.0,14.0,51.0,21.0,4.0,1.0,,,18.0,23.0,270.0,81.0,,,14.0,37.0,24.0,7.0,0.0,21.0,2.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536682,Aaron Bott,Goalkeeper,Nottingham Forest U21,England,2025-26,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571449,Keehan Willows,Goalkeeper,Nottingham Forest U21,England,2025-26,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215136,Neco Williams,Defender,Nottingham Forest,Wales,2025-26,,4.0,45.2486,18.0,3.9553,88.0,47.0,1.0,,383.0,,0.0,501.0,164.0,37.0,37.0,561.0,36.0,38.0,241.0,1325.0,,1.0,,1302.0,549.0,,9.0,,,165.0,47.0,3206.0,2387.0,2.0,9.0,60.0,552.0,1037.0,,6.0,103.0,77.0,1.0,170.0,,96.0,,138.0,,78.0,39.0,216.0,177.0,,33.0,131.0,52.0,386.0,,,308.0,39.0,62.0,18.0,19.0,2.9876,2.0,4.0,1.0,12.0,6.0,6.0,6.0,6.0,2.0,40.0,113.0,68.0,2.0,9.0,2.0,30.0,15.0,276.0,222.0,3.0,1.0,23.0,0.0985,28.0,3.0,5.0,98.0,23.0,11.0,29.0,1.0,86.0,68.0,68.0,31.0,1.0,11.0,34.0,2.0,6.0,29.0,31.0,17.0,47.0,12.0,18.0,1.9715,,,,,,,,,,,,
485047,Morato,Defender,Nottingham Forest,Brazil,2025-26,,,22.1631,8.0,0.1628,87.0,23.0,0.0,,222.0,,0.0,343.0,53.0,21.0,21.0,206.0,14.0,20.0,111.0,757.0,22.0,0.0,20.0,718.0,124.0,2.0,2.0,,,157.0,48.0,1342.0,980.0,1.0,3.0,21.0,440.0,598.0,,5.0,56.0,45.0,7.0,37.0,,30.0,,55.0,,37.0,14.0,65.0,42.0,,2.0,23.0,7.0,102.0,,,65.0,23.0,17.0,,2.0,1.3096,1.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,3.0,,16.0,,35.0,3.0,,,,,5.0,,,2.0,,,,,19.0,12.0,1.0,13.0,0.0,,13.0,3.0,,1.0,5.0,15.0,11.0,,7.0,1.3171,1.0,1.0,2.0,,,,,,,,,
575476,Murillo,Defender,Nottingham Forest,Brazil,2025-26,,4.0,26.1775,7.0,0.482,130.0,29.0,0.0,,399.0,,1.0,494.0,102.0,25.0,25.0,335.0,25.0,21.0,186.0,1132.0,28.0,0.0,26.0,1065.0,223.0,2.0,6.0,,,164.0,82.0,2133.0,1483.0,3.0,8.0,33.0,611.0,864.0,,5.0,86.0,55.0,,64.0,,35.0,,100.0,,46.0,22.0,74.0,50.0,,8.0,42.0,7.0,138.0,,,92.0,24.0,22.0,5.0,4.0,1.2554,1.0,,1.0,4.0,1.0,1.0,,1.0,,5.0,3.0,14.0,2.0,2.0,2.0,23.0,,75.0,4.0,,,,0.1153,6.0,,1.0,2.0,,2.0,,,28.0,10.0,,22.0,0.0,2.0,13.0,2.0,1.0,2.0,9.0,24.0,34.0,4.0,11.0,0.7396,3.0,,2.0,2.0,1.0,,,,,,,
575458,Jair Cunha,Defender,Nottingham Forest U21,Brazil,2025-26,,1.0,9.5545,3.0,0.065,31.0,7.0,0.0,,46.0,,0.0,96.0,13.0,9.0,9.0,55.0,6.0,6.0,44.0,221.0,4.0,0.0,3.0,213.0,54.0,1.0,,,,62.0,5.0,516.0,304.0,3.0,1.0,11.0,122.0,172.0,,0.0,16.0,19.0,3.0,12.0,,9.0,,28.0,,9.0,4.0,22.0,17.0,,1.0,8.0,6.0,34.0,,,25.0,5.0,5.0,2.0,1.0,0.1372,,,,,1.0,1.0,,2.0,,2.0,2.0,3.0,,,,,,17.0,9.0,,,,,1.0,,,2.0,,,,,5.0,4.0,,2.0,,,4.0,1.0,2.0,1.0,2.0,2.0,5.0,,,0.2877,,,,,,,,,,,,
