gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attOboxTarget,attMissHighRight,cleanSheet,attMissHigh,attHdMiss,attCmissRight,attOboxBlocked,errorLeadToShot,sixYardBlock,shieldBallOop,handBall,attFreekickTotal,postScoringAtt,attIboxPost,attOneOnOne,penaltyWon,freekickTotal,hitWoodwork,attMissHighLeft,attCmissHigh,attPenGoal,attSvLowRight,attFreekickGoal,attPostHigh,attObxRight,attGoalHighRight,attSvHighRight,attHdPost,attPostRight,goalsConcededObox,attObxLeft,shotFastbreak,totalFastbreak,attFastbreak,midfielderGoals,totalPullBack,attCmissHighLeft,goalAssistSetplay,goalAssistDeadball,attHdGoal,attLgRight,attGoalHighCentre,attemptsIbox,attemptsObox,contentiousDecision,touchesInOppBox,attCorner,defenderGoals,attOboxPost,accuratePullBack,attPostLeft,attFreekickMiss,attObxdRight,attFreekickPost,attLgCentre,ownGoals,attFreekickTarget,attIboxOwnGoal,clearanceOffLine,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,goalFastbreak,attObxdLeft
1,694908,2013-08-17 17:30:00,"Swansea.com Stadium, Swansea",20733,Away,Manchester United,Swansea City,4,1,W,2,0,0,0,1.0,2.0,50.0,1.0,1.0,1.0,3.0,37.0,42.0,2.0,6.0,5.0,2.0,1.0,142.0,1.0,5.0,4.0,4.0,3.0,9.0,8.0,113.0,123.0,41.0,14.0,13.0,4.0,4.0,1.0,3.0,1.0,2.0,11.0,7.0,42.0,2.0,17.0,29.0,232.0,1.0,0.0,123.0,10.0,3.0,1.0,1.0,2.0,1.0,52.0,80.0,8.0,85.0,4.0,1.0,9.0,19.0,3.0,1.0,123.0,2.0,11.0,131.0,662.0,4.0,13.0,2.0,17.0,377.0,22.0,8.0,24.0,3.0,1.0,3.0,1.0,1.0,12.0,450.0,58.0,1.0,1.0,83090,6.0,166.0,1.0,4.0,1.0,186.0,5.0,2.0,19.0,16.0,40.0,1.0,5.0,3.0,4.0,8.0,6.0,7.0,53.0,393.0,13.0,5.0,2.0,16.0,72.0,1.0,1.0,1.0,0.0,2.0,7.0,4.0,3.0,1.0,4.0,0.0,4.0,2.0,2.0,46.3,11.0,2.0,1.0,1.0,3.0,3.0,37.0,4.0,1.0,471.0,17.0,7.0,14.0,3.0,10.0,1.0,2.0,296.0,5.0,16.0,18.0,88.0,20.0,4.0,1.0,24.0,9.0,1.0,9.0,2.0,11.0,1.0,1.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694916,2013-08-26 20:00:00,"Old Trafford, Manchester",75032,Home,Manchester United,Chelsea,0,0,D,0,0,0,0,,,67.0,,,3.0,2.0,45.0,35.0,5.0,3.0,4.0,,3.0,189.0,,4.0,7.0,,,9.0,3.0,138.0,137.0,60.0,12.0,19.0,,1.0,,,1.0,1.0,25.0,19.0,35.0,4.0,24.0,24.0,272.0,,0.0,163.0,9.0,1.0,,2.0,,,76.0,110.0,4.0,80.0,1.0,3.0,21.0,24.0,5.0,2.0,137.0,,2.0,143.0,756.0,9.0,11.0,,16.0,452.0,26.0,7.0,25.0,,,0.0,1.0,5.0,22.0,532.0,87.0,,,83090,4.0,195.0,,16.0,,205.0,4.0,,24.0,4.0,49.0,1.0,3.0,4.0,,4.0,6.0,3.0,66.0,463.0,9.0,10.0,,20.0,77.0,,1.0,,0.0,4.0,1.0,1.0,,,7.0,0.0,2.0,,1.0,55.2,20.0,5.0,2.0,,4.0,2.0,56.0,4.0,,550.0,16.0,10.0,15.0,7.0,19.0,2.0,5.0,370.0,8.0,23.0,23.0,110.0,24.0,,,25.0,22.0,,11.0,2.0,12.0,,,11.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694924,2013-09-01 13:30:00,"Anfield, Liverpool",44411,Away,Manchester United,Liverpool,0,1,L,0,1,0,0,2.0,,59.0,,,4.0,1.0,57.0,32.0,6.0,6.0,4.0,,1.0,168.0,,6.0,7.0,,4.0,7.0,4.0,121.0,167.0,57.0,10.0,13.0,1.0,1.0,2.0,,3.0,,32.0,13.0,32.0,7.0,20.0,29.0,200.0,,0.0,130.0,15.0,1.0,,,3.0,,71.0,89.0,5.0,72.0,1.0,1.0,25.0,14.0,11.0,,167.0,,4.0,117.0,715.0,6.0,9.0,1.0,20.0,378.0,23.0,5.0,24.0,,2.0,4.0,2.0,2.0,22.0,463.0,68.0,1.0,1.0,76359,1.0,198.0,,11.0,1.0,219.0,6.0,,14.0,12.0,69.0,2.0,,2.0,,16.0,7.0,9.0,73.0,392.0,14.0,11.0,1.0,13.0,79.0,,,,0.0,3.0,2.0,,,1.0,5.0,0.0,3.0,,1.0,57.0,20.0,4.0,,1.0,2.0,4.0,52.0,7.0,,478.0,20.0,19.0,18.0,2.0,26.0,3.0,2.0,291.0,3.0,19.0,21.0,93.0,28.0,,,24.0,17.0,1.0,7.0,3.0,19.0,,,7.0,7.0,3.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694935,2013-09-14 12:45:00,"Old Trafford, Manchester",75170,Home,Manchester United,Crystal Palace,2,0,W,1,0,0,1,,1.0,64.0,2.0,,,2.0,46.0,22.0,7.0,6.0,,1.0,6.0,176.0,,5.0,9.0,2.0,5.0,15.0,8.0,149.0,163.0,45.0,20.0,19.0,2.0,3.0,1.0,,1.0,3.0,40.0,10.0,22.0,8.0,20.0,36.0,269.0,1.0,0.0,183.0,10.0,,1.0,1.0,2.0,,93.0,94.0,7.0,78.0,,3.0,32.0,13.0,10.0,2.0,163.0,1.0,3.0,153.0,783.0,15.0,5.0,,24.0,462.0,15.0,2.0,12.0,,1.0,1.0,,8.0,25.0,546.0,79.0,3.0,,82403,6.0,207.0,1.0,20.0,,221.0,2.0,1.0,13.0,5.0,53.0,4.0,5.0,4.0,,7.0,1.0,4.0,60.0,471.0,11.0,3.0,,10.0,71.0,,1.0,,0.0,3.0,1.0,,1.0,,1.0,0.0,5.0,,,60.4,22.0,6.0,2.0,,4.0,3.0,43.0,10.0,,556.0,24.0,13.0,21.0,9.0,24.0,,6.0,375.0,14.0,19.0,15.0,136.0,39.0,2.0,,12.0,13.0,,14.0,3.0,20.0,,,7.0,11.0,4.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694945,2013-09-22 16:00:00,"Etihad Stadium, Manchester",47156,Away,Manchester United,Manchester City,1,4,L,0,2,0,0,1.0,,51.0,,,1.0,1.0,29.0,38.0,6.0,1.0,1.0,,1.0,147.0,,5.0,10.0,1.0,3.0,9.0,3.0,128.0,127.0,43.0,14.0,11.0,2.0,1.0,,,1.0,4.0,25.0,9.0,38.0,4.0,26.0,24.0,294.0,1.0,0.0,189.0,12.0,,,,2.0,,74.0,79.0,2.0,65.0,2.0,1.0,21.0,25.0,7.0,4.0,127.0,,7.0,138.0,697.0,9.0,1.0,,12.0,402.0,16.0,7.0,22.0,,,2.0,7.0,7.0,21.0,466.0,75.0,,,83090,5.0,123.0,,12.0,,133.0,4.0,1.0,25.0,8.0,46.0,,4.0,5.0,,9.0,11.0,5.0,46.0,412.0,8.0,3.0,,19.0,57.0,,,2.0,0.0,1.0,8.0,,,4.0,,0.0,5.0,,4.0,58.4,19.0,3.0,1.0,,5.0,2.0,36.0,4.0,,478.0,12.0,9.0,13.0,9.0,18.0,,4.0,370.0,9.0,25.0,13.0,148.0,25.0,1.0,4.0,22.0,14.0,4.0,11.0,1.0,23.0,,4.0,12.0,4.0,,1.0,,2.0,3.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694955,2013-09-28 15:00:00,"Old Trafford, Manchester",75042,Home,Manchester United,West Bromwich Albion,1,2,L,0,0,0,0,3.0,,51.0,,,1.0,4.0,45.0,32.0,5.0,8.0,2.0,,1.0,157.0,,5.0,16.0,1.0,5.0,11.0,6.0,147.0,133.0,63.0,14.0,22.0,2.0,3.0,,,1.0,1.0,30.0,18.0,32.0,5.0,20.0,28.0,263.0,1.0,0.0,182.0,10.0,2.0,,,2.0,1.0,66.0,106.0,9.0,56.0,1.0,,25.0,13.0,12.0,1.0,133.0,,6.0,167.0,756.0,10.0,7.0,1.0,15.0,445.0,24.0,3.0,17.0,,,3.0,,2.0,20.0,513.0,68.0,,1.0,83090,4.0,196.0,,11.0,1.0,206.0,3.0,1.0,13.0,10.0,58.0,1.0,4.0,4.0,,13.0,6.0,8.0,59.0,454.0,14.0,12.0,1.0,11.0,81.0,,1.0,,0.0,2.0,8.0,1.0,,2.0,2.0,0.0,5.0,,2.0,59.1,20.0,3.0,1.0,,4.0,5.0,61.0,5.0,1.0,527.0,15.0,13.0,16.0,3.0,28.0,,2.0,351.0,3.0,19.0,14.0,136.0,20.0,1.0,1.0,17.0,21.0,1.0,12.0,3.0,17.0,,1.0,6.0,5.0,3.0,,,2.0,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,4.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694968,2013-10-05 17:30:00,"Stadium of Light, Sunderland",45426,Away,Manchester United,Sunderland,2,1,W,0,1,0,0,3.0,,53.0,1.0,1.0,,1.0,46.0,52.0,5.0,7.0,1.0,1.0,1.0,181.0,,3.0,16.0,2.0,4.0,11.0,6.0,143.0,158.0,65.0,13.0,13.0,2.0,2.0,,1.0,3.0,3.0,30.0,17.0,52.0,4.0,33.0,38.0,312.0,,0.0,205.0,13.0,1.0,,,2.0,,90.0,127.0,6.0,86.0,1.0,1.0,26.0,21.0,13.0,2.0,158.0,1.0,5.0,161.0,831.0,10.0,4.0,,14.0,465.0,17.0,6.0,35.0,1.0,,4.0,3.0,5.0,33.0,553.0,94.0,1.0,,83090,5.0,171.0,1.0,11.0,,185.0,3.0,1.0,21.0,5.0,57.0,2.0,3.0,4.0,2.0,9.0,1.0,2.0,61.0,480.0,14.0,11.0,,17.0,73.0,,2.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,,0.0,3.0,1.0,,62.5,31.0,3.0,1.0,,4.0,2.0,44.0,4.0,,571.0,14.0,13.0,19.0,5.0,30.0,,3.0,416.0,6.0,31.0,19.0,149.0,26.0,,3.0,35.0,20.0,1.0,13.0,3.0,25.0,1.0,3.0,7.0,4.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694975,2013-10-19 15:00:00,"Old Trafford, Manchester",75220,Home,Manchester United,Southampton,1,1,D,1,0,0,0,1.0,1.0,67.0,,1.0,2.0,2.0,40.0,48.0,2.0,5.0,6.0,1.0,2.0,142.0,,3.0,6.0,1.0,3.0,10.0,5.0,82.0,159.0,52.0,12.0,14.0,3.0,1.0,,,1.0,,17.0,16.0,48.0,4.0,19.0,33.0,166.0,,0.0,114.0,10.0,4.0,,2.0,2.0,1.0,75.0,69.0,6.0,66.0,,,13.0,14.0,4.0,1.0,159.0,1.0,11.0,103.0,656.0,9.0,5.0,1.0,22.0,290.0,26.0,5.0,30.0,,,2.0,2.0,4.0,31.0,369.0,65.0,1.0,,83090,5.0,147.0,1.0,7.0,,168.0,3.0,,14.0,9.0,55.0,2.0,8.0,5.0,1.0,15.0,7.0,3.0,62.0,310.0,18.0,5.0,1.0,23.0,68.0,,,,0.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,,2.0,46.4,29.0,3.0,2.0,,5.0,2.0,41.0,4.0,1.0,393.0,22.0,19.0,22.0,5.0,15.0,1.0,2.0,242.0,5.0,17.0,10.0,77.0,30.0,1.0,3.0,30.0,18.0,1.0,10.0,3.0,14.0,,3.0,6.0,4.0,1.0,2.0,,,,,,1.0,,1.0,1.0,,2.0,2.0,1.0,,,2.0,1.0,,,1.0,,2.0,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694985,2013-10-26 15:00:00,"Old Trafford, Manchester",75274,Home,Manchester United,Stoke City,3,2,W,1,2,0,0,,2.0,53.0,1.0,1.0,,1.0,33.0,22.0,13.0,8.0,3.0,1.0,1.0,157.0,,4.0,12.0,3.0,7.0,14.0,5.0,149.0,144.0,48.0,19.0,19.0,1.0,,1.0,1.0,1.0,3.0,40.0,11.0,22.0,10.0,28.0,28.0,326.0,,0.0,223.0,8.0,3.0,,,4.0,1.0,87.0,103.0,9.0,87.0,,1.0,30.0,11.0,6.0,7.0,144.0,2.0,8.0,172.0,800.0,11.0,4.0,1.0,16.0,483.0,25.0,3.0,16.0,2.0,1.0,2.0,3.0,5.0,31.0,547.0,75.0,1.0,,83090,2.0,178.0,1.0,20.0,,190.0,,,11.0,4.0,50.0,2.0,2.0,5.0,2.0,15.0,2.0,2.0,54.0,500.0,18.0,7.0,1.0,15.0,54.0,1.0,1.0,,0.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,66.7,26.0,6.0,,1.0,5.0,6.0,35.0,12.0,1.0,565.0,16.0,8.0,14.0,8.0,20.0,1.0,1.0,415.0,8.0,27.0,7.0,179.0,16.0,3.0,2.0,16.0,11.0,1.0,15.0,3.0,22.0,1.0,2.0,6.0,12.0,1.0,1.0,,2.0,,1.0,5.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,694993,2013-11-02 15:00:00,"Craven Cottage, London",25700,Away,Manchester United,Fulham,3,1,W,3,0,0,0,1.0,3.0,72.0,,,1.0,,36.0,40.0,3.0,2.0,5.0,1.0,,148.0,2.0,4.0,15.0,3.0,1.0,7.0,4.0,130.0,143.0,55.0,10.0,12.0,1.0,,,3.0,1.0,1.0,16.0,20.0,40.0,3.0,30.0,19.0,221.0,,0.0,121.0,12.0,3.0,,,1.0,1.0,80.0,88.0,4.0,93.0,1.0,1.0,13.0,15.0,6.0,3.0,143.0,3.0,9.0,146.0,743.0,2.0,3.0,,16.0,426.0,28.0,3.0,23.0,3.0,,1.0,3.0,3.0,23.0,503.0,58.0,1.0,1.0,83090,1.0,219.0,,6.0,1.0,242.0,3.0,2.0,15.0,10.0,56.0,2.0,1.0,5.0,3.0,9.0,6.0,3.0,58.0,436.0,5.0,8.0,2.0,21.0,68.0,,1.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,,0.0,3.0,3.0,2.0,53.0,17.0,2.0,2.0,,5.0,1.0,42.0,4.0,1.0,517.0,16.0,13.0,11.0,5.0,11.0,1.0,2.0,291.0,6.0,30.0,10.0,88.0,32.0,2.0,3.0,23.0,25.0,,8.0,3.0,27.0,,3.0,4.0,4.0,,1.0,,,2.0,1.0,1.0,,,2.0,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
