gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attCmissRight,attFreekickTotal,attIboxTarget,interceptionsInBox,freekickTotal,attHdTarget,attMissHighLeft,bigChanceMissed,defenderGoals,attCmissHighLeft,attAssistSetplay,attPostHigh,shieldBallOop,attSvHighCentre,attFreekickMiss,attLfTarget,savedObox,attPenTarget,accurateKeeperSweeper,penaltyWon,divingSave,attSvLowLeft,attGoalHighCentre,totalKeeperSweeper,sixYardBlock,attSvLowRight,attHdMiss,ptsGainedLosingPos,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,attGoalLowLeft,attFreekickPost,attPostLeft,errorLeadToShot,totalPullBack,attPenGoal,attGoalHighLeft,attOboxPost,contentiousDecision,clearanceOffLine,punches,foulThrowIn,errorLeadToGoal,attHdPost,attFreekickTarget,handBall,attGoalHighRight,attSvHighLeft,penaltyConceded,attFreekickGoal,penaltyFaced,penGoalsConceded,accuratePullBack,attLgCentre,goalsConcededObox,ownGoals,attIboxOwnGoal,attObxLeft,attCmissHighRight
1,918898,2017-08-13 16:00:00,"Old Trafford, Manchester",74928,Home,Manchester United,West Ham United,4,0,W,1,0,0,0,3.0,61.0,3.0,5.0,1.0,1.0,26.0,19.0,8.0,8.0,13.0,1.0,1.0,1.0,168.0,1.0,5.0,23.0,4.0,2.0,16.0,5.0,142.0,132.0,65.0,21.0,3.0,13.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,20.0,1.0,8.0,1.0,19.0,7.0,11.0,34.0,2.0,237.0,1.0,1.0,1.0,0.0,154.0,19.0,2.0,1.0,1.0,2.0,59.0,80.0,10.0,50.0,1.0,13.0,14.0,8.0,2.0,3.0,132.0,3.0,6.0,133.0,693.0,12.0,9.0,36.0,1.0,11.0,400.0,29.0,2.0,11.0,4.0,2.0,1.0,6.0,21.0,469.0,62.0,5.0,1.0,76359,6.0,185.0,10.0,1.0,201.0,13.0,2.0,14.0,7.0,56.0,1.0,9.0,1.0,3.0,3.0,11.0,3.0,6.0,3.0,51.0,417.0,7.0,3.0,16.0,74.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,1.0,55.4,17.0,2.0,5.0,3.0,8.0,50.0,11.0,2.0,493.0,11.0,13.0,22.0,8.0,1.0,33.0,2.0,4.0,312.0,12.0,10.0,23.0,115.0,25.0,2.0,2.0,11.0,14.0,1.0,17.0,3.0,31.0,2.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918910,2017-08-19 12:30:00,"Liberty Stadium, Swansea",20862,Away,Manchester United,Swansea City,4,0,W,1,0,0,0,3.0,62.0,2.0,1.0,,,31.0,26.0,7.0,4.0,10.0,,1.0,3.0,174.0,2.0,3.0,13.0,4.0,2.0,12.0,8.0,164.0,131.0,52.0,17.0,2.0,19.0,1.0,,1.0,3.0,3.0,1.0,1.0,20.0,1.0,11.0,2.0,26.0,5.0,9.0,33.0,2.0,319.0,,1.0,,0.0,172.0,11.0,2.0,1.0,1.0,1.0,80.0,86.0,9.0,76.0,3.0,15.0,13.0,7.0,8.0,3.0,131.0,4.0,3.0,187.0,800.0,7.0,5.0,22.0,2.0,17.0,510.0,21.0,4.0,13.0,3.0,1.0,,3.0,13.0,577.0,54.0,1.0,1.0,76359,8.0,207.0,6.0,1.0,216.0,8.0,3.0,13.0,10.0,56.0,,2.0,,3.0,3.0,14.0,2.0,3.0,,58.0,523.0,12.0,5.0,15.0,76.0,1.0,,0.0,1.0,3.0,,4.0,2.0,0.0,1.0,2.0,1.0,59.0,13.0,7.0,,3.0,3.0,52.0,5.0,1.0,601.0,17.0,9.0,16.0,6.0,,35.0,2.0,2.0,405.0,11.0,9.0,11.0,126.0,28.0,1.0,6.0,13.0,16.0,,13.0,3.0,25.0,6.0,10.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918918,2017-08-26 17:30:00,"Old Trafford, Manchester",75021,Home,Manchester United,Leicester City,2,0,W,0,0,0,0,1.0,65.0,,5.0,1.0,1.0,25.0,17.0,10.0,8.0,12.0,4.0,,1.0,202.0,1.0,8.0,17.0,2.0,4.0,18.0,7.0,185.0,154.0,54.0,22.0,3.0,24.0,,2.0,,1.0,,,3.0,38.0,,8.0,2.0,17.0,7.0,19.0,36.0,,391.0,1.0,1.0,,0.0,261.0,8.0,,,,2.0,93.0,115.0,11.0,83.0,1.0,31.0,18.0,10.0,9.0,5.0,154.0,2.0,5.0,192.0,863.0,16.0,10.0,44.0,,8.0,562.0,32.0,3.0,7.0,2.0,1.0,2.0,7.0,19.0,643.0,65.0,1.0,,76359,6.0,193.0,22.0,,213.0,6.0,2.0,18.0,6.0,63.0,,2.0,2.0,3.0,1.0,11.0,6.0,2.0,2.0,50.0,576.0,6.0,10.0,19.0,80.0,,2.0,0.0,1.0,3.0,2.0,2.0,5.0,0.0,6.0,1.0,1.0,69.1,17.0,4.0,2.0,3.0,8.0,54.0,9.0,2.0,662.0,8.0,18.0,24.0,7.0,,52.0,2.0,2.0,487.0,12.0,16.0,22.0,214.0,23.0,,2.0,7.0,9.0,,19.0,3.0,21.0,2.0,4.0,9.0,,1.0,3.0,,1.0,,,2.0,,,,,,,,4.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918930,2017-09-09 17:30:00,"bet365 Stadium, Stoke",29320,Away,Manchester United,Stoke City,2,2,D,1,1,0,0,1.0,44.0,1.0,3.0,1.0,,25.0,15.0,7.0,7.0,11.0,3.0,,4.0,156.0,,6.0,10.0,2.0,4.0,13.0,8.0,159.0,129.0,44.0,18.0,2.0,13.0,,2.0,,,4.0,,1.0,30.0,,7.0,2.0,15.0,6.0,13.0,38.0,1.0,270.0,,,,0.0,185.0,10.0,,,1.0,1.0,66.0,114.0,10.0,95.0,,24.0,19.0,7.0,7.0,3.0,129.0,3.0,6.0,154.0,750.0,12.0,4.0,35.0,,8.0,469.0,17.0,1.0,9.0,1.0,0.0,1.0,3.0,24.0,540.0,63.0,2.0,,76359,5.0,226.0,16.0,1.0,239.0,7.0,1.0,19.0,7.0,51.0,1.0,5.0,4.0,6.0,1.0,5.0,4.0,6.0,3.0,54.0,490.0,9.0,9.0,15.0,72.0,,1.0,0.0,2.0,5.0,1.0,2.0,3.0,0.0,3.0,,1.0,63.2,23.0,3.0,2.0,6.0,5.0,47.0,11.0,2.0,564.0,8.0,15.0,18.0,5.0,,35.0,3.0,2.0,355.0,9.0,12.0,16.0,140.0,17.0,2.0,1.0,9.0,9.0,1.0,10.0,3.0,14.0,1.0,3.0,11.0,,1.0,4.0,1.0,1.0,,1.0,3.0,,,,,,1.0,,2.0,2.0,,,,3.0,,1.0,,1.0,1.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918938,2017-09-17 16:00:00,"Old Trafford, Manchester",75042,Home,Manchester United,Everton,4,0,W,1,0,0,0,3.0,68.0,2.0,3.0,1.0,,27.0,13.0,4.0,6.0,12.0,3.0,,1.0,163.0,,4.0,9.0,4.0,6.0,10.0,7.0,112.0,136.0,50.0,16.0,1.0,8.0,,,1.0,2.0,3.0,,1.0,28.0,,10.0,,13.0,4.0,21.0,35.0,,265.0,,1.0,1.0,0.0,173.0,15.0,,1.0,1.0,,115.0,58.0,6.0,77.0,2.0,24.0,18.0,4.0,8.0,1.0,136.0,3.0,5.0,124.0,665.0,6.0,5.0,29.0,1.0,15.0,389.0,29.0,7.0,6.0,3.0,1.0,2.0,4.0,18.0,456.0,62.0,1.0,,76359,6.0,142.0,15.0,1.0,156.0,12.0,4.0,18.0,6.0,49.0,,1.0,2.0,1.0,2.0,7.0,2.0,4.0,1.0,55.0,403.0,13.0,4.0,20.0,64.0,,1.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0,49.2,13.0,8.0,3.0,1.0,4.0,34.0,4.0,,476.0,15.0,11.0,17.0,5.0,,34.0,1.0,3.0,348.0,8.0,20.0,14.0,130.0,29.0,1.0,,6.0,14.0,,10.0,3.0,20.0,,11.0,4.0,1.0,2.0,3.0,,2.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,918949,2017-09-23 15:00:00,"St. Mary's Stadium, Southampton",31930,Away,Manchester United,Southampton,1,0,W,1,0,0,0,1.0,63.0,,1.0,,,34.0,40.0,3.0,2.0,6.0,3.0,1.0,1.0,148.0,1.0,3.0,5.0,1.0,1.0,6.0,4.0,80.0,130.0,50.0,9.0,1.0,6.0,,1.0,,,2.0,,1.0,9.0,,9.0,1.0,40.0,4.0,11.0,25.0,,160.0,,1.0,,0.0,115.0,9.0,,,,1.0,59.0,64.0,4.0,57.0,1.0,5.0,17.0,3.0,1.0,1.0,130.0,,8.0,83.0,564.0,5.0,11.0,17.0,,12.0,268.0,28.0,11.0,18.0,,4.0,5.0,2.0,18.0,334.0,54.0,,,76359,3.0,131.0,4.0,,150.0,6.0,,17.0,9.0,41.0,1.0,2.0,2.0,1.0,1.0,17.0,6.0,4.0,1.0,66.0,288.0,12.0,8.0,25.0,67.0,,1.0,0.0,2.0,8.0,2.0,1.0,3.0,0.0,1.0,,2.0,39.4,13.0,4.0,1.0,1.0,2.0,43.0,4.0,1.0,368.0,12.0,12.0,16.0,3.0,,20.0,2.0,2.0,227.0,5.0,9.0,18.0,72.0,20.0,1.0,5.0,18.0,16.0,,7.0,3.0,11.0,5.0,7.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,2.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
7,918958,2017-09-30 15:00:00,"Old Trafford, Manchester",75118,Home,Manchester United,Crystal Palace,4,0,W,2,0,0,0,4.0,67.0,4.0,2.0,1.0,1.0,41.0,18.0,4.0,6.0,14.0,1.0,2.0,2.0,164.0,,8.0,12.0,4.0,3.0,16.0,7.0,150.0,136.0,53.0,18.0,3.0,8.0,,,,3.0,1.0,,2.0,19.0,,7.0,,18.0,5.0,11.0,33.0,,173.0,,1.0,,0.0,105.0,6.0,,3.0,2.0,,61.0,72.0,11.0,95.0,1.0,14.0,25.0,4.0,4.0,1.0,136.0,5.0,4.0,157.0,750.0,9.0,10.0,28.0,,11.0,460.0,31.0,9.0,8.0,4.0,0.0,1.0,5.0,21.0,545.0,51.0,,1.0,76359,9.0,309.0,8.0,1.0,335.0,3.0,1.0,25.0,10.0,44.0,,1.0,2.0,3.0,3.0,9.0,2.0,4.0,3.0,77.0,474.0,8.0,10.0,27.0,81.0,,1.0,0.0,1.0,5.0,1.0,4.0,4.0,0.0,6.0,4.0,3.0,59.3,20.0,4.0,2.0,3.0,5.0,53.0,6.0,,566.0,11.0,10.0,22.0,6.0,,32.0,2.0,5.0,250.0,8.0,11.0,17.0,68.0,28.0,1.0,3.0,8.0,17.0,1.0,13.0,3.0,22.0,3.0,11.0,6.0,1.0,,3.0,,,,,2.0,,,3.0,,,,,1.0,,,,,1.0,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
8,918967,2017-10-14 12:30:00,"Anfield, Liverpool",52912,Away,Manchester United,Liverpool,0,0,D,0,0,0,0,,60.0,,1.0,,,25.0,28.0,4.0,3.0,2.0,5.0,,,140.0,,,10.0,,1.0,2.0,1.0,76.0,140.0,49.0,6.0,2.0,11.0,,,,,1.0,,1.0,14.0,,12.0,,28.0,3.0,11.0,32.0,,106.0,,1.0,,0.0,99.0,13.0,,,1.0,,32.0,74.0,1.0,54.0,,11.0,15.0,4.0,,2.0,140.0,,11.0,84.0,549.0,2.0,6.0,6.0,,12.0,254.0,23.0,4.0,14.0,,2.0,6.0,1.0,23.0,328.0,62.0,,,76359,2.0,161.0,10.0,,176.0,8.0,,15.0,10.0,63.0,,,1.0,2.0,,13.0,8.0,5.0,,69.0,267.0,7.0,22.0,25.0,73.0,,,0.0,2.0,7.0,3.0,,2.0,0.0,,,,37.8,18.0,1.0,,2.0,3.0,28.0,3.0,,354.0,12.0,10.0,11.0,2.0,,20.0,,,192.0,3.0,10.0,11.0,49.0,25.0,,3.0,14.0,21.0,,5.0,3.0,17.0,3.0,5.0,3.0,,,1.0,2.0,,,1.0,,,1.0,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
9,918975,2017-10-21 15:00:00,"John Smith's Stadium, Huddersfield",24169,Away,Manchester United,Huddersfield Town,1,2,L,0,2,0,0,1.0,61.0,,2.0,,,36.0,17.0,3.0,6.0,6.0,1.0,,,208.0,,5.0,13.0,1.0,3.0,5.0,3.0,217.0,173.0,51.0,9.0,1.0,15.0,,,,1.0,1.0,,2.0,30.0,,8.0,,17.0,6.0,21.0,32.0,,380.0,,,,0.0,231.0,12.0,,,1.0,1.0,98.0,113.0,4.0,88.0,1.0,24.0,20.0,3.0,9.0,2.0,173.0,1.0,4.0,228.0,947.0,4.0,5.0,23.0,,10.0,623.0,30.0,3.0,6.0,1.0,2.0,2.0,1.0,28.0,721.0,97.0,,,76359,5.0,268.0,14.0,,287.0,8.0,,20.0,6.0,64.0,,2.0,3.0,4.0,1.0,19.0,1.0,6.0,,55.0,643.0,10.0,11.0,11.0,85.0,,1.0,0.0,,4.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,77.9,27.0,2.0,1.0,4.0,3.0,66.0,7.0,1.0,741.0,10.0,12.0,13.0,3.0,,49.0,1.0,1.0,484.0,1.0,19.0,15.0,165.0,25.0,,,6.0,13.0,1.0,8.0,3.0,28.0,,6.0,7.0,,,2.0,2.0,,1.0,,,,,,,,,,1.0,,,2.0,,,,,2.0,1.0,1.0,,,2.0,2.0,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,
10,918990,2017-10-28 12:30:00,"Old Trafford, Manchester",75034,Home,Manchester United,Tottenham Hotspur,1,0,W,0,0,0,0,1.0,71.0,1.0,2.0,,,33.0,30.0,3.0,4.0,8.0,4.0,1.0,2.0,157.0,,3.0,7.0,1.0,3.0,6.0,3.0,84.0,182.0,46.0,11.0,1.0,13.0,1.0,2.0,1.0,1.0,1.0,,,24.0,1.0,4.0,1.0,30.0,6.0,15.0,28.0,,154.0,,1.0,,0.0,144.0,12.0,1.0,,2.0,,89.0,90.0,3.0,70.0,1.0,18.0,26.0,3.0,2.0,1.0,182.0,1.0,6.0,94.0,624.0,5.0,9.0,24.0,1.0,15.0,269.0,29.0,13.0,14.0,1.0,1.0,3.0,3.0,28.0,382.0,72.0,,,76359,4.0,132.0,14.0,,149.0,7.0,,26.0,6.0,42.0,1.0,2.0,2.0,,1.0,20.0,7.0,2.0,2.0,74.0,283.0,14.0,8.0,34.0,70.0,1.0,,0.0,3.0,3.0,2.0,1.0,5.0,0.0,3.0,1.0,1.0,44.8,25.0,6.0,2.0,,3.0,27.0,6.0,1.0,405.0,15.0,4.0,8.0,5.0,1.0,27.0,,3.0,280.0,6.0,13.0,16.0,77.0,30.0,,2.0,14.0,9.0,,9.0,3.0,14.0,2.0,11.0,6.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
