gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,overrun,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfGoal,attMissHighRight,totalFastbreak,midfielderGoals,attOboxMiss,bigChanceCreated,errorLeadToShot,bigChanceMissed,totalThroughBall,goalsOpenplay,attCmissLeft,lostCorners,savedIbox,shieldBallOop,attBxLeft,attFreekickMiss,accurateKeeperSweeper,cleanSheet,goodHighClaim,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,attCmissHigh,totalHighClaim,goalAssistOpenplay,attOboxGoal,attGoalHighCentre,attLgCentre,goalAssist,totalPullBack,attSvLowRight,attFreekickGoal,goalAssistIntentional,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attCmissRight,attIboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attHdGoal,errorLeadToGoal,accuratePullBack,penaltySave,attGoalLowRight,attSvHighRight,attPostLeft,attSetpiece,attOneOnOne,accurateFreekickCross,secondYellow,attGoalHighRight,shotFastbreak,goalFastbreak,attFastbreak,punches,defenderGoals,attGoalHighLeft,attObxRight,goalAssistSetplay,goalAssistDeadball,attSvHighLeft,attCmissHighLeft,penaltyWon,attPenGoal,attCmissHighRight,attPenTarget,ownGoals,attIboxOwnGoal
1,755307,2014-08-16 12:45:00,"Old Trafford, Manchester",75339,Home,Manchester United,Swansea City,1,2,L,0,1,0,0,1.0,3.0,1.0,1.0,62.0,1.0,2.0,2.0,42.0,12.0,5.0,4.0,2.0,2.0,171.0,4.0,13.0,1.0,11.0,11.0,5.0,150.0,133.0,65.0,2.0,14.0,2.0,10.0,1.0,2.0,1.0,3.0,2.0,28.0,13.0,3.0,12.0,4.0,18.0,38.0,241.0,0.0,150.0,14.0,1.0,1.0,8.0,56.0,110.0,7.0,80.0,1.0,1.0,1.0,24.0,14.0,2.0,6.0,133.0,1.0,157.0,752.0,1.0,9.0,7.0,1.0,1.0,17.0,467.0,20.0,2.0,10.0,2.0,1.0,4.0,29.0,542.0,61.0,83090,4.0,245.0,10.0,1.0,254.0,5.0,1.0,14.0,2.0,44.0,1.0,3.0,8.0,4.0,1.0,1.0,65.0,482.0,20.0,4.0,2.0,11.0,90.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,59.6,27.0,2.0,4.0,3.0,4.0,65.0,4.0,558.0,17.0,11.0,23.0,5.0,41.0,2.0,4.0,332.0,6.0,18.0,20.0,105.0,34.0,1.0,1.0,10.0,13.0,1.0,9.0,3.0,21.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755320,2014-08-24 16:00:00,"Stadium of Light, Sunderland",43217,Away,Manchester United,Sunderland,1,1,D,1,1,0,0,,,,1.0,57.0,1.0,1.0,1.0,43.0,24.0,7.0,3.0,2.0,1.0,134.0,2.0,13.0,1.0,2.0,6.0,3.0,146.0,111.0,58.0,1.0,10.0,2.0,10.0,1.0,,,1.0,1.0,19.0,18.0,1.0,24.0,4.0,23.0,36.0,303.0,0.0,175.0,15.0,1.0,1.0,1.0,82.0,79.0,3.0,90.0,2.0,,1.0,15.0,15.0,1.0,5.0,111.0,6.0,174.0,719.0,,4.0,6.0,1.0,,18.0,464.0,20.0,2.0,12.0,2.0,2.0,2.0,8.0,524.0,54.0,83090,1.0,179.0,9.0,,194.0,8.0,,15.0,8.0,53.0,1.0,2.0,8.0,5.0,7.0,1.0,68.0,480.0,10.0,12.0,1.0,17.0,59.0,0.0,,3.0,1.0,,,1.0,1.0,0.0,,1.0,,55.3,7.0,,4.0,2.0,3.0,39.0,4.0,544.0,18.0,8.0,28.0,4.0,17.0,2.0,,369.0,6.0,22.0,12.0,143.0,30.0,,2.0,12.0,23.0,1.0,8.0,3.0,22.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755324,2014-08-30 12:45:00,"Turf Moor, Burnley",21099,Away,Manchester United,Burnley,0,0,D,0,0,0,0,,,2.0,,65.0,,1.0,1.0,57.0,30.0,1.0,4.0,3.0,,171.0,4.0,12.0,,,6.0,2.0,138.0,155.0,55.0,,7.0,1.0,22.0,2.0,,,1.0,1.0,31.0,16.0,,30.0,5.0,9.0,46.0,217.0,0.0,149.0,14.0,,1.0,,64.0,92.0,3.0,92.0,1.0,,,26.0,17.0,,10.0,155.0,4.0,152.0,761.0,,5.0,7.0,,,22.0,433.0,32.0,3.0,17.0,2.0,2.0,3.0,21.0,528.0,68.0,76359,3.0,238.0,16.0,,272.0,7.0,,17.0,11.0,58.0,1.0,7.0,5.0,5.0,7.0,1.0,104.0,451.0,9.0,4.0,1.0,32.0,82.0,0.0,,,,,,,5.0,0.0,1.0,2.0,,64.0,20.0,2.0,1.0,7.0,2.0,46.0,6.0,553.0,22.0,9.0,25.0,3.0,17.0,3.0,3.0,312.0,1.0,8.0,15.0,110.0,24.0,,,17.0,21.0,,5.0,3.0,22.0,,9.0,6.0,,,1.0,,,,1.0,,2.0,,,3.0,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755338,2014-09-14 16:00:00,"Old Trafford, Manchester",75355,Home,Manchester United,Queens Park Rangers,4,0,W,3,0,0,0,,,2.0,1.0,62.0,3.0,2.0,1.0,41.0,12.0,7.0,7.0,1.0,3.0,205.0,6.0,6.0,4.0,1.0,16.0,9.0,245.0,108.0,45.0,1.0,18.0,1.0,7.0,3.0,2.0,,3.0,2.0,19.0,10.0,2.0,12.0,2.0,30.0,57.0,385.0,0.0,188.0,11.0,1.0,,,105.0,114.0,9.0,128.0,,,1.0,17.0,8.0,1.0,7.0,108.0,2.0,247.0,976.0,,13.0,2.0,,1.0,14.0,741.0,27.0,2.0,6.0,1.0,4.0,7.0,15.0,810.0,91.0,59846,7.0,375.0,10.0,,386.0,9.0,2.0,8.0,4.0,36.0,,3.0,9.0,7.0,2.0,2.0,69.0,754.0,7.0,7.0,,9.0,93.0,0.0,,3.0,2.0,,,,1.0,0.0,6.0,2.0,,68.5,14.0,2.0,6.0,3.0,2.0,73.0,3.0,825.0,14.0,8.0,29.0,7.0,24.0,,4.0,458.0,9.0,29.0,14.0,148.0,26.0,1.0,1.0,6.0,18.0,,16.0,3.0,9.0,1.0,6.0,3.0,2.0,1.0,,3.0,3.0,3.0,2.0,3.0,1.0,3.0,,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755346,2014-09-21 13:30:00,"King Power Stadium, Leicester",31784,Away,Manchester United,Leicester City,3,5,L,2,1,1,0,,1.0,2.0,1.0,56.0,,,1.0,41.0,44.0,9.0,9.0,,,168.0,5.0,9.0,3.0,2.0,11.0,5.0,138.0,139.0,55.0,1.0,16.0,3.0,23.0,1.0,,1.0,,1.0,22.0,14.0,1.0,44.0,4.0,15.0,44.0,256.0,0.0,142.0,9.0,,,,76.0,69.0,6.0,89.0,1.0,,3.0,18.0,17.0,1.0,12.0,139.0,11.0,133.0,762.0,,7.0,7.0,,1.0,31.0,425.0,24.0,3.0,25.0,1.0,4.0,5.0,23.0,498.0,56.0,59846,4.0,195.0,6.0,,216.0,4.0,,17.0,9.0,53.0,4.0,2.0,15.0,4.0,5.0,1.0,72.0,446.0,11.0,6.0,1.0,15.0,81.0,0.0,,2.0,3.0,,1.0,5.0,3.0,1.0,4.0,2.0,,57.4,20.0,1.0,2.0,2.0,4.0,56.0,4.0,528.0,31.0,10.0,25.0,7.0,25.0,1.0,1.0,334.0,5.0,14.0,18.0,101.0,27.0,1.0,2.0,25.0,18.0,5.0,11.0,3.0,15.0,2.0,8.0,4.0,2.0,,,2.0,5.0,3.0,1.0,2.0,2.0,3.0,,2.0,,2.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,3.0,,,,3.0,,2.0,,2.0,,,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755358,2014-09-27 15:00:00,"Old Trafford, Manchester",75317,Home,Manchester United,West Ham United,2,1,W,2,1,1,0,,,,,38.0,2.0,,1.0,31.0,51.0,3.0,1.0,3.0,1.0,167.0,1.0,8.0,2.0,2.0,8.0,3.0,117.0,118.0,49.0,,8.0,1.0,21.0,,1.0,,,,19.0,15.0,1.0,51.0,5.0,4.0,31.0,163.0,0.0,107.0,10.0,,,1.0,52.0,61.0,5.0,93.0,2.0,,1.0,14.0,9.0,,2.0,118.0,12.0,127.0,709.0,,6.0,5.0,,,12.0,406.0,22.0,7.0,27.0,1.0,4.0,3.0,20.0,472.0,46.0,59846,3.0,263.0,11.0,,287.0,8.0,2.0,9.0,12.0,46.0,2.0,4.0,7.0,1.0,5.0,1.0,72.0,425.0,11.0,5.0,,25.0,77.0,0.0,,2.0,2.0,,,1.0,2.0,1.0,1.0,,,57.4,20.0,,3.0,4.0,2.0,38.0,7.0,504.0,12.0,6.0,14.0,3.0,8.0,,2.0,236.0,7.0,4.0,11.0,76.0,8.0,2.0,10.0,27.0,20.0,1.0,8.0,3.0,12.0,10.0,5.0,7.0,,,,,1.0,,1.0,,1.0,2.0,,10.0,3.0,,1.0,,,,2.0,,1.0,,,,2.0,2.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755368,2014-10-05 12:00:00,"Old Trafford, Manchester",75294,Home,Manchester United,Everton,2,1,W,1,0,0,0,,1.0,1.0,1.0,54.0,,1.0,1.0,37.0,31.0,8.0,10.0,4.0,,116.0,9.0,12.0,2.0,2.0,13.0,4.0,125.0,116.0,44.0,1.0,15.0,2.0,12.0,1.0,,,,4.0,31.0,8.0,1.0,31.0,9.0,7.0,31.0,173.0,0.0,106.0,18.0,4.0,,1.0,52.0,53.0,6.0,67.0,1.0,,1.0,22.0,19.0,1.0,13.0,116.0,9.0,134.0,646.0,,10.0,4.0,1.0,,24.0,360.0,31.0,6.0,17.0,4.0,3.0,7.0,11.0,420.0,44.0,58893,7.0,212.0,8.0,,229.0,12.0,2.0,19.0,4.0,47.0,1.0,2.0,10.0,1.0,1.0,2.0,66.0,376.0,9.0,6.0,1.0,19.0,59.0,0.0,1.0,3.0,2.0,,,1.0,2.0,0.0,6.0,1.0,,48.7,10.0,,1.0,2.0,3.0,37.0,11.0,442.0,24.0,5.0,16.0,8.0,19.0,3.0,3.0,244.0,3.0,7.0,8.0,76.0,18.0,1.0,2.0,17.0,15.0,1.0,11.0,3.0,20.0,2.0,10.0,11.0,,,1.0,1.0,5.0,3.0,,2.0,1.0,2.0,,6.0,4.0,,,,,,1.0,1.0,1.0,,,,1.0,2.0,,,,2.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,755382,2014-10-20 20:00:00,"The Hawthorns, West Bromwich",25794,Away,Manchester United,West Bromwich Albion,2,2,D,0,1,0,0,1.0,1.0,3.0,,61.0,1.0,,4.0,42.0,28.0,11.0,15.0,,2.0,167.0,7.0,7.0,2.0,2.0,14.0,7.0,160.0,155.0,45.0,1.0,22.0,3.0,3.0,3.0,3.0,1.0,2.0,,41.0,12.0,2.0,28.0,10.0,15.0,48.0,306.0,0.0,182.0,8.0,,1.0,1.0,98.0,112.0,10.0,79.0,2.0,,2.0,31.0,14.0,1.0,12.0,155.0,3.0,168.0,790.0,,12.0,7.0,,1.0,14.0,477.0,18.0,2.0,17.0,2.0,2.0,4.0,28.0,560.0,76.0,76359,7.0,186.0,18.0,1.0,198.0,5.0,1.0,14.0,6.0,27.0,1.0,8.0,13.0,5.0,2.0,1.0,77.0,485.0,5.0,4.0,1.0,11.0,81.0,0.0,,3.0,1.0,1.0,,2.0,2.0,0.0,2.0,2.0,,62.7,26.0,2.0,3.0,8.0,7.0,51.0,11.0,574.0,14.0,9.0,20.0,8.0,36.0,5.0,3.0,417.0,5.0,15.0,14.0,130.0,32.0,,1.0,17.0,19.0,1.0,16.0,3.0,11.0,1.0,6.0,11.0,1.0,2.0,1.0,1.0,4.0,,,,2.0,2.0,,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
9,755385,2014-10-26 16:00:00,"Old Trafford, Manchester",75327,Home,Manchester United,Chelsea,1,1,D,0,0,0,1,,1.0,4.0,1.0,53.0,,1.0,1.0,38.0,25.0,6.0,12.0,3.0,,139.0,10.0,5.0,1.0,6.0,15.0,7.0,119.0,120.0,46.0,,19.0,1.0,20.0,5.0,,,2.0,3.0,30.0,14.0,1.0,25.0,4.0,7.0,27.0,195.0,0.0,112.0,13.0,3.0,,6.0,85.0,48.0,6.0,61.0,1.0,,1.0,26.0,14.0,,12.0,120.0,7.0,120.0,646.0,,11.0,5.0,2.0,,12.0,358.0,28.0,3.0,15.0,3.0,2.0,9.0,25.0,419.0,60.0,59846,7.0,190.0,8.0,,208.0,4.0,,14.0,7.0,67.0,,6.0,9.0,2.0,6.0,2.0,65.0,375.0,13.0,15.0,4.0,18.0,70.0,0.0,,1.0,1.0,,,1.0,4.0,0.0,9.0,4.0,,51.7,21.0,2.0,3.0,7.0,2.0,46.0,4.0,439.0,12.0,6.0,12.0,10.0,25.0,1.0,6.0,261.0,3.0,7.0,12.0,84.0,14.0,1.0,,15.0,16.0,1.0,13.0,1.0,20.0,,8.0,4.0,1.0,2.0,,,4.0,1.0,2.0,1.0,2.0,,,7.0,2.0,,3.0,,,,2.0,,2.0,,2.0,1.0,2.0,,,,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10,755400,2014-11-02 13:30:00,"Etihad Stadium, Manchester",45358,Away,Manchester United,Manchester City,0,1,L,0,0,1,0,,,1.0,,52.0,,1.0,1.0,36.0,29.0,2.0,5.0,5.0,1.0,162.0,3.0,15.0,,3.0,8.0,2.0,111.0,137.0,63.0,1.0,9.0,1.0,15.0,2.0,2.0,,1.0,1.0,14.0,17.0,,29.0,4.0,14.0,34.0,160.0,0.0,98.0,9.0,1.0,,3.0,38.0,74.0,4.0,71.0,3.0,,2.0,10.0,19.0,1.0,2.0,137.0,12.0,112.0,660.0,,5.0,9.0,,,17.0,343.0,25.0,5.0,13.0,1.0,5.0,4.0,24.0,428.0,59.0,59846,4.0,203.0,5.0,,227.0,6.0,,19.0,11.0,54.0,3.0,,6.0,5.0,8.0,2.0,75.0,360.0,13.0,11.0,3.0,24.0,83.0,0.0,,2.0,,,,1.0,3.0,1.0,2.0,2.0,,48.0,24.0,2.0,3.0,,2.0,49.0,4.0,456.0,17.0,11.0,16.0,5.0,14.0,1.0,4.0,243.0,1.0,13.0,11.0,54.0,17.0,,5.0,13.0,24.0,1.0,5.0,3.0,23.0,5.0,7.0,4.0,,,2.0,,1.0,1.0,,1.0,5.0,,,7.0,4.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
