gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attCmissRight,attOboxTarget,attOboxMiss,totalPullBack,ownGoals,attSvLowRight,punches,goalsConceded,attIboxOwnGoal,goalsConcededIbox,errorLeadToGoal,attFreekickTotal,attMissHighRight,freekickTotal,attHdTarget,attCmissLeft,shieldBallOop,attFreekickMiss,goalsConcededObox,attRfTarget,postScoringAtt,attIboxPost,attSvHighLeft,contentiousDecision,attPostLeft,hitWoodwork,attMissHighLeft,handBall,accurateThroughBall,clearanceOffLine,bigChanceScored,attGoalLowCentre,accuratePullBack,shotFastbreak,goalAssistOpenplay,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attGoalHighCentre,penaltyConceded,attRfGoal,goalsOpenplay,attFastbreak,penaltyFaced,penGoalsConceded,accurateKeeperSweeper,attOneOnOne,totalKeeperSweeper,sixYardBlock,attCmissHigh,attMissHigh,attSvHighCentre,attCmissHighLeft,attGoalHighLeft,ptsDroppedWinningPos,attSvLowLeft,errorLeadToShot,goalFastbreak,goalAssistDeadball,attSvHighRight,subsGoals,attFreekickTarget,attGoalLowLeft,attObxRight,attFreekickPost,attOboxPost,attPostRight,foulThrowIn
1,2292811,2022-08-06 15:00:00,"Vitality Stadium, Bournemouth",10000,Home,Bournemouth,Aston Villa,2,0,W,1,0,0,0,1.0,19.0,56.0,2.0,1.0,1.0,1.0,31.0,36.0,1.0,2.0,6.0,2.0,1.0,137.0,6.0,4.0,10.0,2.0,2.0,5.0,3.0,58.0,128.0,62.0,7.0,1.0,16.0,1.0,1.0,1.0,1.0,11.0,12.0,36.0,4.0,1.0,47.0,70.0,1.0,0.0,77.0,18.0,2.0,1.0,2.0,30.0,41.0,3.0,43.0,3.0,1.0,7.0,16.0,1.0,1.0,128.0,1.0,4.0,63.0,501.0,3.0,5.0,9.0,13.0,181.0,36.0,8.0,19.0,1.0,3.0,6.0,2.0,14.0,267.0,46.0,1.0,56872,4.0,145.0,1.0,5.0,2.0,181.0,9.0,16.0,12.0,58.0,1.0,1.0,1.0,6.0,15.0,11.0,10.0,61.0,211.0,16.0,14.0,1.0,19.0,1.0,56.0,0.0,3.0,5.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,34.4,12.0,1.0,3.0,1.0,6.0,2.0,28.0,5.0,2.0,301.0,13.0,5.0,19.0,2.0,16.0,1.0,2.0,131.0,3.0,1.0,16.0,39.0,10.0,1.0,4.0,19.0,20.0,1.0,4.0,3.0,15.0,4.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292826,2022-08-13 15:00:00,"Etihad Stadium, Manchester",53453,Away,Bournemouth,Manchester City,0,4,L,0,3,0,0,1.0,15.0,28.0,,1.0,1.0,,21.0,20.0,2.0,2.0,1.0,4.0,,112.0,9.0,2.0,6.0,,,2.0,1.0,81.0,88.0,33.0,3.0,,9.0,,,,,6.0,5.0,20.0,1.0,4.0,34.0,50.0,,0.0,35.0,9.0,2.0,,,20.0,22.0,1.0,74.0,6.0,1.0,5.0,10.0,2.0,4.0,88.0,,13.0,86.0,464.0,2.0,1.0,5.0,6.0,259.0,19.0,3.0,8.0,,3.0,4.0,1.0,9.0,321.0,21.0,,69752,1.0,240.0,,1.0,,274.0,2.0,1.0,15.0,36.0,,,1.0,3.0,6.0,7.0,13.0,49.0,288.0,9.0,10.0,,12.0,,36.0,0.0,2.0,11.0,3.0,,1.0,0.0,2.0,,,33.3,7.0,,2.0,,3.0,1.0,20.0,1.0,,353.0,6.0,4.0,16.0,1.0,10.0,,,85.0,1.0,2.0,8.0,18.0,3.0,,2.0,8.0,10.0,,3.0,4.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292830,2022-08-20 17:30:00,"Vitality Stadium, Bournemouth",10423,Home,Bournemouth,Arsenal,0,3,L,0,2,0,0,,20.0,55.0,,,,,16.0,11.0,2.0,1.0,4.0,3.0,,149.0,9.0,5.0,7.0,,1.0,5.0,1.0,105.0,131.0,51.0,6.0,,15.0,1.0,1.0,1.0,1.0,13.0,8.0,11.0,3.0,1.0,33.0,138.0,,0.0,87.0,12.0,1.0,,1.0,53.0,52.0,1.0,63.0,,3.0,10.0,19.0,2.0,5.0,131.0,,11.0,94.0,576.0,4.0,7.0,12.0,7.0,303.0,22.0,4.0,5.0,,2.0,4.0,4.0,27.0,388.0,41.0,,69752,3.0,191.0,,5.0,,230.0,7.0,7.0,7.0,52.0,,,1.0,5.0,14.0,3.0,7.0,36.0,324.0,10.0,12.0,1.0,12.0,,44.0,0.0,,4.0,3.0,,3.0,0.0,4.0,,3.0,41.8,20.0,2.0,5.0,,5.0,,24.0,3.0,1.0,411.0,7.0,9.0,15.0,5.0,24.0,1.0,3.0,194.0,2.0,,12.0,59.0,23.0,,2.0,5.0,22.0,,4.0,3.0,12.0,2.0,7.0,3.0,3.0,,2.0,1.0,,,,3.0,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292845,2022-08-27 15:00:00,"Anfield, Liverpool",53328,Away,Bournemouth,Liverpool,0,9,L,0,5,0,0,,26.0,55.0,,1.0,,,24.0,17.0,2.0,1.0,3.0,4.0,,140.0,13.0,2.0,6.0,,,5.0,2.0,60.0,131.0,46.0,5.0,1.0,18.0,1.0,,1.0,,5.0,12.0,17.0,1.0,3.0,24.0,88.0,,0.0,57.0,5.0,4.0,2.0,1.0,61.0,29.0,3.0,52.0,2.0,,4.0,21.0,2.0,,131.0,,17.0,51.0,455.0,4.0,9.0,8.0,11.0,185.0,23.0,6.0,6.0,,1.0,1.0,2.0,20.0,268.0,42.0,2.0,69752,2.0,125.0,,2.0,2.0,161.0,4.0,21.0,11.0,46.0,,,,3.0,16.0,3.0,7.0,58.0,211.0,6.0,10.0,1.0,23.0,,68.0,0.0,,8.0,3.0,,3.0,0.0,2.0,,2.0,30.6,13.0,1.0,,1.0,3.0,1.0,36.0,1.0,1.0,303.0,11.0,7.0,12.0,2.0,11.0,,1.0,147.0,2.0,2.0,14.0,29.0,21.0,,1.0,6.0,20.0,,3.0,5.0,12.0,1.0,12.0,1.0,,1.0,,,1.0,,,9.0,1.0,7.0,,,,,1.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292850,2022-08-31 19:30:00,"Vitality Stadium, Bournemouth",10113,Home,Bournemouth,Wolverhampton Wanderers,0,0,D,0,0,0,0,,15.0,62.0,,1.0,1.0,,24.0,27.0,1.0,1.0,4.0,3.0,,137.0,8.0,3.0,9.0,,1.0,3.0,2.0,74.0,139.0,57.0,5.0,,14.0,2.0,1.0,1.0,,7.0,20.0,27.0,2.0,3.0,35.0,85.0,1.0,0.0,80.0,12.0,,1.0,2.0,34.0,37.0,2.0,44.0,,1.0,5.0,12.0,1.0,2.0,139.0,,11.0,65.0,519.0,3.0,9.0,16.0,8.0,214.0,32.0,2.0,14.0,,2.0,5.0,1.0,21.0,289.0,39.0,,81012,2.0,156.0,,2.0,,177.0,4.0,12.0,12.0,54.0,1.0,,,2.0,21.0,6.0,10.0,51.0,238.0,12.0,4.0,,10.0,,51.0,0.0,1.0,5.0,3.0,,2.0,0.0,2.0,,1.0,34.1,16.0,,3.0,1.0,2.0,1.0,23.0,2.0,2.0,320.0,8.0,13.0,20.0,2.0,16.0,1.0,1.0,150.0,3.0,3.0,12.0,40.0,20.0,,,14.0,24.0,,5.0,3.0,22.0,,6.0,2.0,,,1.0,,,1.0,2.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292867,2022-09-03 15:00:00,"The City Ground, Nottingham",28720,Away,Bournemouth,Nottingham Forest,3,2,W,0,2,0,0,,20.0,55.0,,1.0,2.0,1.0,12.0,29.0,2.0,5.0,6.0,1.0,1.0,144.0,7.0,2.0,5.0,3.0,3.0,7.0,3.0,112.0,132.0,42.0,8.0,1.0,12.0,,1.0,,,20.0,8.0,29.0,6.0,8.0,35.0,170.0,,0.0,111.0,10.0,,3.0,,64.0,63.0,5.0,69.0,,,14.0,19.0,2.0,3.0,132.0,1.0,8.0,117.0,626.0,4.0,1.0,17.0,3.0,345.0,27.0,2.0,17.0,3.0,1.0,4.0,2.0,29.0,423.0,43.0,,88900,4.0,191.0,,8.0,,220.0,6.0,19.0,6.0,41.0,1.0,,1.0,4.0,13.0,3.0,5.0,49.0,359.0,13.0,8.0,,17.0,2.0,55.0,0.0,,4.0,,2.0,,0.0,,2.0,,47.3,25.0,,3.0,1.0,4.0,3.0,27.0,6.0,,442.0,3.0,7.0,10.0,2.0,27.0,2.0,2.0,242.0,3.0,8.0,12.0,81.0,21.0,1.0,,17.0,12.0,,6.0,4.0,11.0,,6.0,6.0,,,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,2292870,2023-04-04 19:45:00,"Vitality Stadium, Bournemouth",10266,Home,Bournemouth,Brighton and Hove Albion,0,2,L,0,1,0,0,2.0,30.0,66.0,,1.0,4.0,,16.0,13.0,4.0,6.0,10.0,4.0,,149.0,13.0,2.0,8.0,,3.0,11.0,3.0,65.0,128.0,42.0,14.0,1.0,14.0,2.0,1.0,1.0,2.0,18.0,8.0,13.0,5.0,3.0,43.0,116.0,,0.0,89.0,11.0,3.0,2.0,,48.0,18.0,6.0,44.0,,2.0,13.0,20.0,4.0,2.0,128.0,1.0,10.0,86.0,523.0,10.0,5.0,21.0,15.0,255.0,21.0,,7.0,,1.0,1.0,5.0,17.0,323.0,31.0,,88900,6.0,155.0,2.0,9.0,2.0,190.0,6.0,5.0,12.0,55.0,4.0,,1.0,8.0,14.0,6.0,9.0,38.0,269.0,4.0,14.0,1.0,3.0,1.0,40.0,0.0,2.0,5.0,3.0,,2.0,0.0,1.0,,2.0,36.7,15.0,2.0,6.0,2.0,9.0,5.0,20.0,5.0,1.0,344.0,15.0,5.0,17.0,6.0,25.0,1.0,4.0,172.0,6.0,2.0,12.0,67.0,27.0,,,7.0,18.0,,11.0,5.0,20.0,,5.0,5.0,,1.0,2.0,,,1.0,,2.0,,2.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
8,2292886,2022-09-17 15:00:00,"St. James' Park, Newcastle",52238,Away,Bournemouth,Newcastle United,1,1,D,0,0,0,0,1.0,18.0,66.0,,1.0,1.0,,12.0,35.0,5.0,6.0,5.0,6.0,1.0,116.0,7.0,,14.0,1.0,3.0,9.0,3.0,44.0,125.0,53.0,10.0,1.0,14.0,,1.0,2.0,1.0,5.0,14.0,35.0,1.0,3.0,27.0,56.0,,0.0,57.0,11.0,2.0,1.0,4.0,20.0,28.0,5.0,39.0,1.0,2.0,4.0,20.0,5.0,2.0,125.0,1.0,13.0,46.0,448.0,8.0,6.0,10.0,8.0,152.0,27.0,2.0,21.0,1.0,2.0,5.0,4.0,15.0,214.0,27.0,,88900,3.0,109.0,,1.0,,142.0,4.0,20.0,11.0,44.0,,,1.0,9.0,14.0,7.0,5.0,44.0,165.0,10.0,5.0,,9.0,,45.0,0.0,1.0,8.0,5.0,1.0,2.0,0.0,,1.0,1.0,27.6,7.0,1.0,2.0,1.0,9.0,2.0,14.0,1.0,5.0,245.0,8.0,7.0,2.0,5.0,15.0,,3.0,108.0,3.0,3.0,11.0,32.0,19.0,,1.0,21.0,18.0,,10.0,4.0,23.0,1.0,9.0,1.0,2.0,2.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
9,2292890,2022-10-01 15:00:00,"Vitality Stadium, Bournemouth",10126,Home,Bournemouth,Brentford,0,0,D,0,0,0,0,,24.0,59.0,,1.0,2.0,,23.0,20.0,2.0,3.0,5.0,4.0,,159.0,13.0,4.0,5.0,,1.0,5.0,1.0,83.0,131.0,40.0,7.0,,10.0,1.0,,1.0,,20.0,8.0,20.0,7.0,2.0,48.0,154.0,1.0,0.0,106.0,11.0,2.0,2.0,,52.0,67.0,2.0,60.0,,,13.0,12.0,2.0,9.0,131.0,1.0,10.0,73.0,540.0,5.0,8.0,12.0,9.0,281.0,29.0,4.0,13.0,,1.0,4.0,3.0,10.0,352.0,62.0,,88900,5.0,147.0,1.0,2.0,,169.0,2.0,5.0,11.0,47.0,,,1.0,5.0,14.0,3.0,6.0,53.0,297.0,9.0,6.0,,10.0,2.0,62.0,0.0,,8.0,3.0,,2.0,0.0,2.0,,3.0,42.0,8.0,2.0,2.0,,5.0,2.0,29.0,7.0,,375.0,9.0,14.0,19.0,4.0,26.0,2.0,2.0,226.0,1.0,2.0,12.0,67.0,20.0,,3.0,13.0,14.0,,4.0,1.0,11.0,3.0,5.0,7.0,,,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
10,2292900,2022-10-08 15:00:00,"Vitality Stadium, Bournemouth",10272,Home,Bournemouth,Leicester City,2,1,W,0,1,0,0,1.0,29.0,61.0,,1.0,3.0,,18.0,12.0,2.0,8.0,8.0,4.0,2.0,144.0,10.0,3.0,10.0,2.0,5.0,5.0,4.0,111.0,137.0,46.0,10.0,1.0,19.0,2.0,,1.0,,22.0,11.0,12.0,5.0,4.0,34.0,165.0,,0.0,114.0,8.0,1.0,2.0,,55.0,82.0,5.0,73.0,2.0,,17.0,21.0,2.0,3.0,137.0,1.0,8.0,96.0,635.0,4.0,2.0,26.0,10.0,343.0,32.0,,9.0,1.0,1.0,2.0,,26.0,402.0,47.0,,88900,7.0,197.0,,12.0,,215.0,6.0,11.0,3.0,64.0,,,3.0,4.0,14.0,1.0,2.0,42.0,359.0,16.0,6.0,,7.0,3.0,62.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,44.2,23.0,,4.0,,4.0,4.0,37.0,7.0,1.0,424.0,10.0,15.0,18.0,2.0,27.0,1.0,1.0,231.0,1.0,3.0,7.0,82.0,18.0,1.0,1.0,9.0,13.0,,6.0,3.0,27.0,1.0,11.0,7.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,3.0,,1.0,,,,2.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,
