gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,penaltySave,attLfTarget,bigChanceScored,attGoalLowLeft,attRfTarget,goals,ontargetScoringAtt,attFreekickTotal,attIboxTarget,attOboxTarget,attMissHighRight,attSvHighRight,cleanSheet,attSvLowLeft,freekickTotal,attOboxMiss,bigChanceCreated,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,accurateThroughBall,bigChanceMissed,attSetpiece,penaltyConceded,attRfGoal,totalThroughBall,totalOffside,attCmissHighLeft,goalsOpenplay,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,punches,attIboxGoal,accurateFlickOn,attBxLeft,attSvHighCentre,penaltyFaced,attFreekickMiss,accurateCornersIntobox,forwardGoals,attGoalLowRight,attSvLowCentre,errorLeadToShot,totalPullBack,attCmissHigh,ptsDroppedWinningPos,attCmissRight,sixYardBlock,shotFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,penaltyWon,midfielderGoals,attGoalHighCentre,goalAssist,attPenGoal,goalAssistIntentional,attHdGoal,postScoringAtt,goalAssistOpenplay,attIboxPost,attPostLeft,subsGoals,attGoalLowCentre,attPenTarget,penGoalsConceded,attPostRight,attOboxGoal,ptsGainedLosingPos,foulThrowIn,accuratePullBack,defenderGoals,attOboxPost,attPostHigh,attLfGoal,attOneOnOne,attCmissHighRight,attGoalHighLeft,attSvHighLeft,attGoalHighRight,goalFastbreak
1,2292816,2022-08-06 15:00:00,"St. James' Park, Newcastle",52245.0,Away,Nottingham Forest,Newcastle United,0,2,L,0,0,0,0,1.0,20.0,67.0,3.0,1.0,18.0,36.0,1.0,1.0,4.0,7.0,127.0,7.0,3.0,5.0,2.0,2.0,58.0,135.0,45.0,5.0,1.0,12.0,1.0,1.0,1.0,9.0,11.0,36.0,1.0,4.0,41.0,85.0,0.0,69.0,14.0,2.0,1.0,1.0,55.0,22.0,1.0,41.0,2.0,1.0,8.0,13.0,1.0,2.0,135.0,16.0,68.0,504.0,2.0,4.0,8.0,10.0,190.0,40.0,3.0,16.0,1.0,3.0,6.0,1.0,26.0,267.0,45.0,1.0,58771,3.0,125.0,5.0,149.0,5.0,13.0,12.0,57.0,13.0,15.0,7.0,8.0,1.0,57.0,207.0,9.0,12.0,10.0,62.0,0.0,2.0,11.0,5.0,2.0,0.0,3.0,1.0,2.0,38.6,20.0,2.0,1.0,13.0,2.0,1.0,22.0,1.0,1.0,294.0,10.0,8.0,11.0,3.0,16.0,3.0,154.0,2.0,2.0,16.0,34.0,11.0,1.0,16.0,15.0,1.0,5.0,3.0,16.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292827,2022-08-14 14:00:00,"The City Ground, Nottingham",29281.0,Home,Nottingham Forest,West Ham United,1,0,W,1,0,0,0,,16.0,57.0,1.0,2.0,14.0,29.0,3.0,2.0,10.0,4.0,140.0,10.0,4.0,7.0,2.0,7.0,58.0,153.0,51.0,13.0,1.0,20.0,,2.0,1.0,20.0,8.0,29.0,6.0,5.0,46.0,93.0,0.0,115.0,10.0,3.0,,4.0,49.0,33.0,5.0,34.0,,1.0,14.0,24.0,3.0,4.0,153.0,10.0,56.0,497.0,6.0,3.0,20.0,5.0,179.0,20.0,2.0,12.0,2.0,4.0,6.0,2.0,17.0,262.0,52.0,,57647,7.0,101.0,10.0,125.0,3.0,24.0,10.0,53.0,8.0,16.0,9.0,5.0,,59.0,190.0,10.0,8.0,21.0,67.0,0.0,1.0,7.0,4.0,,0.0,2.0,1.0,4.0,43.2,14.0,3.0,4.0,8.0,3.0,1.0,18.0,6.0,4.0,288.0,5.0,12.0,15.0,4.0,28.0,3.0,183.0,7.0,5.0,18.0,67.0,21.0,3.0,12.0,16.0,,8.0,3.0,11.0,3.0,14.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292832,2022-08-20 15:00:00,"Goodison Park, Liverpool",39271.0,Away,Nottingham Forest,Everton,1,1,D,0,0,0,0,1.0,16.0,73.0,3.0,2.0,22.0,20.0,7.0,3.0,7.0,7.0,159.0,5.0,3.0,5.0,1.0,8.0,116.0,164.0,46.0,14.0,1.0,10.0,1.0,1.0,1.0,15.0,17.0,20.0,2.0,5.0,45.0,136.0,0.0,118.0,9.0,4.0,,1.0,51.0,45.0,6.0,49.0,,1.0,13.0,11.0,7.0,4.0,164.0,9.0,120.0,614.0,7.0,6.0,17.0,2.0,310.0,33.0,6.0,6.0,1.0,2.0,5.0,2.0,19.0,420.0,64.0,,89076,5.0,193.0,9.0,228.0,5.0,4.0,12.0,41.0,9.0,14.0,10.0,6.0,2.0,72.0,326.0,4.0,9.0,24.0,76.0,0.0,3.0,6.0,4.0,1.0,0.0,2.0,,2.0,51.7,16.0,1.0,6.0,9.0,3.0,,36.0,2.0,2.0,444.0,2.0,6.0,12.0,6.0,22.0,2.0,231.0,9.0,3.0,15.0,67.0,21.0,1.0,6.0,22.0,,12.0,3.0,12.0,1.0,4.0,2.0,,,,1.0,,4.0,1.0,5.0,1.0,2.0,2.0,,,,1.0,1.0,4.0,,,,,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292847,2022-08-28 16:30:00,"The City Ground, Nottingham",29296.0,Home,Nottingham Forest,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,27.0,59.0,1.0,1.0,26.0,7.0,8.0,4.0,9.0,4.0,165.0,12.0,5.0,8.0,3.0,12.0,153.0,135.0,55.0,17.0,6.0,15.0,1.0,2.0,2.0,24.0,11.0,7.0,6.0,4.0,39.0,272.0,0.0,191.0,11.0,2.0,1.0,1.0,90.0,68.0,5.0,74.0,1.0,3.0,18.0,13.0,8.0,5.0,135.0,11.0,176.0,756.0,12.0,1.0,40.0,13.0,458.0,19.0,1.0,2.0,2.0,6.0,5.0,7.0,17.0,542.0,73.0,,89076,7.0,214.0,12.0,228.0,4.0,10.0,9.0,42.0,2.0,15.0,7.0,7.0,4.0,56.0,481.0,11.0,6.0,10.0,70.0,0.0,,1.0,4.0,2.0,0.0,3.0,,3.0,55.3,16.0,2.0,10.0,2.0,7.0,1.0,42.0,6.0,1.0,568.0,13.0,4.0,19.0,9.0,37.0,8.0,364.0,10.0,4.0,15.0,140.0,28.0,,2.0,21.0,1.0,12.0,5.0,16.0,,10.0,6.0,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,4.0,,2.0,,,,,,1.0,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292858,2022-08-31 19:30:00,"Etihad Stadium, Manchester",53409.0,Away,Nottingham Forest,Manchester City,0,6,L,0,3,0,0,1.0,18.0,46.0,1.0,1.0,16.0,24.0,4.0,2.0,4.0,3.0,109.0,9.0,3.0,6.0,1.0,6.0,51.0,94.0,37.0,8.0,2.0,17.0,1.0,2.0,3.0,7.0,8.0,24.0,1.0,1.0,39.0,57.0,0.0,45.0,7.0,2.0,,1.0,31.0,26.0,2.0,52.0,1.0,1.0,6.0,9.0,4.0,2.0,94.0,12.0,49.0,407.0,6.0,2.0,7.0,14.0,173.0,25.0,1.0,8.0,2.0,1.0,2.0,4.0,12.0,234.0,23.0,,89076,1.0,138.0,4.0,162.0,2.0,9.0,9.0,42.0,5.0,6.0,5.0,6.0,,50.0,192.0,9.0,7.0,11.0,47.0,0.0,,10.0,2.0,6.0,0.0,3.0,,2.0,25.1,12.0,2.0,1.0,5.0,3.0,,16.0,1.0,1.0,261.0,14.0,7.0,15.0,4.0,12.0,3.0,106.0,4.0,1.0,8.0,27.0,13.0,3.0,8.0,14.0,5.0,6.0,5.0,12.0,3.0,7.0,1.0,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,2.0,,,,,2.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292867,2022-09-03 15:00:00,"The City Ground, Nottingham",28720.0,Home,Nottingham Forest,Bournemouth,2,3,L,2,0,0,0,1.0,20.0,50.0,,4.0,31.0,17.0,3.0,2.0,8.0,,163.0,13.0,5.0,8.0,1.0,8.0,130.0,136.0,41.0,11.0,1.0,12.0,2.0,,1.0,27.0,7.0,17.0,3.0,1.0,51.0,199.0,0.0,133.0,13.0,,1.0,,68.0,85.0,6.0,81.0,1.0,1.0,24.0,17.0,3.0,10.0,136.0,6.0,112.0,665.0,7.0,3.0,22.0,9.0,383.0,22.0,3.0,9.0,,2.0,3.0,2.0,20.0,466.0,60.0,1.0,90585,4.0,208.0,13.0,231.0,9.0,17.0,6.0,42.0,6.0,15.0,2.0,5.0,,66.0,402.0,8.0,5.0,17.0,63.0,0.0,,6.0,,3.0,0.0,4.0,,1.0,52.7,18.0,,6.0,6.0,5.0,,35.0,4.0,,486.0,9.0,9.0,19.0,3.0,39.0,2.0,282.0,8.0,1.0,12.0,95.0,16.0,2.0,9.0,13.0,2.0,8.0,3.0,11.0,2.0,11.0,4.0,,,,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,2.0,,,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,3.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,2292874,2023-04-04 19:45:00,"Elland Road, Leeds",36740.0,Away,Nottingham Forest,Leeds United,1,2,L,1,2,0,0,,26.0,66.0,2.0,5.0,10.0,31.0,4.0,4.0,9.0,4.0,139.0,16.0,3.0,10.0,,6.0,63.0,157.0,54.0,13.0,3.0,23.0,1.0,1.0,3.0,11.0,5.0,31.0,4.0,3.0,34.0,85.0,0.0,79.0,13.0,1.0,1.0,,50.0,29.0,5.0,30.0,1.0,,7.0,33.0,4.0,1.0,157.0,13.0,64.0,524.0,3.0,9.0,20.0,8.0,182.0,36.0,2.0,12.0,1.0,4.0,9.0,1.0,25.0,273.0,54.0,1.0,89076,6.0,116.0,5.0,142.0,6.0,18.0,8.0,65.0,9.0,16.0,8.0,6.0,,46.0,198.0,11.0,15.0,14.0,68.0,0.0,,11.0,2.0,2.0,0.0,1.0,2.0,3.0,37.6,8.0,1.0,2.0,9.0,8.0,,27.0,4.0,,296.0,8.0,7.0,10.0,4.0,24.0,2.0,165.0,6.0,1.0,15.0,34.0,19.0,2.0,12.0,18.0,2.0,3.0,5.0,18.0,2.0,18.0,4.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,2.0,3.0,,1.0,2.0,4.0,,,,1.0,2.0,,,,,2.0,,1.0,,,2.0,,3.0,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2292887,2022-09-16 20:00:00,"The City Ground, Nottingham",28654.0,Home,Nottingham Forest,Fulham,2,3,L,1,0,0,0,1.0,22.0,54.0,1.0,2.0,22.0,22.0,4.0,1.0,7.0,4.0,144.0,10.0,3.0,2.0,1.0,7.0,87.0,142.0,40.0,11.0,1.0,15.0,,,2.0,14.0,3.0,22.0,2.0,4.0,32.0,100.0,0.0,71.0,11.0,3.0,,,58.0,33.0,2.0,64.0,,2.0,12.0,9.0,4.0,5.0,142.0,10.0,80.0,541.0,5.0,10.0,10.0,8.0,262.0,21.0,7.0,10.0,,2.0,5.0,5.0,19.0,355.0,42.0,,90585,5.0,182.0,7.0,213.0,5.0,3.0,6.0,46.0,10.0,16.0,5.0,4.0,1.0,56.0,279.0,10.0,9.0,20.0,65.0,0.0,2.0,10.0,3.0,3.0,0.0,1.0,,3.0,40.8,16.0,2.0,1.0,10.0,3.0,,31.0,2.0,,375.0,8.0,10.0,9.0,5.0,19.0,3.0,176.0,6.0,3.0,19.0,39.0,22.0,4.0,10.0,10.0,2.0,7.0,5.0,4.0,4.0,3.0,2.0,1.0,,,2.0,1.0,1.0,2.0,3.0,1.0,,1.0,,,,,1.0,2.0,2.0,,,,,,1.0,,,1.0,2.0,2.0,,1.0,1.0,3.0,,,1.0,2.0,4.0,,1.0,,,2.0,1.0,1.0,,,,,3.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
9,2292895,2022-10-03 20:00:00,"King Power Stadium, Leicester",32202.0,Away,Nottingham Forest,Leicester City,0,4,L,0,3,0,0,3.0,26.0,51.0,,1.0,19.0,15.0,2.0,2.0,8.0,4.0,161.0,11.0,4.0,11.0,2.0,7.0,90.0,139.0,46.0,10.0,1.0,12.0,,,,13.0,9.0,15.0,6.0,10.0,38.0,118.0,0.0,77.0,12.0,1.0,2.0,,34.0,72.0,4.0,83.0,3.0,2.0,7.0,17.0,2.0,3.0,139.0,10.0,130.0,625.0,7.0,8.0,15.0,13.0,341.0,26.0,5.0,7.0,,4.0,3.0,3.0,18.0,436.0,35.0,,90585,7.0,248.0,2.0,285.0,7.0,6.0,8.0,39.0,4.0,9.0,7.0,5.0,,61.0,362.0,11.0,5.0,25.0,63.0,0.0,2.0,6.0,3.0,4.0,0.0,3.0,,3.0,48.4,16.0,2.0,1.0,4.0,2.0,,30.0,6.0,,464.0,13.0,5.0,16.0,5.0,21.0,4.0,192.0,5.0,10.0,11.0,46.0,17.0,1.0,7.0,13.0,1.0,8.0,5.0,17.0,1.0,6.0,6.0,1.0,,1.0,,,1.0,,3.0,,2.0,1.0,1.0,,,1.0,,,3.0,,1.0,1.0,1.0,3.0,3.0,,,,3.0,4.0,,,,2.0,1.0,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,2292908,2022-10-10 20:00:00,"The City Ground, Nottingham",29208.0,Home,Nottingham Forest,Aston Villa,1,1,D,1,1,0,0,1.0,15.0,61.0,,,27.0,23.0,4.0,,2.0,1.0,141.0,5.0,4.0,9.0,4.0,5.0,80.0,141.0,62.0,6.0,2.0,9.0,,1.0,1.0,12.0,9.0,23.0,1.0,1.0,43.0,120.0,0.0,104.0,13.0,1.0,2.0,3.0,53.0,40.0,4.0,47.0,2.0,,11.0,18.0,4.0,5.0,141.0,6.0,65.0,527.0,4.0,3.0,9.0,7.0,222.0,31.0,6.0,10.0,1.0,3.0,8.0,1.0,23.0,304.0,51.0,1.0,90585,2.0,130.0,4.0,163.0,6.0,4.0,7.0,48.0,8.0,16.0,6.0,7.0,,53.0,246.0,19.0,7.0,17.0,55.0,0.0,1.0,4.0,1.0,1.0,0.0,4.0,,2.0,39.9,14.0,,,8.0,2.0,,27.0,1.0,3.0,333.0,7.0,10.0,20.0,1.0,16.0,,182.0,4.0,1.0,21.0,66.0,21.0,2.0,10.0,14.0,,5.0,3.0,19.0,2.0,4.0,1.0,1.0,,,,,1.0,1.0,3.0,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,2.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
