gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attLfGoal,accuratePullBack,accurateKeeperSweeper,attMissLeft,contentiousDecision,totalKeeperSweeper,sixYardBlock,totalPullBack,attCmissHigh,totalThroughBall,totalOffside,attSvLowRight,accurateFlickOn,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,ptsDroppedWinningPos,goalAssistDeadball,attGoalLowCentre,shotFastbreak,cleanSheet,totalFastbreak,attFastbreak,attSvHighCentre,forwardGoals,attCmissRight,attCmissLeft,punches,attMissHighRight,attOboxGoal,accurateThroughBall,errorLeadToGoal,goalsConcededObox,attLgCentre,errorLeadToShot,penaltyConceded,penaltyFaced,penGoalsConceded,attSvHighRight,attObxdLeft,postScoringAtt,attFreekickPost,attPostLeft,hitWoodwork,attOboxPost,clearanceOffLine,secondYellow,attObxLeft,attIboxPost,defenderGoals,expectedGoalsOnTarget,attOneOnOne,expectedGoalsOnTargetConceded,penaltyWon,attMissHighLeft,expectedAssists,attPenMiss,attCmissHighLeft,expectedGoals,attSvHighLeft,ownGoals,attPostHigh,attIboxOwnGoal,subsGoals,attLgRight,attFreekickTarget,goalFastbreak,attPenGoal,attGoalHighLeft,foulThrowIn,attGoalHighRight,attGoalHighCentre,attPostRight,attObxRight,attPenTarget
1,2292814,2022-08-06 15:00:00,"Elland Road, Leeds",36347.0,Home,Leeds United,Wolverhampton Wanderers,2,1,W,1,1,0,0,1.0,31.0,70.0,1.0,1.0,1.0,18.0,22.0,5.0,4.0,7.0,5.0,1.0,149.0,14.0,6.0,7.0,2.0,2.0,10.0,4.0,79.0,135.0,45.0,1.0,12.0,2.0,7.0,2.0,2.0,1.0,2.0,20.0,14.0,1.0,22.0,6.0,1.0,32.0,133.0,0.0,109.0,13.0,3.0,2.0,1.0,1.0,1.0,1.0,51.0,49.0,6.0,45.0,2.0,4.0,14.0,14.0,5.0,1.0,2.0,2.0,135.0,2.0,8.0,82.0,551.0,4.0,1.0,28.0,1.0,14.0,253.0,22.0,3.0,8.0,1.0,2.0,3.0,3.0,16.0,336.0,52.0,1.0,80954,5.0,142.0,2.0,11.0,1.0,157.0,7.0,1.0,10.0,9.0,61.0,7.0,1.0,13.0,7.0,8.0,1.0,45.0,269.0,8.0,25.0,4.0,16.0,3.0,58.0,0.0,2.0,4.0,4.0,2.0,1.0,0.0,4.0,4.0,40.1,13.0,3.0,13.0,8.0,3.0,29.0,6.0,1.0,355.0,14.0,1.0,10.0,15.0,5.0,27.0,2.0,3.0,218.0,4.0,1.0,9.0,64.0,27.0,1.0,8.0,21.0,1.0,7.0,4.0,13.0,1.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292828,2022-08-13 15:00:00,"St. Mary's Stadium, Southampton",30815.0,Away,Leeds United,Southampton,2,2,D,0,0,0,0,2.0,28.0,65.0,,1.0,4.0,20.0,20.0,2.0,5.0,11.0,2.0,,194.0,13.0,4.0,6.0,2.0,1.0,12.0,5.0,108.0,168.0,65.0,,13.0,,17.0,3.0,,1.0,2.0,11.0,20.0,,20.0,4.0,3.0,35.0,128.0,0.0,118.0,12.0,,2.0,2.0,,1.0,1.0,65.0,46.0,8.0,64.0,1.0,1.0,7.0,21.0,2.0,,3.0,2.0,168.0,3.0,9.0,88.0,661.0,8.0,5.0,20.0,1.0,10.0,321.0,22.0,3.0,14.0,2.0,3.0,3.0,4.0,28.0,430.0,58.0,,80954,3.0,212.0,1.0,3.0,,254.0,8.0,,21.0,9.0,62.0,7.0,1.0,18.0,5.0,5.0,2.0,61.0,336.0,9.0,17.0,2.0,24.0,5.0,72.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,57.4,23.0,1.0,4.0,7.0,4.0,30.0,5.0,1.0,454.0,10.0,,10.0,12.0,4.0,22.0,3.0,2.0,211.0,4.0,2.0,23.0,71.0,28.0,1.0,14.0,27.0,2.0,8.0,4.0,13.0,1.0,12.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292834,2022-08-21 14:00:00,"Elland Road, Leeds",36372.0,Home,Leeds United,Chelsea,3,0,W,2,0,0,1,1.0,34.0,53.0,1.0,1.0,1.0,11.0,14.0,3.0,3.0,9.0,3.0,2.0,130.0,15.0,3.0,8.0,3.0,3.0,9.0,6.0,81.0,133.0,58.0,,12.0,1.0,21.0,2.0,1.0,1.0,1.0,12.0,14.0,1.0,14.0,4.0,3.0,22.0,114.0,0.0,105.0,16.0,,2.0,2.0,1.0,2.0,,47.0,41.0,6.0,39.0,3.0,1.0,8.0,25.0,3.0,,1.0,1.0,133.0,2.0,9.0,68.0,514.0,6.0,3.0,15.0,,16.0,207.0,21.0,3.0,6.0,2.0,0.0,5.0,3.0,19.0,290.0,44.0,1.0,80954,3.0,116.0,1.0,5.0,1.0,146.0,8.0,1.0,16.0,7.0,72.0,2.0,2.0,10.0,5.0,6.0,2.0,45.0,227.0,15.0,13.0,1.0,20.0,2.0,52.0,0.0,,6.0,2.0,3.0,,0.0,2.0,2.0,39.1,19.0,1.0,6.0,2.0,2.0,24.0,4.0,,318.0,16.0,,10.0,5.0,4.0,18.0,1.0,3.0,184.0,7.0,3.0,10.0,67.0,22.0,3.0,6.0,26.0,,9.0,5.0,20.0,3.0,16.0,4.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292843,2022-08-27 15:00:00,"American Express Stadium, Falmer",30953.0,Away,Leeds United,Brighton and Hove Albion,0,1,L,0,0,0,0,2.0,18.0,68.0,,1.0,2.0,19.0,16.0,3.0,6.0,7.0,3.0,,189.0,9.0,2.0,11.0,,2.0,7.0,2.0,109.0,156.0,53.0,1.0,10.0,3.0,14.0,2.0,1.0,,,12.0,12.0,,16.0,3.0,4.0,45.0,169.0,0.0,113.0,14.0,,,,1.0,3.0,,58.0,58.0,5.0,73.0,2.0,2.0,9.0,15.0,3.0,1.0,4.0,,156.0,,11.0,104.0,659.0,6.0,3.0,13.0,,16.0,343.0,32.0,3.0,7.0,,3.0,1.0,2.0,21.0,454.0,59.0,2.0,80954,2.0,192.0,1.0,2.0,1.0,235.0,11.0,,15.0,11.0,48.0,6.0,,14.0,2.0,7.0,,63.0,359.0,10.0,7.0,1.0,21.0,,76.0,0.0,,5.0,2.0,,1.0,0.0,2.0,,57.2,20.0,,5.0,6.0,5.0,39.0,3.0,,475.0,16.0,,9.0,20.0,3.0,24.0,,3.0,252.0,3.0,3.0,10.0,69.0,25.0,,7.0,22.0,1.0,8.0,4.0,16.0,,7.0,3.0,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292854,2022-08-30 20:00:00,"Elland Road, Leeds",36338.0,Home,Leeds United,Everton,1,1,D,0,1,0,0,,25.0,66.0,1.0,,,20.0,12.0,4.0,5.0,10.0,1.0,3.0,223.0,9.0,7.0,12.0,1.0,,12.0,5.0,161.0,190.0,70.0,,14.0,1.0,12.0,4.0,,1.0,3.0,31.0,13.0,,12.0,7.0,10.0,49.0,309.0,0.0,217.0,10.0,1.0,1.0,1.0,,,,147.0,64.0,4.0,101.0,,5.0,24.0,26.0,4.0,,6.0,2.0,190.0,1.0,3.0,159.0,898.0,9.0,5.0,30.0,1.0,11.0,517.0,25.0,4.0,4.0,1.0,3.0,3.0,7.0,38.0,626.0,77.0,,80954,8.0,233.0,2.0,18.0,,258.0,2.0,,7.0,2.0,53.0,,1.0,26.0,4.0,2.0,,49.0,535.0,9.0,6.0,1.0,14.0,3.0,64.0,0.0,1.0,2.0,1.0,,1.0,0.0,4.0,4.0,69.1,38.0,3.0,5.0,,1.0,46.0,10.0,,644.0,11.0,,14.0,23.0,8.0,43.0,3.0,6.0,417.0,5.0,10.0,24.0,153.0,35.0,,4.0,25.0,1.0,11.0,4.0,26.0,,7.0,10.0,3.0,,,,1.0,,1.0,2.0,,1.0,,1.0,,2.0,2.0,,1.0,,2.0,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292861,2022-09-03 15:00:00,"Gtech Community Stadium, Brentford",,Away,Leeds United,Brentford,2,5,L,1,2,0,0,2.0,17.0,64.0,,,1.0,15.0,13.0,7.0,9.0,9.0,3.0,2.0,169.0,8.0,5.0,16.0,2.0,2.0,12.0,6.0,105.0,149.0,59.0,1.0,17.0,3.0,17.0,3.0,1.0,,1.0,19.0,17.0,1.0,13.0,6.0,10.0,43.0,260.0,0.0,174.0,9.0,,2.0,2.0,2.0,1.0,,85.0,66.0,7.0,93.0,,1.0,13.0,13.0,8.0,1.0,4.0,3.0,149.0,3.0,10.0,121.0,693.0,9.0,5.0,25.0,,3.0,385.0,17.0,,4.0,1.0,2.0,1.0,5.0,25.0,466.0,79.0,,80179,5.0,147.0,3.0,8.0,,169.0,4.0,1.0,13.0,8.0,63.0,5.0,1.0,20.0,4.0,5.0,1.0,41.0,402.0,8.0,13.0,2.0,10.0,3.0,58.0,0.0,,2.0,3.0,1.0,5.0,0.0,3.0,2.0,68.9,21.0,1.0,7.0,5.0,4.0,31.0,6.0,,488.0,3.0,,11.0,25.0,7.0,27.0,2.0,4.0,338.0,6.0,9.0,11.0,135.0,34.0,,4.0,24.0,3.0,13.0,5.0,29.0,,4.0,6.0,,1.0,1.0,1.0,1.0,,1.0,4.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292874,2023-04-04 19:45:00,"Elland Road, Leeds",36740.0,Home,Leeds United,Nottingham Forest,2,1,W,2,1,0,0,2.0,26.0,68.0,1.0,,5.0,26.0,21.0,7.0,11.0,13.0,,1.0,195.0,10.0,4.0,15.0,2.0,1.0,17.0,6.0,116.0,159.0,65.0,,21.0,4.0,15.0,2.0,1.0,1.0,2.0,25.0,9.0,2.0,21.0,8.0,9.0,50.0,238.0,0.0,182.0,11.0,3.0,,2.0,,2.0,,64.0,98.0,13.0,70.0,2.0,5.0,17.0,32.0,8.0,,5.0,2.0,159.0,1.0,9.0,113.0,733.0,13.0,5.0,41.0,1.0,10.0,385.0,33.0,5.0,12.0,1.0,1.0,7.0,4.0,21.0,472.0,78.0,1.0,80954,9.0,167.0,1.0,10.0,1.0,189.0,7.0,1.0,13.0,3.0,54.0,5.0,2.0,21.0,4.0,,,57.0,401.0,12.0,10.0,3.0,13.0,4.0,77.0,0.0,1.0,4.0,,2.0,1.0,0.0,2.0,1.0,62.4,19.0,,9.0,5.0,9.0,53.0,11.0,,494.0,10.0,,7.0,28.0,6.0,41.0,2.0,4.0,330.0,9.0,8.0,23.0,128.0,20.0,2.0,12.0,15.0,1.0,16.0,3.0,26.0,2.0,13.0,11.0,,1.0,,,1.0,1.0,2.0,1.0,,2.0,,4.0,,4.0,3.0,1.0,3.0,,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292885,2023-02-08 20:00:00,"Old Trafford, Manchester",73456.0,Away,Leeds United,Manchester United,2,2,D,1,0,0,0,,29.0,70.0,,2.0,2.0,20.0,30.0,4.0,2.0,4.0,5.0,,156.0,15.0,1.0,7.0,2.0,3.0,5.0,2.0,58.0,163.0,58.0,1.0,8.0,,14.0,1.0,,1.0,1.0,6.0,20.0,,30.0,2.0,4.0,35.0,134.0,0.0,126.0,11.0,,4.0,1.0,,,1.0,57.0,59.0,3.0,51.0,2.0,2.0,4.0,38.0,4.0,1.0,2.0,2.0,163.0,1.0,16.0,61.0,550.0,4.0,10.0,20.0,1.0,16.0,190.0,31.0,4.0,20.0,1.0,3.0,9.0,2.0,13.0,295.0,51.0,,78315,2.0,77.0,1.0,2.0,,111.0,6.0,1.0,20.0,15.0,60.0,4.0,1.0,15.0,8.0,8.0,1.0,54.0,210.0,7.0,17.0,,16.0,4.0,62.0,0.0,2.0,6.0,3.0,1.0,2.0,0.0,1.0,2.0,34.1,7.0,1.0,6.0,4.0,2.0,27.0,5.0,2.0,326.0,16.0,,10.0,12.0,4.0,16.0,,1.0,221.0,4.0,3.0,14.0,78.0,25.0,1.0,20.0,30.0,2.0,3.0,6.0,16.0,1.0,20.0,5.0,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,3.0,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2292894,2022-10-02 16:30:00,"Elland Road, Leeds",36582.0,Home,Leeds United,Aston Villa,0,0,D,0,0,1,0,1.0,21.0,63.0,,1.0,2.0,20.0,23.0,2.0,3.0,4.0,6.0,,159.0,7.0,2.0,6.0,,1.0,5.0,1.0,80.0,148.0,46.0,,6.0,1.0,22.0,1.0,1.0,,1.0,10.0,9.0,,23.0,2.0,3.0,50.0,92.0,0.0,75.0,23.0,,3.0,,,3.0,3.0,43.0,35.0,3.0,48.0,1.0,1.0,8.0,11.0,2.0,,1.0,1.0,148.0,,12.0,88.0,553.0,4.0,1.0,16.0,,6.0,259.0,30.0,3.0,16.0,,3.0,5.0,2.0,20.0,354.0,44.0,,80954,2.0,180.0,,4.0,,215.0,15.0,,7.0,8.0,71.0,9.0,,12.0,7.0,3.0,,65.0,270.0,12.0,10.0,1.0,17.0,1.0,73.0,0.0,,9.0,6.0,,,1.0,1.0,1.0,43.8,14.0,1.0,,10.0,3.0,29.0,2.0,3.0,375.0,6.0,,10.0,18.0,2.0,23.0,1.0,1.0,170.0,2.0,2.0,16.0,40.0,19.0,,16.0,12.0,,5.0,5.0,12.0,,7.0,2.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2292904,2022-10-09 14:00:00,"Selhurst Park, London",25042.0,Away,Leeds United,Crystal Palace,1,2,L,1,1,0,0,2.0,21.0,68.0,,1.0,2.0,15.0,12.0,2.0,6.0,7.0,3.0,1.0,175.0,10.0,5.0,8.0,1.0,4.0,8.0,4.0,64.0,171.0,63.0,,10.0,2.0,15.0,2.0,1.0,,,17.0,13.0,1.0,12.0,3.0,10.0,27.0,130.0,0.0,134.0,23.0,,2.0,,1.0,4.0,1.0,77.0,44.0,6.0,42.0,,1.0,14.0,27.0,3.0,,5.0,,171.0,1.0,10.0,64.0,555.0,7.0,6.0,24.0,,10.0,207.0,23.0,2.0,6.0,,3.0,3.0,2.0,32.0,322.0,51.0,1.0,80954,5.0,97.0,1.0,5.0,,128.0,11.0,,27.0,9.0,63.0,8.0,1.0,14.0,3.0,6.0,,49.0,222.0,13.0,7.0,1.0,25.0,1.0,62.0,0.0,,5.0,2.0,1.0,2.0,0.0,4.0,1.0,45.5,30.0,,12.0,8.0,4.0,29.0,3.0,1.0,345.0,10.0,,10.0,12.0,2.0,35.0,1.0,1.0,234.0,3.0,6.0,13.0,71.0,23.0,,6.0,29.0,2.0,9.0,4.0,16.0,,10.0,3.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
