gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,savedObox,attRfTarget,attCmissRight,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,goalFastbreak,attOboxTarget,attMissHighRight,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,interceptionsInBox,attMissHighLeft,attRfGoal,attCmissHighLeft,attFastbreak,attSvLowRight,goalsConcededObox,goalAssistSetplay,attGoalLowCentre,attOneOnOne,ptsGainedLosingPos,totalFlickOn,attHdTarget,hitWoodwork,accurateLaunches,accurateFreekickCross,attSetpiece,attGoalHighLeft,attFreekickTarget,overrun,goalsConceded,clearanceOffLine,goalsConcededIbox,ptsDroppedWinningPos,accuratePullBack,attOboxGoal,attCmissHigh,ownGoals,accurateFlickOn,attCmissHighRight,attIboxOwnGoal,attHdGoal,postScoringAtt,attGoalHighRight,attPostLeft,defenderGoals,attOboxPost,shieldBallOop,attSvHighCentre,attFreekickPost,sixYardBlock,attPostHigh,handBall,attGoalHighCentre,contentiousDecision,errorLeadToGoal,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,attPostRight,attIboxPost,expectedGoalsOnTargetConceded,attSvHighRight,expectedAssists,expectedGoals,errorLeadToShot,attFreekickGoal,attFreekickMiss,attLgCentre,attLgRight,attHdPost,subsGoals,attPenPost,attObxdRight
11,2292915,2022-10-16 16:30:00,"Anfield, Liverpool",53286,Away,Manchester City,Liverpool,0,1,L,0,0,0,0,,25.0,66.0,,3.0,32.0,15.0,6.0,6.0,10.0,1.0,,245.0,15.0,9.0,8.0,,2.0,12.0,6.0,179.0,144.0,51.0,,16.0,3.0,10.0,,,,26.0,14.0,15.0,4.0,4.0,47.0,265.0,,,0.0,167.0,7.0,,127.0,58.0,9.0,104.0,2.0,22.0,24.0,6.0,,9.0,2.0,144.0,1.0,8.0,174.0,907.0,11.0,37.0,7.0,593.0,23.0,10.0,,,1.0,2.0,3.0,19.0,678.0,79.0,,88248,5.0,360.0,1.0,10.0,375.0,,3.0,24.0,10.0,45.0,,,4.0,,15.0,5.0,9.0,1.0,,53.0,616.0,8.0,6.0,1.0,13.0,3.0,89.0,,,0.0,5.0,1.0,,0.0,7.0,,3.0,63.2,17.0,2.0,6.0,3.0,4.0,6.0,66.0,6.0,,702.0,7.0,15.0,28.0,4.0,39.0,2.0,2.0,353.0,6.0,3.0,15.0,120.0,33.0,,,10.0,20.0,13.0,1.0,16.0,,14.0,6.0,2.0,,,2.0,,5.0,,1.0,1.0,,1.0,,,,,2.0,3.0,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,0.7361,1.0,1.24825,0.8132,,,,,,,,,
12,2292921,2023-02-15 19:30:00,"Emirates Stadium, London",60276,Away,Manchester City,Arsenal,3,1,W,1,1,0,0,2.0,23.0,59.0,2.0,2.0,15.0,13.0,1.0,3.0,8.0,,1.0,116.0,11.0,2.0,9.0,3.0,2.0,6.0,6.0,70.0,127.0,50.0,,9.0,,11.0,1.0,2.0,,9.0,12.0,13.0,1.0,3.0,36.0,101.0,,,0.0,79.0,15.0,,36.0,48.0,5.0,47.0,,8.0,12.0,1.0,,1.0,,127.0,4.0,7.0,70.0,463.0,3.0,19.0,11.0,208.0,18.0,8.0,2.0,1.0,4.0,5.0,1.0,18.0,282.0,41.0,1.0,88248,5.0,120.0,4.0,3.0,140.0,8.0,2.0,7.0,10.0,43.0,1.0,3.0,3.0,3.0,13.0,3.0,4.0,,,52.0,219.0,10.0,6.0,1.0,13.0,,59.0,,,0.0,1.0,,2.0,0.0,2.0,2.0,2.0,36.5,12.0,,6.0,1.0,3.0,2.0,25.0,2.0,,303.0,11.0,6.0,16.0,1.0,21.0,,,172.0,4.0,3.0,14.0,46.0,27.0,1.0,1.0,8.0,17.0,4.0,3.0,16.0,1.0,7.0,3.0,1.0,,,1.0,,3.0,,,2.0,,,,,,2.0,1.0,4.0,,,,2.0,,,,,,1.0,1.0,,6.0,1.0,1.0,2.0,1.0,4.0,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
13,2292934,2022-10-22 15:00:00,"Etihad Stadium, Manchester",53223,Home,Manchester City,Brighton and Hove Albion,3,1,W,2,0,0,0,2.0,22.0,57.0,,3.0,16.0,12.0,1.0,3.0,9.0,1.0,1.0,151.0,12.0,2.0,8.0,3.0,4.0,8.0,4.0,100.0,112.0,35.0,,10.0,,8.0,1.0,2.0,2.0,11.0,9.0,12.0,4.0,4.0,47.0,167.0,,1.0,0.0,125.0,11.0,,56.0,37.0,5.0,81.0,,7.0,14.0,1.0,,1.0,,112.0,2.0,5.0,114.0,593.0,3.0,29.0,8.0,347.0,21.0,8.0,2.0,1.0,1.0,3.0,3.0,9.0,418.0,42.0,1.0,97299,6.0,203.0,1.0,6.0,230.0,6.0,,9.0,9.0,42.0,3.0,,5.0,2.0,8.0,3.0,5.0,,1.0,45.0,368.0,12.0,7.0,3.0,10.0,2.0,53.0,2.0,,0.0,3.0,1.0,2.0,0.0,,,3.0,48.4,9.0,3.0,11.0,1.0,5.0,3.0,27.0,6.0,2.0,446.0,8.0,11.0,20.0,3.0,29.0,2.0,3.0,227.0,4.0,4.0,1.0,93.0,19.0,2.0,,8.0,14.0,6.0,3.0,13.0,,9.0,7.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,2.0,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
14,2292946,2022-10-29 12:30:00,"King Power Stadium, Leicester",32223,Away,Manchester City,Leicester City,1,0,W,0,0,0,0,,14.0,54.0,,,32.0,6.0,8.0,4.0,7.0,5.0,,124.0,8.0,7.0,3.0,1.0,1.0,13.0,5.0,253.0,117.0,28.0,1.0,15.0,4.0,11.0,,,2.0,29.0,4.0,6.0,7.0,10.0,47.0,463.0,1.0,,0.0,286.0,10.0,2.0,113.0,102.0,8.0,96.0,2.0,22.0,24.0,8.0,1.0,11.0,2.0,117.0,,8.0,218.0,833.0,11.0,24.0,6.0,608.0,15.0,5.0,,,0.0,1.0,5.0,13.0,675.0,82.0,,97299,6.0,166.0,,11.0,185.0,4.0,,24.0,6.0,36.0,1.0,2.0,7.0,,11.0,2.0,6.0,1.0,,49.0,622.0,5.0,3.0,2.0,5.0,4.0,36.0,1.0,,0.0,3.0,4.0,,0.0,4.0,,5.0,64.3,13.0,3.0,10.0,,7.0,4.0,24.0,10.0,,691.0,6.0,6.0,30.0,6.0,47.0,3.0,4.0,535.0,6.0,10.0,13.0,249.0,20.0,,,5.0,7.0,10.0,2.0,9.0,,5.0,10.0,2.0,,1.0,,,3.0,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,1.0,2.0,,2.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
15,2292954,2022-11-05 15:00:00,"Etihad Stadium, Manchester",52395,Home,Manchester City,Fulham,2,1,W,1,1,1,0,2.0,17.0,54.0,1.0,5.0,31.0,4.0,4.0,3.0,12.0,1.0,1.0,183.0,12.0,7.0,5.0,2.0,5.0,12.0,5.0,195.0,117.0,44.0,1.0,16.0,1.0,10.0,,1.0,1.0,25.0,2.0,4.0,8.0,6.0,44.0,332.0,,1.0,0.0,162.0,6.0,1.0,133.0,63.0,8.0,135.0,2.0,17.0,14.0,4.0,1.0,6.0,1.0,117.0,3.0,3.0,204.0,881.0,10.0,36.0,5.0,644.0,14.0,2.0,1.0,,2.0,1.0,4.0,20.0,705.0,65.0,3.0,97299,6.0,328.0,2.0,9.0,340.0,1.0,,5.0,2.0,31.0,3.0,3.0,2.0,1.0,17.0,1.0,1.0,1.0,1.0,44.0,653.0,11.0,,1.0,4.0,2.0,61.0,1.0,,0.0,,,2.0,1.0,6.0,1.0,3.0,70.6,20.0,1.0,4.0,2.0,2.0,6.0,49.0,9.0,,717.0,5.0,3.0,25.0,5.0,37.0,1.0,4.0,402.0,9.0,5.0,12.0,123.0,33.0,1.0,,2.0,16.0,10.0,3.0,17.0,,5.0,9.0,,,1.0,2.0,,1.0,,2.0,1.0,,2.0,1.0,,1.0,,,2.0,,1.0,,1.0,,,1.0,,,,,,2.0,1.0,,2.0,1.0,2.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,
16,2292964,2022-11-12 12:30:00,"Etihad Stadium, Manchester",52786,Home,Manchester City,Brentford,1,2,L,1,1,0,0,,24.0,56.0,,11.0,17.0,12.0,11.0,14.0,17.0,5.0,1.0,156.0,7.0,9.0,8.0,1.0,1.0,21.0,6.0,190.0,143.0,45.0,,29.0,3.0,20.0,,1.0,,38.0,7.0,12.0,10.0,3.0,44.0,386.0,,,0.0,300.0,9.0,2.0,100.0,56.0,17.0,85.0,1.0,28.0,13.0,12.0,,16.0,6.0,143.0,1.0,8.0,191.0,812.0,19.0,62.0,3.0,515.0,22.0,11.0,1.0,,2.0,2.0,4.0,16.0,606.0,56.0,1.0,97299,12.0,153.0,1.0,11.0,175.0,4.0,,4.0,4.0,44.0,3.0,2.0,8.0,,9.0,2.0,4.0,5.0,,34.0,530.0,6.0,5.0,1.0,5.0,6.0,42.0,,,0.0,2.0,5.0,1.0,0.0,5.0,,3.0,74.6,16.0,,5.0,4.0,8.0,14.0,29.0,10.0,3.0,622.0,3.0,5.0,22.0,9.0,74.0,4.0,3.0,485.0,12.0,2.0,22.0,242.0,20.0,1.0,,11.0,9.0,23.0,1.0,14.0,,4.0,10.0,2.0,,1.0,2.0,,2.0,2.0,1.0,2.0,,3.0,,2.0,,,,1.0,2.0,1.0,3.0,,,2.0,2.0,,,,,,3.0,1.0,,,1.0,,,,,2.0,1.0,2.0,,,,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,
17,2292976,2022-12-28 20:00:00,"Elland Road, Leeds",36889,Away,Manchester City,Leeds United,3,1,W,1,0,0,0,2.0,21.0,53.0,1.0,5.0,27.0,10.0,4.0,9.0,21.0,,1.0,196.0,9.0,4.0,8.0,3.0,3.0,22.0,9.0,194.0,122.0,39.0,,26.0,,5.0,,2.0,5.0,12.0,7.0,10.0,4.0,6.0,37.0,268.0,,,0.0,135.0,14.0,,93.0,60.0,12.0,102.0,3.0,8.0,23.0,5.0,,3.0,3.0,122.0,6.0,5.0,206.0,865.0,17.0,36.0,5.0,592.0,27.0,4.0,2.0,,3.0,4.0,10.0,24.0,678.0,51.0,3.0,97299,16.0,347.0,5.0,5.0,376.0,8.0,,11.0,6.0,38.0,4.0,1.0,5.0,3.0,13.0,4.0,6.0,3.0,,51.0,611.0,11.0,6.0,3.0,12.0,4.0,71.0,2.0,,0.0,3.0,,3.0,0.0,2.0,2.0,3.0,69.0,24.0,3.0,1.0,2.0,5.0,5.0,52.0,5.0,1.0,698.0,5.0,10.0,19.0,12.0,27.0,2.0,9.0,334.0,14.0,5.0,7.0,100.0,20.0,2.0,,4.0,13.0,19.0,3.0,11.0,,11.0,5.0,3.0,1.0,,3.0,1.0,4.0,3.0,2.0,5.0,1.0,2.0,1.0,3.0,,1.0,,,1.0,1.0,,2.0,,3.0,,,,1.0,1.0,,1.0,,,,,3.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
18,2292984,2022-12-31 15:00:00,"Etihad Stadium, Manchester",53444,Home,Manchester City,Everton,1,1,D,1,0,0,0,1.0,14.0,47.0,,4.0,26.0,7.0,5.0,4.0,11.0,,,161.0,11.0,7.0,4.0,1.0,3.0,16.0,3.0,208.0,118.0,40.0,,16.0,3.0,7.0,1.0,1.0,3.0,32.0,7.0,7.0,6.0,8.0,40.0,406.0,,,0.0,229.0,13.0,,124.0,91.0,10.0,83.0,2.0,26.0,19.0,5.0,,6.0,2.0,118.0,4.0,1.0,210.0,825.0,13.0,44.0,3.0,581.0,13.0,3.0,1.0,1.0,3.0,1.0,6.0,27.0,646.0,62.0,1.0,97299,6.0,198.0,3.0,17.0,208.0,7.0,1.0,4.0,,35.0,3.0,3.0,4.0,1.0,11.0,1.0,,,,36.0,597.0,14.0,3.0,2.0,4.0,2.0,67.0,1.0,,0.0,1.0,,1.0,0.0,4.0,1.0,3.0,73.7,27.0,2.0,6.0,1.0,4.0,7.0,57.0,7.0,,662.0,3.0,7.0,25.0,6.0,46.0,3.0,3.0,486.0,9.0,7.0,9.0,187.0,24.0,1.0,1.0,3.0,13.0,13.0,3.0,10.0,1.0,4.0,7.0,1.0,,,1.0,1.0,2.0,,1.0,,,,,,,,1.0,3.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,
19,2292993,2023-01-05 20:00:00,"Stamford Bridge, London",39998,Away,Manchester City,Chelsea,1,0,W,0,0,0,0,1.0,25.0,66.0,,2.0,30.0,14.0,5.0,7.0,7.0,2.0,,171.0,14.0,2.0,7.0,1.0,1.0,9.0,3.0,176.0,125.0,47.0,,12.0,1.0,8.0,,1.0,1.0,14.0,13.0,14.0,,6.0,28.0,318.0,1.0,,0.0,202.0,9.0,1.0,72.0,119.0,4.0,112.0,3.0,14.0,11.0,5.0,,5.0,2.0,125.0,3.0,6.0,153.0,805.0,8.0,24.0,10.0,532.0,22.0,10.0,1.0,,0.0,3.0,5.0,17.0,593.0,77.0,,97299,2.0,232.0,2.0,8.0,248.0,5.0,,10.0,6.0,55.0,1.0,1.0,5.0,1.0,15.0,2.0,4.0,1.0,,50.0,548.0,9.0,10.0,,14.0,2.0,66.0,,,0.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,52.3,13.0,,10.0,,6.0,3.0,51.0,2.0,,612.0,10.0,20.0,20.0,6.0,27.0,,3.0,378.0,4.0,6.0,12.0,168.0,28.0,,1.0,10.0,19.0,10.0,5.0,15.0,1.0,10.0,2.0,2.0,,,,3.0,,,2.0,,,2.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,
20,2293005,2023-01-14 12:30:00,"Old Trafford, Manchester",75546,Away,Manchester City,Manchester United,1,2,L,0,0,0,0,1.0,14.0,49.0,1.0,1.0,22.0,5.0,2.0,2.0,3.0,1.0,,166.0,6.0,4.0,6.0,1.0,,4.0,1.0,206.0,124.0,37.0,,5.0,1.0,9.0,,1.0,,20.0,1.0,5.0,1.0,2.0,40.0,282.0,,,0.0,168.0,5.0,,88.0,79.0,2.0,125.0,1.0,19.0,15.0,2.0,,7.0,1.0,124.0,1.0,6.0,240.0,878.0,3.0,28.0,4.0,629.0,11.0,3.0,1.0,1.0,0.0,4.0,2.0,13.0,708.0,51.0,,88248,2.0,380.0,,12.0,394.0,3.0,,7.0,4.0,38.0,,2.0,6.0,1.0,8.0,2.0,4.0,1.0,,36.0,658.0,15.0,9.0,,7.0,,57.0,,,0.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,70.6,10.0,1.0,5.0,,6.0,2.0,42.0,2.0,2.0,737.0,4.0,9.0,25.0,2.0,36.0,,1.0,363.0,1.0,2.0,10.0,121.0,27.0,,,3.0,6.0,5.0,1.0,12.0,,7.0,2.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,5.0,,,2.0,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
21,2293017,2023-01-22 14:00:00,"Etihad Stadium, Manchester",53282,Home,Manchester City,Wolverhampton Wanderers,3,0,W,1,0,0,0,3.0,15.0,58.0,2.0,,38.0,16.0,3.0,3.0,10.0,1.0,2.0,164.0,5.0,5.0,6.0,3.0,2.0,12.0,7.0,176.0,108.0,38.0,,13.0,1.0,9.0,,2.0,,24.0,5.0,16.0,4.0,3.0,39.0,297.0,1.0,1.0,0.0,186.0,10.0,,87.0,92.0,7.0,107.0,1.0,20.0,22.0,3.0,,4.0,1.0,108.0,4.0,6.0,140.0,746.0,10.0,45.0,6.0,515.0,16.0,11.0,2.0,,1.0,4.0,5.0,12.0,573.0,53.0,1.0,97299,7.0,234.0,2.0,15.0,253.0,6.0,,9.0,3.0,39.0,3.0,1.0,6.0,2.0,9.0,4.0,1.0,3.0,1.0,50.0,526.0,10.0,5.0,,8.0,,52.0,,,0.0,7.0,,3.0,0.0,5.0,2.0,4.0,55.3,10.0,3.0,8.0,,6.0,1.0,42.0,5.0,1.0,587.0,6.0,8.0,32.0,5.0,26.0,,4.0,358.0,6.0,3.0,14.0,157.0,27.0,3.0,2.0,11.0,8.0,12.0,5.0,13.0,2.0,9.0,5.0,1.0,,1.0,3.0,1.0,3.0,1.0,,3.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,2.0,,,2.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,2293028,2023-02-05 16:30:00,"Tottenham Hotspur Stadium, London",61747,Away,Manchester City,Tottenham Hotspur,0,1,L,0,1,0,1,,20.0,56.0,,4.0,14.0,13.0,5.0,3.0,10.0,2.0,,153.0,10.0,8.0,6.0,,7.0,9.0,5.0,170.0,123.0,59.0,1.0,15.0,1.0,9.0,,,,27.0,9.0,13.0,4.0,5.0,38.0,285.0,,,0.0,176.0,14.0,1.0,65.0,70.0,5.0,85.0,2.0,23.0,11.0,5.0,1.0,8.0,1.0,123.0,,9.0,148.0,741.0,7.0,33.0,7.0,464.0,24.0,4.0,,,3.0,4.0,4.0,11.0,531.0,57.0,,88248,4.0,210.0,,11.0,221.0,5.0,,7.0,6.0,43.0,,1.0,2.0,,17.0,3.0,6.0,,,30.0,487.0,18.0,6.0,2.0,6.0,6.0,54.0,,2.0,0.0,4.0,1.0,,0.0,6.0,,3.0,64.8,9.0,1.0,7.0,1.0,2.0,5.0,39.0,6.0,,556.0,7.0,9.0,16.0,5.0,32.0,2.0,3.0,362.0,9.0,5.0,16.0,130.0,23.0,,1.0,4.0,19.0,7.0,2.0,11.0,1.0,7.0,6.0,1.0,,1.0,2.0,1.0,2.0,,3.0,2.0,,3.0,,,,,,4.0,,1.0,2.0,,1.0,,1.0,,,,,,5.0,2.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,4.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
23,2293037,2023-02-12 16:30:00,"Etihad Stadium, Manchester",53392,Home,Manchester City,Aston Villa,3,1,W,3,0,0,0,2.0,16.0,51.0,1.0,3.0,33.0,4.0,4.0,8.0,13.0,1.0,2.0,139.0,8.0,6.0,6.0,3.0,7.0,13.0,9.0,197.0,89.0,34.0,1.0,17.0,2.0,4.0,1.0,1.0,,18.0,3.0,4.0,7.0,4.0,45.0,298.0,,1.0,0.0,171.0,13.0,,70.0,65.0,11.0,100.0,1.0,12.0,13.0,4.0,1.0,3.0,,89.0,4.0,3.0,184.0,750.0,8.0,35.0,3.0,540.0,15.0,2.0,2.0,1.0,1.0,2.0,2.0,13.0,601.0,71.0,3.0,88248,9.0,266.0,4.0,6.0,282.0,6.0,,5.0,2.0,32.0,5.0,1.0,6.0,1.0,6.0,3.0,2.0,2.0,1.0,52.0,558.0,14.0,9.0,3.0,5.0,4.0,65.0,,1.0,0.0,4.0,,3.0,0.0,3.0,2.0,4.0,67.2,12.0,1.0,5.0,1.0,6.0,5.0,52.0,8.0,,620.0,3.0,2.0,24.0,3.0,27.0,4.0,3.0,356.0,5.0,4.0,8.0,132.0,25.0,1.0,,2.0,7.0,9.0,4.0,11.0,,5.0,8.0,2.0,,1.0,3.0,,4.0,,,2.0,,2.0,,,,2.0,1.0,3.0,,2.0,,,,,3.0,,1.0,1.0,1.0,,5.0,1.0,,2.0,1.0,2.0,,,,1.0,,1.0,,,,,,3.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
24,2293047,2023-02-18 15:00:00,"The City Ground, Nottingham",29365,Away,Manchester City,Nottingham Forest,1,1,D,1,0,0,0,,21.0,59.0,,4.0,31.0,5.0,13.0,9.0,10.0,,1.0,186.0,15.0,11.0,14.0,1.0,5.0,17.0,6.0,195.0,134.0,42.0,2.0,23.0,2.0,13.0,,,4.0,34.0,7.0,5.0,10.0,7.0,36.0,391.0,,,0.0,263.0,6.0,,88.0,143.0,9.0,110.0,3.0,24.0,19.0,13.0,2.0,8.0,7.0,134.0,2.0,3.0,185.0,847.0,13.0,45.0,2.0,584.0,21.0,2.0,1.0,,0.0,1.0,8.0,27.0,664.0,83.0,1.0,88248,7.0,215.0,5.0,14.0,228.0,3.0,2.0,19.0,4.0,36.0,3.0,,2.0,,11.0,1.0,4.0,2.0,,57.0,595.0,8.0,4.0,3.0,20.0,6.0,66.0,3.0,,0.0,,,,0.0,6.0,1.0,4.0,73.0,23.0,2.0,3.0,1.0,2.0,6.0,46.0,10.0,,676.0,2.0,4.0,20.0,11.0,50.0,5.0,3.0,482.0,10.0,6.0,10.0,210.0,32.0,,,2.0,10.0,14.0,2.0,23.0,,6.0,10.0,2.0,,,2.0,3.0,2.0,,,4.0,,3.0,,,1.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,1.0,1.0,2.0,3.0,,1.0,,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
25,2293050,2023-02-25 17:30:00,"Vitality Stadium, Bournemouth",10481,Away,Manchester City,Bournemouth,4,1,W,3,0,0,0,3.0,30.0,62.0,1.0,5.0,15.0,16.0,6.0,9.0,14.0,1.0,2.0,201.0,12.0,4.0,8.0,4.0,2.0,11.0,5.0,210.0,111.0,52.0,1.0,20.0,2.0,10.0,,1.0,3.0,16.0,17.0,16.0,5.0,13.0,39.0,349.0,,,0.0,164.0,9.0,,65.0,84.0,6.0,123.0,1.0,11.0,25.0,6.0,1.0,2.0,3.0,111.0,1.0,11.0,216.0,933.0,8.0,41.0,6.0,658.0,24.0,4.0,1.0,,2.0,5.0,5.0,11.0,730.0,63.0,2.0,88248,10.0,331.0,,9.0,359.0,4.0,1.0,9.0,7.0,46.0,4.0,2.0,7.0,3.0,8.0,2.0,6.0,1.0,,26.0,676.0,9.0,12.0,2.0,4.0,5.0,82.0,1.0,,0.0,4.0,,4.0,0.0,2.0,1.0,3.0,66.0,11.0,2.0,6.0,1.0,7.0,7.0,66.0,6.0,2.0,750.0,6.0,9.0,26.0,8.0,29.0,2.0,5.0,407.0,8.0,13.0,9.0,136.0,24.0,2.0,,4.0,26.0,14.0,5.0,14.0,,9.0,6.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,2.0,,3.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,2.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
26,2293066,2023-03-04 12:30:00,"Etihad Stadium, Manchester",53419,Home,Manchester City,Newcastle United,2,0,W,1,0,0,0,1.0,19.0,64.0,,1.0,27.0,24.0,4.0,4.0,7.0,2.0,1.0,173.0,9.0,2.0,12.0,2.0,3.0,9.0,3.0,129.0,115.0,46.0,2.0,11.0,1.0,7.0,1.0,2.0,,18.0,6.0,24.0,3.0,5.0,36.0,215.0,1.0,,0.0,127.0,8.0,1.0,89.0,45.0,5.0,110.0,1.0,15.0,16.0,4.0,2.0,2.0,3.0,115.0,2.0,4.0,127.0,694.0,7.0,28.0,4.0,446.0,27.0,8.0,2.0,1.0,2.0,2.0,4.0,17.0,517.0,51.0,,97299,2.0,253.0,1.0,12.0,278.0,4.0,,3.0,4.0,35.0,1.0,,,2.0,9.0,1.0,3.0,2.0,,51.0,466.0,12.0,12.0,,11.0,,55.0,,2.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,56.3,14.0,2.0,5.0,1.0,1.0,2.0,33.0,8.0,1.0,539.0,4.0,3.0,23.0,6.0,32.0,,3.0,279.0,5.0,5.0,9.0,100.0,28.0,,2.0,8.0,13.0,9.0,1.0,20.0,2.0,3.0,8.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,3.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,2.0,,,3.0,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,
