gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,attGoalLowRight,attIboxBlocked,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,goalFastbreak,attOboxTarget,cleanSheet,totalFastbreak,midfielderGoals,freekickCross,freekickTotal,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,sixYardBlock,attRfGoal,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attCorner,attFastbreak,shieldBallOop,attSvHighCentre,attFreekickMiss,accurateCornersIntobox,effectiveBlockedCross,attHdGoal,blockedCross,goalAssistSetplay,goalAssistDeadball,attSvLowLeft,attHdTarget,errorLeadToShot,punches,attBxLeft,accuratePullBack,postScoringAtt,attIboxPost,attSvHighLeft,attPostLeft,attHdPost,hitWoodwork,totalPullBack,attOboxPost,attPostHigh,attPostRight,attGoalHighCentre,attSetpiece,attCmissRight,attGoalHighRight,attOneOnOne,penaltyWon,attPenGoal,attFreekickGoal,attCmissHighRight,handBall,subsGoals,attLgLeft,attSvHighRight,clearanceOffLine,ownGoals,attIboxOwnGoal,errorLeadToGoal,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,ptsDroppedWinningPos,attObxLeft,foulThrowIn,attObxRight,attFreekickPost,secondYellow,attPenTarget,attObxdLeft,attFreekickTarget
1,2292815,2022-08-07 14:00:00,"King Power Stadium, Leicester",31794.0,Away,Brentford,Leicester City,2,2,D,0,1,0,0,1.0,1.0,16.0,55.0,2.0,34.0,16.0,3.0,3.0,5.0,3.0,2.0,1.0,136.0,1.0,7.0,1.0,4.0,2.0,1.0,7.0,3.0,125.0,116.0,35.0,8.0,1.0,14.0,1.0,2.0,1.0,2.0,16.0,6.0,16.0,5.0,1.0,37.0,165.0,1.0,1.0,0.0,86.0,5.0,1.0,2.0,3.0,85.0,56.0,3.0,87.0,1.0,1.0,11.0,14.0,3.0,4.0,1.0,116.0,2.0,5.0,109.0,604.0,6.0,7.0,10.0,8.0,372.0,23.0,4.0,7.0,1.0,0.0,3.0,4.0,12.0,438.0,46.0,2.0,61810,2.0,222.0,1.0,7.0,243.0,2.0,9.0,7.0,40.0,3.0,2.0,9.0,2.0,9.0,9.0,4.0,58.0,386.0,6.0,8.0,16.0,56.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,44.6,8.0,1.0,6.0,10.0,1.0,33.0,6.0,3.0,457.0,8.0,9.0,18.0,4.0,23.0,3.0,230.0,4.0,1.0,15.0,59.0,16.0,1.0,7.0,10.0,1.0,8.0,5.0,8.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292822,2022-08-13 17:30:00,"Gtech Community Stadium, Brentford",17051.0,Home,Brentford,Manchester United,4,0,W,4,0,0,0,,2.0,17.0,46.0,2.0,20.0,13.0,6.0,6.0,7.0,4.0,1.0,2.0,112.0,,11.0,2.0,8.0,4.0,6.0,6.0,7.0,45.0,135.0,38.0,13.0,2.0,14.0,2.0,2.0,3.0,,17.0,4.0,13.0,7.0,1.0,46.0,112.0,,1.0,0.0,111.0,6.0,,2.0,2.0,36.0,59.0,6.0,47.0,3.0,,10.0,19.0,6.0,1.0,2.0,135.0,2.0,7.0,51.0,421.0,2.0,7.0,22.0,8.0,154.0,17.0,3.0,9.0,3.0,0.0,4.0,,16.0,225.0,47.0,,61810,2.0,57.0,,7.0,84.0,3.0,19.0,12.0,42.0,,1.0,2.0,3.0,12.0,8.0,3.0,54.0,167.0,14.0,10.0,10.0,55.0,,1.0,,0.0,1.0,2.0,2.0,3.0,,4.0,0.0,1.0,1.0,1.0,33.3,10.0,,6.0,2.0,3.0,20.0,8.0,2.0,255.0,8.0,9.0,19.0,3.0,27.0,1.0,188.0,6.0,1.0,10.0,70.0,14.0,1.0,9.0,6.0,,4.0,5.0,11.0,10.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292833,2022-08-20 15:00:00,"Craven Cottage, London",21798.0,Away,Brentford,Fulham,2,3,L,1,2,0,0,,2.0,23.0,57.0,3.0,36.0,9.0,2.0,2.0,11.0,6.0,,2.0,160.0,1.0,11.0,4.0,8.0,2.0,,9.0,5.0,91.0,151.0,54.0,13.0,,20.0,2.0,,1.0,,11.0,5.0,9.0,3.0,3.0,61.0,118.0,2.0,,0.0,114.0,7.0,,2.0,2.0,57.0,30.0,5.0,64.0,1.0,,8.0,10.0,2.0,6.0,1.0,151.0,3.0,13.0,102.0,592.0,4.0,5.0,25.0,6.0,295.0,25.0,5.0,3.0,2.0,2.0,5.0,4.0,30.0,388.0,60.0,2.0,61810,5.0,201.0,1.0,1.0,226.0,3.0,10.0,6.0,43.0,3.0,7.0,4.0,1.0,16.0,5.0,3.0,82.0,315.0,11.0,4.0,21.0,76.0,,1.0,,0.0,1.0,6.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,56.3,24.0,3.0,6.0,4.0,4.0,35.0,3.0,2.0,417.0,6.0,7.0,25.0,4.0,29.0,3.0,202.0,7.0,3.0,23.0,61.0,18.0,1.0,3.0,12.0,3.0,9.0,4.0,13.0,6.0,3.0,,,1.0,4.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,1.0,3.0,3.0,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292842,2022-08-27 15:00:00,"Gtech Community Stadium, Brentford",17009.0,Home,Brentford,Everton,1,1,D,0,1,0,0,,1.0,18.0,50.0,3.0,18.0,12.0,6.0,7.0,14.0,6.0,1.0,1.0,164.0,1.0,7.0,7.0,5.0,1.0,1.0,14.0,5.0,144.0,143.0,48.0,20.0,4.0,17.0,4.0,1.0,,3.0,30.0,6.0,12.0,5.0,3.0,36.0,251.0,1.0,,0.0,157.0,8.0,1.0,2.0,1.0,74.0,86.0,8.0,59.0,1.0,1.0,25.0,13.0,6.0,8.0,1.0,143.0,2.0,8.0,147.0,708.0,11.0,2.0,31.0,8.0,409.0,21.0,4.0,6.0,1.0,2.0,5.0,6.0,25.0,491.0,59.0,,51927,9.0,185.0,2.0,17.0,208.0,6.0,6.0,7.0,56.0,1.0,,7.0,,9.0,6.0,7.0,48.0,429.0,8.0,9.0,18.0,60.0,,1.0,2.0,0.0,,5.0,3.0,1.0,1.0,1.0,0.0,5.0,,6.0,57.8,21.0,3.0,3.0,7.0,5.0,36.0,8.0,1.0,514.0,8.0,14.0,16.0,10.0,47.0,6.0,336.0,7.0,3.0,21.0,115.0,17.0,,6.0,14.0,1.0,13.0,5.0,13.0,6.0,8.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,6.0,,1.0,,,2.0,1.0,,1.0,1.0,,2.0,2.0,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292852,2022-08-30 19:30:00,"Selhurst Park, London",25043.0,Away,Brentford,Crystal Palace,1,1,D,0,0,0,0,1.0,1.0,32.0,63.0,2.0,36.0,5.0,1.0,4.0,8.0,3.0,,,165.0,,19.0,4.0,6.0,1.0,3.0,8.0,3.0,117.0,163.0,43.0,9.0,1.0,14.0,2.0,1.0,1.0,1.0,22.0,13.0,5.0,6.0,9.0,65.0,182.0,,,0.0,118.0,8.0,1.0,,,74.0,65.0,3.0,66.0,3.0,2.0,16.0,9.0,1.0,10.0,,163.0,5.0,7.0,134.0,664.0,4.0,7.0,27.0,14.0,367.0,29.0,2.0,2.0,1.0,2.0,3.0,5.0,20.0,458.0,57.0,,51927,4.0,208.0,4.0,6.0,232.0,3.0,9.0,10.0,50.0,,,5.0,1.0,22.0,6.0,8.0,69.0,386.0,11.0,7.0,15.0,82.0,,,,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,51.1,16.0,2.0,4.0,5.0,1.0,47.0,6.0,,482.0,14.0,10.0,40.0,5.0,40.0,4.0,272.0,1.0,7.0,12.0,78.0,25.0,,2.0,14.0,,4.0,5.0,17.0,5.0,6.0,2.0,,,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,1.0,3.0,4.0,,,,,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292861,2022-09-03 15:00:00,"Gtech Community Stadium, Brentford",,Home,Brentford,Leeds United,5,2,W,2,1,0,0,1.0,3.0,17.0,68.0,1.0,15.0,21.0,4.0,4.0,10.0,4.0,1.0,2.0,119.0,,9.0,3.0,13.0,5.0,5.0,5.0,8.0,30.0,136.0,63.0,14.0,,11.0,3.0,,,1.0,8.0,17.0,21.0,2.0,3.0,27.0,54.0,1.0,2.0,0.0,66.0,8.0,,2.0,,38.0,18.0,4.0,24.0,1.0,1.0,6.0,11.0,4.0,1.0,2.0,136.0,3.0,9.0,45.0,429.0,4.0,7.0,19.0,14.0,129.0,33.0,,9.0,,2.0,3.0,1.0,20.0,198.0,44.0,,61810,6.0,90.0,3.0,3.0,107.0,4.0,11.0,9.0,59.0,1.0,1.0,5.0,3.0,20.0,8.0,7.0,48.0,141.0,9.0,16.0,12.0,59.0,,,1.0,0.0,2.0,6.0,3.0,3.0,2.0,4.0,0.0,2.0,,,31.1,13.0,,9.0,5.0,1.0,20.0,2.0,,218.0,14.0,15.0,10.0,5.0,21.0,3.0,119.0,10.0,2.0,17.0,29.0,18.0,4.0,9.0,24.0,1.0,9.0,5.0,22.0,8.0,2.0,1.0,3.0,1.0,1.0,2.0,,,3.0,,,,,,2.0,2.0,2.0,,,,1.0,4.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2292878,2023-03-15 19:30:00,"St. Mary's Stadium, Southampton",30438.0,Away,Brentford,Southampton,2,0,W,1,0,0,0,,2.0,26.0,61.0,,23.0,24.0,3.0,6.0,7.0,,,1.0,138.0,1.0,18.0,4.0,10.0,2.0,2.0,7.0,5.0,62.0,140.0,67.0,11.0,2.0,17.0,2.0,1.0,1.0,1.0,11.0,11.0,24.0,1.0,1.0,53.0,81.0,,,0.0,85.0,10.0,,,2.0,58.0,22.0,6.0,45.0,2.0,1.0,10.0,32.0,4.0,1.0,1.0,140.0,3.0,3.0,44.0,491.0,4.0,7.0,26.0,14.0,167.0,22.0,3.0,9.0,2.0,2.0,3.0,1.0,17.0,258.0,54.0,,61810,3.0,109.0,1.0,7.0,131.0,3.0,15.0,10.0,53.0,,1.0,3.0,1.0,10.0,4.0,6.0,60.0,186.0,14.0,12.0,12.0,64.0,,,,0.0,1.0,3.0,1.0,2.0,,4.0,0.0,3.0,1.0,2.0,33.6,15.0,1.0,2.0,3.0,4.0,26.0,3.0,2.0,289.0,14.0,9.0,27.0,2.0,24.0,1.0,169.0,3.0,,24.0,37.0,27.0,1.0,9.0,20.0,,4.0,4.0,17.0,15.0,3.0,1.0,,1.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,,2.0,,,,2.0,,,2.0,,,,1.0,4.0,1.0,1.0,,,1.0,2.0,,2.0,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,3.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2292881,2022-09-18 12:00:00,"Gtech Community Stadium, Brentford",17122.0,Home,Brentford,Arsenal,0,3,L,0,2,0,0,1.0,,23.0,56.0,,31.0,16.0,1.0,,4.0,4.0,,1.0,139.0,,13.0,6.0,4.0,,3.0,5.0,2.0,58.0,135.0,55.0,5.0,,8.0,2.0,,,1.0,18.0,13.0,16.0,2.0,2.0,48.0,93.0,,,0.0,76.0,10.0,,2.0,1.0,34.0,35.0,2.0,55.0,2.0,1.0,16.0,9.0,1.0,5.0,1.0,135.0,1.0,8.0,69.0,487.0,3.0,6.0,14.0,12.0,223.0,30.0,6.0,8.0,,0.0,1.0,3.0,19.0,303.0,37.0,1.0,61810,3.0,151.0,1.0,9.0,181.0,8.0,5.0,4.0,40.0,2.0,3.0,3.0,,19.0,5.0,2.0,58.0,238.0,9.0,10.0,12.0,60.0,,,,0.0,1.0,3.0,4.0,,3.0,1.0,0.0,4.0,,3.0,36.1,14.0,2.0,4.0,3.0,,33.0,3.0,1.0,321.0,12.0,9.0,21.0,3.0,27.0,2.0,158.0,2.0,2.0,21.0,43.0,17.0,,8.0,21.0,2.0,3.0,4.0,7.0,5.0,3.0,,,,,1.0,,,1.0,,,,,,2.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2292890,2022-10-01 15:00:00,"Vitality Stadium, Bournemouth",10126.0,Away,Brentford,Bournemouth,0,0,D,0,0,0,0,,,24.0,60.0,,30.0,19.0,3.0,2.0,10.0,,,2.0,179.0,,11.0,6.0,6.0,,1.0,10.0,4.0,124.0,133.0,47.0,13.0,1.0,12.0,3.0,1.0,,,18.0,14.0,19.0,8.0,7.0,45.0,207.0,,,0.0,164.0,10.0,,,2.0,47.0,98.0,5.0,89.0,,3.0,10.0,15.0,3.0,7.0,1.0,133.0,1.0,5.0,138.0,706.0,8.0,1.0,22.0,7.0,424.0,22.0,3.0,10.0,,2.0,3.0,5.0,19.0,510.0,68.0,1.0,61810,4.0,239.0,1.0,3.0,261.0,3.0,7.0,8.0,40.0,1.0,2.0,5.0,,13.0,2.0,6.0,55.0,440.0,11.0,5.0,8.0,69.0,,2.0,,0.0,,7.0,1.0,,,,0.0,3.0,,3.0,58.0,17.0,2.0,12.0,5.0,4.0,44.0,8.0,2.0,530.0,7.0,8.0,20.0,5.0,38.0,4.0,287.0,8.0,7.0,10.0,115.0,20.0,,10.0,20.0,,8.0,5.0,12.0,7.0,8.0,1.0,,,3.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,2.0,,2.0,2.0,4.0,,,1.0,,3.0,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
10,2292907,2022-10-08 15:00:00,"St. James' Park, Newcastle",52067.0,Away,Brentford,Newcastle United,1,5,L,0,2,0,0,1.0,1.0,18.0,55.0,1.0,34.0,15.0,1.0,2.0,5.0,2.0,,1.0,131.0,,7.0,3.0,7.0,1.0,1.0,4.0,3.0,65.0,132.0,43.0,6.0,,15.0,1.0,1.0,,1.0,18.0,7.0,15.0,3.0,5.0,47.0,126.0,,,0.0,122.0,9.0,,2.0,2.0,42.0,51.0,3.0,58.0,2.0,,15.0,15.0,1.0,9.0,,132.0,,11.0,66.0,496.0,2.0,4.0,22.0,13.0,220.0,18.0,10.0,10.0,,1.0,6.0,1.0,14.0,289.0,56.0,,51927,2.0,116.0,,5.0,130.0,5.0,6.0,7.0,48.0,1.0,3.0,10.0,,15.0,6.0,4.0,67.0,239.0,13.0,10.0,18.0,58.0,,1.0,,0.0,1.0,9.0,1.0,1.0,5.0,2.0,0.0,3.0,,1.0,45.6,12.0,1.0,4.0,10.0,2.0,29.0,5.0,2.0,320.0,13.0,6.0,19.0,1.0,32.0,1.0,208.0,3.0,4.0,13.0,73.0,20.0,1.0,10.0,10.0,4.0,3.0,5.0,16.0,6.0,5.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,2.0,,,,,,,2.0,,2.0,,,1.0,,,,1.0,,,,,,,,2.0,,,,,2.0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
