fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
7,13,True,2025-08-16T16:30:00Z,0,4,1,Man City,16,904,0,0,0,40,0,0,0,1,0,0,0,40,127.8,113.3,50.0,27,40,24,66,10,0.17,0.33000000000000007,0.5,24.85,0,1527151,0,0,29.1,47.3,20,Wolves,32,15
12,4,False,2025-08-23T14:00:00Z,1,0,2,Bournemouth,17,868,0,0,0,10,0,0,0,3,1,3,0,85,146.6,76.3,29.0,43,38,21,75,10,0.36,0.36000000000000004,0.72,12.489999999999998,-66485,1672419,96196,162681,25.2,47.3,20,Wolves,33,15
30,9,True,2025-08-30T14:00:00Z,2,3,3,Everton,42,985,2,2,0,33,0,0,0,0,0,1,0,139,255.0,163.5,108.0,33,54,23,71,11,1.1099999999999999,0.48000000000000004,1.59,21.25,-171451,1538086,55743,227194,52.6,47.1,20,Wolves,34,16
39,15,False,2025-09-13T14:00:00Z,1,0,4,Newcastle,30,985,0,0,0,11,0,0,0,4,0,3,0,116,174.39999999999998,93.4,103.0,53,55,16,80,11,0.5000000000000001,0.5700000000000001,1.07,17.05,-120856,1483405,92634,213490,37.1,47.0,20,Wolves,35,16
50,11,True,2025-09-20T14:00:00Z,1,3,5,Leeds,28,943,1,1,0,33,0,0,0,1,0,1,0,110,221.8,238.6,188.0,19,52,28,62,11,1.74,1.23,2.9699999999999998,5.24,4958,1528936,136143,131185,64.8,46.9,20,Wolves,35,15
60,18,False,2025-09-27T19:00:00Z,1,1,6,Spurs,40,906,1,0,2,11,0,0,0,2,0,2,3,131,220.4,89.89999999999998,97.0,50,40,31,98,10,1.11,0.32,1.43,8.760000000000002,-76053,1459279,86310,162363,40.7,46.8,20,Wolves,35,15
70,6,True,2025-10-05T13:00:00Z,1,1,7,Brighton,39,914,0,1,1,11,0,0,0,2,0,5,3,154,181.8,71.10000000000001,56.0,40,50,26,86,10,0.5,0.3500000000000001,0.8500000000000001,11.719999999999999,-31468,1445069,67268,98736,30.9,46.7,20,Wolves,35,15
78,17,False,2025-10-18T14:00:00Z,2,0,8,Sunderland,22,897,0,0,0,20,1,0,0,0,0,1,0,109,173.2,164.7,127.0,50,39,15,81,10,0.8,1.1900000000000002,1.9900000000000002,6.500000000000001,-41401,1418341,61316,102717,46.5,46.6,20,Wolves,35,14
90,3,True,2025-10-26T14:00:00Z,2,3,9,Burnley,31,895,1,2,0,30,0,0,0,1,0,4,1,113,220.4,165.70000000000005,154.0,35,51,14,65,10,1.69,1.24,2.9299999999999997,14.3,-48774,1373770,25194,73968,54.0,46.6,20,Wolves,35,15
94,10,False,2025-11-01T15:00:00Z,3,0,10,Fulham,11,858,0,0,0,30,1,0,0,3,1,4,0,34,166.60000000000002,62.099999999999994,61.0,49,36,17,77,10,0.24000000000000002,0.31,0.55,13.46,-39869,1341384,30926,70795,29.0,46.5,20,Wolves,35,15
