gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attObxCentre,attFreekickTotal,attOboxBlocked,accurateKeeperSweeper,attOboxTarget,attSvLowLeft,goodHighClaim,interceptionsInBox,attemptsObox,freekickTotal,totalKeeperSweeper,accurateFreekickCross,attSvLowRight,goalsConceded,accurateCrossNocorner,shieldBallOop,totalHighClaim,goalsConcededIbox,bigChanceScored,attGoalLowLeft,attLfGoal,goals,attBxRight,goalAssistOpenplay,attMissLeft,goalAssist,offtargetAttAssist,penaltyConceded,attRfGoal,defenderGoals,goalsOpenplay,attCmissLeft,attIboxGoal,goalAssistIntentional,penaltyFaced,shotOffTarget,attIboxMiss,forwardGoals,attGoalLowRight,attCmissRight,goalFastbreak,attMissHighRight,attSvHighRight,attMissRight,attOboxMiss,attHdTarget,attCmissHigh,attMissHigh,attFreekickTarget,attCmissHighRight,attHdTotal,attHdMiss,totalPullBack,ownGoals,attSvHighCentre,attIboxOwnGoal,ptsDroppedWinningPos,errorLeadToGoal,attGoalHighRight,penaltyWon,midfielderGoals,attMissHighLeft,attCmissHighLeft,attPenGoal,goalAssistSetplay,attGoalLowCentre,ptsGainedLosingPos,attSvHighLeft,hitWoodwork,attObxLeft,attHdGoal,attObxdLeft,attFreekickMiss,attGoalHighLeft,attObxdRight,goalAssistDeadball,goalsConcededObox,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attOboxGoal,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,expectedAssists,attObpGoal,attFreekickGoal,foulThrowIn,expectedGoals,accuratePullBack,postScoringAtt,attIboxPost,attPostRight,attPostLeft,attLgCentre
1,1059705,2019-08-10 15:00:00,"Selhurst Park, London",25151.0,Home,Crystal Palace,Everton,0,0,D,0,0,0,1,1.0,58.0,1.0,4.0,12.0,21.0,3.0,6.0,2.0,1.0,128.0,1.0,8.0,1.0,5.0,2.0,50.0,166.0,71.0,6.0,18.0,2.0,1.0,2.0,14.0,14.0,21.0,6.0,2.0,29.0,1.0,79.0,1.0,0.0,108.0,16.0,1.0,1.0,1.0,57.0,29.0,5.0,35.0,8.0,19.0,3.0,166.0,1.0,1.0,7.0,55.0,467.0,4.0,11.0,19.0,10.0,147.0,24.0,3.0,12.0,2.0,5.0,30.0,243.0,59.0,1.0,1.0,82403,2.0,83.0,1.0,4.0,1.0,1.0,113.0,10.0,19.0,10.0,53.0,1.0,4.0,2.0,11.0,3.0,3.0,48.0,161.0,12.0,5.0,1.0,18.0,1.0,67.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,35.4,15.0,5.0,3.0,2.0,4.0,1.0,29.0,6.0,268.0,10.0,10.0,11.0,25.0,1.0,169.0,2.0,2.0,30.0,53.0,24.0,4.0,12.0,21.0,4.0,2.0,12.0,4.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059719,2019-08-18 14:00:00,"Bramall Lane, Sheffield",30197.0,Away,Crystal Palace,Sheffield United,0,1,L,0,0,0,0,3.0,43.0,,1.0,21.0,25.0,3.0,2.0,2.0,1.0,175.0,2.0,10.0,4.0,4.0,4.0,125.0,156.0,74.0,6.0,23.0,1.0,,1.0,12.0,15.0,25.0,4.0,9.0,45.0,,184.0,,0.0,143.0,11.0,1.0,,3.0,78.0,65.0,4.0,82.0,8.0,20.0,5.0,156.0,,,10.0,116.0,718.0,4.0,10.0,12.0,13.0,377.0,23.0,3.0,13.0,1.0,5.0,35.0,474.0,72.0,,1.0,86417,,210.0,,,,,240.0,4.0,20.0,9.0,62.0,,1.0,4.0,15.0,5.0,6.0,62.0,392.0,16.0,9.0,,18.0,,68.0,,2.0,0.0,1.0,8.0,2.0,2.0,0.0,57.5,32.0,1.0,1.0,4.0,2.0,,40.0,4.0,498.0,13.0,10.0,19.0,32.0,1.0,270.0,3.0,6.0,27.0,90.0,14.0,1.0,13.0,21.0,5.0,3.0,20.0,1.0,9.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059726,2019-08-24 15:00:00,"Old Trafford, Manchester",73454.0,Away,Crystal Palace,Manchester United,2,1,W,1,0,0,0,1.0,39.0,1.0,1.0,21.0,26.0,2.0,5.0,2.0,,118.0,1.0,9.0,2.0,2.0,3.0,38.0,122.0,56.0,5.0,23.0,1.0,1.0,,7.0,13.0,26.0,1.0,2.0,26.0,,75.0,,0.0,63.0,18.0,,1.0,1.0,48.0,20.0,1.0,31.0,6.0,15.0,,122.0,1.0,,14.0,44.0,409.0,1.0,11.0,16.0,16.0,131.0,20.0,8.0,10.0,4.0,6.0,15.0,198.0,35.0,,,86417,1.0,67.0,1.0,5.0,,1.0,95.0,14.0,15.0,20.0,57.0,,,,11.0,8.0,5.0,57.0,141.0,7.0,7.0,,19.0,,64.0,1.0,,0.0,,8.0,1.0,4.0,0.0,28.7,9.0,2.0,2.0,,1.0,,27.0,1.0,231.0,16.0,6.0,10.0,10.0,1.0,143.0,3.0,2.0,15.0,29.0,9.0,1.0,10.0,25.0,4.0,3.0,12.0,1.0,9.0,1.0,,,,,,,,,2.0,,,,,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059735,2019-08-31 15:00:00,"Selhurst Park, London",25248.0,Home,Crystal Palace,Aston Villa,1,0,W,0,0,0,1,1.0,53.0,,4.0,21.0,21.0,7.0,14.0,2.0,2.0,166.0,10.0,5.0,7.0,16.0,5.0,80.0,123.0,50.0,22.0,13.0,1.0,1.0,,30.0,9.0,21.0,12.0,3.0,26.0,,199.0,1.0,0.0,150.0,15.0,,1.0,4.0,58.0,66.0,7.0,58.0,19.0,10.0,3.0,123.0,1.0,,3.0,103.0,614.0,10.0,1.0,48.0,7.0,328.0,22.0,3.0,11.0,2.0,4.0,15.0,389.0,52.0,,,86417,8.0,154.0,1.0,12.0,2.0,2.0,163.0,11.0,10.0,4.0,57.0,,2.0,9.0,16.0,7.0,4.0,41.0,343.0,15.0,11.0,6.0,12.0,9.0,61.0,1.0,1.0,0.0,,2.0,2.0,,0.0,52.8,13.0,7.0,3.0,9.0,7.0,,45.0,13.0,407.0,7.0,10.0,14.0,50.0,7.0,274.0,10.0,3.0,13.0,107.0,13.0,3.0,11.0,18.0,10.0,3.0,14.0,3.0,3.0,13.0,,8.0,1.0,3.0,,3.0,,,,8.0,1.0,,1.0,1.0,,4.0,,,,,,,1.0,2.0,,4.0,,9.0,,1.0,,1.0,1.0,1.0,,,10.0,8.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059749,2019-09-14 15:00:00,"Tottenham Hotspur Stadium, London",59812.0,Away,Crystal Palace,Tottenham Hotspur,0,4,L,0,4,0,0,4.0,56.0,1.0,3.0,22.0,15.0,7.0,9.0,2.0,,136.0,4.0,8.0,3.0,9.0,6.0,83.0,125.0,56.0,11.0,20.0,4.0,,3.0,10.0,11.0,15.0,3.0,5.0,30.0,,111.0,,0.0,64.0,11.0,1.0,,3.0,45.0,29.0,8.0,61.0,7.0,14.0,1.0,125.0,,1.0,8.0,77.0,537.0,8.0,3.0,24.0,18.0,250.0,25.0,6.0,8.0,3.0,1.0,16.0,322.0,31.0,,1.0,86417,8.0,169.0,,3.0,,2.0,199.0,6.0,14.0,12.0,51.0,,,6.0,20.0,6.0,7.0,48.0,276.0,19.0,9.0,1.0,18.0,2.0,69.0,,,0.0,2.0,4.0,1.0,,0.0,35.9,11.0,2.0,1.0,6.0,3.0,,46.0,3.0,357.0,18.0,10.0,17.0,14.0,,168.0,1.0,4.0,15.0,44.0,18.0,,8.0,15.0,7.0,3.0,9.0,,3.0,3.0,,2.0,,,,2.0,,,3.0,2.0,,,3.0,,4.0,4.0,,,4.0,,,,,,,1.0,,1.0,,,,,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,2.0,,,,,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059755,2019-09-22 14:00:00,"Selhurst Park, London",25122.0,Home,Crystal Palace,Wolverhampton Wanderers,1,1,D,0,0,0,1,1.0,64.0,,1.0,22.0,18.0,4.0,6.0,3.0,2.0,160.0,3.0,22.0,3.0,7.0,4.0,123.0,158.0,76.0,13.0,17.0,4.0,,2.0,9.0,9.0,18.0,5.0,3.0,31.0,1.0,169.0,,0.0,149.0,7.0,1.0,,1.0,41.0,84.0,4.0,71.0,4.0,15.0,,158.0,1.0,,7.0,102.0,692.0,6.0,8.0,31.0,14.0,349.0,27.0,3.0,10.0,2.0,6.0,32.0,435.0,55.0,,,86417,3.0,193.0,1.0,3.0,,2.0,208.0,2.0,15.0,6.0,61.0,2.0,1.0,3.0,13.0,6.0,1.0,52.0,359.0,10.0,7.0,1.0,12.0,2.0,73.0,,1.0,0.0,4.0,7.0,3.0,1.0,0.0,49.9,26.0,5.0,1.0,3.0,4.0,,40.0,6.0,456.0,14.0,21.0,16.0,29.0,2.0,257.0,8.0,2.0,20.0,92.0,26.0,1.0,10.0,24.0,8.0,2.0,32.0,1.0,6.0,6.0,,7.0,1.0,3.0,,,,1.0,,7.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,3.0,,,,,,1.0,,,5.0,1.0,,,,,2.0,,1.0,4.0,1.0,,1.0,,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059765,2019-09-28 15:00:00,"Selhurst Park, London",25477.0,Home,Crystal Palace,Norwich City,2,0,W,1,0,0,0,,65.0,,5.0,25.0,13.0,4.0,12.0,3.0,1.0,156.0,5.0,11.0,2.0,12.0,3.0,93.0,138.0,54.0,15.0,11.0,,1.0,,21.0,10.0,13.0,4.0,5.0,38.0,,236.0,1.0,0.0,186.0,14.0,2.0,1.0,1.0,86.0,83.0,7.0,78.0,17.0,23.0,8.0,138.0,,,7.0,88.0,620.0,10.0,6.0,31.0,8.0,321.0,32.0,2.0,6.0,3.0,4.0,24.0,395.0,71.0,,,86417,8.0,102.0,,8.0,1.0,,119.0,10.0,23.0,7.0,53.0,,2.0,1.0,16.0,3.0,3.0,58.0,333.0,10.0,11.0,1.0,15.0,1.0,69.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,0.0,44.6,22.0,7.0,1.0,1.0,6.0,,39.0,5.0,415.0,8.0,13.0,19.0,36.0,2.0,317.0,8.0,4.0,15.0,140.0,20.0,1.0,6.0,18.0,13.0,3.0,15.0,1.0,11.0,5.0,,3.0,,1.0,1.0,1.0,,,1.0,3.0,,1.0,,,,3.0,,,,1.0,,1.0,2.0,3.0,1.0,,1.0,5.0,,1.0,,1.0,,2.0,,,6.0,5.0,,1.0,,,,1.0,1.0,1.0,,2.0,3.0,,,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059781,2019-10-05 17:30:00,"London Stadium, London",59912.0,Away,Crystal Palace,West Ham United,2,1,W,0,0,0,0,,65.0,,2.0,29.0,18.0,1.0,5.0,4.0,2.0,167.0,3.0,13.0,3.0,5.0,4.0,122.0,146.0,52.0,7.0,27.0,1.0,,1.0,9.0,6.0,18.0,2.0,8.0,36.0,1.0,182.0,,0.0,114.0,7.0,2.0,,2.0,67.0,62.0,4.0,94.0,7.0,15.0,2.0,146.0,2.0,1.0,8.0,106.0,668.0,3.0,8.0,24.0,9.0,382.0,29.0,5.0,7.0,2.0,1.0,19.0,472.0,57.0,,,86417,1.0,216.0,1.0,3.0,1.0,2.0,238.0,2.0,15.0,3.0,59.0,1.0,4.0,1.0,18.0,1.0,2.0,66.0,395.0,9.0,6.0,1.0,23.0,1.0,82.0,,1.0,0.0,3.0,2.0,3.0,3.0,0.0,48.3,17.0,4.0,1.0,1.0,2.0,,43.0,2.0,489.0,9.0,14.0,16.0,25.0,2.0,260.0,5.0,7.0,20.0,74.0,25.0,1.0,7.0,10.0,3.0,2.0,18.0,1.0,8.0,2.0,,2.0,,,,1.0,,,1.0,2.0,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059785,2019-10-19 17:30:00,"Selhurst Park, London",25480.0,Home,Crystal Palace,Manchester City,0,2,L,0,2,0,0,,52.0,3.0,1.0,21.0,26.0,2.0,5.0,9.0,1.0,110.0,1.0,11.0,3.0,5.0,2.0,61.0,115.0,47.0,7.0,21.0,2.0,,1.0,8.0,7.0,26.0,1.0,5.0,26.0,,106.0,,0.0,99.0,8.0,4.0,,1.0,43.0,33.0,3.0,44.0,7.0,17.0,6.0,115.0,,,17.0,61.0,469.0,4.0,6.0,11.0,22.0,194.0,24.0,3.0,13.0,1.0,3.0,13.0,251.0,50.0,,1.0,86417,3.0,102.0,1.0,,1.0,1.0,117.0,5.0,17.0,11.0,56.0,,3.0,3.0,20.0,4.0,5.0,57.0,207.0,10.0,16.0,1.0,18.0,1.0,59.0,,1.0,0.0,1.0,8.0,5.0,2.0,0.0,28.7,9.0,6.0,,3.0,2.0,,22.0,1.0,276.0,22.0,9.0,11.0,15.0,1.0,167.0,3.0,5.0,13.0,62.0,16.0,3.0,13.0,13.0,4.0,3.0,13.0,3.0,11.0,1.0,,2.0,1.0,1.0,,,,,7.0,2.0,1.0,,,,2.0,,,,2.0,,,,,1.0,,,,2.0,,,,,,,,,3.0,2.0,,,,,1.0,,,1.0,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1059792,2019-10-27 16:30:00,"Emirates Stadium, London",60345.0,Away,Crystal Palace,Arsenal,2,2,D,1,2,0,0,,63.0,1.0,4.0,34.0,26.0,2.0,8.0,4.0,1.0,139.0,7.0,8.0,3.0,8.0,4.0,68.0,134.0,65.0,10.0,17.0,2.0,1.0,2.0,25.0,11.0,26.0,4.0,6.0,28.0,,152.0,,0.0,108.0,9.0,3.0,1.0,5.0,71.0,50.0,6.0,67.0,21.0,6.0,6.0,134.0,1.0,1.0,10.0,71.0,554.0,6.0,8.0,24.0,9.0,244.0,26.0,13.0,15.0,0.0,1.0,13.0,316.0,53.0,,,86417,6.0,122.0,,10.0,1.0,1.0,139.0,2.0,6.0,12.0,54.0,,1.0,2.0,12.0,5.0,7.0,61.0,267.0,18.0,8.0,1.0,24.0,,65.0,1.0,,0.0,4.0,12.0,3.0,2.0,0.0,43.8,13.0,3.0,1.0,2.0,4.0,,41.0,5.0,345.0,9.0,14.0,14.0,24.0,,231.0,5.0,4.0,25.0,71.0,31.0,4.0,15.0,14.0,8.0,2.0,15.0,4.0,5.0,5.0,1.0,1.0,,,,,,,1.0,2.0,,,2.0,,2.0,7.0,1.0,,2.0,2.0,,,2.0,,1.0,,1.0,2.0,,1.0,,1.0,,2.0,1.0,,2.0,,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,,,2.0,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
