gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attFreekickGoal,goalsConcededObox,redCard,attIboxGoal,goalsConceded,attOboxGoal,yellowCard,attGoalLowLeft,attGoalLowRight,totalRedCard,winningGoal,midfielderGoals,fastestPlayer,attLfGoal,attGoalLowCentre,attRfGoal,goals,attGoalHighCentre,keeperGoals,ownGoals,defenderGoals,goalsOpenplay,subsGoals,attPenGoal,attHdGoal,goalsConcededIbox,attGoalHighLeft,attGoalHighRight,attObpGoal,totalYelCard,ballRecovery,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalChippedPass,accurateFwdZonePass,totalFinalThirdPasses,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,possLostCtrl,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,outfielderBlock,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,totalDistance,totalPullBack,goalKicks,duelLost,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,totalLaunches,longPassOwnToOpp,accurateCrossNocorner,possessionPercentage,accurateThrows,attBxLeft,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,totalContest,expectedGoals,wonCorners,bigChanceScored,attObxCentre,attLfTotal,saves,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCornersIntobox,totalLayoffs,expectedGoalsOnTargetConceded,attMissHighRight,cleanSheet,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,interceptionsInBox,attMissRight,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,bigChanceCreated,attemptsConcededIbox,totalFlickOn,goalAssist,totalKeeperSweeper,offtargetAttAssist,expectedGoalsFreekick,accurateThroughBall,errorLeadToShot,attBxCentre,bigChanceMissed,attSetpiece,attemptedTackleFoul,blockedPass,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,attMissHigh,challengeLost,attAssistSetplay,attCorner,attFastbreak,punches,overrun,lostCorners,savedIbox,accurateFlickOn,goalAssistIntentional,shieldBallOop,attHdTotal,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,totalHighClaim,shotOffTarget,accurateCornersIntobox,attIboxMiss,accurateLayoffs,forwardGoals,effectiveBlockedCross,subsMade,blockedCross,successfulPutThrough,attLfTarget,attIboxBlocked,attOboxTarget,attOneOnOne,attSvHighLeft,attSvLowLeft,attHdTarget,attCmissHigh,attSvHighCentre,errorLeadToGoal,handBall,savedObox,attCmissRight,attMissHighLeft,penaltyConceded,attCmissLeft,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attBxRight,postScoringAtt,attIboxPost,hitWoodwork,totalOffside,attPostRight,attSvLowRight,attHdPost,sixYardBlock,attFreekickTarget,goalAssistSetplay,attPenTarget,penaltyWon,contentiousDecision,penaltySave,clearanceOffLine,attPostLeft,goalAssistDeadball,accurateFreekickCross,attSvHighRight,attCmissHighRight,attLgCentre,attPostHigh,attIboxOwnGoal,ptsGainedLosingPos,attFreekickMiss,foulThrowIn,attFreekickPost,attOboxPost,attObxdLeft
1,2561901,2025-08-16 17:30:00,"Molineux Stadium, Wolverhampton",31118.0,Away,Manchester City,Wolverhampton Wanderers,4,0,W,2.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.2679,13.0,22.0,8.0,,150.0,6.0,14.0,9.0,4.0,167.0,109.0,55.0,15.0,5.0,,,20.0,11.0,22.0,21.0,270.0,134.0,66.0,65.0,4.0,90.0,15.0,14.0,109.0,156.0,765.0,4.0,28.0,7.0,494.0,11.0,1.0,12.0,3.0,1.46095,17.0,543.0,48.0,33.69,578153,246.0,8.0,260.0,117073.5,1.0,3.0,42.0,15.0,1.0,30.0,510.0,13.0,9.0,53.0,3.0,58.4,16.0,2.0,36.0,5.0,563.0,7.0,14.0,12.0,28.0,323.0,7.0,10.0,112.0,18.0,12.0,18.0,10.0,25.0,2.4666,6.0,1.0,7.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,5.0,7.0,0.7363,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,5.0,0.1217,1.0,2.0,4.0,2.0,1.0,5.0,6.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,4.0,1.0,7.0,3.0,5.0,7.0,2.0,3.0,5.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561912,2025-08-23 12:30:00,"Etihad Stadium, Manchester",52491.0,Home,Manchester City,Tottenham Hotspur,0,2,L,0.0,2.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,47.0,0.6394,15.0,23.0,6.0,2.0,172.0,5.0,7.0,8.0,4.0,129.0,130.0,51.0,10.0,8.0,2.0,2.0,19.0,10.0,23.0,26.0,214.0,149.0,48.0,64.0,7.0,77.0,13.0,15.0,130.0,147.0,728.0,7.0,34.0,6.0,434.0,13.0,4.0,17.0,2.0,1.55615,23.0,499.0,47.0,34.01,433036,247.0,5.0,268.0,114392.16,1.0,10.0,47.0,19.0,7.0,39.0,456.0,12.0,15.0,54.0,4.0,61.4,22.0,,32.0,7.0,525.0,6.0,16.0,15.0,29.0,276.0,4.0,12.0,114.0,20.0,17.0,20.0,7.0,15.0,1.5525,7.0,,4.0,4.0,3.0,2.0,1.0,,1.0,,3.0,,,,6.0,17.0,2.0815,1.0,,7.0,2.0,,1.0,,,1.0,4.0,,7.0,1.0,2.0,10.0,1.0,,4.0,1.0,,1.0,1.0,4.0,2.0,,4.0,6.0,2.0,5.0,2.0,1.0,8.0,1.0,3.0,,,3.0,2.0,3.0,1.0,,,2.0,1.0,6.0,5.0,3.0,,3.0,1.0,2.0,16.0,,,5.0,,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561916,2025-08-31 14:00:00,"American Express Stadium, Falmer",31485.0,Away,Manchester City,Brighton and Hove Albion,1,2,L,1.0,0.0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,50.0,1.0956,19.0,15.0,8.0,,152.0,1.0,14.0,8.0,3.0,157.0,108.0,58.0,12.0,9.0,2.0,1.0,5.0,7.0,15.0,22.0,238.0,127.0,53.0,67.0,4.0,111.0,3.0,23.0,108.0,145.0,735.0,6.0,24.0,9.0,469.0,15.0,5.0,14.0,2.0,1.46205,16.0,536.0,38.0,35.67,578153,256.0,2.0,283.0,109499.03,1.0,7.0,47.0,12.0,6.0,42.0,493.0,15.0,20.0,57.0,1.0,63.7,16.0,,38.0,2.0,565.0,9.0,8.0,13.0,13.0,287.0,2.0,14.0,103.0,23.0,14.0,15.0,10.0,23.0,1.8202,2.0,1.0,4.0,7.0,5.0,1.0,,,1.0,2.0,1.0,1.0,,3.0,2.0,15.0,3.0718,,,14.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,,,3.0,2.0,10.0,1.0,1.0,1.0,4.0,,3.0,,6.0,2.0,,6.0,9.0,4.0,3.0,2.0,2.0,8.0,1.0,2.0,2.0,,3.0,3.0,3.0,,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,8.0,1.0,5.0,13.0,1.0,,4.0,,9.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561932,2025-09-14 16:30:00,"Etihad Stadium, Manchester",52534.0,Home,Manchester City,Manchester United,3,0,W,1.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,2.2965,22.0,33.0,12.0,1.0,139.0,1.0,7.0,10.0,6.0,103.0,129.0,45.0,13.0,11.0,3.0,,2.0,7.0,33.0,30.0,151.0,96.0,61.0,32.0,6.0,68.0,1.0,14.0,129.0,120.0,619.0,7.0,26.0,10.0,340.0,23.0,5.0,17.0,2.0,1.62558,26.0,409.0,41.0,35.35,223094,202.0,1.0,225.0,113189.33,1.0,8.0,48.0,17.0,4.0,55.0,352.0,7.0,23.0,51.0,1.0,45.3,21.0,2.0,21.0,2.0,430.0,10.0,8.0,19.0,11.0,207.0,5.0,18.0,67.0,18.0,17.0,13.0,13.0,22.0,2.6315,2.0,2.0,1.0,7.0,2.0,1.0,,,,2.0,,3.0,1.0,3.0,1.0,15.0,0.1434,1.0,1.0,8.0,2.0,3.0,,,3.0,2.0,1.0,,,1.0,4.0,7.0,4.0,3.0,,4.0,,5.0,,5.0,2.0,,1.0,7.0,7.0,3.0,5.0,,6.0,,,2.0,3.0,3.0,4.0,1.0,2.0,3.0,,1.0,,3.0,3.0,,,7.0,,5.0,15.0,2.0,1.0,4.0,1.0,7.0,2.0,,,3.0,,2.0,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,2561936,2025-09-21 16:30:00,"Emirates Stadium, London",60161.0,Away,Manchester City,Arsenal,1,1,D,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,48.0,1.1089,19.0,60.0,4.0,1.0,116.0,,10.0,5.0,3.0,57.0,126.0,51.0,5.0,15.0,2.0,1.0,4.0,9.0,60.0,26.0,121.0,89.0,39.0,47.0,3.0,55.0,3.0,16.0,126.0,72.0,509.0,4.0,7.0,5.0,213.0,24.0,5.0,25.0,2.0,0.287525,24.0,276.0,48.0,34.89,465351,108.0,,130.0,121046.92,,8.0,51.0,17.0,5.0,47.0,229.0,11.0,22.0,51.0,,33.2,14.0,1.0,30.0,1.0,300.0,5.0,12.0,16.0,10.0,174.0,3.0,17.0,54.0,14.0,25.0,13.0,5.0,18.0,0.8672,2.0,1.0,1.0,2.0,2.0,,,,,2.0,,1.0,1.0,,1.0,6.0,1.237,,,10.0,1.0,3.0,2.0,,2.0,1.0,1.0,,1.0,1.0,2.0,11.0,6.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,3.0,5.0,1.0,2.0,1.0,1.0,6.0,,,2.0,4.0,2.0,11.0,2.0,,1.0,1.0,,,6.0,2.0,,,2.0,,1.0,4.0,1.0,4.0,5.0,4.0,5.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561951,2025-09-27 15:00:00,"Etihad Stadium, Manchester",52427.0,Home,Manchester City,Burnley,5,1,W,1.0,1.0,0,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,36.0,2.752,10.0,19.0,13.0,2.0,143.0,9.0,14.0,14.0,8.0,203.0,115.0,39.0,21.0,15.0,4.0,3.0,23.0,6.0,19.0,17.0,400.0,249.0,85.0,93.0,9.0,102.0,14.0,20.0,115.0,190.0,812.0,10.0,64.0,4.0,553.0,11.0,,12.0,5.0,1.52807,22.0,624.0,64.0,33.47,248875,175.0,9.0,194.0,110382.24,2.0,4.0,40.0,6.0,4.0,26.0,566.0,7.0,12.0,41.0,6.0,68.5,21.0,2.0,32.0,10.0,638.0,4.0,12.0,8.0,35.0,467.0,7.0,11.0,208.0,18.0,12.0,8.0,15.0,22.0,2.0282,10.0,3.0,8.0,11.0,1.0,1.0,,,5.0,,,2.0,,2.0,9.0,21.0,0.6136,,,5.0,1.0,,1.0,,,3.0,8.0,,4.0,2.0,3.0,5.0,2.0,2.0,,5.0,,1.0,,9.0,2.0,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,6.0,,,1.0,2.0,,1.0,2.0,1.0,3.0,2.0,4.0,2.0,6.0,,7.0,3.0,5.0,20.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,2561958,2025-10-05 16:30:00,"Gtech Community Stadium, Brentford",17140.0,Away,Manchester City,Brentford,1,0,W,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,0.6512,18.0,21.0,6.0,1.0,163.0,2.0,10.0,10.0,4.0,242.0,114.0,51.0,10.0,8.0,2.0,1.0,9.0,10.0,21.0,22.0,444.0,198.0,90.0,135.0,8.0,136.0,7.0,12.0,114.0,223.0,937.0,8.0,23.0,6.0,680.0,19.0,3.0,12.0,2.0,0.708794,17.0,744.0,59.0,33.44,223094,256.0,6.0,277.0,111154.34,,8.0,31.0,18.0,8.0,30.0,698.0,10.0,10.0,57.0,1.0,70.0,13.0,,44.0,2.0,764.0,6.0,7.0,9.0,20.0,496.0,3.0,17.0,170.0,19.0,12.0,14.0,9.0,19.0,0.8483,2.0,1.0,4.0,6.0,1.0,,,,2.0,,,1.0,,1.0,2.0,14.0,0.232,,1.0,6.0,,,,3.0,1.0,,4.0,,1.0,1.0,2.0,4.0,5.0,1.0,,2.0,,1.0,1.0,5.0,1.0,,2.0,3.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,,1.0,,3.0,5.0,4.0,4.0,2.0,1.0,1.0,13.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,2561970,2025-10-18 15:00:00,"Etihad Stadium, Manchester",52498.0,Home,Manchester City,Everton,2,0,W,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,1.4775,23.0,26.0,16.0,2.0,181.0,5.0,15.0,17.0,7.0,214.0,113.0,60.0,19.0,18.0,5.0,3.0,18.0,9.0,26.0,22.0,370.0,201.0,78.0,108.0,12.0,134.0,8.0,12.0,113.0,220.0,952.0,13.0,46.0,5.0,666.0,13.0,3.0,13.0,2.0,2.01254,23.0,729.0,69.0,33.86,465351,320.0,7.0,335.0,118108.42,2.0,3.0,49.0,15.0,3.0,38.0,685.0,13.0,13.0,70.0,2.0,71.1,21.0,2.0,51.0,11.0,749.0,5.0,10.0,14.0,29.0,432.0,6.0,17.0,167.0,19.0,13.0,15.0,16.0,23.0,2.385,11.0,1.0,3.0,10.0,1.0,1.0,1.0,,,1.0,,2.0,,1.0,10.0,20.0,0.0673,,1.0,8.0,1.0,1.0,,1.0,1.0,3.0,3.0,,1.0,3.0,6.0,4.0,3.0,2.0,,5.0,,6.0,1.0,11.0,5.0,1.0,3.0,5.0,8.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,,2.0,,3.0,2.0,3.0,4.0,7.0,1.0,5.0,3.0,2.0,20.0,2.0,2.0,5.0,2.0,5.0,3.0,7.0,,1.0,,,,,,,,,2.0,,,1.0,,,,2.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,2561977,2025-10-26 14:00:00,"Villa Park, Birmingham",41988.0,Away,Manchester City,Aston Villa,0,1,L,0.0,1.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,0.1635,10.0,19.0,14.0,,127.0,7.0,6.0,14.0,4.0,159.0,95.0,41.0,18.0,3.0,4.0,1.0,21.0,8.0,19.0,13.0,296.0,174.0,64.0,54.0,9.0,55.0,15.0,11.0,95.0,163.0,674.0,10.0,33.0,11.0,442.0,16.0,,12.0,5.0,1.10901,14.0,491.0,52.0,34.9,465351,166.0,11.0,174.0,117260.51,3.0,3.0,42.0,8.0,3.0,20.0,455.0,8.0,2.0,31.0,3.0,53.0,13.0,2.0,29.0,6.0,504.0,11.0,7.0,5.0,42.0,351.0,6.0,13.0,141.0,17.0,12.0,14.0,11.0,17.0,1.1836,6.0,,4.0,5.0,2.0,1.0,1.0,,2.0,2.0,2.0,,,2.0,6.0,9.0,0.8061,,,16.0,2.0,2.0,1.0,,4.0,,4.0,,3.0,2.0,1.0,8.0,1.0,,2.0,5.0,,2.0,,9.0,2.0,1.0,8.0,4.0,3.0,3.0,1.0,3.0,6.0,4.0,6.0,2.0,,2.0,5.0,2.0,,,1.0,7.0,2.0,7.0,3.0,9.0,,5.0,4.0,3.0,8.0,,,5.0,,4.0,2.0,7.0,,1.0,,,2.0,2.0,2.0,,1.0,,,,,,,,,3.0,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
10,2561990,2025-11-02 16:30:00,"Etihad Stadium, Manchester",52387.0,Home,Manchester City,Bournemouth,3,1,W,2.0,1.0,0,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,42.0,1.3927,16.0,23.0,13.0,3.0,152.0,4.0,13.0,13.0,8.0,130.0,126.0,42.0,15.0,7.0,4.0,2.0,16.0,7.0,23.0,30.0,240.0,144.0,47.0,72.0,9.0,92.0,9.0,18.0,126.0,119.0,683.0,9.0,43.0,9.0,411.0,20.0,3.0,11.0,1.0,0.947582,19.0,473.0,53.0,34.63,223094,189.0,8.0,216.0,118932.11,1.0,3.0,42.0,18.0,2.0,34.0,425.0,11.0,16.0,53.0,1.0,48.4,16.0,3.0,36.0,9.0,493.0,9.0,9.0,22.0,26.0,293.0,5.0,8.0,112.0,13.0,11.0,10.0,12.0,27.0,2.2165,10.0,2.0,2.0,8.0,4.0,1.0,1.0,1.0,,2.0,,3.0,1.0,,7.0,8.0,1.5424,,,8.0,1.0,3.0,,,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,6.0,3.0,,4.0,0.0408,1.0,,7.0,2.0,,6.0,5.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,,2.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,3.0,8.0,2.0,1.0,5.0,1.0,5.0,2.0,3.0,1.0,4.0,,1.0,,,1.0,1.0,,3.0,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
