gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,accurateKeeperSweeper,attMissLeft,attOboxMiss,attMissHighLeft,totalKeeperSweeper,shieldBallOop,handBall,attGoalLowCentre,accuratePullBack,attCmissRight,attFreekickTotal,postScoringAtt,attIboxPost,attMissHighRight,attSvHighRight,goodHighClaim,freekickTotal,attPostLeft,totalFlickOn,hitWoodwork,totalPullBack,attCmissHighLeft,punches,accurateFlickOn,totalHighClaim,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attSvHighLeft,accurateLaunches,cleanSheet,penaltyWon,contentiousDecision,attPenGoal,goalAssistDeadball,attLfGoal,attOboxGoal,sixYardBlock,defenderGoals,attHdGoal,errorLeadToShot,attGoalHighLeft,foulThrowIn,ptsGainedLosingPos,attGoalHighCentre,attCmissLeft,goalFastbreak,attPostHigh,attLgRight,attFreekickPost,attOboxPost,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,attCmissHighRight,expectedGoals,attCmissHigh,attFreekickTarget,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,attFreekickMiss,penaltySave,ownGoals,attIboxOwnGoal,secondYellow,attPenTarget,attObxRight
11,2367644,2023-11-04 17:30:00,"St. James' Park, Newcastle",52194.0,Home,Newcastle United,Arsenal,1,0,W,0,0,0,0,,1.0,40.0,,,,1.0,,21.0,26.0,3.0,1.0,5.0,1.0,,136.0,2.0,7.0,1.0,,9.0,2.0,68.0,113.0,47.0,9.0,14.0,1.0,1.0,,1.0,,10.0,11.0,,,26.0,,4.0,31.0,,138.0,0.0,94.0,14.0,,1.0,,,,36.0,51.0,6.0,50.0,,,10.0,18.0,4.0,2.0,113.0,1.0,5.0,,88.0,521.0,8.0,16.0,1.0,7.0,260.0,22.0,14.0,1.0,5.0,8.0,3.0,21.0,320.0,38.0,,,98747,1.0,135.0,,8.0,,153.0,8.0,1.0,5.0,10.0,46.0,,2.0,3.0,1.0,17.0,9.0,3.0,,55.0,271.0,9.0,7.0,,13.0,,67.0,1.0,1.0,0.0,2.0,11.0,1.0,1.0,,0.0,2.0,,2.0,40.9,19.0,1.0,,1.0,,3.0,4.0,34.0,,342.0,7.0,9.0,12.0,3.0,15.0,,2.0,199.0,6.0,4.0,13.0,67.0,13.0,1.0,1.0,14.0,18.0,,9.0,4.0,9.0,1.0,5.0,,3.0,,3.0,1.0,,,,,1.0,,,,,,,,,,,4.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,2367648,2023-11-11 17:30:00,"Vitality Stadium, Bournemouth",11201.0,Away,Newcastle United,Bournemouth,0,2,L,0,0,0,0,3.0,,65.0,,,3.0,,,24.0,18.0,4.0,4.0,4.0,8.0,2.0,163.0,,7.0,,1.0,4.0,5.0,129.0,146.0,52.0,8.0,14.0,2.0,,1.0,,2.0,9.0,16.0,,3.0,18.0,3.0,3.0,27.0,,160.0,0.0,117.0,4.0,5.0,,,2.0,1.0,48.0,57.0,3.0,71.0,1.0,,6.0,20.0,4.0,1.0,146.0,,15.0,,106.0,659.0,4.0,19.0,,6.0,357.0,32.0,8.0,,1.0,3.0,1.0,12.0,447.0,39.0,,,98747,1.0,217.0,,4.0,1.0,254.0,2.0,,11.0,7.0,56.0,,2.0,7.0,,14.0,4.0,6.0,,51.0,377.0,10.0,11.0,,15.0,1.0,55.0,,,0.0,1.0,6.0,5.0,,2.0,0.0,,,,52.4,12.0,,5.0,1.0,1.0,8.0,,29.0,5.0,469.0,6.0,14.0,12.0,3.0,16.0,,2.0,224.0,4.0,3.0,12.0,87.0,18.0,,,8.0,23.0,2.0,6.0,4.0,20.0,,11.0,5.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,7.0,,,,3.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2367664,2023-11-25 15:00:00,"St. James' Park, Newcastle",52227.0,Home,Newcastle United,Chelsea,4,1,W,1,1,0,1,1.0,3.0,57.0,2.0,1.0,1.0,3.0,1.0,21.0,2.0,5.0,3.0,9.0,3.0,,161.0,5.0,11.0,4.0,6.0,10.0,5.0,121.0,123.0,53.0,14.0,10.0,,,1.0,2.0,,22.0,10.0,,1.0,2.0,4.0,3.0,39.0,,216.0,0.0,156.0,13.0,1.0,,1.0,1.0,6.0,47.0,89.0,7.0,89.0,,2.0,18.0,18.0,5.0,4.0,123.0,3.0,4.0,,111.0,667.0,5.0,31.0,,9.0,402.0,20.0,2.0,3.0,4.0,,3.0,15.0,463.0,52.0,3.0,,98747,6.0,205.0,1.0,8.0,2.0,223.0,7.0,3.0,8.0,5.0,57.0,4.0,,4.0,3.0,12.0,3.0,4.0,,40.0,416.0,17.0,9.0,2.0,7.0,3.0,58.0,,,0.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,2.0,2.0,54.0,14.0,1.0,7.0,1.0,,4.0,5.0,39.0,4.0,482.0,9.0,16.0,22.0,4.0,31.0,2.0,2.0,281.0,9.0,3.0,5.0,123.0,26.0,2.0,1.0,2.0,20.0,,8.0,5.0,21.0,1.0,8.0,4.0,2.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14,2367675,2023-12-02 20:00:00,"St. James' Park, Newcastle",52214.0,Home,Newcastle United,Manchester United,1,0,W,0,0,0,0,3.0,1.0,65.0,1.0,,,6.0,,22.0,12.0,9.0,9.0,13.0,1.0,,182.0,4.0,11.0,1.0,3.0,17.0,4.0,134.0,131.0,62.0,22.0,10.0,2.0,,3.0,1.0,2.0,17.0,15.0,,1.0,12.0,6.0,16.0,34.0,,280.0,0.0,214.0,6.0,,,,1.0,1.0,70.0,82.0,8.0,86.0,,3.0,11.0,22.0,9.0,3.0,131.0,3.0,4.0,,120.0,712.0,16.0,41.0,,11.0,422.0,19.0,9.0,1.0,1.0,4.0,9.0,17.0,502.0,62.0,2.0,,98747,7.0,159.0,3.0,7.0,,174.0,4.0,1.0,9.0,4.0,36.0,2.0,,2.0,1.0,13.0,4.0,1.0,2.0,48.0,435.0,14.0,5.0,,12.0,3.0,57.0,,,0.0,2.0,3.0,1.0,1.0,,0.0,2.0,1.0,2.0,58.3,16.0,2.0,8.0,1.0,,2.0,7.0,39.0,7.0,522.0,11.0,9.0,19.0,11.0,41.0,2.0,4.0,365.0,11.0,15.0,20.0,161.0,35.0,1.0,1.0,9.0,17.0,,18.0,2.0,17.0,1.0,9.0,7.0,1.0,,2.0,6.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,5.0,1.0,4.0,,,3.0,2.0,,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,2.0817,0.1989,2.48301,0.09,1.0,2.4969,,,,,,,,,,,,,
15,2367681,2023-12-07 19:30:00,"Goodison Park, Liverpool",38198.0,Away,Newcastle United,Everton,0,3,L,0,0,0,0,1.0,,51.0,,,,2.0,,20.0,32.0,6.0,2.0,7.0,3.0,2.0,169.0,2.0,12.0,,3.0,9.0,3.0,137.0,133.0,50.0,13.0,19.0,2.0,1.0,1.0,,1.0,12.0,7.0,,1.0,32.0,1.0,10.0,33.0,1.0,175.0,0.0,121.0,8.0,1.0,1.0,,,1.0,47.0,71.0,3.0,90.0,,1.0,11.0,18.0,6.0,3.0,133.0,3.0,16.0,,143.0,739.0,9.0,23.0,,1.0,424.0,22.0,25.0,,0.0,7.0,6.0,19.0,505.0,59.0,,,81441,5.0,279.0,4.0,7.0,1.0,306.0,7.0,,8.0,13.0,53.0,,2.0,8.0,,9.0,5.0,9.0,4.0,53.0,452.0,18.0,5.0,,9.0,1.0,62.0,1.0,2.0,0.0,2.0,5.0,3.0,,3.0,0.0,2.0,,2.0,61.5,18.0,2.0,4.0,,,8.0,3.0,31.0,2.0,539.0,1.0,10.0,13.0,7.0,24.0,,3.0,245.0,9.0,9.0,10.0,81.0,15.0,,1.0,25.0,10.0,3.0,10.0,2.0,24.0,1.0,8.0,2.0,1.0,,1.0,4.0,,,2.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,2.0,,,,,1.0,2.0,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
16,2367696,2023-12-10 16:30:00,"Tottenham Hotspur Stadium, London",61171.0,Away,Newcastle United,Tottenham Hotspur,1,4,L,0,2,0,0,1.0,1.0,62.0,1.0,,3.0,,,29.0,20.0,3.0,2.0,6.0,7.0,,137.0,4.0,8.0,1.0,3.0,8.0,3.0,107.0,124.0,48.0,9.0,13.0,2.0,,,1.0,,19.0,12.0,,,20.0,6.0,2.0,43.0,,145.0,0.0,116.0,12.0,5.0,,1.0,2.0,1.0,32.0,56.0,5.0,66.0,1.0,2.0,13.0,26.0,3.0,4.0,124.0,2.0,18.0,,99.0,631.0,6.0,23.0,1.0,14.0,328.0,26.0,8.0,1.0,3.0,4.0,3.0,18.0,385.0,45.0,1.0,,81441,3.0,202.0,2.0,8.0,,225.0,11.0,1.0,15.0,9.0,71.0,1.0,3.0,9.0,1.0,8.0,5.0,4.0,1.0,52.0,343.0,10.0,16.0,1.0,12.0,1.0,50.0,,,0.0,,3.0,5.0,1.0,4.0,0.0,3.0,1.0,2.0,43.8,18.0,1.0,9.0,,,10.0,2.0,24.0,6.0,409.0,14.0,18.0,28.0,4.0,31.0,1.0,3.0,203.0,5.0,2.0,3.0,90.0,17.0,,1.0,8.0,27.0,4.0,8.0,5.0,21.0,1.0,15.0,6.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
17,2367705,2023-12-16 15:00:00,"St. James' Park, Newcastle",52055.0,Home,Newcastle United,Fulham,3,0,W,0,0,0,1,2.0,3.0,55.0,2.0,1.0,2.0,6.0,,19.0,6.0,8.0,9.0,19.0,4.0,3.0,231.0,9.0,11.0,3.0,6.0,23.0,10.0,170.0,116.0,51.0,27.0,4.0,5.0,,4.0,2.0,3.0,28.0,6.0,,2.0,6.0,1.0,12.0,29.0,,419.0,0.0,274.0,7.0,,,,1.0,4.0,96.0,132.0,14.0,104.0,1.0,2.0,27.0,12.0,8.0,3.0,116.0,5.0,3.0,1.0,191.0,890.0,21.0,54.0,2.0,8.0,612.0,14.0,2.0,2.0,0.0,,9.0,17.0,679.0,86.0,2.0,1.0,81441,5.0,219.0,3.0,20.0,4.0,231.0,6.0,1.0,2.0,3.0,36.0,4.0,2.0,9.0,2.0,3.0,3.0,3.0,1.0,32.0,629.0,12.0,3.0,,3.0,,64.0,,2.0,0.0,2.0,1.0,2.0,3.0,,0.0,9.0,,3.0,70.8,16.0,1.0,7.0,3.0,,9.0,7.0,49.0,5.0,696.0,8.0,5.0,16.0,10.0,55.0,,3.0,493.0,15.0,12.0,17.0,229.0,25.0,1.0,1.0,2.0,11.0,,23.0,5.0,28.0,1.0,2.0,5.0,1.0,,1.0,5.0,1.0,,1.0,,,3.0,1.0,,2.0,2.0,3.0,1.0,2.0,,1.0,2.0,2.0,4.0,,,2.0,2.0,,,,,,1.0,,,,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
18,2367712,2023-12-23 15:00:00,"Kenilworth Road, Luton",11042.0,Away,Newcastle United,Luton Town,0,1,L,0,1,0,0,,,55.0,,,1.0,5.0,,22.0,13.0,2.0,5.0,13.0,4.0,1.0,203.0,9.0,8.0,,1.0,12.0,2.0,123.0,146.0,64.0,15.0,10.0,2.0,,1.0,,1.0,23.0,14.0,,,13.0,5.0,12.0,31.0,,220.0,0.0,157.0,6.0,1.0,,,,1.0,44.0,71.0,7.0,86.0,4.0,3.0,18.0,19.0,2.0,7.0,146.0,1.0,9.0,,156.0,767.0,10.0,37.0,1.0,9.0,450.0,26.0,8.0,,2.0,2.0,5.0,19.0,542.0,50.0,1.0,1.0,78916,8.0,258.0,1.0,10.0,1.0,289.0,4.0,,10.0,13.0,42.0,2.0,3.0,5.0,,16.0,7.0,6.0,,51.0,469.0,11.0,13.0,2.0,14.0,4.0,75.0,,1.0,0.0,,6.0,3.0,,1.0,0.0,5.0,,5.0,65.2,18.0,3.0,3.0,,,5.0,6.0,43.0,7.0,568.0,9.0,11.0,15.0,7.0,41.0,4.0,6.0,302.0,5.0,12.0,16.0,118.0,20.0,,1.0,8.0,29.0,1.0,10.0,4.0,10.0,1.0,10.0,7.0,1.0,,3.0,1.0,1.0,,1.0,,,,3.0,,,,,,1.0,,,4.0,,,,,1.0,1.0,,,,,3.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
19,2367726,2023-12-26 12:30:00,"St. James' Park, Newcastle",52207.0,Home,Newcastle United,Nottingham Forest,1,3,L,1,1,0,0,,1.0,52.0,,,,6.0,,24.0,7.0,3.0,3.0,16.0,3.0,4.0,165.0,5.0,13.0,1.0,5.0,11.0,7.0,147.0,138.0,45.0,19.0,12.0,6.0,,3.0,,1.0,36.0,9.0,,,7.0,8.0,3.0,38.0,,268.0,0.0,181.0,10.0,2.0,,,,2.0,51.0,105.0,8.0,75.0,1.0,,28.0,22.0,3.0,8.0,138.0,2.0,10.0,,126.0,721.0,10.0,56.0,2.0,11.0,422.0,15.0,6.0,,3.0,2.0,3.0,20.0,489.0,51.0,,1.0,78916,8.0,181.0,3.0,18.0,,199.0,10.0,1.0,10.0,10.0,54.0,,,8.0,,17.0,5.0,9.0,,39.0,444.0,11.0,13.0,1.0,6.0,3.0,56.0,,2.0,0.0,,2.0,3.0,1.0,3.0,0.0,3.0,,3.0,62.0,20.0,1.0,9.0,2.0,2.0,8.0,6.0,46.0,10.0,513.0,11.0,12.0,23.0,6.0,54.0,2.0,3.0,350.0,13.0,3.0,9.0,144.0,19.0,1.0,,6.0,12.0,3.0,14.0,4.0,22.0,,10.0,10.0,,,4.0,3.0,2.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,3.0,,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
20,2367731,2024-01-01 20:00:00,"Anfield, Liverpool",57471.0,Away,Newcastle United,Liverpool,2,4,L,0,0,0,0,,2.0,61.0,1.0,1.0,2.0,1.0,1.0,17.0,39.0,1.0,1.0,4.0,10.0,1.0,138.0,1.0,13.0,2.0,1.0,4.0,3.0,83.0,129.0,58.0,5.0,9.0,,,2.0,1.0,1.0,5.0,13.0,,1.0,39.0,2.0,2.0,33.0,1.0,91.0,0.0,58.0,15.0,9.0,,,,1.0,54.0,18.0,3.0,49.0,1.0,,3.0,20.0,1.0,1.0,129.0,2.0,25.0,,80.0,563.0,2.0,12.0,,9.0,241.0,37.0,13.0,2.0,5.0,13.0,1.0,14.0,320.0,29.0,3.0,,81441,,174.0,,1.0,,212.0,14.0,1.0,10.0,8.0,54.0,5.0,3.0,4.0,1.0,18.0,9.0,3.0,,52.0,264.0,15.0,15.0,,23.0,1.0,49.0,,,0.0,2.0,7.0,9.0,2.0,4.0,0.0,,2.0,1.0,38.1,13.0,,2.0,1.0,,4.0,1.0,22.0,3.0,350.0,9.0,8.0,18.0,1.0,18.0,1.0,1.0,143.0,3.0,2.0,11.0,40.0,17.0,1.0,,13.0,20.0,4.0,4.0,3.0,20.0,,10.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,,,4.0,,,,1.0,,1.0,,,,,2.0,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,1.0,,,,,
21,2367746,2024-01-13 17:30:00,"St. James' Park, Newcastle",52190.0,Home,Newcastle United,Manchester City,2,3,L,2,1,0,0,,,57.0,,2.0,4.0,3.0,,15.0,29.0,2.0,2.0,10.0,8.0,2.0,107.0,3.0,1.0,2.0,,11.0,5.0,69.0,113.0,44.0,12.0,5.0,3.0,3.0,2.0,2.0,3.0,8.0,13.0,,,29.0,2.0,2.0,25.0,2.0,61.0,0.0,61.0,7.0,7.0,5.0,,,,10.0,23.0,10.0,44.0,2.0,2.0,6.0,17.0,2.0,3.0,113.0,3.0,15.0,,57.0,470.0,8.0,26.0,1.0,9.0,186.0,28.0,11.0,2.0,1.0,9.0,1.0,13.0,255.0,23.0,2.0,,81441,7.0,145.0,3.0,3.0,1.0,179.0,7.0,2.0,13.0,9.0,38.0,3.0,8.0,6.0,2.0,14.0,12.0,6.0,,44.0,203.0,7.0,16.0,1.0,20.0,,34.0,3.0,,0.0,,13.0,4.0,2.0,3.0,0.0,3.0,1.0,1.0,27.4,12.0,,6.0,1.0,,6.0,5.0,15.0,3.0,277.0,9.0,8.0,11.0,2.0,16.0,,2.0,106.0,9.0,2.0,12.0,38.0,16.0,2.0,,11.0,24.0,2.0,11.0,1.0,4.0,,13.0,3.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,6.0,,2.0,,1.0,1.0,,3.0,,1.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
22,2367748,2024-01-30 20:15:00,"Villa Park, Birmingham",42191.0,Away,Newcastle United,Aston Villa,3,1,W,2,0,0,0,,2.0,57.0,,1.0,1.0,4.0,1.0,22.0,27.0,1.0,1.0,13.0,4.0,3.0,137.0,5.0,5.0,3.0,3.0,11.0,5.0,87.0,113.0,53.0,14.0,7.0,3.0,3.0,1.0,,3.0,17.0,9.0,,,27.0,6.0,3.0,26.0,1.0,99.0,0.0,87.0,12.0,2.0,3.0,,,3.0,41.0,42.0,7.0,52.0,2.0,1.0,11.0,18.0,1.0,1.0,113.0,4.0,9.0,,83.0,539.0,7.0,29.0,,10.0,267.0,24.0,10.0,1.0,1.0,3.0,4.0,7.0,338.0,47.0,1.0,,78916,7.0,190.0,3.0,7.0,,210.0,10.0,2.0,9.0,4.0,41.0,2.0,4.0,6.0,,9.0,3.0,3.0,,45.0,284.0,14.0,9.0,3.0,16.0,7.0,51.0,3.0,,0.0,,8.0,4.0,3.0,1.0,0.0,1.0,1.0,3.0,39.0,7.0,2.0,4.0,2.0,,6.0,5.0,27.0,7.0,359.0,10.0,10.0,16.0,4.0,26.0,4.0,4.0,166.0,10.0,3.0,15.0,48.0,20.0,,3.0,10.0,19.0,1.0,7.0,3.0,8.0,3.0,9.0,7.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
23,2367766,2024-02-03 15:00:00,"St. James' Park, Newcastle",52211.0,Home,Newcastle United,Luton Town,4,4,D,2,2,0,0,,3.0,56.0,4.0,,,5.0,,24.0,9.0,5.0,7.0,14.0,4.0,2.0,167.0,4.0,9.0,4.0,5.0,11.0,6.0,106.0,171.0,61.0,19.0,16.0,2.0,3.0,1.0,3.0,1.0,26.0,16.0,,,9.0,6.0,4.0,39.0,,161.0,0.0,162.0,13.0,2.0,3.0,2.0,,4.0,44.0,62.0,7.0,65.0,1.0,1.0,20.0,24.0,5.0,6.0,171.0,3.0,10.0,1.0,93.0,645.0,8.0,32.0,,4.0,302.0,19.0,1.0,3.0,2.0,3.0,4.0,26.0,411.0,66.0,1.0,,78916,10.0,160.0,1.0,10.0,4.0,200.0,13.0,2.0,10.0,,58.0,4.0,,11.0,4.0,18.0,1.0,,1.0,56.0,317.0,16.0,15.0,,18.0,,50.0,3.0,1.0,0.0,1.0,2.0,4.0,3.0,4.0,0.0,3.0,2.0,1.0,54.2,24.0,1.0,7.0,2.0,,11.0,7.0,27.0,8.0,431.0,4.0,7.0,18.0,6.0,45.0,1.0,4.0,257.0,11.0,4.0,10.0,105.0,18.0,,1.0,1.0,26.0,4.0,15.0,3.0,16.0,1.0,10.0,8.0,2.0,,3.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,,3.0,,1.0,,,,,2.0,,,,3.0,,,,,,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,
24,2367774,2024-02-10 17:30:00,"The City Ground, Nottingham",29451.0,Away,Newcastle United,Nottingham Forest,3,2,W,2,2,0,0,,1.0,50.0,1.0,2.0,,,2.0,31.0,34.0,4.0,,3.0,1.0,1.0,179.0,4.0,4.0,3.0,2.0,5.0,5.0,170.0,127.0,43.0,7.0,11.0,1.0,,1.0,,,12.0,5.0,,1.0,34.0,2.0,5.0,37.0,,190.0,0.0,116.0,6.0,,,2.0,1.0,1.0,70.0,54.0,4.0,110.0,1.0,,10.0,13.0,4.0,5.0,127.0,1.0,5.0,,165.0,809.0,3.0,18.0,1.0,5.0,519.0,24.0,22.0,2.0,2.0,5.0,1.0,15.0,596.0,39.0,,1.0,78916,1.0,360.0,,4.0,1.0,389.0,6.0,3.0,5.0,12.0,47.0,,,4.0,1.0,19.0,8.0,12.0,1.0,60.0,546.0,9.0,11.0,,19.0,2.0,68.0,,1.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,62.3,14.0,,4.0,,,4.0,1.0,44.0,4.0,624.0,5.0,12.0,21.0,1.0,19.0,,,247.0,6.0,5.0,16.0,86.0,18.0,,2.0,22.0,14.0,,4.0,3.0,12.0,2.0,5.0,4.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,,,2.0,,,,1.0,,2.0,,,2.0,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2367784,2024-02-17 15:00:00,"St. James' Park, Newcastle",52224.0,Home,Newcastle United,Bournemouth,2,2,D,0,0,0,0,,2.0,62.0,,1.0,3.0,,,25.0,16.0,7.0,4.0,10.0,4.0,3.0,180.0,5.0,12.0,2.0,4.0,13.0,5.0,118.0,161.0,68.0,17.0,17.0,,1.0,1.0,,1.0,17.0,11.0,1.0,3.0,16.0,3.0,9.0,40.0,,180.0,0.0,134.0,9.0,4.0,1.0,,,2.0,46.0,48.0,4.0,84.0,,1.0,14.0,17.0,7.0,3.0,161.0,,6.0,1.0,96.0,692.0,13.0,39.0,,6.0,349.0,35.0,5.0,,1.0,2.0,9.0,21.0,443.0,48.0,2.0,,78916,6.0,201.0,,9.0,,240.0,9.0,2.0,8.0,8.0,52.0,4.0,,4.0,1.0,22.0,6.0,7.0,2.0,50.0,376.0,21.0,5.0,,16.0,2.0,65.0,1.0,,0.0,,2.0,2.0,2.0,2.0,0.0,5.0,,4.0,62.6,19.0,4.0,3.0,1.0,2.0,4.0,2.0,39.0,4.0,478.0,6.0,11.0,22.0,10.0,32.0,,8.0,255.0,9.0,9.0,19.0,99.0,20.0,1.0,3.0,5.0,16.0,2.0,14.0,4.0,24.0,3.0,8.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,2.0,,,1.0,1.0,1.0,,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
26,2367789,2024-02-24 20:00:00,"Emirates Stadium, London",60298.0,Away,Newcastle United,Arsenal,1,4,L,0,2,0,0,,,42.0,,1.0,1.0,,,24.0,21.0,,,3.0,4.0,1.0,149.0,3.0,7.0,1.0,1.0,3.0,2.0,116.0,120.0,38.0,3.0,16.0,1.0,1.0,,1.0,,7.0,5.0,,,21.0,,8.0,29.0,,113.0,0.0,82.0,6.0,3.0,1.0,,,1.0,43.0,38.0,2.0,65.0,4.0,,7.0,18.0,,3.0,120.0,,16.0,1.0,132.0,604.0,2.0,9.0,,5.0,347.0,18.0,10.0,1.0,0.0,5.0,1.0,16.0,432.0,32.0,2.0,,81441,1.0,260.0,,3.0,,301.0,5.0,,5.0,9.0,34.0,3.0,2.0,5.0,1.0,11.0,3.0,5.0,1.0,60.0,370.0,14.0,4.0,,21.0,,53.0,1.0,1.0,0.0,,9.0,4.0,1.0,4.0,0.0,3.0,1.0,1.0,45.2,16.0,,,2.0,,5.0,,23.0,,462.0,5.0,6.0,11.0,1.0,15.0,,1.0,168.0,2.0,8.0,6.0,56.0,14.0,,3.0,10.0,11.0,4.0,3.0,5.0,12.0,3.0,5.0,,,2.0,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,
