gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attLfGoal,goals,attBxRight,goalAssistOpenplay,attMissLeft,attOboxGoal,attSvLowLeft,goodHighClaim,crosses18yardplus,attOboxMiss,bigChanceCreated,subsGoals,attHdTarget,attMissHighLeft,accurateLaunches,goalAssist,attSetpiece,attRfGoal,attCmissHigh,totalThroughBall,totalOffside,goalsOpenplay,attMissHigh,attGoalHighLeft,overrun,attIboxGoal,goalAssistIntentional,shieldBallOop,attSvHighCentre,clearanceOffLine,totalHighClaim,forwardGoals,effectiveBlockedCross,blockedCross,goalsConcededObox,accurateThroughBall,errorLeadToShot,bigChanceMissed,punches,foulThrowIn,attRfTarget,attGoalLowCentre,attFreekickTotal,shotFastbreak,totalFastbreak,attSvHighLeft,freekickTotal,attFastbreak,attCmissHighRight,ptsDroppedWinningPos,errorLeadToGoal,handBall,attGoalLowLeft,attOboxTarget,midfielderGoals,attCmissLeft,postScoringAtt,attIboxPost,attSvHighRight,hitWoodwork,sixYardBlock,attSvLowRight,attPostRight,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,secondYellow,goalAssistSetplay,defenderGoals,penaltyWon,attPenGoal,attOneOnOne,cleanSheet,attPostLeft,attHdGoal,attFreekickMiss,attGoalHighRight,attCmissHighLeft,goalFastbreak,ptsGainedLosingPos,goalAssistDeadball,attFreekickTarget,attLgCentre,attHdPost,attPostHigh,penaltySave
1,2367538,2023-08-11 20:00:00,"Turf Moor, Burnley",21572,Home,Burnley,Manchester City,0,3,L,0,2,1,0,1.0,53.0,1.0,1.0,24.0,16.0,1.0,2.0,5.0,5.0,112.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,97.0,112.0,36.0,6.0,1.0,13.0,1.0,1.0,1.0,7.0,8.0,16.0,5.0,3.0,47.0,98.0,2.0,0.0,61.0,11.0,4.0,1.0,32.0,40.0,3.0,71.0,1.0,1.0,2.0,15.0,1.0,112.0,1.0,14.0,85.0,511.0,4.0,1.0,14.0,7.0,276.0,18.0,12.0,1.0,0.0,5.0,2.0,15.0,347.0,29.0,1.0,83283,2.0,195.0,1.0,216.0,5.0,2.0,7.0,5.0,44.0,8.0,13.0,3.0,3.0,53.0,290.0,8.0,3.0,1.0,5.0,1.0,49.0,0.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,34.4,12.0,1.0,9.0,2.0,8.0,2.0,22.0,6.0,365.0,7.0,5.0,23.0,3.0,17.0,2.0,3.0,156.0,3.0,3.0,13.0,36.0,18.0,12.0,12.0,3.0,5.0,5.0,15.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367552,2023-10-03 19:30:00,"Kenilworth Road, Luton",10918,Away,Burnley,Luton Town,2,1,W,1,0,0,0,1.0,67.0,,1.0,27.0,34.0,7.0,4.0,7.0,1.0,168.0,2.0,8.0,5.0,9.0,2.0,1.0,4.0,88.0,168.0,59.0,14.0,1.0,35.0,2.0,1.0,,12.0,9.0,34.0,4.0,6.0,30.0,169.0,,0.0,172.0,6.0,,,66.0,43.0,4.0,94.0,1.0,1.0,8.0,21.0,7.0,168.0,,15.0,62.0,615.0,4.0,5.0,28.0,7.0,278.0,30.0,17.0,1.0,2.0,6.0,5.0,21.0,377.0,65.0,,550839,2.0,128.0,6.0,160.0,2.0,2.0,9.0,12.0,64.0,4.0,14.0,3.0,3.0,79.0,295.0,13.0,9.0,3.0,35.0,2.0,79.0,0.0,7.0,2.0,1.0,1.0,0.0,,1.0,51.4,12.0,,7.0,2.0,4.0,2.0,30.0,6.0,412.0,7.0,6.0,13.0,8.0,18.0,2.0,3.0,264.0,9.0,5.0,26.0,116.0,20.0,17.0,15.0,1.0,9.0,4.0,16.0,9.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367562,2023-08-27 14:00:00,"Turf Moor, Burnley",21591,Home,Burnley,Aston Villa,1,3,L,0,2,0,0,,54.0,,1.0,17.0,14.0,3.0,2.0,6.0,3.0,150.0,5.0,8.0,2.0,9.0,,,2.0,170.0,111.0,35.0,9.0,,8.0,1.0,1.0,,16.0,4.0,14.0,3.0,6.0,40.0,269.0,1.0,0.0,149.0,12.0,1.0,1.0,81.0,53.0,3.0,110.0,1.0,1.0,13.0,6.0,3.0,111.0,,12.0,164.0,739.0,6.0,1.0,17.0,11.0,509.0,21.0,7.0,1.0,2.0,6.0,6.0,14.0,574.0,66.0,,83283,4.0,264.0,9.0,272.0,7.0,,,4.0,45.0,7.0,10.0,4.0,4.0,33.0,528.0,8.0,10.0,2.0,6.0,2.0,73.0,0.0,6.0,3.0,3.0,,0.0,3.0,2.0,56.9,13.0,1.0,7.0,2.0,7.0,1.0,50.0,4.0,594.0,11.0,9.0,21.0,6.0,26.0,2.0,3.0,338.0,5.0,6.0,10.0,107.0,19.0,7.0,10.0,2.0,7.0,5.0,14.0,,4.0,,,1.0,1.0,,1.0,1.0,,1.0,,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367571,2023-09-02 15:00:00,"Turf Moor, Burnley",21750,Home,Burnley,Tottenham Hotspur,2,5,L,1,2,0,0,,67.0,3.0,1.0,24.0,11.0,8.0,4.0,8.0,6.0,161.0,5.0,9.0,2.0,11.0,1.0,,4.0,115.0,133.0,53.0,16.0,5.0,9.0,2.0,1.0,,12.0,16.0,11.0,4.0,3.0,60.0,140.0,1.0,0.0,117.0,15.0,3.0,,45.0,35.0,7.0,87.0,2.0,1.0,8.0,15.0,8.0,133.0,,11.0,104.0,666.0,8.0,1.0,31.0,8.0,356.0,22.0,3.0,1.0,4.0,6.0,4.0,22.0,442.0,35.0,,83283,6.0,241.0,6.0,273.0,6.0,1.0,5.0,7.0,57.0,12.0,11.0,10.0,4.0,59.0,376.0,9.0,14.0,1.0,18.0,5.0,56.0,0.0,4.0,3.0,5.0,1.0,0.0,3.0,4.0,46.1,20.0,3.0,8.0,1.0,12.0,6.0,24.0,7.0,467.0,8.0,7.0,31.0,6.0,17.0,2.0,3.0,206.0,8.0,3.0,8.0,83.0,24.0,3.0,27.0,3.0,9.0,5.0,21.0,5.0,7.0,1.0,1.0,2.0,2.0,,2.0,3.0,,,,2.0,3.0,2.0,1.0,1.0,,3.0,2.0,1.0,,,3.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,,,1.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367584,2023-09-18 19:45:00,"The City Ground, Nottingham",28958,Away,Burnley,Nottingham Forest,1,1,D,1,0,1,0,,55.0,3.0,2.0,23.0,30.0,5.0,3.0,5.0,3.0,127.0,2.0,7.0,3.0,4.0,,,3.0,141.0,133.0,46.0,10.0,1.0,17.0,,1.0,1.0,18.0,7.0,30.0,4.0,4.0,43.0,148.0,1.0,0.0,108.0,10.0,1.0,2.0,75.0,55.0,3.0,80.0,,1.0,14.0,15.0,5.0,133.0,2.0,6.0,139.0,674.0,2.0,4.0,22.0,7.0,387.0,20.0,15.0,1.0,3.0,5.0,1.0,20.0,462.0,49.0,,60586,2.0,262.0,9.0,275.0,2.0,2.0,7.0,6.0,48.0,2.0,15.0,8.0,3.0,51.0,408.0,16.0,9.0,1.0,8.0,2.0,65.0,0.0,5.0,,1.0,2.0,1.0,,1.0,53.9,12.0,1.0,7.0,,2.0,3.0,33.0,4.0,487.0,7.0,7.0,24.0,4.0,26.0,2.0,3.0,230.0,6.0,3.0,14.0,68.0,22.0,15.0,10.0,,4.0,4.0,13.0,7.0,4.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,3.0,1.0,1.0,,,,3.0,1.0,1.0,,,,2.0,1.0,,,,,,1.0,,,1.0,,2.0,2.0,1.0,,,1.0,,,2.0,,,,,,,,,2.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367591,2023-09-23 20:00:00,"Turf Moor, Burnley",21593,Home,Burnley,Manchester United,0,1,L,0,1,0,0,1.0,60.0,1.0,2.0,23.0,14.0,4.0,3.0,8.0,3.0,140.0,2.0,10.0,4.0,10.0,,,4.0,184.0,124.0,47.0,12.0,1.0,11.0,3.0,,,24.0,6.0,14.0,5.0,6.0,36.0,230.0,1.0,0.0,157.0,6.0,2.0,2.0,65.0,96.0,6.0,125.0,,,19.0,19.0,4.0,124.0,,8.0,198.0,804.0,8.0,3.0,20.0,7.0,552.0,26.0,7.0,,1.0,5.0,4.0,9.0,625.0,46.0,,60586,2.0,344.0,12.0,373.0,2.0,,10.0,3.0,32.0,6.0,9.0,3.0,3.0,46.0,572.0,12.0,2.0,2.0,10.0,1.0,54.0,0.0,5.0,2.0,1.0,,0.0,1.0,2.0,61.8,6.0,1.0,5.0,1.0,6.0,3.0,38.0,9.0,647.0,7.0,4.0,17.0,5.0,30.0,1.0,2.0,298.0,7.0,4.0,12.0,126.0,23.0,7.0,13.0,1.0,9.0,5.0,19.0,10.0,9.0,,,,,2.0,,1.0,,1.0,1.0,5.0,2.0,1.0,,1.0,1.0,,,2.0,,1.0,4.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,3.0,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367603,2023-09-30 15:00:00,"St. James' Park, Newcastle",52163,Away,Burnley,Newcastle United,0,2,L,0,1,0,0,,74.0,2.0,3.0,19.0,23.0,2.0,1.0,6.0,5.0,146.0,1.0,9.0,,6.0,,,2.0,113.0,145.0,36.0,8.0,2.0,19.0,2.0,,1.0,6.0,6.0,23.0,2.0,6.0,47.0,112.0,,0.0,79.0,15.0,1.0,,42.0,49.0,6.0,98.0,,,4.0,20.0,2.0,145.0,,14.0,106.0,637.0,5.0,2.0,16.0,4.0,347.0,28.0,14.0,,3.0,7.0,,19.0,441.0,26.0,,550839,5.0,253.0,2.0,293.0,10.0,1.0,8.0,9.0,64.0,9.0,13.0,6.0,6.0,58.0,364.0,7.0,9.0,1.0,15.0,1.0,54.0,0.0,5.0,4.0,2.0,,0.0,,1.0,47.2,17.0,,3.0,,9.0,5.0,24.0,3.0,463.0,4.0,9.0,15.0,1.0,13.0,1.0,1.0,176.0,6.0,6.0,7.0,53.0,29.0,14.0,13.0,1.0,7.0,5.0,21.0,8.0,3.0,,,,,1.0,,1.0,,,1.0,2.0,,1.0,,1.0,,4.0,,,,,1.0,3.0,,,,2.0,,,2.0,,1.0,1.0,,,,1.0,,2.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,2367610,2023-10-07 15:00:00,"Turf Moor, Burnley",21654,Home,Burnley,Chelsea,1,4,L,1,1,0,0,,55.0,,2.0,24.0,9.0,5.0,3.0,5.0,2.0,104.0,1.0,8.0,1.0,8.0,,,3.0,96.0,117.0,50.0,10.0,2.0,9.0,,,,9.0,15.0,9.0,4.0,5.0,43.0,80.0,1.0,0.0,60.0,11.0,,,54.0,16.0,6.0,97.0,,,5.0,11.0,5.0,117.0,,7.0,93.0,562.0,6.0,1.0,9.0,4.0,309.0,17.0,5.0,,2.0,2.0,2.0,20.0,365.0,24.0,,550839,4.0,249.0,5.0,275.0,4.0,,4.0,5.0,49.0,9.0,13.0,3.0,2.0,43.0,328.0,8.0,8.0,1.0,6.0,3.0,40.0,0.0,3.0,2.0,4.0,,0.0,1.0,1.0,37.6,15.0,,5.0,,9.0,4.0,23.0,7.0,390.0,4.0,10.0,24.0,3.0,17.0,,2.0,124.0,6.0,4.0,10.0,41.0,19.0,5.0,24.0,4.0,5.0,5.0,20.0,4.0,7.0,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,2.0,1.0,,,,1.0,4.0,1.0,1.0,,3.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,1.0,,,3.0,,1.0,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,2367620,2023-10-21 15:00:00,"Gtech Community Stadium, Brentford",17029,Away,Burnley,Brentford,0,3,L,0,1,1,0,,64.0,3.0,,25.0,27.0,3.0,3.0,3.0,6.0,136.0,,9.0,1.0,5.0,,2.0,1.0,111.0,131.0,43.0,6.0,1.0,16.0,,1.0,,14.0,4.0,27.0,5.0,4.0,47.0,145.0,,0.0,96.0,12.0,4.0,1.0,35.0,53.0,2.0,84.0,2.0,3.0,9.0,16.0,3.0,131.0,,16.0,106.0,635.0,5.0,1.0,11.0,11.0,342.0,19.0,18.0,1.0,2.0,6.0,3.0,14.0,408.0,41.0,,83283,1.0,216.0,5.0,240.0,8.0,1.0,8.0,9.0,55.0,17.0,19.0,7.0,4.0,59.0,361.0,14.0,10.0,,13.0,1.0,56.0,0.0,5.0,4.0,3.0,,1.0,,,50.1,12.0,,1.0,1.0,17.0,1.0,23.0,5.0,437.0,11.0,9.0,15.0,4.0,17.0,,3.0,211.0,3.0,4.0,14.0,72.0,25.0,18.0,7.0,1.0,5.0,5.0,17.0,8.0,5.0,,,,,1.0,,,,,1.0,3.0,1.0,1.0,,,1.0,6.0,,,,,1.0,2.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10,2367628,2023-10-28 15:00:00,"Vitality Stadium, Bournemouth",11152,Away,Burnley,Bournemouth,1,2,L,1,1,0,0,2.0,61.0,1.0,,20.0,26.0,3.0,4.0,3.0,4.0,160.0,1.0,8.0,,5.0,,,3.0,100.0,148.0,43.0,6.0,1.0,15.0,1.0,1.0,1.0,11.0,9.0,26.0,2.0,1.0,40.0,140.0,,0.0,103.0,12.0,2.0,,42.0,72.0,4.0,100.0,3.0,,9.0,17.0,3.0,148.0,,8.0,110.0,658.0,4.0,5.0,17.0,9.0,353.0,24.0,11.0,1.0,3.0,3.0,1.0,25.0,441.0,47.0,,83283,,234.0,7.0,273.0,6.0,3.0,8.0,11.0,62.0,13.0,12.0,5.0,4.0,65.0,373.0,9.0,10.0,,27.0,4.0,60.0,0.0,10.0,3.0,2.0,1.0,0.0,1.0,1.0,55.7,22.0,1.0,1.0,,13.0,1.0,28.0,5.0,470.0,9.0,14.0,11.0,2.0,15.0,,2.0,208.0,1.0,1.0,14.0,70.0,22.0,11.0,12.0,1.0,2.0,5.0,19.0,8.0,5.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,,,,3.0,1.0,,,1.0,,1.0,,2.0,,,,,2.0,,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,3.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
