gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attBxRight,goalAssistOpenplay,attSvLowLeft,subsGoals,goalAssist,goalsOpenplay,attCmissLeft,accurateFlickOn,goalAssistIntentional,attLfTarget,attFreekickTotal,accurateKeeperSweeper,attMissHighRight,freekickCross,freekickTotal,totalKeeperSweeper,attSetpiece,attCmissHigh,attFreekickMiss,goodHighClaim,sixYardBlock,defenderGoals,totalHighClaim,attHdGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attSvLowRight,attPostRight,attOboxTarget,attSvHighRight,ptsGainedLosingPos,attSvHighLeft,accurateFreekickCross,attOboxPost,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalHighRight,attPostHigh,clearanceOffLine,attOneOnOne,midfielderGoals,accurateThroughBall,ownGoals,totalThroughBall,attIboxOwnGoal,attGoalLowCentre,goalFastbreak,ptsDroppedWinningPos,attOboxGoal,attGoalHighLeft,attGoalLowRight,cleanSheet,attCmissHighRight,attGoalHighCentre,attFreekickTarget,attPostLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attLgCentre,attFreekickGoal,attObxRight
1,2367541,2023-08-12 15:00:00,"American Express Stadium, Falmer",31872,Away,Luton Town,Brighton and Hove Albion,1,4,L,0,1,0,0,1.0,52.0,1.0,2.0,1.0,31.0,27.0,2.0,3.0,7.0,8.0,1.0,108.0,6.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,51.0,114.0,48.0,9.0,1.0,12.0,2.0,2.0,1.0,1.0,22.0,12.0,27.0,7.0,3.0,41.0,87.0,1.0,0.0,70.0,12.0,2.0,2.0,41.0,26.0,3.0,32.0,1.0,1.0,15.0,11.0,2.0,4.0,1.0,114.0,1.0,1.0,20.0,43.0,417.0,6.0,6.0,21.0,1.0,9.0,145.0,24.0,1.0,5.0,11.0,2.0,5.0,4.0,11.0,204.0,38.0,1.0,91046,5.0,87.0,1.0,11.0,1.0,110.0,8.0,1.0,2.0,5.0,11.0,43.0,3.0,6.0,13.0,7.0,9.0,1.0,1.0,60.0,168.0,9.0,6.0,1.0,16.0,3.0,56.0,2.0,1.0,0.0,1.0,6.0,6.0,1.0,4.0,0.0,3.0,1.0,4.0,29.3,9.0,3.0,1.0,1.0,1.0,6.0,2.0,34.0,7.0,1.0,234.0,1.0,9.0,6.0,24.0,4.0,28.0,3.0,3.0,146.0,2.0,2.0,21.0,43.0,16.0,1.0,2.0,11.0,17.0,4.0,5.0,5.0,8.0,1.0,2.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367552,2023-10-03 19:30:00,"Kenilworth Road, Luton",10918,Home,Luton Town,Burnley,1,2,L,0,1,0,0,,68.0,1.0,,3.0,36.0,14.0,3.0,1.0,15.0,2.0,,159.0,13.0,9.0,1.0,,15.0,,1.0,3.0,83.0,180.0,64.0,18.0,2.0,26.0,2.0,,,3.0,31.0,8.0,14.0,7.0,3.0,45.0,169.0,,0.0,144.0,14.0,3.0,,51.0,75.0,6.0,53.0,1.0,5.0,24.0,22.0,3.0,11.0,1.0,180.0,,,7.0,75.0,591.0,8.0,6.0,36.0,2.0,8.0,242.0,29.0,,15.0,8.0,4.0,2.0,9.0,29.0,348.0,66.0,,91046,13.0,98.0,1.0,13.0,,128.0,9.0,1.0,,9.0,10.0,59.0,3.0,4.0,20.0,7.0,3.0,2.0,,88.0,254.0,6.0,8.0,6.0,43.0,8.0,84.0,,,0.0,,6.0,2.0,1.0,2.0,0.0,7.0,,11.0,48.6,21.0,8.0,9.0,,1.0,4.0,5.0,32.0,7.0,,370.0,,8.0,9.0,23.0,10.0,42.0,6.0,9.0,273.0,6.0,3.0,35.0,91.0,25.0,,3.0,8.0,14.0,1.0,10.0,3.0,15.0,,3.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367563,2023-08-25 20:00:00,"Stamford Bridge, London",39893,Away,Luton Town,Chelsea,0,3,L,0,1,0,0,,54.0,,,3.0,17.0,18.0,4.0,6.0,7.0,5.0,,110.0,2.0,7.0,,2.0,6.0,,,1.0,78.0,100.0,46.0,11.0,2.0,14.0,1.0,,,,18.0,10.0,18.0,4.0,4.0,47.0,133.0,,0.0,108.0,12.0,3.0,,64.0,44.0,3.0,50.0,1.0,,14.0,9.0,4.0,1.0,2.0,100.0,,,16.0,68.0,459.0,5.0,5.0,17.0,,5.0,224.0,24.0,1.0,,9.0,3.0,5.0,3.0,10.0,279.0,48.0,,91046,2.0,109.0,,11.0,,122.0,5.0,,,2.0,8.0,42.0,,4.0,8.0,3.0,6.0,3.0,,52.0,240.0,15.0,7.0,1.0,7.0,2.0,62.0,,,0.0,,6.0,5.0,,3.0,0.0,,1.0,1.0,32.8,10.0,1.0,6.0,1.0,1.0,4.0,5.0,29.0,4.0,,306.0,,5.0,6.0,17.0,5.0,24.0,2.0,3.0,202.0,4.0,4.0,6.0,72.0,17.0,,1.0,9.0,18.0,3.0,7.0,5.0,11.0,,1.0,2.0,4.0,,1.0,2.0,,,,,,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367575,2023-09-01 20:00:00,"Kenilworth Road, Luton",10802,Home,Luton Town,West Ham United,1,2,L,0,1,0,0,1.0,67.0,1.0,,3.0,24.0,24.0,3.0,5.0,13.0,1.0,,150.0,10.0,9.0,1.0,,12.0,,1.0,1.0,81.0,164.0,54.0,16.0,2.0,19.0,,,,3.0,31.0,12.0,24.0,9.0,5.0,45.0,155.0,,0.0,142.0,8.0,,,55.0,54.0,6.0,47.0,,3.0,22.0,22.0,3.0,5.0,1.0,164.0,3.0,,6.0,88.0,576.0,7.0,11.0,31.0,,7.0,249.0,25.0,,10.0,12.0,1.0,2.0,6.0,21.0,335.0,63.0,,91046,8.0,121.0,2.0,16.0,,141.0,2.0,,,12.0,7.0,56.0,,1.0,17.0,3.0,4.0,3.0,,71.0,266.0,11.0,8.0,4.0,27.0,5.0,75.0,,,0.0,1.0,6.0,1.0,1.0,2.0,0.0,6.0,1.0,5.0,38.8,18.0,4.0,8.0,2.0,,1.0,5.0,30.0,9.0,,366.0,,7.0,8.0,19.0,10.0,42.0,4.0,9.0,256.0,6.0,5.0,21.0,88.0,27.0,,1.0,12.0,14.0,2.0,11.0,5.0,23.0,,1.0,12.0,9.0,,1.0,,1.0,,,1.0,1.0,1.0,4.0,1.0,,,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367581,2023-09-16 15:00:00,"Craven Cottage, London",24467,Away,Luton Town,Fulham,0,1,L,0,0,0,0,,52.0,,1.0,1.0,12.0,17.0,,3.0,7.0,1.0,,114.0,5.0,4.0,,2.0,7.0,,,2.0,35.0,118.0,48.0,7.0,,12.0,2.0,1.0,,2.0,12.0,13.0,17.0,2.0,2.0,43.0,61.0,,0.0,64.0,14.0,,1.0,15.0,53.0,3.0,35.0,1.0,1.0,10.0,10.0,,1.0,,118.0,3.0,,6.0,38.0,391.0,7.0,3.0,17.0,,11.0,142.0,30.0,,1.0,7.0,2.0,6.0,4.0,18.0,207.0,42.0,,91046,3.0,94.0,3.0,6.0,,113.0,8.0,,,5.0,10.0,45.0,1.0,7.0,16.0,7.0,4.0,,,39.0,150.0,6.0,4.0,,7.0,,52.0,1.0,1.0,0.0,1.0,6.0,,,1.0,0.0,5.0,1.0,3.0,22.4,14.0,2.0,3.0,2.0,,7.0,1.0,19.0,2.0,,222.0,,11.0,10.0,14.0,4.0,15.0,,3.0,121.0,1.0,1.0,19.0,32.0,11.0,,1.0,7.0,20.0,1.0,7.0,5.0,11.0,1.0,1.0,5.0,2.0,,,1.0,,1.0,,,,1.0,,,2.0,,,,3.0,,,,,,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367595,2023-09-23 15:00:00,"Kenilworth Road, Luton",10893,Home,Luton Town,Wolverhampton Wanderers,1,1,D,0,0,0,1,1.0,75.0,1.0,,8.0,27.0,5.0,5.0,8.0,15.0,2.0,1.0,174.0,7.0,8.0,1.0,7.0,15.0,2.0,,4.0,87.0,163.0,63.0,20.0,1.0,21.0,2.0,,1.0,1.0,44.0,9.0,5.0,10.0,3.0,38.0,209.0,1.0,0.0,176.0,12.0,,,77.0,86.0,12.0,71.0,,1.0,34.0,19.0,5.0,7.0,2.0,163.0,1.0,,3.0,98.0,641.0,13.0,6.0,41.0,2.0,8.0,319.0,15.0,,3.0,1.0,0.0,,3.0,21.0,413.0,74.0,,91046,9.0,130.0,1.0,23.0,,146.0,7.0,1.0,2.0,3.0,2.0,55.0,1.0,5.0,11.0,,1.0,3.0,1.0,67.0,332.0,16.0,8.0,2.0,23.0,1.0,83.0,,,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,4.0,56.4,20.0,1.0,7.0,4.0,,5.0,9.0,47.0,10.0,,430.0,,8.0,10.0,20.0,7.0,55.0,3.0,4.0,328.0,8.0,2.0,19.0,119.0,45.0,1.0,,1.0,20.0,1.0,16.0,4.0,12.0,,,3.0,10.0,,,1.0,,,,,,,,,,,,1.0,4.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367600,2023-09-30 15:00:00,"Goodison Park, Liverpool",39289,Away,Luton Town,Everton,2,1,W,2,1,0,0,2.0,86.0,1.0,,2.0,30.0,29.0,1.0,2.0,8.0,3.0,,151.0,5.0,5.0,2.0,2.0,7.0,,,2.0,48.0,193.0,62.0,9.0,1.0,31.0,,,,,12.0,14.0,29.0,6.0,4.0,59.0,101.0,,0.0,102.0,10.0,1.0,,30.0,87.0,4.0,28.0,2.0,,6.0,33.0,1.0,,,193.0,2.0,,16.0,48.0,502.0,2.0,12.0,17.0,,10.0,131.0,47.0,2.0,4.0,20.0,1.0,5.0,3.0,26.0,243.0,54.0,,91046,6.0,50.0,1.0,3.0,,86.0,5.0,1.0,2.0,12.0,18.0,72.0,3.0,5.0,17.0,7.0,8.0,1.0,,81.0,146.0,8.0,10.0,4.0,21.0,5.0,70.0,,1.0,0.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,3.0,32.4,16.0,1.0,2.0,1.0,,5.0,3.0,28.0,6.0,,275.0,,10.0,10.0,22.0,4.0,19.0,4.0,3.0,201.0,4.0,2.0,26.0,52.0,25.0,1.0,2.0,20.0,24.0,1.0,3.0,4.0,18.0,,2.0,12.0,6.0,,1.0,,,,,1.0,,,2.0,1.0,,,,,3.0,,,1.0,1.0,,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,2367614,2023-10-07 12:30:00,"Kenilworth Road, Luton",10929,Home,Luton Town,Tottenham Hotspur,0,1,L,0,0,0,1,,59.0,,,3.0,26.0,24.0,4.0,6.0,8.0,3.0,1.0,129.0,5.0,8.0,,,11.0,,1.0,2.0,49.0,148.0,48.0,12.0,1.0,15.0,1.0,1.0,2.0,1.0,26.0,15.0,24.0,5.0,2.0,50.0,106.0,,0.0,123.0,16.0,2.0,1.0,34.0,62.0,6.0,31.0,3.0,2.0,21.0,28.0,4.0,7.0,2.0,148.0,2.0,,10.0,43.0,475.0,9.0,6.0,30.0,,12.0,158.0,33.0,1.0,1.0,8.0,2.0,2.0,4.0,21.0,231.0,56.0,1.0,91046,5.0,69.0,2.0,12.0,,82.0,8.0,,1.0,17.0,10.0,60.0,4.0,3.0,17.0,5.0,5.0,2.0,,55.0,170.0,5.0,9.0,1.0,12.0,4.0,65.0,1.0,,0.0,,6.0,3.0,,1.0,0.0,4.0,,2.0,33.1,17.0,2.0,9.0,,,3.0,4.0,29.0,5.0,,252.0,,12.0,9.0,26.0,6.0,29.0,1.0,4.0,196.0,3.0,1.0,9.0,74.0,12.0,,1.0,8.0,26.0,1.0,8.0,5.0,19.0,,1.0,17.0,5.0,,,2.0,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,2367625,2023-10-21 15:00:00,"The City Ground, Nottingham",29361,Away,Luton Town,Nottingham Forest,2,2,D,0,0,0,0,2.0,70.0,1.0,2.0,3.0,32.0,25.0,4.0,7.0,9.0,6.0,,156.0,6.0,6.0,2.0,1.0,6.0,,,4.0,71.0,173.0,50.0,13.0,1.0,33.0,1.0,,,3.0,26.0,6.0,25.0,2.0,2.0,35.0,162.0,,0.0,131.0,11.0,2.0,,59.0,86.0,5.0,44.0,,,24.0,28.0,4.0,11.0,2.0,173.0,2.0,,17.0,90.0,567.0,5.0,9.0,25.0,1.0,7.0,237.0,22.0,,12.0,13.0,0.0,2.0,1.0,22.0,335.0,68.0,2.0,91046,8.0,95.0,1.0,11.0,,110.0,4.0,2.0,,13.0,8.0,65.0,,3.0,20.0,2.0,2.0,2.0,,76.0,251.0,12.0,7.0,,39.0,1.0,86.0,,,0.0,3.0,4.0,4.0,2.0,2.0,0.0,6.0,,2.0,42.8,16.0,1.0,4.0,1.0,2.0,3.0,4.0,42.0,2.0,,361.0,,7.0,9.0,18.0,5.0,34.0,,3.0,277.0,4.0,1.0,23.0,75.0,34.0,,1.0,13.0,9.0,2.0,9.0,5.0,11.0,,1.0,13.0,2.0,,,,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,6.0,,2.0,,6.0,3.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10,2367630,2023-10-29 14:00:00,"Villa Park, Birmingham",41785,Away,Luton Town,Aston Villa,1,3,L,0,1,0,0,,48.0,,,3.0,15.0,8.0,2.0,2.0,5.0,4.0,1.0,102.0,5.0,5.0,1.0,4.0,5.0,,,1.0,47.0,94.0,47.0,7.0,1.0,13.0,1.0,,1.0,,18.0,8.0,8.0,3.0,2.0,33.0,90.0,,0.0,58.0,10.0,1.0,,30.0,43.0,3.0,38.0,2.0,,15.0,12.0,2.0,2.0,1.0,94.0,1.0,,14.0,56.0,387.0,3.0,3.0,15.0,,7.0,171.0,25.0,,2.0,6.0,2.0,6.0,2.0,8.0,220.0,28.0,,91046,4.0,103.0,1.0,10.0,,117.0,4.0,,,5.0,10.0,40.0,6.0,7.0,7.0,4.0,4.0,2.0,,45.0,188.0,11.0,7.0,2.0,13.0,3.0,50.0,,1.0,0.0,1.0,6.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,29.5,7.0,1.0,2.0,1.0,,7.0,4.0,25.0,4.0,,243.0,,7.0,6.0,14.0,2.0,19.0,3.0,1.0,144.0,4.0,1.0,14.0,39.0,14.0,,2.0,6.0,17.0,3.0,2.0,5.0,10.0,,2.0,5.0,4.0,,1.0,,,,,,,,1.0,,,,,,3.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
