gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,penaltySave,attGoalLowLeft,savedObox,accuratePullBack,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,divingSave,midfielderGoals,bigChanceCreated,goalAssist,totalKeeperSweeper,bigChanceMissed,penaltyConceded,totalPullBack,totalOffside,attMissHigh,punches,shieldBallOop,penaltyFaced,totalHighClaim,attFreekickMiss,accurateCornersIntobox,goalsConcededIbox,ptsDroppedWinningPos,handBall,attSvHighRight,attHdTarget,accurateFreekickCross,attCmissLeft,attBxLeft,attLfGoal,attGoalLowCentre,attCmissRight,shotFastbreak,goalFastbreak,totalFastbreak,goodHighClaim,attMissRight,subsGoals,attFastbreak,goalAssistIntentional,errorLeadToGoal,cleanSheet,attSvLowLeft,attOboxGoal,attCmissHigh,ownGoals,attCmissHighLeft,attIboxOwnGoal,penGoalsConceded,attLgCentre,attFreekickTarget,attIboxPost,attSvHighLeft,attPostLeft,attHdPost,attGoalHighLeft,attOneOnOne,attObxdLeft,goalAssistSetplay,defenderGoals,attHdGoal,goalAssistDeadball,attGoalHighCentre,contentiousDecision,attObpGoal,attGoalHighRight,penaltyWon,attPenGoal,attPenMiss,attFreekickPost
1,2367539,2023-08-12 15:00:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,West Ham United,1,1,D,0,0,0,0,1.0,3.0,1.0,69.0,1.0,1.0,25.0,10.0,9.0,7.0,5.0,1.0,1.0,175.0,2.0,10.0,1.0,3.0,9.0,5.0,134.0,168.0,55.0,1.0,14.0,2.0,29.0,1.0,1.0,1.0,3.0,23.0,6.0,3.0,10.0,7.0,4.0,62.0,202.0,1.0,0.0,154.0,9.0,1.0,2.0,71.0,83.0,4.0,84.0,1.0,16.0,22.0,9.0,1.0,4.0,3.0,168.0,12.0,124.0,729.0,8.0,7.0,23.0,1.0,7.0,406.0,27.0,1.0,2.0,3.0,1.0,5.0,5.0,21.0,490.0,77.0,1.0,1.0,69752,3.0,223.0,10.0,1.0,1.0,247.0,2.0,1.0,12.0,8.0,78.0,2.0,5.0,1.0,20.0,4.0,4.0,65.0,423.0,12.0,10.0,1.0,5.0,2.0,71.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,62.9,20.0,2.0,5.0,1.0,5.0,3.0,1.0,34.0,10.0,517.0,7.0,17.0,25.0,6.0,36.0,2.0,293.0,4.0,4.0,16.0,100.0,29.0,1.0,3.0,3.0,17.0,10.0,5.0,23.0,3.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367551,2023-08-19 15:00:00,"Anfield, Liverpool",49699.0,Away,Bournemouth,Liverpool,1,3,L,1,2,0,1,,3.0,,67.0,,,13.0,28.0,7.0,5.0,6.0,8.0,1.0,126.0,4.0,13.0,1.0,2.0,8.0,5.0,77.0,133.0,52.0,1.0,13.0,1.0,20.0,2.0,,1.0,1.0,10.0,11.0,2.0,28.0,1.0,6.0,40.0,110.0,1.0,0.0,85.0,13.0,,1.0,51.0,39.0,4.0,44.0,1.0,9.0,24.0,7.0,1.0,4.0,4.0,133.0,17.0,78.0,537.0,6.0,3.0,23.0,,14.0,218.0,27.0,,,14.0,3.0,8.0,4.0,21.0,301.0,38.0,,,69752,5.0,130.0,4.0,,,153.0,4.0,1.0,11.0,10.0,64.0,1.0,4.0,1.0,12.0,9.0,6.0,44.0,236.0,10.0,17.0,1.0,4.0,1.0,57.0,1.0,0.0,2.0,10.0,5.0,1.0,,,3.0,1.0,0.0,3.0,1.0,35.3,15.0,1.0,7.0,2.0,4.0,1.0,,24.0,2.0,325.0,14.0,7.0,12.0,7.0,19.0,3.0,182.0,7.0,4.0,11.0,48.0,27.0,,,14.0,18.0,11.0,5.0,21.0,,11.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367558,2023-08-26 12:30:00,"Vitality Stadium, Bournemouth",10567.0,Home,Bournemouth,Tottenham Hotspur,0,2,L,0,1,0,0,,1.0,,66.0,,3.0,25.0,11.0,5.0,4.0,6.0,4.0,1.0,140.0,3.0,14.0,,4.0,8.0,3.0,94.0,140.0,54.0,,11.0,,8.0,1.0,,2.0,4.0,22.0,8.0,2.0,11.0,6.0,1.0,49.0,159.0,,0.0,124.0,18.0,,2.0,51.0,63.0,5.0,69.0,2.0,16.0,20.0,5.0,,3.0,3.0,140.0,12.0,88.0,585.0,7.0,2.0,27.0,,8.0,295.0,31.0,,1.0,3.0,1.0,4.0,3.0,23.0,367.0,41.0,,1.0,69752,4.0,156.0,11.0,,1.0,177.0,12.0,,10.0,9.0,60.0,2.0,3.0,,13.0,5.0,5.0,49.0,312.0,11.0,14.0,1.0,2.0,1.0,50.0,,0.0,,2.0,4.0,,,,2.0,1.0,0.0,2.0,3.0,43.1,20.0,1.0,4.0,,4.0,3.0,,29.0,6.0,391.0,8.0,7.0,21.0,5.0,35.0,2.0,236.0,4.0,1.0,12.0,86.0,24.0,,1.0,3.0,17.0,9.0,5.0,29.0,1.0,10.0,6.0,,,,,1.0,,,2.0,,,,,,,,3.0,1.0,,,,,,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367569,2023-09-02 15:00:00,"Gtech Community Stadium, Brentford",16973.0,Away,Bournemouth,Brentford,2,2,D,1,1,0,0,1.0,,1.0,59.0,,2.0,20.0,28.0,2.0,6.0,10.0,6.0,2.0,135.0,2.0,8.0,2.0,1.0,8.0,5.0,57.0,150.0,51.0,,12.0,,23.0,3.0,,1.0,2.0,12.0,10.0,,28.0,1.0,2.0,59.0,133.0,,0.0,96.0,13.0,1.0,2.0,44.0,49.0,4.0,51.0,,11.0,12.0,2.0,,3.0,2.0,150.0,16.0,67.0,509.0,6.0,3.0,27.0,,1.0,211.0,25.0,,1.0,15.0,2.0,3.0,4.0,20.0,282.0,56.0,1.0,1.0,69752,4.0,93.0,6.0,,,119.0,9.0,1.0,5.0,14.0,60.0,2.0,3.0,2.0,22.0,5.0,5.0,63.0,224.0,6.0,4.0,,7.0,,71.0,2.0,0.0,3.0,5.0,4.0,2.0,,,2.0,,0.0,2.0,1.0,38.9,14.0,,5.0,,3.0,2.0,,30.0,2.0,310.0,1.0,9.0,21.0,5.0,20.0,3.0,203.0,5.0,1.0,15.0,60.0,19.0,1.0,,15.0,22.0,12.0,3.0,21.0,,5.0,2.0,,,1.0,,1.0,,2.0,,,2.0,2.0,,2.0,,2.0,1.0,1.0,,,,2.0,,,1.0,2.0,1.0,,1.0,,,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367578,2023-09-17 14:00:00,"Vitality Stadium, Bournemouth",10421.0,Home,Bournemouth,Chelsea,0,0,D,0,0,0,0,,2.0,,48.0,,4.0,14.0,24.0,4.0,7.0,9.0,6.0,2.0,134.0,6.0,12.0,,2.0,10.0,4.0,65.0,105.0,52.0,1.0,13.0,2.0,5.0,4.0,,2.0,,16.0,10.0,,24.0,1.0,3.0,33.0,111.0,,0.0,108.0,15.0,,1.0,40.0,37.0,7.0,46.0,1.0,15.0,16.0,4.0,1.0,3.0,2.0,105.0,9.0,67.0,520.0,10.0,5.0,36.0,,17.0,225.0,23.0,,2.0,6.0,1.0,2.0,3.0,18.0,284.0,54.0,,,69752,6.0,141.0,11.0,,2.0,152.0,7.0,,10.0,7.0,39.0,2.0,5.0,,10.0,5.0,7.0,44.0,246.0,20.0,10.0,,7.0,,56.0,,0.0,2.0,7.0,5.0,,,,,3.0,0.0,6.0,2.0,35.3,12.0,1.0,5.0,,6.0,6.0,,27.0,1.0,312.0,17.0,5.0,9.0,3.0,30.0,1.0,176.0,4.0,3.0,6.0,65.0,14.0,,3.0,6.0,14.0,10.0,4.0,16.0,3.0,10.0,1.0,,,1.0,2.0,1.0,,,4.0,,1.0,,,1.0,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367590,2023-09-24 14:00:00,"American Express Stadium, Falmer",31617.0,Away,Bournemouth,Brighton and Hove Albion,1,3,L,1,1,0,0,,2.0,1.0,62.0,1.0,2.0,11.0,14.0,4.0,8.0,8.0,2.0,,112.0,2.0,16.0,1.0,2.0,8.0,4.0,67.0,126.0,52.0,1.0,12.0,2.0,11.0,3.0,,,,9.0,10.0,,14.0,4.0,3.0,41.0,121.0,,0.0,96.0,17.0,,1.0,43.0,41.0,5.0,68.0,,5.0,12.0,4.0,1.0,1.0,1.0,126.0,9.0,78.0,508.0,5.0,2.0,25.0,,10.0,234.0,16.0,2.0,,6.0,3.0,6.0,3.0,15.0,301.0,47.0,,,69752,2.0,130.0,3.0,,1.0,148.0,10.0,,7.0,5.0,59.0,,1.0,1.0,14.0,5.0,2.0,50.0,249.0,12.0,7.0,2.0,5.0,1.0,53.0,1.0,0.0,1.0,4.0,,,,,3.0,1.0,0.0,1.0,2.0,38.5,12.0,1.0,9.0,,1.0,4.0,,18.0,4.0,325.0,10.0,17.0,9.0,4.0,21.0,3.0,186.0,2.0,3.0,1.0,57.0,31.0,1.0,,6.0,23.0,9.0,5.0,23.0,,7.0,4.0,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,3.0,3.0,,,1.0,,,3.0,1.0,,1.0,,,,,1.0,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2367598,2023-09-30 15:00:00,"Vitality Stadium, Bournemouth",11193.0,Home,Bournemouth,Arsenal,0,4,L,0,2,0,0,,1.0,,51.0,,3.0,17.0,6.0,1.0,5.0,7.0,4.0,,140.0,2.0,14.0,,3.0,6.0,1.0,89.0,127.0,43.0,,8.0,1.0,10.0,1.0,,,1.0,15.0,9.0,,6.0,6.0,2.0,43.0,165.0,,0.0,145.0,11.0,,2.0,64.0,49.0,4.0,80.0,1.0,9.0,23.0,1.0,,2.0,,127.0,14.0,80.0,568.0,5.0,3.0,28.0,,9.0,302.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,17.0,372.0,65.0,,1.0,69752,5.0,154.0,5.0,,,168.0,9.0,,9.0,4.0,58.0,,3.0,,9.0,1.0,3.0,41.0,317.0,7.0,10.0,1.0,3.0,1.0,39.0,1.0,0.0,,6.0,4.0,,,,4.0,1.0,0.0,,1.0,42.4,14.0,1.0,10.0,,3.0,4.0,,18.0,6.0,389.0,9.0,9.0,19.0,3.0,26.0,3.0,236.0,2.0,2.0,6.0,96.0,20.0,,,2.0,16.0,7.0,5.0,33.0,,9.0,6.0,,,,1.0,1.0,,,3.0,,,,,,2.0,1.0,2.0,,,,2.0,1.0,,2.0,4.0,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
8,2367612,2023-10-07 15:00:00,"Goodison Park, Liverpool",38815.0,Away,Bournemouth,Everton,0,3,L,0,2,0,0,2.0,1.0,,67.0,,2.0,24.0,30.0,4.0,4.0,7.0,5.0,,154.0,8.0,12.0,,,10.0,4.0,114.0,156.0,61.0,,11.0,2.0,24.0,3.0,,1.0,1.0,18.0,6.0,1.0,30.0,3.0,6.0,38.0,141.0,,0.0,124.0,15.0,,1.0,60.0,60.0,7.0,67.0,,15.0,20.0,4.0,,8.0,1.0,156.0,16.0,99.0,687.0,10.0,2.0,27.0,,6.0,314.0,32.0,,4.0,13.0,2.0,5.0,3.0,24.0,398.0,52.0,,1.0,69752,3.0,211.0,6.0,,1.0,236.0,9.0,,10.0,11.0,78.0,2.0,12.0,,23.0,9.0,9.0,64.0,344.0,13.0,12.0,,25.0,1.0,69.0,1.0,0.0,3.0,8.0,4.0,,,,3.0,1.0,0.0,6.0,4.0,52.6,22.0,1.0,2.0,1.0,12.0,4.0,,31.0,7.0,434.0,6.0,23.0,18.0,3.0,30.0,2.0,216.0,3.0,3.0,17.0,80.0,19.0,,2.0,13.0,20.0,9.0,5.0,17.0,2.0,10.0,7.0,,,1.0,,1.0,1.0,,3.0,,1.0,,1.0,1.0,,2.0,,1.0,3.0,1.0,,,,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2367618,2023-10-21 15:00:00,"Vitality Stadium, Bournemouth",11175.0,Home,Bournemouth,Wolverhampton Wanderers,1,2,L,1,0,1,0,,2.0,1.0,60.0,,1.0,14.0,17.0,3.0,4.0,4.0,5.0,1.0,135.0,1.0,8.0,1.0,2.0,5.0,4.0,59.0,145.0,43.0,,7.0,1.0,21.0,1.0,,1.0,,14.0,12.0,2.0,17.0,1.0,5.0,31.0,119.0,,0.0,102.0,15.0,,1.0,45.0,47.0,4.0,44.0,3.0,13.0,18.0,3.0,,4.0,,145.0,15.0,65.0,501.0,4.0,6.0,7.0,,8.0,210.0,27.0,,2.0,9.0,2.0,5.0,1.0,26.0,275.0,47.0,,,69752,2.0,110.0,8.0,,,137.0,7.0,1.0,9.0,12.0,71.0,,6.0,1.0,20.0,6.0,6.0,47.0,228.0,9.0,9.0,,12.0,,47.0,1.0,0.0,2.0,12.0,2.0,1.0,,,2.0,3.0,1.0,1.0,,33.7,17.0,,2.0,,6.0,2.0,,22.0,3.0,303.0,8.0,14.0,9.0,1.0,23.0,1.0,180.0,3.0,5.0,9.0,70.0,22.0,1.0,4.0,9.0,18.0,7.0,5.0,20.0,4.0,9.0,3.0,,,3.0,,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,,,,,,1.0,1.0,,2.0,,,2.0,3.0,,,,,,,,1.0,1.0,,,,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2367628,2023-10-28 15:00:00,"Vitality Stadium, Bournemouth",11152.0,Home,Bournemouth,Burnley,2,1,W,1,1,0,0,1.0,2.0,,68.0,2.0,2.0,13.0,16.0,4.0,10.0,8.0,3.0,1.0,136.0,4.0,10.0,2.0,4.0,6.0,6.0,75.0,148.0,62.0,2.0,13.0,1.0,14.0,3.0,,2.0,,24.0,16.0,1.0,16.0,9.0,6.0,26.0,119.0,,0.0,111.0,9.0,3.0,2.0,62.0,33.0,5.0,55.0,1.0,15.0,15.0,5.0,2.0,5.0,2.0,148.0,3.0,100.0,565.0,5.0,8.0,28.0,,7.0,264.0,16.0,1.0,4.0,11.0,2.0,1.0,1.0,23.0,350.0,56.0,,,544877,4.0,162.0,8.0,,1.0,183.0,4.0,,7.0,2.0,43.0,,3.0,2.0,17.0,3.0,1.0,40.0,277.0,12.0,8.0,1.0,21.0,2.0,61.0,,0.0,2.0,5.0,1.0,1.0,,,1.0,1.0,0.0,3.0,1.0,44.3,18.0,,5.0,,3.0,3.0,,26.0,10.0,366.0,7.0,6.0,15.0,4.0,38.0,2.0,207.0,2.0,4.0,15.0,67.0,41.0,,2.0,11.0,25.0,8.0,4.0,16.0,2.0,7.0,10.0,,,1.0,,2.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,3.0,2.0,,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,2.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
