gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attFreekickTotal,postScoringAtt,attIboxPost,attOboxTarget,attOneOnOne,attSvLowLeft,goodHighClaim,freekickTotal,attPostLeft,attHdTarget,hitWoodwork,accurateThroughBall,accurateFreekickCross,attSetpiece,ownGoals,goalsConceded,attSvHighCentre,attFreekickMiss,attIboxOwnGoal,goalsConcededIbox,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,penaltyWon,ptsGainedLosingPos,midfielderGoals,attRfGoal,attPenGoal,attCmissLeft,shieldBallOop,shotFastbreak,goalFastbreak,attMissHighRight,totalFastbreak,contentiousDecision,attFastbreak,punches,ptsDroppedWinningPos,attOboxGoal,subsGoals,attFreekickTarget,attSvHighLeft,errorLeadToShot,attCmissHighRight,attCmissRight,attGoalHighRight,attFreekickPost,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,clearanceOffLine,attGoalHighCentre,attGoalHighLeft,forwardGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attLfGoal,attPenTarget,attCmissHighLeft,secondYellow,errorLeadToGoal,goalsConcededObox,attObxdLeft,goalAssistDeadball,attObxRight,attSvHighRight,attLgCentre,attObpGoal
1,2367547,2023-08-14 20:00:00,"Old Trafford, Manchester",73358.0,Home,Manchester United,Wolverhampton Wanderers,1,0,W,0,0,0,0,1.0,1.0,1.0,73.0,1.0,6.0,17.0,20.0,3.0,7.0,12.0,6.0,1.0,150.0,1.0,3.0,11.0,1.0,2.0,13.0,3.0,133.0,148.0,46.0,15.0,2.0,17.0,2.0,4.0,1.0,1.0,1.0,1.0,17.0,11.0,20.0,5.0,2.0,45.0,193.0,1.0,0.0,162.0,15.0,1.0,1.0,66.0,48.0,10.0,72.0,2.0,1.0,12.0,19.0,3.0,4.0,1.0,148.0,2.0,17.0,110.0,686.0,11.0,3.0,36.0,8.0,364.0,24.0,1.0,2.0,10.0,1.0,1.0,2.0,10.0,3.0,14.0,441.0,50.0,95658,4.0,193.0,1.0,7.0,1.0,213.0,10.0,1.0,11.0,8.0,76.0,1.0,1.0,1.0,1.0,5.0,1.0,21.0,6.0,6.0,1.0,42.0,383.0,10.0,22.0,1.0,10.0,2.0,46.0,1.0,0.0,4.0,7.0,5.0,1.0,2.0,0.0,2.0,1.0,3.0,51.0,11.0,1.0,15.0,2.0,5.0,8.0,28.0,8.0,1.0,465.0,8.0,14.0,22.0,4.0,38.0,1.0,3.0,269.0,5.0,2.0,7.0,113.0,27.0,1.0,10.0,18.0,1.0,13.0,5.0,20.0,1.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367555,2023-08-19 17:30:00,"Tottenham Hotspur Stadium, London",61910.0,Away,Manchester United,Tottenham Hotspur,0,2,L,0,0,0,0,,,,65.0,1.0,7.0,20.0,17.0,6.0,4.0,16.0,5.0,4.0,129.0,,5.0,10.0,,2.0,19.0,6.0,110.0,114.0,51.0,22.0,2.0,3.0,4.0,1.0,,,,,14.0,11.0,17.0,5.0,2.0,53.0,186.0,,0.0,149.0,8.0,2.0,1.0,54.0,56.0,14.0,61.0,2.0,,9.0,24.0,6.0,5.0,2.0,114.0,4.0,14.0,101.0,613.0,13.0,3.0,35.0,8.0,316.0,21.0,3.0,,7.0,,,3.0,3.0,5.0,18.0,382.0,48.0,90152,14.0,151.0,4.0,3.0,,174.0,6.0,2.0,15.0,7.0,40.0,2.0,6.0,,4.0,6.0,,15.0,4.0,6.0,3.0,40.0,332.0,9.0,14.0,6.0,1.0,4.0,46.0,1.0,0.0,1.0,5.0,4.0,,,0.0,1.0,,7.0,44.3,17.0,3.0,9.0,1.0,6.0,9.0,26.0,6.0,1.0,401.0,8.0,5.0,30.0,7.0,33.0,4.0,4.0,241.0,11.0,1.0,10.0,117.0,27.0,1.0,7.0,22.0,,15.0,5.0,20.0,1.0,15.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367565,2023-08-26 15:00:00,"Old Trafford, Manchester",73595.0,Home,Manchester United,Nottingham Forest,3,2,W,1,2,0,1,,3.0,3.0,69.0,1.0,1.0,20.0,25.0,11.0,5.0,7.0,2.0,3.0,194.0,,1.0,7.0,3.0,4.0,15.0,9.0,191.0,147.0,44.0,18.0,3.0,21.0,1.0,1.0,,1.0,1.0,3.0,23.0,9.0,25.0,8.0,8.0,43.0,377.0,,0.0,256.0,13.0,1.0,,95.0,96.0,11.0,94.0,1.0,,15.0,13.0,11.0,5.0,3.0,147.0,4.0,7.0,158.0,812.0,12.0,3.0,31.0,7.0,529.0,30.0,1.0,,16.0,2.0,,4.0,1.0,4.0,15.0,616.0,82.0,95658,1.0,172.0,2.0,10.0,,191.0,8.0,1.0,6.0,3.0,63.0,1.0,3.0,,3.0,3.0,1.0,14.0,2.0,2.0,1.0,46.0,548.0,11.0,10.0,1.0,6.0,2.0,50.0,1.0,0.0,,3.0,1.0,3.0,2.0,0.0,,2.0,1.0,66.3,15.0,1.0,5.0,1.0,3.0,4.0,33.0,11.0,,637.0,7.0,13.0,20.0,5.0,41.0,1.0,2.0,469.0,12.0,8.0,11.0,201.0,31.0,,16.0,15.0,,14.0,3.0,13.0,,6.0,11.0,1.0,,,,5.0,,4.0,,,,,,1.0,,1.0,,2.0,,,,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367568,2023-09-03 16:30:00,"Emirates Stadium, London",60192.0,Away,Manchester United,Arsenal,1,3,L,1,1,0,0,,1.0,,43.0,,5.0,20.0,27.0,3.0,5.0,7.0,2.0,,140.0,,1.0,4.0,1.0,,8.0,2.0,131.0,99.0,40.0,10.0,2.0,13.0,1.0,,,1.0,1.0,,3.0,6.0,27.0,2.0,4.0,47.0,132.0,,0.0,73.0,7.0,,,32.0,47.0,7.0,74.0,1.0,,1.0,21.0,3.0,1.0,1.0,99.0,,12.0,117.0,616.0,7.0,4.0,19.0,8.0,372.0,25.0,,1.0,11.0,1.0,,3.0,8.0,1.0,14.0,439.0,39.0,95658,1.0,261.0,1.0,,2.0,285.0,5.0,1.0,13.0,8.0,43.0,,,,1.0,1.0,1.0,12.0,5.0,7.0,,44.0,392.0,8.0,12.0,,6.0,2.0,53.0,,0.0,1.0,12.0,2.0,1.0,2.0,0.0,1.0,,,45.2,12.0,,2.0,5.0,1.0,7.0,32.0,3.0,1.0,462.0,8.0,5.0,23.0,1.0,14.0,,,180.0,5.0,4.0,13.0,47.0,14.0,2.0,11.0,15.0,,8.0,4.0,10.0,2.0,13.0,3.0,1.0,,,,,,,1.0,,,,,,,,,3.0,,,,3.0,,1.0,,,,1.0,1.0,,,,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367582,2023-09-16 15:00:00,"Old Trafford, Manchester",73592.0,Home,Manchester United,Brighton and Hove Albion,1,3,L,0,1,0,0,,,,63.0,1.0,3.0,23.0,2.0,6.0,2.0,8.0,5.0,3.0,159.0,,2.0,22.0,1.0,2.0,12.0,4.0,125.0,122.0,48.0,14.0,3.0,5.0,1.0,,,1.0,1.0,1.0,19.0,10.0,2.0,5.0,3.0,49.0,204.0,,0.0,135.0,8.0,2.0,,77.0,45.0,7.0,83.0,,,14.0,16.0,6.0,7.0,,122.0,1.0,7.0,130.0,659.0,10.0,,23.0,4.0,406.0,23.0,,1.0,,1.0,,2.0,,4.0,14.0,477.0,64.0,95658,4.0,223.0,1.0,7.0,,236.0,7.0,3.0,7.0,4.0,38.0,1.0,,,4.0,5.0,1.0,8.0,3.0,4.0,2.0,53.0,425.0,9.0,6.0,,6.0,1.0,64.0,,0.0,1.0,1.0,4.0,,,0.0,1.0,,2.0,43.9,13.0,2.0,7.0,3.0,5.0,6.0,36.0,8.0,,497.0,4.0,10.0,21.0,4.0,24.0,1.0,4.0,280.0,10.0,3.0,1.0,98.0,26.0,,,16.0,,11.0,5.0,31.0,,7.0,8.0,,1.0,,,2.0,,2.0,,1.0,,,1.0,,,1.0,,3.0,,,,3.0,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367591,2023-09-23 20:00:00,"Turf Moor, Burnley",21593.0,Away,Manchester United,Burnley,1,0,W,1,0,0,0,,2.0,,56.0,1.0,3.0,20.0,26.0,3.0,6.0,8.0,4.0,1.0,117.0,1.0,5.0,2.0,1.0,,11.0,4.0,110.0,122.0,32.0,11.0,2.0,12.0,2.0,1.0,,1.0,1.0,2.0,12.0,10.0,26.0,4.0,4.0,45.0,149.0,1.0,0.0,106.0,12.0,2.0,,50.0,44.0,8.0,59.0,,,8.0,18.0,3.0,3.0,,122.0,1.0,8.0,117.0,559.0,8.0,4.0,22.0,7.0,310.0,20.0,,2.0,11.0,1.0,,2.0,3.0,2.0,16.0,388.0,45.0,90152,3.0,178.0,1.0,5.0,,199.0,8.0,1.0,8.0,6.0,47.0,,3.0,,3.0,3.0,1.0,12.0,4.0,5.0,,45.0,322.0,6.0,10.0,1.0,11.0,1.0,48.0,1.0,0.0,2.0,9.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,38.2,12.0,,9.0,3.0,3.0,5.0,24.0,5.0,1.0,403.0,7.0,6.0,18.0,2.0,28.0,3.0,2.0,216.0,4.0,3.0,11.0,69.0,21.0,1.0,11.0,13.0,,10.0,2.0,9.0,1.0,8.0,5.0,1.0,,,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367602,2023-09-30 15:00:00,"Old Trafford, Manchester",73428.0,Home,Manchester United,Crystal Palace,0,1,L,0,1,0,0,1.0,1.0,,65.0,1.0,6.0,31.0,11.0,4.0,3.0,15.0,1.0,2.0,208.0,,4.0,13.0,,1.0,14.0,4.0,218.0,160.0,63.0,19.0,1.0,13.0,3.0,1.0,,,2.0,3.0,33.0,21.0,11.0,9.0,8.0,55.0,396.0,,0.0,241.0,10.0,1.0,1.0,99.0,118.0,7.0,103.0,,2.0,24.0,22.0,4.0,6.0,2.0,160.0,2.0,5.0,212.0,967.0,12.0,1.0,47.0,4.0,637.0,23.0,1.0,1.0,3.0,,,3.0,2.0,7.0,31.0,725.0,81.0,95658,9.0,261.0,2.0,17.0,1.0,278.0,8.0,3.0,6.0,7.0,58.0,1.0,3.0,,2.0,3.0,,11.0,3.0,7.0,1.0,46.0,653.0,8.0,10.0,2.0,6.0,4.0,65.0,,0.0,1.0,4.0,,,1.0,0.0,2.0,,5.0,77.1,28.0,4.0,9.0,4.0,3.0,7.0,51.0,10.0,,741.0,4.0,18.0,36.0,8.0,50.0,2.0,6.0,496.0,11.0,7.0,10.0,186.0,30.0,2.0,3.0,32.0,,15.0,5.0,21.0,2.0,6.0,10.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2367615,2023-10-07 15:00:00,"Old Trafford, Manchester",73453.0,Home,Manchester United,Brentford,2,1,W,0,1,0,0,,1.0,1.0,49.0,1.0,2.0,41.0,9.0,7.0,5.0,14.0,2.0,5.0,152.0,,9.0,8.0,2.0,3.0,18.0,8.0,164.0,134.0,41.0,21.0,2.0,10.0,3.0,1.0,,,2.0,4.0,36.0,2.0,9.0,7.0,7.0,67.0,361.0,,0.0,263.0,10.0,1.0,1.0,102.0,92.0,9.0,90.0,,3.0,29.0,18.0,7.0,12.0,2.0,134.0,1.0,6.0,151.0,755.0,17.0,1.0,46.0,10.0,465.0,14.0,,2.0,3.0,1.0,,0.0,1.0,9.0,33.0,531.0,74.0,95658,9.0,136.0,,16.0,,152.0,6.0,2.0,7.0,10.0,42.0,1.0,,,4.0,3.0,1.0,11.0,5.0,9.0,2.0,57.0,488.0,16.0,5.0,,7.0,,52.0,,0.0,,5.0,1.0,2.0,1.0,0.0,9.0,1.0,4.0,63.9,28.0,3.0,6.0,4.0,3.0,4.0,37.0,7.0,,557.0,10.0,11.0,42.0,9.0,60.0,,7.0,441.0,12.0,5.0,13.0,226.0,26.0,,3.0,4.0,1.0,19.0,5.0,15.0,,7.0,7.0,,1.0,,,3.0,,4.0,,1.0,,,,,,1.0,,1.0,,,,1.0,2.0,,1.0,,3.0,,1.0,,1.0,,,,,,,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2367626,2023-10-21 20:00:00,"Bramall Lane, Sheffield",31543.0,Away,Manchester United,Sheffield United,2,1,W,1,1,0,0,2.0,2.0,,79.0,3.0,1.0,31.0,18.0,9.0,7.0,5.0,5.0,1.0,179.0,,3.0,9.0,2.0,2.0,9.0,5.0,143.0,162.0,53.0,14.0,2.0,18.0,1.0,1.0,,2.0,,2.0,21.0,8.0,18.0,3.0,9.0,50.0,212.0,,0.0,160.0,10.0,3.0,,82.0,71.0,5.0,88.0,,2.0,18.0,15.0,9.0,7.0,2.0,162.0,2.0,6.0,146.0,747.0,6.0,2.0,21.0,6.0,432.0,34.0,,1.0,13.0,2.0,,1.0,3.0,3.0,17.0,537.0,76.0,95658,2.0,240.0,3.0,11.0,,269.0,4.0,1.0,5.0,2.0,46.0,,2.0,1.0,4.0,5.0,2.0,16.0,6.0,2.0,,63.0,449.0,12.0,7.0,,9.0,3.0,83.0,1.0,0.0,,5.0,2.0,1.0,,0.0,3.0,1.0,,62.5,14.0,,9.0,1.0,5.0,3.0,42.0,4.0,2.0,556.0,6.0,11.0,21.0,6.0,28.0,,2.0,308.0,7.0,9.0,16.0,112.0,30.0,,13.0,16.0,,10.0,5.0,12.0,,5.0,4.0,,1.0,2.0,,2.0,,2.0,2.0,1.0,,,2.0,,,,,1.0,,,,1.0,,1.0,,,,1.0,2.0,,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,2367635,2023-10-29 15:30:00,"Old Trafford, Manchester",73502.0,Home,Manchester United,Manchester City,0,3,L,0,1,0,0,,1.0,,41.0,3.0,1.0,20.0,24.0,1.0,1.0,6.0,7.0,2.0,115.0,,3.0,4.0,,1.0,7.0,3.0,112.0,117.0,30.0,7.0,,11.0,2.0,,1.0,,2.0,1.0,16.0,8.0,24.0,5.0,2.0,38.0,119.0,,0.0,74.0,9.0,5.0,,38.0,36.0,4.0,58.0,,1.0,11.0,12.0,1.0,6.0,,117.0,1.0,12.0,106.0,541.0,4.0,2.0,16.0,6.0,295.0,19.0,,2.0,15.0,,1.0,4.0,5.0,3.0,16.0,370.0,24.0,95658,5.0,200.0,1.0,5.0,,238.0,6.0,,3.0,10.0,43.0,,1.0,,4.0,2.0,,11.0,9.0,10.0,,36.0,316.0,5.0,12.0,3.0,5.0,3.0,48.0,,0.0,,12.0,4.0,,,0.0,1.0,,1.0,39.5,14.0,1.0,5.0,,2.0,1.0,29.0,7.0,,391.0,6.0,8.0,18.0,3.0,17.0,2.0,3.0,169.0,5.0,2.0,7.0,54.0,15.0,1.0,15.0,14.0,,4.0,5.0,8.0,1.0,3.0,7.0,,,,,1.0,,,,,,,,1.0,,,,3.0,1.0,,,3.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
