gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attSvHighLeft,attMissHighLeft,goalAssist,accurateFreekickCross,errorLeadToShot,defenderGoals,attSvLowRight,attFreekickTarget,overrun,attIboxGoal,goalsConceded,goalAssistIntentional,attBxLeft,attHdGoal,goalsConcededIbox,errorLeadToGoal,bigChanceScored,attGoalLowRight,attLfGoal,attCmissRight,attBxRight,accurateKeeperSweeper,goodHighClaim,totalKeeperSweeper,sixYardBlock,goalsOpenplay,attGoalHighLeft,attCmissLeft,totalHighClaim,forwardGoals,penaltySave,penaltyConceded,punches,penaltyFaced,clearanceOffLine,goalAssistOpenplay,goalFastbreak,midfielderGoals,attGoalHighCentre,hitWoodwork,attRfGoal,attCorner,attSvHighCentre,ptsDroppedWinningPos,contentiousDecision,accuratePullBack,postScoringAtt,attIboxPost,attHdPost,accurateThroughBall,totalPullBack,attPostHigh,ownGoals,attIboxOwnGoal,foulThrowIn,attSvHighRight,attObpGoal,penGoalsConceded,ptsGainedLosingPos,attCmissHighLeft,attGoalLowCentre,attPostLeft,penaltyWon,attPenGoal,attOboxGoal,attObxdLeft,attCmissHighRight,attOboxPost,attPostRight
1,987599,2018-08-12 13:30:00,"St. Mary's Stadium, Southampton",30784,Away,Burnley,Southampton,0,0,D,0,0,0,0,1.0,1.0,53.0,2.0,36.0,35.0,6.0,6.0,10.0,3.0,2.0,164.0,3.0,3.0,3.0,10.0,6.0,94.0,144.0,50.0,1.0,16.0,2.0,25.0,5.0,1.0,2.0,2.0,20.0,7.0,1.0,35.0,4.0,4.0,35.0,1.0,193.0,1.0,1.0,0.0,148.0,9.0,2.0,1.0,4.0,3.0,87.0,50.0,6.0,60.0,1.0,2.0,16.0,13.0,6.0,1.0,5.0,3.0,144.0,1.0,9.0,90.0,591.0,9.0,11.0,21.0,3.0,5.0,298.0,19.0,8.0,18.0,1.0,9.0,4.0,15.0,386.0,70.0,83314,9.0,121.0,2.0,8.0,2.0,134.0,3.0,13.0,12.0,57.0,1.0,2.0,5.0,1.0,9.0,9.0,6.0,1.0,69.0,311.0,10.0,8.0,1.0,27.0,84.0,1.0,0.0,8.0,3.0,1.0,0.0,1.0,1.0,4.0,52.3,15.0,1.0,1.0,1.0,4.0,48.0,5.0,408.0,5.0,1.0,8.0,21.0,6.0,34.0,2.0,3.0,294.0,6.0,4.0,28.0,94.0,28.0,2.0,18.0,9.0,9.0,3.0,11.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987603,2018-08-19 13:30:00,"Turf Moor, Burnley",18822,Home,Burnley,Watford,1,3,L,1,1,0,0,,1.0,75.0,1.0,38.0,21.0,3.0,2.0,5.0,3.0,1.0,193.0,5.0,4.0,3.0,5.0,3.0,81.0,181.0,68.0,1.0,8.0,1.0,26.0,1.0,,,1.0,32.0,10.0,1.0,21.0,4.0,5.0,40.0,,201.0,,,0.0,134.0,8.0,3.0,,,3.0,107.0,64.0,3.0,82.0,1.0,,28.0,13.0,3.0,1.0,13.0,1.0,181.0,,5.0,105.0,654.0,3.0,11.0,20.0,,10.0,328.0,37.0,9.0,9.0,1.0,3.0,2.0,23.0,433.0,72.0,83314,3.0,151.0,,12.0,2.0,181.0,3.0,13.0,2.0,56.0,1.0,,2.0,4.0,11.0,4.0,1.0,1.0,94.0,347.0,19.0,4.0,1.0,45.0,96.0,,0.0,2.0,2.0,3.0,0.0,4.0,,2.0,58.4,17.0,1.0,5.0,4.0,2.0,45.0,5.0,461.0,10.0,,13.0,18.0,3.0,36.0,1.0,2.0,312.0,3.0,5.0,32.0,83.0,25.0,,9.0,15.0,4.0,3.0,9.0,,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987614,2018-08-26 16:00:00,"Craven Cottage, London",23438,Away,Burnley,Fulham,2,4,L,2,3,0,0,,,60.0,2.0,40.0,20.0,3.0,4.0,9.0,8.0,,140.0,5.0,7.0,4.0,8.0,2.0,54.0,131.0,55.0,1.0,12.0,3.0,14.0,,,,1.0,27.0,10.0,,20.0,3.0,6.0,36.0,,136.0,1.0,,0.0,115.0,8.0,3.0,,,1.0,56.0,47.0,4.0,53.0,1.0,1.0,24.0,12.0,3.0,1.0,11.0,,131.0,1.0,8.0,54.0,492.0,5.0,10.0,21.0,,11.0,200.0,22.0,6.0,9.0,1.0,2.0,4.0,21.0,264.0,73.0,83314,5.0,92.0,,12.0,1.0,103.0,5.0,12.0,14.0,34.0,1.0,,5.0,7.0,11.0,17.0,9.0,1.0,78.0,223.0,10.0,4.0,2.0,25.0,80.0,,0.0,6.0,3.0,4.0,0.0,4.0,,3.0,36.2,16.0,3.0,5.0,8.0,5.0,47.0,4.0,301.0,11.0,,5.0,21.0,5.0,33.0,1.0,5.0,225.0,5.0,5.0,17.0,66.0,18.0,1.0,9.0,21.0,7.0,3.0,11.0,1.0,6.0,4.0,1.0,,5.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,2.0,4.0,,1.0,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987623,2018-09-02 16:00:00,"Turf Moor, Burnley",21525,Home,Burnley,Manchester United,0,2,L,0,2,0,1,,,54.0,,25.0,28.0,4.0,3.0,5.0,7.0,,149.0,6.0,4.0,2.0,8.0,2.0,102.0,120.0,48.0,,9.0,1.0,19.0,2.0,,1.0,,23.0,6.0,,28.0,1.0,9.0,37.0,,239.0,,,0.0,153.0,7.0,4.0,,,2.0,74.0,62.0,3.0,67.0,2.0,3.0,22.0,9.0,4.0,,9.0,3.0,120.0,2.0,13.0,119.0,599.0,7.0,5.0,14.0,2.0,6.0,336.0,20.0,5.0,13.0,2.0,6.0,5.0,15.0,411.0,70.0,83314,3.0,117.0,2.0,11.0,2.0,127.0,6.0,9.0,8.0,38.0,1.0,2.0,1.0,8.0,6.0,8.0,4.0,3.0,61.0,350.0,12.0,6.0,1.0,21.0,84.0,,0.0,5.0,6.0,,0.0,6.0,,5.0,46.6,12.0,3.0,,8.0,1.0,47.0,2.0,437.0,6.0,,5.0,17.0,6.0,36.0,,3.0,333.0,1.0,7.0,21.0,107.0,24.0,,13.0,12.0,5.0,3.0,5.0,,2.0,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987641,2018-09-16 13:30:00,"Molineux Stadium, Wolverhampton",30406,Away,Burnley,Wolverhampton Wanderers,0,1,L,0,0,0,0,,1.0,57.0,,32.0,22.0,5.0,5.0,2.0,5.0,1.0,146.0,2.0,4.0,3.0,4.0,2.0,92.0,140.0,68.0,1.0,7.0,,23.0,1.0,,2.0,3.0,12.0,5.0,1.0,22.0,2.0,6.0,30.0,,143.0,,,0.0,97.0,9.0,2.0,,,2.0,72.0,30.0,2.0,71.0,3.0,,10.0,17.0,5.0,1.0,4.0,4.0,140.0,,20.0,86.0,571.0,4.0,11.0,8.0,,12.0,283.0,24.0,9.0,14.0,4.0,11.0,2.0,11.0,369.0,57.0,83314,,156.0,,4.0,2.0,176.0,3.0,17.0,14.0,51.0,1.0,,1.0,5.0,14.0,10.0,7.0,2.0,81.0,297.0,10.0,6.0,,32.0,88.0,,0.0,8.0,5.0,2.0,0.0,1.0,1.0,,41.1,9.0,,2.0,5.0,,42.0,2.0,395.0,12.0,1.0,7.0,12.0,5.0,18.0,1.0,1.0,231.0,2.0,2.0,37.0,53.0,22.0,4.0,14.0,17.0,4.0,3.0,10.0,4.0,13.0,2.0,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987644,2018-09-22 15:00:00,"Turf Moor, Burnley",18636,Home,Burnley,Bournemouth,4,0,W,2,0,0,0,,1.0,52.0,4.0,38.0,31.0,2.0,4.0,10.0,5.0,,164.0,5.0,,,8.0,5.0,70.0,158.0,44.0,,12.0,,21.0,,1.0,1.0,1.0,20.0,9.0,1.0,31.0,3.0,6.0,38.0,,150.0,,1.0,0.0,132.0,17.0,3.0,2.0,,,56.0,54.0,6.0,56.0,1.0,1.0,17.0,21.0,2.0,,7.0,1.0,158.0,1.0,7.0,70.0,551.0,6.0,15.0,25.0,,15.0,231.0,23.0,6.0,17.0,2.0,7.0,2.0,17.0,335.0,61.0,83314,5.0,98.0,,10.0,,122.0,10.0,21.0,12.0,57.0,1.0,1.0,1.0,2.0,14.0,12.0,4.0,1.0,88.0,243.0,6.0,11.0,,34.0,82.0,1.0,0.0,8.0,2.0,3.0,0.0,4.0,,1.0,37.6,16.0,1.0,4.0,2.0,4.0,38.0,3.0,360.0,15.0,,6.0,23.0,3.0,34.0,1.0,2.0,258.0,7.0,6.0,25.0,75.0,18.0,1.0,17.0,15.0,11.0,2.0,2.0,1.0,15.0,3.0,,2.0,3.0,,,4.0,,,2.0,,,,,,2.0,4.0,,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,4.0,,,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,987654,2018-09-30 16:00:00,"Cardiff City Stadium, Cardiff",30411,Away,Burnley,Cardiff City,2,1,W,0,0,0,0,,,44.0,,22.0,66.0,1.0,,2.0,3.0,,144.0,2.0,3.0,,3.0,2.0,46.0,167.0,64.0,,3.0,,67.0,,,,,8.0,6.0,,66.0,2.0,3.0,30.0,,91.0,1.0,,0.0,90.0,15.0,2.0,,,,44.0,62.0,2.0,50.0,,,6.0,17.0,1.0,,1.0,1.0,167.0,,13.0,47.0,496.0,1.0,13.0,12.0,,10.0,150.0,24.0,8.0,36.0,3.0,7.0,1.0,27.0,258.0,48.0,83314,1.0,70.0,,5.0,,102.0,5.0,17.0,12.0,94.0,,,1.0,1.0,19.0,7.0,3.0,,85.0,159.0,11.0,5.0,,49.0,82.0,,0.0,10.0,3.0,2.0,0.0,2.0,,2.0,45.7,24.0,,2.0,1.0,,19.0,2.0,287.0,10.0,,8.0,12.0,1.0,18.0,,,193.0,1.0,3.0,39.0,47.0,14.0,2.0,36.0,12.0,2.0,2.0,4.0,2.0,7.0,2.0,,,1.0,1.0,,2.0,,,2.0,,,,,,1.0,2.0,1.0,2.0,,2.0,1.0,,,2.0,,,,2.0,,2.0,,1.0,,,,1.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,987663,2018-10-06 15:00:00,"Turf Moor, Burnley",20533,Home,Burnley,Huddersfield Town,1,1,D,1,0,0,0,1.0,1.0,55.0,1.0,26.0,42.0,2.0,2.0,4.0,1.0,,135.0,5.0,5.0,1.0,6.0,3.0,55.0,147.0,56.0,,6.0,2.0,26.0,2.0,,1.0,,14.0,9.0,,42.0,1.0,6.0,22.0,,105.0,,,0.0,94.0,9.0,1.0,,,1.0,49.0,42.0,6.0,42.0,,,13.0,18.0,2.0,,9.0,,147.0,,9.0,43.0,473.0,5.0,17.0,12.0,1.0,11.0,158.0,18.0,8.0,29.0,2.0,9.0,,24.0,250.0,60.0,83314,4.0,69.0,,3.0,1.0,95.0,3.0,18.0,12.0,48.0,,,3.0,2.0,16.0,9.0,4.0,,69.0,169.0,10.0,4.0,,34.0,74.0,,0.0,10.0,,7.0,0.0,5.0,1.0,2.0,31.8,22.0,,1.0,2.0,3.0,30.0,1.0,275.0,11.0,,4.0,5.0,,18.0,,,194.0,2.0,2.0,25.0,47.0,28.0,6.0,29.0,17.0,5.0,3.0,11.0,6.0,9.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,987678,2018-10-20 15:00:00,"Etihad Stadium, Manchester",54094,Away,Burnley,Manchester City,0,5,L,0,1,0,0,,,42.0,1.0,27.0,19.0,1.0,2.0,4.0,5.0,,117.0,3.0,3.0,2.0,3.0,,64.0,103.0,40.0,,5.0,,14.0,,,,1.0,9.0,6.0,,19.0,1.0,6.0,24.0,,94.0,1.0,,0.0,70.0,5.0,2.0,,,2.0,48.0,21.0,,48.0,2.0,,8.0,14.0,1.0,,5.0,1.0,103.0,,18.0,73.0,451.0,1.0,10.0,9.0,,12.0,208.0,22.0,9.0,5.0,2.0,8.0,3.0,15.0,276.0,47.0,83314,2.0,135.0,,1.0,1.0,156.0,2.0,14.0,9.0,39.0,1.0,,,3.0,5.0,6.0,6.0,2.0,61.0,226.0,10.0,5.0,2.0,30.0,61.0,,0.0,10.0,5.0,1.0,0.0,2.0,2.0,2.0,30.9,14.0,2.0,2.0,3.0,1.0,33.0,1.0,302.0,12.0,,10.0,10.0,4.0,18.0,1.0,3.0,155.0,1.0,6.0,16.0,35.0,13.0,3.0,5.0,12.0,3.0,3.0,8.0,3.0,8.0,1.0,2.0,,,,,,,,,1.0,,,,,,,5.0,,1.0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,987683,2018-10-28 13:30:00,"Turf Moor, Burnley",21430,Home,Burnley,Chelsea,0,4,L,0,1,0,0,,,43.0,,32.0,14.0,3.0,3.0,4.0,4.0,,121.0,2.0,4.0,2.0,3.0,1.0,60.0,106.0,35.0,,7.0,2.0,18.0,1.0,,1.0,,23.0,5.0,,14.0,4.0,1.0,33.0,,127.0,,,0.0,72.0,14.0,4.0,,,2.0,50.0,72.0,2.0,71.0,1.0,2.0,19.0,21.0,3.0,,8.0,1.0,106.0,,17.0,73.0,490.0,2.0,7.0,11.0,1.0,12.0,250.0,13.0,6.0,5.0,4.0,7.0,1.0,20.0,304.0,39.0,90517,2.0,141.0,,9.0,,157.0,7.0,21.0,8.0,52.0,,,5.0,1.0,10.0,7.0,4.0,1.0,56.0,266.0,7.0,11.0,1.0,18.0,56.0,,0.0,4.0,4.0,,0.0,1.0,1.0,2.0,30.2,20.0,1.0,5.0,1.0,2.0,37.0,4.0,325.0,12.0,,4.0,23.0,4.0,22.0,1.0,3.0,191.0,2.0,1.0,11.0,47.0,23.0,1.0,5.0,13.0,6.0,3.0,9.0,1.0,14.0,4.0,2.0,,,,,,,1.0,,,,,,,2.0,,4.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
