gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,penaltySave,savedObox,goals,attCmissRight,attBxRight,attSvLowCentre,attGoalHighRight,attMissHighRight,cleanSheet,attMissRight,penaltyConceded,attRfGoal,goalsOpenplay,attIboxGoal,penaltyFaced,forwardGoals,attGoalLowLeft,attLfGoal,postScoringAtt,goalAssistOpenplay,attMissLeft,attIboxPost,midfielderGoals,attHdPost,hitWoodwork,goalAssist,errorLeadToShot,totalOffside,attPostHigh,attSvHighCentre,attCmissLeft,shieldBallOop,handBall,attSvHighRight,attHdTarget,attGoalLowCentre,penaltyWon,defenderGoals,attPenGoal,attGoalHighLeft,goalAssistIntentional,attHdGoal,errorLeadToGoal,goalsConcededObox,attSvLowLeft,attPostLeft,penGoalsConceded,goalFastbreak,attPostRight,attGoalLowRight,accuratePullBack,attOboxGoal,ptsDroppedWinningPos,attGoalHighCentre,attLgCentre,ptsGainedLosingPos,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,attFreekickPost,attOboxPost,fwdPass,attObxLeft,attCmissHighRight,secondYellow,attObxdRight,attFreekickGoal,attObxRight,attObxdLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attObpGoal,expectedGoals
1,284007,2009-08-15 15:00:00,"bet365 Stadium, Stoke",27385.0,Away,Burnley,Stoke City,0,2,L,0,2,0,0,1.0,46.0,5.0,24.0,57.0,6.0,4.0,8.0,2.0,2.0,5.0,6.0,6.0,11.0,3.0,181.0,44.0,2.0,14.0,1.0,11.0,1.0,1.0,1.0,33.0,9.0,2.0,28.0,4.0,22.0,42.0,173.0,0.0,161.0,10.0,1.0,1.0,1.0,3.0,2.0,57.0,81.0,7.0,2.0,29.0,6.0,2.0,8.0,3.0,152.0,8.0,590.0,9.0,8.0,20.0,12.0,245.0,16.0,1.0,2.0,36.0,1.0,2.0,2.0,4.0,31.0,331.0,98.0,3.0,1.0,73994,5.0,89.0,18.0,2.0,2.0,101.0,1.0,14.0,37.0,1.0,1.0,7.0,5.0,6.0,3.0,4.0,66.0,257.0,16.0,1.0,2.0,16.0,1.0,84.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,62.3,28.0,1.0,3.0,3.0,5.0,6.0,1.0,35.0,6.0,2.0,362.0,11.0,1.0,8.0,20.0,5.0,46.0,1.0,2.0,294.0,9.0,20.0,11.0,90.0,16.0,1.0,1.0,17.0,11.0,2.0,8.0,3.0,13.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284012,2009-08-19 19:45:00,"Turf Moor, Burnley",20872.0,Home,Burnley,Manchester United,1,0,W,1,0,0,0,,44.0,,19.0,73.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,156.0,36.0,1.0,9.0,,8.0,1.0,,3.0,16.0,5.0,1.0,43.0,,11.0,26.0,108.0,0.0,112.0,8.0,2.0,,,1.0,2.0,57.0,42.0,2.0,1.0,16.0,4.0,1.0,4.0,3.0,126.0,11.0,520.0,5.0,8.0,15.0,20.0,187.0,17.0,1.0,3.0,27.0,3.0,2.0,6.0,3.0,24.0,261.0,69.0,1.0,,73994,2.0,93.0,11.0,,1.0,105.0,1.0,15.0,40.0,,,5.0,2.0,8.0,4.0,,68.0,198.0,12.0,9.0,,30.0,,86.0,,1.0,2.0,0.0,,13.0,2.0,,3.0,0.0,3.0,1.0,,33.3,20.0,1.0,,,2.0,,,31.0,1.0,2.0,292.0,20.0,1.0,6.0,9.0,6.0,22.0,,3.0,203.0,5.0,8.0,11.0,55.0,19.0,8.0,,15.0,9.0,,7.0,3.0,11.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284022,2009-08-23 15:00:00,"Turf Moor, Burnley",19983.0,Home,Burnley,Everton,1,0,W,1,0,0,0,1.0,47.0,1.0,21.0,52.0,2.0,7.0,10.0,1.0,1.0,6.0,6.0,1.0,9.0,3.0,161.0,50.0,,12.0,1.0,7.0,2.0,2.0,,19.0,15.0,,25.0,2.0,11.0,31.0,124.0,0.0,120.0,13.0,1.0,2.0,,1.0,,52.0,75.0,4.0,2.0,17.0,2.0,,4.0,1.0,134.0,9.0,509.0,8.0,4.0,22.0,20.0,172.0,16.0,,12.0,29.0,,1.0,13.0,5.0,22.0,250.0,75.0,1.0,,73994,6.0,67.0,12.0,,,80.0,,12.0,47.0,,,1.0,1.0,14.0,3.0,,61.0,185.0,13.0,9.0,,35.0,2.0,80.0,2.0,,3.0,0.0,,7.0,1.0,,,0.0,6.0,3.0,,40.6,20.0,2.0,,2.0,1.0,2.0,,30.0,3.0,1.0,284.0,19.0,,14.0,12.0,7.0,24.0,,5.0,223.0,2.0,9.0,13.0,61.0,21.0,5.0,,11.0,18.0,,10.0,3.0,10.0,5.0,3.0,,,1.0,,1.0,1.0,,,1.0,5.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284033,2009-08-29 12:45:00,"Stamford Bridge, London",40906.0,Away,Burnley,Chelsea,0,3,L,0,1,0,0,,77.0,,38.0,24.0,3.0,2.0,1.0,11.0,,,10.0,1.0,4.0,,167.0,61.0,,4.0,1.0,8.0,,,2.0,16.0,22.0,,11.0,1.0,23.0,29.0,134.0,0.0,115.0,5.0,5.0,,,1.0,1.0,55.0,62.0,1.0,3.0,15.0,3.0,,7.0,2.0,154.0,18.0,590.0,4.0,7.0,4.0,30.0,257.0,41.0,,5.0,12.0,3.0,1.0,9.0,3.0,14.0,354.0,64.0,,,73994,1.0,139.0,7.0,,,175.0,,17.0,56.0,,,,8.0,15.0,7.0,1.0,79.0,273.0,7.0,18.0,,23.0,,74.0,,,,0.0,,10.0,8.0,3.0,1.0,0.0,,,,40.0,14.0,,2.0,,9.0,1.0,1.0,31.0,1.0,1.0,384.0,30.0,,16.0,13.0,3.0,16.0,,1.0,225.0,2.0,19.0,11.0,66.0,20.0,1.0,,4.0,32.0,3.0,4.0,3.0,19.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284043,2009-09-12 15:00:00,"Anfield, Liverpool",43817.0,Away,Burnley,Liverpool,0,4,L,0,2,0,0,1.0,47.0,,26.0,25.0,4.0,2.0,3.0,11.0,1.0,5.0,7.0,1.0,7.0,3.0,162.0,46.0,,7.0,1.0,10.0,1.0,,1.0,17.0,16.0,2.0,16.0,4.0,11.0,17.0,143.0,0.0,139.0,11.0,8.0,,,2.0,3.0,27.0,83.0,4.0,1.0,13.0,4.0,,4.0,1.0,153.0,13.0,539.0,5.0,8.0,13.0,19.0,220.0,17.0,,7.0,5.0,1.0,2.0,3.0,3.0,18.0,313.0,84.0,1.0,1.0,73994,2.0,91.0,7.0,,,109.0,,12.0,60.0,1.0,,3.0,6.0,15.0,3.0,1.0,64.0,229.0,8.0,15.0,2.0,24.0,2.0,88.0,,,,0.0,,7.0,4.0,4.0,1.0,0.0,3.0,2.0,,39.6,16.0,1.0,1.0,1.0,6.0,1.0,,39.0,5.0,3.0,340.0,19.0,,22.0,10.0,3.0,24.0,2.0,2.0,248.0,3.0,10.0,10.0,75.0,13.0,2.0,,2.0,21.0,4.0,5.0,3.0,10.0,2.0,5.0,,7.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284053,2009-09-19 12:45:00,"Turf Moor, Burnley",20196.0,Home,Burnley,Sunderland,3,1,W,1,1,0,0,,62.0,,28.0,42.0,5.0,4.0,4.0,3.0,,3.0,7.0,2.0,7.0,3.0,186.0,60.0,,9.0,1.0,20.0,,,1.0,18.0,17.0,,23.0,3.0,21.0,36.0,150.0,0.0,145.0,4.0,2.0,,,1.0,1.0,45.0,91.0,3.0,1.0,15.0,5.0,,6.0,4.0,167.0,5.0,590.0,4.0,15.0,15.0,17.0,222.0,19.0,,15.0,24.0,1.0,0.0,1.0,4.0,30.0,332.0,102.0,1.0,,73994,4.0,89.0,8.0,,1.0,111.0,,10.0,48.0,2.0,,3.0,4.0,4.0,2.0,3.0,73.0,236.0,15.0,4.0,1.0,46.0,,104.0,,,,0.0,,4.0,3.0,1.0,2.0,0.0,2.0,1.0,,50.3,23.0,,2.0,,4.0,1.0,,47.0,4.0,1.0,361.0,17.0,,12.0,18.0,5.0,29.0,1.0,1.0,268.0,4.0,17.0,17.0,72.0,28.0,5.0,,12.0,21.0,1.0,7.0,3.0,15.0,5.0,4.0,,,3.0,1.0,,,1.0,,,2.0,,1.0,2.0,3.0,,,,1.0,,2.0,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284068,2009-09-26 15:00:00,"White Hart Lane, London",35462.0,Away,Burnley,Tottenham Hotspur,0,5,L,0,2,0,0,1.0,31.0,1.0,22.0,31.0,4.0,4.0,8.0,5.0,4.0,6.0,7.0,2.0,7.0,5.0,158.0,40.0,1.0,12.0,1.0,10.0,2.0,1.0,2.0,25.0,9.0,3.0,23.0,7.0,13.0,30.0,180.0,0.0,130.0,13.0,3.0,1.0,,2.0,1.0,50.0,68.0,3.0,2.0,18.0,4.0,1.0,9.0,,150.0,12.0,587.0,3.0,4.0,16.0,15.0,285.0,15.0,,3.0,15.0,2.0,2.0,3.0,4.0,25.0,375.0,92.0,,1.0,7545,4.0,118.0,7.0,,2.0,134.0,,8.0,53.0,,,3.0,3.0,7.0,2.0,,56.0,292.0,10.0,7.0,4.0,20.0,3.0,89.0,1.0,,,0.0,1.0,2.0,3.0,5.0,1.0,0.0,3.0,3.0,,48.7,23.0,3.0,2.0,2.0,3.0,2.0,,46.0,7.0,1.0,391.0,15.0,,17.0,15.0,5.0,37.0,3.0,4.0,282.0,5.0,13.0,11.0,72.0,9.0,,,9.0,12.0,4.0,5.0,3.0,13.0,,7.0,,2.0,,1.0,,,,1.0,,2.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,7.0,,,,1.0,,,,,,,,,,,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284073,2009-10-03 15:00:00,"Turf Moor, Burnley",20102.0,Home,Burnley,Birmingham City,2,1,W,0,0,0,0,,52.0,3.0,24.0,52.0,9.0,7.0,8.0,2.0,3.0,4.0,7.0,3.0,13.0,5.0,187.0,56.0,2.0,17.0,6.0,9.0,,1.0,2.0,25.0,12.0,3.0,37.0,6.0,15.0,39.0,163.0,0.0,155.0,17.0,,1.0,,1.0,,58.0,66.0,10.0,,19.0,9.0,2.0,4.0,,172.0,5.0,642.0,8.0,10.0,23.0,17.0,277.0,24.0,,5.0,35.0,2.0,0.0,4.0,3.0,31.0,387.0,101.0,3.0,1.0,7545,4.0,132.0,14.0,,1.0,146.0,,8.0,47.0,1.0,,4.0,4.0,7.0,5.0,1.0,71.0,291.0,12.0,3.0,3.0,25.0,2.0,100.0,1.0,,,0.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,58.7,24.0,1.0,2.0,2.0,4.0,9.0,,42.0,8.0,,413.0,16.0,,14.0,11.0,3.0,33.0,2.0,2.0,292.0,9.0,15.0,20.0,78.0,16.0,1.0,,24.0,17.0,,11.0,3.0,11.0,1.0,8.0,,1.0,2.0,,2.0,1.0,,,,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,,3.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284082,2009-10-18 13:00:00,"Ewood Park, Blackburn",26689.0,Away,Burnley,Blackburn Rovers,2,3,L,1,3,0,0,1.0,43.0,,33.0,35.0,7.0,4.0,4.0,3.0,1.0,5.0,8.0,,9.0,4.0,187.0,69.0,,11.0,2.0,19.0,,1.0,2.0,16.0,16.0,2.0,21.0,2.0,14.0,28.0,144.0,0.0,115.0,14.0,,1.0,,1.0,3.0,58.0,48.0,5.0,2.0,14.0,7.0,,6.0,2.0,173.0,9.0,609.0,5.0,10.0,16.0,8.0,240.0,15.0,,5.0,23.0,2.0,3.0,3.0,4.0,41.0,336.0,90.0,,1.0,7545,3.0,114.0,7.0,,1.0,138.0,1.0,7.0,71.0,,,,6.0,4.0,2.0,1.0,75.0,253.0,20.0,10.0,2.0,29.0,2.0,92.0,1.0,,1.0,0.0,,3.0,,3.0,7.0,0.0,4.0,2.0,1.0,54.0,26.0,2.0,,,7.0,2.0,,41.0,2.0,3.0,369.0,7.0,,18.0,13.0,5.0,25.0,1.0,3.0,247.0,5.0,14.0,18.0,52.0,12.0,2.0,,13.0,23.0,3.0,8.0,3.0,18.0,2.0,2.0,,3.0,2.0,1.0,,,,,,2.0,,1.0,2.0,1.0,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,284092,2009-10-24 15:00:00,"Turf Moor, Burnley",19430.0,Home,Burnley,Wigan Athletic,1,3,L,1,1,0,0,,60.0,2.0,27.0,31.0,4.0,,8.0,3.0,4.0,9.0,6.0,2.0,11.0,5.0,182.0,59.0,1.0,12.0,2.0,10.0,2.0,,2.0,21.0,17.0,2.0,22.0,4.0,17.0,21.0,165.0,0.0,144.0,12.0,1.0,,,,,44.0,74.0,8.0,2.0,17.0,4.0,1.0,3.0,,173.0,5.0,628.0,7.0,7.0,25.0,22.0,269.0,30.0,,8.0,16.0,2.0,2.0,2.0,3.0,34.0,372.0,88.0,,,7545,3.0,125.0,14.0,,,148.0,1.0,10.0,60.0,,,2.0,2.0,9.0,2.0,,70.0,281.0,11.0,5.0,3.0,29.0,3.0,108.0,,2.0,,0.0,,4.0,1.0,3.0,1.0,0.0,6.0,2.0,,48.4,28.0,1.0,,,2.0,4.0,,48.0,6.0,,401.0,22.0,,26.0,8.0,3.0,30.0,3.0,2.0,274.0,9.0,15.0,17.0,83.0,18.0,1.0,,9.0,25.0,2.0,7.0,3.0,13.0,1.0,7.0,,2.0,1.0,1.0,3.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
