gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attLfGoal,accuratePullBack,attCmissRight,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,attOneOnOne,attMissHighRight,attOboxGoal,totalFastbreak,interceptionsInBox,contentiousDecision,hitWoodwork,accurateThroughBall,attRfGoal,totalPullBack,totalOffside,attFastbreak,attSvLowRight,attCmissLeft,attFreekickGoal,attPostHigh,foulThrowIn,attSvHighCentre,forwardGoals,goalAssistDeadball,cleanSheet,errorLeadToShot,sixYardBlock,attCorner,attOboxBlocked,accurateFreekickCross,attCmissHighLeft,ptsDroppedWinningPos,handBall,attSvHighRight,attPostLeft,attLgCentre,attHdTarget,penaltyWon,attPenGoal,clearanceOffLine,errorLeadToGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighLeft,goalsConcededObox,secondYellow,attGoalHighCentre,attPostRight,attGoalHighRight,attCmissHighRight,attFreekickMiss,ptsGainedLosingPos,attFreekickPost,attOboxPost,ownGoals,attIboxOwnGoal,attHdPost,penaltySave,attOboxOwnGoal,attObxdRight,attObxdLeft
11,987701,2018-11-03 19:45:00,"Molineux Stadium, Wolverhampton",31185,Away,Tottenham Hotspur,Wolverhampton Wanderers,3,2,W,2,0,0,0,1.0,2.0,61.0,1.0,,1.0,,18.0,23.0,3.0,2.0,7.0,5.0,4.0,140.0,4.0,11.0,3.0,,8.0,8.0,145.0,132.0,48.0,,10.0,11.0,2.0,2.0,1.0,2.0,2.0,,7.0,12.0,3.0,23.0,,5.0,33.0,192.0,0.0,104.0,8.0,4.0,,2.0,,,1.0,70.0,52.0,7.0,78.0,,7.0,13.0,3.0,,2.0,,132.0,1.0,8.0,142.0,688.0,6.0,2.0,19.0,7.0,395.0,30.0,,5.0,11.0,2.0,1.0,2.0,5.0,1.0,23.0,472.0,48.0,95715,1.0,229.0,1.0,5.0,,259.0,7.0,13.0,9.0,56.0,,1.0,,3.0,3.0,11.0,8.0,4.0,1.0,50.0,417.0,9.0,15.0,,16.0,69.0,2.0,0.0,,1.0,5.0,3.0,3.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,51.4,19.0,,3.0,2.0,3.0,1.0,40.0,1.0,1.0,505.0,7.0,12.0,11.0,1.0,13.0,,1.0,253.0,7.0,4.0,7.0,67.0,20.0,1.0,11.0,21.0,1.0,2.0,10.0,3.0,21.0,1.0,6.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,3.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
12,987705,2018-11-10 17:30:00,"Selhurst Park, London",25685,Away,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,,1.0,57.0,,,3.0,,33.0,32.0,3.0,2.0,8.0,5.0,1.0,175.0,6.0,8.0,1.0,3.0,7.0,2.0,148.0,162.0,47.0,,11.0,19.0,,,1.0,,,2.0,23.0,10.0,1.0,32.0,5.0,7.0,35.0,256.0,0.0,125.0,9.0,3.0,,,,3.0,,110.0,85.0,2.0,105.0,2.0,18.0,18.0,3.0,,5.0,2.0,162.0,1.0,8.0,153.0,801.0,5.0,3.0,16.0,11.0,466.0,21.0,,4.0,13.0,,1.0,1.0,1.0,5.0,25.0,558.0,58.0,95715,5.0,234.0,1.0,10.0,1.0,260.0,5.0,18.0,6.0,54.0,,3.0,1.0,3.0,,19.0,3.0,5.0,2.0,64.0,484.0,11.0,7.0,2.0,21.0,87.0,1.0,0.0,,3.0,10.0,4.0,1.0,,1.0,0.0,5.0,,,5.0,64.6,20.0,4.0,4.0,1.0,3.0,3.0,56.0,6.0,,581.0,11.0,9.0,16.0,6.0,31.0,1.0,4.0,344.0,3.0,5.0,10.0,90.0,27.0,4.0,13.0,18.0,1.0,,6.0,3.0,19.0,4.0,8.0,6.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
13,987718,2018-11-24 17:30:00,"Wembley Stadium, London",55465,Home,Tottenham Hotspur,Chelsea,3,1,W,2,0,0,0,1.0,2.0,68.0,2.0,,,1.0,33.0,22.0,6.0,4.0,12.0,1.0,3.0,155.0,5.0,12.0,3.0,4.0,16.0,9.0,74.0,133.0,54.0,,18.0,13.0,5.0,,,2.0,1.0,1.0,9.0,7.0,1.0,22.0,1.0,2.0,34.0,171.0,0.0,120.0,19.0,1.0,,1.0,1.0,1.0,1.0,69.0,63.0,12.0,62.0,,8.0,18.0,6.0,,2.0,1.0,133.0,5.0,8.0,78.0,556.0,11.0,6.0,23.0,10.0,255.0,28.0,1.0,6.0,9.0,3.0,,0.0,6.0,4.0,15.0,333.0,47.0,95715,7.0,113.0,3.0,5.0,3.0,134.0,13.0,18.0,11.0,62.0,1.0,1.0,,3.0,2.0,17.0,5.0,5.0,3.0,66.0,279.0,12.0,15.0,2.0,19.0,70.0,,0.0,,2.0,4.0,,2.0,1.0,1.0,0.0,4.0,1.0,,4.0,39.9,13.0,1.0,10.0,,3.0,3.0,37.0,4.0,1.0,369.0,10.0,10.0,23.0,6.0,18.0,1.0,5.0,244.0,10.0,1.0,19.0,83.0,23.0,1.0,9.0,12.0,1.0,1.0,12.0,2.0,17.0,1.0,9.0,4.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,3.0,1.0,2.0,1.0,,,,2.0,2.0,1.0,,,,,3.0,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14,987722,2018-12-02 14:05:00,"Emirates Stadium, London",59973,Away,Tottenham Hotspur,Arsenal,2,4,L,2,1,1,0,1.0,1.0,65.0,2.0,,1.0,1.0,17.0,17.0,4.0,3.0,6.0,2.0,3.0,143.0,2.0,7.0,2.0,4.0,6.0,6.0,76.0,153.0,56.0,1.0,11.0,12.0,2.0,1.0,2.0,,,1.0,11.0,9.0,2.0,17.0,5.0,3.0,25.0,96.0,0.0,71.0,17.0,2.0,,1.0,2.0,2.0,,69.0,36.0,5.0,47.0,2.0,6.0,20.0,5.0,1.0,2.0,2.0,153.0,,13.0,65.0,530.0,4.0,8.0,11.0,10.0,213.0,21.0,,1.0,8.0,1.0,2.0,3.0,5.0,1.0,24.0,298.0,32.0,95715,3.0,143.0,,2.0,1.0,169.0,10.0,20.0,13.0,59.0,,1.0,,3.0,,13.0,9.0,8.0,,55.0,237.0,13.0,4.0,1.0,22.0,70.0,1.0,0.0,1.0,2.0,8.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,,2.0,40.7,18.0,1.0,7.0,2.0,3.0,2.0,27.0,5.0,,331.0,10.0,12.0,7.0,3.0,17.0,1.0,1.0,173.0,6.0,3.0,16.0,39.0,34.0,3.0,8.0,21.0,1.0,2.0,7.0,3.0,22.0,3.0,5.0,5.0,,,,,,,,,,,,,2.0,,,,1.0,,2.0,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,
15,987741,2018-12-05 20:00:00,"Wembley Stadium, London",33012,Home,Tottenham Hotspur,Southampton,3,1,W,1,0,0,0,1.0,2.0,53.0,2.0,,2.0,1.0,29.0,29.0,2.0,2.0,10.0,4.0,3.0,170.0,5.0,4.0,3.0,1.0,9.0,8.0,139.0,140.0,41.0,1.0,13.0,10.0,3.0,,1.0,1.0,1.0,,15.0,6.0,2.0,29.0,4.0,9.0,36.0,188.0,0.0,120.0,7.0,4.0,,2.0,1.0,,,44.0,73.0,7.0,73.0,2.0,11.0,22.0,3.0,1.0,2.0,1.0,140.0,2.0,13.0,145.0,705.0,6.0,5.0,19.0,7.0,418.0,31.0,,1.0,12.0,2.0,1.0,0.0,4.0,2.0,18.0,509.0,54.0,95715,4.0,252.0,,9.0,,290.0,5.0,22.0,5.0,39.0,,1.0,,3.0,1.0,15.0,5.0,5.0,,55.0,435.0,5.0,7.0,1.0,16.0,64.0,,0.0,1.0,3.0,6.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,,2.0,52.1,17.0,1.0,4.0,2.0,3.0,2.0,42.0,8.0,,527.0,7.0,9.0,19.0,3.0,21.0,1.0,1.0,252.0,9.0,9.0,23.0,87.0,14.0,4.0,12.0,9.0,,1.0,7.0,3.0,10.0,4.0,12.0,8.0,2.0,,,2.0,1.0,1.0,,1.0,,,,1.0,2.0,,1.0,,3.0,,4.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
16,987748,2018-12-08 19:45:00,"King Power Stadium, Leicester",31957,Away,Tottenham Hotspur,Leicester City,2,0,W,1,0,0,0,,1.0,73.0,1.0,,1.0,,30.0,29.0,3.0,3.0,4.0,3.0,,174.0,4.0,12.0,2.0,4.0,5.0,2.0,166.0,163.0,63.0,1.0,7.0,9.0,,1.0,1.0,2.0,,,14.0,13.0,,29.0,4.0,7.0,44.0,218.0,0.0,120.0,7.0,1.0,,2.0,,3.0,,54.0,77.0,3.0,89.0,1.0,10.0,24.0,3.0,1.0,1.0,2.0,163.0,1.0,3.0,149.0,768.0,2.0,7.0,25.0,15.0,446.0,30.0,2.0,6.0,14.0,2.0,1.0,1.0,3.0,2.0,15.0,555.0,47.0,95715,,252.0,,6.0,,292.0,5.0,24.0,10.0,46.0,,1.0,,5.0,2.0,17.0,8.0,8.0,,54.0,466.0,11.0,11.0,1.0,18.0,69.0,1.0,0.0,,1.0,6.0,1.0,1.0,,4.0,0.0,3.0,1.0,,3.0,57.8,14.0,2.0,4.0,1.0,6.0,1.0,44.0,5.0,,578.0,15.0,14.0,23.0,4.0,24.0,1.0,2.0,300.0,1.0,7.0,17.0,72.0,32.0,,14.0,23.0,1.0,,5.0,3.0,18.0,,6.0,5.0,2.0,1.0,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
17,987759,2018-12-15 15:00:00,"Wembley Stadium, London",41645,Home,Tottenham Hotspur,Burnley,1,0,W,0,0,0,0,2.0,1.0,66.0,1.0,,2.0,,39.0,10.0,5.0,6.0,10.0,,,195.0,5.0,5.0,1.0,1.0,12.0,3.0,180.0,157.0,40.0,,15.0,27.0,2.0,1.0,,1.0,2.0,5.0,26.0,3.0,,10.0,7.0,8.0,48.0,306.0,0.0,193.0,7.0,,,,,1.0,,86.0,105.0,8.0,80.0,,19.0,23.0,5.0,,4.0,1.0,157.0,3.0,3.0,168.0,802.0,10.0,5.0,34.0,6.0,516.0,27.0,1.0,3.0,7.0,1.0,,0.0,2.0,4.0,23.0,608.0,82.0,95715,7.0,229.0,2.0,14.0,,258.0,3.0,23.0,4.0,58.0,,2.0,,4.0,1.0,12.0,1.0,4.0,,75.0,530.0,8.0,2.0,1.0,18.0,59.0,1.0,0.0,,5.0,3.0,,1.0,,1.0,0.0,5.0,1.0,,1.0,70.3,22.0,1.0,4.0,,4.0,6.0,37.0,8.0,,623.0,6.0,9.0,20.0,6.0,44.0,,5.0,391.0,8.0,8.0,20.0,141.0,30.0,2.0,7.0,7.0,,,9.0,3.0,19.0,2.0,10.0,8.0,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,4.0,,,,,,,1.0,1.0,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,987766,2018-12-23 16:00:00,"Goodison Park, Liverpool",39319,Away,Tottenham Hotspur,Everton,6,2,W,3,1,0,0,1.0,4.0,61.0,,3.0,1.0,,34.0,29.0,6.0,3.0,11.0,1.0,1.0,213.0,2.0,8.0,6.0,3.0,10.0,8.0,142.0,137.0,56.0,3.0,17.0,13.0,2.0,3.0,,2.0,,1.0,3.0,6.0,,29.0,,6.0,55.0,167.0,0.0,98.0,9.0,1.0,,2.0,,,,51.0,50.0,6.0,105.0,3.0,3.0,30.0,6.0,3.0,2.0,3.0,137.0,3.0,6.0,145.0,791.0,8.0,10.0,22.0,10.0,481.0,32.0,,3.0,20.0,2.0,,2.0,2.0,4.0,21.0,575.0,45.0,95715,6.0,338.0,1.0,1.0,1.0,378.0,9.0,30.0,11.0,37.0,1.0,5.0,,6.0,5.0,15.0,4.0,7.0,1.0,75.0,503.0,13.0,4.0,,24.0,84.0,,0.0,,2.0,2.0,1.0,5.0,2.0,4.0,0.0,2.0,2.0,,,58.5,17.0,,1.0,2.0,6.0,2.0,51.0,1.0,,605.0,10.0,8.0,31.0,7.0,14.0,,3.0,230.0,14.0,5.0,22.0,69.0,20.0,3.0,20.0,14.0,,2.0,13.0,3.0,11.0,3.0,16.0,1.0,,,2.0,1.0,,1.0,,,2.0,1.0,1.0,,,,1.0,2.0,6.0,2.0,2.0,,1.0,,,,,,4.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,
19,987780,2018-12-26 15:00:00,"Wembley Stadium, London",45154,Home,Tottenham Hotspur,Bournemouth,5,0,W,3,0,0,0,,2.0,61.0,2.0,2.0,,,31.0,16.0,5.0,3.0,5.0,4.0,2.0,174.0,1.0,12.0,5.0,1.0,8.0,7.0,144.0,122.0,40.0,1.0,10.0,15.0,,,1.0,4.0,1.0,1.0,10.0,8.0,2.0,16.0,2.0,16.0,48.0,188.0,0.0,92.0,5.0,2.0,1.0,4.0,,,1.0,65.0,56.0,6.0,118.0,1.0,8.0,18.0,5.0,1.0,2.0,,122.0,2.0,11.0,163.0,768.0,4.0,4.0,16.0,12.0,504.0,27.0,,3.0,10.0,4.0,1.0,2.0,3.0,2.0,14.0,579.0,44.0,95715,2.0,334.0,1.0,6.0,,357.0,3.0,18.0,8.0,38.0,,3.0,,9.0,5.0,13.0,3.0,5.0,,61.0,521.0,8.0,2.0,,14.0,70.0,,0.0,1.0,2.0,4.0,4.0,3.0,,2.0,0.0,1.0,2.0,1.0,,56.7,11.0,,3.0,,9.0,1.0,44.0,3.0,1.0,599.0,12.0,8.0,25.0,2.0,21.0,,2.0,252.0,7.0,16.0,8.0,58.0,21.0,,10.0,12.0,,,9.0,3.0,20.0,,10.0,3.0,,2.0,1.0,,,,,,,,2.0,,1.0,,,1.0,3.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,987790,2018-12-29 15:00:00,"Wembley Stadium, London",46356,Home,Tottenham Hotspur,Wolverhampton Wanderers,1,3,L,1,0,0,0,1.0,,62.0,1.0,,1.0,,20.0,18.0,9.0,3.0,1.0,1.0,1.0,156.0,1.0,9.0,1.0,1.0,8.0,3.0,202.0,134.0,45.0,1.0,10.0,15.0,,,2.0,1.0,,1.0,14.0,7.0,2.0,18.0,4.0,5.0,35.0,307.0,0.0,149.0,7.0,,1.0,,,,,78.0,63.0,4.0,115.0,1.0,10.0,16.0,9.0,1.0,1.0,4.0,134.0,,9.0,191.0,840.0,7.0,3.0,11.0,4.0,569.0,19.0,1.0,5.0,13.0,1.0,2.0,3.0,3.0,4.0,20.0,644.0,56.0,95715,,281.0,,9.0,,301.0,3.0,16.0,3.0,55.0,,3.0,,5.0,1.0,18.0,2.0,2.0,1.0,53.0,587.0,6.0,16.0,,20.0,75.0,,0.0,1.0,3.0,7.0,1.0,,3.0,1.0,0.0,1.0,,,,60.8,16.0,,5.0,1.0,6.0,3.0,47.0,6.0,,664.0,4.0,10.0,15.0,4.0,28.0,,,377.0,7.0,3.0,13.0,113.0,31.0,5.0,13.0,18.0,,3.0,7.0,1.0,17.0,5.0,9.0,6.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,987794,2019-01-01 17:30:00,"Cardiff City Stadium, Cardiff",32485,Away,Tottenham Hotspur,Cardiff City,3,0,W,3,0,0,0,,,57.0,3.0,,3.0,,29.0,24.0,4.0,2.0,9.0,3.0,1.0,229.0,2.0,9.0,3.0,1.0,9.0,4.0,217.0,117.0,37.0,,13.0,14.0,1.0,3.0,,2.0,1.0,,8.0,4.0,,24.0,2.0,15.0,32.0,256.0,0.0,121.0,6.0,1.0,,1.0,,,1.0,61.0,75.0,5.0,154.0,1.0,6.0,18.0,4.0,,1.0,3.0,117.0,1.0,3.0,223.0,984.0,7.0,1.0,25.0,4.0,730.0,20.0,1.0,1.0,13.0,2.0,,0.0,,4.0,18.0,806.0,51.0,95715,6.0,493.0,1.0,5.0,,519.0,3.0,18.0,3.0,40.0,1.0,2.0,,7.0,3.0,18.0,2.0,3.0,3.0,49.0,747.0,6.0,6.0,,8.0,91.0,,0.0,,1.0,5.0,2.0,2.0,,,0.0,2.0,2.0,,,73.1,18.0,,2.0,,7.0,3.0,67.0,3.0,1.0,823.0,4.0,7.0,12.0,6.0,15.0,,3.0,312.0,11.0,15.0,14.0,90.0,27.0,2.0,13.0,9.0,,,11.0,2.0,16.0,2.0,7.0,3.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,3.0,,2.0,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,987810,2019-01-13 16:30:00,"Wembley Stadium, London",80062,Home,Tottenham Hotspur,Manchester United,0,1,L,0,1,0,0,3.0,,68.0,,,2.0,,25.0,18.0,9.0,7.0,12.0,7.0,6.0,183.0,10.0,8.0,,2.0,16.0,11.0,161.0,140.0,45.0,2.0,21.0,14.0,8.0,,,,5.0,1.0,21.0,11.0,3.0,18.0,5.0,9.0,55.0,240.0,0.0,171.0,8.0,4.0,1.0,,3.0,,,51.0,65.0,12.0,75.0,1.0,16.0,16.0,9.0,2.0,5.0,4.0,140.0,2.0,9.0,148.0,768.0,14.0,7.0,40.0,6.0,459.0,30.0,3.0,5.0,10.0,,,1.0,2.0,4.0,27.0,550.0,60.0,85971,8.0,245.0,2.0,11.0,,268.0,7.0,16.0,4.0,50.0,,6.0,,7.0,,16.0,4.0,4.0,1.0,60.0,475.0,8.0,14.0,2.0,24.0,71.0,2.0,0.0,1.0,1.0,4.0,6.0,,1.0,2.0,0.0,7.0,,,3.0,61.2,26.0,1.0,3.0,2.0,7.0,4.0,45.0,7.0,,567.0,6.0,8.0,30.0,6.0,48.0,3.0,2.0,320.0,11.0,9.0,10.0,121.0,26.0,1.0,10.0,19.0,,1.0,15.0,2.0,15.0,1.0,5.0,7.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23,987814,2019-01-20 16:00:00,"Craven Cottage, London",24807,Away,Tottenham Hotspur,Fulham,2,1,W,0,1,0,0,,2.0,57.0,1.0,,3.0,,48.0,17.0,3.0,3.0,11.0,4.0,1.0,190.0,10.0,6.0,2.0,4.0,12.0,5.0,206.0,166.0,55.0,,14.0,20.0,2.0,1.0,1.0,2.0,1.0,3.0,32.0,10.0,1.0,17.0,8.0,9.0,42.0,348.0,0.0,221.0,8.0,2.0,,1.0,,4.0,,140.0,84.0,7.0,81.0,2.0,24.0,20.0,3.0,,7.0,2.0,166.0,3.0,8.0,205.0,885.0,9.0,16.0,24.0,8.0,557.0,22.0,,12.0,11.0,2.0,1.0,3.0,3.0,5.0,31.0,661.0,70.0,93264,6.0,237.0,1.0,13.0,1.0,264.0,4.0,20.0,3.0,48.0,,1.0,,5.0,2.0,18.0,5.0,2.0,,76.0,575.0,10.0,8.0,1.0,22.0,74.0,2.0,0.0,,2.0,7.0,4.0,2.0,1.0,4.0,0.0,9.0,2.0,,7.0,73.2,28.0,3.0,1.0,1.0,5.0,3.0,52.0,10.0,1.0,682.0,8.0,8.0,19.0,6.0,48.0,1.0,4.0,450.0,4.0,7.0,27.0,164.0,28.0,1.0,11.0,13.0,2.0,1.0,10.0,2.0,11.0,1.0,10.0,10.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,1.0,,,,,
24,987831,2019-01-30 20:00:00,"Wembley Stadium, London",29164,Home,Tottenham Hotspur,Watford,2,1,W,0,1,0,0,,,67.0,1.0,,4.0,,47.0,18.0,7.0,9.0,10.0,,1.0,168.0,6.0,15.0,2.0,4.0,12.0,3.0,174.0,161.0,57.0,1.0,17.0,19.0,,,,2.0,,4.0,42.0,10.0,1.0,18.0,7.0,7.0,49.0,311.0,0.0,191.0,6.0,,,,,2.0,1.0,109.0,99.0,7.0,80.0,1.0,35.0,24.0,7.0,1.0,13.0,2.0,161.0,,6.0,166.0,803.0,8.0,7.0,35.0,5.0,480.0,23.0,,5.0,14.0,2.0,,0.0,3.0,5.0,22.0,563.0,73.0,95715,4.0,198.0,1.0,20.0,1.0,211.0,,24.0,7.0,46.0,1.0,1.0,,1.0,2.0,12.0,3.0,6.0,1.0,72.0,503.0,9.0,4.0,2.0,14.0,66.0,,0.0,,4.0,5.0,,2.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,68.5,18.0,2.0,7.0,1.0,2.0,8.0,43.0,9.0,1.0,588.0,5.0,10.0,30.0,6.0,55.0,3.0,4.0,419.0,3.0,7.0,17.0,146.0,30.0,4.0,14.0,16.0,1.0,1.0,12.0,3.0,23.0,4.0,6.0,9.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,3.0,,,,,2.0,,,,,,4.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,
25,987840,2019-02-02 12:30:00,"Wembley Stadium, London",41219,Home,Tottenham Hotspur,Newcastle United,1,0,W,0,0,0,0,2.0,,75.0,,,6.0,,38.0,14.0,5.0,8.0,16.0,2.0,1.0,183.0,10.0,9.0,1.0,3.0,18.0,4.0,250.0,163.0,44.0,,21.0,18.0,3.0,,1.0,1.0,,2.0,38.0,5.0,,14.0,5.0,13.0,50.0,448.0,0.0,279.0,6.0,2.0,,1.0,,3.0,,142.0,112.0,11.0,98.0,1.0,33.0,29.0,5.0,,10.0,1.0,163.0,5.0,3.0,213.0,955.0,12.0,2.0,46.0,7.0,638.0,19.0,1.0,3.0,7.0,1.0,1.0,0.0,3.0,7.0,23.0,732.0,78.0,95715,10.0,211.0,6.0,20.0,2.0,234.0,2.0,29.0,4.0,49.0,,3.0,,3.0,1.0,16.0,5.0,4.0,,58.0,649.0,5.0,8.0,5.0,9.0,69.0,,0.0,,3.0,3.0,,,,1.0,0.0,5.0,1.0,,6.0,71.6,21.0,5.0,10.0,4.0,3.0,9.0,49.0,6.0,,744.0,7.0,8.0,25.0,8.0,53.0,5.0,6.0,548.0,6.0,12.0,20.0,226.0,42.0,2.0,7.0,10.0,,,12.0,3.0,18.0,2.0,13.0,6.0,2.0,,,,,1.0,,1.0,,3.0,1.0,,,,1.0,2.0,1.0,1.0,2.0,,3.0,,,,,,,,1.0,,3.0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,
26,987849,2019-02-10 13:30:00,"Wembley Stadium, London",44154,Home,Tottenham Hotspur,Leicester City,3,1,W,1,0,0,0,,2.0,59.0,2.0,,2.0,1.0,27.0,9.0,7.0,2.0,5.0,9.0,2.0,155.0,3.0,8.0,3.0,1.0,9.0,5.0,130.0,133.0,41.0,,12.0,22.0,1.0,,1.0,2.0,1.0,,16.0,8.0,1.0,9.0,1.0,13.0,42.0,224.0,0.0,100.0,11.0,5.0,,1.0,1.0,1.0,,44.0,58.0,7.0,86.0,,15.0,15.0,7.0,,4.0,1.0,133.0,2.0,17.0,128.0,667.0,6.0,5.0,14.0,12.0,403.0,31.0,,3.0,5.0,3.0,1.0,3.0,2.0,2.0,18.0,475.0,47.0,95715,3.0,199.0,,10.0,,223.0,7.0,15.0,13.0,53.0,,,1.0,5.0,2.0,15.0,3.0,7.0,1.0,57.0,420.0,4.0,10.0,,12.0,63.0,,0.0,,1.0,9.0,6.0,1.0,1.0,3.0,0.0,3.0,2.0,,2.0,53.1,12.0,1.0,5.0,,5.0,5.0,37.0,2.0,1.0,499.0,12.0,9.0,19.0,2.0,30.0,,1.0,292.0,8.0,12.0,15.0,68.0,15.0,5.0,5.0,14.0,1.0,1.0,10.0,3.0,11.0,5.0,7.0,2.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,1.0,,,,1.0,,7.0,1.0,,,,,,,1.0,,,,,,3.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,
