gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalAssistDeadball,attOneOnOne,attOboxGoal,attSvLowLeft,freekickCross,interceptionsInBox,contentiousDecision,attHdTarget,bigChanceMissed,attSetpiece,attRfGoal,accurateFlickOn,attSvHighCentre,savedObox,accuratePullBack,postScoringAtt,accurateKeeperSweeper,attIboxPost,cleanSheet,attSvHighLeft,goodHighClaim,attHdPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,totalPullBack,overrun,attPostHigh,totalHighClaim,attPostRight,handBall,attCmissRight,attPenTarget,penaltyWon,attMissRight,attCmissHigh,punches,attObxLeft,errorLeadToShot,ptsDroppedWinningPos,attFreekickTotal,freekickTotal,attPostLeft,foulThrowIn,errorLeadToGoal,goalFastbreak,attGoalHighRight,attSvHighRight,subsGoals,accurateFreekickCross,penaltyConceded,attGoalHighLeft,penaltyFaced,penGoalsConceded,goalsConcededObox,attPenGoal,attCmissHighRight,attObpGoal,attFreekickTarget,attGoalHighCentre,attObxdLeft,ownGoals,attIboxOwnGoal,secondYellow,clearanceOffLine,attFreekickPost,attOboxPost,penaltySave,attCmissHighLeft,attFreekickMiss,attLgRight,attFreekickGoal
1,2292817,2022-08-06 15:00:00,"Tottenham Hotspur Stadium, London",61732,Home,Tottenham Hotspur,Southampton,4,1,W,2,1,0,0,2.0,1.0,18.0,61.0,1.0,1.0,3.0,1.0,45.0,18.0,3.0,7.0,14.0,1.0,1.0,3.0,172.0,1.0,9.0,6.0,7.0,4.0,1.0,15.0,8.0,145.0,132.0,49.0,18.0,1.0,11.0,3.0,1.0,3.0,2.0,3.0,4.0,24.0,15.0,2.0,18.0,6.0,3.0,28.0,224.0,1.0,0.0,147.0,11.0,3.0,1.0,1.0,1.0,68.0,72.0,11.0,85.0,18.0,21.0,4.0,8.0,1.0,132.0,1.0,6.0,152.0,733.0,1.0,11.0,2.0,32.0,3.0,453.0,24.0,4.0,11.0,3.0,3.0,3.0,4.0,20.0,535.0,54.0,1.0,95715,7.0,253.0,10.0,1.0,284.0,8.0,21.0,6.0,45.0,1.0,1.0,2.0,4.0,2.0,15.0,4.0,6.0,1.0,67.0,471.0,5.0,9.0,1.0,15.0,3.0,62.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,5.0,3.0,1.0,4.0,57.5,20.0,2.0,4.0,2.0,4.0,4.0,50.0,10.0,554.0,3.0,9.0,16.0,6.0,39.0,1.0,5.0,294.0,7.0,2.0,13.0,110.0,28.0,1.0,2.0,11.0,24.0,2.0,1.0,15.0,5.0,12.0,2.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292824,2022-08-14 16:30:00,"Stamford Bridge, London",39946,Away,Tottenham Hotspur,Chelsea,2,2,D,0,1,0,0,2.0,1.0,22.0,52.0,2.0,,2.0,1.0,19.0,32.0,2.0,2.0,8.0,1.0,,,133.0,,14.0,3.0,7.0,2.0,2.0,8.0,5.0,98.0,132.0,56.0,10.0,1.0,14.0,3.0,,,1.0,,2.0,12.0,12.0,,32.0,5.0,3.0,28.0,77.0,,0.0,60.0,9.0,1.0,,,1.0,27.0,23.0,7.0,33.0,7.0,29.0,2.0,,,132.0,4.0,11.0,76.0,557.0,,3.0,3.0,12.0,15.0,245.0,27.0,,14.0,2.0,0.0,7.0,1.0,19.0,316.0,28.0,1.0,95715,3.0,195.0,5.0,,233.0,6.0,29.0,11.0,62.0,1.0,,1.0,3.0,1.0,18.0,5.0,11.0,,35.0,269.0,8.0,11.0,3.0,9.0,3.0,40.0,,,2.0,0.0,8.0,1.0,1.0,2.0,0.0,,2.0,,4.0,36.3,14.0,1.0,2.0,1.0,3.0,3.0,22.0,5.0,340.0,15.0,14.0,18.0,2.0,16.0,3.0,2.0,119.0,4.0,2.0,16.0,43.0,19.0,1.0,2.0,14.0,25.0,1.0,2.0,4.0,4.0,21.0,2.0,10.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292838,2022-08-20 12:30:00,"Tottenham Hotspur Stadium, London",61298,Home,Tottenham Hotspur,Wolverhampton Wanderers,1,0,W,0,0,0,0,1.0,1.0,19.0,56.0,,,2.0,1.0,30.0,17.0,1.0,2.0,10.0,3.0,,1.0,151.0,1.0,6.0,6.0,7.0,1.0,1.0,9.0,4.0,126.0,121.0,38.0,11.0,,9.0,2.0,1.0,,,1.0,2.0,22.0,8.0,1.0,17.0,7.0,1.0,27.0,201.0,,0.0,130.0,10.0,,,1.0,,65.0,59.0,4.0,73.0,15.0,18.0,1.0,3.0,,121.0,1.0,7.0,122.0,661.0,,7.0,3.0,32.0,4.0,395.0,17.0,2.0,7.0,1.0,2.0,9.0,5.0,14.0,451.0,45.0,,95715,6.0,216.0,11.0,,229.0,7.0,18.0,8.0,46.0,,,2.0,5.0,,21.0,13.0,7.0,,52.0,411.0,8.0,9.0,1.0,8.0,2.0,71.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,,0.0,4.0,1.0,,5.0,49.9,12.0,2.0,3.0,1.0,5.0,2.0,54.0,8.0,472.0,4.0,10.0,15.0,5.0,27.0,2.0,3.0,265.0,4.0,1.0,5.0,97.0,27.0,1.0,,7.0,18.0,1.0,,9.0,3.0,15.0,,8.0,8.0,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292847,2022-08-28 16:30:00,"The City Ground, Nottingham",29296,Away,Tottenham Hotspur,Nottingham Forest,2,0,W,1,0,0,0,3.0,1.0,27.0,64.0,1.0,1.0,1.0,,20.0,25.0,6.0,7.0,11.0,1.0,,2.0,158.0,,15.0,4.0,6.0,2.0,2.0,13.0,7.0,117.0,135.0,42.0,18.0,3.0,15.0,4.0,2.0,4.0,2.0,3.0,1.0,10.0,7.0,1.0,25.0,1.0,,35.0,123.0,,0.0,89.0,13.0,,1.0,2.0,,40.0,42.0,8.0,62.0,9.0,11.0,7.0,4.0,2.0,135.0,1.0,9.0,125.0,653.0,1.0,11.0,3.0,25.0,18.0,352.0,37.0,,11.0,2.0,1.0,7.0,5.0,19.0,438.0,40.0,2.0,93264,3.0,253.0,5.0,,303.0,4.0,1.0,10.0,55.0,2.0,,3.0,7.0,2.0,12.0,8.0,8.0,1.0,49.0,372.0,9.0,8.0,,9.0,,48.0,2.0,,,0.0,6.0,,1.0,,0.0,4.0,1.0,,1.0,44.7,17.0,,3.0,2.0,8.0,4.0,30.0,1.0,462.0,18.0,14.0,14.0,7.0,9.0,,5.0,169.0,10.0,,15.0,64.0,14.0,2.0,2.0,11.0,12.0,1.0,,17.0,4.0,13.0,2.0,1.0,1.0,,,1.0,2.0,,2.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,2.0,,,1.0,1.0,,,,2.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292856,2022-08-31 19:45:00,"London Stadium, London",62450,Away,Tottenham Hotspur,West Ham United,1,1,D,1,0,0,0,,,15.0,43.0,,,6.0,,29.0,17.0,3.0,1.0,8.0,3.0,,3.0,180.0,,7.0,6.0,5.0,1.0,,9.0,3.0,163.0,106.0,29.0,12.0,1.0,18.0,,1.0,1.0,,1.0,,18.0,3.0,3.0,17.0,4.0,10.0,40.0,189.0,,0.0,88.0,10.0,,2.0,1.0,,64.0,45.0,8.0,97.0,14.0,12.0,4.0,2.0,,106.0,,9.0,181.0,779.0,,9.0,6.0,24.0,6.0,533.0,24.0,4.0,5.0,,5.0,1.0,1.0,19.0,597.0,42.0,1.0,93264,4.0,372.0,12.0,,395.0,5.0,12.0,11.0,41.0,3.0,,,4.0,,12.0,5.0,10.0,,52.0,555.0,8.0,1.0,,12.0,1.0,73.0,1.0,1.0,,0.0,3.0,,1.0,1.0,0.0,5.0,,,3.0,61.7,17.0,1.0,2.0,1.0,4.0,7.0,57.0,4.0,621.0,6.0,9.0,22.0,2.0,29.0,1.0,2.0,244.0,8.0,9.0,10.0,62.0,13.0,,3.0,5.0,7.0,,1.0,11.0,1.0,9.0,3.0,6.0,4.0,,,,1.0,,3.0,1.0,,,,,,,3.0,,,,,,,1.0,,,,,2.0,1.0,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292868,2022-09-03 15:00:00,"Tottenham Hotspur Stadium, London",61641,Home,Tottenham Hotspur,Fulham,2,1,W,1,0,0,0,2.0,1.0,18.0,53.0,1.0,1.0,4.0,,24.0,17.0,6.0,8.0,17.0,2.0,1.0,5.0,146.0,,10.0,7.0,7.0,2.0,1.0,15.0,10.0,128.0,109.0,49.0,23.0,2.0,11.0,6.0,,1.0,1.0,5.0,2.0,21.0,9.0,2.0,17.0,5.0,3.0,42.0,200.0,,0.0,118.0,9.0,,2.0,,1.0,61.0,46.0,10.0,77.0,16.0,19.0,6.0,5.0,2.0,109.0,1.0,6.0,124.0,659.0,,12.0,3.0,38.0,8.0,402.0,22.0,1.0,13.0,1.0,3.0,1.0,5.0,18.0,453.0,42.0,,93264,10.0,225.0,11.0,,241.0,5.0,19.0,7.0,46.0,,,3.0,3.0,2.0,13.0,3.0,7.0,1.0,44.0,418.0,6.0,8.0,2.0,8.0,7.0,60.0,,1.0,1.0,0.0,3.0,,2.0,1.0,0.0,5.0,1.0,,3.0,51.9,15.0,1.0,5.0,2.0,3.0,6.0,41.0,10.0,475.0,8.0,6.0,33.0,7.0,34.0,2.0,3.0,255.0,12.0,2.0,17.0,94.0,19.0,1.0,1.0,13.0,19.0,,1.0,14.0,2.0,19.0,1.0,8.0,10.0,,,,2.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,,2.0,,,2.0,,2.0,,,2.0,,1.0,2.0,,,2.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292877,2023-01-19 20:00:00,"Etihad Stadium, Manchester",53088,Away,Tottenham Hotspur,Manchester City,2,4,L,2,0,0,0,,,24.0,49.0,1.0,,2.0,,22.0,27.0,3.0,2.0,6.0,2.0,1.0,,146.0,1.0,15.0,2.0,4.0,2.0,1.0,5.0,3.0,114.0,111.0,40.0,9.0,,11.0,1.0,,,,,1.0,11.0,9.0,,27.0,2.0,3.0,35.0,122.0,1.0,0.0,87.0,14.0,,1.0,,1.0,31.0,55.0,3.0,60.0,9.0,19.0,3.0,1.0,3.0,111.0,1.0,10.0,104.0,588.0,,5.0,1.0,23.0,6.0,331.0,24.0,3.0,11.0,,2.0,5.0,2.0,16.0,398.0,35.0,,93264,4.0,232.0,8.0,1.0,269.0,10.0,8.0,8.0,43.0,1.0,,1.0,6.0,2.0,14.0,6.0,7.0,,47.0,352.0,9.0,4.0,,15.0,1.0,44.0,,1.0,,0.0,8.0,1.0,2.0,4.0,0.0,2.0,,,2.0,42.1,16.0,,3.0,,6.0,2.0,30.0,3.0,424.0,6.0,10.0,20.0,4.0,17.0,,1.0,166.0,5.0,3.0,11.0,65.0,14.0,1.0,3.0,11.0,16.0,1.0,4.0,8.0,4.0,9.0,3.0,8.0,3.0,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,,1.0,,1.0,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292888,2022-09-17 17:30:00,"Tottenham Hotspur Stadium, London",61450,Home,Tottenham Hotspur,Leicester City,6,2,W,2,2,0,0,,3.0,20.0,60.0,2.0,1.0,3.0,2.0,36.0,8.0,6.0,2.0,10.0,5.0,1.0,3.0,170.0,,13.0,5.0,9.0,6.0,1.0,12.0,11.0,111.0,121.0,43.0,16.0,,10.0,4.0,4.0,1.0,3.0,2.0,,16.0,4.0,1.0,8.0,4.0,5.0,52.0,144.0,1.0,0.0,87.0,9.0,3.0,2.0,6.0,1.0,39.0,59.0,12.0,89.0,12.0,16.0,6.0,4.0,2.0,121.0,2.0,8.0,112.0,652.0,,5.0,4.0,23.0,14.0,384.0,32.0,1.0,6.0,5.0,1.0,5.0,,19.0,460.0,36.0,,93264,5.0,264.0,7.0,,308.0,5.0,5.0,8.0,37.0,,1.0,1.0,4.0,4.0,14.0,11.0,7.0,1.0,59.0,403.0,8.0,4.0,2.0,9.0,3.0,49.0,4.0,,,0.0,1.0,2.0,3.0,2.0,0.0,3.0,3.0,1.0,4.0,43.7,19.0,,2.0,1.0,4.0,3.0,37.0,6.0,482.0,14.0,7.0,32.0,2.0,21.0,2.0,,190.0,10.0,5.0,12.0,64.0,21.0,1.0,1.0,6.0,14.0,2.0,2.0,12.0,4.0,18.0,1.0,5.0,6.0,1.0,,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,1.0,,3.0,,,2.0,,,1.0,2.0,,1.0,,2.0,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,2292891,2022-10-01 12:30:00,"Emirates Stadium, London",60278,Away,Tottenham Hotspur,Arsenal,1,3,L,1,1,1,0,,1.0,16.0,45.0,,,,,22.0,26.0,3.0,1.0,4.0,6.0,,1.0,114.0,1.0,5.0,2.0,4.0,1.0,2.0,5.0,3.0,83.0,104.0,37.0,7.0,2.0,9.0,2.0,1.0,,,2.0,1.0,11.0,10.0,,26.0,2.0,,49.0,82.0,1.0,0.0,66.0,10.0,,4.0,1.0,,25.0,33.0,3.0,34.0,9.0,9.0,3.0,3.0,1.0,104.0,1.0,11.0,76.0,468.0,,4.0,1.0,13.0,5.0,223.0,25.0,1.0,12.0,,1.0,4.0,2.0,17.0,281.0,29.0,,93264,3.0,160.0,5.0,,189.0,4.0,4.0,12.0,43.0,1.0,,3.0,6.0,,7.0,11.0,8.0,,59.0,240.0,10.0,10.0,1.0,11.0,1.0,43.0,1.0,,1.0,0.0,5.0,4.0,1.0,3.0,1.0,2.0,,1.0,1.0,35.3,13.0,,3.0,1.0,6.0,2.0,22.0,2.0,307.0,5.0,8.0,17.0,2.0,16.0,,1.0,129.0,5.0,,7.0,44.0,8.0,1.0,3.0,12.0,16.0,,2.0,3.0,5.0,10.0,3.0,4.0,2.0,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,2.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10,2292902,2022-10-08 17:30:00,"American Express Stadium, Falmer",31498,Away,Tottenham Hotspur,Brighton and Hove Albion,1,0,W,1,0,0,0,,1.0,25.0,68.0,,,,1.0,18.0,19.0,4.0,3.0,4.0,4.0,,2.0,155.0,1.0,14.0,2.0,8.0,1.0,2.0,7.0,3.0,138.0,134.0,42.0,8.0,1.0,12.0,,1.0,,,,2.0,7.0,12.0,2.0,19.0,1.0,5.0,42.0,158.0,,0.0,99.0,14.0,,3.0,1.0,,51.0,57.0,3.0,78.0,6.0,18.0,4.0,,1.0,134.0,1.0,8.0,118.0,655.0,,5.0,2.0,16.0,11.0,379.0,34.0,1.0,11.0,1.0,2.0,5.0,4.0,14.0,466.0,54.0,1.0,93264,4.0,242.0,5.0,,270.0,6.0,8.0,7.0,51.0,2.0,,3.0,2.0,,16.0,6.0,5.0,1.0,51.0,398.0,8.0,9.0,1.0,10.0,1.0,63.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,,0.0,2.0,1.0,2.0,1.0,41.1,13.0,1.0,6.0,,2.0,1.0,37.0,2.0,489.0,11.0,9.0,23.0,4.0,17.0,,3.0,226.0,3.0,5.0,11.0,58.0,20.0,1.0,2.0,11.0,15.0,,,5.0,3.0,16.0,2.0,8.0,2.0,,,,1.0,1.0,2.0,,,,1.0,,1.0,,2.0,,,,,1.0,,,,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
