gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attLfGoal,attGoalLowCentre,goals,fouledFinalThird,attFreekickTotal,attBxRight,postScoringAtt,goalAssistOpenplay,goalFastbreak,attMissLeft,attIboxPost,attOboxGoal,midfielderGoals,freekickCross,freekickTotal,subsGoals,hitWoodwork,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attGoalHighLeft,attSvLowRight,attIboxGoal,goalAssistIntentional,attPostRight,forwardGoals,effectiveBlockedCross,attHdGoal,blockedCross,attSvHighRight,attSvHighLeft,attHdTarget,accurateFreekickCross,fastestPlayer_topSpeed,attSetpiece,totalDistance,attAssistSetplay,attCmissLeft,attFreekickTarget,ptsDroppedWinningPos,penaltySave,attGoalLowRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attMissHighRight,cleanSheet,expectedAssists,penaltyConceded,punches,attCmissHighRight,penaltyFaced,expectedGoals,attOneOnOne,attGoalHighRight,penaltyWon,ptsGainedLosingPos,attCmissHigh,attPenGoal,attFreekickGoal,foulThrowIn,errorLeadToGoal,handBall,accuratePullBack,attMissHighLeft,attCmissHighLeft,contentiousDecision,penGoalsConceded,attPostLeft,attHdPost,clearanceOffLine,attFreekickMiss,sixYardBlock,goalAssistSetplay,goalAssistDeadball,defenderGoals,attPostHigh,attGoalHighCentre,attObxLeft,secondYellow,attObxdLeft,attOboxPost,expectedGoalsFreekick,attPenTarget
1,2444478,2024-08-18 16:30:00,"Stamford Bridge, London",39818,Home,Chelsea,Manchester City,0,2,L,0,1,0,0,1.0,1.0,47.0,1.0,3.0,17.0,13.0,4.0,4.0,6.0,3.0,2.0,125.0,6.0,4.0,9.0,1.0,3.0,145.0,97.0,36.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,18.0,14.0,2.0,13.0,3.0,9.0,30.0,227.0,0.0,144.0,12.0,3.0,1.0,1.0,1.0,66.0,33.0,6.0,71.0,4.0,2.0,15.0,10.0,4.0,8.0,1.0,97.0,1.0,6.0,149.0,658.0,9.0,3.0,26.0,10.0,417.0,24.0,3.0,5.0,1.0,1.0,3.0,3.0,17.0,470.0,47.0,1.0,551230,4.0,215.0,1.0,7.0,236.0,6.0,2.0,7.0,6.0,48.0,2.0,2.0,4.0,10.0,5.0,6.0,1.0,35.0,436.0,9.0,15.0,11.0,1.0,46.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,5.0,1.0,1.0,48.2,15.0,1.0,7.0,2.0,1.0,4.0,4.0,29.0,4.0,1.0,490.0,10.0,9.0,18.0,3.0,23.0,1.0,2.0,272.0,5.0,9.0,3.0,120.0,12.0,5.0,20.0,1.0,9.0,4.0,11.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444489,2024-08-25 14:00:00,"Molineux Stadium, Wolverhampton",31235,Away,Chelsea,Wolverhampton Wanderers,6,2,W,2,2,0,0,,1.0,45.0,2.0,1.0,23.0,18.0,4.0,7.0,10.0,2.0,1.0,140.0,1.0,9.0,12.0,,8.0,141.0,112.0,41.0,14.0,2.0,8.0,2.0,3.0,1.0,,11.0,11.0,,18.0,3.0,12.0,27.0,166.0,0.0,113.0,13.0,,4.0,1.0,2.0,69.0,33.0,9.0,76.0,,,8.0,19.0,4.0,3.0,1.0,112.0,4.0,8.0,138.0,664.0,7.0,1.0,21.0,9.0,399.0,11.0,1.0,8.0,1.0,3.0,2.0,3.0,13.0,464.0,41.0,2.0,551230,4.0,261.0,1.0,4.0,280.0,6.0,1.0,9.0,11.0,48.0,1.0,1.0,5.0,13.0,4.0,9.0,,44.0,426.0,13.0,8.0,8.0,1.0,51.0,3.0,0.0,,5.0,,2.0,1.0,0.0,1.0,,1.0,60.4,13.0,,5.0,,,5.0,3.0,32.0,5.0,2.0,495.0,9.0,10.0,15.0,3.0,18.0,,1.0,226.0,6.0,9.0,5.0,86.0,23.0,8.0,14.0,2.0,12.0,5.0,18.0,9.0,5.0,4.0,2.0,2.0,3.0,6.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444492,2024-09-01 13:30:00,"Stamford Bridge, London",39298,Home,Chelsea,Crystal Palace,1,1,D,1,0,0,0,1.0,2.0,51.0,2.0,,26.0,17.0,5.0,6.0,8.0,2.0,2.0,159.0,3.0,11.0,10.0,2.0,7.0,167.0,116.0,47.0,13.0,1.0,7.0,4.0,4.0,2.0,1.0,19.0,7.0,2.0,17.0,4.0,5.0,24.0,267.0,0.0,157.0,9.0,1.0,5.0,1.0,1.0,84.0,73.0,5.0,80.0,,2.0,15.0,15.0,5.0,2.0,2.0,116.0,4.0,4.0,184.0,781.0,7.0,,20.0,8.0,519.0,20.0,2.0,3.0,2.0,4.0,5.0,5.0,14.0,575.0,76.0,,482609,3.0,268.0,4.0,11.0,276.0,6.0,1.0,8.0,2.0,41.0,3.0,,4.0,22.0,5.0,1.0,,41.0,532.0,13.0,6.0,8.0,2.0,65.0,4.0,0.0,,5.0,,1.0,,0.0,1.0,,2.0,62.8,14.0,,4.0,,2.0,5.0,1.0,51.0,4.0,1.0,590.0,8.0,6.0,13.0,5.0,32.0,2.0,3.0,333.0,5.0,4.0,10.0,116.0,22.0,3.0,13.0,,9.0,3.0,24.0,8.0,4.0,1.0,,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,3.0,,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,33.5,1.0,101508.2,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444500,2024-09-14 20:00:00,"Vitality Stadium, Bournemouth",11235,Away,Chelsea,Bournemouth,1,0,W,0,0,0,0,,2.0,56.0,2.0,2.0,19.0,18.0,4.0,4.0,6.0,7.0,,194.0,1.0,12.0,8.0,,3.0,156.0,133.0,51.0,10.0,2.0,15.0,1.0,,1.0,1.0,8.0,7.0,1.0,18.0,2.0,14.0,27.0,202.0,0.0,125.0,9.0,4.0,,,1.0,65.0,63.0,5.0,106.0,,1.0,6.0,10.0,4.0,2.0,1.0,133.0,1.0,10.0,123.0,774.0,7.0,4.0,21.0,6.0,466.0,21.0,1.0,11.0,1.0,8.0,4.0,3.0,23.0,548.0,50.0,,517052,4.0,293.0,,2.0,331.0,6.0,1.0,4.0,10.0,47.0,1.0,3.0,6.0,19.0,9.0,9.0,,47.0,494.0,16.0,9.0,17.0,2.0,64.0,,0.0,3.0,6.0,5.0,,2.0,0.0,1.0,1.0,1.0,66.7,21.0,1.0,3.0,1.0,,6.0,4.0,37.0,3.0,2.0,579.0,6.0,8.0,13.0,3.0,17.0,,2.0,256.0,5.0,13.0,11.0,96.0,22.0,11.0,12.0,,8.0,4.0,18.0,4.0,3.0,1.0,,,,1.0,2.0,,1.0,,1.0,,1.0,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,32.35,,106013.66,,,,,1.0,1.0,1.1734,2.4786,1.0,1.0,0.492805,1.0,1.0,1.0,1.0,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444519,2024-09-21 12:30:00,"London Stadium, London",62473,Away,Chelsea,West Ham United,3,0,W,2,0,0,0,,1.0,49.0,2.0,2.0,23.0,34.0,1.0,5.0,11.0,7.0,,164.0,3.0,6.0,12.0,1.0,5.0,110.0,94.0,52.0,12.0,1.0,10.0,2.0,2.0,2.0,1.0,8.0,9.0,,34.0,3.0,12.0,25.0,114.0,0.0,91.0,9.0,,3.0,,3.0,37.0,42.0,8.0,85.0,,1.0,5.0,10.0,1.0,2.0,,94.0,5.0,8.0,95.0,638.0,9.0,3.0,32.0,8.0,367.0,20.0,4.0,21.0,3.0,2.0,5.0,4.0,8.0,425.0,37.0,1.0,517052,5.0,282.0,2.0,3.0,304.0,6.0,,4.0,7.0,43.0,6.0,1.0,8.0,9.0,7.0,6.0,,47.0,393.0,17.0,9.0,17.0,,47.0,2.0,0.0,,6.0,5.0,,1.0,0.0,2.0,,1.0,47.0,6.0,,2.0,2.0,,8.0,3.0,29.0,5.0,3.0,454.0,8.0,11.0,17.0,4.0,15.0,1.0,4.0,158.0,6.0,12.0,10.0,68.0,15.0,21.0,19.0,,12.0,5.0,11.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,,,2.0,,3.0,1.0,3.0,,,1.0,,,,,3.0,2.0,2.0,3.0,1.0,,3.0,2.0,,2.0,3.0,,3.0,1.0,,1.0,,33.96,,101116.15,,3.0,,,,,,,,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444523,2024-09-28 15:00:00,"Stamford Bridge, London",39495,Home,Chelsea,Brighton and Hove Albion,4,2,W,4,2,0,0,,2.0,67.0,2.0,3.0,19.0,17.0,2.0,9.0,13.0,4.0,1.0,139.0,3.0,15.0,12.0,3.0,7.0,90.0,132.0,51.0,15.0,,12.0,3.0,,4.0,1.0,11.0,13.0,,17.0,7.0,6.0,28.0,65.0,0.0,72.0,11.0,2.0,,1.0,,22.0,25.0,8.0,61.0,1.0,3.0,4.0,20.0,2.0,1.0,1.0,132.0,6.0,8.0,86.0,572.0,10.0,2.0,27.0,7.0,272.0,26.0,1.0,7.0,4.0,3.0,5.0,4.0,11.0,354.0,38.0,,247632,9.0,226.0,5.0,3.0,268.0,6.0,,10.0,8.0,49.0,6.0,6.0,10.0,11.0,7.0,6.0,1.0,48.0,288.0,8.0,11.0,19.0,2.0,39.0,,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,,1.0,41.1,11.0,1.0,8.0,2.0,,10.0,3.0,15.0,8.0,,376.0,7.0,4.0,12.0,5.0,22.0,2.0,3.0,119.0,5.0,6.0,7.0,39.0,19.0,7.0,22.0,2.0,11.0,5.0,27.0,10.0,8.0,2.0,3.0,4.0,,4.0,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,4.0,,1.0,,2.0,2.0,5.0,,2.0,,1.0,3.0,2.0,1.0,,3.0,,3.0,,,,,35.4,,108226.02,,,,,,,,,,,,,,,,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
7,2444534,2024-10-06 14:00:00,"Stamford Bridge, London",39501,Home,Chelsea,Nottingham Forest,1,1,D,0,0,0,1,,2.0,48.0,3.0,3.0,21.0,17.0,8.0,11.0,14.0,8.0,3.0,175.0,5.0,11.0,17.0,,8.0,162.0,120.0,48.0,22.0,2.0,16.0,6.0,1.0,1.0,3.0,29.0,10.0,1.0,17.0,6.0,11.0,24.0,329.0,0.0,234.0,12.0,3.0,1.0,,1.0,59.0,88.0,9.0,83.0,,4.0,23.0,21.0,8.0,8.0,5.0,120.0,3.0,9.0,171.0,782.0,16.0,,51.0,8.0,496.0,17.0,3.0,8.0,1.0,6.0,6.0,8.0,12.0,566.0,70.0,1.0,444463,8.0,195.0,3.0,15.0,211.0,6.0,3.0,8.0,3.0,47.0,3.0,1.0,7.0,10.0,7.0,3.0,2.0,42.0,519.0,10.0,9.0,13.0,4.0,63.0,1.0,0.0,,3.0,5.0,1.0,,0.0,5.0,,3.0,66.1,12.0,1.0,7.0,1.0,2.0,8.0,5.0,48.0,11.0,1.0,591.0,8.0,8.0,14.0,9.0,45.0,,4.0,409.0,8.0,10.0,14.0,189.0,15.0,8.0,14.0,1.0,18.0,5.0,15.0,8.0,11.0,,1.0,1.0,,1.0,1.0,,4.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,,2.0,,34.51,,105994.17,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,2444543,2024-10-20 16:30:00,"Anfield, Liverpool",60277,Away,Chelsea,Liverpool,1,2,L,0,1,0,0,,,48.0,1.0,3.0,22.0,11.0,3.0,4.0,9.0,3.0,1.0,169.0,4.0,10.0,8.0,,2.0,141.0,118.0,44.0,12.0,1.0,6.0,1.0,,1.0,,17.0,10.0,,11.0,2.0,7.0,33.0,221.0,0.0,138.0,13.0,,,,,71.0,67.0,3.0,97.0,1.0,,15.0,14.0,3.0,8.0,2.0,118.0,2.0,7.0,135.0,710.0,6.0,3.0,26.0,8.0,453.0,22.0,1.0,5.0,1.0,3.0,,5.0,14.0,517.0,56.0,,551230,4.0,259.0,2.0,5.0,280.0,6.0,,7.0,4.0,49.0,2.0,,6.0,12.0,2.0,4.0,2.0,44.0,476.0,12.0,5.0,10.0,,62.0,,0.0,1.0,1.0,2.0,2.0,1.0,0.0,4.0,1.0,1.0,57.5,13.0,1.0,3.0,,,6.0,4.0,42.0,5.0,,542.0,8.0,8.0,18.0,6.0,29.0,,3.0,279.0,7.0,6.0,10.0,104.0,14.0,5.0,12.0,2.0,10.0,5.0,27.0,7.0,6.0,1.0,,,,1.0,2.0,1.0,4.0,1.0,1.0,,2.0,1.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
9,2444554,2024-10-27 14:00:00,"Stamford Bridge, London",39526,Home,Chelsea,Newcastle United,2,1,W,1,1,0,0,,4.0,52.0,,3.0,26.0,23.0,5.0,10.0,12.0,1.0,1.0,133.0,5.0,7.0,14.0,1.0,7.0,126.0,117.0,47.0,17.0,1.0,14.0,3.0,2.0,1.0,,20.0,8.0,2.0,23.0,7.0,5.0,24.0,216.0,0.0,146.0,13.0,,3.0,3.0,1.0,56.0,55.0,9.0,62.0,1.0,1.0,13.0,18.0,5.0,3.0,2.0,117.0,1.0,9.0,138.0,651.0,12.0,4.0,31.0,16.0,365.0,15.0,3.0,13.0,1.0,6.0,4.0,5.0,12.0,431.0,65.0,,551230,7.0,177.0,,10.0,196.0,7.0,,11.0,8.0,46.0,3.0,2.0,1.0,11.0,2.0,6.0,1.0,62.0,388.0,15.0,6.0,22.0,2.0,64.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,50.4,10.0,2.0,10.0,2.0,,2.0,4.0,29.0,7.0,1.0,459.0,16.0,6.0,14.0,6.0,22.0,1.0,3.0,283.0,4.0,5.0,13.0,115.0,20.0,13.0,12.0,1.0,15.0,4.0,14.0,11.0,7.0,1.0,1.0,1.0,,2.0,,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,2.0,,2.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10,2444564,2024-11-03 16:30:00,"Old Trafford, Manchester",73813,Away,Chelsea,Manchester United,1,1,D,0,0,0,0,,,46.0,1.0,3.0,16.0,19.0,4.0,6.0,8.0,3.0,2.0,145.0,1.0,15.0,8.0,2.0,3.0,125.0,132.0,71.0,12.0,2.0,8.0,1.0,1.0,1.0,,19.0,11.0,1.0,19.0,6.0,7.0,25.0,176.0,0.0,115.0,14.0,,1.0,2.0,1.0,34.0,49.0,5.0,66.0,1.0,2.0,13.0,23.0,4.0,3.0,1.0,132.0,1.0,8.0,139.0,669.0,7.0,2.0,30.0,7.0,369.0,20.0,2.0,6.0,1.0,2.0,3.0,3.0,13.0,446.0,47.0,1.0,551230,4.0,222.0,1.0,9.0,245.0,6.0,1.0,9.0,3.0,53.0,2.0,,5.0,10.0,3.0,2.0,1.0,40.0,397.0,19.0,10.0,14.0,4.0,60.0,1.0,0.0,2.0,4.0,2.0,1.0,,0.0,,,1.0,54.0,11.0,,3.0,1.0,,5.0,5.0,34.0,8.0,1.0,475.0,7.0,13.0,10.0,4.0,26.0,1.0,2.0,249.0,5.0,6.0,17.0,83.0,18.0,6.0,20.0,1.0,7.0,3.0,24.0,9.0,8.0,,1.0,,,1.0,2.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,
