gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,attCmissRight,attPenTarget,freekickCross,goodHighClaim,contentiousDecision,attHdTarget,totalKeeperSweeper,bigChanceMissed,attCmissHigh,attMissHigh,punches,overrun,savedIbox,attBxLeft,clearanceOffLine,totalHighClaim,effectiveBlockedCross,goalsConcededIbox,blockedCross,attGoalLowRight,attLfGoal,attGoalLowCentre,attFreekickTotal,attOboxBlocked,postScoringAtt,attSvLowCentre,attIboxPost,ptsGainedLosingPos,attSvHighLeft,freekickTotal,bigChanceCreated,hitWoodwork,attMissHighLeft,totalPullBack,attCmissHighLeft,attPostHigh,forwardGoals,cleanSheet,accurateFreekickCross,attSetpiece,attAssistSetplay,attCmissLeft,attHdGoal,attGoalHighCentre,sixYardBlock,ptsDroppedWinningPos,attMissHighRight,errorLeadToShot,accuratePullBack,accurateKeeperSweeper,attSvHighRight,attFreekickTarget,attSvHighCentre,attOneOnOne,attGoalHighLeft,attOboxPost,attPostRight,goalFastbreak,winningGoal,attFreekickPost,keeperGoals,subsGoals,penaltyConceded,ownGoals,attObpGoal,attFreekickGoal,foulThrowIn,penaltyFaced,penGoalsConceded,attHdPost,attFreekickMiss,attIboxOwnGoal,attObxRight,attObxLeft,secondYellow,penaltySave
1,2128294,2020-09-14 20:15:00,"American Express Stadium, Falmer",,Away,Chelsea,Brighton and Hove Albion,3,1,W,1,0,0,0,1.0,2.0,1.0,1.0,37.0,58.0,2.0,2.0,3.0,1.0,1.0,33.0,15.0,3.0,1.0,7.0,2.0,1.0,153.0,22.0,3.0,5.0,3.0,1.0,9.0,5.0,109.0,122.0,42.0,10.0,10.0,1.0,2.0,2.0,1.0,1.0,13.0,9.0,1.0,1.0,15.0,3.0,4.0,35.0,162.0,1.0,1.0,0.0,104.0,13.0,1.0,2.0,1.0,1.0,77.0,37.0,7.0,91.0,1.0,1.0,10.0,15.0,3.0,3.0,1.0,122.0,7.0,112.0,644.0,7.0,2.0,20.0,25.0,374.0,33.0,4.0,8.0,2.0,0.0,4.0,2.0,21.0,446.0,57.0,1.0,88894,4.0,228.0,7.0,257.0,6.0,3.0,15.0,9.0,46.0,1.0,2.0,3.0,4.0,1.0,14.0,6.0,3.0,1.0,65.0,387.0,8.0,8.0,15.0,2.0,60.0,2.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.7,21.0,1.0,2.0,4.0,3.0,35.0,3.0,465.0,25.0,10.0,15.0,2.0,16.0,1.0,1.0,221.0,8.0,2.0,13.0,78.0,17.0,8.0,16.0,7.0,3.0,12.0,1.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128298,2020-09-20 16:30:00,"Stamford Bridge, London",,Home,Chelsea,Liverpool,0,2,L,0,0,1,0,,2.0,,,12.0,55.0,,1.0,,,,35.0,34.0,2.0,1.0,3.0,3.0,2.0,143.0,6.0,2.0,16.0,,2.0,2.0,3.0,122.0,113.0,50.0,5.0,3.0,3.0,,,,,4.0,9.0,,,34.0,,7.0,40.0,80.0,,1.0,0.0,45.0,10.0,1.0,,,,35.0,23.0,1.0,81.0,2.0,1.0,4.0,18.0,2.0,1.0,2.0,113.0,10.0,142.0,675.0,2.0,5.0,13.0,11.0,395.0,35.0,7.0,19.0,,0.0,4.0,1.0,10.0,469.0,24.0,,91651,2.0,334.0,2.0,376.0,4.0,,18.0,10.0,37.0,1.0,,1.0,9.0,,16.0,8.0,8.0,,62.0,412.0,6.0,12.0,18.0,1.0,41.0,,3.0,0.0,11.0,,2.0,1.0,1.0,2.0,,1.0,1.0,38.7,9.0,,1.0,9.0,,19.0,1.0,488.0,11.0,4.0,25.0,2.0,9.0,,,116.0,3.0,7.0,11.0,29.0,10.0,19.0,17.0,3.0,3.0,26.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128314,2020-09-26 17:30:00,"The Hawthorns, West Bromwich",,Away,Chelsea,West Bromwich Albion,3,3,D,0,3,0,0,,,2.0,1.0,14.0,54.0,1.0,,1.0,,,22.0,11.0,12.0,6.0,10.0,,5.0,221.0,8.0,8.0,5.0,3.0,2.0,16.0,10.0,212.0,146.0,41.0,22.0,12.0,4.0,,,2.0,1.0,37.0,9.0,,3.0,11.0,9.0,9.0,18.0,408.0,1.0,,0.0,221.0,16.0,,,1.0,2.0,85.0,147.0,11.0,131.0,3.0,1.0,28.0,20.0,12.0,12.0,3.0,146.0,5.0,233.0,983.0,14.0,5.0,36.0,9.0,694.0,26.0,2.0,8.0,2.0,3.0,2.0,5.0,18.0,779.0,77.0,,91651,7.0,311.0,16.0,334.0,7.0,2.0,20.0,6.0,45.0,,,,2.0,2.0,21.0,4.0,6.0,,35.0,711.0,7.0,10.0,10.0,3.0,72.0,,1.0,0.0,3.0,2.0,3.0,1.0,0.0,7.0,1.0,,,75.9,17.0,,7.0,2.0,6.0,61.0,9.0,797.0,9.0,2.0,11.0,6.0,43.0,1.0,2.0,500.0,16.0,9.0,17.0,174.0,19.0,8.0,12.0,18.0,3.0,12.0,1.0,7.0,9.0,1.0,,,,1.0,,,2.0,,2.0,,,,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128318,2020-10-03 12:30:00,"Stamford Bridge, London",,Home,Chelsea,Crystal Palace,4,0,W,0,0,0,0,,1.0,,2.0,28.0,41.0,1.0,,1.0,1.0,,31.0,14.0,5.0,5.0,12.0,,2.0,189.0,17.0,7.0,5.0,4.0,4.0,13.0,6.0,196.0,117.0,46.0,17.0,9.0,2.0,1.0,1.0,,2.0,23.0,5.0,1.0,,14.0,7.0,1.0,43.0,320.0,,2.0,0.0,157.0,17.0,,1.0,2.0,1.0,103.0,110.0,7.0,112.0,,2.0,16.0,15.0,5.0,6.0,1.0,117.0,2.0,210.0,876.0,10.0,4.0,21.0,13.0,620.0,18.0,2.0,3.0,1.0,2.0,2.0,6.0,18.0,691.0,70.0,,91651,9.0,323.0,8.0,346.0,12.0,2.0,15.0,5.0,44.0,2.0,2.0,1.0,2.0,1.0,18.0,2.0,5.0,2.0,50.0,636.0,11.0,9.0,11.0,3.0,66.0,1.0,,0.0,5.0,4.0,,2.0,0.0,5.0,1.0,,4.0,70.9,17.0,3.0,4.0,2.0,5.0,48.0,8.0,707.0,13.0,4.0,30.0,6.0,25.0,2.0,5.0,384.0,7.0,1.0,17.0,130.0,16.0,3.0,14.0,11.0,2.0,11.0,,5.0,8.0,1.0,,2.0,,1.0,,,1.0,1.0,2.0,,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,,4.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128326,2020-10-17 15:00:00,"Stamford Bridge, London",,Home,Chelsea,Southampton,3,3,D,2,1,0,0,,1.0,1.0,2.0,34.0,62.0,2.0,,3.0,,,28.0,29.0,,3.0,11.0,3.0,,193.0,17.0,6.0,7.0,3.0,1.0,9.0,5.0,139.0,162.0,56.0,11.0,9.0,2.0,,2.0,2.0,,13.0,7.0,,,29.0,6.0,6.0,40.0,191.0,,,0.0,124.0,11.0,2.0,,1.0,,70.0,53.0,6.0,95.0,1.0,1.0,7.0,23.0,,3.0,,162.0,9.0,147.0,787.0,4.0,8.0,31.0,7.0,449.0,24.0,7.0,14.0,2.0,1.0,2.0,3.0,22.0,552.0,38.0,,85955,5.0,283.0,4.0,334.0,5.0,1.0,23.0,8.0,41.0,1.0,,3.0,6.0,3.0,30.0,4.0,6.0,,56.0,468.0,8.0,9.0,26.0,3.0,77.0,,2.0,0.0,2.0,3.0,3.0,4.0,0.0,3.0,1.0,,4.0,53.4,21.0,2.0,3.0,6.0,3.0,50.0,6.0,574.0,7.0,6.0,23.0,3.0,26.0,3.0,3.0,253.0,4.0,6.0,25.0,96.0,29.0,14.0,16.0,8.0,3.0,14.0,2.0,12.0,6.0,,,,1.0,,1.0,,,,2.0,2.0,2.0,3.0,2.0,,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,3.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128342,2020-10-24 17:30:00,"Old Trafford, Manchester",,Away,Chelsea,Manchester United,0,0,D,0,0,0,0,,,,,33.0,62.0,,4.0,3.0,,,31.0,24.0,2.0,1.0,4.0,4.0,1.0,197.0,14.0,2.0,6.0,,2.0,4.0,1.0,138.0,144.0,38.0,6.0,11.0,1.0,,1.0,,1.0,19.0,12.0,,,24.0,5.0,5.0,47.0,164.0,,,0.0,110.0,6.0,3.0,,,,68.0,57.0,3.0,98.0,,,14.0,34.0,2.0,3.0,2.0,144.0,7.0,149.0,773.0,4.0,,11.0,13.0,470.0,33.0,2.0,11.0,,1.0,5.0,1.0,17.0,567.0,44.0,,91651,1.0,322.0,9.0,357.0,4.0,,34.0,4.0,38.0,,,,2.0,,13.0,7.0,3.0,,63.0,484.0,8.0,8.0,12.0,2.0,63.0,,,0.0,9.0,,,,0.0,1.0,,3.0,,49.8,15.0,,3.0,2.0,3.0,40.0,6.0,582.0,13.0,3.0,23.0,2.0,28.0,1.0,,244.0,5.0,4.0,8.0,71.0,22.0,11.0,17.0,4.0,3.0,16.0,,17.0,6.0,,,2.0,,,,,,,,,1.0,,2.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128347,2020-10-31 15:00:00,"Turf Moor, Burnley",,Away,Chelsea,Burnley,3,0,W,1,0,0,0,,2.0,1.0,2.0,33.0,59.0,,,1.0,1.0,1.0,38.0,13.0,7.0,4.0,7.0,,2.0,180.0,21.0,4.0,8.0,3.0,1.0,10.0,9.0,188.0,136.0,45.0,14.0,9.0,4.0,,,2.0,,16.0,8.0,,2.0,13.0,3.0,13.0,59.0,277.0,1.0,,0.0,156.0,15.0,,,,2.0,81.0,69.0,10.0,115.0,,,14.0,13.0,7.0,7.0,1.0,136.0,1.0,210.0,856.0,5.0,3.0,25.0,6.0,594.0,23.0,4.0,7.0,3.0,0.0,1.0,,19.0,671.0,42.0,,85955,7.0,335.0,7.0,365.0,4.0,1.0,13.0,9.0,41.0,,1.0,4.0,2.0,2.0,20.0,4.0,4.0,,70.0,608.0,10.0,6.0,16.0,4.0,76.0,,1.0,0.0,3.0,2.0,,1.0,0.0,3.0,3.0,,4.0,63.7,18.0,,4.0,2.0,4.0,53.0,4.0,693.0,6.0,9.0,36.0,1.0,33.0,2.0,,344.0,5.0,12.0,14.0,127.0,29.0,7.0,13.0,9.0,3.0,12.0,,7.0,4.0,,,,1.0,,3.0,1.0,,,,,1.0,,,,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,1.0,2.0,,1.0,1.0,,,2.0,1.0,,,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
8,2128358,2020-11-07 17:30:00,"Stamford Bridge, London",,Home,Chelsea,Sheffield United,4,1,W,2,1,0,0,,,2.0,3.0,30.0,50.0,2.0,1.0,1.0,2.0,1.0,45.0,14.0,10.0,7.0,10.0,2.0,3.0,175.0,16.0,5.0,3.0,4.0,4.0,15.0,9.0,224.0,136.0,43.0,20.0,14.0,3.0,2.0,,2.0,2.0,16.0,5.0,,2.0,14.0,4.0,15.0,47.0,325.0,,,0.0,174.0,5.0,1.0,2.0,,1.0,106.0,108.0,12.0,111.0,1.0,,12.0,16.0,10.0,3.0,2.0,136.0,4.0,252.0,953.0,11.0,3.0,36.0,10.0,650.0,19.0,1.0,9.0,4.0,0.0,2.0,3.0,20.0,743.0,65.0,1.0,91651,5.0,349.0,7.0,382.0,2.0,3.0,16.0,3.0,33.0,1.0,2.0,1.0,6.0,2.0,20.0,2.0,3.0,,73.0,669.0,14.0,3.0,17.0,4.0,85.0,2.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,70.1,20.0,,3.0,6.0,6.0,64.0,6.0,762.0,10.0,6.0,31.0,5.0,25.0,1.0,1.0,396.0,12.0,13.0,13.0,135.0,21.0,9.0,13.0,13.0,2.0,8.0,,10.0,6.0,,,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,2.0,,,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,,2.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,2128372,2020-11-21 12:30:00,"St. James' Park, Newcastle",,Away,Chelsea,Newcastle United,2,0,W,1,0,0,0,,,1.0,1.0,28.0,47.0,,,2.0,,,34.0,25.0,5.0,2.0,9.0,1.0,,151.0,17.0,5.0,5.0,2.0,2.0,13.0,3.0,259.0,107.0,46.0,14.0,15.0,2.0,1.0,2.0,1.0,2.0,15.0,6.0,,,25.0,3.0,14.0,50.0,384.0,,,0.0,185.0,12.0,1.0,2.0,,,106.0,104.0,7.0,94.0,,2.0,13.0,7.0,5.0,8.0,2.0,107.0,4.0,242.0,909.0,10.0,3.0,28.0,9.0,655.0,26.0,1.0,16.0,1.0,0.0,3.0,6.0,13.0,727.0,67.0,,91651,6.0,291.0,4.0,311.0,8.0,1.0,7.0,4.0,39.0,1.0,,2.0,2.0,1.0,12.0,4.0,3.0,,54.0,670.0,10.0,7.0,7.0,2.0,78.0,1.0,1.0,0.0,7.0,2.0,,1.0,0.0,4.0,1.0,1.0,2.0,71.0,13.0,1.0,2.0,2.0,5.0,63.0,4.0,746.0,9.0,5.0,29.0,6.0,28.0,2.0,4.0,450.0,10.0,13.0,19.0,145.0,16.0,16.0,13.0,12.0,3.0,6.0,,3.0,4.0,2.0,,1.0,1.0,,1.0,,3.0,,1.0,,1.0,1.0,1.0,,2.0,3.0,,3.0,1.0,,,,3.0,,,,,,,3.0,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
10,2128378,2020-11-29 16:30:00,"Stamford Bridge, London",,Home,Chelsea,Tottenham Hotspur,0,0,D,0,0,0,0,,1.0,2.0,,24.0,60.0,,1.0,2.0,,,31.0,11.0,4.0,4.0,9.0,1.0,1.0,141.0,11.0,7.0,6.0,,1.0,11.0,3.0,214.0,115.0,41.0,13.0,14.0,1.0,,,,3.0,26.0,8.0,,2.0,11.0,3.0,3.0,29.0,331.0,,,0.0,190.0,20.0,1.0,,,1.0,101.0,97.0,5.0,77.0,1.0,1.0,23.0,14.0,4.0,15.0,1.0,115.0,2.0,225.0,809.0,10.0,2.0,18.0,9.0,575.0,21.0,4.0,6.0,,4.0,1.0,6.0,11.0,644.0,67.0,,91651,6.0,263.0,7.0,279.0,8.0,,14.0,3.0,44.0,,,3.0,4.0,,16.0,3.0,3.0,,49.0,587.0,9.0,9.0,11.0,1.0,75.0,,1.0,0.0,3.0,,,1.0,0.0,7.0,,,1.0,60.3,10.0,1.0,3.0,4.0,3.0,61.0,3.0,657.0,9.0,3.0,17.0,7.0,32.0,,6.0,404.0,5.0,3.0,13.0,147.0,32.0,6.0,13.0,11.0,3.0,8.0,,7.0,3.0,,,1.0,1.0,,,1.0,,,2.0,,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
