gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,subsMade,totalContest,wonCorners,attIboxBlocked,attFreekickTotal,freekickTotal,attSetpiece,attObxdLeft,attGoalHighLeft,attFreekickGoal,accurateFlickOn,shieldBallOop,effectiveBlockedCross,blockedCross,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,postScoringAtt,attMissHighRight,hitWoodwork,sixYardBlock,defenderGoals,attOboxPost,attPostHigh,goalsConceded,goalsConcededIbox,errorLeadToGoal,goalsConcededObox,goalFastbreak,attIboxPost,attHdPost,attSvLowRight,attHdTarget,interceptionsInBox,attFreekickMiss,attObxLeft,attMissHighLeft,attFreekickTarget,attObxRight,attBxRight,totalFastbreak,freekickCross,attLgCentre,accurateFreekickCross,attBxCentre,attCmissHigh,attCmissHighLeft,goalsOpenplay,attCmissLeft,attBxLeft,attOpenplay,fouledFinalThird,attSvHighRight,ownGoals,attIboxOwnGoal,attemptsIbox,saves,rightsidePass,attSvHighLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attObpGoal,attCmissRight,ptsDroppedWinningPos,attObxdRight,clearanceOffLine,attPostRight,penaltySave,penaltyConceded,penaltyFaced
1,266247,2008-08-17 13:30:00,"Stamford Bridge, London",,Home,Chelsea,Portsmouth,4,0,W,3,0,0,0,1.0,1.0,76.0,1.0,1.0,31.0,17.0,14.0,1.0,4.0,1.0,9.0,8.0,4.0,14.0,9.0,139.0,54.0,20.0,2.0,13.0,1.0,1.0,3.0,2.0,4.0,31.0,18.0,1.0,4.0,14.0,4.0,46.0,47.0,345.0,1.0,1.0,1.0,0.0,206.0,12.0,2.0,3.0,1.0,2.0,80.0,92.0,10.0,1.0,27.0,1.0,8.0,7.0,136.0,5.0,974.0,10.0,5.0,14.0,26.0,1.0,9.0,3.0,0.0,2.0,4.0,13.0,102.0,7.0,1.0,49724,287.0,18.0,292.0,3.0,7.0,55.0,15.0,6.0,15.0,5.0,3.0,4.0,1.0,55.0,623.0,6.0,10.0,1.0,12.0,94.0,1.0,2.0,0.0,3.0,3.0,3.0,0.0,8.0,2.0,2.0,68.1,13.0,1.0,18.0,2.0,15.0,2.0,72.0,8.0,2.0,706.0,14.0,15.0,24.0,9.0,29.0,1.0,2.0,445.0,17.0,46.0,14.0,141.0,18.0,1.0,7.0,26.0,1.0,3.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266263,2008-08-24 13:30:00,"The Brick Community Stadium, Wigan",,Away,Chelsea,Wigan Athletic,1,0,W,1,0,0,0,1.0,,73.0,,2.0,35.0,32.0,4.0,3.0,1.0,,5.0,6.0,1.0,7.0,2.0,146.0,56.0,9.0,3.0,17.0,,,,,,17.0,17.0,,1.0,18.0,5.0,33.0,36.0,172.0,1.0,1.0,,0.0,139.0,17.0,4.0,1.0,1.0,6.0,29.0,63.0,4.0,1.0,12.0,,3.0,,132.0,5.0,770.0,5.0,11.0,10.0,33.0,8.0,23.0,,2.0,4.0,3.0,12.0,74.0,2.0,,8442,261.0,8.0,287.0,1.0,8.0,58.0,5.0,6.0,4.0,7.0,6.0,2.0,,63.0,428.0,13.0,9.0,2.0,30.0,89.0,,1.0,0.0,7.0,3.0,,0.0,3.0,,2.0,58.7,10.0,2.0,12.0,,5.0,4.0,51.0,7.0,6.0,521.0,10.0,13.0,20.0,3.0,20.0,2.0,3.0,251.0,4.0,32.0,15.0,90.0,16.0,,13.0,22.0,,3.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266267,2008-08-31 13:30:00,"Stamford Bridge, London",,Home,Chelsea,Tottenham Hotspur,1,1,D,1,1,0,0,,,60.0,,,39.0,14.0,11.0,4.0,1.0,,6.0,4.0,1.0,10.0,2.0,136.0,46.0,17.0,4.0,16.0,,,,,2.0,21.0,12.0,,1.0,8.0,5.0,21.0,29.0,245.0,,,,0.0,169.0,10.0,,,,4.0,60.0,63.0,3.0,2.0,16.0,,7.0,5.0,130.0,3.0,754.0,8.0,6.0,8.0,24.0,3.0,8.0,1.0,3.0,4.0,7.0,20.0,87.0,2.0,,8442,216.0,6.0,232.0,,5.0,63.0,6.0,2.0,5.0,2.0,4.0,4.0,,63.0,455.0,13.0,12.0,1.0,19.0,87.0,,1.0,0.0,8.0,,1.0,0.0,4.0,1.0,1.0,58.5,18.0,1.0,12.0,1.0,5.0,5.0,58.0,5.0,4.0,540.0,8.0,9.0,12.0,10.0,32.0,2.0,4.0,329.0,12.0,20.0,13.0,112.0,17.0,,4.0,16.0,,3.0,20.0,5.0,1.0,1.0,1.0,,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266277,2008-09-13 17:30:00,"Etihad Stadium, Manchester",,Away,Chelsea,Manchester City,3,1,W,1,1,1,0,,3.0,62.0,2.0,,28.0,30.0,6.0,6.0,1.0,,10.0,9.0,3.0,17.0,7.0,151.0,58.0,20.0,2.0,21.0,2.0,1.0,3.0,,2.0,23.0,17.0,1.0,2.0,12.0,4.0,29.0,29.0,249.0,,,,0.0,139.0,12.0,,1.0,,1.0,84.0,61.0,7.0,3.0,19.0,,3.0,2.0,133.0,7.0,779.0,12.0,3.0,14.0,26.0,2.0,21.0,3.0,1.0,6.0,10.0,24.0,74.0,4.0,1.0,41135,184.0,15.0,203.0,2.0,6.0,75.0,5.0,5.0,3.0,9.0,,4.0,,57.0,423.0,16.0,13.0,2.0,24.0,92.0,1.0,1.0,0.0,8.0,2.0,3.0,1.0,8.0,2.0,6.0,55.3,22.0,5.0,9.0,2.0,3.0,2.0,59.0,5.0,1.0,501.0,14.0,22.0,17.0,11.0,15.0,2.0,8.0,321.0,7.0,27.0,9.0,96.0,20.0,1.0,4.0,24.0,,3.0,16.0,5.0,,,,,,,,1.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266286,2008-09-21 14:00:00,"Stamford Bridge, London",,Home,Chelsea,Manchester United,1,1,D,0,1,0,0,,3.0,46.0,,2.0,28.0,36.0,15.0,6.0,2.0,,8.0,2.0,1.0,20.0,7.0,155.0,63.0,25.0,7.0,6.0,3.0,3.0,,4.0,1.0,36.0,18.0,,3.0,17.0,7.0,26.0,28.0,228.0,,,,0.0,170.0,18.0,2.0,,,1.0,64.0,56.0,11.0,4.0,29.0,,13.0,5.0,136.0,8.0,735.0,17.0,14.0,14.0,13.0,8.0,26.0,1.0,1.0,7.0,9.0,24.0,88.0,2.0,1.0,4113,164.0,12.0,178.0,,6.0,41.0,6.0,1.0,2.0,10.0,3.0,3.0,,50.0,384.0,19.0,4.0,2.0,26.0,72.0,3.0,,0.0,4.0,1.0,1.0,0.0,7.0,1.0,3.0,60.0,22.0,1.0,9.0,,2.0,9.0,40.0,7.0,1.0,473.0,14.0,8.0,15.0,9.0,38.0,1.0,4.0,331.0,16.0,25.0,16.0,115.0,20.0,1.0,13.0,26.0,1.0,3.0,7.0,7.0,2.0,1.0,1.0,2.0,,,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266302,2008-09-27 15:00:00,"bet365 Stadium, Stoke",,Away,Chelsea,Stoke City,2,0,W,1,0,0,0,,2.0,58.0,,,38.0,31.0,9.0,8.0,2.0,,2.0,7.0,2.0,15.0,7.0,133.0,48.0,20.0,5.0,10.0,3.0,,1.0,1.0,,16.0,18.0,,2.0,17.0,5.0,29.0,32.0,283.0,1.0,,,0.0,195.0,10.0,1.0,,1.0,2.0,97.0,63.0,13.0,2.0,11.0,,2.0,2.0,119.0,3.0,813.0,13.0,6.0,12.0,21.0,9.0,23.0,1.0,1.0,3.0,2.0,18.0,77.0,3.0,,41135,205.0,7.0,222.0,2.0,7.0,38.0,6.0,2.0,6.0,5.0,4.0,1.0,,64.0,486.0,9.0,4.0,1.0,31.0,89.0,,,0.0,5.0,2.0,2.0,0.0,,1.0,1.0,68.3,17.0,,5.0,2.0,6.0,9.0,55.0,5.0,2.0,571.0,12.0,8.0,19.0,4.0,22.0,2.0,2.0,365.0,11.0,27.0,11.0,148.0,25.0,1.0,11.0,21.0,,3.0,13.0,5.0,4.0,2.0,2.0,,,1.0,,1.0,,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266305,2008-10-05 15:00:00,"Stamford Bridge, London",,Home,Chelsea,Aston Villa,2,0,W,2,0,0,0,1.0,4.0,72.0,1.0,,45.0,22.0,18.0,11.0,7.0,,6.0,8.0,2.0,26.0,14.0,127.0,48.0,35.0,6.0,14.0,5.0,,1.0,6.0,3.0,26.0,14.0,1.0,7.0,11.0,6.0,36.0,34.0,308.0,1.0,,,0.0,197.0,12.0,1.0,1.0,2.0,1.0,70.0,63.0,17.0,2.0,20.0,,8.0,6.0,116.0,2.0,807.0,22.0,10.0,16.0,21.0,7.0,10.0,1.0,0.0,3.0,9.0,20.0,93.0,3.0,,49724,164.0,10.0,176.0,2.0,10.0,55.0,4.0,2.0,5.0,8.0,3.0,4.0,,59.0,466.0,16.0,5.0,3.0,20.0,86.0,,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,59.8,20.0,2.0,10.0,2.0,5.0,8.0,59.0,6.0,1.0,528.0,15.0,18.0,23.0,13.0,20.0,3.0,6.0,378.0,21.0,36.0,8.0,160.0,32.0,1.0,4.0,16.0,,3.0,15.0,7.0,2.0,4.0,4.0,1.0,,,,3.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266321,2008-10-18 12:45:00,"Riverside Stadium, Middlesbrough",,Away,Chelsea,Middlesbrough,5,0,W,1,0,0,0,,1.0,52.0,1.0,,34.0,25.0,7.0,6.0,3.0,1.0,6.0,4.0,5.0,17.0,8.0,130.0,46.0,22.0,2.0,5.0,2.0,6.0,2.0,2.0,3.0,18.0,15.0,1.0,2.0,13.0,5.0,36.0,27.0,267.0,1.0,1.0,,0.0,167.0,9.0,,2.0,1.0,1.0,54.0,56.0,10.0,1.0,13.0,,2.0,3.0,118.0,2.0,849.0,14.0,4.0,10.0,15.0,3.0,16.0,2.0,0.0,4.0,7.0,24.0,72.0,4.0,,56915,311.0,10.0,321.0,2.0,7.0,46.0,7.0,7.0,8.0,6.0,4.0,1.0,,53.0,572.0,13.0,3.0,1.0,16.0,83.0,6.0,,0.0,5.0,1.0,4.0,0.0,5.0,1.0,2.0,69.1,21.0,1.0,10.0,,8.0,6.0,57.0,8.0,2.0,636.0,10.0,15.0,17.0,8.0,18.0,1.0,5.0,333.0,14.0,34.0,8.0,130.0,15.0,1.0,9.0,21.0,1.0,3.0,18.0,8.0,4.0,,,1.0,,,,1.0,,3.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,1.0,,,2.0,,,2.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,4.0,2.0,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,
9,266325,2008-10-26 13:30:00,"Stamford Bridge, London",,Home,Chelsea,Liverpool,0,1,L,0,1,0,0,,1.0,63.0,,2.0,53.0,31.0,11.0,3.0,,,5.0,10.0,,12.0,2.0,155.0,60.0,17.0,6.0,11.0,1.0,,,1.0,4.0,27.0,11.0,,1.0,18.0,4.0,30.0,44.0,253.0,,,,0.0,190.0,18.0,,,,2.0,75.0,54.0,6.0,,23.0,,13.0,4.0,142.0,2.0,732.0,12.0,10.0,14.0,15.0,6.0,19.0,,3.0,1.0,6.0,30.0,78.0,2.0,,49724,177.0,8.0,196.0,,6.0,60.0,7.0,4.0,2.0,11.0,6.0,2.0,,73.0,425.0,13.0,5.0,,20.0,81.0,,,0.0,2.0,,,0.0,5.0,,4.0,59.9,26.0,3.0,12.0,,2.0,7.0,59.0,4.0,2.0,511.0,14.0,12.0,26.0,8.0,29.0,,4.0,342.0,10.0,27.0,20.0,133.0,28.0,,9.0,17.0,,3.0,24.0,4.0,1.0,1.0,1.0,,,,,5.0,2.0,2.0,2.0,,,,,,2.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,2.0,,,5.0,1.0,,,2.0,1.0,15.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10,266336,2008-10-29 19:45:00,"The MKM Stadium, Hull",,Away,Chelsea,Hull City,3,0,W,1,0,0,0,1.0,,66.0,1.0,3.0,30.0,36.0,13.0,12.0,3.0,1.0,8.0,11.0,3.0,20.0,6.0,135.0,47.0,27.0,5.0,14.0,2.0,1.0,2.0,2.0,3.0,24.0,13.0,1.0,1.0,22.0,3.0,36.0,26.0,273.0,1.0,1.0,,0.0,173.0,15.0,2.0,2.0,,3.0,59.0,52.0,9.0,4.0,21.0,,7.0,8.0,121.0,7.0,766.0,17.0,7.0,10.0,21.0,7.0,17.0,2.0,2.0,2.0,11.0,18.0,73.0,6.0,,49724,152.0,13.0,170.0,1.0,12.0,45.0,9.0,1.0,7.0,4.0,5.0,2.0,,51.0,417.0,11.0,4.0,1.0,28.0,92.0,1.0,,0.0,5.0,1.0,2.0,0.0,8.0,1.0,1.0,57.5,13.0,1.0,17.0,1.0,7.0,6.0,53.0,5.0,4.0,496.0,10.0,8.0,13.0,15.0,24.0,,7.0,350.0,14.0,34.0,11.0,134.0,20.0,1.0,9.0,14.0,,3.0,16.0,5.0,1.0,2.0,2.0,2.0,1.0,,,4.0,3.0,4.0,4.0,,,,2.0,,4.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
