gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,attCmissRight,postScoringAtt,attGoalHighRight,attMissHighRight,bigChanceCreated,attHdTarget,hitWoodwork,attMissHighLeft,attMissHigh,attSvLowRight,attFreekickGoal,attOboxPost,goalsConceded,accurateFlickOn,accurateCrossNocorner,attPostRight,forwardGoals,goalsConcededIbox,attIboxPost,attSvHighRight,ptsGainedLosingPos,freekickCross,attFreekickPost,contentiousDecision,accurateThroughBall,accurateFreekickCross,defenderGoals,attPostHigh,foulThrowIn,attHdGoal,attObxdLeft,shieldBallOop,attGoalHighCentre,attGoalLowCentre,accurateKeeperSweeper,attPostLeft,attHdPost,totalKeeperSweeper,goalFastbreak,sixYardBlock,attCmissHigh,penaltyWon,attPenMiss,punches,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attCmissHighRight,attObpGoal,clearanceOffLine,attLgCentre,goalsConcededObox,attObxRight,ptsDroppedWinningPos,errorLeadToGoal,attPenGoal,attCmissHighLeft,attObxLeft
1,987593,2018-08-12 16:00:00,"Emirates Stadium, London",59934,Away,Manchester City,Arsenal,2,0,W,1,0,0,0,1.0,3.0,58.0,1.0,1.0,2.7255,25.0,9.0,9.0,9.0,8.0,3.0,1.0,3.0,176.0,1.0,9.0,2.0,1.0,9.0,1.0,8.0,133.0,144.0,34.0,1.0,17.0,4.0,14.0,4.0,1.0,2.0,2.0,1.0,4.0,15.0,5.0,2.0,9.0,7.0,14.0,29.0,1.0,0.124,207.0,1.0,1.0,0.0,141.0,14.0,1.0,1.0,1.0,2.0,3.0,1.0,90.0,76.0,5.0,92.0,1.0,1.0,8.0,23.0,9.0,1.0,5.0,2.0,144.0,5.0,154.0,734.0,6.0,5.0,33.0,12.0,448.0,20.0,3.0,4.0,2.0,2.0,2.0,4.0,0.393342,20.0,526.0,0.138274,47.0,1.0,97299,2.0,261.0,2.0,3.0,1.0,285.0,7.0,1.0,2.0,12.0,8.0,54.0,6.0,2.0,9.0,2.0,11.0,4.0,5.0,52.0,467.0,11.0,5.0,1.0,17.0,1.0,67.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,58.0,15.0,1.0,2.0,2.0,1.0,9.0,4.0,47.0,9.0,1.0,555.0,12.0,16.0,16.0,5.0,28.0,1.0,3.0,285.0,7.0,14.0,8.0,95.0,26.0,1.0,4.0,6.0,14.0,3.0,15.0,1.71708,1.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987609,2018-08-19 13:30:00,"Etihad Stadium, Manchester",54021,Home,Manchester City,Huddersfield Town,6,1,W,3,1,0,0,1.0,5.0,55.0,1.0,,,34.0,24.0,12.0,19.0,20.0,,4.0,3.0,167.0,5.0,18.0,6.0,1.0,22.0,1.0,14.0,233.0,104.0,44.0,1.0,32.0,5.0,19.0,7.0,1.0,1.0,1.0,5.0,3.0,24.0,3.0,2.0,24.0,7.0,27.0,30.0,1.0,,539.0,,2.0,0.0,298.0,9.0,,1.0,,1.0,2.0,,136.0,110.0,16.0,116.0,,1.0,17.0,21.0,12.0,1.0,7.0,2.0,104.0,3.0,244.0,959.0,19.0,1.0,57.0,5.0,693.0,18.0,2.0,15.0,2.0,0.0,2.0,6.0,,15.0,744.0,,91.0,,97299,10.0,172.0,5.0,10.0,,180.0,7.0,1.0,1.0,21.0,7.0,46.0,2.0,1.0,6.0,4.0,13.0,2.0,5.0,43.0,706.0,4.0,4.0,1.0,4.0,,46.0,1.0,,2.0,0.0,,1.0,3.0,,4.0,0.0,1.0,1.0,76.9,15.0,,3.0,6.0,,6.0,9.0,41.0,10.0,,760.0,5.0,11.0,19.0,9.0,46.0,2.0,6.0,604.0,11.0,26.0,17.0,257.0,28.0,3.0,15.0,5.0,28.0,3.0,23.0,,3.0,11.0,10.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987621,2018-08-25 12:30:00,"Molineux Stadium, Wolverhampton",31322,Away,Manchester City,Wolverhampton Wanderers,1,1,D,0,0,0,0,,1.0,46.0,,,,21.0,11.0,9.0,2.0,9.0,1.0,,3.0,171.0,4.0,16.0,1.0,6.0,11.0,,6.0,184.0,139.0,51.0,1.0,18.0,4.0,15.0,3.0,,,,3.0,1.0,30.0,8.0,2.0,11.0,7.0,12.0,25.0,,,337.0,,,0.0,183.0,8.0,1.0,,,,1.0,1.0,97.0,83.0,8.0,97.0,1.0,1.0,23.0,18.0,9.0,1.0,9.0,2.0,139.0,7.0,192.0,844.0,9.0,,39.0,7.0,555.0,15.0,1.0,6.0,1.0,2.0,3.0,3.0,,20.0,620.0,,59.0,,97299,6.0,244.0,1.0,11.0,1.0,256.0,5.0,,2.0,18.0,7.0,48.0,1.0,3.0,1.0,,15.0,4.0,7.0,36.0,577.0,13.0,6.0,1.0,7.0,,69.0,,1.0,1.0,0.0,,5.0,5.0,1.0,1.0,0.0,1.0,3.0,71.1,19.0,1.0,3.0,2.0,,1.0,6.0,59.0,9.0,1.0,644.0,7.0,15.0,12.0,6.0,50.0,1.0,2.0,418.0,13.0,12.0,13.0,144.0,26.0,2.0,6.0,9.0,12.0,3.0,20.0,,2.0,7.0,9.0,1.0,,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,3.0,,1.0,,,1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987629,2018-09-01 17:30:00,"Etihad Stadium, Manchester",53946,Home,Manchester City,Newcastle United,2,1,W,1,1,0,0,,2.0,49.0,1.0,,,29.0,9.0,7.0,11.0,16.0,1.0,,3.0,209.0,5.0,8.0,2.0,7.0,15.0,,8.0,212.0,135.0,42.0,3.0,24.0,2.0,15.0,5.0,,1.0,2.0,1.0,3.0,21.0,6.0,1.0,9.0,4.0,14.0,27.0,,,468.0,,1.0,0.0,262.0,5.0,1.0,,,1.0,1.0,1.0,160.0,104.0,10.0,128.0,,4.0,17.0,18.0,8.0,3.0,3.0,4.0,135.0,2.0,218.0,957.0,11.0,1.0,37.0,6.0,674.0,23.0,3.0,2.0,2.0,0.0,,5.0,,31.0,753.0,,83.0,,97299,4.0,225.0,3.0,11.0,2.0,238.0,3.0,2.0,1.0,18.0,3.0,46.0,3.0,2.0,6.0,2.0,18.0,1.0,3.0,42.0,688.0,13.0,7.0,2.0,8.0,,79.0,,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,,2.0,78.1,31.0,1.0,4.0,6.0,2.0,6.0,7.0,67.0,4.0,1.0,767.0,6.0,14.0,13.0,9.0,34.0,1.0,5.0,550.0,11.0,14.0,12.0,213.0,15.0,,2.0,9.0,18.0,3.0,13.0,,,6.0,4.0,,1.0,5.0,,,2.0,,,1.0,3.0,1.0,,1.0,,2.0,,,1.0,,4.0,,,1.0,,,,3.0,,,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987636,2018-09-15 15:00:00,"Etihad Stadium, Manchester",53307,Home,Manchester City,Fulham,3,0,W,2,0,0,0,1.0,3.0,69.0,,3.0,,37.0,15.0,10.0,11.0,18.0,3.0,,3.0,188.0,6.0,13.0,3.0,1.0,22.0,1.0,9.0,208.0,120.0,46.0,1.0,28.0,7.0,8.0,5.0,1.0,2.0,2.0,2.0,3.0,20.0,11.0,1.0,15.0,8.0,14.0,37.0,1.0,,400.0,1.0,,0.0,218.0,7.0,2.0,1.0,,1.0,3.0,1.0,141.0,85.0,15.0,112.0,,2.0,12.0,21.0,10.0,1.0,5.0,2.0,120.0,2.0,228.0,936.0,19.0,1.0,54.0,12.0,655.0,23.0,3.0,8.0,2.0,0.0,1.0,7.0,,17.0,721.0,,60.0,1.0,97299,9.0,276.0,4.0,7.0,,289.0,1.0,3.0,3.0,21.0,4.0,35.0,5.0,5.0,4.0,3.0,20.0,7.0,4.0,47.0,670.0,7.0,8.0,1.0,8.0,,75.0,1.0,,1.0,0.0,,,4.0,,3.0,0.0,2.0,3.0,64.7,16.0,3.0,9.0,2.0,,4.0,11.0,65.0,10.0,1.0,736.0,12.0,10.0,28.0,8.0,44.0,4.0,6.0,467.0,14.0,13.0,10.0,180.0,33.0,1.0,8.0,16.0,24.0,3.0,17.0,,1.0,8.0,10.0,3.0,2.0,4.0,,,1.0,,,,6.0,,1.0,1.0,2.0,1.0,,,,1.0,2.0,,2.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987645,2018-09-22 15:00:00,"Cardiff City Stadium, Cardiff",32321,Away,Manchester City,Cardiff City,5,0,W,3,0,0,0,,1.0,51.0,1.0,1.0,,23.0,10.0,3.0,7.0,18.0,2.0,2.0,4.0,181.0,8.0,6.0,5.0,3.0,15.0,1.0,10.0,253.0,118.0,32.0,1.0,21.0,,10.0,4.0,,1.0,3.0,2.0,2.0,23.0,10.0,1.0,10.0,6.0,13.0,23.0,,,360.0,1.0,1.0,0.0,173.0,4.0,,,,2.0,,1.0,85.0,105.0,13.0,123.0,2.0,,17.0,8.0,3.0,1.0,3.0,1.0,118.0,1.0,242.0,961.0,10.0,3.0,54.0,11.0,713.0,17.0,1.0,4.0,4.0,1.0,,2.0,,15.0,786.0,,57.0,,97299,15.0,373.0,3.0,12.0,1.0,387.0,3.0,2.0,2.0,8.0,4.0,32.0,1.0,1.0,8.0,4.0,11.0,1.0,4.0,40.0,725.0,5.0,2.0,1.0,8.0,,80.0,,1.0,,0.0,1.0,,1.0,1.0,4.0,0.0,4.0,2.0,78.6,14.0,,5.0,,1.0,8.0,7.0,61.0,9.0,2.0,799.0,11.0,7.0,8.0,4.0,38.0,2.0,2.0,435.0,11.0,13.0,9.0,132.0,21.0,1.0,4.0,12.0,13.0,3.0,15.0,,1.0,2.0,10.0,1.0,1.0,7.0,1.0,,,1.0,1.0,,3.0,,1.0,,1.0,2.0,,,,1.0,6.0,,1.0,,1.0,,,2.0,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,987658,2018-09-29 15:00:00,"Etihad Stadium, Manchester",54152,Home,Manchester City,Brighton and Hove Albion,2,0,W,1,0,0,0,,3.0,54.0,1.0,,,24.0,7.0,9.0,9.0,19.0,1.0,,3.0,189.0,8.0,13.0,2.0,2.0,24.0,1.0,8.0,272.0,109.0,52.0,,28.0,,8.0,2.0,1.0,2.0,2.0,3.0,6.0,29.0,10.0,4.0,7.0,8.0,5.0,34.0,,,611.0,1.0,,0.0,381.0,4.0,,2.0,,,1.0,,118.0,135.0,12.0,130.0,1.0,5.0,21.0,8.0,9.0,,5.0,5.0,109.0,4.0,259.0,1040.0,20.0,5.0,61.0,12.0,773.0,17.0,1.0,4.0,2.0,0.0,2.0,12.0,,18.0,834.0,,69.0,,97299,10.0,186.0,,15.0,1.0,202.0,3.0,2.0,2.0,8.0,2.0,28.0,,,3.0,2.0,11.0,,2.0,41.0,789.0,10.0,1.0,2.0,9.0,,53.0,1.0,,,0.0,,1.0,3.0,1.0,2.0,0.0,2.0,5.0,80.1,18.0,5.0,8.0,3.0,1.0,3.0,7.0,46.0,10.0,,850.0,12.0,10.0,25.0,13.0,55.0,2.0,8.0,677.0,13.0,4.0,14.0,344.0,26.0,1.0,4.0,15.0,24.0,3.0,18.0,,1.0,2.0,10.0,2.0,1.0,7.0,,,1.0,,,,2.0,,,1.0,1.0,,,,,2.0,6.0,,2.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,
8,987667,2018-10-07 16:30:00,"Anfield, Liverpool",52117,Away,Manchester City,Liverpool,0,0,D,0,0,0,0,,1.0,58.0,,,,29.0,25.0,1.0,4.0,5.0,2.0,,1.0,175.0,1.0,7.0,,1.0,4.0,,2.0,141.0,138.0,50.0,,6.0,,6.0,2.0,,2.0,,1.0,,12.0,11.0,,25.0,5.0,7.0,36.0,,,171.0,1.0,,0.0,108.0,10.0,,,,,,1.0,92.0,53.0,2.0,85.0,3.0,1.0,7.0,18.0,1.0,,1.0,1.0,138.0,5.0,127.0,708.0,4.0,5.0,19.0,13.0,420.0,24.0,7.0,18.0,,3.0,1.0,2.0,,18.0,505.0,,38.0,,97299,1.0,269.0,1.0,6.0,,289.0,5.0,,1.0,18.0,10.0,37.0,1.0,5.0,7.0,,8.0,2.0,7.0,51.0,439.0,10.0,4.0,,17.0,,67.0,,,,0.0,,3.0,2.0,2.0,,0.0,,,50.6,13.0,,2.0,1.0,,7.0,1.0,40.0,6.0,1.0,528.0,13.0,11.0,25.0,3.0,24.0,,2.0,251.0,2.0,7.0,17.0,65.0,24.0,,18.0,16.0,5.0,2.0,13.0,,,11.0,6.0,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
9,987678,2018-10-20 15:00:00,"Etihad Stadium, Manchester",54094,Home,Manchester City,Burnley,5,0,W,1,0,0,0,1.0,2.0,54.0,2.0,,,27.0,10.0,6.0,15.0,18.0,,4.0,1.0,184.0,7.0,5.0,5.0,,20.0,,10.0,182.0,116.0,39.0,,24.0,4.0,16.0,5.0,,2.0,4.0,2.0,1.0,19.0,8.0,,10.0,5.0,12.0,38.0,,,320.0,1.0,2.0,0.0,208.0,11.0,,,,2.0,3.0,1.0,101.0,87.0,17.0,109.0,1.0,4.0,14.0,17.0,6.0,,3.0,,116.0,4.0,204.0,825.0,16.0,4.0,52.0,7.0,581.0,24.0,,6.0,4.0,2.0,1.0,3.0,,15.0,661.0,,53.0,,97299,8.0,284.0,5.0,11.0,,300.0,7.0,1.0,4.0,17.0,6.0,40.0,2.0,,3.0,4.0,9.0,1.0,5.0,51.0,597.0,5.0,3.0,,9.0,,59.0,,2.0,,0.0,,,1.0,,3.0,0.0,3.0,4.0,69.1,14.0,2.0,4.0,1.0,,3.0,8.0,43.0,10.0,1.0,679.0,7.0,5.0,24.0,6.0,40.0,1.0,6.0,398.0,5.0,12.0,14.0,162.0,21.0,,6.0,15.0,22.0,3.0,12.0,,,6.0,10.0,3.0,,4.0,,,2.0,,1.0,,7.0,2.0,,,1.0,,,,,1.0,6.0,,3.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
10,987690,2018-10-29 20:00:00,"Wembley Stadium, London",56854,Away,Manchester City,Tottenham Hotspur,1,0,W,1,0,0,0,1.0,2.0,68.0,,,,24.0,22.0,3.0,9.0,10.0,1.0,1.0,3.0,157.0,1.0,13.0,1.0,3.0,9.0,2.0,6.0,133.0,140.0,47.0,1.0,13.0,1.0,12.0,4.0,,1.0,1.0,1.0,1.0,12.0,6.0,1.0,22.0,4.0,6.0,29.0,,,235.0,1.0,,0.0,155.0,13.0,,,,,1.0,,66.0,73.0,8.0,80.0,1.0,1.0,8.0,13.0,3.0,1.0,5.0,1.0,140.0,3.0,144.0,693.0,8.0,6.0,37.0,14.0,415.0,15.0,2.0,10.0,1.0,2.0,,1.0,,9.0,491.0,,62.0,2.0,97299,4.0,195.0,1.0,1.0,1.0,212.0,5.0,,3.0,13.0,5.0,48.0,1.0,4.0,8.0,1.0,19.0,1.0,2.0,63.0,429.0,11.0,7.0,,20.0,,67.0,,,1.0,0.0,,3.0,3.0,1.0,1.0,0.0,1.0,,52.0,8.0,,4.0,3.0,,8.0,5.0,35.0,6.0,,514.0,14.0,7.0,15.0,2.0,33.0,1.0,1.0,314.0,4.0,6.0,11.0,115.0,36.0,1.0,10.0,12.0,10.0,3.0,23.0,,1.0,8.0,6.0,1.0,1.0,4.0,,,,,,,2.0,,1.0,,,3.0,,,,4.0,,,1.0,,,,,2.0,,,1.0,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
