gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,bigChanceScored,attIboxBlocked,goals,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,attOneOnOne,goodHighClaim,bigChanceCreated,attPostLeft,hitWoodwork,goalAssist,errorLeadToShot,bigChanceMissed,sixYardBlock,goalsOpenplay,attGoalHighLeft,attCmissLeft,overrun,attIboxGoal,attOboxPost,accurateFlickOn,goalAssistIntentional,foulThrowIn,totalHighClaim,forwardGoals,attHdGoal,handBall,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,attGoalHighRight,attMissHighRight,attOboxGoal,midfielderGoals,attGoalHighCentre,attMissHighLeft,attRfGoal,totalPullBack,punches,attPostHigh,attBxLeft,penaltySave,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,ptsDroppedWinningPos,accuratePullBack,attCmissRight,attSvHighRight,attSvHighCentre,attGoalLowCentre,shotFastbreak,attIboxPost,ptsGainedLosingPos,totalFastbreak,freekickCross,attHdPost,attFastbreak,shieldBallOop,attObxLeft,attObxRight,attLfGoal,secondYellow,ownGoals,attIboxOwnGoal,attLgRight,accurateFreekickCross,attObxdLeft,attFreekickTarget,penaltyWon,attPenGoal,attCorner,attCmissHighLeft,cleanSheet,attSvHighLeft,attPenTarget,goalFastbreak,clearanceOffLine,attLgCentre,attPostRight,attCmissHighRight,attLgLeft
1,987594,2018-08-11 15:00:00,"Craven Cottage, London",24821,Home,Fulham,Crystal Palace,0,2,L,0,1,0,0,67.0,3.0,40.0,22.0,9.0,1.0,6.0,8.0,4.0,180.0,8.0,9.0,1.0,10.0,6.0,213.0,144.0,55.0,1.0,15.0,5.0,20.0,4.0,1.0,4.0,32.0,19.0,2.0,22.0,5.0,13.0,36.0,307.0,0.0,173.0,9.0,3.0,1.0,99.0,94.0,7.0,83.0,1.0,3.0,27.0,9.0,9.0,1.0,16.0,2.0,144.0,1.0,8.0,196.0,893.0,9.0,1.0,19.0,2.0,15.0,572.0,28.0,2.0,7.0,2.0,1.0,2.0,3.0,16.0,652.0,78.0,1.0,94248,5.0,292.0,11.0,2.0,312.0,4.0,9.0,5.0,63.0,1.0,3.0,2.0,9.0,14.0,4.0,5.0,1.0,70.0,591.0,11.0,13.0,1.0,14.0,79.0,1.0,0.0,5.0,5.0,2.0,0.0,6.0,4.0,66.3,14.0,2.0,3.0,9.0,5.0,62.0,5.0,672.0,15.0,15.0,16.0,4.0,45.0,2.0,2.0,392.0,10.0,13.0,10.0,126.0,27.0,1.0,7.0,25.0,2.0,11.0,3.0,15.0,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987610,2018-08-18 15:00:00,"Wembley Stadium, London",58297,Away,Fulham,Tottenham Hotspur,1,3,L,0,1,0,0,53.0,1.0,33.0,39.0,5.0,5.0,5.0,8.0,,131.0,2.0,11.0,,9.0,3.0,116.0,119.0,40.0,,10.0,1.0,14.0,1.0,1.0,1.0,7.0,8.0,1.0,39.0,1.0,9.0,42.0,136.0,0.0,78.0,5.0,2.0,1.0,37.0,36.0,4.0,76.0,2.0,1.0,6.0,9.0,5.0,,3.0,2.0,119.0,,18.0,112.0,615.0,8.0,7.0,14.0,,10.0,334.0,25.0,3.0,13.0,1.0,0.0,4.0,5.0,12.0,406.0,37.0,1.0,94248,2.0,222.0,3.0,,252.0,2.0,9.0,9.0,37.0,,2.0,3.0,5.0,15.0,7.0,6.0,,62.0,356.0,9.0,6.0,,12.0,55.0,,0.0,6.0,7.0,3.0,0.0,2.0,2.0,40.4,11.0,1.0,2.0,5.0,2.0,33.0,2.0,435.0,10.0,11.0,25.0,5.0,14.0,,2.0,190.0,3.0,8.0,7.0,49.0,15.0,3.0,13.0,13.0,1.0,10.0,3.0,12.0,,3.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987614,2018-08-26 16:00:00,"Craven Cottage, London",23438,Home,Fulham,Burnley,4,2,W,3,2,0,0,64.0,,37.0,25.0,17.0,4.0,8.0,,5.0,191.0,5.0,4.0,1.0,22.0,12.0,137.0,129.0,34.0,,25.0,2.0,17.0,3.0,,5.0,16.0,8.0,5.0,25.0,2.0,14.0,45.0,222.0,0.0,152.0,11.0,,3.0,65.0,61.0,12.0,88.0,,1.0,14.0,10.0,17.0,,8.0,8.0,129.0,1.0,9.0,156.0,735.0,19.0,5.0,25.0,1.0,4.0,464.0,33.0,4.0,15.0,,2.0,5.0,10.0,18.0,541.0,62.0,,87107,5.0,271.0,6.0,,294.0,5.0,10.0,9.0,55.0,,,1.0,3.0,8.0,3.0,3.0,2.0,72.0,488.0,8.0,7.0,,14.0,94.0,,0.0,4.0,,2.0,0.0,5.0,4.0,63.8,15.0,1.0,3.0,3.0,3.0,57.0,6.0,572.0,4.0,12.0,21.0,10.0,32.0,,1.0,294.0,17.0,14.0,14.0,113.0,22.0,3.0,15.0,9.0,2.0,22.0,3.0,13.0,,3.0,3.0,6.0,,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,,,2.0,,2.0,3.0,,,,3.0,,1.0,1.0,3.0,1.0,4.0,2.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987622,2018-09-01 15:00:00,"American Express Stadium, Falmer",30526,Away,Fulham,Brighton and Hove Albion,2,2,D,1,0,0,0,58.0,,33.0,26.0,3.0,3.0,7.0,3.0,1.0,157.0,1.0,11.0,,6.0,5.0,141.0,134.0,52.0,1.0,10.0,,15.0,2.0,,,10.0,12.0,1.0,26.0,1.0,8.0,28.0,238.0,0.0,113.0,14.0,3.0,,63.0,85.0,4.0,82.0,1.0,,9.0,18.0,3.0,1.0,2.0,2.0,134.0,,12.0,171.0,739.0,5.0,3.0,14.0,,9.0,443.0,28.0,4.0,14.0,,3.0,2.0,2.0,21.0,523.0,50.0,1.0,87107,5.0,229.0,7.0,,264.0,5.0,18.0,9.0,50.0,,1.0,4.0,4.0,14.0,3.0,5.0,3.0,57.0,466.0,12.0,7.0,,13.0,71.0,3.0,0.0,7.0,3.0,2.0,0.0,1.0,1.0,58.5,18.0,1.0,4.0,4.0,2.0,47.0,1.0,551.0,9.0,9.0,15.0,3.0,15.0,,1.0,297.0,6.0,8.0,15.0,87.0,19.0,3.0,14.0,14.0,2.0,9.0,3.0,19.0,1.0,3.0,8.0,1.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,2.0,,,2.0,2.0,,1.0,1.0,,,2.0,,3.0,2.0,,,,,,,,,2.0,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987636,2018-09-15 15:00:00,"Etihad Stadium, Manchester",53307,Away,Fulham,Manchester City,0,3,L,0,2,0,0,53.0,1.0,30.0,22.0,7.0,3.0,2.0,6.0,2.0,143.0,,8.0,,7.0,3.0,86.0,122.0,35.0,,9.0,1.0,10.0,,,,11.0,6.0,3.0,22.0,3.0,4.0,31.0,136.0,0.0,80.0,7.0,5.0,,43.0,56.0,3.0,74.0,4.0,2.0,8.0,22.0,7.0,,2.0,3.0,122.0,,18.0,97.0,576.0,7.0,6.0,10.0,,16.0,304.0,31.0,4.0,11.0,,0.0,10.0,4.0,15.0,372.0,38.0,,87107,1.0,186.0,6.0,,216.0,5.0,22.0,11.0,46.0,,,2.0,4.0,13.0,10.0,3.0,1.0,65.0,322.0,6.0,13.0,,18.0,60.0,1.0,0.0,10.0,5.0,3.0,0.0,,,35.3,13.0,,3.0,4.0,1.0,30.0,4.0,400.0,16.0,9.0,17.0,5.0,17.0,,2.0,195.0,6.0,2.0,8.0,59.0,14.0,,11.0,14.0,3.0,8.0,2.0,15.0,1.0,,13.0,4.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987647,2018-09-22 12:30:00,"Craven Cottage, London",23418,Home,Fulham,Watford,1,1,D,0,1,0,0,79.0,1.0,35.0,35.0,6.0,2.0,9.0,5.0,,195.0,6.0,4.0,1.0,13.0,3.0,116.0,183.0,55.0,,15.0,3.0,17.0,1.0,,1.0,26.0,9.0,1.0,35.0,8.0,6.0,40.0,183.0,0.0,105.0,11.0,3.0,1.0,51.0,61.0,9.0,86.0,4.0,2.0,18.0,15.0,6.0,,10.0,2.0,183.0,,8.0,127.0,724.0,10.0,7.0,20.0,,14.0,377.0,35.0,6.0,17.0,,2.0,1.0,4.0,18.0,496.0,47.0,1.0,94248,4.0,222.0,7.0,,278.0,5.0,15.0,9.0,42.0,,1.0,5.0,7.0,16.0,3.0,7.0,1.0,71.0,399.0,9.0,4.0,2.0,23.0,84.0,,0.0,8.0,4.0,1.0,0.0,3.0,3.0,60.7,14.0,2.0,2.0,7.0,6.0,50.0,8.0,524.0,14.0,8.0,22.0,6.0,34.0,3.0,3.0,272.0,9.0,5.0,28.0,71.0,32.0,2.0,17.0,14.0,1.0,11.0,3.0,7.0,,2.0,5.0,8.0,,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,,,3.0,,1.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7,987656,2018-09-29 15:00:00,"Goodison Park, Liverpool",38788,Away,Fulham,Everton,0,3,L,0,0,0,0,47.0,2.0,18.0,33.0,3.0,1.0,3.0,3.0,,138.0,1.0,7.0,,7.0,,99.0,135.0,58.0,,6.0,,16.0,,1.0,,8.0,10.0,,33.0,1.0,4.0,27.0,164.0,0.0,108.0,13.0,2.0,,53.0,61.0,,60.0,1.0,,7.0,14.0,3.0,,4.0,3.0,135.0,,13.0,94.0,597.0,6.0,5.0,12.0,,14.0,290.0,17.0,3.0,18.0,1.0,3.0,6.0,6.0,28.0,362.0,54.0,,94248,3.0,150.0,3.0,,167.0,8.0,14.0,6.0,62.0,,,,2.0,14.0,6.0,3.0,1.0,44.0,313.0,13.0,7.0,,15.0,65.0,,0.0,12.0,1.0,3.0,0.0,1.0,,48.8,21.0,,1.0,2.0,,39.0,1.0,391.0,14.0,14.0,13.0,6.0,16.0,,2.0,232.0,5.0,3.0,20.0,69.0,25.0,4.0,18.0,18.0,2.0,6.0,3.0,19.0,,4.0,7.0,1.0,1.0,,,,,,1.0,,3.0,,,2.0,,1.0,,,2.0,,,,1.0,3.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,987665,2018-10-07 12:00:00,"Craven Cottage, London",25401,Home,Fulham,Arsenal,1,5,L,1,1,0,0,62.0,,30.0,21.0,12.0,4.0,7.0,2.0,2.0,163.0,4.0,3.0,2.0,16.0,4.0,115.0,147.0,51.0,,21.0,8.0,14.0,1.0,2.0,1.0,17.0,8.0,2.0,21.0,2.0,11.0,41.0,230.0,0.0,140.0,11.0,2.0,,54.0,69.0,9.0,76.0,2.0,1.0,15.0,19.0,14.0,,4.0,4.0,147.0,,6.0,119.0,667.0,13.0,6.0,16.0,1.0,10.0,357.0,22.0,12.0,4.0,2.0,2.0,,7.0,12.0,441.0,68.0,2.0,94248,4.0,157.0,11.0,1.0,170.0,6.0,19.0,10.0,54.0,,3.0,4.0,7.0,14.0,3.0,5.0,3.0,63.0,383.0,12.0,8.0,2.0,22.0,89.0,1.0,0.0,2.0,2.0,5.0,0.0,3.0,1.0,48.9,10.0,,3.0,7.0,9.0,59.0,4.0,473.0,10.0,16.0,17.0,8.0,33.0,1.0,4.0,320.0,15.0,9.0,20.0,90.0,29.0,1.0,4.0,16.0,4.0,16.0,3.0,8.0,,1.0,8.0,4.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,2.0,,,,,1.0,,1.0,,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,987674,2018-10-20 15:00:00,"Cardiff City Stadium, Cardiff",29681,Away,Fulham,Cardiff City,2,4,L,2,2,0,0,60.0,,34.0,32.0,6.0,3.0,3.0,1.0,,178.0,4.0,4.0,2.0,7.0,4.0,120.0,152.0,57.0,2.0,9.0,2.0,26.0,1.0,2.0,,9.0,7.0,1.0,32.0,3.0,7.0,32.0,183.0,0.0,111.0,16.0,1.0,,48.0,47.0,5.0,63.0,,,6.0,15.0,6.0,2.0,1.0,2.0,152.0,,13.0,118.0,663.0,3.0,7.0,11.0,1.0,6.0,342.0,25.0,11.0,14.0,2.0,3.0,7.0,2.0,17.0,446.0,49.0,,94248,3.0,189.0,5.0,,223.0,5.0,15.0,13.0,61.0,,,,5.0,20.0,9.0,8.0,1.0,73.0,368.0,14.0,9.0,2.0,29.0,79.0,1.0,0.0,4.0,1.0,4.0,0.0,2.0,2.0,59.5,13.0,1.0,5.0,5.0,2.0,45.0,4.0,479.0,6.0,12.0,15.0,3.0,20.0,2.0,1.0,265.0,4.0,6.0,24.0,77.0,23.0,1.0,14.0,16.0,4.0,5.0,3.0,4.0,,1.0,7.0,4.0,,1.0,1.0,,2.0,,,2.0,1.0,1.0,1.0,2.0,,,2.0,1.0,2.0,,2.0,,,,1.0,,2.0,1.0,,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,1.0,3.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
10,987685,2018-10-27 15:00:00,"Craven Cottage, London",25071,Home,Fulham,Bournemouth,0,3,L,0,1,1,0,56.0,2.0,22.0,34.0,4.0,1.0,7.0,2.0,1.0,162.0,4.0,5.0,,10.0,1.0,153.0,126.0,45.0,,11.0,,9.0,,1.0,,16.0,8.0,1.0,34.0,4.0,4.0,29.0,254.0,0.0,132.0,16.0,2.0,,44.0,80.0,2.0,73.0,3.0,4.0,12.0,17.0,4.0,,5.0,3.0,126.0,,8.0,159.0,704.0,6.0,5.0,11.0,,13.0,439.0,26.0,6.0,11.0,1.0,2.0,1.0,8.0,15.0,527.0,65.0,,94248,3.0,203.0,7.0,,223.0,11.0,17.0,11.0,37.0,1.0,1.0,1.0,4.0,8.0,4.0,6.0,3.0,56.0,453.0,3.0,7.0,4.0,16.0,73.0,1.0,0.0,5.0,,3.0,1.0,1.0,4.0,52.0,13.0,4.0,1.0,5.0,1.0,36.0,5.0,547.0,13.0,5.0,5.0,9.0,26.0,3.0,6.0,340.0,6.0,4.0,27.0,86.0,23.0,4.0,11.0,10.0,3.0,7.0,2.0,7.0,,4.0,6.0,5.0,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
