gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attObxCentre,goals,fouledFinalThird,attOboxBlocked,attBxRight,attMissLeft,attMissHighRight,penaltyWon,attSvLowLeft,attRfGoal,totalPullBack,attPenGoal,attSvLowRight,attIboxGoal,accurateCrossNocorner,attHdMiss,forwardGoals,ptsDroppedWinningPos,attCmissRight,goalAssistOpenplay,attOboxGoal,attOboxMiss,bigChanceCreated,goalAssist,bigChanceMissed,attSetpiece,ownGoals,goalsOpenplay,goalAssistIntentional,attIboxOwnGoal,errorLeadToGoal,attFreekickTotal,freekickTotal,sixYardBlock,attCmissLeft,attSvHighCentre,attLfGoal,attGoalLowCentre,shotFastbreak,goalFastbreak,attGoalHighRight,totalFastbreak,midfielderGoals,attMissHighLeft,errorLeadToShot,attFastbreak,attGoalHighLeft,cleanSheet,attCmissHigh,attGoalLowRight,attOneOnOne,freekickCross,attCorner,accuratePullBack,attFreekickMiss,attSvHighRight,goalsConcededObox,postScoringAtt,attIboxPost,attPostLeft,attHdPost,hitWoodwork,accurateFreekickCross,defenderGoals,accurateKeeperSweeper,totalKeeperSweeper,attPostRight,ptsGainedLosingPos,penaltySave,goalAssistSetplay,goalAssistDeadball,penaltyConceded,clearanceOffLine,penaltyFaced,attHdGoal,attFreekickTarget,attSvHighLeft,attPostHigh,penGoalsConceded,attGoalHighCentre,foulThrowIn,attObpGoal,attOboxPost,attObxRight,attCmissHighRight
1,987596,2018-08-12 13:30:00,"Anfield, Liverpool",53235,Away,West Ham United,Liverpool,0,4,L,0,2,0,0,2.0,53.0,1.0,1.0,27.0,20.0,2.0,4.0,4.0,1.0,122.0,2.0,7.0,4.0,2.0,104.0,113.0,54.0,5.0,7.0,1.0,2.0,12.0,14.0,1.0,20.0,4.0,5.0,29.0,115.0,0.0,56.0,9.0,2.0,1.0,39.0,41.0,2.0,47.0,1.0,1.0,8.0,22.0,1.0,1.0,113.0,1.0,13.0,87.0,551.0,1.0,3.0,3.0,11.0,1.0,11.0,273.0,26.0,6.0,10.0,2.0,3.0,2.0,19.0,324.0,32.0,2.0,81012,2.0,184.0,7.0,200.0,3.0,22.0,11.0,38.0,2.0,3.0,7.0,9.0,5.0,4.0,1.0,54.0,297.0,14.0,7.0,1.0,17.0,65.0,1.0,0.0,2.0,5.0,3.0,4.0,2.0,0.0,1.0,1.0,35.2,12.0,2.0,1.0,7.0,1.0,40.0,4.0,2.0,360.0,11.0,11.0,16.0,2.0,18.0,2.0,2.0,172.0,2.0,5.0,10.0,35.0,14.0,1.0,10.0,23.0,4.0,3.0,3.0,15.0,1.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987611,2018-08-18 15:00:00,"London Stadium, London",56888,Home,West Ham United,Bournemouth,1,2,L,1,0,0,0,,58.0,,,33.0,18.0,2.0,6.0,3.0,3.0,170.0,4.0,11.0,10.0,5.0,129.0,137.0,67.0,11.0,19.0,2.0,,23.0,6.0,2.0,18.0,5.0,9.0,42.0,218.0,0.0,163.0,14.0,2.0,,70.0,72.0,7.0,60.0,,,18.0,16.0,5.0,5.0,137.0,,8.0,135.0,671.0,,10.0,9.0,20.0,,9.0,387.0,25.0,4.0,8.0,6.0,4.0,3.0,20.0,472.0,69.0,1.0,60706,3.0,185.0,13.0,206.0,9.0,16.0,8.0,54.0,2.0,,7.0,8.0,4.0,1.0,,64.0,399.0,10.0,12.0,,18.0,73.0,2.0,0.0,2.0,4.0,3.0,2.0,3.0,0.0,,2.0,61.0,18.0,2.0,2.0,7.0,3.0,47.0,6.0,,494.0,9.0,6.0,24.0,3.0,32.0,1.0,3.0,311.0,7.0,8.0,26.0,114.0,21.0,1.0,8.0,21.0,2.0,9.0,3.0,16.0,1.0,5.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987613,2018-08-25 15:00:00,"Emirates Stadium, London",59830,Away,West Ham United,Arsenal,1,3,L,1,1,0,0,,56.0,4.0,1.0,25.0,24.0,3.0,6.0,9.0,2.0,123.0,4.0,17.0,11.0,5.0,82.0,131.0,61.0,13.0,14.0,2.0,3.0,15.0,10.0,2.0,24.0,1.0,7.0,29.0,149.0,0.0,108.0,13.0,5.0,,40.0,51.0,7.0,51.0,2.0,3.0,14.0,18.0,7.0,5.0,131.0,,10.0,85.0,557.0,,10.0,8.0,28.0,,17.0,230.0,29.0,6.0,11.0,3.0,5.0,4.0,22.0,305.0,32.0,3.0,81012,4.0,112.0,9.0,131.0,7.0,18.0,7.0,51.0,3.0,3.0,3.0,11.0,8.0,3.0,,49.0,257.0,16.0,9.0,,20.0,56.0,,0.0,2.0,7.0,4.0,3.0,4.0,0.0,,1.0,38.5,17.0,1.0,,3.0,3.0,27.0,2.0,,341.0,17.0,8.0,14.0,5.0,31.0,,3.0,225.0,9.0,5.0,15.0,77.0,19.0,5.0,11.0,14.0,3.0,11.0,3.0,24.0,5.0,7.0,2.0,2.0,,1.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987631,2018-09-01 15:00:00,"London Stadium, London",56947,Home,West Ham United,Wolverhampton Wanderers,0,1,L,0,0,0,0,,67.0,1.0,3.0,27.0,19.0,5.0,8.0,5.0,1.0,158.0,5.0,9.0,9.0,3.0,114.0,143.0,56.0,13.0,24.0,2.0,1.0,18.0,15.0,1.0,19.0,3.0,7.0,33.0,179.0,0.0,113.0,10.0,4.0,1.0,71.0,55.0,5.0,54.0,,1.0,15.0,25.0,5.0,3.0,143.0,,6.0,118.0,648.0,,8.0,6.0,26.0,1.0,9.0,340.0,26.0,4.0,12.0,2.0,2.0,4.0,24.0,421.0,38.0,,81012,4.0,182.0,12.0,202.0,7.0,25.0,9.0,72.0,1.0,1.0,7.0,11.0,9.0,4.0,1.0,53.0,356.0,11.0,13.0,1.0,18.0,71.0,1.0,0.0,2.0,4.0,4.0,1.0,,0.0,,3.0,47.7,21.0,6.0,,7.0,5.0,43.0,4.0,1.0,444.0,9.0,18.0,16.0,5.0,29.0,3.0,3.0,260.0,5.0,5.0,15.0,74.0,26.0,1.0,12.0,22.0,1.0,10.0,3.0,16.0,1.0,10.0,4.0,1.0,,,5.0,,1.0,2.0,1.0,3.0,,,1.0,,,,,,2.0,2.0,,,,,,2.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987634,2018-09-16 16:00:00,"Goodison Park, Liverpool",39161,Away,West Ham United,Everton,3,1,W,2,1,0,0,1.0,77.0,1.0,2.0,34.0,28.0,6.0,7.0,3.0,,154.0,1.0,10.0,8.0,4.0,99.0,149.0,60.0,9.0,15.0,1.0,1.0,5.0,14.0,,28.0,1.0,5.0,27.0,150.0,0.0,123.0,12.0,1.0,1.0,59.0,63.0,6.0,49.0,1.0,1.0,4.0,17.0,2.0,3.0,149.0,,8.0,78.0,592.0,,5.0,10.0,19.0,,15.0,260.0,30.0,8.0,12.0,5.0,6.0,2.0,21.0,339.0,61.0,1.0,60706,5.0,134.0,1.0,161.0,3.0,17.0,11.0,60.0,5.0,,2.0,15.0,8.0,6.0,,75.0,283.0,15.0,13.0,,28.0,64.0,1.0,0.0,6.0,4.0,2.0,1.0,2.0,0.0,,,44.1,16.0,3.0,2.0,2.0,3.0,32.0,2.0,1.0,380.0,15.0,12.0,13.0,2.0,21.0,,1.0,224.0,3.0,4.0,17.0,74.0,33.0,,12.0,19.0,1.0,8.0,3.0,20.0,,9.0,2.0,1.0,2.0,,2.0,3.0,4.0,1.0,,,,,,,,,,3.0,1.0,,1.0,,,3.0,,1.0,2.0,3.0,,1.0,,3.0,2.0,,,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987651,2018-09-23 13:30:00,"London Stadium, London",56875,Home,West Ham United,Chelsea,0,0,D,0,0,0,0,,67.0,3.0,,23.0,44.0,2.0,3.0,6.0,1.0,119.0,2.0,7.0,5.0,1.0,64.0,123.0,46.0,6.0,12.0,1.0,,11.0,8.0,,44.0,1.0,1.0,26.0,103.0,0.0,76.0,11.0,2.0,2.0,46.0,47.0,2.0,48.0,,1.0,10.0,24.0,3.0,4.0,123.0,,12.0,66.0,500.0,,5.0,2.0,8.0,,15.0,206.0,35.0,4.0,16.0,2.0,5.0,3.0,18.0,271.0,43.0,1.0,81012,1.0,120.0,6.0,142.0,8.0,24.0,6.0,38.0,1.0,2.0,2.0,20.0,5.0,4.0,2.0,61.0,221.0,7.0,7.0,,23.0,59.0,,0.0,1.0,8.0,3.0,,1.0,0.0,,1.0,28.2,11.0,1.0,1.0,2.0,1.0,22.0,1.0,2.0,297.0,15.0,5.0,14.0,4.0,16.0,,2.0,166.0,3.0,1.0,10.0,51.0,18.0,3.0,16.0,22.0,,5.0,3.0,10.0,3.0,16.0,1.0,,,,3.0,,,1.0,,1.0,,,,,,,1.0,,2.0,1.0,,,1.0,,,2.0,2.0,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,987660,2018-09-29 12:30:00,"London Stadium, London",56938,Home,West Ham United,Manchester United,3,1,W,2,0,0,0,,68.0,1.0,,34.0,26.0,2.0,5.0,3.0,1.0,149.0,5.0,4.0,8.0,3.0,126.0,118.0,51.0,8.0,19.0,,1.0,17.0,14.0,1.0,26.0,3.0,7.0,28.0,224.0,0.0,136.0,12.0,2.0,1.0,73.0,96.0,4.0,66.0,1.0,1.0,14.0,16.0,3.0,4.0,118.0,,5.0,114.0,626.0,,5.0,4.0,21.0,,9.0,359.0,26.0,5.0,15.0,0.0,4.0,4.0,9.0,423.0,49.0,1.0,81012,3.0,155.0,9.0,172.0,5.0,16.0,6.0,47.0,2.0,2.0,3.0,12.0,4.0,,,80.0,374.0,11.0,7.0,1.0,27.0,77.0,,0.0,1.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,49.0,8.0,4.0,,3.0,1.0,39.0,4.0,1.0,455.0,9.0,6.0,15.0,4.0,26.0,2.0,3.0,300.0,5.0,6.0,11.0,103.0,25.0,4.0,15.0,25.0,1.0,5.0,3.0,7.0,4.0,6.0,4.0,,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,3.0,3.0,1.0,1.0,,,2.0,,1.0,2.0,2.0,,,,2.0,2.0,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,987662,2018-10-05 20:00:00,"American Express Stadium, Falmer",30544,Away,West Ham United,Brighton and Hove Albion,0,1,L,0,1,0,0,1.0,52.0,2.0,4.0,26.0,17.0,7.0,11.0,3.0,2.0,163.0,5.0,5.0,12.0,4.0,137.0,137.0,45.0,17.0,21.0,2.0,2.0,18.0,9.0,2.0,17.0,9.0,7.0,35.0,257.0,0.0,174.0,8.0,2.0,,64.0,65.0,7.0,82.0,,2.0,9.0,15.0,6.0,1.0,137.0,,6.0,132.0,694.0,,9.0,4.0,37.0,,8.0,409.0,19.0,3.0,12.0,2.0,1.0,5.0,26.0,487.0,59.0,,81012,6.0,179.0,8.0,199.0,4.0,15.0,8.0,53.0,1.0,1.0,4.0,16.0,3.0,4.0,4.0,56.0,431.0,12.0,11.0,3.0,18.0,70.0,,0.0,2.0,2.0,1.0,1.0,3.0,0.0,,2.0,64.6,22.0,4.0,2.0,5.0,6.0,41.0,9.0,,514.0,8.0,14.0,16.0,7.0,33.0,3.0,5.0,333.0,8.0,7.0,16.0,135.0,23.0,1.0,12.0,12.0,1.0,10.0,3.0,8.0,1.0,6.0,9.0,2.0,,,6.0,,5.0,2.0,,1.0,,,,,2.0,,2.0,,2.0,2.0,,,,,,2.0,1.0,,1.0,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,987680,2018-10-20 15:00:00,"London Stadium, London",56921,Home,West Ham United,Tottenham Hotspur,0,1,L,0,1,0,0,,55.0,,,29.0,14.0,4.0,8.0,1.0,2.0,116.0,11.0,7.0,12.0,4.0,83.0,123.0,70.0,13.0,3.0,3.0,2.0,30.0,15.0,1.0,14.0,10.0,10.0,30.0,196.0,0.0,124.0,8.0,1.0,1.0,65.0,69.0,5.0,67.0,,2.0,20.0,20.0,5.0,8.0,123.0,,7.0,111.0,594.0,,8.0,7.0,28.0,1.0,14.0,289.0,14.0,4.0,7.0,3.0,4.0,7.0,17.0,351.0,52.0,,81012,6.0,122.0,12.0,137.0,7.0,20.0,7.0,38.0,1.0,3.0,5.0,15.0,3.0,4.0,1.0,48.0,307.0,10.0,14.0,4.0,11.0,49.0,1.0,0.0,1.0,6.0,1.0,1.0,3.0,0.0,,5.0,44.0,15.0,3.0,,5.0,2.0,32.0,10.0,1.0,377.0,14.0,8.0,15.0,7.0,38.0,4.0,5.0,270.0,4.0,7.0,22.0,89.0,30.0,3.0,7.0,31.0,1.0,7.0,3.0,12.0,3.0,13.0,10.0,1.0,,,5.0,,2.0,2.0,2.0,4.0,,,,,,,1.0,,7.0,4.0,,,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,987686,2018-10-27 17:30:00,"King Power Stadium, Leicester",31848,Away,West Ham United,Leicester City,1,1,D,1,0,1,0,1.0,67.0,,1.0,20.0,47.0,3.0,8.0,7.0,2.0,142.0,2.0,10.0,5.0,3.0,73.0,143.0,56.0,11.0,23.0,2.0,1.0,6.0,8.0,,47.0,,4.0,29.0,115.0,0.0,71.0,5.0,5.0,1.0,50.0,43.0,1.0,36.0,3.0,2.0,6.0,19.0,3.0,1.0,143.0,,13.0,76.0,555.0,,4.0,3.0,15.0,,15.0,206.0,23.0,5.0,24.0,1.0,3.0,4.0,18.0,275.0,31.0,,81012,5.0,114.0,4.0,138.0,4.0,19.0,13.0,57.0,,1.0,2.0,15.0,8.0,2.0,1.0,75.0,227.0,16.0,14.0,1.0,28.0,75.0,,0.0,1.0,8.0,6.0,1.0,,1.0,,2.0,35.8,12.0,4.0,1.0,2.0,2.0,24.0,,1.0,327.0,15.0,9.0,9.0,6.0,13.0,,3.0,195.0,6.0,4.0,9.0,44.0,21.0,6.0,24.0,21.0,,8.0,3.0,17.0,6.0,13.0,,,1.0,,3.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,,1.0,1.0,2.0,1.0,,2.0,,,,2.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
