gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,shotFastbreak,attBxRight,goalFastbreak,attOneOnOne,attMissHighRight,penaltyWon,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,totalFlickOn,attPenGoal,attFastbreak,accurateFlickOn,shieldBallOop,attSvHighCentre,totalHighClaim,handBall,attCmissRight,postScoringAtt,accurateKeeperSweeper,attFreekickPost,hitWoodwork,totalKeeperSweeper,attCmissHigh,attOboxPost,attPostHigh,goalAssistSetplay,goalAssistDeadball,goalsConceded,attHdGoal,goalsConcededIbox,errorLeadToGoal,interceptionsInBox,attCmissHighLeft,sixYardBlock,defenderGoals,attGoalHighLeft,attOboxGoal,ptsGainedLosingPos,accuratePullBack,errorLeadToShot,penaltyConceded,penaltyFaced,attIboxPost,attHdPost,attLgCentre,attObxRight,attPostRight,contentiousDecision,attPostLeft,ptsDroppedWinningPos,attSvHighRight,secondYellow,attFreekickGoal,foulThrowIn,attGoalHighCentre,attCmissHighRight,attCorner,attFreekickMiss,attObxdLeft,goalsConcededObox,clearanceOffLine
1,987596,2018-08-12 13:30:00,"Anfield, Liverpool",53235,Home,Liverpool,West Ham United,4,0,W,2,0,0,0,1.0,3.0,64.0,1.0,1.0,1.0,31.0,8.0,5.0,5.0,13.0,2.0,1.0,2.0,179.0,2.0,7.0,7.0,4.0,3.0,12.0,8.0,211.0,124.0,38.0,2.0,18.0,2.0,10.0,3.0,3.0,2.0,2.0,21.0,14.0,1.0,1.0,8.0,3.0,7.0,35.0,327.0,1.0,0.0,189.0,14.0,1.0,1.0,95.0,95.0,7.0,101.0,2.0,18.0,22.0,5.0,2.0,6.0,2.0,124.0,4.0,4.0,182.0,843.0,7.0,36.0,1.0,9.0,590.0,27.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,12.0,656.0,74.0,1.0,1.0,97032,4.0,286.0,2.0,11.0,2.0,298.0,8.0,3.0,1.0,22.0,4.0,54.0,3.0,5.0,4.0,3.0,11.0,1.0,4.0,2.0,43.0,606.0,7.0,7.0,2.0,6.0,67.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,4.0,0.0,6.0,3.0,2.0,64.8,10.0,1.0,3.0,2.0,4.0,3.0,53.0,5.0,673.0,9.0,15.0,24.0,7.0,40.0,1.0,5.0,396.0,10.0,7.0,7.0,145.0,28.0,3.0,1.0,4.0,19.0,11.0,3.0,15.0,1.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987606,2018-08-20 20:00:00,"Selhurst Park, London",25750,Away,Liverpool,Crystal Palace,2,0,W,1,0,0,1,1.0,2.0,59.0,,1.0,1.0,38.0,17.0,7.0,7.0,9.0,2.0,,2.0,166.0,1.0,3.0,16.0,2.0,2.0,14.0,6.0,179.0,124.0,56.0,1.0,16.0,5.0,19.0,3.0,1.0,1.0,1.0,23.0,14.0,,1.0,17.0,6.0,5.0,36.0,324.0,1.0,0.0,190.0,13.0,,1.0,91.0,91.0,10.0,99.0,,17.0,18.0,7.0,1.0,4.0,1.0,124.0,4.0,4.0,181.0,819.0,12.0,40.0,1.0,10.0,549.0,21.0,,4.0,8.0,1.0,1.0,1.0,3.0,13.0,614.0,72.0,1.0,1.0,97032,6.0,238.0,3.0,12.0,,255.0,5.0,2.0,1.0,18.0,4.0,63.0,2.0,2.0,5.0,1.0,19.0,4.0,3.0,2.0,49.0,559.0,5.0,17.0,,9.0,84.0,1.0,1.0,,0.0,,2.0,6.0,1.0,2.0,0.0,2.0,1.0,1.0,63.2,12.0,,4.0,,5.0,6.0,70.0,7.0,625.0,10.0,9.0,25.0,4.0,40.0,1.0,3.0,393.0,8.0,4.0,13.0,153.0,28.0,1.0,3.0,8.0,22.0,12.0,3.0,21.0,3.0,9.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987616,2018-08-25 17:30:00,"Anfield, Liverpool",53294,Home,Liverpool,Brighton and Hove Albion,1,0,W,1,0,0,0,1.0,,55.0,1.0,,4.0,28.0,12.0,6.0,10.0,16.0,2.0,1.0,3.0,202.0,,4.0,10.0,1.0,4.0,18.0,8.0,221.0,160.0,61.0,1.0,22.0,3.0,19.0,7.0,1.0,,3.0,24.0,13.0,,,12.0,7.0,11.0,41.0,396.0,1.0,0.0,219.0,8.0,,1.0,90.0,117.0,12.0,116.0,1.0,17.0,20.0,6.0,1.0,2.0,2.0,160.0,1.0,4.0,226.0,963.0,16.0,37.0,3.0,9.0,648.0,18.0,1.0,3.0,3.0,1.0,1.0,2.0,6.0,21.0,742.0,69.0,1.0,,97032,8.0,277.0,1.0,14.0,1.0,292.0,5.0,,,20.0,6.0,54.0,1.0,1.0,3.0,1.0,19.0,2.0,4.0,1.0,47.0,669.0,12.0,7.0,1.0,13.0,85.0,2.0,1.0,2.0,0.0,,1.0,5.0,2.0,1.0,0.0,3.0,1.0,3.0,70.0,19.0,,5.0,1.0,3.0,7.0,62.0,8.0,765.0,9.0,16.0,28.0,7.0,44.0,1.0,4.0,497.0,9.0,10.0,18.0,164.0,29.0,1.0,,3.0,21.0,18.0,3.0,15.0,,9.0,8.0,,,4.0,,,,,1.0,,,4.0,,5.0,,,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987628,2018-09-01 12:30:00,"King Power Stadium, Leicester",32149,Away,Liverpool,Leicester City,2,1,W,2,0,0,0,1.0,,65.0,1.0,3.0,1.0,26.0,23.0,3.0,5.0,7.0,4.0,1.0,1.0,155.0,,3.0,8.0,2.0,1.0,8.0,4.0,117.0,158.0,52.0,,10.0,1.0,17.0,1.0,1.0,1.0,,8.0,13.0,,1.0,23.0,3.0,4.0,47.0,181.0,,0.0,111.0,12.0,,1.0,69.0,51.0,6.0,74.0,2.0,5.0,14.0,3.0,,2.0,1.0,158.0,1.0,3.0,127.0,674.0,4.0,18.0,,10.0,357.0,25.0,1.0,2.0,11.0,2.0,2.0,4.0,2.0,31.0,451.0,54.0,,1.0,97032,7.0,196.0,2.0,2.0,1.0,228.0,9.0,,2.0,14.0,4.0,63.0,,2.0,8.0,1.0,18.0,9.0,3.0,,58.0,374.0,9.0,12.0,2.0,14.0,84.0,,,,0.0,,5.0,4.0,1.0,2.0,0.0,1.0,2.0,3.0,48.8,25.0,2.0,1.0,,8.0,2.0,47.0,4.0,473.0,10.0,16.0,16.0,4.0,15.0,2.0,3.0,253.0,2.0,2.0,17.0,71.0,27.0,2.0,3.0,11.0,18.0,7.0,3.0,15.0,3.0,5.0,4.0,1.0,,,,,1.0,,3.0,,,1.0,1.0,4.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987639,2018-09-15 12:30:00,"Wembley Stadium, London",80188,Away,Liverpool,Tottenham Hotspur,2,1,W,1,0,0,0,6.0,1.0,66.0,,1.0,2.0,25.0,21.0,3.0,11.0,14.0,2.0,1.0,2.0,151.0,1.0,2.0,6.0,2.0,3.0,11.0,10.0,68.0,133.0,47.0,1.0,17.0,,15.0,6.0,,1.0,2.0,10.0,11.0,1.0,2.0,21.0,4.0,4.0,45.0,137.0,,0.0,96.0,16.0,1.0,1.0,62.0,63.0,7.0,55.0,1.0,6.0,21.0,3.0,1.0,1.0,1.0,133.0,1.0,7.0,82.0,534.0,9.0,28.0,,6.0,244.0,22.0,1.0,2.0,14.0,,0.0,3.0,4.0,22.0,327.0,46.0,1.0,1.0,97032,11.0,132.0,2.0,4.0,1.0,151.0,6.0,,,21.0,5.0,42.0,3.0,2.0,8.0,1.0,18.0,4.0,3.0,1.0,58.0,267.0,16.0,7.0,2.0,13.0,74.0,2.0,,,0.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,,3.0,39.6,16.0,2.0,4.0,,8.0,2.0,35.0,4.0,356.0,6.0,6.0,25.0,5.0,19.0,1.0,4.0,215.0,3.0,3.0,10.0,58.0,28.0,1.0,1.0,14.0,17.0,12.0,3.0,9.0,1.0,10.0,4.0,,,2.0,,,,,1.0,,1.0,2.0,,4.0,,,4.0,,2.0,,4.0,,,1.0,,2.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987649,2018-09-22 15:00:00,"Anfield, Liverpool",50965,Home,Liverpool,Southampton,3,0,W,3,0,0,0,1.0,1.0,66.0,,,3.0,25.0,12.0,3.0,5.0,9.0,1.0,1.0,1.0,209.0,,3.0,8.0,3.0,3.0,4.0,4.0,226.0,151.0,41.0,1.0,12.0,,17.0,1.0,,1.0,1.0,13.0,10.0,,1.0,12.0,5.0,8.0,37.0,345.0,1.0,0.0,176.0,7.0,,,96.0,65.0,2.0,91.0,1.0,9.0,11.0,3.0,1.0,2.0,1.0,151.0,,6.0,224.0,910.0,3.0,39.0,,7.0,629.0,24.0,,2.0,3.0,1.0,0.0,5.0,2.0,19.0,730.0,67.0,1.0,,97032,5.0,306.0,,7.0,1.0,331.0,6.0,,,11.0,8.0,45.0,2.0,4.0,4.0,,7.0,1.0,8.0,2.0,44.0,648.0,10.0,1.0,,11.0,86.0,1.0,,1.0,0.0,,4.0,4.0,1.0,3.0,0.0,1.0,1.0,2.0,60.6,16.0,1.0,8.0,2.0,4.0,3.0,60.0,5.0,750.0,7.0,12.0,14.0,5.0,41.0,3.0,3.0,432.0,5.0,8.0,9.0,120.0,30.0,1.0,1.0,3.0,14.0,7.0,3.0,17.0,1.0,4.0,5.0,1.0,1.0,,,,,,1.0,1.0,,,,3.0,,1.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,987655,2018-09-29 17:30:00,"Stamford Bridge, London",40625,Away,Liverpool,Chelsea,1,1,D,0,1,0,0,2.0,,71.0,,1.0,1.0,40.0,16.0,6.0,6.0,7.0,3.0,1.0,2.0,165.0,,7.0,7.0,1.0,4.0,10.0,6.0,179.0,150.0,42.0,1.0,13.0,,11.0,3.0,1.0,2.0,,20.0,8.0,1.0,2.0,16.0,3.0,1.0,57.0,284.0,,0.0,171.0,9.0,,2.0,82.0,83.0,5.0,88.0,4.0,17.0,21.0,6.0,1.0,9.0,3.0,150.0,3.0,9.0,184.0,804.0,9.0,27.0,1.0,12.0,505.0,16.0,1.0,3.0,5.0,1.0,2.0,2.0,5.0,24.0,602.0,70.0,1.0,,97032,5.0,239.0,3.0,6.0,,256.0,8.0,,,21.0,3.0,37.0,2.0,2.0,4.0,1.0,16.0,1.0,2.0,1.0,75.0,516.0,7.0,4.0,,16.0,94.0,1.0,,1.0,0.0,1.0,3.0,4.0,2.0,,0.0,5.0,,1.0,52.8,21.0,,11.0,,4.0,1.0,58.0,4.0,616.0,12.0,9.0,29.0,6.0,35.0,2.0,3.0,380.0,6.0,1.0,13.0,119.0,38.0,,1.0,5.0,15.0,11.0,3.0,11.0,1.0,10.0,4.0,,,1.0,,,,,3.0,,,2.0,,2.0,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,987667,2018-10-07 16:30:00,"Anfield, Liverpool",52117,Home,Liverpool,Manchester City,0,0,D,0,0,0,0,1.0,,58.0,,,,39.0,18.0,2.0,4.0,5.0,2.0,,,159.0,,4.0,4.0,,2.0,6.0,2.0,135.0,138.0,37.0,,7.0,1.0,17.0,2.0,,1.0,2.0,18.0,11.0,,,18.0,2.0,1.0,50.0,159.0,1.0,0.0,109.0,10.0,,2.0,65.0,68.0,3.0,68.0,1.0,16.0,18.0,2.0,,4.0,1.0,138.0,,5.0,153.0,675.0,5.0,21.0,1.0,9.0,412.0,25.0,,1.0,10.0,,1.0,1.0,3.0,18.0,493.0,59.0,,,97032,2.0,275.0,,10.0,1.0,303.0,7.0,,1.0,18.0,7.0,50.0,1.0,2.0,2.0,,12.0,1.0,5.0,1.0,70.0,430.0,10.0,7.0,1.0,12.0,73.0,,,,0.0,,3.0,6.0,2.0,,0.0,3.0,,2.0,49.4,12.0,1.0,4.0,1.0,2.0,1.0,42.0,2.0,515.0,9.0,11.0,26.0,4.0,27.0,1.0,3.0,230.0,1.0,1.0,6.0,70.0,25.0,,,10.0,17.0,5.0,2.0,9.0,,7.0,2.0,,,2.0,,,,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,987677,2018-10-20 17:30:00,"Accu Stadium, Huddersfield",24263,Away,Liverpool,Huddersfield Town,1,0,W,1,0,0,0,1.0,,68.0,1.0,,2.0,25.0,32.0,5.0,9.0,6.0,1.0,,,208.0,,3.0,8.0,1.0,,9.0,2.0,132.0,170.0,53.0,,11.0,3.0,23.0,1.0,1.0,1.0,,14.0,8.0,,,32.0,4.0,9.0,44.0,257.0,1.0,0.0,157.0,6.0,,,86.0,57.0,6.0,106.0,1.0,10.0,23.0,5.0,,3.0,2.0,170.0,,7.0,139.0,791.0,8.0,24.0,,9.0,460.0,26.0,,2.0,18.0,1.0,2.0,6.0,3.0,34.0,564.0,57.0,,,97032,2.0,219.0,,7.0,,247.0,3.0,1.0,,23.0,7.0,51.0,,2.0,3.0,1.0,17.0,6.0,2.0,2.0,61.0,473.0,9.0,4.0,,21.0,94.0,,,,0.0,,2.0,2.0,1.0,1.0,0.0,2.0,1.0,,52.2,28.0,,3.0,2.0,3.0,5.0,53.0,4.0,585.0,9.0,12.0,22.0,4.0,29.0,1.0,2.0,352.0,2.0,8.0,22.0,116.0,35.0,1.0,3.0,18.0,14.0,10.0,3.0,16.0,3.0,8.0,4.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,7.0,,1.0,3.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,987687,2018-10-27 15:00:00,"Anfield, Liverpool",53373,Home,Liverpool,Cardiff City,4,1,W,1,0,0,0,,3.0,55.0,1.0,,2.0,20.0,11.0,7.0,9.0,9.0,,3.0,2.0,233.0,1.0,5.0,9.0,4.0,1.0,14.0,7.0,222.0,147.0,42.0,,19.0,4.0,14.0,1.0,2.0,1.0,1.0,24.0,7.0,,2.0,11.0,8.0,5.0,42.0,394.0,,0.0,228.0,6.0,,1.0,96.0,146.0,8.0,129.0,2.0,16.0,22.0,10.0,,3.0,4.0,147.0,2.0,1.0,234.0,1004.0,11.0,39.0,1.0,6.0,716.0,24.0,,1.0,5.0,2.0,0.0,,6.0,23.0,807.0,68.0,1.0,,97032,7.0,338.0,1.0,12.0,,351.0,3.0,1.0,,22.0,2.0,42.0,2.0,,8.0,4.0,17.0,1.0,2.0,,37.0,727.0,4.0,8.0,1.0,6.0,86.0,,,,0.0,,1.0,,,4.0,0.0,3.0,2.0,2.0,79.6,18.0,,1.0,1.0,8.0,6.0,70.0,8.0,818.0,6.0,8.0,18.0,6.0,48.0,2.0,1.0,491.0,8.0,4.0,18.0,174.0,22.0,1.0,,5.0,12.0,17.0,2.0,15.0,,10.0,8.0,1.0,2.0,,1.0,1.0,2.0,,,3.0,2.0,2.0,,7.0,,2.0,2.0,,,,,2.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,2.0,,1.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
