gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,goalAssistSetplay,attOboxBlocked,attMissLeft,attOneOnOne,attMissHighRight,goodHighClaim,attOboxMiss,accurateThroughBall,accurateFreekickCross,errorLeadToShot,bigChanceMissed,totalThroughBall,goalAssistIntentional,shieldBallOop,attSvHighCentre,blockedScoringAtt,totalHighClaim,attHdGoal,attFreekickTotal,interceptionsInBox,freekickTotal,attMissHighLeft,penaltyConceded,totalPullBack,defenderGoals,attMissHigh,attFreekickTarget,penaltyFaced,penGoalsConceded,shotFastbreak,ptsGainedLosingPos,totalFastbreak,attFastbreak,attCmissLeft,punches,accuratePullBack,postScoringAtt,attIboxPost,attGoalHighRight,hitWoodwork,attPostHigh,errorLeadToGoal,attSvHighRight,contentiousDecision,attGoalLowLeft,attLfGoal,attPenPost,cleanSheet,attOboxGoal,penaltyWon,sixYardBlock,attGoalHighLeft,forwardGoals,penaltySave,goalFastbreak,attCmissHigh,attPenGoal,attGoalHighCentre,attOboxPost,attCmissHighRight,attPostRight,attSvHighLeft,attFreekickMiss,handBall,attPenTarget,attLgCentre,ownGoals,attFreekickGoal,attIboxOwnGoal,clearanceOffLine,attHdPost,attOboxOwnGoal,attFreekickPost,secondYellow,attObxdRight,foulThrowIn,goalAssistDeadball,attCorner
1,987601,2018-08-11 17:30:00,"Molineux Stadium, Wolverhampton",31231,Away,Everton,Wolverhampton Wanderers,2,2,D,1,1,1,0,1.0,1.0,1.0,50.0,1.0,1.0,22.0,28.0,1.0,1.0,7.0,2.0,1.0,142.0,1.0,3.0,2.0,2.0,2.0,6.0,1.0,5.0,111.0,152.0,55.0,8.0,21.0,2.0,1.0,1.0,2.0,1.0,15.0,15.0,1.0,28.0,6.0,8.0,18.0,154.0,0.0,111.0,7.0,1.0,2.0,1.0,3.0,93.0,48.0,3.0,71.0,3.0,9.0,23.0,1.0,3.0,152.0,1.0,3.0,85.0,589.0,2.0,3.0,18.0,1.0,11.0,298.0,19.0,5.0,13.0,2.0,1.0,1.0,2.0,3.0,19.0,386.0,46.0,80801,3.0,156.0,3.0,1.0,178.0,6.0,2.0,23.0,10.0,50.0,3.0,2.0,1.0,15.0,8.0,4.0,68.0,307.0,8.0,9.0,2.0,31.0,71.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,42.6,14.0,2.0,8.0,1.0,2.0,31.0,6.0,409.0,11.0,8.0,4.0,3.0,22.0,2.0,3.0,246.0,4.0,8.0,24.0,64.0,15.0,5.0,13.0,23.0,1.0,4.0,3.0,7.0,2.0,5.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987607,2018-08-18 15:00:00,"Goodison Park, Liverpool",38601,Home,Everton,Southampton,2,1,W,2,0,0,0,,,2.0,65.0,1.0,2.0,24.0,18.0,4.0,1.0,9.0,3.0,2.0,192.0,1.0,5.0,8.0,2.0,6.0,12.0,,7.0,88.0,155.0,68.0,13.0,31.0,3.0,,2.0,1.0,3.0,19.0,10.0,2.0,18.0,2.0,4.0,27.0,163.0,0.0,142.0,8.0,1.0,2.0,1.0,6.0,85.0,43.0,9.0,62.0,1.0,17.0,19.0,4.0,1.0,155.0,3.0,9.0,81.0,617.0,6.0,13.0,28.0,3.0,14.0,291.0,19.0,6.0,5.0,2.0,2.0,0.0,5.0,3.0,22.0,390.0,67.0,80801,8.0,155.0,10.0,4.0,182.0,4.0,1.0,19.0,10.0,54.0,2.0,3.0,1.0,13.0,6.0,6.0,69.0,313.0,20.0,4.0,4.0,29.0,83.0,,0.0,1.0,6.0,1.0,2.0,1.0,7.0,0.0,4.0,4.0,58.0,18.0,,4.0,1.0,3.0,42.0,2.0,423.0,14.0,7.0,11.0,3.0,36.0,1.0,2.0,260.0,8.0,2.0,22.0,86.0,33.0,2.0,5.0,18.0,1.0,8.0,3.0,12.0,,2.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987612,2018-08-25 15:00:00,"Vitality Stadium, Bournemouth",10654,Away,Everton,Bournemouth,2,2,D,0,0,1,1,,1.0,,53.0,1.0,2.0,31.0,30.0,6.0,2.0,5.0,3.0,,138.0,1.0,6.0,6.0,2.0,2.0,9.0,,3.0,89.0,136.0,58.0,11.0,16.0,,1.0,1.0,1.0,,15.0,12.0,1.0,30.0,2.0,12.0,21.0,183.0,0.0,125.0,10.0,1.0,1.0,,1.0,80.0,67.0,5.0,60.0,,13.0,13.0,6.0,3.0,136.0,,12.0,102.0,589.0,6.0,9.0,20.0,,13.0,288.0,22.0,6.0,15.0,2.0,1.0,3.0,2.0,4.0,24.0,359.0,59.0,80801,3.0,126.0,9.0,2.0,145.0,6.0,1.0,13.0,10.0,50.0,,5.0,1.0,19.0,5.0,5.0,73.0,303.0,12.0,6.0,1.0,31.0,69.0,1.0,0.0,,6.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,50.1,20.0,1.0,6.0,1.0,5.0,33.0,2.0,389.0,13.0,9.0,8.0,5.0,23.0,2.0,2.0,259.0,7.0,11.0,19.0,82.0,17.0,2.0,15.0,21.0,2.0,7.0,3.0,15.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,3.0,1.0,,,,1.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987627,2018-09-01 15:00:00,"Goodison Park, Liverpool",38767,Home,Everton,Huddersfield Town,1,1,D,1,1,0,0,,,1.0,59.0,1.0,3.0,31.0,32.0,3.0,1.0,8.0,5.0,,151.0,,6.0,3.0,1.0,1.0,9.0,,1.0,131.0,145.0,57.0,11.0,31.0,,1.0,,1.0,,19.0,12.0,,32.0,4.0,7.0,20.0,232.0,0.0,118.0,13.0,,1.0,,2.0,92.0,68.0,1.0,50.0,2.0,15.0,17.0,3.0,5.0,145.0,1.0,4.0,132.0,669.0,6.0,3.0,13.0,,8.0,368.0,17.0,1.0,20.0,1.0,,3.0,1.0,8.0,25.0,440.0,66.0,66838,5.0,159.0,8.0,,175.0,9.0,,17.0,8.0,81.0,1.0,4.0,1.0,10.0,5.0,2.0,57.0,385.0,13.0,7.0,2.0,16.0,73.0,,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,6.0,57.6,16.0,5.0,6.0,1.0,4.0,50.0,4.0,464.0,8.0,22.0,11.0,8.0,22.0,3.0,6.0,308.0,4.0,5.0,27.0,75.0,28.0,2.0,20.0,15.0,1.0,7.0,3.0,11.0,,2.0,10.0,4.0,1.0,,1.0,2.0,,,,2.0,,,,,,1.0,2.0,,2.0,,1.0,,,,,,,,4.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987634,2018-09-16 16:00:00,"Goodison Park, Liverpool",39161,Home,Everton,West Ham United,1,3,L,1,2,0,0,,1.0,,65.0,,,32.0,9.0,8.0,4.0,8.0,1.0,1.0,167.0,,6.0,13.0,1.0,4.0,8.0,,4.0,127.0,165.0,60.0,16.0,17.0,2.0,1.0,2.0,1.0,2.0,22.0,13.0,1.0,9.0,4.0,5.0,39.0,198.0,0.0,163.0,15.0,,1.0,,1.0,45.0,86.0,5.0,66.0,1.0,18.0,17.0,8.0,5.0,165.0,2.0,7.0,98.0,669.0,6.0,4.0,24.0,1.0,10.0,335.0,21.0,2.0,6.0,1.0,2.0,2.0,3.0,3.0,30.0,436.0,85.0,80801,7.0,160.0,12.0,2.0,187.0,9.0,,17.0,9.0,60.0,3.0,11.0,1.0,18.0,2.0,6.0,61.0,352.0,11.0,10.0,1.0,11.0,63.0,,0.0,1.0,2.0,1.0,1.0,3.0,,0.0,6.0,3.0,55.9,28.0,1.0,6.0,,11.0,42.0,4.0,458.0,10.0,11.0,23.0,6.0,32.0,,2.0,293.0,9.0,4.0,15.0,101.0,26.0,,6.0,22.0,3.0,10.0,3.0,21.0,,,8.0,4.0,2.0,,4.0,1.0,,,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,,1.0,3.0,,3.0,1.0,,1.0,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987642,2018-09-23 16:00:00,"Emirates Stadium, London",59964,Away,Everton,Arsenal,0,2,L,0,0,0,0,,3.0,,53.0,,2.0,21.0,28.0,5.0,4.0,5.0,3.0,2.0,134.0,,6.0,13.0,,5.0,9.0,,6.0,66.0,146.0,63.0,10.0,21.0,3.0,1.0,,,1.0,27.0,11.0,3.0,28.0,7.0,4.0,24.0,143.0,0.0,114.0,12.0,1.0,,1.0,2.0,54.0,65.0,7.0,48.0,2.0,20.0,21.0,5.0,4.0,146.0,2.0,5.0,67.0,552.0,8.0,4.0,17.0,1.0,18.0,221.0,23.0,8.0,12.0,,,1.0,3.0,2.0,26.0,292.0,48.0,80801,1.0,101.0,14.0,1.0,123.0,5.0,,21.0,1.0,55.0,2.0,3.0,,22.0,4.0,,45.0,238.0,15.0,6.0,1.0,22.0,61.0,2.0,0.0,1.0,5.0,1.0,,2.0,1.0,0.0,6.0,2.0,37.5,22.0,1.0,4.0,2.0,3.0,37.0,9.0,315.0,18.0,13.0,12.0,2.0,31.0,,1.0,219.0,4.0,4.0,15.0,77.0,21.0,,12.0,20.0,2.0,7.0,2.0,19.0,,,7.0,9.0,1.0,,1.0,,1.0,,,1.0,2.0,2.0,,3.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,987656,2018-09-29 15:00:00,"Goodison Park, Liverpool",38788,Home,Everton,Fulham,3,0,W,0,0,0,0,,,1.0,62.0,1.0,,24.0,14.0,6.0,2.0,13.0,,3.0,147.0,,6.0,7.0,3.0,5.0,15.0,,6.0,91.0,145.0,62.0,19.0,20.0,1.0,1.0,,2.0,2.0,30.0,18.0,2.0,14.0,11.0,3.0,23.0,162.0,0.0,113.0,13.0,,2.0,1.0,3.0,82.0,65.0,11.0,71.0,1.0,19.0,16.0,6.0,6.0,145.0,2.0,3.0,79.0,614.0,11.0,3.0,29.0,,21.0,302.0,27.0,7.0,8.0,2.0,,0.0,,4.0,26.0,371.0,46.0,80801,8.0,158.0,10.0,1.0,174.0,9.0,1.0,16.0,5.0,58.0,6.0,3.0,3.0,21.0,3.0,3.0,50.0,314.0,13.0,7.0,2.0,16.0,70.0,,0.0,,1.0,,2.0,,1.0,0.0,4.0,3.0,51.2,24.0,2.0,6.0,2.0,3.0,40.0,12.0,388.0,21.0,13.0,10.0,6.0,30.0,2.0,4.0,244.0,13.0,2.0,16.0,75.0,22.0,2.0,8.0,26.0,,13.0,3.0,12.0,,2.0,5.0,12.0,5.0,,2.0,1.0,,,,1.0,,,,2.0,,2.0,,,7.0,,1.0,1.0,1.0,1.0,,,1.0,,3.0,,,,2.0,,2.0,2.0,,,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,987666,2018-10-06 15:00:00,"King Power Stadium, Leicester",32007,Away,Everton,Leicester City,2,1,W,1,1,0,1,,2.0,1.0,72.0,1.0,,35.0,16.0,8.0,4.0,9.0,1.0,4.0,159.0,,5.0,11.0,2.0,3.0,12.0,1.0,8.0,97.0,171.0,58.0,17.0,21.0,3.0,,,1.0,2.0,26.0,7.0,3.0,16.0,10.0,4.0,36.0,179.0,0.0,131.0,11.0,1.0,1.0,1.0,3.0,92.0,53.0,9.0,68.0,2.0,16.0,26.0,8.0,4.0,171.0,,5.0,99.0,616.0,6.0,7.0,22.0,,13.0,299.0,25.0,5.0,7.0,1.0,,1.0,1.0,3.0,19.0,400.0,66.0,80801,7.0,139.0,9.0,2.0,169.0,6.0,2.0,26.0,6.0,52.0,,1.0,2.0,21.0,3.0,2.0,66.0,313.0,10.0,7.0,5.0,23.0,73.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,48.7,16.0,3.0,9.0,2.0,2.0,43.0,10.0,423.0,13.0,10.0,20.0,5.0,33.0,3.0,3.0,280.0,8.0,4.0,26.0,73.0,32.0,2.0,7.0,11.0,1.0,8.0,3.0,14.0,,2.0,13.0,10.0,2.0,,2.0,2.0,,,1.0,2.0,,2.0,,,2.0,,,1.0,4.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,987676,2018-10-21 16:00:00,"Goodison Park, Liverpool",38668,Home,Everton,Crystal Palace,2,0,W,0,0,0,0,,,2.0,77.0,,2.0,26.0,18.0,10.0,5.0,10.0,4.0,2.0,181.0,1.0,8.0,8.0,2.0,3.0,16.0,,4.0,111.0,158.0,68.0,20.0,17.0,2.0,1.0,1.0,2.0,,29.0,13.0,,18.0,10.0,2.0,20.0,254.0,0.0,175.0,13.0,2.0,,,2.0,100.0,86.0,8.0,74.0,3.0,19.0,19.0,10.0,3.0,158.0,3.0,4.0,144.0,731.0,10.0,2.0,30.0,,11.0,407.0,28.0,4.0,11.0,2.0,1.0,2.0,,8.0,18.0,488.0,53.0,80801,6.0,178.0,14.0,1.0,211.0,9.0,1.0,19.0,5.0,58.0,1.0,3.0,2.0,22.0,3.0,3.0,47.0,424.0,17.0,6.0,4.0,19.0,66.0,1.0,0.0,3.0,5.0,1.0,2.0,,1.0,0.0,3.0,4.0,59.8,16.0,3.0,9.0,3.0,3.0,48.0,10.0,510.0,11.0,13.0,12.0,9.0,30.0,5.0,4.0,328.0,11.0,2.0,23.0,135.0,35.0,1.0,11.0,21.0,,16.0,3.0,18.0,,1.0,6.0,10.0,2.0,,5.0,3.0,,,,5.0,1.0,,,1.0,1.0,1.0,,,7.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,2.0,1.0,2.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,987688,2018-10-28 16:00:00,"Old Trafford, Manchester",74525,Away,Everton,Manchester United,1,2,L,0,1,0,0,1.0,1.0,1.0,57.0,1.0,2.0,21.0,24.0,5.0,5.0,9.0,8.0,2.0,163.0,,4.0,11.0,1.0,2.0,10.0,1.0,6.0,92.0,135.0,50.0,14.0,15.0,3.0,2.0,,,2.0,20.0,7.0,2.0,24.0,3.0,7.0,24.0,155.0,0.0,101.0,12.0,7.0,1.0,,1.0,54.0,80.0,5.0,62.0,1.0,17.0,21.0,5.0,6.0,135.0,1.0,8.0,96.0,627.0,9.0,6.0,20.0,2.0,8.0,309.0,20.0,4.0,11.0,,,1.0,1.0,5.0,26.0,385.0,51.0,80801,5.0,181.0,10.0,,198.0,8.0,1.0,21.0,2.0,46.0,,5.0,,18.0,6.0,1.0,44.0,332.0,15.0,4.0,1.0,11.0,67.0,2.0,0.0,1.0,8.0,6.0,1.0,2.0,4.0,0.0,3.0,3.0,46.3,22.0,1.0,6.0,1.0,5.0,33.0,4.0,413.0,8.0,8.0,10.0,7.0,28.0,1.0,5.0,235.0,5.0,7.0,8.0,70.0,23.0,2.0,11.0,16.0,1.0,10.0,3.0,18.0,,2.0,11.0,4.0,,,1.0,2.0,,2.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,2.0,,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
