gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowCentre,attCmissRight,attSvLowLeft,goodHighClaim,attMissRight,attGoalHighCentre,attMissHighLeft,penaltyConceded,attAssistSetplay,attHdTotal,attHdMiss,penaltyFaced,totalHighClaim,penGoalsConceded,attIboxMiss,forwardGoals,attHdGoal,handBall,accuratePullBack,attFreekickTotal,attOboxBlocked,attBxRight,accurateKeeperSweeper,attMissHighRight,freekickCross,freekickTotal,totalKeeperSweeper,accurateThroughBall,accurateFreekickCross,errorLeadToShot,attSetpiece,totalPullBack,attMissHigh,attCorner,attCmissLeft,attFreekickTarget,accurateCrossNocorner,attSvHighCentre,attPenTarget,shotFastbreak,cleanSheet,totalFastbreak,contentiousDecision,sixYardBlock,attFastbreak,goalAssistSetplay,attSvHighRight,secondYellow,attObpGoal,goalsConcededObox,attGoalLowLeft,attSvHighLeft,attHdTarget,hitWoodwork,attCmissHigh,ptsDroppedWinningPos,goalAssistDeadball,postScoringAtt,attIboxPost,attHdPost,ownGoals,attPostRight,attIboxOwnGoal,attOboxGoal,ptsGainedLosingPos,attFreekickGoal,attCmissHighRight,foulThrowIn,attFreekickPost,attOboxPost,attPostHigh,errorLeadToGoal,attObxdLeft,clearanceOffLine,attObxLeft,goalFastbreak,attFreekickMiss,attGoalHighLeft,attLgCentre,attCmissHighLeft
1,987597,2018-08-10 20:00:00,"Old Trafford, Manchester",74439,Home,Manchester United,Leicester City,2,1,W,1,0,0,0,1.0,1.0,68.0,1.0,1.0,1.0,32.0,37.0,3.0,3.0,5.0,3.0,1.0,3.0,159.0,1.0,11.0,2.0,1.0,7.0,6.0,111.0,139.0,53.0,8.0,13.0,2.0,1.0,2.0,1.0,12.0,13.0,1.0,2.0,37.0,2.0,20.0,44.0,1.0,203.0,1.0,0.0,99.0,11.0,3.0,1.0,97.0,43.0,6.0,88.0,1.0,10.0,17.0,3.0,7.0,1.0,139.0,1.0,5.0,127.0,697.0,6.0,6.0,10.0,17.0,389.0,36.0,3.0,21.0,1.0,2.0,5.0,1.0,20.0,467.0,48.0,74208,2.0,197.0,1.0,3.0,218.0,10.0,1.0,17.0,5.0,47.0,1.0,1.0,4.0,1.0,1.0,17.0,8.0,2.0,1.0,57.0,399.0,7.0,9.0,17.0,69.0,2.0,2.0,0.0,4.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,46.3,17.0,5.0,2.0,1.0,1.0,41.0,2.0,485.0,17.0,11.0,30.0,1.0,16.0,1.0,279.0,5.0,17.0,10.0,73.0,23.0,1.0,21.0,26.0,1.0,7.0,3.0,14.0,1.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987602,2018-08-19 16:00:00,"American Express Stadium, Falmer",30592,Away,Manchester United,Brighton and Hove Albion,2,3,L,1,3,0,0,,2.0,54.0,,,2.0,28.0,18.0,3.0,4.0,6.0,,,1.0,164.0,2.0,8.0,2.0,1.0,4.0,3.0,174.0,159.0,58.0,9.0,12.0,,,,1.0,17.0,5.0,,1.0,18.0,5.0,10.0,52.0,,199.0,1.0,0.0,103.0,13.0,,1.0,51.0,71.0,1.0,74.0,,12.0,19.0,3.0,5.0,2.0,159.0,,5.0,160.0,771.0,3.0,6.0,15.0,4.0,465.0,23.0,2.0,6.0,,1.0,,3.0,27.0,545.0,55.0,74208,2.0,288.0,,7.0,310.0,9.0,1.0,19.0,4.0,56.0,,,2.0,3.0,,22.0,1.0,4.0,1.0,56.0,485.0,16.0,3.0,13.0,79.0,,,0.0,3.0,3.0,,2.0,3.0,1.0,0.0,,1.0,66.6,25.0,2.0,2.0,3.0,2.0,53.0,5.0,572.0,4.0,16.0,28.0,4.0,27.0,2.0,279.0,3.0,9.0,23.0,63.0,24.0,1.0,6.0,12.0,3.0,5.0,3.0,20.0,1.0,7.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987617,2018-08-27 20:00:00,"Old Trafford, Manchester",74400,Home,Manchester United,Tottenham Hotspur,0,3,L,0,0,0,0,2.0,,76.0,,,5.0,45.0,14.0,7.0,5.0,16.0,2.0,,3.0,167.0,9.0,7.0,,4.0,17.0,5.0,130.0,176.0,58.0,23.0,13.0,2.0,,,6.0,26.0,6.0,,3.0,14.0,5.0,11.0,58.0,1.0,199.0,,0.0,138.0,11.0,1.0,,64.0,69.0,9.0,74.0,1.0,21.0,24.0,7.0,7.0,3.0,176.0,,8.0,117.0,699.0,16.0,10.0,32.0,10.0,359.0,32.0,9.0,4.0,,2.0,2.0,8.0,29.0,465.0,62.0,76359,10.0,185.0,1.0,11.0,210.0,7.0,,24.0,4.0,51.0,3.0,,2.0,4.0,,17.0,1.0,1.0,,79.0,375.0,16.0,5.0,27.0,87.0,3.0,,0.0,,2.0,2.0,,3.0,5.0,0.0,,,57.0,25.0,3.0,2.0,4.0,6.0,46.0,5.0,488.0,10.0,19.0,33.0,12.0,38.0,1.0,304.0,14.0,8.0,24.0,97.0,34.0,,4.0,11.0,3.0,20.0,3.0,11.0,,13.0,5.0,,2.0,1.0,,4.0,,,,1.0,4.0,4.0,,,,9.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987623,2018-09-02 16:00:00,"Turf Moor, Burnley",21525,Away,Manchester United,Burnley,2,0,W,2,0,1,0,5.0,1.0,55.0,,,2.0,38.0,32.0,8.0,9.0,13.0,2.0,,2.0,149.0,5.0,6.0,2.0,2.0,17.0,9.0,139.0,113.0,38.0,21.0,21.0,6.0,1.0,2.0,1.0,18.0,3.0,1.0,1.0,32.0,5.0,12.0,42.0,1.0,242.0,1.0,0.0,158.0,13.0,3.0,,74.0,68.0,12.0,74.0,,13.0,7.0,8.0,4.0,3.0,113.0,3.0,5.0,151.0,682.0,15.0,5.0,42.0,6.0,429.0,24.0,1.0,21.0,1.0,3.0,1.0,4.0,18.0,488.0,57.0,74208,8.0,201.0,3.0,9.0,214.0,4.0,1.0,7.0,10.0,48.0,2.0,,1.0,5.0,2.0,9.0,4.0,2.0,,71.0,438.0,7.0,4.0,13.0,74.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,53.4,16.0,,3.0,5.0,6.0,39.0,5.0,513.0,6.0,8.0,25.0,6.0,40.0,,317.0,10.0,12.0,19.0,119.0,19.0,2.0,21.0,6.0,,16.0,3.0,10.0,2.0,5.0,5.0,1.0,2.0,4.0,1.0,4.0,,,,,2.0,1.0,,1.0,,3.0,2.0,1.0,1.0,,,4.0,,,1.0,,,,2.0,,,1.0,1.0,,,,,5.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987640,2018-09-15 17:30:00,"Vicarage Road, Watford",20537,Away,Manchester United,Watford,2,1,W,2,0,1,0,2.0,1.0,62.0,1.0,2.0,2.0,45.0,31.0,3.0,4.0,6.0,4.0,1.0,2.0,165.0,5.0,4.0,2.0,1.0,6.0,6.0,153.0,157.0,44.0,9.0,18.0,2.0,,1.0,,21.0,6.0,,2.0,31.0,7.0,7.0,54.0,,241.0,,0.0,145.0,11.0,4.0,,74.0,72.0,5.0,61.0,,14.0,16.0,3.0,12.0,1.0,157.0,1.0,6.0,141.0,700.0,4.0,7.0,22.0,11.0,403.0,35.0,4.0,18.0,1.0,1.0,6.0,1.0,16.0,494.0,56.0,74208,1.0,183.0,1.0,2.0,215.0,5.0,,16.0,9.0,60.0,1.0,1.0,4.0,1.0,1.0,10.0,8.0,4.0,,76.0,419.0,8.0,7.0,16.0,77.0,,,0.0,,6.0,2.0,2.0,1.0,1.0,1.0,1.0,,57.1,15.0,1.0,,1.0,2.0,50.0,8.0,520.0,11.0,16.0,29.0,1.0,30.0,3.0,326.0,4.0,6.0,22.0,102.0,22.0,1.0,18.0,11.0,1.0,7.0,3.0,13.0,1.0,8.0,8.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987650,2018-09-22 15:00:00,"Old Trafford, Manchester",74489,Home,Manchester United,Wolverhampton Wanderers,1,1,D,1,0,0,0,2.0,,64.0,,3.0,1.0,33.0,13.0,10.0,6.0,5.0,7.0,,2.0,209.0,4.0,8.0,1.0,7.0,9.0,6.0,185.0,151.0,57.0,15.0,24.0,2.0,1.0,1.0,2.0,23.0,11.0,,3.0,13.0,4.0,8.0,55.0,,339.0,,0.0,192.0,5.0,5.0,1.0,113.0,76.0,6.0,89.0,1.0,19.0,17.0,10.0,8.0,2.0,151.0,,5.0,201.0,865.0,8.0,8.0,25.0,5.0,564.0,23.0,3.0,4.0,1.0,1.0,,3.0,27.0,656.0,72.0,74208,2.0,248.0,,8.0,265.0,3.0,1.0,17.0,8.0,48.0,1.0,,3.0,3.0,1.0,14.0,6.0,3.0,,68.0,583.0,16.0,7.0,14.0,89.0,2.0,,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,,1.0,64.5,27.0,5.0,,3.0,6.0,61.0,5.0,684.0,5.0,10.0,35.0,3.0,43.0,2.0,442.0,7.0,6.0,17.0,138.0,29.0,1.0,4.0,16.0,,10.0,3.0,11.0,1.0,6.0,5.0,,,,,,,,,,2.0,1.0,,,,1.0,,,,,3.0,5.0,1.0,,,3.0,3.0,,,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7,987660,2018-09-29 12:30:00,"London Stadium, London",56938,Away,Manchester United,West Ham United,1,3,L,0,2,0,0,,,59.0,,1.0,1.0,26.0,16.0,4.0,2.0,5.0,1.0,,1.0,141.0,8.0,7.0,1.0,3.0,7.0,4.0,147.0,139.0,47.0,9.0,11.0,2.0,,,,35.0,7.0,,1.0,16.0,8.0,7.0,30.0,,240.0,,0.0,127.0,12.0,,,62.0,76.0,6.0,52.0,,28.0,17.0,4.0,6.0,,139.0,1.0,6.0,117.0,658.0,5.0,5.0,21.0,9.0,369.0,25.0,5.0,7.0,1.0,1.0,1.0,1.0,26.0,431.0,51.0,74208,5.0,160.0,1.0,21.0,170.0,6.0,1.0,17.0,7.0,51.0,1.0,,4.0,3.0,,15.0,3.0,6.0,,51.0,392.0,12.0,4.0,14.0,60.0,1.0,1.0,0.0,1.0,4.0,,1.0,3.0,3.0,0.0,1.0,,51.0,24.0,1.0,,3.0,4.0,37.0,9.0,457.0,9.0,11.0,13.0,1.0,42.0,5.0,322.0,4.0,6.0,19.0,93.0,30.0,3.0,7.0,9.0,3.0,6.0,3.0,21.0,3.0,7.0,9.0,,,1.0,,,,,,1.0,3.0,,,,,,,,1.0,,1.0,3.0,,,,1.0,1.0,,,,,,,,2.0,,,3.0,1.0,,,,,,,,1.0,,,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
8,987668,2018-10-06 17:30:00,"Old Trafford, Manchester",74519,Home,Manchester United,Newcastle United,3,2,W,0,2,0,0,1.0,1.0,62.0,1.0,4.0,,31.0,19.0,8.0,5.0,10.0,6.0,1.0,5.0,195.0,12.0,7.0,3.0,2.0,13.0,10.0,164.0,173.0,45.0,18.0,16.0,4.0,2.0,4.0,4.0,44.0,8.0,,3.0,19.0,8.0,10.0,39.0,,309.0,,0.0,187.0,16.0,3.0,,129.0,76.0,10.0,71.0,,36.0,20.0,8.0,18.0,1.0,173.0,4.0,8.0,180.0,836.0,9.0,7.0,42.0,4.0,495.0,20.0,4.0,10.0,2.0,2.0,,3.0,32.0,592.0,78.0,74208,7.0,212.0,4.0,17.0,236.0,9.0,1.0,20.0,5.0,54.0,1.0,,1.0,6.0,2.0,19.0,5.0,5.0,,56.0,509.0,8.0,4.0,14.0,81.0,1.0,,0.0,,6.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,73.0,31.0,2.0,2.0,7.0,3.0,57.0,10.0,610.0,4.0,13.0,20.0,5.0,49.0,5.0,418.0,8.0,10.0,19.0,131.0,30.0,3.0,10.0,11.0,2.0,11.0,3.0,12.0,3.0,5.0,10.0,,,2.0,,,,,,2.0,5.0,3.0,,,,4.0,1.0,1.0,,,1.0,3.0,,,,1.0,1.0,,1.0,,,,,1.0,,3.0,,7.0,,,,,,1.0,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,
9,987675,2018-10-20 12:30:00,"Stamford Bridge, London",40721,Away,Manchester United,Chelsea,2,2,D,0,1,0,0,2.0,1.0,64.0,1.0,1.0,,26.0,29.0,1.0,2.0,6.0,4.0,,,135.0,1.0,10.0,2.0,2.0,4.0,4.0,84.0,132.0,54.0,7.0,13.0,2.0,1.0,,2.0,9.0,14.0,,,29.0,3.0,13.0,28.0,,132.0,,0.0,104.0,17.0,3.0,2.0,64.0,28.0,2.0,62.0,,6.0,11.0,1.0,4.0,1.0,132.0,1.0,14.0,90.0,547.0,3.0,6.0,25.0,14.0,263.0,26.0,7.0,14.0,1.0,5.0,7.0,2.0,18.0,345.0,44.0,74208,3.0,151.0,1.0,1.0,166.0,7.0,2.0,11.0,12.0,43.0,1.0,,1.0,4.0,2.0,13.0,7.0,7.0,,62.0,282.0,9.0,5.0,21.0,65.0,1.0,,0.0,4.0,5.0,3.0,2.0,2.0,2.0,0.0,,1.0,37.7,14.0,3.0,2.0,4.0,,32.0,3.0,371.0,14.0,9.0,8.0,3.0,24.0,,214.0,4.0,13.0,15.0,57.0,29.0,1.0,14.0,21.0,2.0,6.0,3.0,13.0,1.0,2.0,3.0,,,1.0,,,,,,,1.0,1.0,,,,2.0,,,2.0,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
10,987688,2018-10-28 16:00:00,"Old Trafford, Manchester",74525,Home,Manchester United,Everton,2,1,W,1,0,0,0,2.0,1.0,60.0,2.0,2.0,,30.0,10.0,6.0,3.0,8.0,5.0,,5.0,151.0,2.0,4.0,2.0,2.0,12.0,10.0,137.0,147.0,46.0,14.0,8.0,6.0,1.0,4.0,2.0,17.0,9.0,,2.0,10.0,7.0,8.0,38.0,1.0,222.0,1.0,0.0,130.0,15.0,1.0,1.0,95.0,45.0,9.0,79.0,,10.0,20.0,6.0,6.0,2.0,147.0,2.0,9.0,119.0,654.0,11.0,6.0,29.0,7.0,374.0,18.0,2.0,4.0,1.0,2.0,1.0,3.0,22.0,459.0,58.0,74208,7.0,171.0,3.0,4.0,194.0,6.0,2.0,20.0,10.0,50.0,1.0,,7.0,6.0,1.0,9.0,5.0,5.0,,59.0,391.0,12.0,11.0,15.0,76.0,2.0,,0.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,,1.0,53.7,18.0,1.0,,6.0,1.0,43.0,8.0,486.0,7.0,12.0,18.0,3.0,28.0,,309.0,9.0,8.0,15.0,92.0,29.0,3.0,4.0,15.0,1.0,11.0,3.0,8.0,3.0,7.0,8.0,,1.0,1.0,2.0,1.0,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,2.0,,,,,,2.0,,1.0,2.0,,2.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
