gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attGoalLowCentre,goals,fouledFinalThird,accuratePullBack,attCmissRight,attFreekickTotal,attSvLowCentre,attMissLeft,attOboxTarget,attSvHighLeft,interceptionsInBox,attMissRight,freekickTotal,hitWoodwork,goalAssist,sixYardBlock,attSetpiece,attObxdLeft,attRfGoal,totalPullBack,attCmissLeft,attFreekickTarget,attIboxGoal,goalsConceded,shieldBallOop,forwardGoals,goalsConcededIbox,goalsConcededObox,handBall,attLfGoal,attOboxGoal,freekickCross,secondYellow,accurateFreekickCross,defenderGoals,goalsOpenplay,attGoalHighLeft,foulThrowIn,ptsDroppedWinningPos,errorLeadToGoal,attLfTarget,attPenTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,goalFastbreak,attIboxPost,penaltyWon,totalFastbreak,midfielderGoals,goodHighClaim,attFastbreak,attPostHigh,goalAssistIntentional,totalHighClaim,attGoalLowLeft,attSvHighRight,attLgCentre,accurateThroughBall,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,ownGoals,clearanceOffLine,attIboxOwnGoal,accurateKeeperSweeper,totalKeeperSweeper,attCmissHighLeft,attOneOnOne,attFreekickMiss,attPostLeft,attCorner,attGoalLowRight,contentiousDecision,attGoalHighRight,attFreekickGoal,attHdPost,attObxLeft,attCmissHighRight,attHdGoal,attObpGoal,attPostRight,ptsGainedLosingPos,penaltySave
1,987599,2018-08-12 13:30:00,"St. Mary's Stadium, Southampton",30784,Home,Southampton,Burnley,0,0,D,0,0,0,0,54.0,1.0,3.0,25.0,31.0,9.0,5.0,9.0,6.0,1.0,149.0,8.0,8.0,17.0,3.0,82.0,132.0,57.0,18.0,6.0,28.0,3.0,1.0,20.0,7.0,31.0,8.0,5.0,27.0,193.0,1.0,1.0,0.0,116.0,10.0,4.0,1.0,55.0,46.0,11.0,49.0,12.0,14.0,9.0,4.0,3.0,132.0,1.0,10.0,89.0,558.0,13.0,9.0,21.0,2.0,4.0,264.0,22.0,1.0,8.0,14.0,0.0,4.0,6.0,23.0,346.0,56.0,1.0,96787,5.0,95.0,1.0,8.0,122.0,5.0,14.0,6.0,50.0,1.0,2.0,2.0,2.0,15.0,6.0,1.0,4.0,61.0,280.0,8.0,3.0,4.0,26.0,57.0,1.0,2.0,0.0,1.0,5.0,5.0,2.0,0.0,3.0,5.0,47.7,19.0,3.0,1.0,1.0,1.0,2.0,9.0,26.0,8.0,369.0,4.0,3.0,9.0,6.0,30.0,5.0,3.0,267.0,8.0,4.0,25.0,79.0,23.0,1.0,14.0,16.0,14.0,3.0,14.0,1.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987607,2018-08-18 15:00:00,"Goodison Park, Liverpool",38601,Away,Southampton,Everton,1,2,L,0,2,0,0,66.0,2.0,3.0,21.0,23.0,5.0,1.0,9.0,5.0,3.0,149.0,3.0,4.0,10.0,4.0,63.0,168.0,54.0,15.0,2.0,22.0,1.0,,16.0,5.0,23.0,4.0,4.0,36.0,89.0,,,0.0,89.0,20.0,2.0,,43.0,34.0,5.0,35.0,12.0,19.0,6.0,6.0,2.0,168.0,1.0,9.0,52.0,485.0,6.0,12.0,17.0,,13.0,168.0,27.0,,3.0,13.0,5.0,3.0,5.0,28.0,275.0,54.0,,91047,5.0,99.0,1.0,6.0,132.0,13.0,19.0,8.0,68.0,1.0,,3.0,7.0,11.0,4.0,5.0,1.0,76.0,185.0,8.0,8.0,3.0,34.0,83.0,,,0.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,42.0,20.0,3.0,2.0,,,7.0,5.0,24.0,5.0,299.0,13.0,15.0,13.0,6.0,28.0,2.0,4.0,183.0,11.0,4.0,31.0,45.0,25.0,2.0,13.0,11.0,9.0,3.0,7.0,2.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987619,2018-08-25 15:00:00,"St. Mary's Stadium, Southampton",29925,Home,Southampton,Leicester City,1,2,L,0,0,1,0,37.0,1.0,,34.0,13.0,6.0,2.0,5.0,3.0,4.0,141.0,6.0,10.0,7.0,5.0,102.0,135.0,60.0,11.0,2.0,20.0,3.0,1.0,28.0,10.0,13.0,9.0,10.0,30.0,240.0,1.0,,0.0,149.0,13.0,1.0,1.0,107.0,52.0,4.0,75.0,19.0,18.0,6.0,7.0,2.0,135.0,,5.0,129.0,632.0,6.0,11.0,21.0,,13.0,356.0,11.0,1.0,7.0,7.0,1.0,,3.0,19.0,423.0,68.0,1.0,96787,2.0,139.0,,11.0,152.0,5.0,18.0,10.0,48.0,,,1.0,1.0,17.0,3.0,6.0,,61.0,373.0,11.0,3.0,1.0,19.0,70.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,51.7,15.0,1.0,4.0,1.0,,1.0,2.0,42.0,10.0,447.0,13.0,7.0,17.0,4.0,38.0,2.0,2.0,323.0,8.0,10.0,21.0,109.0,19.0,2.0,7.0,18.0,5.0,3.0,17.0,2.0,6.0,11.0,,,,1.0,2.0,,1.0,1.0,2.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987626,2018-09-01 15:00:00,"Selhurst Park, London",25495,Away,Southampton,Crystal Palace,2,0,W,0,0,0,0,65.0,4.0,3.0,39.0,34.0,8.0,6.0,11.0,6.0,2.0,146.0,9.0,7.0,13.0,6.0,128.0,141.0,56.0,19.0,4.0,33.0,3.0,,22.0,8.0,34.0,3.0,5.0,36.0,211.0,1.0,1.0,0.0,126.0,12.0,4.0,,85.0,79.0,10.0,68.0,19.0,25.0,8.0,8.0,3.0,141.0,3.0,13.0,81.0,646.0,10.0,3.0,25.0,1.0,9.0,314.0,37.0,,3.0,15.0,1.0,7.0,3.0,23.0,402.0,56.0,,96787,7.0,124.0,4.0,10.0,154.0,6.0,25.0,10.0,68.0,,1.0,1.0,5.0,8.0,7.0,4.0,1.0,81.0,326.0,10.0,7.0,1.0,29.0,79.0,,1.0,0.0,1.0,7.0,2.0,1.0,0.0,8.0,2.0,49.3,18.0,1.0,3.0,4.0,2.0,5.0,7.0,41.0,4.0,423.0,9.0,10.0,21.0,6.0,28.0,1.0,2.0,291.0,11.0,5.0,20.0,87.0,18.0,4.0,15.0,19.0,17.0,3.0,13.0,4.0,9.0,4.0,2.0,,2.0,2.0,3.0,,,,2.0,1.0,1.0,,1.0,2.0,,1.0,2.0,1.0,,,1.0,,,,2.0,,,1.0,,,,1.0,,1.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987638,2018-09-17 20:00:00,"St. Mary's Stadium, Southampton",28811,Home,Southampton,Brighton and Hove Albion,2,2,D,1,0,0,0,57.0,1.0,2.0,32.0,13.0,4.0,6.0,8.0,2.0,,148.0,3.0,9.0,6.0,5.0,127.0,137.0,55.0,14.0,1.0,25.0,2.0,1.0,13.0,10.0,13.0,1.0,3.0,50.0,168.0,1.0,,0.0,112.0,10.0,2.0,,73.0,44.0,3.0,72.0,12.0,15.0,6.0,2.0,3.0,137.0,1.0,8.0,121.0,647.0,6.0,2.0,17.0,1.0,20.0,351.0,22.0,1.0,6.0,8.0,2.0,3.0,3.0,20.0,445.0,57.0,,96787,4.0,204.0,3.0,9.0,224.0,1.0,15.0,7.0,52.0,,2.0,2.0,3.0,11.0,4.0,6.0,1.0,77.0,369.0,13.0,4.0,,19.0,81.0,1.0,,0.0,,4.0,1.0,1.0,0.0,2.0,2.0,51.2,19.0,1.0,4.0,1.0,1.0,3.0,3.0,38.0,1.0,468.0,20.0,10.0,17.0,6.0,23.0,1.0,3.0,257.0,6.0,3.0,17.0,66.0,26.0,3.0,8.0,16.0,9.0,3.0,13.0,3.0,9.0,1.0,1.0,,,2.0,4.0,,1.0,1.0,,,1.0,,1.0,3.0,1.0,,,2.0,,1.0,2.0,,,1.0,1.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,,,2.0,,2.0,,,,,,,1.0,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6,987649,2018-09-22 15:00:00,"Anfield, Liverpool",50965,Away,Southampton,Liverpool,0,3,L,0,3,0,0,69.0,1.0,4.0,33.0,35.0,1.0,3.0,6.0,1.0,1.0,166.0,3.0,1.0,5.0,1.0,124.0,127.0,45.0,7.0,1.0,9.0,1.0,1.0,14.0,11.0,35.0,3.0,4.0,36.0,221.0,,,0.0,131.0,10.0,,1.0,71.0,81.0,4.0,80.0,11.0,11.0,1.0,1.0,,127.0,,10.0,109.0,651.0,4.0,3.0,16.0,,16.0,372.0,36.0,,6.0,17.0,2.0,4.0,1.0,13.0,453.0,73.0,1.0,93100,4.0,170.0,,10.0,183.0,5.0,11.0,5.0,41.0,,2.0,1.0,5.0,8.0,3.0,1.0,,73.0,388.0,7.0,8.0,1.0,23.0,86.0,,1.0,0.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,39.4,12.0,1.0,5.0,1.0,,5.0,5.0,49.0,4.0,479.0,16.0,10.0,24.0,1.0,26.0,1.0,1.0,310.0,3.0,2.0,17.0,88.0,14.0,1.0,17.0,21.0,5.0,3.0,5.0,1.0,6.0,4.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
7,987661,2018-09-29 15:00:00,"Molineux Stadium, Wolverhampton",31147,Away,Southampton,Wolverhampton Wanderers,0,2,L,0,0,0,0,65.0,,2.0,19.0,16.0,10.0,6.0,7.0,4.0,4.0,142.0,2.0,7.0,10.0,6.0,134.0,133.0,63.0,17.0,5.0,18.0,3.0,1.0,18.0,19.0,16.0,5.0,6.0,26.0,193.0,1.0,,0.0,118.0,7.0,2.0,,72.0,55.0,6.0,61.0,13.0,19.0,10.0,5.0,2.0,133.0,,10.0,107.0,640.0,9.0,4.0,24.0,,13.0,349.0,26.0,1.0,1.0,6.0,1.0,2.0,4.0,10.0,421.0,51.0,1.0,96787,4.0,174.0,,8.0,188.0,3.0,19.0,7.0,54.0,,2.0,2.0,5.0,13.0,4.0,3.0,,43.0,365.0,11.0,10.0,1.0,9.0,78.0,3.0,,0.0,1.0,8.0,4.0,1.0,0.0,,1.0,51.2,8.0,1.0,1.0,2.0,1.0,5.0,7.0,51.0,6.0,444.0,13.0,10.0,12.0,4.0,32.0,2.0,2.0,274.0,10.0,5.0,13.0,77.0,31.0,2.0,6.0,32.0,15.0,2.0,16.0,2.0,6.0,6.0,,,,,1.0,,,1.0,1.0,,3.0,,3.0,2.0,1.0,,,,,,,,,1.0,,2.0,,,2.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
8,987669,2018-10-07 14:15:00,"St. Mary's Stadium, Southampton",27077,Home,Southampton,Chelsea,0,3,L,0,1,0,0,50.0,1.0,2.0,30.0,36.0,6.0,8.0,9.0,3.0,4.0,119.0,1.0,2.0,9.0,6.0,85.0,109.0,46.0,15.0,1.0,17.0,1.0,1.0,11.0,14.0,36.0,3.0,5.0,33.0,134.0,,,0.0,88.0,13.0,1.0,1.0,58.0,47.0,5.0,60.0,8.0,22.0,6.0,3.0,,109.0,1.0,16.0,82.0,550.0,9.0,1.0,14.0,,15.0,258.0,19.0,1.0,3.0,19.0,6.0,12.0,4.0,22.0,325.0,45.0,,93100,5.0,140.0,2.0,4.0,161.0,10.0,22.0,4.0,47.0,,,,5.0,9.0,5.0,1.0,2.0,68.0,273.0,11.0,4.0,,21.0,69.0,1.0,1.0,0.0,1.0,12.0,2.0,1.0,0.0,1.0,,34.7,19.0,,4.0,2.0,,5.0,3.0,34.0,4.0,346.0,15.0,6.0,13.0,6.0,18.0,,6.0,196.0,7.0,5.0,12.0,62.0,19.0,5.0,19.0,21.0,12.0,2.0,9.0,5.0,11.0,4.0,,,,,2.0,,1.0,1.0,2.0,1.0,5.0,,4.0,2.0,1.0,1.0,,,,,,,,,,3.0,1.0,,3.0,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,987672,2018-10-20 15:00:00,"Vitality Stadium, Bournemouth",10986,Away,Southampton,Bournemouth,0,0,D,0,0,0,0,65.0,,,33.0,29.0,5.0,,2.0,2.0,4.0,154.0,3.0,3.0,6.0,4.0,76.0,149.0,58.0,8.0,2.0,24.0,1.0,,18.0,11.0,29.0,4.0,6.0,40.0,157.0,,1.0,0.0,114.0,14.0,,,72.0,47.0,3.0,49.0,14.0,19.0,6.0,4.0,1.0,149.0,3.0,9.0,67.0,527.0,4.0,13.0,12.0,,14.0,235.0,29.0,,5.0,12.0,2.0,1.0,1.0,15.0,321.0,69.0,,96787,1.0,96.0,3.0,9.0,111.0,8.0,19.0,11.0,54.0,1.0,,4.0,1.0,19.0,,5.0,2.0,81.0,250.0,11.0,7.0,,27.0,75.0,1.0,2.0,0.0,1.0,6.0,2.0,4.0,0.0,3.0,1.0,42.7,10.0,1.0,7.0,,2.0,1.0,2.0,34.0,4.0,346.0,14.0,4.0,18.0,2.0,32.0,,1.0,253.0,7.0,5.0,26.0,63.0,22.0,1.0,12.0,18.0,6.0,3.0,8.0,1.0,11.0,4.0,,,,,2.0,,,1.0,1.0,,3.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
10,987689,2018-10-27 15:00:00,"St. Mary's Stadium, Southampton",30736,Home,Southampton,Newcastle United,0,0,D,0,0,0,0,69.0,,4.0,22.0,23.0,8.0,8.0,14.0,,2.0,171.0,9.0,9.0,20.0,4.0,97.0,159.0,61.0,22.0,1.0,21.0,3.0,3.0,31.0,4.0,23.0,7.0,5.0,33.0,203.0,,1.0,0.0,148.0,9.0,,,103.0,61.0,9.0,54.0,24.0,21.0,8.0,10.0,6.0,159.0,1.0,3.0,83.0,631.0,18.0,7.0,28.0,2.0,19.0,293.0,25.0,1.0,8.0,15.0,0.0,2.0,11.0,23.0,386.0,65.0,,96787,7.0,108.0,1.0,11.0,135.0,5.0,21.0,6.0,48.0,,,1.0,3.0,10.0,3.0,2.0,2.0,56.0,302.0,11.0,3.0,2.0,25.0,71.0,1.0,,0.0,1.0,2.0,,5.0,0.0,7.0,4.0,50.2,17.0,2.0,6.0,3.0,,3.0,5.0,41.0,7.0,405.0,19.0,8.0,14.0,13.0,45.0,2.0,6.0,301.0,10.0,4.0,29.0,99.0,34.0,,15.0,13.0,20.0,3.0,17.0,,14.0,7.0,,,,,1.0,,,,2.0,4.0,1.0,,1.0,5.0,,1.0,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
