gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attCmissRight,attMissLeft,divingSave,accurateFreekickCross,attSetpiece,totalOffside,attAssistSetplay,attSvLowRight,attCmissLeft,attHdMiss,forwardGoals,bigChanceScored,attGoalLowCentre,postScoringAtt,accurateKeeperSweeper,attIboxPost,attPostLeft,hitWoodwork,attMissHighLeft,totalKeeperSweeper,attSvHighCentre,attMissHighRight,attLgCentre,attSvHighRight,attGoalHighCentre,attHdTarget,errorLeadToShot,sixYardBlock,goalsConcededObox,attSvHighLeft,goalsConceded,foulThrowIn,goalsConcededIbox,handBall,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,penaltyWon,attPenMiss,attPenGoal,attHdPost,attObxdRight,attPostHigh,ownGoals,attIboxOwnGoal,attGoalHighLeft,attObpGoal,shieldBallOop,attCmissHigh,attPostRight,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attPenPost,touchesInOppBox,attOboxPost,attCmissHighRight,attObxdLeft
1,803165,2015-08-10 20:00:00,"The Hawthorns, West Bromwich",24564,Away,Manchester City,West Bromwich Albion,3,0,W,2,0,0,0,2.0,51.0,1.0,1.0,5.0,1.0,1.0,38.0,21.0,9.0,9.0,2.0,2.0,206.0,4.0,7.0,3.0,4.0,15.0,1.0,7.0,203.0,118.0,40.0,2.0,20.0,6.0,6.0,3.0,1.0,2.0,2.0,18.0,9.0,2.0,1.0,14.0,4.0,17.0,25.0,1.0,487.0,1.0,1.0,0.0,252.0,9.0,2.0,2.0,1.0,2.0,150.0,115.0,14.0,124.0,1.0,1.0,14.0,12.0,2.0,1.0,1.0,111.0,1.0,1.0,4.0,231.0,921.0,12.0,3.0,14.0,675.0,16.0,6.0,7.0,3.0,1.0,1.0,1.0,12.0,738.0,69.0,2.0,57112,6.0,210.0,2.0,12.0,228.0,5.0,2.0,2.0,12.0,10.0,39.0,2.0,1.0,4.0,2.0,7.0,5.0,6.0,1.0,59.0,693.0,12.0,7.0,13.0,71.0,3.0,0.0,1.0,1.0,6.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,69.1,12.0,4.0,1.0,5.0,11.0,53.0,6.0,2.0,764.0,14.0,1.0,14.0,17.0,2.0,24.0,1.0,1.0,554.0,10.0,17.0,12.0,215.0,24.0,1.0,4.0,10.0,1.0,17.0,3.0,10.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803174,2015-08-16 16:00:00,"Etihad Stadium, Manchester",54331,Home,Manchester City,Chelsea,3,0,W,1,0,0,0,,53.0,2.0,,2.0,1.0,1.0,22.0,23.0,7.0,4.0,3.0,5.0,157.0,9.0,14.0,3.0,4.0,17.0,,8.0,92.0,130.0,59.0,,18.0,2.0,18.0,4.0,2.0,2.0,3.0,25.0,13.0,,1.0,18.0,5.0,7.0,13.0,1.0,213.0,1.0,1.0,0.0,157.0,19.0,1.0,,3.0,4.0,80.0,61.0,12.0,63.0,,2.0,20.0,24.0,,3.0,3.0,125.0,3.0,,5.0,111.0,615.0,13.0,5.0,5.0,328.0,26.0,5.0,13.0,3.0,4.0,3.0,5.0,19.0,396.0,51.0,2.0,57112,7.0,141.0,3.0,14.0,160.0,10.0,1.0,1.0,24.0,9.0,68.0,3.0,1.0,1.0,2.0,3.0,5.0,4.0,2.0,44.0,345.0,13.0,12.0,11.0,58.0,1.0,0.0,,4.0,1.0,3.0,2.0,1.0,0.0,8.0,1.0,2.0,49.2,16.0,4.0,1.0,1.0,4.0,33.0,5.0,4.0,423.0,5.0,,16.0,4.0,6.0,30.0,1.0,3.0,288.0,12.0,7.0,15.0,126.0,17.0,3.0,13.0,17.0,1.0,16.0,3.0,18.0,3.0,11.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803186,2015-08-23 16:00:00,"Goodison Park, Liverpool",38523,Away,Manchester City,Everton,2,0,W,0,0,0,0,1.0,59.0,,1.0,2.0,,,14.0,21.0,7.0,5.0,1.0,6.0,175.0,3.0,10.0,2.0,1.0,13.0,,9.0,115.0,136.0,47.0,,16.0,2.0,11.0,4.0,2.0,2.0,2.0,23.0,14.0,,3.0,17.0,4.0,9.0,16.0,2.0,285.0,1.0,,0.0,196.0,7.0,,1.0,1.0,,98.0,97.0,9.0,72.0,,,19.0,16.0,,1.0,2.0,132.0,2.0,,5.0,125.0,682.0,9.0,6.0,17.0,406.0,28.0,,11.0,2.0,3.0,4.0,3.0,26.0,470.0,66.0,2.0,57112,4.0,132.0,2.0,17.0,146.0,5.0,1.0,,16.0,6.0,54.0,2.0,1.0,4.0,2.0,11.0,5.0,1.0,,47.0,414.0,5.0,16.0,17.0,70.0,2.0,0.0,,1.0,8.0,,2.0,5.0,0.0,2.0,2.0,,54.3,22.0,5.0,1.0,4.0,4.0,38.0,7.0,,487.0,17.0,,10.0,6.0,3.0,33.0,1.0,,364.0,10.0,9.0,16.0,155.0,22.0,1.0,10.0,17.0,,14.0,3.0,21.0,1.0,5.0,7.0,,1.0,,1.0,,,,2.0,1.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803199,2015-08-29 15:00:00,"Etihad Stadium, Manchester",53218,Home,Manchester City,Watford,2,0,W,0,0,0,0,1.0,60.0,1.0,,2.0,1.0,,23.0,17.0,9.0,7.0,,2.0,196.0,6.0,13.0,2.0,6.0,15.0,,5.0,171.0,119.0,48.0,3.0,18.0,3.0,3.0,2.0,3.0,1.0,,26.0,13.0,,1.0,14.0,7.0,21.0,19.0,,355.0,1.0,,0.0,230.0,9.0,2.0,1.0,3.0,2.0,136.0,78.0,9.0,93.0,1.0,1.0,19.0,15.0,3.0,2.0,6.0,116.0,1.0,,3.0,185.0,841.0,13.0,3.0,11.0,583.0,24.0,,12.0,2.0,1.0,5.0,6.0,13.0,633.0,68.0,,57112,3.0,245.0,,14.0,249.0,5.0,2.0,,15.0,1.0,50.0,2.0,,5.0,1.0,10.0,4.0,1.0,2.0,35.0,594.0,12.0,8.0,7.0,55.0,,0.0,,3.0,3.0,,2.0,2.0,0.0,3.0,2.0,,58.7,12.0,8.0,,5.0,5.0,43.0,9.0,2.0,645.0,11.0,2.0,20.0,14.0,8.0,30.0,3.0,2.0,422.0,11.0,20.0,9.0,192.0,22.0,1.0,10.0,15.0,,13.0,3.0,23.0,1.0,7.0,9.0,1.0,,1.0,4.0,,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803206,2015-09-12 15:00:00,"Selhurst Park, London",25167,Away,Manchester City,Crystal Palace,1,0,W,0,0,0,0,2.0,63.0,,,3.0,,,25.0,21.0,9.0,9.0,2.0,3.0,187.0,5.0,4.0,1.0,1.0,17.0,1.0,7.0,126.0,150.0,42.0,,21.0,2.0,19.0,4.0,2.0,,3.0,21.0,13.0,,2.0,16.0,3.0,9.0,24.0,,280.0,1.0,,0.0,212.0,13.0,,,2.0,1.0,84.0,102.0,9.0,74.0,2.0,,18.0,16.0,,2.0,5.0,145.0,2.0,,5.0,111.0,693.0,14.0,7.0,18.0,385.0,23.0,6.0,10.0,,3.0,2.0,8.0,30.0,466.0,75.0,3.0,61366,5.0,127.0,3.0,14.0,147.0,9.0,,2.0,16.0,12.0,57.0,4.0,,3.0,1.0,11.0,5.0,2.0,3.0,64.0,402.0,13.0,11.0,27.0,89.0,1.0,0.0,,1.0,4.0,2.0,1.0,3.0,0.0,3.0,,4.0,57.8,26.0,2.0,,3.0,5.0,48.0,4.0,1.0,498.0,18.0,,14.0,15.0,9.0,21.0,2.0,4.0,372.0,8.0,9.0,10.0,163.0,32.0,2.0,7.0,15.0,,17.0,3.0,7.0,2.0,9.0,4.0,,1.0,,3.0,2.0,1.0,1.0,,3.0,2.0,2.0,3.0,,1.0,,,,,,,2.0,,,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803221,2015-09-19 17:30:00,"Etihad Stadium, Manchester",53545,Home,Manchester City,West Ham United,1,2,L,1,2,0,0,2.0,67.0,1.0,1.0,7.0,,,25.0,17.0,9.0,6.0,1.0,2.0,212.0,12.0,17.0,1.0,2.0,22.0,1.0,8.0,186.0,156.0,67.0,,27.0,3.0,15.0,6.0,3.0,1.0,3.0,50.0,14.0,,1.0,17.0,12.0,15.0,34.0,1.0,413.0,,1.0,0.0,275.0,10.0,1.0,,1.0,1.0,74.0,130.0,15.0,80.0,,,38.0,16.0,,4.0,4.0,156.0,3.0,,4.0,191.0,905.0,17.0,10.0,13.0,579.0,22.0,1.0,12.0,1.0,1.0,,7.0,21.0,650.0,98.0,1.0,61366,10.0,195.0,5.0,33.0,207.0,5.0,1.0,1.0,16.0,4.0,58.0,1.0,,2.0,1.0,21.0,2.0,4.0,2.0,46.0,596.0,7.0,13.0,7.0,61.0,,0.0,,,3.0,,,4.0,0.0,8.0,,5.0,71.5,20.0,13.0,1.0,2.0,10.0,44.0,16.0,1.0,669.0,13.0,,9.0,16.0,9.0,57.0,4.0,5.0,512.0,14.0,15.0,24.0,227.0,29.0,1.0,12.0,19.0,,21.0,3.0,28.0,1.0,7.0,16.0,,,,4.0,1.0,1.0,1.0,2.0,4.0,,1.0,2.0,,,,,1.0,,,,1.0,1.0,3.0,2.0,,,,3.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803228,2015-09-26 12:45:00,"White Hart Lane, London",35867,Away,Manchester City,Tottenham Hotspur,1,4,L,1,1,0,0,1.0,58.0,1.0,,6.0,,,33.0,28.0,9.0,4.0,4.0,6.0,214.0,2.0,7.0,1.0,4.0,14.0,,8.0,98.0,186.0,65.0,2.0,22.0,2.0,15.0,3.0,4.0,1.0,2.0,25.0,9.0,,4.0,25.0,9.0,7.0,21.0,,236.0,,,0.0,201.0,6.0,1.0,1.0,2.0,1.0,71.0,99.0,11.0,61.0,,1.0,16.0,28.0,2.0,2.0,3.0,183.0,1.0,2.0,12.0,105.0,709.0,11.0,10.0,15.0,340.0,30.0,6.0,17.0,1.0,1.0,3.0,3.0,26.0,446.0,72.0,1.0,61366,5.0,129.0,,12.0,152.0,3.0,1.0,1.0,28.0,4.0,61.0,1.0,,1.0,1.0,6.0,3.0,1.0,2.0,64.0,363.0,17.0,13.0,18.0,75.0,,0.0,1.0,2.0,5.0,4.0,1.0,2.0,0.0,,1.0,1.0,54.0,20.0,4.0,3.0,1.0,8.0,42.0,9.0,1.0,478.0,15.0,,21.0,10.0,6.0,39.0,2.0,3.0,351.0,17.0,5.0,23.0,139.0,18.0,4.0,17.0,18.0,,15.0,3.0,14.0,4.0,12.0,9.0,,,,2.0,3.0,,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,4.0,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
8,803235,2015-10-03 15:00:00,"Etihad Stadium, Manchester",53850,Home,Manchester City,Newcastle United,6,1,W,1,1,0,0,2.0,68.0,2.0,1.0,2.0,1.0,,40.0,13.0,9.0,7.0,3.0,3.0,180.0,10.0,9.0,6.0,4.0,15.0,1.0,11.0,160.0,144.0,43.0,1.0,23.0,2.0,8.0,3.0,2.0,5.0,3.0,26.0,11.0,,2.0,10.0,3.0,8.0,23.0,1.0,375.0,,2.0,0.0,247.0,13.0,1.0,2.0,2.0,2.0,136.0,105.0,10.0,74.0,1.0,4.0,23.0,19.0,1.0,1.0,3.0,141.0,4.0,1.0,4.0,176.0,770.0,8.0,4.0,10.0,485.0,20.0,2.0,7.0,6.0,3.0,1.0,5.0,20.0,574.0,80.0,2.0,61366,6.0,133.0,1.0,20.0,164.0,4.0,4.0,2.0,19.0,2.0,55.0,5.0,,4.0,5.0,6.0,2.0,2.0,1.0,56.0,498.0,8.0,10.0,11.0,58.0,,0.0,1.0,1.0,3.0,2.0,4.0,1.0,0.0,8.0,4.0,2.0,64.3,19.0,8.0,1.0,4.0,4.0,42.0,6.0,2.0,590.0,10.0,,12.0,15.0,8.0,38.0,2.0,4.0,452.0,13.0,8.0,6.0,199.0,35.0,1.0,7.0,20.0,1.0,17.0,3.0,21.0,1.0,3.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,5.0,3.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,803244,2015-10-17 15:00:00,"Etihad Stadium, Manchester",54502,Home,Manchester City,Bournemouth,5,1,W,4,1,0,0,,54.0,3.0,,,,,37.0,29.0,4.0,3.0,,6.0,183.0,,17.0,5.0,,12.0,1.0,11.0,150.0,139.0,54.0,,16.0,,14.0,3.0,,3.0,3.0,7.0,11.0,,3.0,22.0,,13.0,33.0,,257.0,,,0.0,156.0,11.0,3.0,1.0,,2.0,84.0,91.0,9.0,92.0,5.0,1.0,7.0,25.0,,1.0,1.0,132.0,5.0,1.0,1.0,141.0,759.0,9.0,10.0,20.0,455.0,21.0,5.0,16.0,3.0,2.0,1.0,3.0,28.0,548.0,78.0,3.0,61366,6.0,213.0,3.0,6.0,241.0,9.0,3.0,2.0,25.0,7.0,50.0,4.0,,2.0,5.0,8.0,4.0,6.0,1.0,74.0,470.0,5.0,10.0,25.0,75.0,1.0,0.0,,1.0,7.0,,5.0,3.0,0.0,,3.0,1.0,54.4,25.0,6.0,1.0,2.0,,43.0,1.0,2.0,566.0,20.0,,7.0,16.0,5.0,20.0,,4.0,332.0,12.0,13.0,19.0,113.0,23.0,3.0,14.0,14.0,,16.0,3.0,25.0,3.0,14.0,1.0,,2.0,,3.0,,,,2.0,,1.0,2.0,1.0,2.0,4.0,2.0,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,803255,2015-10-25 14:05:00,"Old Trafford, Manchester",75329,Away,Manchester City,Manchester United,0,0,D,0,0,0,0,,51.0,,,1.0,,,28.0,30.0,3.0,,1.0,1.0,159.0,2.0,8.0,,4.0,4.0,,1.0,72.0,154.0,66.0,2.0,6.0,2.0,23.0,,,,,12.0,17.0,,1.0,25.0,4.0,5.0,27.0,,129.0,1.0,,0.0,112.0,13.0,,,1.0,,63.0,54.0,2.0,53.0,1.0,1.0,8.0,18.0,2.0,1.0,,149.0,,,4.0,102.0,583.0,3.0,9.0,15.0,260.0,28.0,6.0,17.0,,2.0,3.0,2.0,25.0,359.0,56.0,,61366,3.0,152.0,,6.0,171.0,7.0,,,18.0,10.0,67.0,,,1.0,,10.0,2.0,6.0,,65.0,279.0,17.0,13.0,28.0,80.0,,0.0,,1.0,6.0,1.0,,2.0,0.0,,,1.0,41.3,23.0,4.0,,1.0,3.0,45.0,4.0,,386.0,15.0,,12.0,14.0,2.0,17.0,2.0,2.0,227.0,5.0,4.0,15.0,63.0,14.0,1.0,16.0,28.0,,3.0,3.0,15.0,1.0,11.0,4.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
