gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attOboxBlocked,divingSave,attMissHighLeft,attBxLeft,attGoalLowRight,attPenPost,attFreekickTotal,postScoringAtt,attMissLeft,attIboxPost,attMissHighRight,penaltyWon,freekickTotal,hitWoodwork,punches,attFreekickTarget,goalsConceded,accurateFlickOn,attHdMiss,clearanceOffLine,attFreekickMiss,attPostRight,attHdGoal,goalsConcededIbox,handBall,goalAssistDeadball,attOneOnOne,interceptionsInBox,contentiousDecision,defenderGoals,attPenGoal,attSvHighRight,ptsGainedLosingPos,attSvHighLeft,attFreekickPost,attSvLowRight,attCmissLeft,attOboxPost,foulThrowIn,attGoalHighCentre,attOboxGoal,ownGoals,attFreekickGoal,attIboxOwnGoal,goalsConcededObox,attObxLeft,secondYellow,attCmissHighRight,attObxdLeft,attGoalLowCentre,subsGoals,attObpGoal,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,attPostLeft,attCmissHighLeft,goalFastbreak,attObxRight,attObxdRight,attLgCentre,attGoalHighRight
1,2367538,2023-08-11 20:00:00,"Turf Moor, Burnley",21572.0,Away,Manchester City,Burnley,3,0,W,2,0,0,1,1.0,2.0,60.0,1.0,5.0,1.0,34.0,6.0,3.0,7.0,14.0,1.0,2.0,2.0,189.0,4.0,3.0,3.0,4.0,14.0,1.0,1.0,8.0,195.0,107.0,44.0,17.0,13.0,4.0,1.0,2.0,1.0,1.0,3.0,15.0,12.0,1.0,6.0,4.0,17.0,46.0,259.0,1.0,0.0,138.0,8.0,1.0,1.0,1.0,3.0,1.0,53.0,51.0,10.0,137.0,2.0,11.0,14.0,3.0,5.0,2.0,107.0,2.0,5.0,185.0,860.0,9.0,2.0,23.0,2.0,4.0,619.0,24.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,13.0,690.0,61.0,3.0,1.0,2.0,91651,7.0,379.0,1.0,3.0,2.0,4.0,406.0,2.0,1.0,1.0,7.0,7.0,36.0,1.0,7.0,1.0,5.0,1.0,9.0,1.0,7.0,2.0,64.0,634.0,11.0,3.0,3.0,12.0,3.0,67.0,1.0,2.0,0.0,1.0,6.0,1.0,3.0,0.0,3.0,2.0,3.0,2.0,65.6,12.0,5.0,1.0,5.0,5.0,41.0,5.0,1.0,706.0,4.0,9.0,25.0,4.0,32.0,1.0,2.0,315.0,8.0,17.0,13.0,111.0,25.0,2.0,1.0,4.0,17.0,10.0,5.0,6.0,1.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367553,2023-08-19 20:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Newcastle United,1,0,W,1,0,0,0,1.0,,59.0,,4.0,,32.0,10.0,4.0,7.0,10.0,1.0,,2.0,176.0,1.0,14.0,1.0,3.0,13.0,,2.0,4.0,191.0,103.0,39.0,14.0,6.0,3.0,1.0,3.0,2.0,1.0,1.0,7.0,7.0,,10.0,2.0,14.0,59.0,307.0,1.0,0.0,156.0,13.0,1.0,1.0,2.0,1.0,1.0,63.0,80.0,10.0,143.0,2.0,6.0,10.0,4.0,2.0,1.0,103.0,,4.0,174.0,823.0,12.0,2.0,22.0,,4.0,594.0,20.0,2.0,6.0,1.0,2.0,1.0,3.0,3.0,19.0,663.0,49.0,3.0,,1.0,91651,4.0,305.0,,3.0,,1.0,323.0,4.0,1.0,,6.0,4.0,34.0,,4.0,1.0,3.0,1.0,11.0,3.0,4.0,,53.0,611.0,11.0,5.0,,5.0,,62.0,1.0,1.0,0.0,,,,1.0,0.0,,1.0,,,58.7,17.0,6.0,,3.0,7.0,41.0,3.0,1.0,684.0,4.0,5.0,34.0,3.0,21.0,2.0,2.0,368.0,7.0,13.0,3.0,118.0,28.0,,,6.0,11.0,13.0,,19.0,,6.0,3.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367567,2023-08-27 14:00:00,"Bramall Lane, Sheffield",31336.0,Away,Manchester City,Sheffield United,2,1,W,0,0,0,0,3.0,1.0,56.0,,5.0,,25.0,7.0,10.0,11.0,20.0,,1.0,3.0,170.0,9.0,9.0,2.0,6.0,25.0,,2.0,9.0,218.0,112.0,42.0,30.0,6.0,4.0,,,,2.0,4.0,35.0,8.0,3.0,7.0,8.0,11.0,31.0,427.0,,0.0,230.0,2.0,,1.0,3.0,1.0,,108.0,115.0,15.0,135.0,5.0,27.0,18.0,10.0,11.0,4.0,112.0,3.0,4.0,219.0,917.0,22.0,2.0,56.0,1.0,4.0,669.0,17.0,,1.0,2.0,,0.0,1.0,10.0,11.0,723.0,66.0,1.0,,,91651,13.0,267.0,4.0,15.0,2.0,,280.0,,,1.0,9.0,6.0,24.0,,3.0,2.0,3.0,2.0,13.0,2.0,4.0,4.0,38.0,685.0,9.0,6.0,1.0,4.0,2.0,71.0,,1.0,0.0,2.0,1.0,,2.0,0.0,8.0,1.0,1.0,5.0,79.5,10.0,5.0,,3.0,8.0,58.0,12.0,,742.0,4.0,5.0,19.0,13.0,49.0,1.0,8.0,497.0,14.0,10.0,12.0,195.0,31.0,1.0,,1.0,12.0,25.0,1.0,15.0,,9.0,12.0,1.0,3.0,,,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367576,2023-09-02 15:00:00,"Etihad Stadium, Manchester",52899.0,Home,Manchester City,Fulham,5,1,W,2,1,0,0,,3.0,49.0,3.0,1.0,1.0,36.0,10.0,,5.0,7.0,3.0,3.0,,175.0,3.0,12.0,5.0,3.0,5.0,1.0,,5.0,207.0,105.0,48.0,7.0,6.0,,,,1.0,2.0,,9.0,10.0,,10.0,3.0,3.0,48.0,265.0,,0.0,136.0,12.0,,1.0,,1.0,,68.0,78.0,4.0,148.0,1.0,6.0,13.0,,1.0,,105.0,1.0,5.0,203.0,875.0,2.0,,22.0,,8.0,638.0,14.0,1.0,8.0,3.0,1.0,2.0,,1.0,21.0,715.0,62.0,2.0,,,91651,6.0,394.0,,4.0,,,409.0,6.0,1.0,1.0,2.0,4.0,32.0,,4.0,1.0,2.0,3.0,9.0,1.0,4.0,,54.0,656.0,11.0,4.0,,4.0,1.0,66.0,,1.0,0.0,,5.0,3.0,5.0,0.0,2.0,2.0,,1.0,67.9,20.0,6.0,,2.0,1.0,44.0,4.0,,733.0,8.0,7.0,23.0,1.0,22.0,1.0,1.0,333.0,1.0,3.0,8.0,95.0,26.0,3.0,1.0,8.0,17.0,5.0,5.0,16.0,1.0,2.0,4.0,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367586,2023-09-16 15:00:00,"London Stadium, London",62475.0,Away,Manchester City,West Ham United,3,1,W,0,1,0,0,3.0,2.0,48.0,1.0,3.0,,25.0,5.0,11.0,15.0,18.0,2.0,2.0,4.0,141.0,5.0,7.0,3.0,4.0,24.0,,,15.0,213.0,96.0,33.0,29.0,12.0,10.0,,1.0,,3.0,4.0,25.0,7.0,2.0,5.0,7.0,6.0,41.0,447.0,,0.0,256.0,11.0,,2.0,2.0,,,76.0,92.0,21.0,130.0,1.0,19.0,16.0,11.0,4.0,2.0,96.0,7.0,5.0,220.0,860.0,20.0,1.0,51.0,5.0,7.0,638.0,22.0,,3.0,3.0,,2.0,1.0,3.0,13.0,688.0,67.0,2.0,,,88248,11.0,211.0,6.0,15.0,1.0,,218.0,7.0,1.0,1.0,6.0,2.0,41.0,,4.0,,5.0,3.0,9.0,1.0,2.0,2.0,33.0,653.0,7.0,4.0,1.0,,8.0,40.0,,,0.0,1.0,4.0,1.0,3.0,0.0,4.0,2.0,,5.0,68.4,13.0,4.0,3.0,5.0,9.0,33.0,11.0,,704.0,7.0,7.0,33.0,5.0,35.0,2.0,2.0,511.0,9.0,6.0,8.0,222.0,17.0,1.0,4.0,3.0,11.0,20.0,5.0,14.0,4.0,6.0,11.0,1.0,6.0,2.0,,2.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367596,2023-09-23 15:00:00,"Etihad Stadium, Manchester",53413.0,Home,Manchester City,Nottingham Forest,2,0,W,2,0,1,0,,1.0,49.0,,1.0,,29.0,23.0,3.0,2.0,4.0,3.0,1.0,2.0,154.0,1.0,8.0,2.0,5.0,5.0,1.0,,4.0,163.0,110.0,40.0,7.0,7.0,,,,1.0,2.0,,11.0,6.0,2.0,23.0,4.0,13.0,39.0,334.0,1.0,0.0,161.0,5.0,,1.0,,,3.0,83.0,79.0,4.0,110.0,,7.0,11.0,3.0,,,110.0,2.0,5.0,143.0,735.0,3.0,2.0,14.0,,6.0,488.0,21.0,3.0,13.0,2.0,1.0,3.0,4.0,1.0,15.0,538.0,82.0,2.0,,1.0,88248,4.0,176.0,1.0,7.0,1.0,,186.0,2.0,,1.0,6.0,8.0,34.0,,3.0,,3.0,2.0,16.0,5.0,4.0,1.0,53.0,509.0,17.0,4.0,,9.0,,64.0,,,0.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,57.4,12.0,7.0,1.0,3.0,2.0,39.0,6.0,3.0,570.0,6.0,8.0,20.0,1.0,19.0,,1.0,395.0,4.0,11.0,7.0,131.0,14.0,1.0,,13.0,8.0,5.0,3.0,18.0,,6.0,6.0,1.0,1.0,3.0,,,1.0,,2.0,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2367607,2023-09-30 15:00:00,"Molineux Stadium, Wolverhampton",31415.0,Away,Manchester City,Wolverhampton Wanderers,1,2,L,0,1,0,0,3.0,,39.0,,8.0,,13.0,7.0,11.0,6.0,12.0,,,3.0,148.0,5.0,12.0,1.0,9.0,17.0,,,8.0,159.0,112.0,47.0,23.0,5.0,3.0,,,,,2.0,21.0,6.0,4.0,7.0,4.0,5.0,22.0,396.0,,0.0,282.0,12.0,,1.0,1.0,5.0,,117.0,69.0,13.0,104.0,1.0,17.0,19.0,11.0,5.0,4.0,112.0,,4.0,186.0,773.0,13.0,,46.0,1.0,4.0,505.0,16.0,,5.0,,,5.0,2.0,4.0,25.0,575.0,78.0,2.0,1.0,,91651,8.0,135.0,,7.0,,5.0,147.0,8.0,1.0,1.0,5.0,3.0,38.0,,4.0,,2.0,,12.0,,3.0,2.0,21.0,526.0,18.0,9.0,4.0,4.0,4.0,38.0,,1.0,0.0,,,,,0.0,4.0,,1.0,3.0,68.1,24.0,8.0,,2.0,10.0,31.0,6.0,,597.0,4.0,7.0,14.0,5.0,45.0,1.0,1.0,471.0,14.0,5.0,2.0,231.0,13.0,,,5.0,15.0,13.0,3.0,17.0,,5.0,6.0,,2.0,,,3.0,,,1.0,,1.0,,1.0,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,1.0,,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,2367608,2023-10-08 16:30:00,"Emirates Stadium, London",60233.0,Away,Manchester City,Arsenal,0,1,L,0,0,0,0,1.0,,48.0,,1.0,,19.0,14.0,1.0,2.0,3.0,1.0,,,136.0,1.0,8.0,,1.0,4.0,,,1.0,143.0,113.0,46.0,4.0,5.0,1.0,,,,,1.0,10.0,12.0,,14.0,4.0,10.0,32.0,175.0,,0.0,85.0,7.0,,,,,,20.0,39.0,2.0,104.0,,6.0,21.0,1.0,2.0,1.0,113.0,2.0,6.0,138.0,669.0,3.0,3.0,16.0,,5.0,436.0,23.0,,10.0,,,3.0,3.0,2.0,13.0,504.0,37.0,,,,97299,2.0,277.0,2.0,4.0,,,305.0,5.0,,1.0,7.0,5.0,39.0,1.0,1.0,,5.0,,12.0,6.0,4.0,2.0,41.0,451.0,8.0,7.0,1.0,7.0,2.0,49.0,,,0.0,,5.0,1.0,,0.0,,,1.0,,51.0,11.0,3.0,,5.0,1.0,34.0,4.0,1.0,521.0,5.0,10.0,13.0,2.0,21.0,1.0,1.0,226.0,2.0,9.0,8.0,56.0,17.0,,2.0,10.0,22.0,2.0,3.0,18.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,2367623,2023-10-21 15:00:00,"Etihad Stadium, Manchester",53466.0,Home,Manchester City,Brighton and Hove Albion,2,1,W,2,0,1,0,1.0,1.0,44.0,,,,31.0,9.0,3.0,4.0,6.0,2.0,2.0,3.0,167.0,,10.0,2.0,1.0,7.0,1.0,1.0,6.0,145.0,97.0,41.0,10.0,6.0,2.0,1.0,,,1.0,2.0,10.0,7.0,2.0,9.0,2.0,10.0,44.0,292.0,,0.0,170.0,9.0,1.0,1.0,,,1.0,110.0,60.0,4.0,132.0,2.0,8.0,21.0,4.0,1.0,1.0,97.0,1.0,4.0,165.0,749.0,6.0,2.0,23.0,,10.0,530.0,10.0,,5.0,1.0,,2.0,,3.0,13.0,591.0,62.0,,,,97299,2.0,254.0,,7.0,,,271.0,5.0,,2.0,11.0,4.0,32.0,,,2.0,2.0,2.0,11.0,1.0,4.0,1.0,53.0,546.0,11.0,7.0,,3.0,,60.0,1.0,,0.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,54.5,13.0,5.0,1.0,2.0,,43.0,2.0,1.0,609.0,10.0,5.0,23.0,4.0,20.0,,3.0,348.0,6.0,9.0,6.0,137.0,24.0,1.0,1.0,5.0,14.0,9.0,3.0,15.0,1.0,11.0,2.0,1.0,,,,4.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,2367635,2023-10-29 15:30:00,"Old Trafford, Manchester",73502.0,Away,Manchester City,Manchester United,3,0,W,1,0,0,0,3.0,3.0,48.0,1.0,1.0,,39.0,9.0,8.0,10.0,12.0,3.0,2.0,2.0,162.0,2.0,12.0,3.0,6.0,14.0,,1.0,10.0,171.0,109.0,43.0,21.0,7.0,4.0,,,,2.0,2.0,19.0,9.0,3.0,9.0,8.0,7.0,53.0,327.0,1.0,0.0,214.0,5.0,,1.0,,1.0,,78.0,103.0,10.0,110.0,2.0,11.0,11.0,9.0,3.0,2.0,109.0,6.0,6.0,162.0,771.0,12.0,2.0,42.0,2.0,12.0,526.0,18.0,2.0,6.0,2.0,,1.0,1.0,4.0,12.0,586.0,45.0,1.0,,2.0,97299,5.0,217.0,4.0,7.0,,,230.0,2.0,,1.0,7.0,5.0,30.0,,3.0,,3.0,2.0,13.0,1.0,3.0,1.0,55.0,542.0,9.0,4.0,,8.0,1.0,67.0,,,0.0,,7.0,2.0,3.0,0.0,2.0,2.0,,3.0,60.5,10.0,8.0,2.0,3.0,5.0,50.0,12.0,,605.0,12.0,10.0,39.0,6.0,39.0,,4.0,394.0,8.0,6.0,11.0,183.0,19.0,2.0,2.0,6.0,12.0,17.0,2.0,16.0,2.0,7.0,12.0,1.0,4.0,2.0,2.0,2.0,1.0,,2.0,,1.0,,,1.0,2.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
