gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attIboxBlocked,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,attIboxTarget,attObxLeft,attBxRight,attOboxTarget,cleanSheet,attSvLowLeft,freekickCross,goodHighClaim,freekickTotal,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,defenderGoals,accurateKeeperThrows,attAssistSetplay,attGoalHighLeft,keeperThrows,blockedScoringAtt,totalHighClaim,penaltySave,attRfTarget,attSvLowCentre,penaltyConceded,attSvLowRight,punches,penaltyFaced,goalsConcededObox,attGoalLowCentre,shotFastbreak,penaltyWon,totalFastbreak,attPenGoal,attFastbreak,ptsGainedLosingPos,attMissHighLeft,attBxLeft,attPenTarget,attHdTarget,attObxRight,attSvHighCentre,attMissHighRight,midfielderGoals,goalFastbreak,attOneOnOne,attSvHighLeft,attGoalHighRight,attOboxGoal,attObxdLeft,attLfGoal,hitWoodwork,attCmissHighLeft,foulThrowIn,attGoalLowRight,clearanceOffLine,postScoringAtt,attIboxPost,attPostLeft,errorLeadToShot,attObpGoal,attFreekickTarget,secondYellow,attFreekickMiss,ownGoals,attIboxOwnGoal,attHdPost,attPostHigh,attCmissHighRight,errorLeadToGoal,attObxdRight,attSvHighRight,attPostRight,attFreekickGoal,penGoalsConceded,attLgCentre
1,918893,2017-08-11 19:45:00,"Emirates Stadium, London",59387,Away,Leicester City,Arsenal,3,4,L,2,2,0,0,2.0,53.0,1.0,3.0,2.0,1.0,32.0,24.0,1.0,1.0,5.0,6.0,134.0,4.0,5.0,3.0,4.0,1.0,3.0,44.0,158.0,48.0,6.0,18.0,1.0,1.0,1.0,18.0,8.0,24.0,2.0,12.0,26.0,104.0,0.0,103.0,12.0,4.0,68.0,41.0,3.0,35.0,1.0,1.0,16.0,19.0,1.0,2.0,5.0,1.0,158.0,2.0,2.0,15.0,50.0,459.0,1.0,16.0,11.0,11.0,145.0,24.0,5.0,12.0,3.0,1.0,1.0,8.0,1.0,31.0,228.0,60.0,1.0,95658,2.0,67.0,11.0,91.0,6.0,1.0,19.0,11.0,69.0,1.0,2.0,3.0,1.0,10.0,12.0,6.0,1.0,70.0,167.0,9.0,16.0,27.0,58.0,1.0,0.0,2.0,9.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,1.0,3.0,30.0,21.0,1.0,10.0,26.0,4.0,263.0,11.0,12.0,15.0,3.0,27.0,1.0,2.0,190.0,2.0,9.0,18.0,52.0,13.0,3.0,5.0,12.0,17.0,2.0,4.0,3.0,3.0,16.0,3.0,5.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918906,2017-08-19 15:00:00,"King Power Stadium, Leicester",31902,Home,Leicester City,Brighton and Hove Albion,2,0,W,1,0,0,0,1.0,60.0,1.0,2.0,1.0,1.0,28.0,16.0,6.0,6.0,7.0,2.0,155.0,4.0,8.0,2.0,8.0,2.0,4.0,107.0,141.0,46.0,14.0,16.0,,,1.0,19.0,9.0,16.0,5.0,8.0,34.0,138.0,0.0,92.0,8.0,1.0,68.0,65.0,5.0,72.0,,2.0,14.0,9.0,7.0,,3.0,2.0,141.0,1.0,1.0,1.0,93.0,593.0,6.0,10.0,21.0,6.0,322.0,22.0,4.0,9.0,1.0,,1.0,3.0,3.0,17.0,409.0,49.0,,95658,4.0,198.0,9.0,217.0,4.0,1.0,9.0,5.0,39.0,,1.0,1.0,1.0,15.0,4.0,1.0,1.0,63.0,332.0,10.0,5.0,21.0,82.0,,0.0,,2.0,,2.0,,3.0,0.0,3.0,1.0,,2.0,45.2,13.0,1.0,5.0,41.0,6.0,427.0,6.0,5.0,17.0,4.0,26.0,1.0,2.0,229.0,6.0,7.0,17.0,55.0,24.0,1.0,3.0,9.0,11.0,1.0,,8.0,2.0,14.0,,3.0,4.0,6.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918918,2017-08-26 17:30:00,"Old Trafford, Manchester",75021,Away,Leicester City,Manchester United,0,2,L,0,0,0,0,,60.0,,2.0,,,26.0,41.0,6.0,4.0,5.0,5.0,125.0,3.0,10.0,,10.0,1.0,4.0,75.0,132.0,63.0,11.0,22.0,3.0,,2.0,10.0,14.0,41.0,2.0,3.0,21.0,119.0,0.0,98.0,7.0,4.0,45.0,43.0,6.0,30.0,1.0,3.0,8.0,13.0,6.0,,5.0,3.0,132.0,1.0,1.0,12.0,70.0,493.0,7.0,11.0,13.0,13.0,192.0,24.0,9.0,20.0,,3.0,2.0,7.0,4.0,14.0,268.0,54.0,,95658,1.0,92.0,3.0,109.0,2.0,,13.0,11.0,54.0,,,3.0,,13.0,10.0,3.0,,60.0,208.0,8.0,17.0,25.0,71.0,,0.0,2.0,9.0,3.0,,2.0,5.0,0.0,2.0,,,1.0,30.9,9.0,1.0,4.0,32.0,3.0,300.0,13.0,5.0,12.0,5.0,19.0,1.0,2.0,201.0,6.0,2.0,24.0,55.0,19.0,,7.0,20.0,22.0,,2.0,9.0,3.0,14.0,,7.0,7.0,3.0,1.0,1.0,1.0,,,,1.0,2.0,,2.0,2.0,,2.0,,,,,1.0,,1.0,,,3.0,3.0,,4.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918927,2017-09-09 15:00:00,"King Power Stadium, Leicester",31923,Home,Leicester City,Chelsea,1,2,L,0,1,0,0,1.0,64.0,,3.0,,,37.0,21.0,4.0,2.0,4.0,4.0,144.0,3.0,7.0,1.0,3.0,,2.0,86.0,145.0,45.0,8.0,7.0,1.0,,2.0,21.0,17.0,21.0,2.0,3.0,30.0,154.0,0.0,102.0,11.0,3.0,75.0,59.0,1.0,42.0,2.0,1.0,19.0,16.0,4.0,,7.0,1.0,145.0,1.0,1.0,9.0,75.0,546.0,3.0,13.0,17.0,12.0,243.0,33.0,9.0,10.0,,1.0,1.0,5.0,2.0,23.0,327.0,51.0,,95658,4.0,108.0,9.0,127.0,6.0,1.0,16.0,9.0,48.0,,,1.0,,14.0,7.0,6.0,,65.0,259.0,8.0,11.0,24.0,64.0,1.0,0.0,2.0,9.0,1.0,1.0,2.0,1.0,0.0,3.0,,,1.0,40.4,21.0,1.0,4.0,34.0,2.0,347.0,12.0,9.0,20.0,3.0,28.0,,2.0,241.0,5.0,3.0,12.0,61.0,19.0,1.0,5.0,10.0,18.0,,1.0,3.0,3.0,18.0,,5.0,10.0,2.0,1.0,,,4.0,,,3.0,1.0,,,,,1.0,3.0,3.0,,,1.0,,1.0,,,5.0,,,5.0,3.0,3.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918936,2017-09-16 15:00:00,"John Smith's Stadium, Huddersfield",24169,Away,Leicester City,Huddersfield Town,1,1,D,0,0,0,0,1.0,65.0,,,,,25.0,38.0,3.0,8.0,7.0,2.0,151.0,3.0,13.0,1.0,7.0,,1.0,73.0,153.0,54.0,10.0,24.0,3.0,,1.0,9.0,4.0,38.0,4.0,7.0,26.0,131.0,0.0,92.0,6.0,,40.0,62.0,3.0,40.0,1.0,1.0,5.0,18.0,3.0,,3.0,1.0,153.0,,1.0,7.0,80.0,558.0,6.0,15.0,23.0,9.0,238.0,31.0,7.0,24.0,,3.0,1.0,6.0,4.0,35.0,328.0,57.0,,95658,3.0,119.0,2.0,144.0,4.0,1.0,18.0,4.0,54.0,,1.0,1.0,,21.0,8.0,1.0,1.0,66.0,247.0,6.0,8.0,36.0,85.0,,0.0,3.0,8.0,2.0,1.0,1.0,4.0,0.0,1.0,,,,40.2,26.0,,4.0,46.0,4.0,344.0,9.0,9.0,14.0,4.0,20.0,2.0,3.0,209.0,2.0,7.0,27.0,53.0,20.0,1.0,6.0,24.0,8.0,,1.0,6.0,3.0,20.0,,6.0,10.0,4.0,,,3.0,2.0,,1.0,2.0,,,3.0,,,,,2.0,1.0,,,,,,,2.0,1.0,,2.0,5.0,2.0,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918947,2017-09-23 17:30:00,"King Power Stadium, Leicester",32004,Home,Leicester City,Liverpool,2,3,L,1,2,0,0,2.0,67.0,1.0,1.0,,,22.0,26.0,2.0,2.0,9.0,3.0,169.0,5.0,10.0,2.0,8.0,,7.0,67.0,196.0,61.0,12.0,30.0,1.0,1.0,,26.0,14.0,26.0,2.0,1.0,39.0,139.0,0.0,125.0,13.0,1.0,72.0,66.0,7.0,43.0,2.0,1.0,24.0,12.0,3.0,,7.0,,196.0,1.0,1.0,13.0,81.0,590.0,5.0,22.0,15.0,9.0,224.0,23.0,5.0,11.0,1.0,1.0,3.0,8.0,1.0,41.0,334.0,72.0,,95658,5.0,103.0,14.0,121.0,6.0,1.0,12.0,8.0,68.0,,1.0,4.0,1.0,19.0,10.0,4.0,1.0,64.0,237.0,13.0,12.0,25.0,91.0,,0.0,4.0,6.0,2.0,2.0,3.0,4.0,0.0,4.0,,1.0,3.0,43.3,30.0,1.0,5.0,35.0,3.0,360.0,9.0,8.0,14.0,2.0,43.0,1.0,2.0,265.0,7.0,,24.0,61.0,32.0,2.0,3.0,11.0,15.0,1.0,2.0,7.0,3.0,16.0,,3.0,8.0,3.0,,,1.0,5.0,,,2.0,4.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,,2.0,,,2.0,2.0,,2.0,3.0,1.0,,4.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918953,2017-09-30 15:00:00,"Vitality Stadium, Bournemouth",10444,Away,Leicester City,Bournemouth,0,0,D,0,0,0,0,,82.0,,3.0,,,27.0,38.0,6.0,3.0,2.0,4.0,175.0,1.0,10.0,,3.0,1.0,1.0,71.0,172.0,61.0,8.0,24.0,,,1.0,15.0,13.0,38.0,5.0,8.0,35.0,114.0,0.0,119.0,10.0,2.0,62.0,58.0,2.0,41.0,,2.0,10.0,18.0,6.0,,5.0,3.0,172.0,,,10.0,60.0,540.0,3.0,13.0,6.0,13.0,210.0,34.0,5.0,15.0,,,0.0,4.0,1.0,18.0,315.0,73.0,,95658,2.0,108.0,5.0,127.0,7.0,,18.0,12.0,60.0,,,3.0,,10.0,9.0,6.0,1.0,92.0,221.0,6.0,14.0,38.0,91.0,,0.0,2.0,7.0,1.0,,,2.0,0.0,1.0,,1.0,,39.1,13.0,,6.0,32.0,5.0,347.0,13.0,8.0,20.0,4.0,27.0,,1.0,235.0,4.0,5.0,27.0,59.0,26.0,,5.0,15.0,19.0,,,6.0,3.0,14.0,,5.0,6.0,5.0,,,1.0,,,,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,4.0,,,4.0,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918966,2017-10-16 20:00:00,"King Power Stadium, Leicester",30203,Home,Leicester City,West Bromwich Albion,1,1,D,0,0,0,0,,83.0,1.0,,,,27.0,18.0,3.0,2.0,8.0,,175.0,4.0,14.0,1.0,8.0,,3.0,120.0,186.0,60.0,11.0,20.0,3.0,1.0,,29.0,14.0,18.0,4.0,6.0,40.0,204.0,0.0,129.0,13.0,,77.0,61.0,5.0,48.0,1.0,2.0,25.0,16.0,3.0,,8.0,1.0,186.0,1.0,,1.0,143.0,688.0,7.0,9.0,22.0,6.0,362.0,44.0,2.0,11.0,1.0,3.0,2.0,1.0,3.0,35.0,478.0,73.0,,95658,4.0,167.0,13.0,201.0,11.0,1.0,16.0,2.0,55.0,,,1.0,1.0,14.0,4.0,,1.0,66.0,367.0,6.0,7.0,22.0,77.0,,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,4.0,1.0,,,57.0,25.0,,5.0,40.0,4.0,486.0,6.0,11.0,19.0,4.0,35.0,,3.0,314.0,6.0,6.0,19.0,75.0,30.0,,2.0,11.0,21.0,,,7.0,3.0,18.0,,2.0,8.0,4.0,,,3.0,5.0,1.0,,1.0,1.0,,1.0,1.0,,,4.0,1.0,,,1.0,2.0,1.0,1.0,,2.0,,,3.0,4.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918980,2017-10-21 15:00:00,"Liberty Stadium, Swansea",20521,Away,Leicester City,Swansea City,2,1,W,1,0,0,0,1.0,61.0,,1.0,,,34.0,29.0,6.0,1.0,5.0,3.0,164.0,4.0,13.0,2.0,9.0,1.0,6.0,80.0,152.0,62.0,11.0,18.0,,1.0,1.0,17.0,16.0,29.0,5.0,2.0,26.0,124.0,0.0,109.0,9.0,1.0,45.0,38.0,7.0,54.0,2.0,1.0,12.0,17.0,6.0,,3.0,3.0,152.0,3.0,,7.0,83.0,578.0,8.0,8.0,25.0,13.0,261.0,29.0,6.0,16.0,1.0,,1.0,6.0,2.0,22.0,356.0,62.0,1.0,95658,4.0,156.0,8.0,178.0,7.0,1.0,17.0,13.0,49.0,,1.0,3.0,1.0,6.0,12.0,7.0,1.0,86.0,276.0,6.0,5.0,35.0,83.0,,0.0,1.0,7.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,44.2,15.0,,,34.0,6.0,381.0,13.0,6.0,12.0,3.0,28.0,,,220.0,9.0,2.0,20.0,53.0,20.0,1.0,4.0,16.0,23.0,,1.0,11.0,2.0,24.0,,4.0,8.0,6.0,,,1.0,1.0,1.0,,1.0,3.0,,,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,,2.0,,,2.0,2.0,1.0,,4.0,1.0,,2.0,1.0,,,1.0,1.0,,2.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,918988,2017-10-29 16:00:00,"King Power Stadium, Leicester",31891,Home,Leicester City,Everton,2,0,W,2,0,0,0,1.0,68.0,,1.0,,,33.0,31.0,1.0,1.0,7.0,2.0,141.0,3.0,8.0,2.0,8.0,1.0,3.0,73.0,159.0,52.0,9.0,22.0,,2.0,2.0,12.0,8.0,31.0,3.0,4.0,25.0,112.0,0.0,67.0,6.0,1.0,83.0,36.0,3.0,50.0,,2.0,9.0,21.0,2.0,1.0,,1.0,159.0,1.0,,7.0,60.0,529.0,5.0,18.0,14.0,14.0,201.0,34.0,9.0,16.0,2.0,,0.0,6.0,5.0,20.0,294.0,46.0,,95658,5.0,105.0,8.0,134.0,6.0,2.0,21.0,11.0,53.0,,,4.0,2.0,13.0,8.0,3.0,,80.0,214.0,10.0,6.0,31.0,81.0,1.0,0.0,1.0,10.0,1.0,1.0,,5.0,0.0,2.0,1.0,1.0,,40.4,17.0,,,36.0,3.0,324.0,14.0,13.0,8.0,5.0,15.0,1.0,4.0,202.0,7.0,4.0,20.0,29.0,24.0,1.0,3.0,16.0,14.0,,,7.0,3.0,14.0,,3.0,15.0,3.0,,,1.0,2.0,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,3.0,,,,1.0,,2.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
