gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attLfTarget,goals,attPenTarget,attObxLeft,shotFastbreak,goalAssistOpenplay,attGoalHighRight,attOboxGoal,penaltyWon,midfielderGoals,goodHighClaim,secondYellow,attHdTarget,goalAssist,accurateThroughBall,sixYardBlock,attSetpiece,penaltyConceded,attObxdLeft,attRfGoal,attFastbreak,attSvLowRight,attSvHighCentre,penaltyFaced,totalHighClaim,penGoalsConceded,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,fouledFinalThird,freekickCross,attLgCentre,totalKeeperSweeper,attBxCentre,defenderGoals,attPenGoal,punches,attIboxGoal,goalAssistIntentional,attHdGoal,attOpenplay,attLfGoal,cleanSheet,attCmissHigh,goalsOpenplay,attObxRight,forwardGoals,attGoalLowLeft,attMissHighRight,errorLeadToShot,totalPullBack,attGoalHighLeft,foulThrowIn,accurateKeeperSweeper,attGoalLowCentre,postScoringAtt,attIboxPost,attSvHighLeft,hitWoodwork,attPostRight,attemptsIbox,saves,attCmissRight,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attCorner,attBxLeft,attGoalHighCentre,accuratePullBack,attFreekickPost,attOboxPost,attPostHigh,attBxRight,attCmissLeft,attCmissHighRight,ownGoals,attIboxOwnGoal,goalFastbreak,totalFastbreak
1,284000,2009-08-15 15:00:00,"Villa Park, Birmingham",35578,Home,Aston Villa,Wigan Athletic,0,2,L,0,1,0,0,1.0,2.0,49.0,3.0,1.0,21.0,34.0,8.0,3.0,3.0,6.0,8.0,7.0,3.0,175.0,67.0,3.0,12.0,1.0,15.0,1.0,1.0,1.0,23.0,29.0,2.0,18.0,4.0,4.0,15.0,105.0,1.0,0.0,113.0,14.0,2.0,1.0,40.0,46.0,4.0,1.0,3.0,19.0,3.0,11.0,5.0,159.0,9.0,533.0,6.0,20.0,12.0,19.0,1.0,13.0,18.0,2.0,9.0,3.0,28.0,82.0,6808,65.0,7.0,87.0,9.0,56.0,1.0,1.0,2.0,12.0,5.0,2.0,50.0,164.0,16.0,11.0,1.0,37.0,94.0,0.0,1.0,6.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,47.0,19.0,2.0,4.0,2.0,2.0,1.0,38.0,4.0,274.0,12.0,2.0,11.0,8.0,7.0,22.0,3.0,2.0,210.0,7.0,4.0,10.0,56.0,18.0,1.0,10.0,33.0,1.0,3.0,15.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284016,2009-11-04 19:45:00,"Boleyn Ground, London",30024,Away,Aston Villa,West Ham United,1,2,L,0,1,1,0,,,50.0,3.0,3.0,22.0,42.0,7.0,3.0,5.0,7.0,6.0,12.0,8.0,168.0,55.0,1.0,19.0,4.0,11.0,4.0,,1.0,34.0,15.0,3.0,15.0,14.0,6.0,20.0,120.0,,0.0,111.0,16.0,3.0,3.0,76.0,37.0,9.0,2.0,,20.0,1.0,4.0,1.0,141.0,12.0,590.0,7.0,17.0,15.0,24.0,1.0,6.0,25.0,3.0,5.0,3.0,25.0,71.0,8380,107.0,13.0,118.0,17.0,52.0,2.0,3.0,8.0,8.0,10.0,2.0,45.0,220.0,11.0,5.0,4.0,26.0,83.0,0.0,,6.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,45.8,18.0,2.0,3.0,8.0,7.0,,41.0,14.0,297.0,14.0,1.0,10.0,9.0,4.0,19.0,3.0,3.0,213.0,11.0,6.0,19.0,69.0,13.0,1.0,10.0,19.0,2.0,2.0,16.0,,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284025,2009-08-24 20:00:00,"Anfield, Liverpool",43667,Away,Aston Villa,Liverpool,3,1,W,2,0,0,0,,,36.0,4.0,,16.0,48.0,3.0,,,6.0,5.0,5.0,4.0,159.0,50.0,2.0,8.0,3.0,16.0,2.0,2.0,1.0,18.0,15.0,,23.0,4.0,11.0,22.0,110.0,,0.0,102.0,11.0,5.0,,36.0,62.0,4.0,,,14.0,2.0,2.0,1.0,134.0,14.0,509.0,4.0,11.0,24.0,14.0,,2.0,21.0,2.0,6.0,1.0,35.0,80.0,6808,82.0,11.0,93.0,14.0,55.0,1.0,3.0,2.0,10.0,3.0,,45.0,186.0,14.0,7.0,,18.0,84.0,0.0,,10.0,6.0,1.0,4.0,0.0,5.0,1.0,3.0,32.6,24.0,,,2.0,3.0,1.0,31.0,4.0,262.0,22.0,,17.0,5.0,1.0,12.0,1.0,,187.0,5.0,8.0,8.0,55.0,15.0,4.0,10.0,23.0,1.0,1.0,9.0,,4.0,4.0,,3.0,,,,,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284030,2009-08-30 16:00:00,"Villa Park, Birmingham",32917,Home,Aston Villa,Fulham,2,0,W,1,0,0,0,,,42.0,,1.0,35.0,26.0,4.0,4.0,,7.0,4.0,8.0,2.0,153.0,45.0,,10.0,2.0,13.0,1.0,,3.0,29.0,19.0,,16.0,9.0,15.0,28.0,155.0,,0.0,112.0,12.0,,,70.0,54.0,4.0,1.0,,20.0,,11.0,2.0,143.0,4.0,600.0,5.0,8.0,19.0,12.0,,3.0,13.0,1.0,3.0,4.0,30.0,79.0,6808,165.0,7.0,179.0,7.0,43.0,2.0,5.0,4.0,4.0,3.0,2.0,59.0,313.0,9.0,1.0,2.0,20.0,77.0,0.0,,4.0,,,2.0,0.0,3.0,2.0,3.0,44.1,22.0,2.0,3.0,4.0,3.0,,35.0,9.0,400.0,19.0,,8.0,13.0,5.0,18.0,4.0,3.0,250.0,3.0,11.0,8.0,67.0,17.0,1.0,7.0,24.0,,1.0,13.0,,1.0,9.0,,2.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,3.0,2.0,,,4.0,,,,1.0,,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284040,2009-09-13 12:00:00,"St. Andrew's @ Knighthead Park, Birmingham",25196,Away,Aston Villa,Birmingham City,1,0,W,0,0,0,0,,,28.0,3.0,2.0,28.0,53.0,4.0,1.0,,7.0,6.0,12.0,2.0,188.0,51.0,,13.0,2.0,9.0,1.0,,2.0,16.0,18.0,,27.0,1.0,14.0,38.0,119.0,,0.0,123.0,20.0,3.0,,54.0,53.0,6.0,2.0,3.0,15.0,,8.0,2.0,162.0,4.0,636.0,8.0,11.0,4.0,9.0,,5.0,35.0,2.0,5.0,6.0,31.0,89.0,8380,177.0,6.0,199.0,8.0,55.0,3.0,3.0,5.0,9.0,2.0,1.0,63.0,289.0,10.0,7.0,3.0,29.0,108.0,0.0,,7.0,,,1.0,0.0,6.0,,3.0,49.7,20.0,1.0,,5.0,4.0,,49.0,1.0,403.0,4.0,,15.0,15.0,7.0,22.0,1.0,5.0,220.0,8.0,12.0,13.0,62.0,12.0,3.0,14.0,22.0,,1.0,10.0,,3.0,1.0,,1.0,,,2.0,1.0,,,,,,,1.0,1.0,1.0,,3.0,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284051,2009-09-19 15:00:00,"Villa Park, Birmingham",35979,Home,Aston Villa,Portsmouth,2,0,W,2,0,0,0,,,45.0,5.0,,30.0,18.0,4.0,1.0,,4.0,5.0,1.0,3.0,150.0,44.0,1.0,6.0,2.0,16.0,1.0,,,22.0,9.0,,12.0,4.0,11.0,27.0,119.0,,0.0,114.0,17.0,3.0,1.0,48.0,40.0,1.0,,,18.0,1.0,4.0,1.0,144.0,3.0,509.0,,10.0,10.0,12.0,,7.0,12.0,2.0,5.0,,29.0,67.0,8380,106.0,11.0,124.0,15.0,63.0,3.0,2.0,9.0,14.0,5.0,1.0,54.0,221.0,13.0,11.0,,22.0,72.0,0.0,,5.0,1.0,,6.0,0.0,2.0,1.0,,49.0,17.0,,2.0,10.0,2.0,,37.0,7.0,302.0,8.0,,11.0,12.0,1.0,27.0,2.0,,200.0,5.0,9.0,14.0,66.0,17.0,,9.0,12.0,,2.0,13.0,,,7.0,1.0,2.0,,,,1.0,,1.0,1.0,1.0,5.0,,,1.0,,,1.0,,,2.0,,,,,5.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284061,2009-09-26 15:00:00,"Ewood Park, Blackburn",25172,Away,Aston Villa,Blackburn Rovers,1,2,L,1,1,0,1,,2.0,28.0,,,30.0,46.0,3.0,2.0,3.0,3.0,5.0,6.0,4.0,174.0,64.0,,8.0,,29.0,1.0,1.0,1.0,27.0,14.0,2.0,19.0,3.0,6.0,18.0,118.0,,0.0,97.0,13.0,2.0,1.0,46.0,45.0,3.0,,1.0,24.0,,11.0,1.0,147.0,16.0,532.0,5.0,18.0,6.0,12.0,1.0,6.0,29.0,2.0,6.0,3.0,27.0,76.0,8380,106.0,7.0,131.0,11.0,60.0,1.0,2.0,4.0,6.0,6.0,1.0,53.0,221.0,14.0,6.0,,22.0,81.0,0.0,,6.0,2.0,2.0,5.0,0.0,3.0,1.0,,52.5,17.0,,1.0,4.0,,,36.0,5.0,312.0,6.0,,9.0,9.0,4.0,20.0,,3.0,208.0,6.0,6.0,25.0,50.0,6.0,3.0,9.0,20.0,2.0,1.0,10.0,1.0,3.0,5.0,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284071,2009-10-05 20:00:00,"Villa Park, Birmingham",37924,Home,Aston Villa,Manchester City,1,1,D,1,0,0,0,,,61.0,1.0,4.0,23.0,32.0,3.0,1.0,,10.0,4.0,11.0,1.0,176.0,62.0,,12.0,1.0,16.0,,,3.0,26.0,26.0,,17.0,5.0,14.0,34.0,149.0,,0.0,151.0,12.0,,,77.0,42.0,5.0,3.0,2.0,21.0,,9.0,2.0,161.0,6.0,665.0,7.0,22.0,33.0,16.0,1.0,11.0,16.0,1.0,6.0,6.0,24.0,108.0,8380,110.0,10.0,130.0,9.0,59.0,1.0,2.0,3.0,6.0,7.0,,55.0,249.0,8.0,7.0,3.0,34.0,95.0,0.0,,6.0,2.0,1.0,5.0,0.0,7.0,,4.0,43.8,22.0,3.0,4.0,3.0,5.0,,48.0,6.0,364.0,33.0,,12.0,15.0,6.0,27.0,3.0,4.0,260.0,7.0,14.0,17.0,77.0,29.0,3.0,9.0,33.0,1.0,2.0,16.0,,3.0,6.0,,1.0,,,1.0,,,,,,4.0,,,1.0,,1.0,,,,,1.0,,,,4.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284081,2009-10-17 12:45:00,"Villa Park, Birmingham",39047,Home,Aston Villa,Chelsea,2,1,W,1,1,0,0,1.0,,50.0,2.0,1.0,25.0,34.0,2.0,3.0,,8.0,1.0,6.0,3.0,161.0,64.0,,9.0,2.0,13.0,1.0,,1.0,31.0,26.0,,19.0,6.0,5.0,25.0,102.0,,0.0,103.0,19.0,3.0,,69.0,37.0,4.0,2.0,1.0,25.0,,9.0,,146.0,8.0,536.0,4.0,18.0,23.0,19.0,,7.0,12.0,2.0,7.0,2.0,30.0,66.0,8380,74.0,14.0,89.0,10.0,63.0,3.0,4.0,7.0,13.0,5.0,,44.0,168.0,13.0,12.0,1.0,22.0,77.0,0.0,,9.0,4.0,1.0,5.0,0.0,6.0,2.0,4.0,34.5,23.0,2.0,3.0,7.0,3.0,,39.0,6.0,255.0,23.0,,12.0,14.0,3.0,20.0,2.0,3.0,197.0,1.0,5.0,17.0,57.0,16.0,2.0,5.0,33.0,,1.0,8.0,1.0,2.0,6.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,2.0,,1.0,2.0,1.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,284099,2009-10-24 12:45:00,"Molineux Stadium, Wolverhampton",28734,Away,Aston Villa,Wolverhampton Wanderers,1,1,D,0,0,0,0,,1.0,42.0,,4.0,28.0,49.0,2.0,2.0,1.0,3.0,5.0,8.0,3.0,181.0,53.0,,10.0,,16.0,2.0,1.0,1.0,35.0,19.0,,29.0,3.0,7.0,28.0,129.0,,0.0,123.0,17.0,1.0,1.0,54.0,57.0,5.0,1.0,,32.0,,6.0,2.0,161.0,9.0,608.0,7.0,18.0,16.0,13.0,,12.0,25.0,2.0,5.0,3.0,40.0,73.0,8380,94.0,23.0,121.0,8.0,52.0,1.0,3.0,4.0,3.0,1.0,,60.0,220.0,10.0,2.0,,37.0,86.0,0.0,,8.0,1.0,1.0,11.0,0.0,3.0,1.0,1.0,51.6,32.0,,3.0,4.0,4.0,1.0,38.0,3.0,313.0,16.0,,13.0,11.0,3.0,23.0,,1.0,227.0,6.0,6.0,15.0,82.0,15.0,6.0,15.0,23.0,1.0,1.0,10.0,,6.0,3.0,,1.0,,,4.0,1.0,,,,,2.0,,1.0,1.0,,,1.0,1.0,,,4.0,,,1.0,2.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,,1.0,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
