gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,totalFastbreak,totalKeeperSweeper,totalOffside,attFastbreak,punches,shieldBallOop,possWonAtt3rd,attGoalLowLeft,attCmissRight,attBxRight,goalAssistOpenplay,attSvHighLeft,attSvLowLeft,goalAssist,attCmissLeft,goalAssistIntentional,attHdGoal,attLfGoal,cleanSheet,goodHighClaim,accurateFreekickCross,attSetpiece,attAssistSetplay,totalHighClaim,goalFastbreak,attGoalHighRight,penaltyWon,midfielderGoals,attGoalHighCentre,sixYardBlock,attPenGoal,accuratePullBack,totalPullBack,foulThrowIn,goalsConcededObox,attGoalLowCentre,attHdTarget,defenderGoals,hitWoodwork,postScoringAtt,attIboxPost,attSvHighRight,attPostLeft,attMissHighRight,attMissHighLeft,ownGoals,attIboxOwnGoal,attOboxGoal,attHdPost,attCmissHigh,attPostHigh,clearanceOffLine,attSvHighCentre,attFreekickMiss,attPostRight,errorLeadToGoal,attFreekickPost,attOboxPost,secondYellow,penaltyConceded,attCmissHighLeft,attObxRight,penaltyFaced,penGoalsConceded,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,attPenTarget,attCmissHighRight,attGoalHighLeft,attObpGoal
1,755305,2014-08-16 15:00:00,"King Power Stadium, Leicester",31603,Home,Leicester City,Everton,2,2,D,1,2,0,0,3.0,2.0,63.0,2.0,1.0,24.0,37.0,4.0,4.0,1.0,1.0,138.0,6.0,6.0,2.0,3.0,6.0,3.0,73.0,121.0,55.0,1.0,11.0,2.0,14.0,1.0,1.0,16.0,7.0,37.0,3.0,10.0,26.0,1.0,151.0,0.0,104.0,16.0,2.0,1.0,50.0,47.0,2.0,51.0,3.0,2.0,13.0,22.0,1.0,5.0,2.0,121.0,1.0,1.0,8.0,82.0,531.0,6.0,13.0,18.0,253.0,29.0,10.0,23.0,1.0,4.0,4.0,12.0,322.0,68.0,1.0,1.0,86857,6.0,120.0,1.0,7.0,134.0,7.0,2.0,22.0,8.0,54.0,1.0,2.0,1.0,10.0,5.0,4.0,2.0,57.0,265.0,10.0,9.0,32.0,74.0,1.0,0.0,1.0,6.0,1.0,2.0,2.0,6.0,0.0,4.0,2.0,36.5,10.0,2.0,1.0,2.0,3.0,38.0,3.0,344.0,18.0,16.0,15.0,5.0,23.0,2.0,3.0,226.0,5.0,9.0,27.0,55.0,27.0,1.0,3.0,23.0,13.0,2.0,8.0,3.0,9.0,3.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755314,2014-08-23 15:00:00,"Stamford Bridge, London",41604,Away,Leicester City,Chelsea,0,2,L,0,0,0,0,1.0,,56.0,,,29.0,26.0,6.0,3.0,8.0,2.0,129.0,1.0,6.0,,1.0,6.0,4.0,64.0,150.0,60.0,,6.0,2.0,27.0,,,23.0,18.0,26.0,6.0,11.0,25.0,1.0,125.0,0.0,123.0,11.0,6.0,1.0,46.0,60.0,6.0,43.0,2.0,,17.0,8.0,,6.0,,150.0,1.0,,12.0,59.0,498.0,6.0,11.0,15.0,196.0,26.0,8.0,18.0,1.0,8.0,,21.0,264.0,74.0,1.0,,86857,,86.0,1.0,10.0,95.0,4.0,,8.0,11.0,82.0,1.0,4.0,,5.0,15.0,3.0,,76.0,210.0,11.0,22.0,34.0,75.0,2.0,0.0,3.0,8.0,3.0,,2.0,3.0,0.0,1.0,,36.7,13.0,,,6.0,2.0,29.0,7.0,295.0,15.0,9.0,13.0,,11.0,,,223.0,3.0,10.0,15.0,68.0,18.0,,3.0,18.0,28.0,2.0,6.0,3.0,20.0,3.0,4.0,7.0,2.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755326,2014-08-31 16:00:00,"King Power Stadium, Leicester",31535,Home,Leicester City,Arsenal,1,1,D,1,1,0,0,,,69.0,,2.0,28.0,32.0,2.0,2.0,5.0,1.0,123.0,6.0,13.0,1.0,1.0,9.0,3.0,65.0,129.0,54.0,,9.0,,26.0,2.0,2.0,20.0,22.0,32.0,5.0,9.0,31.0,,139.0,0.0,101.0,14.0,1.0,1.0,55.0,52.0,5.0,50.0,3.0,2.0,15.0,21.0,,4.0,2.0,129.0,1.0,,13.0,69.0,518.0,8.0,4.0,14.0,218.0,37.0,5.0,14.0,3.0,13.0,4.0,15.0,282.0,53.0,1.0,1.0,86857,4.0,97.0,1.0,10.0,111.0,10.0,,21.0,8.0,68.0,1.0,1.0,1.0,9.0,11.0,4.0,,69.0,230.0,4.0,12.0,22.0,72.0,,0.0,2.0,10.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,31.7,9.0,,2.0,1.0,2.0,32.0,5.0,307.0,14.0,13.0,15.0,4.0,16.0,1.0,2.0,216.0,5.0,8.0,10.0,68.0,19.0,1.0,8.0,14.0,27.0,1.0,9.0,3.0,18.0,8.0,13.0,5.0,1.0,1.0,2.0,1.0,,,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755340,2014-09-13 15:00:00,"bet365 Stadium, Stoke",27500,Away,Leicester City,Stoke City,1,0,W,0,0,0,0,1.0,1.0,56.0,1.0,1.0,20.0,47.0,5.0,3.0,6.0,,148.0,4.0,9.0,1.0,2.0,8.0,1.0,66.0,148.0,72.0,,8.0,1.0,51.0,,2.0,15.0,16.0,47.0,3.0,12.0,26.0,,145.0,0.0,99.0,15.0,1.0,3.0,52.0,54.0,3.0,56.0,2.0,2.0,12.0,13.0,,1.0,4.0,148.0,1.0,,15.0,57.0,551.0,6.0,13.0,12.0,219.0,20.0,7.0,29.0,0.0,7.0,5.0,21.0,298.0,64.0,,,96782,2.0,89.0,,8.0,106.0,7.0,,13.0,16.0,87.0,,2.0,1.0,18.0,12.0,5.0,1.0,70.0,230.0,9.0,11.0,27.0,86.0,,0.0,2.0,16.0,4.0,1.0,,3.0,0.0,4.0,1.0,41.0,15.0,1.0,,2.0,2.0,37.0,3.0,327.0,12.0,9.0,10.0,5.0,13.0,,1.0,236.0,4.0,11.0,33.0,54.0,20.0,1.0,6.0,29.0,22.0,,6.0,3.0,14.0,6.0,6.0,3.0,,2.0,,1.0,,,,1.0,,,3.0,,4.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755346,2014-09-21 13:30:00,"King Power Stadium, Leicester",31784,Home,Leicester City,Manchester United,5,3,W,1,2,0,1,,3.0,55.0,3.0,3.0,31.0,33.0,4.0,4.0,2.0,,144.0,5.0,6.0,5.0,4.0,12.0,5.0,89.0,150.0,53.0,,15.0,1.0,18.0,,4.0,19.0,11.0,33.0,2.0,16.0,34.0,1.0,172.0,0.0,153.0,11.0,2.0,1.0,69.0,69.0,6.0,69.0,3.0,2.0,17.0,17.0,,7.0,3.0,150.0,1.0,,7.0,87.0,600.0,8.0,22.0,21.0,278.0,21.0,9.0,23.0,1.0,3.0,6.0,32.0,359.0,70.0,1.0,,86857,6.0,128.0,,9.0,148.0,4.0,3.0,17.0,10.0,55.0,1.0,2.0,3.0,13.0,9.0,4.0,,72.0,295.0,8.0,9.0,37.0,71.0,,0.0,2.0,4.0,1.0,5.0,3.0,10.0,0.0,3.0,2.0,42.6,27.0,1.0,,2.0,4.0,37.0,2.0,389.0,21.0,7.0,25.0,6.0,17.0,2.0,3.0,260.0,8.0,15.0,23.0,100.0,21.0,4.0,3.0,23.0,16.0,3.0,12.0,3.0,17.0,3.0,9.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,4.0,1.0,,2.0,3.0,,,4.0,3.0,,,3.0,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755355,2014-09-27 15:00:00,"Selhurst Park, London",24311,Away,Leicester City,Crystal Palace,0,2,L,0,0,0,0,,,63.0,,2.0,22.0,33.0,3.0,2.0,4.0,,178.0,2.0,10.0,,3.0,3.0,1.0,104.0,150.0,64.0,,7.0,2.0,28.0,1.0,,17.0,15.0,33.0,6.0,16.0,49.0,,156.0,0.0,113.0,9.0,1.0,3.0,34.0,60.0,1.0,69.0,3.0,1.0,11.0,16.0,,1.0,1.0,150.0,,1.0,9.0,106.0,651.0,3.0,6.0,17.0,337.0,35.0,3.0,29.0,2.0,4.0,2.0,24.0,430.0,77.0,,,86857,3.0,199.0,,7.0,217.0,5.0,,16.0,11.0,61.0,,5.0,,5.0,7.0,5.0,1.0,72.0,353.0,13.0,9.0,24.0,90.0,,0.0,4.0,6.0,1.0,,2.0,1.0,0.0,,,60.4,19.0,,1.0,5.0,4.0,40.0,6.0,457.0,17.0,8.0,17.0,2.0,23.0,2.0,1.0,257.0,5.0,14.0,23.0,57.0,19.0,,2.0,29.0,20.0,2.0,6.0,3.0,18.0,2.0,5.0,6.0,1.0,3.0,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755366,2014-10-04 15:00:00,"King Power Stadium, Leicester",31448,Home,Leicester City,Burnley,2,2,D,2,1,0,0,1.0,1.0,77.0,1.0,5.0,34.0,41.0,6.0,9.0,2.0,1.0,184.0,5.0,16.0,2.0,3.0,10.0,6.0,98.0,169.0,65.0,,15.0,1.0,35.0,1.0,1.0,33.0,12.0,41.0,9.0,10.0,27.0,,185.0,0.0,143.0,16.0,,4.0,46.0,107.0,9.0,74.0,3.0,1.0,24.0,20.0,,5.0,2.0,169.0,,,4.0,70.0,674.0,7.0,15.0,26.0,306.0,44.0,15.0,30.0,2.0,2.0,1.0,23.0,398.0,65.0,,,86857,6.0,142.0,1.0,15.0,168.0,7.0,1.0,20.0,7.0,76.0,,1.0,2.0,3.0,6.0,5.0,1.0,86.0,322.0,9.0,8.0,50.0,86.0,3.0,0.0,6.0,3.0,,2.0,2.0,7.0,0.0,2.0,2.0,53.5,18.0,,,1.0,6.0,41.0,9.0,426.0,26.0,6.0,15.0,3.0,14.0,3.0,1.0,291.0,3.0,9.0,26.0,96.0,22.0,,5.0,30.0,14.0,1.0,9.0,3.0,32.0,5.0,12.0,9.0,2.0,2.0,,2.0,,3.0,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755378,2014-10-18 15:00:00,"St. James' Park, Newcastle",51886,Away,Leicester City,Newcastle United,0,1,L,0,0,0,0,1.0,,53.0,,2.0,33.0,37.0,2.0,1.0,5.0,2.0,172.0,6.0,5.0,,1.0,5.0,2.0,74.0,164.0,54.0,,7.0,2.0,28.0,2.0,1.0,22.0,16.0,37.0,7.0,11.0,37.0,,165.0,0.0,122.0,15.0,,1.0,53.0,79.0,3.0,52.0,1.0,,15.0,18.0,,2.0,,164.0,2.0,,8.0,76.0,594.0,4.0,19.0,15.0,258.0,25.0,9.0,27.0,3.0,7.0,1.0,36.0,344.0,64.0,1.0,2.0,86857,4.0,115.0,2.0,12.0,135.0,8.0,,18.0,10.0,71.0,1.0,2.0,,15.0,11.0,6.0,,73.0,274.0,12.0,11.0,30.0,77.0,,0.0,,10.0,2.0,,1.0,9.0,0.0,3.0,,49.5,26.0,,1.0,3.0,4.0,37.0,7.0,374.0,15.0,11.0,20.0,1.0,12.0,3.0,1.0,261.0,6.0,9.0,18.0,71.0,18.0,,3.0,27.0,19.0,,5.0,3.0,15.0,3.0,8.0,7.0,,3.0,,,2.0,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,755389,2014-10-25 17:30:00,"Swansea.com Stadium, Swansea",20259,Away,Leicester City,Swansea City,0,2,L,0,1,0,0,,,73.0,,1.0,28.0,19.0,5.0,6.0,1.0,1.0,212.0,2.0,9.0,,3.0,6.0,4.0,115.0,143.0,50.0,,9.0,,15.0,2.0,1.0,18.0,15.0,19.0,1.0,20.0,22.0,,242.0,0.0,140.0,10.0,,2.0,75.0,82.0,5.0,104.0,3.0,1.0,17.0,15.0,,4.0,3.0,143.0,,,3.0,123.0,735.0,5.0,14.0,23.0,446.0,35.0,6.0,10.0,0.0,,1.0,27.0,532.0,83.0,,1.0,96782,3.0,220.0,1.0,11.0,241.0,3.0,,15.0,7.0,43.0,,5.0,,9.0,4.0,4.0,1.0,59.0,460.0,7.0,5.0,21.0,77.0,1.0,0.0,2.0,2.0,,,2.0,3.0,0.0,2.0,2.0,50.5,21.0,,,5.0,1.0,43.0,2.0,554.0,23.0,8.0,12.0,4.0,17.0,,,331.0,1.0,19.0,17.0,95.0,26.0,,3.0,10.0,17.0,2.0,7.0,3.0,16.0,3.0,8.0,2.0,1.0,1.0,,2.0,,2.0,2.0,2.0,1.0,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,755399,2014-11-01 15:00:00,"King Power Stadium, Leicester",31819,Home,Leicester City,West Bromwich Albion,0,1,L,0,0,0,0,,,69.0,,1.0,42.0,19.0,3.0,3.0,3.0,2.0,204.0,10.0,13.0,,5.0,11.0,5.0,91.0,197.0,75.0,,14.0,1.0,19.0,5.0,2.0,33.0,16.0,19.0,8.0,13.0,52.0,,216.0,0.0,191.0,5.0,3.0,5.0,57.0,112.0,5.0,66.0,3.0,1.0,25.0,31.0,,8.0,2.0,197.0,1.0,1.0,4.0,88.0,708.0,6.0,26.0,20.0,313.0,28.0,15.0,12.0,0.0,3.0,6.0,36.0,426.0,97.0,,,96782,8.0,125.0,2.0,12.0,158.0,2.0,,31.0,6.0,51.0,,6.0,,16.0,5.0,4.0,2.0,81.0,331.0,10.0,5.0,37.0,80.0,,0.0,3.0,3.0,,,1.0,14.0,0.0,5.0,6.0,55.8,26.0,3.0,2.0,7.0,2.0,45.0,8.0,449.0,20.0,15.0,27.0,7.0,37.0,5.0,5.0,324.0,5.0,13.0,30.0,128.0,24.0,,2.0,12.0,22.0,1.0,5.0,3.0,20.0,2.0,17.0,8.0,,3.0,,1.0,3.0,,,1.0,4.0,,,1.0,6.0,,,1.0,,,2.0,,2.0,,,,,,2.0,2.0,5.0,,,,,,,1.0,,,,,,,3.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
