gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attCmissRight,attIboxTarget,postScoringAtt,attSvLowCentre,attOboxTarget,cleanSheet,totalFastbreak,attSvHighLeft,interceptionsInBox,attHdTarget,bigChanceMissed,attSetpiece,attCmissHigh,attAssistSetplay,attOboxPost,attSvHighCentre,attPostRight,attLfTarget,attGoalLowRight,shotFastbreak,attOneOnOne,attOboxGoal,attSvLowLeft,totalPullBack,attFastbreak,attSvLowRight,savedIbox,goalsConcededObox,attemptsIbox,ptsGainedLosingPos,freekickCross,attemptsObox,attGoalHighCentre,touchesInOppBox,accurateFreekickCross,sixYardBlock,ownGoals,attCorner,attIboxOwnGoal,attHdGoal,accurateKeeperSweeper,goalFastbreak,attIboxPost,totalKeeperSweeper,ptsDroppedWinningPos,accuratePullBack,attMissHighLeft,attCmissLeft,attCmissHighRight,attGoalHighRight,penaltyWon,attPenGoal,attGoalHighLeft,attFreekickGoal,punches,handBall,attSvHighRight,secondYellow,attFreekickTarget,attPostLeft,errorLeadToGoal,penaltyConceded,penaltyFaced,penGoalsConceded,clearanceOffLine,attPostHigh,attCmissHighLeft,foulThrowIn,attPenTarget
1,755304,2014-08-18 20:00:00,"Turf Moor, Burnley",20699,Away,Chelsea,Burnley,3,1,W,3,1,0,0,3.0,57.0,2.0,1.0,2.0,1.0,1.0,41.0,29.0,3.0,3.0,1.0,1.0,225.0,1.0,3.0,12.0,3.0,1.0,9.0,3.0,152.0,160.0,57.0,1.0,11.0,2.0,27.0,1.0,1.0,1.0,15.0,17.0,29.0,3.0,29.0,27.0,266.0,1.0,0.0,166.0,7.0,1.0,1.0,4.0,77.0,107.0,6.0,128.0,1.0,12.0,20.0,1.0,2.0,2.0,160.0,2.0,1.0,5.0,163.0,862.0,7.0,14.0,1.0,17.0,538.0,26.0,11.0,18.0,2.0,1.0,1.0,3.0,29.0,642.0,61.0,3.0,1.0,66842,3.0,288.0,10.0,312.0,1.0,2.0,20.0,9.0,46.0,3.0,1.0,1.0,1.0,2.0,10.0,4.0,3.0,1.0,95.0,551.0,6.0,3.0,45.0,118.0,0.0,2.0,4.0,3.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,61.4,23.0,1.0,1.0,3.0,1.0,1.0,4.0,55.0,3.0,4.0,668.0,17.0,1.0,4.0,13.0,4.0,17.0,1.0,2.0,371.0,7.0,27.0,20.0,134.0,18.0,1.0,4.0,18.0,19.0,1.0,8.0,3.0,20.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755314,2014-08-23 15:00:00,"Stamford Bridge, London",41604,Home,Chelsea,Leicester City,2,0,W,0,0,0,0,1.0,58.0,,4.0,3.0,,,20.0,42.0,15.0,4.0,4.0,,171.0,2.0,7.0,22.0,2.0,1.0,21.0,10.0,145.0,124.0,82.0,,27.0,5.0,15.0,1.0,1.0,1.0,22.0,18.0,42.0,7.0,18.0,27.0,261.0,2.0,0.0,182.0,11.0,1.0,1.0,3.0,82.0,48.0,13.0,82.0,2.0,15.0,8.0,,1.0,4.0,124.0,1.0,,,132.0,777.0,19.0,6.0,1.0,5.0,448.0,30.0,1.0,29.0,1.0,0.0,2.0,8.0,23.0,511.0,55.0,2.0,1.0,66842,5.0,210.0,14.0,225.0,8.0,2.0,8.0,4.0,60.0,3.0,,2.0,6.0,2.0,9.0,6.0,3.0,3.0,42.0,464.0,10.0,6.0,9.0,73.0,0.0,,7.0,2.0,,4.0,0.0,5.0,,,4.0,63.3,19.0,2.0,,4.0,5.0,6.0,8.0,48.0,8.0,3.0,530.0,5.0,,10.0,12.0,9.0,20.0,2.0,4.0,327.0,19.0,16.0,27.0,146.0,18.0,1.0,5.0,29.0,23.0,,21.0,3.0,40.0,5.0,4.0,8.0,6.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755325,2014-08-30 17:30:00,"Goodison Park, Liverpool",39402,Away,Chelsea,Everton,6,3,W,2,1,0,0,3.0,59.0,1.0,1.0,1.0,,,19.0,31.0,3.0,4.0,3.0,2.0,154.0,2.0,1.0,9.0,6.0,1.0,11.0,8.0,80.0,138.0,56.0,,12.0,2.0,15.0,2.0,5.0,,9.0,25.0,31.0,2.0,11.0,16.0,129.0,,0.0,111.0,16.0,1.0,2.0,3.0,40.0,40.0,10.0,51.0,1.0,7.0,15.0,,4.0,,138.0,4.0,2.0,8.0,70.0,542.0,5.0,7.0,,15.0,239.0,22.0,5.0,14.0,5.0,3.0,6.0,1.0,13.0,326.0,48.0,3.0,1.0,66842,5.0,130.0,3.0,157.0,8.0,3.0,15.0,6.0,60.0,3.0,1.0,1.0,2.0,5.0,9.0,8.0,4.0,,50.0,258.0,7.0,13.0,20.0,71.0,0.0,1.0,8.0,5.0,3.0,1.0,0.0,,4.0,,1.0,38.5,9.0,,,5.0,1.0,4.0,3.0,32.0,2.0,3.0,355.0,15.0,,6.0,6.0,1.0,25.0,1.0,1.0,207.0,7.0,8.0,10.0,72.0,22.0,2.0,7.0,14.0,30.0,3.0,10.0,3.0,19.0,7.0,8.0,2.0,1.0,,3.0,,1.0,,,1.0,,3.0,1.0,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755334,2014-09-13 15:00:00,"Stamford Bridge, London",41400,Home,Chelsea,Swansea City,4,2,W,1,1,0,0,3.0,59.0,1.0,1.0,6.0,1.0,1.0,26.0,11.0,13.0,10.0,1.0,2.0,178.0,,4.0,20.0,4.0,6.0,26.0,9.0,137.0,117.0,59.0,2.0,30.0,3.0,6.0,1.0,3.0,3.0,21.0,17.0,11.0,5.0,14.0,22.0,369.0,,0.0,253.0,12.0,1.0,,1.0,98.0,89.0,16.0,97.0,3.0,16.0,15.0,2.0,3.0,7.0,117.0,3.0,,7.0,161.0,768.0,21.0,4.0,,11.0,492.0,17.0,5.0,7.0,4.0,0.0,1.0,10.0,22.0,549.0,69.0,,,66842,12.0,143.0,11.0,150.0,7.0,1.0,15.0,10.0,48.0,2.0,,,1.0,3.0,11.0,6.0,4.0,6.0,43.0,508.0,11.0,12.0,11.0,73.0,0.0,,4.0,4.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,55.3,16.0,2.0,,9.0,1.0,1.0,9.0,49.0,7.0,1.0,573.0,11.0,1.0,8.0,13.0,12.0,38.0,2.0,5.0,444.0,17.0,14.0,11.0,217.0,29.0,3.0,3.0,7.0,17.0,1.0,24.0,3.0,30.0,3.0,11.0,7.0,4.0,1.0,2.0,,3.0,3.0,,1.0,,,,,1.0,3.0,1.0,,,,1.0,2.0,,,,,1.0,,2.0,,1.0,17.0,3.0,2.0,13.0,1.0,53.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755347,2014-09-21 16:00:00,"Etihad Stadium, Manchester",45602,Away,Chelsea,Manchester City,1,1,D,0,0,0,1,1.0,57.0,1.0,1.0,1.0,,,18.0,38.0,2.0,2.0,3.0,1.0,150.0,,4.0,16.0,1.0,6.0,4.0,2.0,97.0,118.0,64.0,2.0,6.0,1.0,19.0,,1.0,,12.0,19.0,38.0,2.0,7.0,13.0,215.0,,0.0,113.0,12.0,1.0,,2.0,42.0,51.0,3.0,66.0,,10.0,13.0,2.0,4.0,1.0,118.0,1.0,,8.0,96.0,611.0,1.0,10.0,1.0,9.0,324.0,24.0,2.0,21.0,1.0,4.0,4.0,1.0,12.0,382.0,59.0,,1.0,66842,3.0,132.0,3.0,151.0,9.0,,13.0,8.0,75.0,1.0,,1.0,4.0,1.0,8.0,8.0,6.0,1.0,45.0,343.0,16.0,12.0,20.0,62.0,0.0,,14.0,1.0,1.0,8.0,0.0,3.0,1.0,,1.0,41.5,10.0,,,2.0,,5.0,2.0,38.0,2.0,2.0,409.0,9.0,1.0,18.0,4.0,2.0,12.0,1.0,,270.0,2.0,6.0,11.0,83.0,21.0,,3.0,21.0,21.0,1.0,2.0,3.0,30.0,3.0,8.0,2.0,,,1.0,1.0,1.0,,,2.0,,2.0,1.0,,2.0,,2.0,,,1.0,,,1.0,,,,,1.0,,2.0,,4.0,,3.0,2.0,,7.0,2.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,755354,2014-09-27 15:00:00,"Stamford Bridge, London",41616,Home,Chelsea,Aston Villa,3,0,W,1,0,0,0,3.0,39.0,1.0,1.0,1.0,,,59.0,23.0,7.0,1.0,1.0,,197.0,,6.0,5.0,3.0,3.0,15.0,8.0,205.0,102.0,36.0,,17.0,2.0,14.0,,2.0,1.0,25.0,4.0,23.0,6.0,25.0,39.0,386.0,3.0,0.0,248.0,11.0,1.0,2.0,2.0,128.0,84.0,9.0,113.0,,20.0,10.0,,4.0,5.0,102.0,2.0,,2.0,186.0,857.0,12.0,7.0,,11.0,626.0,14.0,3.0,12.0,2.0,2.0,1.0,6.0,17.0,683.0,87.0,,,66842,7.0,263.0,15.0,272.0,8.0,2.0,10.0,6.0,44.0,2.0,,5.0,6.0,3.0,7.0,5.0,6.0,1.0,70.0,643.0,9.0,10.0,7.0,72.0,0.0,,2.0,3.0,,6.0,0.0,4.0,2.0,,4.0,62.5,14.0,1.0,,1.0,1.0,6.0,3.0,61.0,9.0,2.0,701.0,11.0,,5.0,28.0,6.0,20.0,3.0,1.0,454.0,12.0,25.0,17.0,209.0,18.0,1.0,2.0,12.0,5.0,,16.0,3.0,10.0,2.0,5.0,9.0,3.0,,5.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,2.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
7,755364,2014-10-05 14:05:00,"Stamford Bridge, London",41607,Home,Chelsea,Arsenal,2,0,W,1,0,0,0,2.0,59.0,,,,,,35.0,29.0,2.0,1.0,,,181.0,,2.0,13.0,2.0,5.0,3.0,3.0,81.0,152.0,74.0,,5.0,1.0,11.0,,1.0,,13.0,20.0,29.0,2.0,9.0,29.0,191.0,,0.0,131.0,14.0,,1.0,1.0,78.0,71.0,2.0,90.0,,11.0,17.0,,2.0,,152.0,2.0,2.0,2.0,89.0,648.0,2.0,13.0,,12.0,336.0,18.0,5.0,13.0,1.0,4.0,4.0,1.0,26.0,419.0,77.0,1.0,,66842,2.0,159.0,6.0,176.0,10.0,2.0,17.0,12.0,76.0,2.0,,3.0,,1.0,9.0,8.0,7.0,1.0,73.0,348.0,10.0,27.0,23.0,92.0,0.0,2.0,2.0,2.0,,6.0,0.0,2.0,1.0,,,47.0,17.0,,,3.0,,,1.0,53.0,2.0,1.0,441.0,12.0,,17.0,18.0,1.0,11.0,,1.0,278.0,4.0,9.0,23.0,85.0,34.0,1.0,2.0,13.0,29.0,,4.0,3.0,21.0,2.0,8.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
8,755375,2014-10-18 15:00:00,"Selhurst Park, London",24451,Away,Chelsea,Crystal Palace,2,1,W,1,0,1,1,1.0,54.0,1.0,2.0,1.0,,,18.0,25.0,7.0,3.0,3.0,,202.0,,3.0,15.0,2.0,4.0,12.0,5.0,211.0,116.0,55.0,1.0,14.0,,13.0,1.0,1.0,2.0,6.0,14.0,25.0,1.0,31.0,19.0,340.0,3.0,0.0,200.0,7.0,1.0,2.0,2.0,119.0,48.0,4.0,123.0,2.0,5.0,15.0,1.0,1.0,5.0,116.0,1.0,,4.0,221.0,934.0,10.0,3.0,,10.0,659.0,27.0,2.0,15.0,1.0,1.0,,8.0,25.0,731.0,66.0,,1.0,62398,4.0,336.0,4.0,350.0,5.0,2.0,15.0,6.0,44.0,1.0,,,4.0,1.0,11.0,3.0,2.0,,43.0,673.0,13.0,9.0,15.0,87.0,0.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,71.5,22.0,1.0,,3.0,2.0,4.0,1.0,55.0,2.0,2.0,757.0,10.0,,9.0,8.0,8.0,16.0,1.0,3.0,413.0,9.0,29.0,10.0,154.0,17.0,,2.0,15.0,17.0,1.0,10.0,3.0,21.0,2.0,8.0,2.0,2.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
9,755385,2014-10-26 16:00:00,"Old Trafford, Manchester",75327,Away,Chelsea,Manchester United,1,1,D,0,0,1,0,,50.0,,1.0,1.0,1.0,1.0,20.0,26.0,2.0,,6.0,,151.0,,5.0,15.0,1.0,4.0,9.0,4.0,96.0,118.0,67.0,,9.0,1.0,12.0,,,1.0,16.0,16.0,26.0,7.0,22.0,23.0,159.0,,0.0,131.0,14.0,4.0,,4.0,56.0,41.0,6.0,74.0,1.0,9.0,14.0,,1.0,,118.0,2.0,1.0,13.0,104.0,610.0,7.0,11.0,,6.0,330.0,13.0,5.0,18.0,1.0,5.0,2.0,3.0,18.0,401.0,58.0,,,66842,3.0,197.0,6.0,217.0,9.0,,14.0,9.0,46.0,2.0,,2.0,3.0,,8.0,6.0,9.0,1.0,50.0,351.0,12.0,5.0,21.0,62.0,0.0,3.0,4.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,48.3,14.0,1.0,,6.0,1.0,3.0,2.0,41.0,7.0,4.0,425.0,6.0,,10.0,13.0,3.0,17.0,3.0,3.0,224.0,7.0,21.0,20.0,89.0,25.0,1.0,4.0,18.0,21.0,1.0,6.0,3.0,21.0,4.0,6.0,7.0,3.0,,2.0,,1.0,1.0,,2.0,,,,2.0,,,1.0,,,,,,,1.0,,1.0,1.0,,,5.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,
10,755395,2014-11-01 15:00:00,"Stamford Bridge, London",41486,Home,Chelsea,Queens Park Rangers,2,1,W,1,0,0,0,1.0,69.0,1.0,,1.0,,,31.0,23.0,9.0,6.0,,,213.0,,6.0,10.0,2.0,4.0,13.0,8.0,139.0,156.0,65.0,1.0,18.0,2.0,24.0,3.0,1.0,2.0,27.0,22.0,23.0,11.0,15.0,38.0,276.0,1.0,0.0,209.0,8.0,,2.0,1.0,96.0,62.0,8.0,83.0,2.0,16.0,18.0,1.0,3.0,3.0,156.0,1.0,,3.0,141.0,793.0,11.0,12.0,,7.0,475.0,24.0,4.0,16.0,1.0,0.0,3.0,5.0,21.0,558.0,72.0,,1.0,66842,3.0,221.0,12.0,235.0,4.0,2.0,18.0,4.0,75.0,2.0,,2.0,3.0,1.0,9.0,4.0,4.0,2.0,54.0,491.0,10.0,10.0,9.0,81.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,3.0,1.0,,1.0,64.5,18.0,,,8.0,1.0,3.0,3.0,51.0,13.0,1.0,576.0,7.0,,21.0,19.0,7.0,21.0,3.0,4.0,368.0,11.0,13.0,18.0,158.0,33.0,,2.0,16.0,27.0,1.0,14.0,3.0,23.0,2.0,8.0,13.0,3.0,2.0,2.0,,2.0,4.0,,1.0,,,1.0,1.0,,,1.0,,,,2.0,1.0,,,,4.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,
