gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,accuratePullBack,attCmissRight,goalAssistOpenplay,goodHighClaim,accurateFreekickCross,totalPullBack,goalsOpenplay,attMissHigh,attCmissLeft,totalHighClaim,forwardGoals,attIboxBlocked,attFreekickTotal,attOneOnOne,divingSave,freekickTotal,attHdTarget,accurateThroughBall,totalOffside,savedIbox,attSvHighCentre,attBxRight,postScoringAtt,attIboxPost,attGoalHighRight,attPostLeft,hitWoodwork,attCmissHighRight,attFreekickMiss,attLfGoal,cleanSheet,attGoalHighCentre,shotFastbreak,attCmissHigh,attFastbreak,errorLeadToGoal,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalLowRight,attSvHighRight,attFreekickTarget,goalsConcededObox,goalFastbreak,foulThrowIn,attOboxGoal,ownGoals,attGoalHighLeft,punches,attIboxOwnGoal,attLgCentre,attObxdLeft,penaltyWon,attSvHighLeft,secondYellow,attPenGoal,attPostRight,attHdPost,attPostHigh,attPenTarget,clearanceOffLine,attFreekickGoal,attOboxPost
1,755303,2014-08-16 17:30:00,"Emirates Stadium, London",59962,Home,Arsenal,Crystal Palace,2,1,W,1,1,0,1,1.0,2.0,70.0,1.0,1.0,1.0,1.0,16.0,30.0,8.0,3.0,1.0,3.0,244.0,1.0,4.0,12.0,2.0,3.0,11.0,6.0,187.0,167.0,78.0,14.0,3.0,17.0,1.0,1.0,1.0,2.0,33.0,20.0,3.0,30.0,9.0,30.0,24.0,379.0,1.0,0.0,234.0,13.0,1.0,1.0,2.0,3.0,54.0,112.0,7.0,101.0,1.0,1.0,24.0,24.0,4.0,2.0,167.0,2.0,1.0,1.0,198.0,975.0,8.0,8.0,16.0,620.0,23.0,1.0,1.0,22.0,1.0,1.0,2.0,2.0,4.0,21.0,709.0,95.0,1.0,99127,3.0,265.0,1.0,17.0,1.0,278.0,7.0,1.0,24.0,2.0,68.0,4.0,1.0,4.0,12.0,3.0,2.0,34.0,640.0,18.0,7.0,2.0,9.0,76.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,76.9,21.0,2.0,7.0,1.0,4.0,3.0,62.0,9.0,730.0,16.0,11.0,10.0,5.0,21.0,3.0,3.0,485.0,8.0,29.0,23.0,177.0,36.0,2.0,22.0,26.0,1.0,1.0,9.0,3.0,34.0,2.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755316,2014-08-23 17:30:00,"Goodison Park, Liverpool",39490,Away,Arsenal,Everton,2,2,D,0,2,0,0,1.0,1.0,55.0,1.0,,,,18.0,28.0,7.0,4.0,,,192.0,1.0,5.0,7.0,2.0,1.0,10.0,3.0,145.0,131.0,42.0,13.0,1.0,10.0,1.0,1.0,1.0,3.0,23.0,11.0,,28.0,3.0,20.0,28.0,247.0,1.0,0.0,204.0,18.0,,1.0,,1.0,78.0,56.0,3.0,60.0,2.0,4.0,20.0,19.0,4.0,6.0,131.0,2.0,2.0,6.0,130.0,725.0,7.0,9.0,19.0,431.0,25.0,,4.0,16.0,2.0,1.0,4.0,2.0,7.0,21.0,506.0,63.0,1.0,99127,4.0,206.0,1.0,15.0,1.0,221.0,11.0,1.0,19.0,6.0,52.0,5.0,,6.0,13.0,2.0,4.0,33.0,448.0,10.0,7.0,1.0,12.0,61.0,,0.0,2.0,3.0,2.0,2.0,3.0,0.0,4.0,2.0,1.0,2.0,54.2,21.0,1.0,2.0,,6.0,1.0,45.0,3.0,527.0,19.0,5.0,15.0,9.0,27.0,1.0,3.0,329.0,7.0,17.0,10.0,157.0,20.0,2.0,16.0,15.0,1.0,2.0,11.0,3.0,21.0,2.0,10.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755326,2014-08-31 16:00:00,"King Power Stadium, Leicester",31535,Away,Arsenal,Leicester City,1,1,D,1,1,0,0,2.0,1.0,66.0,,,,,41.0,31.0,11.0,9.0,2.0,2.0,215.0,1.0,4.0,12.0,1.0,2.0,19.0,6.0,177.0,142.0,68.0,24.0,8.0,10.0,4.0,2.0,1.0,2.0,23.0,14.0,1.0,31.0,8.0,21.0,27.0,392.0,1.0,0.0,261.0,5.0,,,2.0,1.0,100.0,86.0,15.0,104.0,2.0,1.0,15.0,21.0,2.0,2.0,142.0,3.0,,7.0,194.0,911.0,17.0,5.0,9.0,589.0,26.0,,7.0,22.0,,2.0,1.0,2.0,4.0,16.0,662.0,102.0,,99127,9.0,225.0,3.0,12.0,1.0,235.0,3.0,1.0,21.0,7.0,54.0,6.0,,4.0,13.0,2.0,5.0,58.0,613.0,14.0,13.0,2.0,16.0,72.0,1.0,0.0,3.0,5.0,1.0,1.0,3.0,0.0,2.0,,,3.0,68.3,16.0,2.0,3.0,4.0,4.0,13.0,54.0,10.0,690.0,9.0,14.0,20.0,5.0,26.0,2.0,3.0,478.0,12.0,19.0,26.0,208.0,29.0,2.0,22.0,18.0,,1.0,19.0,3.0,25.0,2.0,8.0,10.0,1.0,1.0,,,4.0,,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755333,2014-09-13 12:45:00,"Emirates Stadium, London",60003,Home,Arsenal,Manchester City,2,2,D,0,1,0,0,1.0,2.0,80.0,,2.0,,,20.0,26.0,7.0,4.0,6.0,3.0,207.0,,,23.0,2.0,7.0,10.0,6.0,96.0,166.0,83.0,15.0,,14.0,2.0,,2.0,1.0,15.0,23.0,2.0,26.0,,13.0,29.0,216.0,1.0,0.0,178.0,11.0,,2.0,2.0,4.0,30.0,62.0,5.0,56.0,4.0,3.0,15.0,22.0,4.0,5.0,166.0,4.0,,10.0,103.0,727.0,8.0,11.0,26.0,351.0,32.0,,2.0,15.0,2.0,1.0,3.0,2.0,5.0,15.0,436.0,68.0,,8758,3.0,151.0,3.0,7.0,1.0,172.0,9.0,2.0,22.0,8.0,73.0,3.0,,7.0,11.0,5.0,6.0,42.0,367.0,15.0,13.0,,13.0,63.0,,0.0,2.0,3.0,2.0,2.0,5.0,0.0,,2.0,1.0,,45.4,11.0,,9.0,2.0,7.0,,39.0,,462.0,26.0,15.0,14.0,9.0,26.0,,3.0,305.0,11.0,11.0,14.0,127.0,27.0,2.0,15.0,31.0,,2.0,13.0,3.0,45.0,2.0,12.0,,2.0,,,2.0,1.0,,,2.0,3.0,1.0,1.0,,,1.0,2.0,2.0,1.0,,2.0,2.0,4.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755343,2014-09-20 15:00:00,"Villa Park, Birmingham",40013,Away,Arsenal,Aston Villa,3,0,W,3,0,0,0,,2.0,61.0,,1.0,,,31.0,17.0,4.0,3.0,2.0,1.0,220.0,1.0,3.0,8.0,3.0,1.0,8.0,3.0,226.0,125.0,43.0,9.0,1.0,3.0,1.0,1.0,,2.0,18.0,10.0,,17.0,5.0,41.0,33.0,355.0,,0.0,183.0,9.0,,1.0,,,104.0,94.0,5.0,129.0,2.0,1.0,13.0,19.0,3.0,3.0,125.0,2.0,,5.0,240.0,995.0,6.0,8.0,22.0,723.0,26.0,,1.0,9.0,2.0,1.0,3.0,2.0,3.0,22.0,800.0,90.0,2.0,8758,2.0,385.0,,10.0,,400.0,6.0,1.0,19.0,2.0,30.0,6.0,,6.0,12.0,1.0,2.0,52.0,737.0,11.0,6.0,,8.0,90.0,1.0,0.0,2.0,5.0,3.0,,4.0,0.0,2.0,2.0,1.0,,70.9,19.0,,2.0,2.0,6.0,2.0,71.0,5.0,815.0,22.0,4.0,17.0,4.0,15.0,1.0,1.0,433.0,6.0,40.0,11.0,139.0,27.0,3.0,9.0,14.0,,,7.0,3.0,17.0,3.0,10.0,5.0,,,,2.0,,,,2.0,1.0,2.0,,1.0,1.0,,,2.0,,,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755353,2014-09-27 17:30:00,"Emirates Stadium, London",59900,Home,Arsenal,Tottenham Hotspur,1,1,D,0,0,0,0,2.0,1.0,55.0,,1.0,,,26.0,11.0,8.0,8.0,4.0,2.0,209.0,,9.0,16.0,1.0,3.0,10.0,6.0,149.0,148.0,63.0,16.0,3.0,9.0,2.0,1.0,3.0,,45.0,16.0,3.0,11.0,12.0,20.0,32.0,327.0,,0.0,231.0,7.0,2.0,1.0,,3.0,110.0,114.0,9.0,95.0,,2.0,33.0,12.0,4.0,2.0,148.0,,2.0,4.0,165.0,849.0,9.0,10.0,19.0,523.0,20.0,,,6.0,,1.0,3.0,,1.0,28.0,595.0,86.0,,8758,2.0,226.0,,26.0,2.0,236.0,4.0,1.0,12.0,3.0,46.0,3.0,,6.0,9.0,2.0,3.0,41.0,544.0,16.0,7.0,1.0,5.0,61.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,5.0,,,1.0,68.6,26.0,,3.0,2.0,6.0,7.0,51.0,15.0,618.0,19.0,8.0,24.0,3.0,21.0,4.0,1.0,427.0,7.0,19.0,15.0,177.0,25.0,,6.0,17.0,,1.0,13.0,3.0,31.0,,5.0,15.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,4.0,,,2.0,,1.0,2.0,3.0,2.0,,4.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755364,2014-10-05 14:05:00,"Stamford Bridge, London",41607,Away,Arsenal,Chelsea,0,2,L,0,1,0,0,,,69.0,,1.0,,,24.0,29.0,8.0,5.0,2.0,,192.0,,1.0,27.0,,3.0,9.0,,116.0,149.0,76.0,10.0,3.0,23.0,,5.0,,3.0,14.0,17.0,,29.0,2.0,16.0,28.0,270.0,1.0,0.0,181.0,10.0,,,,2.0,82.0,44.0,4.0,75.0,,1.0,12.0,17.0,1.0,5.0,149.0,,2.0,3.0,122.0,744.0,8.0,8.0,17.0,409.0,34.0,,6.0,16.0,,5.0,3.0,1.0,5.0,20.0,483.0,69.0,,99127,1.0,156.0,,9.0,,176.0,8.0,,17.0,3.0,74.0,3.0,,3.0,22.0,2.0,1.0,45.0,425.0,14.0,13.0,1.0,21.0,65.0,,0.0,1.0,2.0,,2.0,3.0,0.0,,,1.0,,53.0,16.0,,4.0,,3.0,4.0,47.0,2.0,505.0,17.0,7.0,19.0,6.0,18.0,1.0,1.0,343.0,5.0,12.0,11.0,143.0,25.0,1.0,16.0,25.0,,2.0,9.0,3.0,49.0,1.0,9.0,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,755373,2014-10-18 15:00:00,"Emirates Stadium, London",60004,Home,Arsenal,Hull City,2,2,D,1,1,0,0,3.0,,83.0,1.0,1.0,,,16.0,5.0,9.0,8.0,2.0,3.0,201.0,,7.0,19.0,2.0,5.0,18.0,9.0,195.0,151.0,66.0,25.0,5.0,16.0,4.0,,1.0,3.0,29.0,18.0,3.0,5.0,10.0,22.0,32.0,418.0,1.0,0.0,268.0,9.0,,1.0,1.0,3.0,75.0,79.0,15.0,89.0,1.0,1.0,19.0,17.0,5.0,1.0,151.0,1.0,1.0,3.0,213.0,919.0,16.0,2.0,21.0,603.0,23.0,,,2.0,2.0,,2.0,,3.0,19.0,685.0,72.0,,99127,11.0,205.0,2.0,11.0,,215.0,5.0,1.0,17.0,1.0,56.0,6.0,,3.0,14.0,1.0,1.0,25.0,616.0,13.0,5.0,,5.0,51.0,3.0,0.0,5.0,,2.0,2.0,1.0,0.0,6.0,1.0,1.0,3.0,65.8,18.0,2.0,13.0,,3.0,10.0,49.0,10.0,698.0,21.0,12.0,19.0,6.0,36.0,1.0,5.0,512.0,14.0,20.0,15.0,207.0,44.0,,2.0,21.0,,2.0,22.0,2.0,34.0,,10.0,10.0,,,,2.0,,,1.0,2.0,1.0,,,1.0,5.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,755388,2014-10-25 15:00:00,"Stadium of Light, Sunderland",44449,Away,Arsenal,Sunderland,2,0,W,1,0,0,0,1.0,2.0,74.0,,1.0,,,23.0,25.0,8.0,3.0,3.0,2.0,196.0,,2.0,12.0,2.0,3.0,11.0,5.0,120.0,152.0,68.0,15.0,1.0,15.0,2.0,3.0,1.0,2.0,20.0,21.0,1.0,25.0,3.0,16.0,35.0,289.0,1.0,0.0,200.0,9.0,1.0,2.0,1.0,1.0,48.0,50.0,4.0,84.0,1.0,2.0,17.0,15.0,4.0,6.0,152.0,,,8.0,139.0,755.0,11.0,9.0,23.0,430.0,27.0,,7.0,14.0,,3.0,3.0,3.0,7.0,15.0,517.0,57.0,1.0,99127,2.0,154.0,,12.0,,176.0,3.0,2.0,15.0,6.0,57.0,3.0,,2.0,13.0,3.0,,64.0,441.0,10.0,14.0,,28.0,87.0,1.0,0.0,1.0,3.0,2.0,,1.0,0.0,2.0,,,1.0,57.1,14.0,1.0,9.0,2.0,2.0,2.0,43.0,3.0,539.0,23.0,13.0,19.0,8.0,24.0,,2.0,383.0,11.0,16.0,16.0,162.0,32.0,1.0,14.0,31.0,,,14.0,3.0,20.0,1.0,9.0,3.0,1.0,,1.0,,,,,2.0,3.0,1.0,,,1.0,,2.0,2.0,,,,,2.0,,1.0,,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,755393,2014-11-01 15:00:00,"Emirates Stadium, London",60012,Home,Arsenal,Burnley,3,0,W,0,0,0,0,1.0,2.0,60.0,,1.0,,,21.0,17.0,14.0,6.0,2.0,8.0,234.0,2.0,12.0,21.0,3.0,2.0,23.0,12.0,148.0,164.0,53.0,32.0,5.0,19.0,5.0,1.0,1.0,,49.0,8.0,4.0,17.0,16.0,14.0,39.0,335.0,3.0,0.0,251.0,5.0,,2.0,3.0,,84.0,115.0,14.0,94.0,1.0,3.0,33.0,20.0,8.0,5.0,164.0,2.0,1.0,3.0,154.0,876.0,17.0,3.0,14.0,524.0,23.0,2.0,2.0,6.0,2.0,1.0,0.0,1.0,9.0,19.0,609.0,70.0,1.0,98980,11.0,219.0,2.0,25.0,,243.0,1.0,2.0,20.0,4.0,50.0,3.0,1.0,9.0,11.0,3.0,2.0,36.0,542.0,8.0,5.0,4.0,7.0,60.0,5.0,0.0,3.0,1.0,3.0,,1.0,0.0,7.0,2.0,,3.0,67.6,17.0,2.0,6.0,1.0,9.0,10.0,42.0,18.0,630.0,14.0,12.0,20.0,10.0,37.0,5.0,4.0,436.0,23.0,14.0,14.0,206.0,19.0,1.0,6.0,10.0,1.0,,19.0,3.0,30.0,1.0,11.0,18.0,,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,,3.0,,5.0,1.0,,1.0,1.0,,,2.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,4.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
