gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,saves,attFreekickTotal,attOboxBlocked,attIboxTarget,attMissHighRight,divingSave,freekickCross,goodHighClaim,freekickTotal,bigChanceCreated,errorLeadToShot,bigChanceMissed,sixYardBlock,attSetpiece,attCmissHigh,attCmissHighLeft,attMissHigh,attSvLowRight,punches,savedIbox,foulThrowIn,clearanceOffLine,totalHighClaim,errorLeadToGoal,attBxRight,postScoringAtt,attSvLowCentre,cleanSheet,attFreekickPost,hitWoodwork,accurateFreekickCross,attOboxPost,attPostHigh,attBxLeft,attSvHighCentre,attFreekickMiss,accurateCornersIntobox,attRfTarget,attCmissRight,attPenTarget,penaltyWon,attSvLowLeft,shieldBallOop,contentiousDecision,accurateKeeperSweeper,attHdTarget,totalKeeperSweeper,bigChanceScored,attLfGoal,attGoalLowCentre,attGoalHighRight,attOboxGoal,totalPullBack,attFreekickGoal,attIboxPost,attSvHighRight,totalThroughBall,attAssistSetplay,goalsConcededObox,attOneOnOne,accurateThroughBall,forwardGoals,attGoalHighCentre,attLgCentre,attHdGoal,totalFastbreak,attPenGoal,attPostRight,penaltySave,shotFastbreak,penaltyConceded,attFastbreak,penaltyFaced,attFreekickTarget,attemptsIbox,attemptsObox,attPostLeft,touchesInOppBox,attCorner,attGoalLowRight,attHdPost,goalAssistSetplay,goalAssistDeadball,penGoalsConceded,defenderGoals,ptsDroppedWinningPos,accuratePullBack,attGoalLowLeft,attCmissHighRight,ownGoals,attIboxOwnGoal,secondYellow,attPenPost
11,755403,2014-11-08 15:00:00,"Turf Moor, Burnley",16998,Home,Burnley,Hull City,1,0,W,0,0,0,0,1.0,47.0,3.0,28.0,32.0,6.0,7.0,136.0,5.0,8.0,1.0,1.0,9.0,3.0,86.0,148.0,55.0,14.0,41.0,1.0,1.0,21.0,7.0,,32.0,7.0,15.0,34.0,163.0,0.0,152.0,17.0,,,42.0,67.0,7.0,43.0,1.0,1.0,15.0,16.0,10.0,2.0,148.0,7.0,71.0,537.0,7.0,12.0,12.0,225.0,16.0,,12.0,23.0,1.0,6.0,3.0,2.0,29.0,307.0,83.0,89085,4.0,86.0,5.0,98.0,9.0,,16.0,9.0,82.0,2.0,3.0,1.0,12.0,5.0,4.0,80.0,244.0,14.0,9.0,45.0,72.0,,,0.0,4.0,1.0,1.0,,4.0,0.0,3.0,1.0,1.0,47.2,23.0,,3.0,3.0,8.0,26.0,7.0,336.0,12.0,7.0,14.0,3.0,23.0,1.0,259.0,6.0,10.0,23.0,91.0,19.0,,23.0,12.0,,8.0,2.0,17.0,,9.0,7.0,1.0,,1.0,1.0,5.0,2.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,3.0,,1.0,1.0,,,,,,,,,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,755422,2014-11-22 15:00:00,"bet365 Stadium, Stoke",27018,Away,Burnley,Stoke City,2,1,W,2,1,0,0,2.0,48.0,,26.0,70.0,2.0,2.0,124.0,1.0,8.0,2.0,,4.0,4.0,38.0,143.0,67.0,5.0,44.0,1.0,1.0,5.0,10.0,1.0,70.0,,8.0,25.0,69.0,0.0,78.0,9.0,,,25.0,51.0,3.0,25.0,11.0,,5.0,20.0,2.0,1.0,143.0,13.0,43.0,455.0,3.0,19.0,24.0,98.0,21.0,,10.0,41.0,1.0,2.0,8.0,1.0,24.0,196.0,60.0,84939,1.0,48.0,3.0,72.0,3.0,2.0,20.0,17.0,75.0,,,2.0,10.0,12.0,6.0,81.0,116.0,10.0,14.0,41.0,85.0,,,0.0,,14.0,2.0,1.0,2.0,0.0,1.0,1.0,,27.3,18.0,,,,,36.0,,230.0,24.0,3.0,9.0,1.0,11.0,,163.0,3.0,6.0,33.0,22.0,21.0,6.0,41.0,18.0,1.0,5.0,3.0,14.0,6.0,13.0,,1.0,1.0,3.0,,,1.0,,2.0,,2.0,,1.0,2.0,,,,,,,1.0,2.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,3.0,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,755423,2014-11-29 15:00:00,"Turf Moor, Burnley",19910,Home,Burnley,Aston Villa,1,1,D,0,1,0,0,2.0,67.0,2.0,43.0,25.0,3.0,3.0,175.0,6.0,9.0,1.0,4.0,8.0,4.0,104.0,155.0,54.0,11.0,24.0,,1.0,22.0,14.0,2.0,25.0,1.0,9.0,63.0,173.0,0.0,140.0,8.0,,,47.0,70.0,4.0,58.0,,2.0,21.0,18.0,11.0,,155.0,10.0,96.0,646.0,7.0,12.0,8.0,322.0,17.0,,11.0,17.0,,3.0,9.0,3.0,33.0,421.0,93.0,84939,7.0,162.0,7.0,173.0,1.0,1.0,18.0,2.0,51.0,1.0,7.0,,14.0,8.0,,84.0,329.0,7.0,7.0,32.0,89.0,,,0.0,2.0,5.0,1.0,1.0,1.0,0.0,6.0,,2.0,46.6,29.0,2.0,5.0,7.0,3.0,49.0,1.0,433.0,8.0,4.0,33.0,4.0,29.0,3.0,282.0,6.0,7.0,19.0,74.0,33.0,3.0,17.0,19.0,1.0,10.0,3.0,19.0,3.0,9.0,1.0,1.0,3.0,6.0,,1.0,1.0,,4.0,3.0,2.0,,2.0,,2.0,,,,,,,2.0,3.0,,,2.0,,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,755434,2014-12-02 19:45:00,"Turf Moor, Burnley",18791,Home,Burnley,Newcastle United,1,1,D,1,0,0,0,,37.0,3.0,38.0,39.0,3.0,3.0,148.0,3.0,2.0,1.0,2.0,9.0,2.0,74.0,155.0,57.0,12.0,27.0,1.0,2.0,16.0,15.0,,39.0,1.0,7.0,37.0,129.0,0.0,128.0,12.0,,1.0,30.0,90.0,4.0,41.0,1.0,2.0,15.0,22.0,9.0,2.0,155.0,7.0,61.0,527.0,6.0,23.0,15.0,193.0,13.0,,14.0,26.0,1.0,2.0,2.0,5.0,35.0,299.0,75.0,84939,6.0,83.0,4.0,99.0,5.0,,22.0,10.0,64.0,2.0,3.0,1.0,3.0,4.0,6.0,86.0,209.0,11.0,9.0,43.0,85.0,,,0.0,1.0,5.0,,1.0,7.0,0.0,2.0,1.0,2.0,42.2,32.0,2.0,2.0,3.0,3.0,39.0,2.0,324.0,15.0,12.0,16.0,7.0,24.0,5.0,241.0,6.0,6.0,29.0,65.0,17.0,3.0,26.0,18.0,1.0,8.0,2.0,8.0,3.0,12.0,2.0,2.0,1.0,3.0,,,1.0,,2.0,2.0,2.0,,,1.0,,,1.0,3.0,,3.0,,,2.0,,,2.0,,,,1.0,,,,1.0,,,2.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,755448,2014-12-06 15:00:00,"MATRADE Loftus Road, London",17785,Away,Burnley,Queens Park Rangers,0,2,L,0,0,0,1,1.0,64.0,1.0,31.0,41.0,6.0,7.0,162.0,6.0,8.0,,4.0,10.0,3.0,81.0,171.0,65.0,15.0,39.0,,3.0,27.0,14.0,1.0,41.0,9.0,7.0,55.0,157.0,0.0,164.0,12.0,,,38.0,74.0,3.0,57.0,1.0,2.0,19.0,18.0,2.0,1.0,171.0,6.0,78.0,596.0,9.0,9.0,19.0,238.0,35.0,2.0,13.0,29.0,,1.0,5.0,7.0,25.0,353.0,83.0,84939,8.0,101.0,15.0,115.0,6.0,,18.0,4.0,67.0,2.0,1.0,,5.0,5.0,1.0,95.0,252.0,11.0,7.0,47.0,92.0,,1.0,0.0,,3.0,,2.0,4.0,0.0,4.0,,3.0,49.0,21.0,3.0,2.0,1.0,5.0,36.0,11.0,378.0,19.0,10.0,19.0,7.0,34.0,6.0,290.0,5.0,7.0,29.0,87.0,18.0,1.0,29.0,18.0,2.0,8.0,3.0,11.0,1.0,13.0,11.0,1.0,2.0,3.0,1.0,4.0,2.0,,2.0,2.0,1.0,1.0,,,1.0,,2.0,,,,,,2.0,,1.0,1.0,,,,2.0,,,1.0,,,,,,,2.0,2.0,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,755454,2014-12-13 15:00:00,"Turf Moor, Burnley",17287,Home,Burnley,Southampton,1,0,W,0,0,0,0,1.0,60.0,,27.0,39.0,5.0,1.0,158.0,4.0,10.0,1.0,2.0,5.0,2.0,72.0,163.0,55.0,7.0,22.0,1.0,3.0,15.0,9.0,1.0,39.0,2.0,6.0,39.0,130.0,0.0,114.0,15.0,,,43.0,84.0,3.0,46.0,2.0,,13.0,29.0,4.0,2.0,163.0,7.0,54.0,550.0,4.0,18.0,25.0,199.0,20.0,,9.0,26.0,1.0,1.0,1.0,2.0,40.0,304.0,68.0,89085,1.0,89.0,9.0,118.0,7.0,1.0,29.0,10.0,55.0,2.0,3.0,1.0,8.0,8.0,5.0,67.0,215.0,11.0,6.0,35.0,74.0,,,0.0,2.0,4.0,1.0,,6.0,0.0,3.0,,1.0,40.2,31.0,1.0,5.0,3.0,2.0,40.0,2.0,330.0,25.0,11.0,18.0,3.0,13.0,1.0,227.0,5.0,3.0,23.0,63.0,26.0,6.0,26.0,12.0,,5.0,1.0,15.0,6.0,11.0,2.0,1.0,2.0,4.0,1.0,2.0,,,2.0,,2.0,1.0,,,,,1.0,,,,,,2.0,,,2.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
17,755471,2014-12-20 15:00:00,"White Hart Lane, London",35681,Away,Burnley,Tottenham Hotspur,1,2,L,1,2,0,0,2.0,54.0,,30.0,31.0,4.0,4.0,149.0,4.0,7.0,1.0,3.0,7.0,5.0,66.0,160.0,41.0,9.0,29.0,1.0,1.0,17.0,9.0,1.0,31.0,6.0,7.0,31.0,120.0,0.0,113.0,8.0,,,42.0,57.0,4.0,41.0,3.0,3.0,11.0,17.0,7.0,2.0,160.0,11.0,60.0,517.0,5.0,12.0,21.0,200.0,11.0,,11.0,16.0,1.0,0.0,6.0,3.0,22.0,287.0,78.0,89085,,96.0,3.0,105.0,6.0,1.0,17.0,12.0,70.0,6.0,6.0,1.0,8.0,12.0,4.0,79.0,212.0,8.0,13.0,35.0,89.0,,1.0,0.0,1.0,9.0,,2.0,3.0,0.0,3.0,,1.0,34.8,15.0,1.0,3.0,6.0,,37.0,6.0,316.0,21.0,18.0,12.0,4.0,20.0,2.0,228.0,4.0,5.0,15.0,50.0,26.0,2.0,16.0,12.0,1.0,5.0,3.0,10.0,2.0,12.0,6.0,1.0,1.0,4.0,1.0,,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,3.0,,3.0,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
18,755474,2014-12-26 15:00:00,"Turf Moor, Burnley",21335,Home,Burnley,Liverpool,0,1,L,0,0,0,0,,65.0,2.0,39.0,29.0,10.0,7.0,188.0,5.0,8.0,,,9.0,,110.0,195.0,56.0,16.0,24.0,,2.0,30.0,14.0,,29.0,8.0,7.0,41.0,192.0,0.0,166.0,7.0,,,67.0,75.0,1.0,58.0,1.0,2.0,22.0,19.0,8.0,7.0,195.0,4.0,95.0,683.0,9.0,21.0,12.0,319.0,20.0,1.0,13.0,20.0,,0.0,5.0,8.0,36.0,437.0,90.0,84939,2.0,142.0,14.0,153.0,3.0,,19.0,3.0,65.0,,9.0,,13.0,6.0,1.0,81.0,329.0,5.0,9.0,41.0,96.0,,1.0,0.0,2.0,2.0,,1.0,4.0,0.0,4.0,,2.0,47.6,30.0,2.0,7.0,9.0,4.0,51.0,8.0,451.0,12.0,16.0,21.0,12.0,48.0,4.0,328.0,7.0,7.0,28.0,85.0,26.0,,20.0,15.0,1.0,10.0,3.0,19.0,,12.0,8.0,2.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,,,,,1.0,,3.0,,5.0,,,,,,1.0,,2.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,1.0,28.0,5.0,,,,,,,,,,,,,,
19,755486,2014-12-28 15:00:00,"Etihad Stadium, Manchester",45608,Away,Burnley,Manchester City,2,2,D,0,2,0,0,,56.0,2.0,32.0,45.0,5.0,2.0,145.0,5.0,10.0,2.0,7.0,10.0,3.0,84.0,130.0,68.0,12.0,22.0,2.0,2.0,12.0,6.0,1.0,45.0,2.0,6.0,28.0,161.0,0.0,102.0,9.0,,1.0,43.0,57.0,5.0,62.0,3.0,,10.0,20.0,4.0,2.0,130.0,13.0,57.0,569.0,5.0,9.0,22.0,246.0,27.0,1.0,15.0,28.0,2.0,1.0,6.0,5.0,19.0,319.0,53.0,89085,6.0,111.0,4.0,134.0,5.0,2.0,20.0,7.0,58.0,3.0,2.0,1.0,11.0,4.0,4.0,64.0,267.0,16.0,8.0,38.0,70.0,1.0,1.0,0.0,2.0,10.0,2.0,2.0,4.0,0.0,5.0,,3.0,37.7,14.0,3.0,2.0,2.0,4.0,39.0,3.0,348.0,22.0,14.0,14.0,5.0,20.0,3.0,226.0,7.0,6.0,31.0,67.0,24.0,2.0,28.0,12.0,1.0,7.0,,17.0,2.0,12.0,3.0,,,4.0,1.0,2.0,,,3.0,2.0,,1.0,1.0,,,1.0,4.0,,,2.0,,,4.0,,,,,,,,,,,2.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,755497,2015-01-01 15:00:00,"St. James' Park, Newcastle",51761,Away,Burnley,Newcastle United,3,3,D,1,2,0,0,1.0,63.0,,28.0,47.0,7.0,4.0,167.0,7.0,3.0,3.0,3.0,8.0,4.0,79.0,152.0,70.0,15.0,26.0,1.0,1.0,14.0,18.0,1.0,47.0,5.0,7.0,40.0,141.0,0.0,116.0,13.0,1.0,1.0,44.0,50.0,3.0,54.0,3.0,1.0,9.0,20.0,2.0,2.0,152.0,7.0,92.0,609.0,6.0,9.0,19.0,269.0,21.0,,14.0,40.0,1.0,4.0,3.0,5.0,24.0,372.0,74.0,84939,6.0,148.0,6.0,162.0,8.0,,20.0,4.0,65.0,,4.0,2.0,10.0,3.0,2.0,72.0,282.0,12.0,9.0,44.0,94.0,,,0.0,2.0,5.0,3.0,3.0,4.0,0.0,4.0,1.0,4.0,48.5,20.0,,5.0,5.0,3.0,44.0,5.0,392.0,19.0,12.0,13.0,8.0,18.0,2.0,244.0,7.0,6.0,32.0,51.0,29.0,3.0,40.0,25.0,2.0,13.0,3.0,9.0,3.0,10.0,5.0,,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,1.0,,2.0,,,1.0,,2.0,,,,,,3.0,,,4.0,,,,4.0,,1.0,2.0,1.0,,,3.0,,,,,,,,,1.0,,,1.0,,,,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,
21,755504,2015-01-10 15:00:00,"Turf Moor, Burnley",17523,Home,Burnley,Queens Park Rangers,2,1,W,2,1,0,0,2.0,50.0,3.0,26.0,27.0,4.0,6.0,173.0,8.0,5.0,2.0,2.0,17.0,7.0,48.0,173.0,53.0,18.0,10.0,1.0,1.0,23.0,10.0,,27.0,9.0,5.0,30.0,130.0,0.0,117.0,14.0,,1.0,46.0,61.0,13.0,40.0,1.0,2.0,14.0,10.0,8.0,1.0,173.0,8.0,53.0,517.0,10.0,8.0,19.0,186.0,14.0,,14.0,21.0,2.0,2.0,5.0,4.0,25.0,290.0,74.0,84939,6.0,76.0,5.0,89.0,8.0,1.0,10.0,8.0,43.0,1.0,4.0,1.0,15.0,9.0,3.0,78.0,198.0,8.0,7.0,55.0,102.0,,,0.0,1.0,6.0,2.0,1.0,2.0,0.0,5.0,1.0,4.0,44.8,15.0,1.0,3.0,4.0,6.0,37.0,10.0,314.0,19.0,11.0,14.0,5.0,29.0,4.0,248.0,8.0,4.0,27.0,57.0,25.0,5.0,21.0,15.0,1.0,10.0,1.0,9.0,5.0,6.0,10.0,1.0,4.0,6.0,,3.0,5.0,,3.0,1.0,3.0,,3.0,,3.0,,1.0,,,2.0,,,2.0,,,3.0,,3.0,,3.0,,,,,,,1.0,,,3.0,,1.0,,,1.0,,,,3.0,,,1.0,,,,,,,1.0,2.0,5.0,,,1.0,1.0,,,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,
22,755514,2015-01-17 15:00:00,"Turf Moor, Burnley",17782,Home,Burnley,Crystal Palace,2,3,L,2,1,0,0,,69.0,1.0,30.0,46.0,2.0,4.0,183.0,3.0,5.0,2.0,3.0,8.0,4.0,83.0,192.0,77.0,8.0,34.0,1.0,,21.0,24.0,,46.0,5.0,4.0,33.0,127.0,0.0,146.0,10.0,1.0,,30.0,75.0,7.0,43.0,,,16.0,18.0,6.0,,192.0,7.0,67.0,601.0,5.0,19.0,17.0,213.0,24.0,,14.0,30.0,2.0,1.0,2.0,1.0,25.0,344.0,85.0,84939,3.0,106.0,7.0,127.0,3.0,,18.0,9.0,54.0,,3.0,1.0,16.0,4.0,3.0,102.0,230.0,20.0,3.0,68.0,93.0,,,0.0,1.0,8.0,2.0,3.0,5.0,0.0,2.0,2.0,3.0,50.8,23.0,1.0,2.0,3.0,3.0,35.0,5.0,376.0,17.0,3.0,8.0,1.0,41.0,1.0,270.0,1.0,4.0,29.0,60.0,34.0,3.0,30.0,26.0,2.0,5.0,3.0,11.0,3.0,13.0,5.0,,1.0,1.0,,2.0,2.0,,1.0,3.0,1.0,,2.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,6.0,2.0,,14.0,2.0,2.0,,1.0,1.0,,1.0,3.0,,,,,,,
23,755531,2015-01-31 15:00:00,"Stadium of Light, Sunderland",44022,Away,Burnley,Sunderland,0,2,L,0,2,0,0,,72.0,1.0,36.0,36.0,3.0,2.0,184.0,11.0,3.0,,4.0,13.0,4.0,80.0,159.0,50.0,13.0,24.0,,3.0,31.0,14.0,,36.0,3.0,20.0,44.0,206.0,0.0,144.0,12.0,,,95.0,47.0,6.0,66.0,2.0,3.0,28.0,18.0,15.0,3.0,159.0,4.0,90.0,644.0,10.0,18.0,22.0,300.0,21.0,,17.0,24.0,,1.0,3.0,7.0,21.0,398.0,80.0,84939,7.0,121.0,10.0,133.0,6.0,,18.0,6.0,63.0,3.0,5.0,,12.0,4.0,4.0,72.0,316.0,11.0,13.0,39.0,97.0,,2.0,0.0,2.0,6.0,,2.0,4.0,0.0,9.0,,5.0,50.3,19.0,3.0,6.0,5.0,2.0,57.0,3.0,420.0,22.0,7.0,20.0,7.0,30.0,4.0,318.0,5.0,20.0,16.0,84.0,38.0,4.0,24.0,21.0,2.0,10.0,3.0,12.0,4.0,11.0,3.0,,,1.0,,1.0,4.0,1.0,,3.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,2.0,,2.0,2.0,3.0,,,1.0,2.0,1.0,,2.0,,,,,,,1.0,,,,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,755534,2015-02-08 12:00:00,"Turf Moor, Burnley",16904,Home,Burnley,West Bromwich Albion,2,2,D,2,1,0,0,1.0,67.0,1.0,29.0,62.0,5.0,6.0,167.0,5.0,8.0,2.0,2.0,8.0,5.0,134.0,155.0,57.0,12.0,32.0,2.0,,28.0,13.0,1.0,62.0,5.0,5.0,44.0,165.0,0.0,141.0,10.0,,,53.0,81.0,7.0,48.0,1.0,1.0,23.0,20.0,7.0,,155.0,9.0,112.0,709.0,6.0,12.0,14.0,348.0,25.0,,5.0,41.0,2.0,0.0,5.0,1.0,27.0,438.0,70.0,84939,4.0,202.0,16.0,215.0,5.0,,20.0,2.0,59.0,3.0,6.0,2.0,14.0,3.0,2.0,68.0,362.0,13.0,7.0,33.0,92.0,,,0.0,1.0,6.0,2.0,2.0,4.0,0.0,4.0,2.0,3.0,56.0,24.0,,,6.0,5.0,46.0,5.0,461.0,14.0,6.0,23.0,2.0,26.0,2.0,274.0,3.0,4.0,21.0,81.0,32.0,8.0,41.0,16.0,2.0,9.0,1.0,14.0,8.0,10.0,5.0,,1.0,2.0,,4.0,2.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,
25,755547,2015-02-11 19:45:00,"Old Trafford, Manchester",75356,Away,Burnley,Manchester United,1,3,L,1,2,0,0,,65.0,3.0,37.0,35.0,3.0,2.0,152.0,8.0,2.0,1.0,2.0,11.0,3.0,92.0,146.0,65.0,13.0,23.0,1.0,2.0,25.0,17.0,,35.0,8.0,7.0,48.0,135.0,0.0,134.0,8.0,,,40.0,74.0,5.0,43.0,,1.0,17.0,15.0,7.0,2.0,146.0,7.0,82.0,569.0,7.0,9.0,13.0,258.0,28.0,,12.0,28.0,1.0,3.0,2.0,6.0,19.0,346.0,66.0,84939,5.0,148.0,8.0,155.0,5.0,,15.0,3.0,65.0,,5.0,1.0,13.0,4.0,2.0,74.0,275.0,15.0,19.0,37.0,81.0,1.0,2.0,0.0,2.0,5.0,1.0,3.0,5.0,0.0,4.0,1.0,4.0,42.7,14.0,3.0,1.0,5.0,4.0,41.0,8.0,369.0,13.0,7.0,26.0,6.0,32.0,4.0,239.0,7.0,6.0,31.0,78.0,28.0,1.0,28.0,19.0,3.0,7.0,2.0,10.0,1.0,11.0,8.0,,2.0,3.0,,1.0,2.0,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,,3.0,1.0,,2.0,,1.0,2.0,,,,1.0,,,,1.0,,,2.0,,,4.0,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,3.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,
26,755554,2015-02-21 15:00:00,"Stamford Bridge, London",41629,Away,Burnley,Chelsea,1,1,D,0,1,0,1,,68.0,1.0,37.0,36.0,4.0,3.0,171.0,2.0,6.0,1.0,1.0,7.0,5.0,79.0,185.0,53.0,10.0,25.0,,1.0,14.0,16.0,1.0,36.0,7.0,10.0,45.0,135.0,0.0,119.0,9.0,,,48.0,45.0,3.0,47.0,4.0,,7.0,13.0,3.0,3.0,185.0,9.0,74.0,590.0,5.0,21.0,16.0,244.0,32.0,2.0,11.0,23.0,1.0,2.0,3.0,4.0,28.0,343.0,75.0,84939,3.0,124.0,4.0,144.0,5.0,,13.0,12.0,77.0,2.0,5.0,,16.0,5.0,4.0,85.0,257.0,9.0,16.0,37.0,90.0,,,0.0,4.0,7.0,1.0,1.0,4.0,0.0,,1.0,2.0,39.0,19.0,1.0,4.0,5.0,1.0,39.0,7.0,371.0,16.0,13.0,23.0,4.0,18.0,1.0,241.0,5.0,10.0,18.0,57.0,21.0,1.0,23.0,22.0,1.0,7.0,1.0,21.0,1.0,8.0,7.0,,1.0,4.0,,,3.0,1.0,3.0,,1.0,,,,,,1.0,,,,,,3.0,,,1.0,,2.0,,1.0,,,,,,,,1.0,,2.0,4.0,,,,1.0,,,2.0,,2.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,
