gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,ontargetScoringAtt,attIboxTarget,attBxRight,attOboxTarget,attMissHighRight,attSvHighRight,cleanSheet,interceptionsInBox,secondYellow,attHdTarget,accurateThroughBall,attCmissHighLeft,attSvLowRight,punches,attFreekickMiss,bigChanceScored,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attCmissRight,shotFastbreak,postScoringAtt,goalAssistOpenplay,attIboxPost,totalFastbreak,midfielderGoals,hitWoodwork,goalAssist,defenderGoals,goalsOpenplay,attFastbreak,attIboxGoal,shieldBallOop,attPostRight,attHdGoal,attSvLowCentre,attSvHighCentre,errorLeadToGoal,goalsConcededObox,goalAssistSetplay,attSvHighLeft,attRfGoal,totalOffside,goalAssistIntentional,forwardGoals,attSvLowLeft,attPostHigh,attCmissHighRight,attGoalLowLeft,goalFastbreak,attOboxGoal,contentiousDecision,attObxdRight,attFreekickTarget,attLgCentre,attOboxPost,attOneOnOne,foulThrowIn,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighRight,penaltyWon,attPenGoal,attPostLeft,attCmissHigh,ownGoals,attIboxOwnGoal,clearanceOffLine,attGoalHighLeft,attHdPost,attObxRight
1,755308,2014-08-17 16:00:00,"St. James' Park, Newcastle",50816,Home,Newcastle United,Manchester City,0,2,L,0,1,0,0,1.0,64.0,1.0,2.0,29.0,21.0,3.0,4.0,3.0,176.0,3.0,14.0,4.0,9.0,1.0,103.0,136.0,62.0,1.0,12.0,1.0,16.0,3.0,3.0,21.0,18.0,21.0,2.0,13.0,38.0,186.0,0.0,113.0,8.0,2.0,3.0,2.0,64.0,63.0,1.0,88.0,1.0,19.0,13.0,1.0,8.0,2.0,136.0,1.0,9.0,93.0,669.0,6.0,6.0,14.0,368.0,27.0,1.0,5.0,10.0,3.0,1.0,3.0,8.0,22.0,441.0,41.0,1.0,1.0,98746,4.0,199.0,1.0,8.0,1.0,2.0,220.0,4.0,2.0,13.0,8.0,58.0,3.0,3.0,10.0,4.0,5.0,4.0,57.0,382.0,11.0,6.0,3.0,23.0,75.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,44.2,22.0,2.0,4.0,2.0,3.0,3.0,47.0,3.0,2.0,460.0,14.0,19.0,25.0,9.0,22.0,1.0,7.0,261.0,6.0,10.0,14.0,78.0,27.0,2.0,10.0,23.0,2.0,7.0,3.0,24.0,2.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755313,2014-08-23 12:45:00,"Villa Park, Birmingham",30267,Away,Newcastle United,Aston Villa,0,0,D,0,0,1,0,,43.0,,1.0,27.0,23.0,4.0,4.0,,171.0,4.0,6.0,2.0,11.0,,152.0,136.0,45.0,1.0,11.0,1.0,17.0,,1.0,21.0,8.0,23.0,6.0,15.0,45.0,205.0,0.0,130.0,8.0,,3.0,1.0,50.0,63.0,6.0,61.0,,15.0,6.0,1.0,5.0,2.0,136.0,2.0,4.0,151.0,708.0,9.0,8.0,10.0,430.0,19.0,1.0,2.0,13.0,,0.0,4.0,3.0,24.0,513.0,63.0,1.0,1.0,98746,3.0,244.0,2.0,7.0,,1.0,254.0,4.0,,6.0,8.0,49.0,6.0,3.0,10.0,6.0,6.0,2.0,63.0,445.0,10.0,8.0,,21.0,91.0,,0.0,2.0,7.0,,,1.0,1.0,3.0,1.0,59.6,24.0,,1.0,2.0,3.0,2.0,45.0,7.0,1.0,535.0,10.0,7.0,26.0,5.0,30.0,1.0,3.0,302.0,6.0,15.0,17.0,78.0,19.0,5.0,13.0,12.0,,8.0,3.0,16.0,5.0,3.0,7.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755328,2014-08-30 15:00:00,"St. James' Park, Newcastle",49226,Home,Newcastle United,Crystal Palace,3,3,D,1,1,0,0,2.0,62.0,1.0,2.0,26.0,15.0,7.0,5.0,4.0,170.0,5.0,11.0,6.0,11.0,,136.0,143.0,72.0,,18.0,2.0,28.0,2.0,4.0,39.0,12.0,15.0,10.0,19.0,34.0,245.0,0.0,162.0,12.0,3.0,6.0,,45.0,88.0,4.0,63.0,3.0,30.0,15.0,,8.0,5.0,143.0,,8.0,108.0,693.0,9.0,7.0,11.0,378.0,26.0,1.0,5.0,11.0,2.0,1.0,1.0,7.0,21.0,450.0,52.0,2.0,,92170,4.0,161.0,,16.0,1.0,2.0,179.0,2.0,1.0,15.0,6.0,70.0,2.0,5.0,9.0,4.0,4.0,1.0,41.0,401.0,19.0,12.0,1.0,14.0,67.0,1.0,0.0,4.0,4.0,3.0,3.0,2.0,0.0,5.0,3.0,64.3,21.0,2.0,5.0,4.0,5.0,4.0,51.0,11.0,1.0,477.0,11.0,13.0,21.0,10.0,32.0,1.0,4.0,337.0,10.0,16.0,25.0,123.0,26.0,2.0,11.0,18.0,3.0,13.0,3.0,18.0,2.0,11.0,11.0,,1.0,4.0,1.0,1.0,,,,,1.0,,,2.0,,1.0,,,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755339,2014-09-13 15:00:00,"St. Mary's Stadium, Southampton",29678,Away,Newcastle United,Southampton,0,4,L,0,2,0,0,,59.0,2.0,,33.0,16.0,4.0,6.0,3.0,183.0,3.0,8.0,1.0,6.0,,132.0,148.0,44.0,,9.0,2.0,13.0,1.0,3.0,20.0,10.0,16.0,5.0,10.0,48.0,185.0,0.0,107.0,7.0,1.0,,2.0,57.0,74.0,3.0,87.0,,15.0,20.0,,4.0,,148.0,1.0,6.0,142.0,756.0,6.0,7.0,16.0,435.0,31.0,,8.0,9.0,2.0,2.0,,3.0,33.0,515.0,50.0,,1.0,97612,3.0,277.0,3.0,11.0,,1.0,302.0,5.0,1.0,20.0,5.0,52.0,1.0,6.0,14.0,4.0,3.0,,58.0,459.0,13.0,3.0,,21.0,75.0,,0.0,2.0,5.0,1.0,4.0,1.0,0.0,2.0,1.0,49.7,32.0,,7.0,,6.0,2.0,49.0,5.0,2.0,544.0,16.0,15.0,28.0,3.0,13.0,1.0,3.0,262.0,2.0,9.0,9.0,73.0,14.0,4.0,9.0,14.0,4.0,6.0,3.0,22.0,4.0,10.0,5.0,2.0,1.0,4.0,2.0,,2.0,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755348,2014-09-20 15:00:00,"St. James' Park, Newcastle",49119,Home,Newcastle United,Hull City,2,2,D,0,0,0,0,,63.0,,1.0,27.0,19.0,12.0,8.0,1.0,184.0,8.0,9.0,3.0,20.0,,165.0,145.0,59.0,,25.0,9.0,25.0,,3.0,28.0,13.0,19.0,3.0,17.0,47.0,287.0,0.0,214.0,11.0,,3.0,1.0,74.0,117.0,13.0,72.0,1.0,26.0,24.0,,11.0,3.0,145.0,1.0,4.0,156.0,779.0,17.0,15.0,12.0,467.0,23.0,2.0,2.0,14.0,,4.0,2.0,7.0,24.0,552.0,76.0,1.0,1.0,97612,9.0,207.0,,12.0,,,215.0,7.0,,24.0,7.0,54.0,3.0,4.0,10.0,6.0,5.0,1.0,54.0,486.0,11.0,3.0,1.0,14.0,72.0,,0.0,3.0,2.0,1.0,2.0,2.0,0.0,7.0,3.0,63.0,20.0,2.0,5.0,,4.0,10.0,43.0,4.0,1.0,577.0,12.0,10.0,23.0,8.0,35.0,2.0,5.0,390.0,14.0,14.0,28.0,150.0,31.0,3.0,14.0,14.0,1.0,22.0,3.0,15.0,3.0,12.0,4.0,2.0,2.0,7.0,5.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,2.0,,,,1.0,,,,,2.0,,2.0,,2.0,,,,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755360,2014-09-29 20:00:00,"bet365 Stadium, Stoke",26332,Away,Newcastle United,Stoke City,0,1,L,0,1,0,0,,57.0,1.0,3.0,22.0,22.0,9.0,6.0,2.0,164.0,7.0,10.0,6.0,13.0,,105.0,146.0,65.0,,16.0,5.0,26.0,,3.0,29.0,14.0,22.0,8.0,31.0,34.0,187.0,0.0,123.0,15.0,1.0,4.0,2.0,46.0,75.0,7.0,61.0,1.0,21.0,18.0,,4.0,3.0,146.0,1.0,7.0,92.0,641.0,10.0,7.0,11.0,311.0,23.0,,5.0,9.0,,2.0,5.0,6.0,28.0,389.0,62.0,,1.0,97612,4.0,152.0,1.0,13.0,,3.0,169.0,8.0,,18.0,7.0,67.0,1.0,5.0,7.0,5.0,3.0,1.0,59.0,332.0,20.0,6.0,3.0,24.0,69.0,,0.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,55.9,25.0,1.0,2.0,1.0,5.0,8.0,40.0,10.0,2.0,422.0,11.0,4.0,11.0,7.0,22.0,3.0,3.0,282.0,8.0,29.0,14.0,78.0,24.0,2.0,9.0,21.0,1.0,9.0,3.0,28.0,2.0,9.0,10.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,755370,2014-10-04 15:00:00,"Swansea.com Stadium, Swansea",20622,Away,Newcastle United,Swansea City,2,2,D,1,1,0,0,1.0,66.0,,1.0,32.0,12.0,2.0,,3.0,160.0,5.0,9.0,1.0,5.0,,61.0,139.0,56.0,,9.0,,15.0,,2.0,20.0,19.0,12.0,1.0,7.0,24.0,131.0,0.0,94.0,15.0,3.0,2.0,,58.0,36.0,3.0,61.0,,19.0,19.0,,4.0,1.0,139.0,1.0,9.0,65.0,529.0,2.0,15.0,24.0,236.0,22.0,,12.0,5.0,,3.0,,2.0,15.0,315.0,56.0,,,97612,1.0,128.0,,13.0,,,145.0,4.0,,19.0,11.0,50.0,1.0,4.0,8.0,2.0,6.0,1.0,64.0,254.0,10.0,8.0,1.0,27.0,81.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,4.0,1.0,37.1,11.0,1.0,4.0,,4.0,1.0,49.0,1.0,,347.0,24.0,7.0,15.0,4.0,10.0,1.0,3.0,222.0,8.0,4.0,13.0,49.0,27.0,3.0,5.0,25.0,2.0,8.0,3.0,16.0,3.0,13.0,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,2.0,,,,2.0,,,,,2.0,,2.0,,2.0,1.0,,,,,1.0,,,,2.0,3.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,755378,2014-10-18 15:00:00,"St. James' Park, Newcastle",51886,Home,Newcastle United,Leicester City,1,0,W,0,0,0,0,1.0,59.0,,2.0,35.0,27.0,10.0,5.0,2.0,162.0,5.0,11.0,3.0,14.0,,69.0,147.0,71.0,1.0,19.0,5.0,18.0,,1.0,24.0,18.0,27.0,7.0,7.0,39.0,127.0,0.0,105.0,13.0,1.0,2.0,3.0,33.0,79.0,10.0,63.0,3.0,17.0,17.0,1.0,4.0,2.0,147.0,2.0,5.0,85.0,609.0,11.0,8.0,24.0,271.0,23.0,,7.0,20.0,,0.0,4.0,4.0,23.0,352.0,62.0,2.0,,98746,6.0,164.0,3.0,11.0,,4.0,179.0,7.0,,17.0,5.0,54.0,,4.0,12.0,2.0,3.0,2.0,76.0,286.0,14.0,5.0,2.0,23.0,81.0,1.0,0.0,,7.0,2.0,,3.0,0.0,5.0,3.0,50.5,21.0,1.0,5.0,,4.0,7.0,37.0,10.0,3.0,379.0,24.0,11.0,14.0,6.0,14.0,,4.0,224.0,11.0,6.0,28.0,59.0,20.0,4.0,20.0,21.0,,11.0,3.0,19.0,4.0,9.0,10.0,2.0,1.0,6.0,2.0,1.0,3.0,,,1.0,2.0,,2.0,,,,,,,,,,1.0,2.0,3.0,,1.0,,4.0,1.0,,1.0,,1.0,3.0,,1.0,,,2.0,2.0,,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,755390,2014-10-26 13:30:00,"White Hart Lane, London",35650,Away,Newcastle United,Tottenham Hotspur,2,1,W,0,1,0,0,,58.0,,,25.0,41.0,3.0,4.0,1.0,146.0,1.0,6.0,1.0,5.0,,44.0,157.0,59.0,,8.0,2.0,13.0,1.0,2.0,11.0,23.0,41.0,2.0,6.0,22.0,103.0,0.0,86.0,12.0,,1.0,3.0,50.0,54.0,4.0,42.0,1.0,9.0,16.0,,1.0,2.0,157.0,2.0,8.0,45.0,530.0,3.0,15.0,26.0,168.0,24.0,,5.0,21.0,1.0,3.0,8.0,1.0,29.0,247.0,58.0,,1.0,97612,2.0,82.0,1.0,7.0,,1.0,103.0,7.0,1.0,16.0,14.0,59.0,2.0,5.0,18.0,10.0,6.0,1.0,67.0,184.0,8.0,9.0,,28.0,84.0,1.0,0.0,2.0,10.0,1.0,1.0,6.0,0.0,1.0,1.0,33.1,23.0,,1.0,1.0,5.0,2.0,44.0,2.0,3.0,277.0,26.0,14.0,11.0,4.0,13.0,,2.0,185.0,3.0,4.0,17.0,46.0,22.0,5.0,21.0,29.0,1.0,6.0,3.0,18.0,5.0,9.0,2.0,,,2.0,,,,,,,1.0,,,,,,,,1.0,2.0,1.0,,2.0,,,,2.0,,,,,2.0,,2.0,,2.0,2.0,,1.0,,,,,,,,2.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
10,755401,2014-11-01 12:45:00,"St. James' Park, Newcastle",52166,Home,Newcastle United,Liverpool,1,0,W,0,0,0,0,1.0,56.0,2.0,2.0,30.0,33.0,7.0,6.0,3.0,148.0,4.0,5.0,4.0,7.0,,52.0,143.0,56.0,2.0,14.0,3.0,17.0,1.0,1.0,22.0,16.0,33.0,7.0,12.0,25.0,137.0,0.0,104.0,13.0,1.0,1.0,,38.0,68.0,4.0,48.0,1.0,15.0,15.0,2.0,3.0,4.0,143.0,1.0,2.0,59.0,529.0,6.0,15.0,14.0,214.0,22.0,1.0,11.0,18.0,2.0,4.0,1.0,3.0,26.0,282.0,53.0,1.0,,98746,5.0,97.0,1.0,11.0,,1.0,112.0,7.0,,15.0,6.0,65.0,2.0,2.0,13.0,4.0,6.0,1.0,65.0,230.0,8.0,7.0,1.0,36.0,73.0,1.0,0.0,2.0,2.0,1.0,,2.0,0.0,2.0,,35.5,22.0,,4.0,,2.0,5.0,38.0,7.0,,307.0,14.0,13.0,14.0,6.0,5.0,2.0,2.0,217.0,8.0,11.0,17.0,66.0,22.0,3.0,18.0,27.0,,8.0,3.0,21.0,3.0,6.0,7.0,1.0,1.0,3.0,2.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,755411,2014-11-09 13:30:00,"The Hawthorns, West Bromwich",26476,Away,Newcastle United,West Bromwich Albion,2,0,W,1,0,0,0,1.0,69.0,2.0,1.0,21.0,33.0,3.0,2.0,2.0,155.0,6.0,13.0,5.0,5.0,,81.0,163.0,64.0,,8.0,1.0,23.0,1.0,,17.0,18.0,33.0,2.0,9.0,33.0,135.0,0.0,138.0,6.0,,5.0,2.0,48.0,76.0,4.0,60.0,1.0,15.0,23.0,,1.0,1.0,163.0,1.0,5.0,77.0,605.0,2.0,12.0,19.0,257.0,31.0,,9.0,15.0,2.0,0.0,2.0,1.0,31.0,353.0,56.0,3.0,1.0,98746,4.0,137.0,,9.0,,2.0,161.0,3.0,,23.0,7.0,64.0,3.0,5.0,16.0,5.0,2.0,1.0,63.0,266.0,11.0,11.0,1.0,33.0,66.0,,0.0,1.0,7.0,,,1.0,0.0,6.0,2.0,42.1,29.0,1.0,6.0,,5.0,2.0,20.0,4.0,2.0,373.0,19.0,12.0,17.0,3.0,14.0,,1.0,229.0,4.0,6.0,17.0,86.0,24.0,3.0,15.0,25.0,,5.0,3.0,26.0,3.0,8.0,4.0,,1.0,3.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,2.0,,,1.0,1.0,,,,1.0,2.0,1.0,2.0,,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
