gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attMissLeft,attOboxTarget,totalFastbreak,attOboxMiss,attMissHighLeft,totalKeeperSweeper,outfielderBlock,errorLeadToShot,attFastbreak,attSvLowRight,attCmissLeft,savedIbox,possWonAtt3rd,attBxLeft,attFreekickMiss,attHdGoal,attRfTarget,attSvLowCentre,attSvHighRight,attSvHighLeft,attHdTarget,accurateThroughBall,totalPullBack,attMissHigh,clearanceOffLine,accuratePullBack,attMissHighRight,errorLeadToGoal,cleanSheet,hitWoodwork,attSvLowLeft,attObxdRight,handBall,attGoalLowLeft,attLfGoal,goalFastbreak,forwardGoals,goalsConcededObox,attOneOnOne,ownGoals,attFreekickTarget,attIboxOwnGoal,attObxLeft,sixYardBlock,attSvHighCentre,attCmissHigh,attFreekickGoal,postScoringAtt,attIboxPost,attPostHigh,penaltyWon,attPenGoal,attOboxPost,attPostRight,attemptsIbox,attemptsObox,secondYellow,touchesInOppBox,attGoalHighLeft,attObxdLeft,attObxRight,attCmissHighLeft
1,755311,2014-08-16 15:00:00,"The Hawthorns, West Bromwich",25468,Away,Sunderland,West Bromwich Albion,2,2,D,1,1,0,0,1.0,57.0,3.0,1.0,20.0,42.0,3.0,1.0,3.0,134.0,1.0,5.0,8.0,2.0,6.0,4.0,2.0,2.0,68.0,131.0,68.0,1.0,7.0,2.0,16.0,1.0,1.0,17.0,21.0,1.0,42.0,2.0,14.0,36.0,109.0,1.0,0.0,70.0,9.0,1.0,2.0,7.0,1.0,41.0,25.0,2.0,50.0,1.0,2.0,15.0,15.0,1.0,3.0,131.0,2.0,1.0,4.0,71.0,543.0,1.0,13.0,22.0,231.0,33.0,3.0,19.0,1.0,1.0,2.0,19.0,298.0,40.0,2.0,88601,2.0,138.0,1.0,5.0,2.0,1.0,173.0,6.0,2.0,15.0,8.0,48.0,1.0,3.0,2.0,1.0,8.0,6.0,1.0,49.0,242.0,17.0,5.0,2.0,13.0,55.0,1.0,0.0,1.0,6.0,1.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,42.2,12.0,1.0,2.0,3.0,31.0,3.0,1.0,1.0,323.0,1.0,22.0,10.0,19.0,2.0,20.0,1.0,2.0,167.0,5.0,12.0,15.0,44.0,19.0,4.0,19.0,29.0,2.0,3.0,3.0,16.0,4.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755320,2014-08-24 16:00:00,"Stadium of Light, Sunderland",43217,Home,Sunderland,Manchester United,1,1,D,1,1,0,0,,65.0,1.0,1.0,31.0,22.0,5.0,3.0,2.0,151.0,,4.0,12.0,1.0,4.0,10.0,,3.0,100.0,116.0,53.0,1.0,11.0,1.0,12.0,1.0,,14.0,13.0,,22.0,4.0,19.0,48.0,128.0,,0.0,84.0,10.0,1.0,1.0,2.0,2.0,53.0,46.0,5.0,70.0,1.0,2.0,10.0,15.0,1.0,2.0,116.0,,,3.0,110.0,618.0,6.0,7.0,9.0,344.0,24.0,5.0,16.0,1.0,0.0,5.0,18.0,409.0,32.0,,88601,3.0,239.0,,6.0,1.0,,252.0,7.0,,15.0,7.0,58.0,4.0,1.0,11.0,,11.0,7.0,5.0,56.0,363.0,14.0,13.0,3.0,12.0,77.0,1.0,0.0,,4.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,,44.7,15.0,,11.0,2.0,42.0,4.0,,2.0,431.0,,9.0,15.0,27.0,6.0,11.0,2.0,3.0,193.0,7.0,17.0,10.0,57.0,25.0,1.0,16.0,17.0,1.0,6.0,3.0,20.0,1.0,10.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755329,2014-08-30 15:00:00,"MATRADE Loftus Road, London",17930,Away,Sunderland,Queens Park Rangers,0,1,L,0,1,0,0,,56.0,1.0,,24.0,25.0,9.0,5.0,3.0,160.0,,3.0,9.0,,1.0,12.0,,6.0,149.0,127.0,55.0,,16.0,5.0,13.0,,,20.0,13.0,,25.0,6.0,24.0,37.0,204.0,,0.0,136.0,9.0,,,,,69.0,49.0,8.0,75.0,2.0,1.0,14.0,20.0,,6.0,127.0,1.0,,7.0,126.0,720.0,11.0,10.0,9.0,424.0,30.0,1.0,14.0,,2.0,4.0,23.0,486.0,63.0,,88372,5.0,241.0,1.0,8.0,,,255.0,5.0,,20.0,12.0,54.0,3.0,,7.0,,10.0,11.0,8.0,54.0,442.0,8.0,10.0,1.0,11.0,77.0,,0.0,5.0,4.0,,1.0,5.0,0.0,2.0,,2.0,2.0,,60.3,19.0,1.0,7.0,5.0,52.0,6.0,,,510.0,,9.0,11.0,18.0,5.0,23.0,1.0,3.0,275.0,9.0,22.0,17.0,98.0,14.0,5.0,14.0,21.0,1.0,13.0,3.0,21.0,5.0,10.0,6.0,1.0,,,,4.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,7.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755341,2014-09-13 15:00:00,"Stadium of Light, Sunderland",40799,Home,Sunderland,Tottenham Hotspur,2,2,D,1,1,0,0,,66.0,1.0,1.0,22.0,22.0,4.0,4.0,4.0,140.0,1.0,4.0,11.0,2.0,1.0,7.0,1.0,1.0,76.0,129.0,63.0,,7.0,2.0,7.0,,1.0,23.0,25.0,,22.0,5.0,8.0,35.0,157.0,,0.0,100.0,16.0,3.0,1.0,2.0,,80.0,59.0,4.0,60.0,3.0,2.0,18.0,14.0,,5.0,129.0,,,9.0,74.0,562.0,6.0,5.0,13.0,267.0,33.0,6.0,5.0,1.0,5.0,3.0,19.0,329.0,48.0,,88372,1.0,132.0,,11.0,,,150.0,9.0,1.0,14.0,3.0,70.0,,1.0,1.0,1.0,10.0,7.0,2.0,52.0,285.0,13.0,17.0,,24.0,64.0,,0.0,1.0,5.0,2.0,2.0,1.0,0.0,2.0,,,,,38.0,16.0,,1.0,3.0,39.0,6.0,,,350.0,,13.0,22.0,17.0,3.0,10.0,2.0,1.0,223.0,3.0,8.0,12.0,76.0,22.0,3.0,5.0,29.0,2.0,7.0,3.0,19.0,3.0,12.0,6.0,,,,,,,4.0,,,,2.0,,4.0,6.0,,,,,3.0,4.0,2.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755344,2014-09-20 15:00:00,"Turf Moor, Burnley",20026,Away,Sunderland,Burnley,0,0,D,0,0,0,0,,68.0,2.0,1.0,36.0,37.0,9.0,6.0,6.0,165.0,,3.0,11.0,,1.0,11.0,1.0,6.0,110.0,130.0,53.0,,14.0,1.0,22.0,1.0,,13.0,9.0,,37.0,1.0,19.0,43.0,185.0,,0.0,99.0,14.0,2.0,,2.0,3.0,59.0,87.0,7.0,91.0,4.0,1.0,12.0,11.0,,7.0,130.0,,,7.0,116.0,680.0,11.0,12.0,15.0,378.0,30.0,4.0,13.0,,2.0,4.0,12.0,453.0,39.0,1.0,88372,1.0,216.0,,3.0,2.0,,232.0,7.0,,11.0,8.0,61.0,,1.0,4.0,,13.0,9.0,5.0,75.0,398.0,12.0,7.0,,26.0,88.0,1.0,0.0,1.0,5.0,,,1.0,0.0,3.0,,,3.0,1.0,55.7,11.0,1.0,4.0,2.0,50.0,1.0,,3.0,482.0,,15.0,9.0,23.0,6.0,19.0,,2.0,263.0,5.0,19.0,19.0,71.0,23.0,3.0,13.0,11.0,,11.0,3.0,21.0,3.0,7.0,1.0,2.0,,,,2.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,,2.0,1.0,2.0,4.0,1.0,1.0,,,2.0,4.0,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755361,2014-09-27 15:00:00,"Stadium of Light, Sunderland",41325,Home,Sunderland,Swansea City,0,0,D,0,0,0,1,,52.0,1.0,2.0,30.0,13.0,8.0,9.0,1.0,134.0,,4.0,10.0,,4.0,11.0,,3.0,88.0,129.0,50.0,,15.0,4.0,12.0,,,26.0,11.0,,13.0,9.0,21.0,24.0,160.0,,0.0,107.0,13.0,1.0,,3.0,1.0,65.0,37.0,7.0,72.0,2.0,1.0,17.0,9.0,,4.0,129.0,2.0,1.0,,83.0,552.0,9.0,14.0,14.0,283.0,24.0,7.0,8.0,,2.0,4.0,23.0,348.0,48.0,,88601,5.0,148.0,2.0,10.0,1.0,,161.0,6.0,,9.0,11.0,52.0,1.0,2.0,1.0,,5.0,7.0,7.0,56.0,304.0,15.0,9.0,2.0,20.0,68.0,,0.0,3.0,1.0,,,9.0,0.0,4.0,,1.0,3.0,,49.5,17.0,2.0,1.0,6.0,41.0,10.0,,1.0,377.0,,14.0,10.0,13.0,6.0,16.0,,2.0,242.0,3.0,19.0,9.0,72.0,22.0,1.0,8.0,16.0,,10.0,3.0,18.0,1.0,2.0,10.0,2.0,,,,2.0,,,1.0,1.0,,4.0,1.0,1.0,,,,,1.0,,3.0,,,,,,1.0,,1.0,,1.0,3.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755369,2014-10-04 15:00:00,"Stadium of Light, Sunderland",42713,Home,Sunderland,Stoke City,3,1,W,2,1,0,0,2.0,59.0,2.0,,14.0,18.0,5.0,4.0,4.0,130.0,,4.0,11.0,3.0,3.0,7.0,,3.0,51.0,141.0,73.0,,8.0,5.0,22.0,,1.0,20.0,19.0,1.0,18.0,5.0,10.0,25.0,121.0,,0.0,103.0,10.0,2.0,,3.0,1.0,49.0,64.0,6.0,55.0,4.0,,15.0,10.0,,3.0,141.0,3.0,,5.0,49.0,482.0,2.0,8.0,19.0,183.0,26.0,3.0,13.0,3.0,3.0,,19.0,254.0,51.0,1.0,88601,1.0,81.0,1.0,9.0,1.0,,100.0,7.0,,10.0,8.0,61.0,1.0,3.0,3.0,1.0,11.0,6.0,1.0,53.0,198.0,17.0,10.0,1.0,20.0,64.0,,0.0,,4.0,3.0,1.0,2.0,0.0,4.0,3.0,,2.0,,39.5,15.0,,3.0,5.0,24.0,7.0,,1.0,285.0,,19.0,15.0,7.0,,9.0,,,205.0,2.0,9.0,18.0,64.0,23.0,4.0,13.0,28.0,1.0,4.0,3.0,16.0,4.0,6.0,7.0,,1.0,2.0,,,1.0,,,,2.0,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,755380,2014-10-18 15:00:00,"St. Mary's Stadium, Southampton",29615,Away,Sunderland,Southampton,0,8,L,0,3,0,0,,64.0,3.0,1.0,43.0,25.0,4.0,8.0,4.0,170.0,,6.0,4.0,,6.0,9.0,,1.0,87.0,142.0,44.0,1.0,13.0,2.0,9.0,3.0,,21.0,7.0,,25.0,4.0,14.0,42.0,167.0,,0.0,94.0,8.0,2.0,,2.0,2.0,61.0,50.0,2.0,82.0,2.0,5.0,17.0,22.0,1.0,4.0,142.0,1.0,1.0,17.0,89.0,614.0,6.0,20.0,11.0,306.0,28.0,7.0,17.0,,3.0,7.0,19.0,388.0,60.0,2.0,88601,6.0,178.0,1.0,11.0,6.0,,199.0,3.0,,22.0,9.0,41.0,1.0,,2.0,,13.0,7.0,8.0,73.0,339.0,10.0,6.0,3.0,21.0,96.0,,0.0,2.0,5.0,,8.0,7.0,0.0,5.0,,,3.0,,47.4,16.0,3.0,2.0,3.0,60.0,6.0,,2.0,428.0,,11.0,13.0,22.0,9.0,15.0,1.0,8.0,250.0,2.0,14.0,21.0,58.0,19.0,3.0,17.0,10.0,7.0,5.0,3.0,11.0,3.0,12.0,6.0,,,,,,,2.0,,1.0,,1.0,1.0,3.0,3.0,,,1.0,,2.0,4.0,,,,1.0,,,,,1.0,,3.0,1.0,,,2.0,,,,,1.0,,,,,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
9,755388,2014-10-25 15:00:00,"Stadium of Light, Sunderland",44449,Home,Sunderland,Arsenal,0,2,L,0,1,0,0,,60.0,1.0,3.0,38.0,19.0,2.0,1.0,3.0,167.0,,6.0,14.0,,1.0,10.0,,3.0,79.0,173.0,57.0,,11.0,,16.0,1.0,,17.0,16.0,,19.0,1.0,19.0,36.0,174.0,,0.0,137.0,11.0,2.0,,1.0,2.0,58.0,61.0,6.0,80.0,3.0,3.0,16.0,15.0,,5.0,173.0,,,7.0,75.0,608.0,10.0,24.0,14.0,278.0,32.0,16.0,11.0,,3.0,4.0,26.0,374.0,66.0,,88601,6.0,128.0,,10.0,1.0,,152.0,6.0,,15.0,10.0,68.0,,2.0,3.0,,15.0,8.0,5.0,71.0,296.0,7.0,12.0,,36.0,85.0,1.0,0.0,3.0,3.0,,2.0,5.0,0.0,6.0,,,3.0,,42.9,20.0,1.0,3.0,3.0,48.0,3.0,,3.0,401.0,,14.0,20.0,22.0,5.0,18.0,,3.0,266.0,4.0,14.0,15.0,83.0,19.0,1.0,11.0,21.0,2.0,9.0,3.0,25.0,1.0,6.0,3.0,,,,,2.0,,,2.0,1.0,,2.0,,,2.0,,,1.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,2.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10,755396,2014-11-03 20:00:00,"Selhurst Park, London",23212,Away,Sunderland,Crystal Palace,3,1,W,1,0,0,1,1.0,80.0,,,25.0,48.0,2.0,4.0,1.0,168.0,,4.0,2.0,3.0,1.0,7.0,,7.0,79.0,165.0,80.0,1.0,8.0,1.0,28.0,,3.0,10.0,30.0,,48.0,2.0,12.0,32.0,134.0,1.0,0.0,97.0,19.0,2.0,1.0,,4.0,55.0,57.0,7.0,53.0,1.0,,8.0,11.0,1.0,,165.0,1.0,,7.0,76.0,615.0,4.0,19.0,18.0,250.0,40.0,6.0,26.0,3.0,3.0,,23.0,348.0,53.0,,88601,4.0,133.0,,8.0,,,161.0,7.0,,11.0,9.0,72.0,,,3.0,3.0,24.0,3.0,4.0,73.0,263.0,11.0,13.0,,35.0,91.0,,0.0,2.0,11.0,2.0,1.0,4.0,0.0,3.0,3.0,1.0,2.0,,46.5,18.0,,3.0,1.0,38.0,2.0,,4.0,376.0,,18.0,7.0,18.0,,7.0,1.0,,225.0,2.0,10.0,27.0,60.0,25.0,2.0,26.0,40.0,1.0,5.0,3.0,10.0,2.0,8.0,2.0,1.0,1.0,,,4.0,,,,,,,,,5.0,,,,,1.0,5.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,2.0,,1.0,2.0,2.0,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
